"time","egsCarSpeed","egsGear","egsTargetGear","valves_0eds","valves_0eds1","valves_0eds2","valves_0eds3","valves_0eds4","valves_0eds5","valves_0mv1","valves_0mv2","valves_0mv3"
24.633,167.115,5,5,0,0,1,0,0,1,0,1,0
24.6666,167.115,5,5,0,0,1,0,0,1,0,1,0
24.6666,167.224,5,5,0,0,1,0,0,1,0,1,0
24.7002,167.224,5,5,0,0,1,0,0,1,0,1,0
24.7002,167.333,5,5,0,0,1,0,0,1,0,1,0
24.7337,167.333,5,5,0,0,1,0,0,1,0,1,0
24.7337,167.441,5,5,0,0,1,0,0,1,0,1,0
24.7673,167.441,5,5,0,0,1,0,0,1,0,1,0
24.7673,167.545,5,5,0,0,1,0,0,1,0,1,0
24.8008,167.545,5,5,0,0,1,0,0,1,0,1,0
24.8008,167.627,5,5,0,0,1,0,0,1,0,1,0
24.8344,167.627,5,5,0,0,1,0,0,1,0,1,0
24.8344,167.318,5,6,0,0,1,0,0,1,1,1,0
24.868,167.318,5,6,0,0,1,0,0,1,1,1,0
24.868,167.554,5,6,0,0,1,0,0,1,1,1,0
24.9015,167.554,5,6,0,0,1,0,0,1,1,1,0
24.9015,167.764,5,6,0,0,1,0,0,1,1,1,0
24.9351,167.764,5,6,0,0,1,0,0,1,1,1,0
24.9351,167.71,5,6,0,0,1,0,0,1,1,1,0
24.9686,167.71,5,6,0,0,1,0,0,1,1,1,0
24.9686,167.695,5,6,0,0,1,0,0,1,1,1,0
25.0022,167.695,5,6,0,0,1,0,0,1,1,1,0
25.0022,167.642,5,6,0,0,1,0,0,1,1,1,0
25.0358,167.642,5,6,0,0,1,0,0,1,1,1,0
25.0358,167.58,5,6,0,0,1,0,0,1,1,1,0
25.0693,167.58,5,6,0,0,1,0,0,1,1,1,0
25.0693,167.515,5,6,0,0,1,0,0,1,1,1,0
25.1029,167.515,5,6,0,0,1,0,0,1,1,1,0
25.1029,167.45,5,6,0,0,1,0,0,1,1,1,0
25.1364,167.45,5,6,0,0,1,0,0,1,1,1,0
25.1364,167.385,5,6,0,0,1,0,0,1,1,1,0
25.17,167.385,5,6,0,0,1,0,0,1,1,1,0
25.17,167.32,5,6,0,0,1,0,0,1,1,1,0
25.2036,167.32,5,6,0,0,1,0,0,1,1,1,0
25.2036,167.255,5,6,0,0,1,0,0,1,1,1,0
25.2371,167.255,5,6,0,0,1,0,0,1,1,1,0
25.2371,167.19,5,6,0,0,1,0,0,1,1,1,0
25.2707,167.19,5,6,0,0,1,0,0,1,1,1,0
25.2707,167.125,5,6,0,0,1,0,0,1,1,1,0
25.3042,167.125,5,6,0,0,1,0,0,1,1,1,0
25.3042,167.06,5,6,0,0,1,0,0,1,1,1,0
25.3378,167.06,5,6,0,0,1,0,0,1,1,1,0
25.3378,166.995,5,6,0,0,1,0,0,1,1,1,0
25.3714,166.995,5,6,0,0,1,0,0,1,1,1,0
25.3714,166.93,5,6,0,0,1,0,0,1,1,1,0
25.4049,166.93,5,6,0,0,1,0,0,1,1,1,0
25.4049,166.865,5,6,0,0,1,0,0,1,1,1,0
25.4385,166.865,5,6,0,0,1,0,0,1,1,1,0
25.4385,166.801,5,6,0,0,1,0,0,1,1,1,0
25.472,166.801,5,6,0,0,1,0,0,1,1,1,0
25.472,166.736,5,6,0,0,1,0,0,1,1,1,0
25.5056,166.736,5,6,0,0,1,0,0,1,1,1,0
25.5056,166.671,5,6,0,0,1,0,0,1,1,1,0
25.5392,166.671,5,6,0,0,1,0,0,1,1,1,0
25.5392,166.606,5,6,0,0,1,0,0,1,1,1,0
25.5727,166.606,5,6,0,0,1,0,0,1,1,1,0
25.5727,166.542,5,6,0,0,1,0,0,1,1,1,0
25.6063,166.542,5,6,0,0,1,0,0,1,1,1,0
25.6063,166.477,5,6,0,0,1,0,0,1,1,1,0
