"Time","egsCarSpeed - Geschwindigkeit des Fahrzeugs"
1.35,9.69499
1.36,10.2084
1.37,10.7261
1.38,11.2455
1.39,11.7867
1.4,11.7309
1.41,11.0185
1.42,11.2601
1.43,12.059
1.44,13.0193
1.45,13.8711
1.46,14.508
1.47,14.9413
1.48,15.2371
1.49,15.4794
1.5,15.7298
1.51,16.0136
1.52,16.331
1.53,16.6693
1.54,17.0153
1.55,17.3582
1.56,17.6931
1.57,18.0178
1.58,18.3349
1.59,18.6468
1.6,18.9555
1.61,19.2624
1.62,19.5681
1.63,19.8727
1.64,20.1757
1.65,20.477
1.66,20.776
1.67,21.0728
1.68,21.3671
1.69,21.6593
1.7,21.9494
1.71,22.2375
1.72,22.5237
1.73,22.808
1.74,23.0904
1.75,23.3709
1.76,23.6494
1.77,23.9261
1.78,24.201
1.79,24.4741
1.8,24.7453
1.81,25.0148
1.82,25.2825
1.83,25.5484
1.84,25.8127
1.85,26.066
1.86,26.3074
1.87,26.5549
1.88,26.8217
1.89,27.104
1.9,27.3865
1.91,27.6619
1.92,27.925
1.93,28.1753
1.94,28.416
1.95,28.653
1.96,28.891
1.97,29.1317
1.98,29.3758
1.99,29.6229
2,29.8718
2.01,30.1216
2.02,30.3708
2.03,30.6183
2.04,30.8634
2.05,31.1062
2.06,31.3468
2.07,31.586
2.08,31.8241
2.09,32.0615
2.1,32.2984
2.11,32.5347
2.12,32.7704
2.13,33.0053
2.14,33.2395
2.15,33.4726
2.16,33.7048
2.17,33.936
2.18,34.1661
2.19,34.3952
2.2,34.6235
2.21,34.8508
2.22,35.0772
2.23,35.3028
2.24,35.5275
2.25,35.7513
2.26,35.9742
2.27,36.1963
2.28,36.4174
2.29,36.6377
2.3,36.8571
2.31,37.0755
2.32,37.2931
2.33,37.5099
2.34,37.7257
2.35,37.9407
2.36,38.1548
2.37,38.3684
2.38,38.5817
2.39,38.7942
2.4,39.0054
2.41,39.2154
2.42,39.4242
2.43,39.6321
2.44,39.8391
2.45,40.0455
2.46,40.2513
2.47,40.4563
2.48,40.3882
2.49,40.2539
2.5,40.1324
2.51,40.0666
2.52,40.0651
2.53,40.1259
2.54,40.1953
2.55,40.2537
2.56,40.2781
2.57,40.252
2.58,40.172
2.59,40.0501
2.6,39.8861
2.61,39.6959
2.62,40.2698
2.63,40.9834
2.64,41.213
2.65,41.2923
2.66,41.2676
2.67,41.2177
2.68,39.5014
2.69,38.4957
2.7,39.4734
2.71,40.2305
2.72,40.5229
2.73,40.5759
2.74,40.563
2.75,40.5661
2.76,40.5992
2.77,40.6198
2.78,40.6581
2.79,40.7002
2.8,40.7496
2.81,40.8009
2.82,40.8625
2.83,40.9229
2.84,40.9979
2.85,41.0737
2.86,41.1631
2.87,41.2562
2.88,41.3516
2.89,41.4663
2.9,41.5757
2.91,41.6919
2.92,41.8185
2.93,41.9587
2.94,42.0945
2.95,42.2429
2.96,42.3958
2.97,42.5519
2.98,42.595
2.99,42.6888
3,42.8277
3.01,42.9857
3.02,43.1484
3.03,43.3106
3.04,43.4711
3.05,43.6303
3.06,43.7888
3.07,43.9467
3.08,44.1042
3.09,44.2613
3.1,44.418
3.11,44.5744
3.12,44.7305
3.13,44.8862
3.14,45.0417
3.15,45.1967
3.16,45.3515
3.17,45.5059
3.18,45.6599
3.19,45.8137
3.2,45.967
3.21,46.1201
3.22,46.2728
3.23,46.4252
3.24,46.5717
3.25,46.7204
3.26,46.8756
3.27,47.0303
3.28,47.1869
3.29,47.3428
3.3,47.4943
3.31,47.6457
3.32,47.7945
3.33,47.9433
3.34,48.0934
3.35,48.2441
3.36,48.395
3.37,48.5459
3.38,48.6968
3.39,48.847
3.4,48.9962
3.41,49.1445
3.42,49.2927
3.43,49.4414
3.44,49.591
3.45,49.7412
3.46,49.8912
3.47,50.0405
3.48,50.1893
3.49,50.338
3.5,50.4866
3.51,50.6351
3.52,50.7833
3.53,50.9314
3.54,51.0793
3.55,51.2269
3.56,51.3744
3.57,51.5217
3.58,51.6688
3.59,51.8157
3.6,51.9624
3.61,52.1089
3.62,52.2553
3.63,52.4014
3.64,52.5474
3.65,52.6931
3.66,52.8387
3.67,52.9841
3.68,53.1293
3.69,53.2743
3.7,53.4191
3.71,53.5637
3.72,53.7081
3.73,53.8524
3.74,53.9964
3.75,54.1403
3.76,54.2839
3.77,54.4274
3.78,54.5707
3.79,54.7138
3.8,54.8567
3.81,54.9994
3.82,55.142
3.83,55.2843
3.84,55.4265
3.85,55.5684
3.86,55.7102
3.87,55.8518
3.88,55.9932
3.89,56.1344
3.9,56.2754
3.91,56.4163
3.92,56.5569
3.93,56.6974
3.94,56.8376
3.95,56.9777
3.96,57.1176
3.97,57.2573
3.98,57.3969
3.99,57.5362
4,57.6754
4.01,57.8143
4.02,57.9531
4.03,58.0917
4.04,58.2301
4.05,58.3683
4.06,58.5063
4.07,58.6442
4.08,58.7818
4.09,58.9193
4.1,59.0566
4.11,59.1937
4.12,59.3306
4.13,59.4674
4.14,59.6039
4.15,59.7403
4.16,59.8765
4.17,60.0125
4.18,60.1483
4.19,60.2839
4.2,60.4193
4.21,60.5546
4.22,60.6897
4.23,60.8245
4.24,60.9592
4.25,61.0938
4.26,61.2281
4.27,61.3623
4.28,61.4962
4.29,61.63
4.3,61.7636
4.31,61.897
4.32,62.0303
4.33,62.1634
4.34,62.2962
4.35,62.4289
4.36,62.5614
4.37,62.6938
4.38,62.8259
4.39,62.9579
4.4,63.0897
4.41,63.2213
4.42,63.3527
4.43,63.4839
4.44,63.615
4.45,63.7459
4.46,63.8766
4.47,64.0071
4.48,64.1374
4.49,64.2676
4.5,64.3976
4.51,64.5274
4.52,64.657
4.53,64.7865
4.54,64.9157
4.55,65.0448
4.56,65.1737
4.57,65.3024
4.58,65.431
4.59,65.5594
4.6,65.6875
4.61,65.8156
4.62,65.9434
4.63,66.0711
4.64,66.1985
4.65,66.3258
4.66,66.453
4.67,66.5799
4.68,66.7067
4.69,66.8333
4.7,66.9597
4.71,67.0859
4.72,67.212
4.73,67.3379
4.74,67.4636
4.75,67.5891
4.76,67.7145
4.77,67.8397
4.78,67.9647
4.79,68.0895
4.8,68.2142
4.81,68.3387
4.82,68.463
4.83,68.5871
4.84,68.7111
4.85,68.8349
4.86,68.9585
4.87,69.0823
4.88,69.2059
4.89,69.329
4.9,69.4517
4.91,69.5742
4.92,69.6968
4.93,69.8193
4.94,69.9416
4.95,70.0638
4.96,70.1858
4.97,70.3076
4.98,70.4292
4.99,70.5506
5,70.6719
5.01,70.793
5.02,70.914
5.03,71.0347
5.04,71.1554
5.05,71.2758
5.06,71.3961
5.07,71.5162
5.08,71.6361
5.09,71.7559
5.1,71.8755
5.11,71.995
5.12,72.1142
5.13,72.2333
5.14,72.3523
5.15,72.4711
5.16,72.5897
5.17,72.7081
5.18,72.8264
5.19,72.9444
5.2,73.0615
5.21,73.1777
5.22,73.2936
5.23,73.4098
5.24,73.5265
5.25,73.6432
5.26,73.7598
5.27,73.8758
5.28,73.9914
5.29,74.1066
5.3,74.2215
5.31,74.3362
5.32,74.4506
5.33,74.5648
5.34,74.6787
5.35,74.7922
5.36,74.9055
5.37,75.0184
5.38,75.1311
5.39,75.2435
5.4,75.3556
5.41,75.4674
5.42,75.5789
5.43,75.6901
5.44,75.8011
5.45,75.9117
5.46,76.0221
5.47,76.1322
5.48,76.242
5.49,76.3516
5.5,76.4608
5.51,76.5698
5.52,76.6785
5.53,76.7869
5.54,76.895
5.55,77.0029
5.56,77.1104
5.57,77.2177
5.58,77.3247
5.59,77.4315
5.6,77.5379
5.61,77.6441
5.62,77.75
5.63,77.8557
5.64,77.961
5.65,78.0661
5.66,78.171
5.67,78.2755
5.68,78.3798
5.69,78.4838
5.7,78.5875
5.71,78.691
5.72,78.7942
5.73,78.8971
5.74,78.9998
5.75,79.1022
5.76,79.2043
5.77,79.3062
5.78,79.4078
5.79,79.5091
5.8,79.6102
5.81,79.711
5.82,79.8115
5.83,79.9118
5.84,80.0118
5.85,80.1116
5.86,77.8715
5.87,77.4038
5.88,79.2586
5.89,80.1412
5.9,80.7574
5.91,81.134
5.92,81.3311
5.93,81.449
5.94,81.5417
5.95,81.6305
5.96,81.7211
5.97,81.8125
5.98,81.9044
5.99,81.9965
6,82.0887
6.01,82.1808
6.02,82.2728
6.03,82.3647
6.04,82.4566
6.05,82.5484
6.06,82.6401
6.07,82.7318
6.08,82.8235
6.09,82.915
6.1,83.0066
6.11,83.098
6.12,83.1894
6.13,83.2808
6.14,83.3721
6.15,83.4633
6.16,83.5545
6.17,83.6456
6.18,83.7367
6.19,83.8277
6.2,83.9186
6.21,84.0095
6.22,84.1004
6.23,84.1912
6.24,84.2819
6.25,84.3726
