"time","FMU_Interface_OUT0_Battery Cha"
0.205,91.1938
0.206,91.1937
0.207,91.1937
0.208,91.1937
0.209,91.1936
0.21,91.1936
0.211,91.1936
0.212,91.1935
0.213,91.1935
0.214,91.1935
0.215,91.1934
0.216,91.1934
0.217,91.1934
0.218,91.1933
0.219,91.1933
0.22,91.1933
0.221,91.1932
0.222,91.1932
0.223,91.1932
0.224,91.1931
0.225,91.1931
0.226,91.1931
0.227,91.193
0.228,91.193
0.229,91.193
0.23,91.193
0.231,91.1929
0.232,91.1929
0.233,91.1929
0.234,91.1928
0.235,91.1928
0.236,91.1928
0.237,91.1927
0.238,91.1927
0.239,91.1927
0.24,91.1926
0.241,91.1926
0.242,91.1926
0.243,91.1925
0.244,91.1925
0.245,91.1925
0.246,91.1924
0.247,91.1924
0.248,91.1924
0.249,91.1923
0.25,91.1923
0.251,91.1923
0.252,91.1922
0.253,91.1922
0.254,91.1922
0.255,91.1922
0.256,91.1921
0.257,91.1921
0.258,91.1921
0.259,91.192
0.26,91.192
0.261,91.192
0.262,91.1919
0.263,91.1919
0.264,91.1919
0.265,91.1918
0.266,91.1918
0.267,91.1918
0.268,91.1917
0.269,91.1917
0.27,91.1917
0.271,91.1916
0.272,91.1916
0.273,91.1916
0.274,91.1915
0.275,91.1915
0.276,91.1915
0.277,91.1914
0.278,91.1914
0.279,91.1914
0.28,91.1914
0.281,91.1913
0.282,91.1913
0.283,91.1913
0.284,91.1912
0.285,91.1912
0.286,91.1912
0.287,91.1911
0.288,91.1911
0.289,91.1911
0.29,91.191
0.291,91.191
0.292,91.191
0.293,91.1909
0.294,91.1909
0.295,91.1909
0.296,91.1908
0.297,91.1908
0.298,91.1908
0.299,91.1907
0.3,91.1907
0.301,91.1907
0.302,91.1906
0.303,91.1906
0.304,91.1906
0.305,91.1906
0.306,91.1905
0.307,91.1905
0.308,91.1905
0.309,91.1904
0.31,91.1904
0.311,91.1904
0.312,91.1903
0.313,91.1903
0.314,91.1903
0.315,91.1902
0.316,91.1902
0.317,91.1902
0.318,91.1901
0.319,91.1901
0.32,91.1901
0.321,91.19
0.322,91.19
0.323,91.19
0.324,91.1899
0.325,91.1899
0.326,91.1899
0.327,91.1898
0.328,91.1898
0.329,91.1898
0.33,91.1898
0.331,91.1897
0.332,91.1897
0.333,91.1897
0.334,91.1896
0.335,91.1896
0.336,91.1896
0.337,91.1895
0.338,91.1895
0.339,91.1895
0.34,91.1894
0.341,91.1894
0.342,91.1894
0.343,91.1893
0.344,91.1893
0.345,91.1893
0.346,91.1892
0.347,91.1892
0.348,91.1892
0.349,91.1891
0.35,91.1891
0.351,91.1891
0.352,91.189
0.353,91.189
0.354,91.189
0.355,91.1889
0.356,91.1889
0.357,91.1889
0.358,91.1889
0.359,91.1888
0.36,91.1888
0.361,91.1888
0.362,91.1887
0.363,91.1887
0.364,91.1887
0.365,91.1886
0.366,91.1886
0.367,91.1886
0.368,91.1885
0.369,91.1885
0.37,91.1885
0.371,91.1884
0.372,91.1884
0.373,91.1884
0.374,91.1883
0.375,91.1883
0.376,91.1883
0.377,91.1882
0.378,91.1882
0.379,91.1882
0.38,91.1881
0.381,91.1881
0.382,91.1881
0.383,91.188
0.384,91.188
0.385,91.188
0.386,91.188
0.387,91.1879
0.388,91.1879
0.389,91.1879
0.39,91.1878
0.391,91.1878
0.392,91.1878
0.393,91.1877
0.394,91.1877
0.395,91.1877
0.396,91.1876
0.397,91.1876
0.398,91.1876
0.399,91.1875
0.4,91.1875
0.401,91.1875
0.402,91.1874
0.403,91.1874
0.404,91.1874
0.405,91.1873
0.406,91.1873
0.407,91.1873
0.408,91.1872
0.409,91.1872
0.41,91.1872
0.411,91.1872
0.412,91.1871
0.413,91.1871
0.414,91.1871
0.415,91.187
0.416,91.187
0.417,91.187
0.418,91.1869
0.419,91.1869
0.42,91.1869
0.421,91.1868
0.422,91.1868
0.423,91.1868
0.424,91.1867
0.425,91.1867
0.426,91.1867
0.427,91.1866
0.428,91.1866
0.429,91.1866
0.43,91.1865
0.431,91.1865
0.432,91.1865
0.433,91.1864
0.434,91.1864
0.435,91.1864
0.436,91.1864
0.437,91.1863
0.438,91.1863
0.439,91.1863
0.44,91.1862
0.441,91.1862
0.442,91.1862
0.443,91.1861
0.444,91.1861
0.445,91.1861
0.446,91.186
0.447,91.186
0.448,91.186
0.449,91.1859
0.45,91.1859
0.451,91.1859
0.452,91.1858
0.453,91.1858
0.454,91.1858
0.455,91.1857
0.456,91.1857
0.457,91.1857
0.458,91.1856
0.459,91.1856
0.46,91.1856
0.461,91.1856
0.462,91.1855
0.463,91.1855
0.464,91.1855
0.465,91.1854
0.466,91.1854
0.467,91.1854
0.468,91.1853
0.469,91.1853
0.47,91.1853
0.471,91.1852
0.472,91.1852
0.473,91.1852
0.474,91.1851
0.475,91.1851
0.476,91.1851
0.477,91.185
0.478,91.185
0.479,91.185
0.48,91.1849
0.481,91.1849
0.482,91.1849
0.483,91.1848
0.484,91.1848
0.485,91.1848
0.486,91.1848
0.487,91.1847
0.488,91.1847
0.489,91.1847
0.49,91.1846
0.491,91.1846
0.492,91.1846
0.493,91.1845
0.494,91.1845
0.495,91.1845
0.496,91.1844
0.497,91.1844
0.498,91.1844
0.499,91.1843
0.5,91.1843
0.501,91.1843
0.502,91.1842
0.503,91.1842
0.504,91.1842
0.505,91.1841
0.506,91.1841
0.507,91.1841
0.508,91.184
0.509,91.184
0.51,91.184
0.511,91.184
0.512,91.1839
0.513,91.1839
0.514,91.1839
0.515,91.1838
0.516,91.1838
0.517,91.1838
0.518,91.1837
0.519,91.1837
0.52,91.1837
0.521,91.1836
0.522,91.1836
0.523,91.1836
0.524,91.1835
0.525,91.1835
0.526,91.1835
0.527,91.1834
0.528,91.1834
0.529,91.1834
0.53,91.1833
0.531,91.1833
0.532,91.1833
0.533,91.1832
0.534,91.1832
0.535,91.1832
0.536,91.1832
0.537,91.1831
0.538,91.1831
0.539,91.1831
0.54,91.183
0.541,91.183
0.542,91.183
0.543,91.1829
0.544,91.1829
0.545,91.1829
0.546,91.1828
0.547,91.1828
0.548,91.1828
0.549,91.1827
0.55,91.1827
0.551,91.1827
0.552,91.1826
0.553,91.1826
0.554,91.1826
0.555,91.1825
0.556,91.1825
0.557,91.1825
0.558,91.1824
0.559,91.1824
0.56,91.1824
0.561,91.1824
0.562,91.1823
0.563,91.1823
0.564,91.1823
0.565,91.1822
0.566,91.1822
0.567,91.1822
0.568,91.1821
0.569,91.1821
0.57,91.1821
0.571,91.182
0.572,91.182
0.573,91.182
0.574,91.1819
0.575,91.1819
0.576,91.1819
0.577,91.1818
0.578,91.1818
0.579,91.1818
0.58,91.1817
0.581,91.1817
0.582,91.1817
0.583,91.1816
0.584,91.1816
0.585,91.1816
0.586,91.1815
0.587,91.1815
0.588,91.1815
0.589,91.1814
0.59,91.1814
0.591,91.1814
0.592,91.1814
0.593,91.1813
0.594,91.1813
0.595,91.1813
0.596,91.1812
0.597,91.1812
0.598,91.1812
0.599,91.1811
0.6,91.1811
0.601,91.1811
0.602,91.181
0.603,91.181
0.604,91.181
0.605,91.1809
0.606,91.1809
0.607,91.1809
0.608,91.1808
0.609,91.1808
0.61,91.1808
0.611,91.1807
0.612,91.1807
0.613,91.1807
0.614,91.1806
0.615,91.1806
0.616,91.1806
0.617,91.1806
0.618,91.1805
0.619,91.1805
0.62,91.1805
0.621,91.1804
0.622,91.1804
0.623,91.1804
0.624,91.1803
0.625,91.1803
0.626,91.1803
0.627,91.1802
0.628,91.1802
0.629,91.1802
0.63,91.1801
0.631,91.1801
0.632,91.1801
0.633,91.18
0.634,91.18
0.635,91.18
0.636,91.1799
0.637,91.1799
0.638,91.1799
0.639,91.1798
0.64,91.1798
0.641,91.1798
0.642,91.1798
0.643,91.1797
0.644,91.1797
0.645,91.1797
0.646,91.1796
0.647,91.1796
0.648,91.1796
0.649,91.1795
0.65,91.1795
0.651,91.1795
0.652,91.1794
0.653,91.1794
0.654,91.1794
0.655,91.1793
0.656,91.1793
0.657,91.1793
0.658,91.1792
0.659,91.1792
0.66,91.1792
0.661,91.1791
0.662,91.1791
0.663,91.1791
0.664,91.179
0.665,91.179
0.666,91.179
0.667,91.179
0.668,91.1789
0.669,91.1789
0.67,91.1789
0.671,91.1788
0.672,91.1788
0.673,91.1788
0.674,91.1787
0.675,91.1787
0.676,91.1787
0.677,91.1786
0.678,91.1786
0.679,91.1786
0.68,91.1785
0.681,91.1785
0.682,91.1785
0.683,91.1784
0.684,91.1784
0.685,91.1784
0.686,91.1783
0.687,91.1783
0.688,91.1783
0.689,91.1782
0.69,91.1782
0.691,91.1782
0.692,91.1782
0.693,91.1781
0.694,91.1781
0.695,91.1781
0.696,91.178
0.697,91.178
0.698,91.178
0.699,91.1779
0.7,91.1779
0.701,91.1779
0.702,91.1778
0.703,91.1778
0.704,91.1778
0.705,91.1777
0.706,91.1777
0.707,91.1777
0.708,91.1776
0.709,91.1776
0.71,91.1776
0.711,91.1775
0.712,91.1775
0.713,91.1775
0.714,91.1774
0.715,91.1774
0.716,91.1774
0.717,91.1774
0.718,91.1773
0.719,91.1773
0.72,91.1773
0.721,91.1772
0.722,91.1772
0.723,91.1772
0.724,91.1771
0.725,91.1771
0.726,91.1771
0.727,91.177
0.728,91.177
0.729,91.177
0.73,91.1769
0.731,91.1769
0.732,91.1769
0.733,91.1768
0.734,91.1768
0.735,91.1768
0.736,91.1767
0.737,91.1767
0.738,91.1767
0.739,91.1766
0.74,91.1766
0.741,91.1766
0.742,91.1766
0.743,91.1765
0.744,91.1765
0.745,91.1765
0.746,91.1764
0.747,91.1764
0.748,91.1764
0.749,91.1763
0.75,91.1763
0.751,91.1763
0.752,91.1762
0.753,91.1762
0.754,91.1762
0.755,91.1761
0.756,91.1761
0.757,91.1761
0.758,91.176
0.759,91.176
0.76,91.176
0.761,91.1759
0.762,91.1759
0.763,91.1759
0.764,91.1758
0.765,91.1758
0.766,91.1758
0.767,91.1758
0.768,91.1757
0.769,91.1757
0.77,91.1757
0.771,91.1756
0.772,91.1756
0.773,91.1756
0.774,91.1755
0.775,91.1755
0.776,91.1755
0.777,91.1754
0.778,91.1754
0.779,91.1754
0.78,91.1753
0.781,91.1753
0.782,91.1753
0.783,91.1752
0.784,91.1752
0.785,91.1752
0.786,91.1751
0.787,91.1751
0.788,91.1751
0.789,91.175
0.79,91.175
0.791,91.175
0.792,91.1749
0.793,91.1749
0.794,91.1749
0.795,91.1749
0.796,91.1748
0.797,91.1748
0.798,91.1748
0.799,91.1747
0.8,91.1747
0.801,91.1747
0.802,91.1746
0.803,91.1746
0.804,91.1746
0.805,91.1745
0.806,91.1745
0.807,91.1745
0.808,91.1744
0.809,91.1744
0.81,91.1744
0.811,91.1743
0.812,91.1743
0.813,91.1743
0.814,91.1742
0.815,91.1742
0.816,91.1742
0.817,91.1741
0.818,91.1741
0.819,91.1741
0.82,91.174
0.821,91.174
0.822,91.174
0.823,91.174
0.824,91.1739
0.825,91.1739
0.826,91.1739
0.827,91.1738
0.828,91.1738
0.829,91.1738
0.83,91.1737
0.831,91.1737
0.832,91.1737
0.833,91.1736
0.834,91.1736
0.835,91.1736
0.836,91.1735
0.837,91.1735
0.838,91.1735
0.839,91.1734
0.84,91.1734
0.841,91.1734
0.842,91.1733
0.843,91.1733
0.844,91.1733
0.845,91.1732
0.846,91.1732
0.847,91.1732
0.848,91.1732
0.849,91.1731
0.85,91.1731
0.851,91.1731
0.852,91.173
0.853,91.173
0.854,91.173
0.855,91.1729
0.856,91.1729
0.857,91.1729
0.858,91.1728
0.859,91.1728
0.86,91.1728
0.861,91.1727
0.862,91.1727
0.863,91.1727
0.864,91.1726
0.865,91.1726
0.866,91.1726
0.867,91.1725
0.868,91.1725
0.869,91.1725
0.87,91.1724
0.871,91.1724
0.872,91.1724
0.873,91.1724
0.874,91.1723
0.875,91.1723
0.876,91.1723
0.877,91.1722
0.878,91.1722
0.879,91.1722
0.88,91.1721
0.881,91.1721
0.882,91.1721
0.883,91.172
0.884,91.172
0.885,91.172
0.886,91.1719
0.887,91.1719
0.888,91.1719
0.889,91.1718
0.89,91.1718
0.891,91.1718
0.892,91.1717
0.893,91.1717
0.894,91.1717
0.895,91.1717
0.896,91.1716
0.897,91.1716
0.898,91.1716
0.899,91.1715
0.9,91.1715
0.901,91.1715
0.902,91.1714
0.903,91.1714
0.904,91.1714
0.905,91.1713
0.906,91.1713
0.907,91.1713
0.908,91.1712
0.909,91.1712
0.91,91.1712
0.911,91.1711
0.912,91.1711
0.913,91.1711
0.914,91.171
0.915,91.171
0.916,91.171
0.917,91.1709
0.918,91.1709
0.919,91.1709
0.92,91.1709
0.921,91.1708
0.922,91.1708
0.923,91.1708
0.924,91.1707
0.925,91.1707
0.926,91.1707
0.927,91.1706
0.928,91.1706
0.929,91.1706
0.93,91.1705
0.931,91.1705
0.932,91.1705
0.933,91.1704
0.934,91.1704
0.935,91.1704
0.936,91.1703
0.937,91.1703
0.938,91.1703
0.939,91.1702
0.94,91.1702
0.941,91.1702
0.942,91.1701
0.943,91.1701
0.944,91.1701
0.945,91.1701
0.946,91.17
0.947,91.17
0.948,91.17
0.949,91.1699
0.95,91.1699
0.951,91.1699
0.952,91.1698
0.953,91.1698
0.954,91.1698
0.955,91.1697
0.956,91.1697
0.957,91.1697
0.958,91.1696
0.959,91.1696
0.96,91.1696
0.961,91.1695
0.962,91.1695
0.963,91.1695
0.964,91.1694
0.965,91.1694
0.966,91.1694
0.967,91.1693
0.968,91.1693
0.969,91.1693
0.97,91.1693
0.971,91.1692
0.972,91.1692
0.973,91.1692
0.974,91.1691
0.975,91.1691
0.976,91.1691
0.977,91.169
0.978,91.169
0.979,91.169
0.98,91.1689
0.981,91.1689
0.982,91.1689
0.983,91.1688
0.984,91.1688
0.985,91.1688
0.986,91.1687
0.987,91.1687
0.988,91.1687
0.989,91.1686
0.99,91.1686
0.991,91.1686
0.992,91.1685
0.993,91.1685
0.994,91.1685
0.995,91.1684
0.996,91.1684
0.997,91.1684
0.998,91.1684
0.999,91.1683
1,91.1683
