"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0.174,8.381114,1.726554,0,0
0.176,8.347008,1.746081,0,0
0.178,8.313801,1.765598,0,0
0.18,8.281547,1.785103,0,0
0.182,8.250297,1.804597,0,0
0.184,8.220098,1.82408,0,0
0.186,8.190991,1.843551,0,0
0.188,8.163016,1.863011,0,0
0.19,8.136205,1.882459,0,0
0.192,8.110588,1.901896,0,0
0.194,8.08619,1.92132,0,0
0.196,8.06303,1.940733,0,0
0.198,8.041123,1.960133,0,0
0.2,8.020479,1.979521,0,0
0.202,8.001104,1.998896,0,0
0.204,7.982996,2.01826,0,0
0.206,7.966152,2.03761,0,0
0.208,7.950562,2.056948,0,0
0.21,7.936211,2.076272,0,0
0.212,7.92308,2.095584,0,0
0.214,7.911144,2.114883,0,0
0.216,7.900374,2.134168,0,0
0.218,7.890737,2.15344,0,0
0.22,7.882195,2.172699,0,0
0.222,7.874706,2.191944,0,0
0.224,7.868223,2.211175,0,0
0.226,7.862697,2.230392,0,0
0.228,7.858073,2.249595,0,0
0.23,7.854294,2.268785,0,0
0.232,7.851299,2.28796,0,0
0.234,7.849025,2.30712,0,0
0.236,7.847405,2.326266,0,0
0.238,7.84637,2.345398,0,0
0.24,7.845849,2.364515,0,0
0.242,7.845768,2.383617,0,0
0.244,7.846053,2.402704,0,0
0.246,7.846626,2.421776,0,0
0.248,7.847412,2.440833,0,0
0.25,7.848331,2.459874,0,0
0.252,7.849305,2.4789,0,0
0.254,7.850255,2.497911,0,0
0.256,7.851102,2.516906,0,0
0.258,7.851769,2.535885,0,0
0.26,7.852178,2.554848,0,0
0.262,7.852252,2.573795,0,0
0.264,7.851916,2.592726,0,0
0.266,7.851098,2.61164,0,0
0.268,7.849726,2.630539,0,0
0.27,7.847731,2.64942,0,0
0.272,7.845046,2.668285,0,0
0.274,7.841608,2.687134,0,0
0.276,7.837356,2.705965,0,0
0.278,7.832233,2.72478,0,0
0.28,7.826184,2.743577,0,0
0.282,7.819159,2.762357,0,0
0.284,7.811113,2.78112,0,0
0.286,7.802003,2.799865,0,0
0.288,7.79179,2.818593,0,0
0.29,7.780443,2.837303,0,0
0.292,7.767931,2.855995,0,0
0.294,7.75423,2.87467,0,0
0.296,7.739322,2.893326,0,0
0.298,7.72319,2.911964,0,0
0.3,7.705826,2.930584,0,0
0.302,7.687225,2.949185,0,0
0.304,7.667386,2.967768,0,0
0.306,7.646315,2.986332,0,0
0.308,7.624022,3.004878,0,0
0.31,7.600522,3.023404,0,0
0.312,7.575834,3.041912,0,0
0.314,7.549983,3.060401,0,0
0.316,7.522998,3.07887,0,0
0.318,7.494913,3.09732,0,0
0.32,7.465766,3.11575,0,0
0.322,7.4356,3.134161,0,0
0.324,7.40446,3.152552,0,0
0.326,7.372398,3.170924,0,0
0.328,7.339467,3.189275,0,0
0.33,7.305725,3.207606,0,0
0.332,7.271234,3.225918,0,0
0.334,7.236056,3.244209,0,0
0.336,7.200259,3.262479,0,0
0.338,7.163913,3.280729,0,0
0.34,7.127088,3.298959,0,0
0.342,7.089858,3.317167,0,0
0.344,7.052299,3.335355,0,0
0.346,7.014486,3.353522,0,0
0.348,6.976498,3.371668,0,0
0.35,6.938413,3.389793,0,0
0.352,6.900309,3.407896,0,0
0.354,6.862267,3.425978,0,0
0.356,6.824364,3.444038,0,0
0.358,6.78668,3.462077,0,0
0.36,6.749291,3.480094,0,0
0.362,6.712275,3.498089,0,0
0.364,6.675706,3.516062,0,0
0.366,6.639659,3.534013,0,0
0.368,6.604204,3.551942,0,0
0.37,6.569411,3.569848,0,0
0.372,6.535347,3.587732,0,0
0.374,6.502075,3.605593,0,0
0.376,6.469657,3.623432,0,0
0.378,6.43815,3.641248,0,0
0.38,6.407609,3.659041,0,0
0.382,6.378083,3.676811,0,0
0.384,6.349619,3.694558,0,0
0.386,6.322261,3.712282,0,0
0.388,6.296045,3.729982,0,0
0.39,6.271005,3.747659,0,0
0.392,6.247172,3.765312,0,0
0.394,6.224568,3.782942,0,0
0.396,6.203215,3.800548,0,0
0.398,6.183126,3.81813,0,0
0.4,6.164312,3.835688,0,0
0.402,6.146779,3.853221,0,0
0.404,6.130525,3.850731,0.02,0
0.406,6.115546,3.848216,0.04,0
0.408,6.101833,3.845677,0.06,0
0.41,6.089371,3.843113,0.08,0
0.412,6.07814,3.840525,0.1,0
0.414,6.068115,3.837911,0.12,0
0.416,6.059269,3.835273,0.14,0
0.418,6.051567,3.83261,0.16,0
0.42,6.044972,3.829922,0.18,0
0.422,6.039441,3.827208,0.2,0
0.424,6.034929,3.824469,0.22,0
0.426,6.031384,3.821705,0.24,0
0.428,6.028753,3.818915,0.26,0
0.43,6.026979,3.8161,0.28,0
0.432,6.026001,3.813258,0.3,0
0.434,6.025754,3.810391,0.32,0
0.436,6.026174,3.807498,0.34,0
0.438,6.027189,3.804579,0.36,0
0.44,6.02873,3.801634,0.38,0
0.442,6.030723,3.798662,0.4,0
0.444,6.033093,3.795664,0.42,0
0.446,6.035763,3.792639,0.44,0
0.448,6.038657,3.789588,0.46,0
0.45,6.041696,3.786509,0.48,0
0.452,6.044801,3.783405,0.5,0
0.454,6.047893,3.780273,0.52,0
0.456,6.050894,3.777114,0.54,0
0.458,6.053726,3.773928,0.56,0
0.46,6.056311,3.770714,0.58,0
0.462,6.058573,3.767474,0.6,0
0.464,6.060437,3.764205,0.62,0
0.466,6.061829,3.76091,0.64,0
0.468,6.062679,3.757586,0.66,0
0.47,6.062917,3.754235,0.68,0
0.472,6.062476,3.750856,0.7,0
0.474,6.061294,3.747448,0.72,0
0.476,6.059308,3.744013,0.74,0
