Time,der_p,der_T,
0.48,909.491,-3.96913,
0.482,928.842,-3.95484,
0.484,948.166,-3.93956,
0.486,967.455,-3.92328,
0.488,986.702,-3.90604,
0.49,1005.9,-3.88782,
0.492,1025.04,-3.86865,
0.494,1044.11,-3.84852,
0.496,1063.11,-3.82746,
0.498,1082.04,-3.80547,
0.5,1100.87,-3.78256,
0.502,1119.61,-3.75873,
0.504,1138.25,-3.73401,
0.506,1156.78,-3.70839,
0.508,1175.19,-3.68189,
0.51,1193.47,-3.65451,
0.512,1211.62,-3.62627,
0.514,1229.63,-3.59718,
0.516,1247.5,-3.56724,
0.518,1265.21,-3.53646,
0.52,1282.75,-3.50486,
0.522,1300.13,-3.47244,
0.524,1317.33,-3.43921,
0.526,1334.34,-3.40518,
0.528,1351.17,-3.37036,
0.53,1367.79,-3.33476,
0.532,1384.2,-3.29839,
0.534,1400.4,-3.26126,
0.536,1416.37,-3.22337,
0.538,1432.12,-3.18475,
0.54,1447.62,-3.14539,
0.542,1462.89,-3.1053,
0.544,1477.89,-3.0645,
0.546,1492.64,-3.023,
0.548,1507.12,-2.9808,
0.55,1521.33,-2.93791,
0.552,1535.25,-2.89434,
0.554,1548.88,-2.85011,
0.556,1562.22,-2.80522,
0.558,1575.25,-2.75967,
0.56,1587.96,-2.71349,
0.562,1600.36,-2.66668,
0.564,1612.43,-2.61924,
0.566,1624.16,-2.5712,
0.568,1635.55,-2.52255,
0.57,1646.59,-2.4733,
0.572,1657.27,-2.42348,
0.574,1667.58,-2.37307,
0.576,1677.52,-2.32211,
0.578,1687.09,-2.27058,
0.58,1696.26,-2.21851,
0.582,1705.04,-2.1659,
0.584,1713.41,-2.11277,
0.586,1721.38,-2.05911,
0.588,1728.92,-2.00494,
0.59,1736.04,-1.95028,
0.592,1742.73,-1.89512,
0.594,1748.98,-1.83948,
0.596,1754.78,-1.78337,
0.598,1760.12,-1.7268,
0.6,1765,-1.66977,
0.602,1769.41,-1.6123,
0.604,1773.34,-1.5544,
0.606,1776.78,-1.49606,
0.608,1779.73,-1.43732,
0.61,1782.18,-1.37816,
0.612,1784.13,-1.31861,
0.614,1785.55,-1.25867,
0.616,1786.46,-1.19834,
0.618,1786.83,-1.13765,
0.62,1786.66,-1.0766,
0.622,1785.95,-1.0152,
0.624,1784.69,-0.953457,
0.626,1782.86,-0.89138,
0.628,1780.47,-0.82898,
0.63,1777.5,-0.766266,
0.632,1773.94,-0.703247,
0.634,1769.8,-0.639933,
0.636,1765.05,-0.576333,
0.638,1759.7,-0.512456,
0.64,1753.74,-0.448312,
0.642,1747.16,-0.38391,
0.644,1739.95,-0.319258,
0.646,1732.1,-0.254368,
0.648,1723.61,-0.189247,
0.65,1714.47,-0.123905,
0.652,1704.66,-0.058351,
0.654,1694.2,0.00740499,
0.656,1683.06,0.073354,
0.658,1671.23,0.139487,
0.66,1658.72,0.205794,
0.662,1645.52,0.272266,
0.664,1631.61,0.338895,
0.666,1616.99,0.405669,
0.668,1601.65,0.472582,
0.67,1585.58,0.539622,
0.672,1568.78,0.606781,
0.674,1551.24,0.674049,
0.676,1532.95,0.741417,
0.678,1513.9,0.808876,
0.68,1494.09,0.876417,
0.682,1473.51,0.94403,
0.684,1452.15,1.01171,
0.686,1430.01,1.07944,
0.688,1407.07,1.14721,
0.69,1383.33,1.21502,
0.692,1358.78,1.28286,
0.694,1333.41,1.35071,
0.696,1307.22,1.41857,
0.698,1280.2,1.48642,
0.7,1252.34,1.55427,
0.702,1252.34,1.55421,
0.704,1252.34,1.55416,
0.706,1252.33,1.5541,
0.708,1252.33,1.55405,
0.71,1252.33,1.55399,
0.712,1252.32,1.55394,
0.714,1252.32,1.55388,
0.716,1252.32,1.55383,
0.718,1252.31,1.55378,
0.72,1252.31,1.55372,
0.722,1252.31,1.55367,
0.724,1252.3,1.55361,
0.726,1252.3,1.55356,
0.728,1252.3,1.5535,
0.73,1252.29,1.55345,
0.732,1252.29,1.55339,
0.734,1252.29,1.55334,
0.736,1252.28,1.55328,
0.738,1252.28,1.55323,
0.74,1252.28,1.55317,
0.742,1252.27,1.55312,
0.744,1252.27,1.55306,
0.746,1252.27,1.55301,
0.748,1252.26,1.55295,
0.75,1252.26,1.5529,
0.752,1252.26,1.55284,
0.754,1252.25,1.55279,
0.756,1252.25,1.55273,
0.758,1252.25,1.55268,
0.76,1252.24,1.55262,
0.762,1252.24,1.55257,
0.764,1252.24,1.55251,
0.766,1252.23,1.55246,
0.768,1252.23,1.5524,
0.77,1252.23,1.55235,
0.772,1252.22,1.5523,
0.774,1252.22,1.55224,
0.776,1252.22,1.55219,
0.778,1252.21,1.55213,
0.78,1252.21,1.55208,
0.782,1252.21,1.55202,
0.784,1252.21,1.55197,
0.786,1252.2,1.55191,
0.788,1252.2,1.55186,
0.79,1252.2,1.5518,
0.792,1252.19,1.55175,
0.794,1252.19,1.55169,
0.796,1252.19,1.55164,
0.798,1252.18,1.55158,
0.8,1252.18,1.55153,
0.802,1252.18,1.55147,
0.804,1252.17,1.55142,
0.806,1252.17,1.55136,
0.808,1252.17,1.55131,
0.81,1252.16,1.55126,
0.812,1252.16,1.5512,
0.814,1252.16,1.55115,
0.816,1252.15,1.55109,
0.818,1252.15,1.55104,
0.82,1252.15,1.55098,
0.822,1252.14,1.55093,
0.824,1252.14,1.55087,
0.826,1252.14,1.55082,
0.828,1252.13,1.55076,
0.83,1252.13,1.55071,
0.832,1252.13,1.55065,
0.834,1252.12,1.5506,
0.836,1252.12,1.55054,
0.838,1252.12,1.55049,
0.84,1252.11,1.55043,
0.842,1252.11,1.55038,
0.844,1252.11,1.55033,
0.846,1252.1,1.55027,
0.848,1252.1,1.55022,
0.85,1252.1,1.55016,
0.852,1252.09,1.55011,
0.854,1252.09,1.55005,
0.856,1252.09,1.55,
0.858,1252.08,1.54994,
0.86,1252.08,1.54989,
0.862,1252.08,1.54983,
0.864,1252.07,1.54978,
0.866,1252.07,1.54972,
0.868,1252.07,1.54967,
0.87,1252.06,1.54962,
0.872,1252.06,1.54956,
0.874,1252.06,1.54951,
0.876,1252.05,1.54945,
0.878,1252.05,1.5494,
0.88,1252.05,1.54934,
0.882,1252.04,1.54929,
0.884,1252.04,1.54923,
0.886,1252.04,1.54918,
0.888,1252.04,1.54912,
0.89,1252.03,1.54907,
0.892,1252.03,1.54901,
0.894,1252.03,1.54896,
0.896,1252.02,1.54891,
0.898,1252.02,1.54885,
0.9,1252.02,1.5488,
0.902,1252.01,1.54874,
0.904,1252.01,1.54869,
0.906,1252.01,1.54863,
0.908,1252,1.54858,
0.91,1252,1.54852,
0.912,1252,1.54847,
0.914,1251.99,1.54841,
0.916,1251.99,1.54836,
0.918,1251.99,1.5483,
0.92,1251.98,1.54825,
0.922,1251.98,1.5482,
0.924,1251.98,1.54814,
0.926,1251.97,1.54809,
0.928,1251.97,1.54803,
0.93,1251.97,1.54798,
0.932,1251.96,1.54792,
0.934,1251.96,1.54787,
0.936,1251.96,1.54781,
0.938,1251.95,1.54776,
0.94,1251.95,1.5477,
0.942,1251.95,1.54765,
0.944,1251.94,1.5476,
0.946,1251.94,1.54754,
0.948,1251.94,1.54749,
0.95,1251.93,1.54743,
0.952,1251.93,1.54738,
0.954,1251.93,1.54732,
0.956,1251.92,1.54727,
0.958,1251.92,1.54721,
0.96,1251.92,1.54716,
0.962,1251.91,1.54711,
0.964,1251.91,1.54705,
0.966,1251.91,1.547,
0.968,1251.9,1.54694,
0.97,1251.9,1.54689,
0.972,1251.9,1.54683,
0.974,1251.9,1.54678,
0.976,1251.89,1.54672,
0.978,1251.89,1.54667,
0.98,1251.89,1.54661,
0.982,1251.88,1.54656,
0.984,1251.88,1.54651,
0.986,1251.88,1.54645,
0.988,1251.87,1.5464,
0.99,1251.87,1.54634,
0.992,1251.87,1.54629,
0.994,1251.86,1.54623,
0.996,1251.86,1.54618,
0.998,1251.86,1.54612,
1,1251.85,1.54607,
