"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
10,7.0905570250156824E-001,1.0000000000000000E+000,9.9392886592937690E-001,4.5707144023712203E+001,4.5000000000000001E-001,4.7939879262698115E-001,4.4826810714738791E+001,3.0000000000000000E+001,2.9983373266257150E+001,2.7463935445576698E+001,3.0000000000000000E+000,3.0310332494200094E+000,1.0000000000000000E+003,4.0000000000000000E+001
11,6.8060170309877988E-001,1.0000000000000000E+000,9.9615929279045190E-001,4.4738822274563503E+001,4.5000000000000001E-001,4.7114070879590741E-001,4.3942506784128803E+001,3.0000000000000000E+001,2.9988877394043183E+001,2.5634668213918669E+001,3.0000000000000000E+000,2.8973111363608854E+000,1.0000000000000000E+003,4.0000000000000000E+001
12,6.8268761533396682E-001,1.0000000000000000E+000,9.9883534377744643E-001,4.3739240458405114E+001,4.5000000000000001E-001,4.6428917122234648E-001,4.4016063389462857E+001,3.0000000000000000E+001,2.9996744962870807E+001,2.4404117861225394E+001,3.0000000000000000E+000,2.8887669839402048E+000,1.0000000000000000E+003,4.0000000000000000E+001
13,6.9893310774359840E-001,1.0000000000000000E+000,1.0006282370388673E+000,4.2775610999200993E+001,4.5000000000000001E-001,4.5879088286452507E-001,4.4533533278348010E+001,3.0000000000000000E+001,3.0002160301376666E+001,2.4020463698574083E+001,3.0000000000000000E+000,2.9389290894253248E+000,1.0000000000000000E+003,4.0000000000000000E+001
14,7.1523871307885556E-001,1.0000000000000000E+000,1.0012365886191996E+000,4.1896744242267182E+001,4.5000000000000001E-001,4.5454733915814743E-001,4.5039219310587363E+001,3.0000000000000000E+001,3.0003906722030766E+001,2.4254995069906041E+001,3.0000000000000000E+000,2.9944724850213054E+000,1.0000000000000000E+003,4.0000000000000000E+001
15,7.2470908795748668E-001,1.0000000000000000E+000,1.0010123357470970E+000,4.1134312555339932E+001,4.5000000000000001E-001,4.5142597635745196E-001,4.5327363382671152E+001,3.0000000000000000E+001,3.0003131345583235E+001,2.4698738857885512E+001,3.0000000000000000E+000,3.0260973763292678E+000,1.0000000000000000E+003,4.0000000000000000E+001
16,7.2692244070650835E-001,1.0000000000000000E+000,1.0004809794195921E+000,4.0503423144994628E+001,4.5000000000000001E-001,4.4926817484578108E-001,4.5394342582867324E+001,3.0000000000000000E+001,3.0001480881657368E+001,2.5046660909509214E+001,3.0000000000000000E+000,3.0306469724296883E+000,1.0000000000000000E+003,4.0000000000000000E+001
17,7.2474994303290652E-001,1.0000000000000000E+000,1.0000261384656253E+000,4.0004787664488404E+001,4.5000000000000001E-001,4.4790079240031933E-001,4.5329429935943708E+001,3.0000000000000000E+001,3.0000093936847261E+001,2.5196427750192679E+001,3.0000000000000000E+000,3.0197376881751232E+000,1.0000000000000000E+003,4.0000000000000000E+001
18,7.2140724888847252E-001,1.0000000000000000E+000,9.9979872876041642E-001,3.9628533840069736E+001,4.5000000000000001E-001,4.4715017023394271E-001,4.5229198398563547E+001,3.0000000000000000E+001,2.9999402109156989E+001,2.5187860701527342E+001,3.0000000000000000E+000,3.0061195101445439E+000,1.0000000000000000E+003,4.0000000000000000E+001
19,7.1890313459480448E-001,1.0000000000000000E+000,9.9977475533966964E-001,3.9358661604868168E+001,4.5000000000000001E-001,4.4685627954338925E-001,4.5154173258825445E+001,3.0000000000000000E+001,2.9999327215722232E+001,2.5106970447069319E+001,3.0000000000000000E+000,2.9969837406283824E+000,1.0000000000000000E+003,4.0000000000000000E+001
20,7.1783902928496912E-001,1.0000000000000000E+000,9.9985700249276988E-001,3.9176642953927818E+001,4.5000000000000001E-001,4.4688013013178990E-001,4.5122750177273552E+001,3.0000000000000000E+001,2.9999575484448723E+001,2.5025086799944887E+001,3.0000000000000000E+000,2.9938335231820798E+000,1.0000000000000000E+003,4.0000000000000000E+001
21,7.1789251985822955E-001,1.0000000000000000E+000,9.9995495852106020E-001,3.9064210347646281E+001,4.5000000000000001E-001,4.4710901827389099E-001,4.5125195213146391E+001,3.0000000000000000E+001,2.9999871936961021E+001,2.4976658285673942E+001,3.0000000000000000E+000,2.9948722471726001E+000,1.0000000000000000E+003,4.0000000000000000E+001
22,7.1844362939549855E-001,1.0000000000000000E+000,1.0000193338486001E+000,3.9004789175762554E+001,4.5000000000000001E-001,4.4745580420200937E-001,4.5142620577532654E+001,3.0000000000000000E+001,3.0000066197154705E+001,2.4964312031612778E+001,3.0000000000000000E+000,2.9974909777371908E+000,1.0000000000000000E+003,4.0000000000000000E+001
23,7.1899283896896626E-001,1.0000000000000000E+000,1.0000410186664912E+000,3.8984126871796917E+001,4.5000000000000001E-001,4.4785617958069074E-001,4.5159838518359777E+001,3.0000000000000000E+001,3.0000130659511129E+001,2.4974236572192730E+001,3.0000000000000000E+000,2.9997763299587246E+000,1.0000000000000000E+003,4.0000000000000000E+001
24,7.1930674379284265E-001,1.0000000000000000E+000,1.0000335901654076E+000,3.8990404719686488E+001,4.5000000000000001E-001,4.4826485761735824E-001,4.5169802069122724E+001,3.0000000000000000E+001,3.0000106928646264E+001,2.4990551268101733E+001,3.0000000000000000E+000,3.0009519652361218E+000,1.0000000000000000E+003,4.0000000000000000E+001
25,7.1937422359555137E-001,1.0000000000000000E+000,1.0000155742462287E+000,3.9014090945478117E+001,4.5000000000000001E-001,4.4865166415717789E-001,4.5172219893895175E+001,3.0000000000000000E+001,3.0000051411154253E+001,2.5003069192688670E+001,3.0000000000000000E+000,3.0011118387918656E+000,1.0000000000000000E+003,4.0000000000000000E+001
26,7.1929284216342615E-001,1.0000000000000000E+000,1.0000000783044238E+000,3.9047731115906167E+001,4.5000000000000001E-001,4.4899815060148013E-001,4.5170080193085361E+001,3.0000000000000000E+001,3.0000003830859029E+001,2.5008561400799387E+001,3.0000000000000000E+000,3.0007229713683938E+000,1.0000000000000000E+003,4.0000000000000000E+001
27,7.1917069316443305E-001,1.0000000000000000E+000,9.9999225968576055E-001,3.9085707667901332E+001,4.5000000000000001E-001,4.4929471780494451E-001,4.5166674083919006E+001,3.0000000000000000E+001,2.9999979718484965E+001,2.5008401162317181E+001,3.0000000000000000E+000,3.0002337683642959E+000,1.0000000000000000E+003,4.0000000000000000E+001
28,7.1907669013289022E-001,1.0000000000000000E+000,9.9999140690308164E-001,3.9123978331840235E+001,4.5000000000000001E-001,4.4953824983074175E-001,4.5164095323829159E+001,3.0000000000000000E+001,2.9999976819996760E+001,2.5005580729723306E+001,3.0000000000000000E+000,2.9998999977304317E+000,1.0000000000000000E+003,4.0000000000000000E+001
29,7.1903257967855971E-001,1.0000000000000000E+000,9.9999428414521130E-001,3.9159831217653888E+001,4.5000000000000001E-001,4.4973021874230013E-001,4.5163003222006097E+001,3.0000000000000000E+001,2.9999985263672588E+001,2.5002640665853939E+001,3.0000000000000000E+000,2.9997797432804956E+000,1.0000000000000000E+003,4.0000000000000000E+001
30,7.1902835707872281E-001,1.0000000000000000E+000,9.9999778624301339E-001,3.9191639776105177E+001,4.5000000000000001E-001,4.4987509954741439E-001,4.5163093502241530E+001,3.0000000000000000E+001,2.9999995608208362E+001,2.5000850087368693E+001,3.0000000000000000E+000,2.9998120252616278E+000,1.0000000000000000E+003,4.0000000000000000E+001
31,7.1904292216285570E-001,1.0000000000000000E+000,1.0000001614721847E+000,3.9218613718862478E+001,4.5000000000000001E-001,4.4997907325962616E-001,4.5163726764496651E+001,3.0000000000000000E+001,3.0000002541069733E+001,2.5000341374256244E+001,3.0000000000000000E+000,2.9999041962126141E+000,1.0000000000000000E+003,4.0000000000000000E+001
32,7.1905859065864797E-001,1.0000000000000000E+000,1.0000010349829298E+000,3.9240569954507691E+001,4.5000000000000001E-001,4.5004902625168342E-001,4.5164368922901915E+001,3.0000000000000000E+001,3.0000004936912855E+001,2.5000646677807747E+001,3.0000000000000000E+000,2.9999869265992349E+000,1.0000000000000000E+003,4.0000000000000000E+001
33,7.1906663755339550E-001,1.0000000000000000E+000,1.0000008482081935E+000,3.9257735307006058E+001,4.5000000000000001E-001,4.5009182753872867E-001,4.5164758669870011E+001,3.0000000000000000E+001,3.0000004144544572E+001,2.5001204603308171E+001,3.0000000000000000E+000,3.0000308803251587E+000,1.0000000000000000E+003,4.0000000000000000E+001
34,7.1906630938547311E-001,1.0000000000000000E+000,1.0000002570801290E+000,3.9270598356700120E+001,4.5000000000000001E-001,4.5011394254861509E-001,4.5164876536491136E+001,3.0000000000000000E+001,3.0000002156904905E+001,2.5001641686726003E+001,3.0000000000000000E+000,3.0000384172834438E+000,1.0000000000000000E+003,4.0000000000000000E+001
35,7.1906079781667054E-001,1.0000000000000000E+000,9.9999972605687992E-001,3.9279755247015871E+001,4.5000000000000001E-001,4.5012085484333458E-001,4.5164822091960154E+001,3.0000000000000000E+001,3.0000000380590528E+001,2.5001834880015512E+001,3.0000000000000000E+000,3.0000252978378197E+000,1.0000000000000000E+003,4.0000000000000000E+001
36,7.1905391771697569E-001,1.0000000000000000E+000,9.9999946016590635E-001,3.9285853083094288E+001,4.5000000000000001E-001,4.5011728079283042E-001,4.5164713174191583E+001,3.0000000000000000E+001,2.9999999432250618E+001,2.5001821877254184E+001,3.0000000000000000E+000,3.0000076441937420E+000,1.0000000000000000E+003,4.0000000000000000E+001
37,7.1904822911105970E-001,1.0000000000000000E+000,9.9999944785275341E-001,3.9289524220330435E+001,4.5000000000000001E-001,4.5010703479706449E-001,4.5164629042999699E+001,3.0000000000000000E+001,2.9999999271826340E+001,2.5001707294684479E+001,3.0000000000000000E+000,2.9999951819900672E+000,1.0000000000000000E+003,4.0000000000000000E+001
38,7.1904460466431908E-001,1.0000000000000000E+000,9.9999957687123986E-001,3.9291348921286193E+001,4.5000000000000001E-001,4.5009308061346787E-001,4.5164597229575733E+001,3.0000000000000000E+001,2.9999999553555028E+001,2.5001584985160655E+001,3.0000000000000000E+000,2.9999904943018887E+000,1.0000000000000000E+003,4.0000000000000000E+001
39,7.1904271864383884E-001,1.0000000000000000E+000,9.9999973247875629E-001,3.9291834390021435E+001,4.5000000000000001E-001,4.5007762274742791E-001,4.5164609060101185E+001,3.0000000000000000E+001,2.9999999928195514E+001,2.5001504610949414E+001,3.0000000000000000E+000,2.9999916128199562E+000,1.0000000000000000E+003,4.0000000000000000E+001
40,7.1904178314732925E-001,1.0000000000000000E+000,9.9999984637406891E-001,3.9291405692556161E+001,4.5000000000000001E-001,4.5006221708480038E-001,4.5164641553679381E+001,3.0000000000000000E+001,3.0000000186721408E+001,2.5001473634666915E+001,3.0000000000000000E+000,2.9999951648306062E+000,1.0000000000000000E+003,4.0000000000000000E+001
41,7.1904110015307510E-001,1.0000000000000000E+000,9.9999990134352990E-001,3.9290405062744952E+001,4.5000000000000001E-001,4.5004788671419033E-001,4.5164674466358811E+001,3.0000000000000000E+001,3.0000000276176166E+001,2.5001475766305365E+001,3.0000000000000000E+000,2.9999984895221403E+000,1.0000000000000000E+003,4.0000000000000000E+001
42,7.1904029501111988E-001,1.0000000000000000E+000,9.9999991236647667E-001,3.9289096871984974E+001,4.5000000000000001E-001,4.5003523378631688E-001,4.5164697298266169E+001,3.0000000000000000E+001,3.0000000241316776E+001,2.5001489805277455E+001,3.0000000000000000E+000,3.0000003758162497E+000,1.0000000000000000E+003,4.0000000000000000E+001
43,7.1903929765508134E-001,1.0000000000000000E+000,9.9999990405246331E-001,3.9287676121349449E+001,4.5000000000000001E-001,4.5002454166842815E-001,4.5164708704936722E+001,3.0000000000000000E+001,3.0000000156005292E+001,2.5001500875683618E+001,3.0000000000000000E+000,3.0000008222330536E+000,1.0000000000000000E+003,4.0000000000000000E+001
44,7.1903820833323673E-001,1.0000000000000000E+000,9.9999989562925307E-001,3.9286278769960248E+001,4.5000000000000001E-001,4.5001586406797101E-001,4.5164712412882459E+001,3.0000000000000000E+001,3.0000000077665756E+001,2.5001503297899582E+001,3.0000000000000000E+000,3.0000004189151341E+000,1.0000000000000000E+003,4.0000000000000000E+001
45,7.1903716244688987E-001,1.0000000000000000E+000,9.9999989583185622E-001,3.9284992607610192E+001,4.5000000000000001E-001,4.5000909959433227E-001,4.5164713121258210E+001,3.0000000000000000E+001,3.0000000031872478E+001,2.5001498189098633E+001,3.0000000000000000E+000,2.9999998010683600E+000,1.0000000000000000E+003,4.0000000000000000E+001
46,7.1903625080262656E-001,1.0000000000000000E+000,9.9999990474082856E-001,3.9283867740706775E+001,4.5000000000000001E-001,4.5000405159645057E-001,4.5164714094749414E+001,3.0000000000000000E+001,3.0000000018020891E+001,2.5001489484013860E+001,3.0000000000000000E+000,2.9999993635094708E+000,1.0000000000000000E+003,4.0000000000000000E+001
47,7.1903549982836601E-001,1.0000000000000000E+000,9.9999991825219903E-001,3.9282926086187160E+001,4.5000000000000001E-001,4.5000047412692012E-001,4.5164716580135753E+001,3.0000000000000000E+001,3.0000000022947638E+001,2.5001480831311664E+001,3.0000000000000000E+000,2.9999992208036699E+000,1.0000000000000000E+003,4.0000000000000000E+001
48,7.1903488916040881E-001,1.0000000000000000E+000,9.9999993198235859E-001,3.9282169543281313E+001,4.5000000000000001E-001,4.4999810555944658E-001,4.5164720344776320E+001,3.0000000000000000E+001,3.0000000032716262E+001,2.5001474201401759E+001,3.0000000000000000E+000,2.9999993037577539E+000,1.0000000000000000E+003,4.0000000000000000E+001
49,7.1903438011635290E-001,1.0000000000000000E+000,9.9999994328179076E-001,3.9281586725854801E+001,4.5000000000000001E-001,4.4999669175115692E-001,4.5164724566341384E+001,3.0000000000000000E+001,3.0000000038839406E+001,2.5001469905172303E+001,3.0000000000000000E+000,2.9999994825173490E+000,1.0000000000000000E+003,4.0000000000000000E+001
50,7.1903393763199130E-001,1.0000000000000000E+000,9.9999995149327325E-001,3.9281158286440551E+001,4.5000000000000001E-001,4.4999600074483576E-001,4.5164728487559998E+001,3.0000000000000000E+001,3.0000000038887279E+001,2.5001467293032768E+001,3.0000000000000000E+000,2.9999996516984875E+000,1.0000000000000000E+003,4.0000000000000000E+001
51,7.1903353987424423E-001,1.0000000000000000E+000,9.9999995724737434E-001,3.9280860954454091E+001,4.5000000000000001E-001,4.4999583091891054E-001,4.5164731719787817E+001,3.0000000000000000E+001,3.0000000034405236E+001,2.5001465496195671E+001,3.0000000000000000E+000,2.9999997617599323E+000,1.0000000000000000E+003,4.0000000000000000E+001
52,1.0000000000000000E+000,9.4999999999999996E-001,9.8358739683122876E-001,3.9125175902580757E+001,4.5000000000000001E-001,4.4952846431957771E-001,5.2149090683132883E+001,3.0000000000000000E+001,3.0025540939999058E+001,2.9550119242795610E+001,3.0000000000000000E+000,3.2723375505337198E+000,1.0000000000000000E+003,4.0000000000000000E+001
53,1.0000000000000000E+000,9.4999999999999996E-001,9.6924486776317564E-001,3.9011025466169230E+001,4.5000000000000001E-001,4.4927101525579627E-001,5.2055376185131664E+001,3.0000000000000000E+001,3.0008791054371383E+001,3.1466553669842078E+001,3.0000000000000000E+000,3.2110494780649779E+000,1.0000000000000000E+003,4.0000000000000000E+001
54,1.0000000000000000E+000,9.4999999999999996E-001,9.5669939458029596E-001,3.8932306302298905E+001,4.5000000000000001E-001,4.4916694865701523E-001,5.1950372226385731E+001,3.0000000000000000E+001,3.0002568913401223E+001,3.2057664997532825E+001,3.0000000000000000E+000,3.1111734610427604E+000,1.0000000000000000E+003,4.0000000000000000E+001
55,9.5488704288316650E-001,9.4999999999999996E-001,9.4624149249554279E-001,3.8888024425753308E+001,4.5000000000000001E-001,4.4918669281749890E-001,5.0865921029223095E+001,3.0000000000000000E+001,2.9992183589858286E+001,3.2026706351090560E+001,3.0000000000000000E+000,3.0336823091757070E+000,1.0000000000000000E+003,4.0000000000000000E+001
56,8.5065416709247632E-001,9.4999999999999996E-001,9.4217385464444248E-001,3.8915884800768879E+001,4.5000000000000001E-001,4.4942182012418136E-001,4.8329269234051338E+001,3.0000000000000000E+001,2.9981309335300125E+001,3.0605977746384568E+001,3.0000000000000000E+000,2.9170715583596385E+000,1.0000000000000000E+003,4.0000000000000000E+001
57,7.8715173642144487E-001,9.4999999999999996E-001,9.4336016559015923E-001,3.8992936517422102E+001,4.5000000000000001E-001,4.4976079707486577E-001,4.6643376130550521E+001,3.0000000000000000E+001,2.9983084484378818E+001,2.8707740027757339E+001,3.0000000000000000E+000,2.8499363530569228E+000,1.0000000000000000E+003,4.0000000000000000E+001
58,7.6921785044901747E-001,9.4999999999999996E-001,9.4662699026240449E-001,3.9078630274518346E+001,4.5000000000000001E-001,4.5006263522530093E-001,4.6152271065306913E+001,3.0000000000000000E+001,2.9991238295378764E+001,2.7251070474209474E+001,3.0000000000000000E+000,2.8565921998172210E+000,1.0000000000000000E+003,4.0000000000000000E+001
59,7.8081684494982950E-001,9.4999999999999996E-001,9.4958900156403037E-001,3.9146158312845593E+001,4.5000000000000001E-001,4.5025399770428354E-001,4.6487984780170351E+001,3.0000000000000000E+001,2.9999166648091780E+001,2.6642530095444577E+001,3.0000000000000000E+000,2.9133147646903845E+000,1.0000000000000000E+003,4.0000000000000000E+001
60,8.0209224319263384E-001,9.4999999999999996E-001,9.5119919792215224E-001,3.9186633456134594E+001,4.5000000000000001E-001,4.5032889839387680E-001,4.7079605698249779E+001,3.0000000000000000E+001,3.0003438205774813E+001,2.6780750658670854E+001,3.0000000000000000E+000,2.9797750462778536E+000,1.0000000000000000E+003,4.0000000000000000E+001
61,8.1942717162871948E-001,9.4999999999999996E-001,9.5149565794791224E-001,3.9204002186555222E+001,4.5000000000000001E-001,4.5032080913785999E-001,4.7547430667266099E+001,3.0000000000000000E+001,3.0004104346232378E+001,2.7269511741876649E+001,3.0000000000000000E+000,3.0241194113409944E+000,1.0000000000000000E+003,4.0000000000000000E+001
62,8.2779879136138512E-001,9.4999999999999996E-001,9.5103241982071518E-001,3.9207347010072176E+001,4.5000000000000001E-001,4.5027229965508070E-001,4.7768058066317984E+001,3.0000000000000000E+001,3.0002778232002392E+001,2.7734093978529721E+001,3.0000000000000000E+000,3.0374344592703455E+000,1.0000000000000000E+003,4.0000000000000000E+001
63,8.2842440735610445E-001,9.4999999999999996E-001,9.5038844513075149E-001,3.9205032462609871E+001,4.5000000000000001E-001,4.5021582428069695E-001,4.7782624033718669E+001,3.0000000000000000E+001,3.0001032708099380E+001,2.7997456173947864E+001,3.0000000000000000E+000,3.0292558289678375E+000,1.0000000000000000E+003,4.0000000000000000E+001
64,8.2502959215478389E-001,9.4999999999999996E-001,9.4991768992058701E-001,3.9202085311864501E+001,4.5000000000000001E-001,4.5016783398259136E-001,4.7691550289302562E+001,3.0000000000000000E+001,2.9999776402398748E+001,2.8059183746684720E+001,3.0000000000000000E+000,3.0138029398815007E+000,1.0000000000000000E+003,4.0000000000000000E+001
65,8.2105438156519839E-001,9.4999999999999996E-001,9.4972210427746795E-001,3.9200259020605323E+001,4.5000000000000001E-001,4.5013195396679889E-001,4.7585531682887812E+001,3.0000000000000000E+001,2.9999257461708574E+001,2.8000009497227310E+001,3.0000000000000000E+000,3.0009600440169359E+000,1.0000000000000000E+003,4.0000000000000000E+001
66,8.1840939818570213E-001,9.4999999999999996E-001,9.4973928029973131E-001,3.9199306940225561E+001,4.5000000000000001E-001,4.5010517600048217E-001,4.7515165903844213E+001,3.0000000000000000E+001,2.9999305356180329E+001,2.7906293877908031E+001,3.0000000000000000E+000,2.9944165550979491E+000,1.0000000000000000E+003,4.0000000000000000E+001
67,8.1748349052992453E-001,9.4999999999999996E-001,9.4985360859783485E-001,3.9198367532619656E+001,4.5000000000000001E-001,4.5008325232287372E-001,4.7490814957622597E+001,3.0000000000000000E+001,2.9999612059323518E+001,2.7833043720686604E+001,3.0000000000000000E+000,2.9935029373047835E+000,1.0000000000000000E+003,4.0000000000000000E+001
68,8.1777131260695424E-001,9.4999999999999996E-001,9.4996864781642965E-001,3.9196804674611080E+001,4.5000000000000001E-001,4.5006340018537361E-001,4.7498854204788351E+001,3.0000000000000000E+001,2.9999919550995653E+001,2.7799409846036927E+001,3.0000000000000000E+000,2.9956867742970932E+000,1.0000000000000000E+003,4.0000000000000000E+001
69,8.1853273414603744E-001,9.4999999999999996E-001,9.5003740234053158E-001,3.9194497120969551E+001,4.5000000000000001E-001,4.5004490222974980E-001,4.7519380616682298E+001,3.0000000000000000E+001,3.0000102209633152E+001,2.7798717355728279E+001,3.0000000000000000E+000,2.9984994459964680E+000,1.0000000000000000E+003,4.0000000000000000E+001
70,8.1921675817948225E-001,9.4999999999999996E-001,9.5005575030968159E-001,3.9191716152089469E+001,4.5000000000000001E-001,4.5002834616336940E-001,4.7537671409486855E+001,3.0000000000000000E+001,3.0000149818578311E+001,2.7814401071042660E+001,3.0000000000000000E+000,3.0004817522625653E+000,1.0000000000000000E+003,4.0000000000000000E+001
71,8.1958548983858670E-001,9.4999999999999996E-001,9.5004207530349294E-001,3.9188875781222499E+001,4.5000000000000001E-001,4.5001463192988261E-001,4.7547453170221722E+001,3.0000000000000000E+001,3.0000112271239107E+001,2.7831700187880394E+001,3.0000000000000000E+000,3.0012531122479560E+000,1.0000000000000000E+003,4.0000000000000000E+001
72,8.1965192325770486E-001,9.4999999999999996E-001,9.5001841621019301E-001,3.9186327099197442E+001,4.5000000000000001E-001,4.5000429426599192E-001,4.7549150775362008E+001,3.0000000000000000E+001,3.0000048667838065E+001,2.7842764983574106E+001,3.0000000000000000E+000,3.0011241592402707E+000,1.0000000000000000E+003,4.0000000000000000E+001
73,8.1954397170358817E-001,9.4999999999999996E-001,9.4999935966461502E-001,3.9184258195244595E+001,4.5000000000000001E-001,4.4999728386448573E-001,4.7546218140353190E+001,3.0000000000000000E+001,2.9999997801708194E+001,2.7846350860270014E+001,3.0000000000000000E+000,3.0006072217371815E+000,1.0000000000000000E+003,4.0000000000000000E+001
74,8.1939366284811510E-001,9.4999999999999996E-001,9.4999023703626007E-001,3.9182705831970765E+001,4.5000000000000001E-001,4.4999310507654372E-001,4.7542187222936199E+001,3.0000000000000000E+001,2.9999973655942121E+001,2.7844818413079835E+001,3.0000000000000000E+000,3.0001076481037017E+000,1.0000000000000000E+003,4.0000000000000000E+001
75,8.1928324502985472E-001,9.4999999999999996E-001,9.4998969144636403E-001,3.9181607956522953E+001,4.5000000000000001E-001,4.4999105401831174E-001,4.7539244634482309E+001,3.0000000000000000E+001,2.9999972418233956E+001,2.7841387297664692E+001,3.0000000000000000E+000,2.9998184178603906E+000,1.0000000000000000E+003,4.0000000000000000E+001
76,8.1923708313091392E-001,9.4999999999999996E-001,9.4999358846519144E-001,3.9180863718627236E+001,4.5000000000000001E-001,4.4999043947807810E-001,4.7538027288840844E+001,3.0000000000000000E+001,2.9999982958253948E+001,2.7838408111244245E+001,3.0000000000000000E+000,2.9997494890921224E+000,1.0000000000000000E+003,4.0000000000000000E+001
77,8.1924120143236712E-001,9.4999999999999996E-001,9.4999809738033347E-001,3.9180376520375134E+001,4.5000000000000001E-001,4.4999070971997046E-001,4.7538151359806072E+001,3.0000000000000000E+001,2.9999995035863620E+001,2.7836855298659561E+001,3.0000000000000000E+000,2.9998168173546431E+000,1.0000000000000000E+003,4.0000000000000000E+001
78,8.1926808935011108E-001,9.4999999999999996E-001,9.5000108867550837E-001,3.9180072219428553E+001,4.5000000000000001E-001,4.4999148011935813E-001,4.7538877363452819E+001,3.0000000000000000E+001,3.0000002997920966E+001,2.7836620762374292E+001,3.0000000000000000E+000,2.9999232540770038E+000,1.0000000000000000E+003,4.0000000000000000E+001
