Time,_dummy,_derdummy,TAmb,TDif,ground_p_v,ground_p_i,constantVoltage_V,constantVoltage_v,constantVoltage_i,constantVoltage_p_v,constantVoltage_p_i,constantVoltage_n_v,constantVoltage_n_i,heatCapacitor_C,heatCapacitor_T,der_heatCapacitor_T_,heatCapacitor_der_0T,heatCapacitor_port_T,heatCapacitor_port_Q_0flow,heatingResistor_R_0ref,heatingResistor_T_0ref,heatingResistor_alpha,heatingResistor_v,heatingResistor_i,heatingResistor_p_v,heatingResistor_p_i,heatingResistor_n_v,heatingResistor_n_i,heatingResistor_useHeatPort,heatingResistor_T,heatingResistor_heatPort_T,heatingResistor_heatPort_Q_0flow,heatingResistor_LossPower,heatingResistor_T_0heatPort,heatingResistor_R,fixedTemperature_T,fixedTemperature_port_T,fixedTemperature_port_Q_0flow,temperatureSensor_T,temperatureSensor_port_T,temperatureSensor_port_Q_0flow,thermalConductor_Q_0flow,thermalConductor_dT,thermalConductor_port_0a_T,thermalConductor_port_0a_Q_0flow,thermalConductor_port_0b_T,thermalConductor_port_0b_Q_0flow,thermalConductor_G,idealSwitch_v,idealSwitch_i,idealSwitch_p_v,idealSwitch_p_i,idealSwitch_n_v,idealSwitch_n_i,idealSwitch_Ron,idealSwitch_Goff,idealSwitch_useHeatPort,idealSwitch_T,idealSwitch_LossPower,idealSwitch_T_0heatPort,idealSwitch_control,idealSwitch_s,idealSwitch_unitVoltage,idealSwitch_unitCurrent,ramp_height,ramp_duration,ramp_offset,ramp_startTime,ramp_y,onOffController_reference,onOffController_u,onOffController_y,onOffController_bandwidth,onOffController_pre_0y_0start,logicalNot_u,logicalNot_y,TRes,heatCapacitor_0T,switch_0Controll,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_StartTime,fmi_StopTime,fmi_NumberOfSteps,fmi_CommunicationStepSize,fmi_forceShutDownAtStopTime
0.1,1,0,293.15,2,0,0,10,10,-0.995359,10,-0.995359,0,0.995359,1,294.339,9.83472,9.83472,294.339,9.83472,10,293.15,0.00392157,9.99999,0.995359,9.99999,0.995359,0,-0.995359,1,293.15,294.339,-9.95358,9.95358,294.339,10.0466,293.15,293.15,0.118864,21.1886,294.339,0,0.118864,1.18864,294.339,0.118864,293.15,-0.118864,0.1,9.95359e-006,0.995359,10,0.995359,9.99999,-0.995359,1e-005,1e-005,0,293.15,9.9074e-006,293.15,0,0.995359,1,1,25,6,25,2,25,25,21.1886,1,2,0,1,0,294.142,20.9918,0,0,1,0,10,500,0.02,0
0.12,1,0,293.15,2,0,0,10,10,-0.995359,10,-0.995359,0,0.995359,1,294.339,9.83472,9.83472,294.339,9.83472,10,293.15,0.00392157,9.99999,0.995359,9.99999,0.995359,0,-0.995359,1,293.15,294.339,-9.95358,9.95358,294.339,10.0466,293.15,293.15,0.118864,21.1886,294.339,0,0.118864,1.18864,294.339,0.118864,293.15,-0.118864,0.1,9.95359e-006,0.995359,10,0.995359,9.99999,-0.995359,1e-005,1e-005,0,293.15,9.9074e-006,293.15,0,0.995359,1,1,25,6,25,2,25,25,21.1886,1,2,0,1,0,294.142,20.9918,0,0,1,0,10,500,0.02,0
0.12,1,0,293.15,2,0,0,10,10,-0.994597,10,-0.994597,0,0.994597,1,294.535,9.80746,9.80746,294.535,9.80746,10,293.15,0.00392157,9.99999,0.994597,9.99999,0.994597,0,-0.994597,1,293.15,294.535,-9.94596,9.94596,294.535,10.0543,293.15,293.15,0.138502,21.385,294.535,0,0.138502,1.38502,294.535,0.138502,293.15,-0.138502,0.1,9.94597e-006,0.994597,10,0.994597,9.99999,-0.994597,1e-005,1e-005,0,293.15,9.89223e-006,293.15,0,0.994597,1,1,25,6,25,2,25,25,21.385,1,2,0,1,0,294.339,21.1886,0,0,1,0,10,500,0.02,0
0.14,1,0,293.15,2,0,0,10,10,-0.994597,10,-0.994597,0,0.994597,1,294.535,9.80746,9.80746,294.535,9.80746,10,293.15,0.00392157,9.99999,0.994597,9.99999,0.994597,0,-0.994597,1,293.15,294.535,-9.94596,9.94596,294.535,10.0543,293.15,293.15,0.138502,21.385,294.535,0,0.138502,1.38502,294.535,0.138502,293.15,-0.138502,0.1,9.94597e-006,0.994597,10,0.994597,9.99999,-0.994597,1e-005,1e-005,0,293.15,9.89223e-006,293.15,0,0.994597,1,1,25,6,25,2,25,25,21.385,1,2,0,1,0,294.339,21.1886,0,0,1,0,10,500,0.02,0
0.14,1,0,293.15,2,0,0,10,10,-0.993838,10,-0.993838,0,0.993838,1,294.731,9.78028,9.78028,294.731,9.78028,10,293.15,0.00392157,9.99999,0.993838,9.99999,0.993838,0,-0.993838,1,293.15,294.731,-9.93837,9.93837,294.731,10.062,293.15,293.15,0.158085,21.5809,294.731,0,0.158085,1.58085,294.731,0.158085,293.15,-0.158085,0.1,9.93838e-006,0.993838,10,0.993838,9.99999,-0.993838,1e-005,1e-005,0,293.15,9.87714e-006,293.15,0,0.993838,1,1,25,6,25,2,25,25,21.5809,1,2,0,1,0,294.535,21.385,0,0,1,0,10,500,0.02,0
0.16,1,0,293.15,2,0,0,10,10,-0.993838,10,-0.993838,0,0.993838,1,294.731,9.78028,9.78028,294.731,9.78028,10,293.15,0.00392157,9.99999,0.993838,9.99999,0.993838,0,-0.993838,1,293.15,294.731,-9.93837,9.93837,294.731,10.062,293.15,293.15,0.158085,21.5809,294.731,0,0.158085,1.58085,294.731,0.158085,293.15,-0.158085,0.1,9.93838e-006,0.993838,10,0.993838,9.99999,-0.993838,1e-005,1e-005,0,293.15,9.87714e-006,293.15,0,0.993838,1,1,25,6,25,2,25,25,21.5809,1,2,0,1,0,294.535,21.385,0,0,1,0,10,500,0.02,0
0.16,1,0,293.15,2,0,0,10,10,-0.993082,10,-0.993082,0,0.993082,1,294.926,9.75319,9.75319,294.926,9.75319,10,293.15,0.00392157,9.99999,0.993082,9.99999,0.993082,0,-0.993082,1,293.15,294.926,-9.93081,9.93081,294.926,10.0697,293.15,293.15,0.177615,21.7761,294.926,0,0.177615,1.77615,294.926,0.177615,293.15,-0.177615,0.1,9.93082e-006,0.993082,10,0.993082,9.99999,-0.993082,1e-005,1e-005,0,293.15,9.86212e-006,293.15,0,0.993082,1,1,25,6,25,2,25,25,21.7761,1,2,0,1,0,294.731,21.5809,0,0,1,0,10,500,0.02,0
0.18,1,0,293.15,2,0,0,10,10,-0.993082,10,-0.993082,0,0.993082,1,294.926,9.75319,9.75319,294.926,9.75319,10,293.15,0.00392157,9.99999,0.993082,9.99999,0.993082,0,-0.993082,1,293.15,294.926,-9.93081,9.93081,294.926,10.0697,293.15,293.15,0.177615,21.7761,294.926,0,0.177615,1.77615,294.926,0.177615,293.15,-0.177615,0.1,9.93082e-006,0.993082,10,0.993082,9.99999,-0.993082,1e-005,1e-005,0,293.15,9.86212e-006,293.15,0,0.993082,1,1,25,6,25,2,25,25,21.7761,1,2,0,1,0,294.731,21.5809,0,0,1,0,10,500,0.02,0
0.18,1,0,293.15,2,0,0,10,10,-0.992329,10,-0.992329,0,0.992329,1,295.121,9.72619,9.72619,295.121,9.72619,10,293.15,0.00392157,9.99999,0.992329,9.99999,0.992329,0,-0.992329,1,293.15,295.121,-9.92328,9.92328,295.121,10.0773,293.15,293.15,0.197093,21.9709,295.121,0,0.197093,1.97093,295.121,0.197093,293.15,-0.197093,0.1,9.92329e-006,0.992329,10,0.992329,9.99999,-0.992329,1e-005,1e-005,0,293.15,9.84717e-006,293.15,0,0.992329,1,1,25,6,25,2,25,25,21.9709,1,2,0,1,0,294.926,21.7761,0,0,1,0,10,500,0.02,0
0.2,1,0,293.15,2,0,0,10,10,-0.992329,10,-0.992329,0,0.992329,1,295.121,9.72619,9.72619,295.121,9.72619,10,293.15,0.00392157,9.99999,0.992329,9.99999,0.992329,0,-0.992329,1,293.15,295.121,-9.92328,9.92328,295.121,10.0773,293.15,293.15,0.197093,21.9709,295.121,0,0.197093,1.97093,295.121,0.197093,293.15,-0.197093,0.1,9.92329e-006,0.992329,10,0.992329,9.99999,-0.992329,1e-005,1e-005,0,293.15,9.84717e-006,293.15,0,0.992329,1,1,25,6,25,2,25,25,21.9709,1,2,0,1,0,294.926,21.7761,0,0,1,0,10,500,0.02,0
0.2,1,0,293.15,2,0,0,10,10,-0.99158,10,-0.99158,0,0.99158,1,295.315,9.69927,9.69927,295.315,9.69927,10,293.15,0.00392157,9.99999,0.99158,9.99999,0.99158,0,-0.99158,1,293.15,295.315,-9.91579,9.91579,295.315,10.0849,293.15,293.15,0.216517,22.1652,295.315,0,0.216517,2.16517,295.315,0.216517,293.15,-0.216517,0.1,9.9158e-006,0.99158,10,0.99158,9.99999,-0.99158,1e-005,1e-005,0,293.15,9.8323e-006,293.15,0,0.99158,1,1,25,6,25,2,25,25,22.1652,1,2,0,1,0,295.121,21.9709,0,0,1,0,10,500,0.02,0
0.22,1,0,293.15,2,0,0,10,10,-0.99158,10,-0.99158,0,0.99158,1,295.315,9.69927,9.69927,295.315,9.69927,10,293.15,0.00392157,9.99999,0.99158,9.99999,0.99158,0,-0.99158,1,293.15,295.315,-9.91579,9.91579,295.315,10.0849,293.15,293.15,0.216517,22.1652,295.315,0,0.216517,2.16517,295.315,0.216517,293.15,-0.216517,0.1,9.9158e-006,0.99158,10,0.99158,9.99999,-0.99158,1e-005,1e-005,0,293.15,9.8323e-006,293.15,0,0.99158,1,1,25,6,25,2,25,25,22.1652,1,2,0,1,0,295.121,21.9709,0,0,1,0,10,500,0.02,0
0.22,1,0,293.15,2,0,0,10,10,-0.990833,10,-0.990833,0,0.990833,1,295.509,9.67244,9.67244,295.509,9.67244,10,293.15,0.00392157,9.99999,0.990833,9.99999,0.990833,0,-0.990833,1,293.15,295.509,-9.90832,9.90832,295.509,10.0925,293.15,293.15,0.235887,22.3589,295.509,0,0.235887,2.35887,295.509,0.235887,293.15,-0.235887,0.1,9.90833e-006,0.990833,10,0.990833,9.99999,-0.990833,1e-005,1e-005,0,293.15,9.81751e-006,293.15,0,0.990833,1,1,25,6,25,2,25,25,22.3589,1,2,0,1,0,295.315,22.1652,0,0,1,0,10,500,0.02,0
0.24,1,0,293.15,2,0,0,10,10,-0.990833,10,-0.990833,0,0.990833,1,295.509,9.67244,9.67244,295.509,9.67244,10,293.15,0.00392157,9.99999,0.990833,9.99999,0.990833,0,-0.990833,1,293.15,295.509,-9.90832,9.90832,295.509,10.0925,293.15,293.15,0.235887,22.3589,295.509,0,0.235887,2.35887,295.509,0.235887,293.15,-0.235887,0.1,9.90833e-006,0.990833,10,0.990833,9.99999,-0.990833,1e-005,1e-005,0,293.15,9.81751e-006,293.15,0,0.990833,1,1,25,6,25,2,25,25,22.3589,1,2,0,1,0,295.315,22.1652,0,0,1,0,10,500,0.02,0
0.24,1,0,293.15,2,0,0,10,10,-0.99009,10,-0.99009,0,0.99009,1,295.702,9.64569,9.64569,295.702,9.64569,10,293.15,0.00392157,9.99999,0.99009,9.99999,0.99009,0,-0.99009,1,293.15,295.702,-9.90089,9.90089,295.702,10.1001,293.15,293.15,0.255205,22.552,295.702,0,0.255205,2.55205,295.702,0.255205,293.15,-0.255205,0.1,9.9009e-006,0.99009,10,0.99009,9.99999,-0.99009,1e-005,1e-005,0,293.15,9.80278e-006,293.15,0,0.99009,1,1,25,6,25,2,25,25,22.552,1,2,0,1,0,295.509,22.3589,0,0,1,0,10,500,0.02,0
0.26,1,0,293.15,2,0,0,10,10,-0.99009,10,-0.99009,0,0.99009,1,295.702,9.64569,9.64569,295.702,9.64569,10,293.15,0.00392157,9.99999,0.99009,9.99999,0.99009,0,-0.99009,1,293.15,295.702,-9.90089,9.90089,295.702,10.1001,293.15,293.15,0.255205,22.552,295.702,0,0.255205,2.55205,295.702,0.255205,293.15,-0.255205,0.1,9.9009e-006,0.99009,10,0.99009,9.99999,-0.99009,1e-005,1e-005,0,293.15,9.80278e-006,293.15,0,0.99009,1,1,25,6,25,2,25,25,22.552,1,2,0,1,0,295.509,22.3589,0,0,1,0,10,500,0.02,0
0.26,1,0,293.15,2,0,0,10,10,-0.98935,10,-0.98935,0,0.98935,1,295.895,9.61902,9.61902,295.895,9.61902,10,293.15,0.00392157,9.99999,0.98935,9.99999,0.98935,0,-0.98935,1,293.15,295.895,-9.89349,9.89349,295.895,10.1076,293.15,293.15,0.274469,22.7447,295.895,0,0.274469,2.74469,295.895,0.274469,293.15,-0.274469,0.1,9.8935e-006,0.98935,10,0.98935,9.99999,-0.98935,1e-005,1e-005,0,293.15,9.78814e-006,293.15,0,0.98935,1,1,25,6,25,2,25,25,22.7447,1,2,0,1,0,295.702,22.552,0,0,1,0,10,500,0.02,0
0.28,1,0,293.15,2,0,0,10,10,-0.98935,10,-0.98935,0,0.98935,1,295.895,9.61902,9.61902,295.895,9.61902,10,293.15,0.00392157,9.99999,0.98935,9.99999,0.98935,0,-0.98935,1,293.15,295.895,-9.89349,9.89349,295.895,10.1076,293.15,293.15,0.274469,22.7447,295.895,0,0.274469,2.74469,295.895,0.274469,293.15,-0.274469,0.1,9.8935e-006,0.98935,10,0.98935,9.99999,-0.98935,1e-005,1e-005,0,293.15,9.78814e-006,293.15,0,0.98935,1,1,25,6,25,2,25,25,22.7447,1,2,0,1,0,295.702,22.552,0,0,1,0,10,500,0.02,0
0.28,1,0,293.15,2,0,0,10,10,-0.988613,10,-0.988613,0,0.988613,1,296.087,9.59244,9.59244,296.087,9.59244,10,293.15,0.00392157,9.99999,0.988613,9.99999,0.988613,0,-0.988613,1,293.15,296.087,-9.88612,9.88612,296.087,10.1152,293.15,293.15,0.293681,22.9368,296.087,0,0.293681,2.93681,296.087,0.293681,293.15,-0.293681,0.1,9.88613e-006,0.988613,10,0.988613,9.99999,-0.988613,1e-005,1e-005,0,293.15,9.77356e-006,293.15,0,0.988613,1,1,25,6,25,2,25,25,22.9368,1,2,0,1,0,295.895,22.7447,0,0,1,0,10,500,0.02,0
0.3,1,0,293.15,2,0,0,10,10,-0.988613,10,-0.988613,0,0.988613,1,296.087,9.59244,9.59244,296.087,9.59244,10,293.15,0.00392157,9.99999,0.988613,9.99999,0.988613,0,-0.988613,1,293.15,296.087,-9.88612,9.88612,296.087,10.1152,293.15,293.15,0.293681,22.9368,296.087,0,0.293681,2.93681,296.087,0.293681,293.15,-0.293681,0.1,9.88613e-006,0.988613,10,0.988613,9.99999,-0.988613,1e-005,1e-005,0,293.15,9.77356e-006,293.15,0,0.988613,1,1,25,6,25,2,25,25,22.9368,1,2,0,1,0,295.895,22.7447,0,0,1,0,10,500,0.02,0
0.3,1,0,293.15,2,0,0,10,10,-0.98788,10,-0.98788,0,0.98788,1,296.278,9.56595,9.56595,296.278,9.56595,10,293.15,0.00392157,9.99999,0.98788,9.99999,0.98788,0,-0.98788,1,293.15,296.278,-9.87879,9.87879,296.278,10.1227,293.15,293.15,0.312839,23.1284,296.278,0,0.312839,3.12839,296.278,0.312839,293.15,-0.312839,0.1,9.8788e-006,0.98788,10,0.98788,9.99999,-0.98788,1e-005,1e-005,0,293.15,9.75906e-006,293.15,0,0.98788,1,1,25,6,25,2,25,25,23.1284,1,2,0,1,0,296.087,22.9368,0,0,1,0,10,500,0.02,0
0.32,1,0,293.15,2,0,0,10,10,-0.98788,10,-0.98788,0,0.98788,1,296.278,9.56595,9.56595,296.278,9.56595,10,293.15,0.00392157,9.99999,0.98788,9.99999,0.98788,0,-0.98788,1,293.15,296.278,-9.87879,9.87879,296.278,10.1227,293.15,293.15,0.312839,23.1284,296.278,0,0.312839,3.12839,296.278,0.312839,293.15,-0.312839,0.1,9.8788e-006,0.98788,10,0.98788,9.99999,-0.98788,1e-005,1e-005,0,293.15,9.75906e-006,293.15,0,0.98788,1,1,25,6,25,2,25,25,23.1284,1,2,0,1,0,296.087,22.9368,0,0,1,0,10,500,0.02,0
0.32,1,0,293.15,2,0,0,10,10,-0.987149,10,-0.987149,0,0.987149,1,296.469,9.53953,9.53953,296.469,9.53953,10,293.15,0.00392157,9.99999,0.987149,9.99999,0.987149,0,-0.987149,1,293.15,296.469,-9.87148,9.87148,296.469,10.1302,293.15,293.15,0.331947,23.3195,296.469,0,0.331947,3.31947,296.469,0.331947,293.15,-0.331947,0.1,9.87149e-006,0.987149,10,0.987149,9.99999,-0.987149,1e-005,1e-005,0,293.15,9.74463e-006,293.15,0,0.987149,1,1,25,6,25,2,25,25,23.3195,1,2,0,1,0,296.278,23.1284,0,0,1,0,10,500,0.02,0
0.34,1,0,293.15,2,0,0,10,10,-0.987149,10,-0.987149,0,0.987149,1,296.469,9.53953,9.53953,296.469,9.53953,10,293.15,0.00392157,9.99999,0.987149,9.99999,0.987149,0,-0.987149,1,293.15,296.469,-9.87148,9.87148,296.469,10.1302,293.15,293.15,0.331947,23.3195,296.469,0,0.331947,3.31947,296.469,0.331947,293.15,-0.331947,0.1,9.87149e-006,0.987149,10,0.987149,9.99999,-0.987149,1e-005,1e-005,0,293.15,9.74463e-006,293.15,0,0.987149,1,1,25,6,25,2,25,25,23.3195,1,2,0,1,0,296.278,23.1284,0,0,1,0,10,500,0.02,0
0.34,1,0,293.15,2,0,0,10,10,-0.986421,10,-0.986421,0,0.986421,1,296.66,9.5132,9.5132,296.66,9.5132,10,293.15,0.00392157,9.99999,0.986421,9.99999,0.986421,0,-0.986421,1,293.15,296.66,-9.8642,9.8642,296.66,10.1376,293.15,293.15,0.351005,23.51,296.66,0,0.351005,3.51005,296.66,0.351005,293.15,-0.351005,0.1,9.86421e-006,0.986421,10,0.986421,9.99999,-0.986421,1e-005,1e-005,0,293.15,9.73026e-006,293.15,0,0.986421,1,1,25,6,25,2,25,25,23.51,1,2,0,1,0,296.469,23.3195,0,0,1,0,10,500,0.02,0
0.36,1,0,293.15,2,0,0,10,10,-0.986421,10,-0.986421,0,0.986421,1,296.66,9.5132,9.5132,296.66,9.5132,10,293.15,0.00392157,9.99999,0.986421,9.99999,0.986421,0,-0.986421,1,293.15,296.66,-9.8642,9.8642,296.66,10.1376,293.15,293.15,0.351005,23.51,296.66,0,0.351005,3.51005,296.66,0.351005,293.15,-0.351005,0.1,9.86421e-006,0.986421,10,0.986421,9.99999,-0.986421,1e-005,1e-005,0,293.15,9.73026e-006,293.15,0,0.986421,1,1,25,6,25,2,25,25,23.51,1,2,0,1,0,296.469,23.3195,0,0,1,0,10,500,0.02,0
0.36,1,0,293.15,2,0,0,10,10,-0.985696,10,-0.985696,0,0.985696,1,296.85,9.48694,9.48694,296.85,9.48694,10,293.15,0.00392157,9.99999,0.985696,9.99999,0.985696,0,-0.985696,1,293.15,296.85,-9.85695,9.85695,296.85,10.1451,293.15,293.15,0.370011,23.7001,296.85,0,0.370011,3.70011,296.85,0.370011,293.15,-0.370011,0.1,9.85696e-006,0.985696,10,0.985696,9.99999,-0.985696,1e-005,1e-005,0,293.15,9.71597e-006,293.15,0,0.985696,1,1,25,6,25,2,25,25,23.7001,1,2,0,1,0,296.66,23.51,0,0,1,0,10,500,0.02,0
