"time","light_switch","light_intensity","headlight"
4.81,2,29.3571,0
4.83,2,29.4,0
4.85,2,29.4429,0
4.87,2,29.4857,0
4.89,2,29.5286,0
4.91,2,29.5714,0
4.93,2,29.6143,0
4.95,2,29.6571,0
4.97,2,29.7,0
4.99,2,29.7429,0
5.01,2,29.7857,0
5.03,2,29.8286,0
5.05,2,29.8714,0
5.07,2,29.9143,0
5.09,2,29.9571,0
5.11,2,30,0
5.13,2,30.0429,0
5.15,2,30.0857,0
5.17,2,30.1286,0
5.19,2,30.1714,0
5.21,2,30.2143,0
5.23,2,30.2571,0
5.25,2,30.3,0
5.27,2,30.3429,0
5.29,2,30.3857,0
5.31,2,30.4286,0
5.33,2,30.4714,0
5.35,2,30.5143,0
5.37,2,30.5571,0
5.39,2,30.6,0
5.41,2,30.6429,0
5.43,2,30.6857,0
5.45,2,30.7286,0
5.47,2,30.7714,0
5.49,2,30.8143,0
5.51,2,30.8571,0
5.53,2,30.9,0
5.55,2,30.9429,0
5.57,2,30.9857,0
5.59,2,31.0286,0
5.61,2,31.0714,0
5.63,2,31.1143,0
5.65,2,31.1571,0
5.67,2,31.2,1
5.69,2,31.2429,1
5.71,2,31.2857,1
5.73,2,31.3286,1
5.75,2,31.3714,1
5.77,2,31.4143,1
5.79,2,31.4571,1
5.81,2,31.5,1
5.83,2,31.5429,1
5.85,2,31.5857,1
5.87,2,31.6286,1
5.89,2,31.6714,1
5.91,2,31.7143,1
5.93,2,31.7571,1
5.95,2,31.8,1
5.97,2,31.8429,1
5.99,2,31.8857,1
6.01,2,31.9286,1
6.03,2,31.9714,1
6.05,2,32.0143,1
6.07,2,32.0571,1
6.09,2,32.1,1
6.11,2,32.1429,1
6.13,2,32.1857,1
6.15,2,32.2286,1
6.17,2,32.2714,1
6.19,2,32.3143,1
6.21,2,32.3571,1
6.23,2,32.4,1
6.25,2,32.4429,1
6.27,2,32.4857,1
6.29,2,32.5286,1
6.31,2,32.5714,1
6.33,2,32.6143,1
6.35,2,32.6571,1
6.37,2,32.7,1
6.39,2,32.7429,1
6.41,2,32.7857,1
6.43,2,32.8286,1
6.45,2,32.8714,1
6.47,2,32.9143,1
6.49,2,32.9571,1
6.51,2,33,1
6.53,2,60,1
6.55,2,88,1
6.57,2,100,1
6.59,2,100,1
6.61,2,100,1
6.63,2,100,1
6.65,2,100,1
6.67,2,100,1
6.69,2,100,1
6.71,2,100,1
6.73,2,100,1
6.75,2,100,1
6.77,2,100,1
6.79,2,100,1
6.81,2,100,1
6.83,2,100,1
6.85,2,100,1
6.87,2,100,1
6.89,2,100,1
6.91,2,100,1
6.93,2,100,1
6.95,2,100,1
6.97,2,100,1
6.99,2,100,1
7,2,100,1
