"time","Piston_0r2","Inertia_0w"
0.179,0.298663,148.398
0.179895,0.3,149.969
0.179895,0.3,149.969
0.18,0.299981,149.951
0.181,0.297965,148.163
0.182,0.292831,144.233
0.183,0.285045,139.652
0.184,0.275128,135.607
0.185,0.26354,132.719
0.186,0.250656,131.235
0.187,0.236783,131.231
0.188,0.222193,132.74
0.189,0.207146,135.785
0.19,0.191914,140.379
0.191,0.176803,146.478
0.192,0.162161,153.923
0.193,0.14837,162.364
0.194,0.135823,171.202
0.195,0.124882,179.648
0.196,0.115819,186.96
0.197,0.108785,192.654
0.198,0.103822,196.582
0.199,0.100909,198.838
0.199956,0.1,199.533
0.199956,0.1,199.533
0.2,0.100002,199.531
0.201,0.101086,198.712
0.202,0.104179,196.351
0.203,0.10932,192.401
0.204,0.116538,186.904
0.205,0.125817,180.067
0.206,0.137032,172.402
0.207,0.149944,164.648
0.208,0.164233,157.571
0.209,0.179538,151.755
0.21,0.195493,147.573
0.211,0.211751,145.226
0.212,0.227975,144.848
0.213,0.243819,146.593
0.214,0.258898,150.632
0.215,0.272732,157.077
0.216,0.284672,165.688
0.217,0.293825,175.168
0.218,0.299101,182.311
0.218598,0.3,183.685
0.218598,0.3,183.685
0.219,0.299592,183.157
0.22,0.295182,177.977
0.221,0.286578,170.081
0.222,0.274796,162.708
0.223,0.260731,157.426
0.224,0.245057,154.655
0.225,0.228299,154.442
0.226,0.210897,156.761
0.227,0.193271,161.561
0.228,0.175873,168.73
0.229,0.159201,177.979
0.23,0.143811,188.608
0.231,0.130254,199.493
0.232,0.118985,209.329
0.233,0.110287,217.096
0.234,0.104254,222.375
0.235,0.100858,225.251
0.235819,0.1,225.961
0.235819,0.1,225.961
0.236,0.100042,225.927
0.237,0.101782,224.467
0.238,0.106113,220.788
0.239,0.113095,214.827
0.24,0.12275,206.753
0.241,0.134962,197.223
0.242,0.149397,187.388
0.243,0.165658,178.482
0.244,0.183218,171.486
0.245,0.201541,167.002
0.246,0.220122,165.369
0.247,0.238466,166.847
0.248,0.256031,171.732
0.249,0.272126,180.257
0.25,0.28578,192.083
0.251,0.295602,204.724
0.252,0.299913,211.914
0.252161,0.3,212.089
0.252161,0.3,212.089
0.253,0.297665,208.53
0.254,0.289373,198.164
0.255,0.276541,187.159
0.256,0.260642,179.074
0.257,0.242757,174.778
0.258,0.223662,174.286
0.259,0.203988,177.451
0.26,0.18433,184.109
0.261,0.165337,193.923
0.262,0.147723,206.098
0.263,0.132225,219.14
0.264,0.119477,231.105
0.265,0.109871,240.413
0.266,0.103525,246.423
0.267,0.100389,249.294
0.2675,0.1,249.644
0.2675,0.1,249.644
0.268,0.10039,249.292
0.269,0.103522,246.421
0.27,0.109858,240.523
0.271,0.119462,231.642
0.272,0.132263,220.423
0.273,0.147921,208.399
0.274,0.165856,197.505
0.275,0.185372,189.266
0.276,0.205766,184.565
0.277,0.226369,183.871
0.278,0.246492,187.601
0.279,0.265321,196.23
0.28,0.281724,209.824
0.281,0.29398,226.042
0.282,0.299791,236.632
0.282223,0.3,237.08
0.282223,0.3,237.08
0.283,0.2975,232.678
0.284,0.28775,218.936
0.285,0.272704,205.184
0.286,0.254297,195.901
0.287,0.233905,191.892
0.288,0.212486,192.949
0.289,0.190846,198.781
0.29,0.169795,208.982
0.291,0.150225,222.603
0.292,0.133072,237.738
0.293,0.119154,251.702
0.294,0.108965,262.287
0.295,0.102631,268.704
0.296,0.100069,271.21
0.296193,0.1,271.27
0.296193,0.1,271.27
0.297,0.101199,270.101
0.298,0.106056,265.28
0.299,0.11475,256.553
0.3,0.127297,244.322
0.301,0.143401,230.253
0.302,0.162411,216.972
0.303,0.183459,206.81
0.304,0.205643,201.15
0.305,0.228095,200.726
0.306,0.249922,206.14
0.307,0.270024,218.055
0.308,0.28676,236.07
0.309,0.29758,254.459
0.309698,0.3,259.711
0.309698,0.3,259.711
0.31,0.299541,258.763
0.311,0.291906,245.194
0.312,0.276988,227.279
0.313,0.257593,214.381
0.314,0.235661,208.286
0.315,0.212496,208.725
0.316,0.189132,215.245
0.317,0.166579,227.226
0.318,0.14595,243.231
0.319,0.128385,260.403
0.32,0.114787,275.202
0.321,0.10559,285.294
0.322,0.100807,290.349
0.322617,0.1,291.181
0.322617,0.1,291.181
0.323,0.100312,290.859
0.324,0.104079,286.902
0.325,0.112227,278.182
0.326,0.124836,264.9
0.327,0.141638,248.881
0.328,0.161885,233.499
0.329,0.184522,221.927
0.33,0.208435,216.025
0.331,0.232552,216.765
0.332,0.255734,224.996
0.333,0.276475,241.478
0.334,0.292377,264.163
0.335,0.299829,279.988
0.33517,0.3,280.422
0.33517,0.3,280.422
0.336,0.296055,272.04
0.337,0.282487,250.833
0.338,0.262765,233.244
0.339,0.239675,224.009
0.34,0.21498,222.995
0.341,0.189983,229.544
0.342,0.165912,242.812
0.343,0.144101,260.921
0.344,0.125895,280.085
0.345,0.112311,295.806
0.346,0.103749,305.652
0.347,0.100145,309.646
0.347246,0.1,309.8
0.347246,0.1,309.8
0.348,0.101366,308.299
0.349,0.107456,301.458
0.35,0.118577,288.853
0.351,0.134645,271.68
0.352,0.154999,253.597
0.353,0.178471,239.048
0.354,0.20373,230.919
0.355,0.229477,230.63
0.356,0.254354,239.314
0.357,0.276583,258.007
0.358,0.293267,284.066
0.359,0.299996,299.773
0.359025,0.3,299.784
0.359025,0.3,299.784
0.36,0.293877,286.256
0.361,0.277447,261.574
0.362,0.255061,244.001
0.363,0.229671,236.72
0.364,0.203148,239.036
0.365,0.17697,249.994
0.366,0.152651,267.97
0.367,0.131794,289.306
0.368,0.115782,308.423
0.369,0.105321,321.187
0.37,0.100435,326.908
0.370403,0.1,327.404
0.370403,0.1,327.404
0.371,0.100957,326.302
0.372,0.106904,319.299
0.373,0.118462,305.538
0.374,0.135551,286.344
0.375,0.157381,266.349
0.376,0.18255,250.962
0.377,0.20948,243.557
0.378,0.236639,245.798
0.379,0.262346,259.129
0.38,0.284159,284.229
0.381,0.297889,312.158
0.381532,0.3,317.87
0.381532,0.3,317.87
0.382,0.298363,313.675
0.383,0.285284,287.712
0.384,0.263602,263.532
0.385,0.237575,251.225
0.386,0.209757,250.592
0.387,0.181962,260.424
0.388,0.155917,279.004
0.389,0.133476,302.278
0.39,0.11629,323.591
0.391,0.10522,337.741
0.392,0.100308,343.808
0.392323,0.1,344.183
0.392323,0.1,344.183
0.393,0.101361,342.538
0.394,0.108428,333.774
0.395,0.121716,317.205
0.396,0.140995,295.264
0.397,0.16514,274.185
0.398,0.192427,260.055
0.399,0.221046,256.048
0.4,0.249192,263.981
0.401,0.274603,285.62
0.402,0.293515,318.089
0.402899,0.3,335.192
0.402899,0.3,335.192
0.403,0.299914,334.95
0.404,0.290472,312.578
0.405,0.26965,282.763
0.406,0.243041,265.682
0.407,0.214007,262.472
0.408,0.184746,271.62
0.409,0.157244,291.107
0.41,0.133607,316.359
0.411,0.115721,339.493
0.412,0.10455,354.344
0.413,0.100105,359.998
0.41318,0.1,360.13
0.41318,0.1,360.13
0.414,0.102186,357.359
0.415,0.110886,346.025
0.416,0.126397,326.057
0.417,0.148217,301.659
0.418,0.174819,280.731
0.419,0.204169,269.353
0.42,0.234181,270.55
0.421,0.262653,286.526
0.422,0.286301,318.133
0.423,0.299283,349.368
0.423279,0.3,351.599
0.423279,0.3,351.599
0.424,0.295345,338.905
0.425,0.276623,304.413
0.426,0.249995,281.024
0.427,0.219992,273.902
0.428,0.189324,281.291
0.429,0.160245,300.968
0.43,0.135126,328.042
0.431,0.11614,353.414
0.432,0.10444,369.535
0.433,0.100049,375.348
0.433118,0.1,375.408
0.433118,0.1,375.408
0.434,0.102748,371.775
0.435,0.112667,358.307
0.436,0.129972,335.424
0.437,0.153887,309.031
0.438,0.182549,288.427
0.439,0.213571,279.858
0.44,0.244623,286.377
0.441,0.272937,310.538
0.442,0.293833,349.258
0.4428,0.3,367.197
0.4428,0.3,367.197
0.443,0.299596,365.946
0.444,0.286756,334.435
0.445,0.261911,301.392
0.446,0.23165,286.41
0.447,0.199688,288.706
0.448,0.168642,305.896
0.449,0.141123,333.556
0.45,0.119708,362.188
0.451,0.106004,381.839
0.452,0.100238,389.787
0.45225,0.1,390.105
0.45225,0.1,390.105
0.453,0.102146,387.175
0.454,0.111823,373.567
0.455,0.129482,349.248
0.456,0.154307,320.82
0.457,0.184222,299.012
0.458,0.216558,290.965
0.459,0.248684,300.184
0.46,0.277326,329.528
0.461,0.296648,371.496
0.46156,0.3,382.213
0.46156,0.3,382.213
0.462,0.297918,375.717
0.463,0.280242,336.139
0.464,0.252056,305.888
0.465,0.219641,296.403
0.466,0.186529,305.347
0.467,0.15557,329.416
0.468,0.129727,361.035
0.469,0.111485,387.734
0.47,0.101799,401.849
0.470662,0.1,404.362
0.470662,0.1,404.362
0.471,0.100467,403.711
0.472,0.107389,393.749
0.473,0.122855,371.28
0.474,0.146495,340.906
0.475,0.176326,314.637
0.476,0.209513,302.198
0.477,0.243102,308.299
0.478,0.273688,336.481
0.479,0.295357,381.778
0.479638,0.3,396.838
0.479638,0.3,396.838
0.48,0.298475,391.814
0.481,0.280876,349.771
0.482,0.25173,316.888
0.483,0.218087,307.058
0.484,0.183866,317.592
0.485,0.152226,344.456
0.486,0.126434,378.215
0.487,0.10904,404.705
0.488,0.100803,417.048
0.488429,0.1,418.221
0.488429,0.1,418.221
0.489,0.10143,416.146
0.49,0.110956,401.886
0.491,0.129663,374.279
0.492,0.156609,341.656
0.493,0.189119,318.252
0.494,0.223964,312.712
0.495,0.25784,329.356
0.496,0.286091,370.915
0.497,0.299862,410.163
0.497104,0.3,410.7
0.497104,0.3,410.7
0.498,0.290541,382.638
0.499,0.264222,338.434
0.5,0.230648,318.437
0.5,0.230648,318.437
