"time","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]"
0.0105,-0.153219,682.776,-682.623,-330.776,508.332,-177.557
0.0106,-0.183541,722.969,-722.786,-346.65,509.758,-163.109
0.0107,-0.213682,759.094,-758.881,-362.556,511.431,-148.875
0.0108,-0.243611,790.504,-790.26,-378.465,513.319,-134.854
0.0109,-0.273301,816.58,-816.306,-394.345,515.389,-121.044
0.011,-0.302721,836.738,-836.435,-410.161,517.601,-107.44
0.0111,-0.331842,850.433,-850.102,-425.877,519.913,-94.0354
0.0112,-0.360635,857.159,-856.798,-441.457,522.279,-80.8219
0.0113,-0.389073,856.456,-856.067,-456.862,524.651,-67.789
0.0114,-0.417126,847.91,-847.493,-472.052,526.976,-54.9249
0.0115,-0.444768,831.157,-830.712,-486.985,529.201,-42.2163
0.0116,-0.471971,805.888,-805.416,-501.62,531.269,-29.6486
0.0117,-0.498708,771.846,-771.347,-515.915,533.121,-17.2062
0.0118,-0.524954,728.831,-728.306,-529.827,534.699,-4.87244
0.0119,-3.52297,678.179,-674.656,-535.271,535.943,-0.671132
0.012,-19.1935,624.664,-605.471,-536.233,536.82,-0.586277
0.0121,-48.2027,568.544,-520.341,-536.84,537.312,-0.472138
0.0122,-90.422,509.711,-419.289,-537.075,537.404,-0.328866
0.0123,-145.708,448.071,-302.362,-536.919,537.075,-0.156654
0.0124,-213.917,383.554,-169.637,-536.352,536.308,0.04428
0.0125,-294.904,316.124,-21.2191,-535.355,535.082,0.273685
0.0126,-316.974,317.198,-0.223791,-534.114,378.952,155.161
0.0127,-332.932,333.126,-0.193718,-532.969,363.343,169.625
0.0128,-352.725,352.888,-0.163454,-531.951,347.702,184.248
0.0129,-375.782,375.915,-0.133028,-531.082,332.055,199.027
0.013,-401.503,401.606,-0.102472,-530.38,316.426,213.954
0.0131,-429.281,429.353,-0.0718137,-529.862,300.838,229.024
0.0132,-458.496,458.537,-0.0410849,-529.536,285.31,244.225
0.0133,-488.52,488.531,-0.0103156,-529.409,269.862,259.547
0.0134,-518.722,518.702,0.0204639,-529.484,254.51,274.974
0.0135,-548.471,548.419,0.0512232,-529.758,239.268,290.491
0.0136,-577.135,577.053,0.0819319,-530.226,224.147,306.079
0.0137,-604.094,603.981,0.11256,-530.876,209.158,321.718
0.0138,-628.739,628.595,0.143077,-531.694,194.308,337.385
0.0139,-650.474,650.301,0.173452,-532.66,179.604,353.056
0.014,-668.727,668.524,0.203657,-533.753,165.048,368.705
0.0141,-682.947,682.713,0.23366,-534.947,150.643,384.304
0.0142,-692.608,692.344,0.263433,-536.211,136.389,399.822
0.0143,-697.214,696.921,0.292946,-537.513,122.283,415.23
0.0144,-696.305,695.983,0.32217,-538.816,108.323,430.493
0.0145,-689.457,689.106,0.351075,-540.082,94.5033,445.579
0.0146,-676.276,675.897,0.379635,-541.269,80.817,460.452
0.0147,-656.417,656.009,0.407819,-542.332,67.2563,475.076
0.0148,-629.57,629.134,0.435602,-543.226,53.8119,489.414
0.0149,-595.479,595.016,0.462954,-543.902,40.4736,503.428
0.015,-553.932,553.442,0.489849,-544.31,27.2301,517.08
0.0151,-504.768,504.251,0.516262,-544.401,14.0694,530.331
0.0152,-447.875,447.333,0.542164,-544.123,0.979017,543.144
0.0153,-386.505,379.311,7.19393,-543.431,0.372117,543.059
0.0154,-324.476,296.302,28.1746,-542.312,0.268127,542.044
0.0155,-261.722,198.337,63.3841,-540.761,0.134953,540.626
0.0156,-198.175,85.4744,112.7,-538.774,-0.0272261,538.801
0.0157,-155.029,0.293052,154.736,-414.819,-121.767,536.586
0.0158,-160.785,0.26354,160.521,-398.922,-135.382,534.304
0.0159,-172.402,0.233768,172.168,-382.93,-149.162,532.092
0.016,-189.35,0.203765,189.147,-366.875,-163.11,529.985
0.0161,-211.075,0.173561,210.901,-350.789,-177.228,528.017
0.0162,-236.993,0.143186,236.85,-334.702,-191.516,526.218
0.0163,-266.496,0.11267,266.383,-318.64,-205.97,524.61
0.0164,-298.954,0.0820423,298.872,-302.629,-220.586,523.215
0.0165,-333.719,0.0513338,333.668,-286.692,-235.358,522.05
0.0166,-370.131,0.0205747,370.111,-270.85,-250.275,521.126
0.0167,-407.521,-0.0102048,407.532,-255.122,-265.327,520.45
0.0168,-445.216,-0.0409742,445.257,-239.525,-280.5,520.025
0.0169,-482.54,-0.0717032,482.612,-224.073,-295.777,519.85
0.017,-518.824,-0.102361,518.926,-208.779,-311.14,519.919
0.0171,-553.405,-0.132919,553.538,-193.651,-326.57,520.221
0.0172,-585.633,-0.163345,585.796,-178.699,-342.043,520.742
0.0173,-614.874,-0.193609,615.067,-163.926,-357.536,521.462
0.0174,-640.514,-0.223683,640.737,-149.337,-373.021,522.358
0.0175,-661.963,-0.253536,662.216,-134.933,-388.47,523.403
0.0176,-678.658,-0.283139,678.941,-120.714,-403.853,524.566
0.0177,-690.064,-0.312462,690.377,-106.675,-419.138,525.813
0.0178,-695.685,-0.341477,696.026,-92.8142,-434.292,527.106
0.0179,-695.061,-0.370155,695.431,-79.124,-449.28,528.403
0.018,-687.773,-0.398468,688.171,-65.5966,-464.065,529.662
0.0181,-673.447,-0.426387,673.873,-52.223,-478.611,530.834
0.0182,-651.751,-0.453886,652.205,-38.9925,-492.879,531.871
0.0183,-622.405,-0.480937,622.886,-25.8933,-506.831,532.724
0.0184,-585.177,-0.507513,585.684,-12.913,-520.426,533.339
0.0185,-539.876,-0.544583,540.421,-0.539331,-533.124,533.664
0.0186,-482.564,-8.20358,490.767,-0.47436,-533.176,533.651
0.0187,-409.929,-29.9196,439.848,-0.380009,-532.906,533.286
0.0188,-321.964,-65.5444,387.508,-0.256419,-532.304,532.56
0.0189,-218.683,-114.922,333.605,-0.103761,-531.36,531.464
0.019,-100.125,-177.888,278.013,0.0777634,-530.063,529.985
0.0191,-0.273422,-237.308,237.581,127.496,-528.415,400.919
0.0192,-0.243719,-252.361,252.605,141.507,-526.733,385.226
0.0193,-0.21379,-272.449,272.663,155.694,-525.179,369.484
0.0194,-0.18365,-296.996,297.18,170.066,-523.781,353.716
0.0195,-0.153328,-325.406,325.56,184.62,-522.568,337.948
0.0196,-0.122856,-357.059,357.182,199.353,-521.562,322.209
0.0197,-0.092262,-391.314,391.406,214.26,-520.781,306.522
0.0198,-0.0615771,-427.516,427.578,229.331,-520.239,290.908
0.0199,-0.0308315,-464.998,465.029,244.557,-519.946,275.389
0.02,-5.54067e-05,-503.085,503.085,259.925,-519.906,259.981
0.0201,0.0307207,-541.101,541.07,275.42,-520.119,244.699
0.0202,0.0614665,-578.37,578.309,291.025,-520.583,229.558
0.0203,0.0921517,-614.223,614.131,306.72,-521.287,214.568
0.0204,0.122746,-648,647.877,322.483,-522.22,199.737
0.0205,0.153219,-679.056,678.902,338.291,-523.364,185.072
0.0206,0.183541,-706.762,706.578,354.119,-524.697,170.578
0.0207,0.213682,-730.513,730.3,369.938,-526.194,156.256
0.0208,0.243611,-749.729,749.486,385.719,-527.825,142.107
0.0209,0.273301,-763.859,763.586,401.43,-529.558,128.128
0.021,0.302721,-772.385,772.083,417.038,-531.355,114.317
0.0211,0.331842,-774.825,774.493,432.509,-533.177,100.667
0.0212,0.360635,-770.736,770.376,447.808,-534.98,87.1723
0.0213,0.389073,-759.717,759.328,462.896,-536.719,73.8231
0.0214,0.417126,-741.411,740.994,477.737,-538.346,60.6098
0.0215,0.444768,-715.509,715.064,492.29,-539.811,47.5211
0.0216,0.471971,-681.749,681.277,506.516,-541.061,34.5447
0.0217,0.498709,-639.921,639.423,520.376,-542.043,21.6671
0.0218,0.524954,-589.868,589.343,533.828,-542.703,8.87426
0.0219,1.40356,-531.901,530.498,542.455,-542.984,0.529094
0.022,13.2836,-471.043,457.759,542.405,-542.85,0.444475
0.0221,39.0752,-408.726,369.651,541.957,-542.288,0.330575
0.0222,78.6674,-344.885,266.217,541.101,-541.289,0.18755
0.0223,131.938,-279.463,147.525,539.826,-539.842,0.0155865
0.0224,198.764,-212.422,13.6577,538.122,-537.937,-0.185106
0.0225,211.192,-211.445,0.253643,536.18,-394.912,-141.268
0.0226,222.36,-222.584,0.223791,534.303,-379.047,-155.256
0.0227,238.435,-238.628,0.193718,532.527,-363.123,-169.404
0.0228,258.863,-259.027,0.163454,530.881,-347.168,-183.714
0.0229,283.067,-283.2,0.133028,529.392,-331.21,-198.182
0.023,310.448,-310.55,0.102472,528.081,-315.276,-212.805
0.0231,340.39,-340.462,0.0718137,526.966,-299.39,-227.576
0.0232,372.262,-372.303,0.0410849,526.062,-283.574,-242.489
0.0233,405.417,-405.428,0.0103156,525.378,-267.847,-257.531
0.0234,439.205,-439.185,-0.0204639,524.919,-252.228,-272.691
0.0235,472.972,-472.921,-0.0512232,524.685,-236.731,-287.954
0.0236,506.065,-505.983,-0.0819319,524.673,-221.371,-303.303
0.0237,537.839,-537.727,-0.11256,524.875,-206.158,-318.717
0.0238,567.658,-567.515,-0.143077,525.278,-191.101,-334.178
0.0239,594.9,-594.726,-0.173452,525.867,-176.207,-349.66
0.024,618.965,-618.761,-0.203657,526.621,-161.482,-365.139
0.0241,639.265,-639.032,-0.23366,527.515,-146.927,-380.588
0.0242,655.236,-654.973,-0.263433,528.522,-132.544,-395.978
0.0243,666.347,-666.054,-0.292946,529.61,-118.332,-411.278
0.0244,672.096,-671.774,-0.32217,530.743,-104.286,-426.456
0.0245,672.023,-671.672,-0.351075,531.883,-90.4037,-441.479
0.0246,665.7,-665.32,-0.379635,532.99,-76.6773,-456.312
0.0247,652.748,-652.34,-0.407819,534.019,-63.0995,-470.919
0.0248,632.822,-632.386,-0.435602,534.925,-49.6612,-485.263
0.0249,605.627,-605.164,-0.462954,535.659,-36.3521,-499.307
0.025,570.911,-570.421,-0.489849,536.172,-23.1608,-513.011
0.0251,528.475,-527.959,-0.516262,536.412,-10.075,-526.337
0.0252,478.415,-477.376,-1.03846,536.328,-0.476337,-535.851
0.0253,425.585,-413.609,-11.9757,535.881,-0.401633,-535.479
0.0254,371.799,-334.696,-37.1028,535.063,-0.297593,-534.765
0.0255,316.924,-240.647,-76.2769,533.866,-0.16437,-533.702
0.0256,260.835,-131.488,-129.347,532.283,-0.00214102,-532.281
0.0257,203.421,-7.26744,-196.153,530.306,0.188886,-530.495
0.0258,210.631,-0.26354,-210.368,396.04,132.5,-528.539
0.0259,226.903,-0.233768,-226.67,380.226,146.458,-526.684
0.026,248.196,-0.203765,-247.993,364.365,160.6,-524.965
0.0261,273.931,-0.173561,-273.758,348.486,174.925,-523.411
0.0262,303.505,-0.143186,-303.361,332.618,189.431,-522.049
0.0263,336.288,-0.11267,-336.176,316.786,204.116,-520.902
0.0264,371.635,-0.0820423,-371.553,301.015,218.973,-519.988
0.0265,408.882,-0.0513338,-408.831,285.327,233.993,-519.32
0.0266,447.356,-0.0205747,-447.336,269.741,249.166,-518.907
0.0267,486.377,0.0102048,-486.387,254.275,264.48,-518.754
0.0268,525.263,0.0409742,-525.304,238.944,279.918,-518.861
0.0269,563.334,0.0717032,-563.406,223.76,295.464,-519.224
0.027,599.916,0.102361,-600.019,208.736,311.097,-519.833
0.0271,634.346,0.132919,-634.479,193.878,326.797,-520.674
0.0272,665.975,0.163345,-666.138,179.193,342.538,-521.731
0.0273,694.173,0.193609,-694.366,164.686,358.295,-522.981
0.0274,718.331,0.223683,-718.555,150.357,374.041,-524.398
0.0275,737.87,0.253536,-738.124,136.207,389.744,-525.951
0.0276,752.237,0.283139,-752.52,122.234,405.374,-527.608
0.0277,760.914,0.312462,-761.227,108.434,420.896,-529.33
0.0278,763.42,0.341477,-763.762,94.8003,436.278,-531.078
0.0279,759.314,0.370155,-759.684,81.3261,451.482,-532.808
0.028,748.195,0.398468,-748.593,68.0024,466.471,-534.473
0.0281,729.709,0.426387,-730.136,54.8187,481.206,-536.025
0.0282,703.551,0.453886,-704.005,41.7635,495.65,-537.413
0.0283,669.463,0.480937,-669.944,28.824,509.761,-538.585
0.0284,627.238,0.507513,-627.745,15.9867,523.5,-539.487
0.0285,576.723,0.533588,-577.256,3.23705,536.826,-540.063
0.0286,515.621,4.92783,-520.549,0.510693,539.751,-540.261
0.0287,439.246,22.9642,-462.21,0.416281,539.643,-540.059
0.0288,347.466,54.8323,-402.298,0.292633,539.153,-539.446
0.0289,240.323,100.404,-340.728,0.139919,538.271,-538.411
0.029,117.881,159.546,-277.427,-0.0416646,536.984,-536.942
0.0291,0.273399,222.09,-222.364,-130.943,535.286,-404.343
0.0292,0.243719,231.467,-231.71,-144.877,533.473,-388.596
0.0293,0.21379,246,-246.214,-158.98,531.749,-372.77
0.0294,0.18365,265.158,-265.342,-173.249,530.148,-356.899
0.0295,0.153328,288.365,-288.518,-187.683,528.695,-341.012
0.0296,0.122856,315.028,-315.15,-202.28,527.416,-325.136
0.0297,0.092262,344.533,-344.625,-217.034,526.33,-309.296
0.0298,0.0615771,376.251,-376.312,-231.938,525.453,-293.515
0.0299,0.0308315,409.539,-409.57,-246.982,524.795,-277.813
0.03,5.5405e-05,443.747,-443.747,-262.155,524.365,-262.21
0.0301,-0.0307207,478.218,-478.187,-277.443,524.165,-246.722
0.0302,-0.0614665,512.296,-512.234,-292.83,524.194,-231.363
0.0303,-0.0921517,545.327,-545.235,-308.298,524.444,-216.146
0.0304,-0.122746,576.668,-576.545,-323.825,524.905,-201.079
0.0305,-0.153219,605.685,-605.532,-339.391,525.563,-186.172
0.0306,-0.183541,631.762,-631.579,-354.97,526.399,-171.429
0.0307,-0.213682,654.302,-654.089,-370.536,527.391,-156.854
0.0308,-0.243611,672.73,-672.487,-386.061,528.511,-142.449
0.0309,-0.273301,686.499,-686.226,-401.515,529.729,-128.214
0.031,-0.302721,695.091,-694.788,-416.866,531.011,-114.145
0.0311,-0.331842,698.022,-697.69,-432.081,532.321,-100.24
0.0312,-0.360635,694.846,-694.486,-447.127,533.618,-86.4912
0.0313,-0.389073,685.159,-684.77,-461.966,534.859,-72.8928
0.0314,-0.417126,668.595,-668.177,-476.563,535.998,-59.4359
0.0315,-0.444768,644.835,-644.39,-490.879,536.989,-46.1104
0.0316,-0.471971,613.605,-613.133,-504.877,537.782,-32.9052
0.0317,-0.498708,574.68,-574.182,-518.517,538.326,-19.8084
0.0318,-0.524954,527.887,-527.362,-531.761,538.568,-6.80687
0.0319,-2.44033,474.037,-471.597,-537.987,538.456,-0.469156
0.032,-16.8717,418.381,-401.509,-537.577,537.961,-0.384637
0.0321,-45.4078,361.647,-316.239,-536.805,537.076,-0.270831
0.0322,-87.9182,303.73,-215.812,-535.664,535.792,-0.127893
0.0323,-144.256,244.526,-100.27,-534.145,534.101,0.0439854
0.0324,-198.965,199.248,-0.283245,-532.251,407.748,124.503
0.0325,-209.602,209.856,-0.253643,-530.291,391.967,138.324
0.0326,-225.669,225.893,-0.223791,-528.43,376.111,152.319
0.0327,-246.621,246.814,-0.193718,-526.702,360.21,166.492
0.0328,-271.872,272.035,-0.163454,-525.137,344.295,180.841
0.0329,-300.82,300.953,-0.133028,-523.76,328.394,195.366
0.033,-332.839,332.941,-0.102472,-522.592,312.532,210.06
0.0331,-367.286,367.358,-0.0718137,-521.651,296.733,224.919
0.0332,-403.504,403.546,-0.0410849,-520.95,281.018,239.933
0.0333,-440.826,440.836,-0.0103156,-520.497,265.406,255.091
0.0334,-478.575,478.555,0.0204639,-520.295,249.916,270.38
0.0335,-516.078,516.027,0.0512232,-520.344,234.56,285.784
0.0336,-552.663,552.581,0.0819319,-520.638,219.353,301.285
0.0337,-587.664,587.552,0.11256,-521.168,204.304,316.864
0.0338,-620.43,620.287,0.143077,-521.919,189.421,332.498
0.0339,-650.32,650.147,0.173452,-522.874,174.711,348.163
0.034,-676.716,676.512,0.203657,-524.01,160.177,363.833
0.0341,-699.02,698.786,0.23366,-525.3,145.82,379.48
0.0342,-716.66,716.396,0.263433,-526.714,131.641,395.074
0.0343,-729.098,728.805,0.292946,-528.218,117.636,410.582
0.0344,-735.829,735.506,0.32217,-529.775,103.803,425.973
0.0345,-736.383,736.032,0.351075,-531.344,90.1341,441.21
0.0346,-730.334,729.954,0.379635,-532.881,76.6232,456.258
0.0347,-717.294,716.886,0.407819,-534.341,63.2607,471.081
0.0348,-696.922,696.487,0.435602,-535.675,50.0365,485.639
0.0349,-668.924,668.462,0.462954,-536.833,36.939,499.894
0.035,-633.056,632.566,0.489849,-537.761,23.9557,513.806
0.0351,-589.121,588.604,0.516262,-538.408,11.073,527.335
0.0352,-537.09,536.325,0.765312,-538.718,0.535559,538.183
0.0353,-481.426,471.091,10.3345,-538.649,0.460756,538.188
0.0354,-424.397,390.508,33.8893,-538.188,0.356618,537.831
0.0355,-365.896,294.597,71.2991,-537.324,0.223297,537.101
0.0356,-305.825,183.399,122.426,-536.049,0.0609722,535.988
0.0357,-244.104,56.9765,187.127,-534.351,-0.130151,534.481
0.0358,-223.074,0.26354,222.811,-398.095,-134.555,532.651
0.0359,-235.889,0.233768,235.655,-382.314,-148.546,530.861
0.036,-253.685,0.203765,253.481,-366.474,-162.709,529.183
0.0361,-275.899,0.173561,275.725,-350.604,-177.043,527.647
0.0362,-301.944,0.143186,301.801,-334.733,-191.546,526.279
0.0363,-331.213,0.11267,331.101,-318.887,-206.217,525.103
0.0364,-363.079,0.0820423,362.997,-303.089,-221.047,524.136
0.0365,-396.899,0.0513338,396.848,-287.363,-236.03,523.393
0.0366,-432.018,0.0205747,431.997,-271.729,-251.154,522.883
0.0367,-467.774,-0.0102048,467.785,-256.203,-266.407,522.61
0.0368,-503.504,-0.0409742,503.545,-240.801,-281.775,522.576
0.0369,-538.545,-0.0717032,538.617,-225.537,-297.24,522.778
0.037,-572.239,-0.102361,572.342,-210.422,-312.784,523.206
0.0371,-603.94,-0.132919,604.073,-195.465,-328.384,523.848
0.0372,-633.012,-0.163345,633.176,-180.672,-344.017,524.689
0.0373,-658.841,-0.193609,659.034,-166.048,-359.658,525.706
0.0374,-680.83,-0.223683,681.054,-151.596,-375.279,526.876
0.0375,-698.411,-0.253536,698.665,-137.316,-390.852,528.169
0.0376,-711.042,-0.283139,711.326,-123.207,-406.346,529.553
0.0377,-718.216,-0.312462,718.528,-109.265,-421.727,530.992
0.0378,-719.457,-0.341477,719.798,-95.4856,-436.963,532.449
0.0379,-714.331,-0.370155,714.701,-81.8621,-452.018,533.88
0.038,-702.445,-0.398468,702.843,-68.3863,-466.855,535.241
0.0381,-683.447,-0.426387,683.873,-55.0487,-481.436,536.485
0.0382,-657.034,-0.453886,657.488,-41.8385,-495.725,537.563
0.0383,-622.949,-0.480937,623.43,-28.7439,-509.681,538.425
0.0384,-580.985,-0.507513,581.493,-15.7522,-523.266,539.018
0.0385,-530.988,-0.533588,531.522,-2.84969,-536.438,539.288
0.0386,-470.465,-5.31381,475.779,-0.465151,-538.721,539.186
0.0387,-394.793,-23.9785,418.772,-0.370815,-538.321,538.692
0.0388,-303.877,-56.6345,360.511,-0.247242,-537.55,537.797
0.0389,-197.75,-103.148,300.897,-0.0946019,-536.398,536.493
0.039,-76.4679,-163.376,239.844,0.0869082,-534.856,534.77
0.0391,-0.274118,-207.082,207.356,129.42,-532.958,403.538
0.0392,-0.24372,-218.443,218.687,143.667,-531.055,387.387
0.0393,-0.213795,-235.03,235.244,157.73,-529.255,371.525
0.0394,-0.18365,-256.292,256.475,171.971,-527.591,355.621
0.0395,-0.153328,-281.648,281.802,186.381,-526.091,339.71
0.0396,-0.122856,-310.495,310.618,200.961,-524.779,323.817
0.0397,-0.092262,-342.207,342.299,215.706,-523.674,307.968
0.0398,-0.0615771,-376.141,376.202,230.608,-522.793,292.185
0.0399,-0.0308315,-411.642,411.673,245.658,-522.148,276.49
0.04,-5.54063e-05,-448.046,448.046,260.844,-521.743,260.899
0.0401,0.0307207,-484.686,484.655,276.152,-521.583,245.431
0.0402,0.0614665,-520.894,520.832,291.566,-521.665,230.099
0.0403,0.0921517,-556.004,555.912,307.068,-521.983,214.916
0.0404,0.122746,-589.362,589.239,322.636,-522.527,199.89
0.0405,0.153219,-620.322,620.169,338.25,-523.28,185.03
0.0406,0.183541,-648.258,648.074,353.882,-524.224,170.341
0.0407,0.213682,-672.561,672.347,369.508,-525.335,155.826
0.0408,0.243611,-692.649,692.405,385.099,-526.585,141.487
0.0409,0.273301,-707.964,707.69,400.623,-527.945,127.322
0.041,0.302721,-717.979,717.677,416.049,-529.378,113.329
0.0411,0.331842,-722.206,721.874,431.345,-530.847,99.5027
0.0412,0.360635,-720.189,719.829,446.473,-532.312,85.8381
