"time","Piston_body_r_00_2_","Inertia_w"
0.296256,0.2,271.073
0.297,0.201018,270.083
0.298,0.205636,265.526
0.299,0.214083,257.053
0.3,0.226379,244.99
0.301,0.242252,230.965
0.302,0.261073,217.581
0.303,0.28199,207.197
0.304,0.304105,201.232
0.305,0.326549,200.43
0.306,0.348436,205.404
0.307,0.368689,216.84
0.308,0.385727,234.543
0.309,0.39707,253.346
0.30977,0.4,259.611
0.30977,0.4,259.611
0.31,0.399733,259.056
0.311,0.392736,246.358
0.312,0.378251,228.354
0.313,0.359112,214.969
0.314,0.337329,208.38
0.315,0.31423,208.36
0.316,0.290855,214.448
0.317,0.268212,226.073
0.318,0.247404,241.882
0.319,0.229573,259.101
0.32,0.215656,274.158
0.321,0.206127,284.618
0.322,0.201018,290.045
0.322693,0.2,291.1
0.322693,0.2,291.1
0.323,0.2002,290.893
0.324,0.203641,287.294
0.325,0.211453,278.949
0.326,0.223723,265.949
0.327,0.240214,250.01
0.328,0.260215,234.47
0.329,0.28269,222.554
0.33,0.306531,216.188
0.331,0.330663,216.369
0.332,0.353958,223.961
0.333,0.374959,239.812
0.334,0.391365,262.33
0.335,0.399633,279.524
0.33525,0.4,280.419
0.33525,0.4,280.419
0.336,0.396759,273.427
0.337,0.38384,252.518
0.338,0.364489,234.345
0.339,0.341594,224.433
0.34,0.316977,222.802
0.341,0.291958,228.777
0.342,0.267764,241.574
0.343,0.245719,259.419
0.344,0.227181,278.642
0.345,0.213207,294.736
0.346,0.204247,305.068
0.347,0.200255,309.506
0.347326,0.2,309.785
0.347326,0.2,309.785
0.348,0.201092,308.59
0.349,0.206795,302.224
0.35,0.217522,290.056
0.351,0.233216,273.105
0.352,0.253268,254.926
0.353,0.276542,239.975
0.354,0.301707,231.279
0.355,0.32746,230.338
0.356,0.35246,238.272
0.357,0.374984,256.209
0.358,0.392254,282.115
0.359,0.399928,299.609
0.359104,0.4,299.798
0.359104,0.4,299.798
0.36,0.394788,288.059
0.361,0.378999,263.35
0.362,0.356953,244.966
0.363,0.331727,236.894
0.364,0.305237,238.488
0.365,0.278978,248.825
0.366,0.254448,266.421
0.367,0.233257,287.732
0.368,0.216828,307.188
0.369,0.205928,320.477
0.37,0.200618,326.729
0.37048,0.2,327.44
0.37048,0.2,327.44
0.371,0.200725,326.606
0.372,0.206251,320.121
0.373,0.217377,306.821
0.374,0.234055,287.888
0.375,0.255557,267.749
0.376,0.280516,251.889
0.377,0.307361,243.819
0.378,0.334559,245.26
0.379,0.360452,257.677
0.38,0.382692,282.014
0.381,0.39725,310.691
0.381609,0.4,318.007
0.381609,0.4,318.007
0.382,0.398848,315.006
0.383,0.386643,289.96
0.384,0.365428,264.997
0.385,0.339621,251.744
0.386,0.311866,250.272
0.387,0.284004,259.374
0.388,0.257757,277.443
0.389,0.234976,300.625
0.39,0.217352,322.296
0.391,0.20582,337.005
0.392,0.200463,343.601
0.392395,0.2,344.158
0.392395,0.2,344.158
0.393,0.201084,342.852
0.394,0.207715,334.681
0.395,0.220559,318.628
0.396,0.239432,296.865
0.397,0.26328,275.503
0.398,0.2904,260.738
0.399,0.318981,255.944
0.4,0.347223,262.958
0.401,0.372931,283.618
0.402,0.392494,315.841
0.402971,0.4,335.185
0.402971,0.4,335.185
0.403,0.399993,335.165
0.404,0.391608,314.838
0.405,0.371393,284.507
0.406,0.34507,266.365
0.407,0.316136,262.198
0.408,0.286829,270.5
0.409,0.259127,289.412
0.41,0.235135,314.547
0.411,0.216785,338.068
0.412,0.205124,353.554
0.413,0.200206,359.844
0.413252,0.2,360.101
0.413252,0.2,360.101
0.414,0.201819,357.808
0.415,0.210052,347.155
0.416,0.225103,327.658
0.417,0.246537,303.204
0.418,0.272873,281.721
0.419,0.302073,269.571
0.42,0.332083,269.816
0.421,0.360727,284.648
0.422,0.384865,315.358
0.423,0.398868,348.083
0.423351,0.4,351.521
0.423351,0.4,351.521
0.424,0.396207,341.001
0.425,0.378321,306.682
0.426,0.352084,282.142
0.427,0.322224,273.894
0.428,0.291526,280.284
0.429,0.26225,299.223
0.43,0.236758,326.054
0.431,0.217273,351.817
0.432,0.205038,368.702
0.433,0.200128,375.224
0.433191,0.2,375.391
0.433191,0.2,375.391
0.434,0.202315,372.351
0.435,0.211719,359.642
0.436,0.228523,337.227
