"time","U@resistance","I@variable_resistance"
2.455795678e-005,-1.031099284,-1.222073124e-006
2.475442043e-005,-1.913731886,-1.145048614e-006
2.495088409e-005,-2.739063262,-1.099879926e-006
2.514734774e-005,-3.665620207,-0.01291043188
2.534381139e-005,-4.549801955,-0.04208466659
2.554027505e-005,-5.319010108,-0.0690620895
2.57367387e-005,-5.965300219,-0.09369116076
2.593320236e-005,-6.48314071,-0.1158664008
2.612966601e-005,-6.869401473,-0.1355281728
2.632612967e-005,-7.123300958,-0.1526616764
2.652259332e-005,-7.246317893,-0.1672952393
2.671905697e-005,-7.2420689,-0.1794980124
2.691552063e-005,-7.11615513,-0.1893770143
2.711198428e-005,-6.875979746,-0.1970736563
2.730844794e-005,-6.530546896,-0.2027598987
2.750491159e-005,-6.090240325,-0.206634033
2.770137525e-005,-5.566588423,-0.2089161859
2.78978389e-005,-4.972020734,-0.2098436758
2.809430255e-005,-4.319619534,-0.2096662706
2.829076621e-005,-3.622871861,-0.2086414517
2.848722986e-005,-2.895424593,-0.2070297406
2.868369352e-005,-2.150848952,-0.205090203
2.888015717e-005,-1.402414235,-0.2030761298
2.907662083e-005,-0.6628760012,-0.2012309954
2.927308448e-005,0.05571171805,-0.1997848721
2.946954813e-005,0.7421687269,-0.1989511435
2.966601179e-005,1.386346911,-0.1989234831
2.986247544e-005,1.979244958,-0.1998736672
3.00589391e-005,2.517511608,-1.346860127e-007
3.025540275e-005,3.062646214,-5.756540494e-007
3.04518664e-005,3.627099196,-1.004813065e-006
3.064833006e-005,4.196640251,-1.410089127e-006
3.084479371e-005,4.755087617,-1.780689365e-006
3.104125737e-005,5.284982447,-2.107460015e-006
3.123772102e-005,5.768326215,-2.3831713e-006
3.143418468e-005,6.187346441,-2.602718463e-006
3.163064833e-005,6.525261472,-2.763233972e-006
3.182711198e-005,6.767007673,-2.864107755e-006
3.202357564e-005,6.899901635,-2.906917732e-006
3.222003929e-005,6.914208965,-2.895275591e-006
3.241650295e-005,6.803596929,-2.834596387e-006
3.26129666e-005,6.565452991,-2.731803396e-006
3.280943026e-005,6.201057146,-2.594982048e-006
3.300589391e-005,5.715602198,-2.432998654e-006
3.320235756e-005,5.118062129,-2.25510008e-006
3.339882122e-005,4.420915728,-2.070512307e-006
3.359528487e-005,3.639737254,-1.888053471e-006
3.379174853e-005,2.792672315,-1.715777712e-006
3.398821218e-005,1.899820229,-1.56066331e-006
3.418467583e-005,0.9825490667,-1.428357356e-006
3.438113949e-005,0.06277082417,-1.32298575e-006
3.457760314e-005,-0.8377944498,-1.247034713e-006
3.47740668e-005,-1.698338038,-1.201306982e-006
3.497053045e-005,-2.499635055,-1.184952602e-006
3.516699411e-005,-3.443032053,-0.02684024835
3.536345776e-005,-4.32649699,-0.05599875546
3.555992141e-005,-5.098775868,-0.08303274587
3.575638507e-005,-5.751707966,-0.1077865483
3.595284872e-005,-6.279494901,-0.1301495879
3.614931238e-005,-6.67869551,-0.1500562875
3.634577603e-005,-6.948180531,-0.1674852044
3.654223969e-005,-7.089052862,-0.1824574983
3.673870334e-005,-7.104528352,-0.1950346618
3.693516699e-005,-6.999795813,-0.2053158427
3.713163065e-005,-6.781838444,-0.2134344347
3.73280943e-005,-6.459242186,-0.2195544172
3.752455796e-005,-6.041979606,-0.2238662301
3.772102161e-005,-5.541182544,-0.2265824327
3.791748527e-005,-4.968904048,-0.2279331549
3.811394892e-005,-4.337876881,-0.2281614959
3.831041257e-005,-3.661267996,-0.2275188283
3.850687623e-005,-2.952439485,-0.2262602374
3.870333988e-005,-2.224715718,-0.2246400795
3.889980354e-005,-1.491160776,-0.2229077299
