"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
4.06,6,18,4,4
4.08,6,18,4,4
4.1,6,18,4,4
4.12,6,18,4,4
4.14,6,18,4,4
4.16,6,18,4,4
4.18,5,15,4,4
4.2,5,15,4,4
4.22,5,15,4,4
4.24,5,15,4,4
4.26,5,15,4,4
4.28,5,15,4,4
4.3,5,15,4,4
4.32,5,15,4,4
4.34,5,15,4,4
4.36,5,15,4,4
4.38,5,15,4,4
4.4,5,15,4,4
4.42,5,15,4,4
4.44,5,15,4,4
4.46,5,15,4,4
4.48,5,15,4,4
4.5,5,15,4,6
4.52,5,15,4,6
4.54,5,15,4,6
4.56,5,15,4,6
4.58,5,15,4,6
4.6,5,15,4,6
4.62,5,15,4,6
4.64,5,15,4,6
4.66,5,15,4,6
4.68,5,15,4,6
4.7,5,15,4,6
4.72,5,15,4,6
4.74,4,12,4,6
4.76,4,12,4,6
4.78,4,12,4,6
4.8,4,12,4,6
4.82,4,12,4,6
4.84,4,12,4,6
4.86,4,12,4,6
4.88,4,12,4,6
4.9,4,12,4,6
4.92,4,12,4,6
4.94,4,12,4,6
4.96,4,12,4,6
4.98,4,12,4,6
5,4,12,5,4
5.02,4,12,5,4
5.04,4,12,5,4
5.06,4,12,5,4
5.08,4,12,5,4
5.1,4,12,5,4
5.12,4,12,5,4
5.14,4,12,5,4
5.16,4,12,5,4
5.18,4,12,5,4
5.2,4,12,5,4
5.22,4,12,5,4
5.24,4,12,5,4
5.26,4,12,5,4
5.28,3,9,5,4
5.3,3,9,5,4
5.32,3,9,5,4
5.34,3,9,5,4
5.36,3,9,5,4
5.38,3,9,5,4
5.4,3,9,5,4
5.42,3,9,5,4
5.44,3,9,5,4
5.46,3,9,5,4
5.48,3,9,5,4
5.5,3,9,5,6
5.52,3,9,5,6
5.54,3,9,5,6
5.56,3,9,5,6
5.58,3,9,5,6
5.6,3,9,5,2
5.62,3,9,5,2
5.64,3,9,5,2
5.66,3,9,5,2
5.68,3,9,5,2
5.7,3,9,5,2
5.72,3,9,5,2
5.74,3,9,5,2
5.76,3,9,5,2
5.78,3,9,5,2
5.8,3,9,5,2
5.82,3,9,5,2
5.84,2,6,5,2
5.86,2,6,5,2
5.88,2,6,5,2
5.9,2,6,5,2
5.92,2,6,5,2
5.94,2,6,5,2
5.96,2,6,5,2
5.98,2,6,5,2
6,2,6,6,4
6.02,2,6,6,4
6.04,2,6,6,4
6.06,2,6,6,4
6.08,2,6,6,4
6.1,2,6,6,4
6.12,2,6,6,4
6.14,2,6,6,4
6.16,2,6,6,4
6.18,2,6,6,4
6.2,2,6,6,4
6.22,2,6,6,4
6.24,2,6,6,4
6.26,2,6,6,4
6.28,2,6,6,4
6.3,2,6,6,4
6.32,2,6,6,4
6.34,2,6,6,4
6.36,2,6,6,4
6.38,2,6,6,4
6.4,2,6,6,4
6.42,2,6,6,4
6.44,2,6,6,4
6.46,2,6,6,4
6.48,2,6,6,4
6.5,2,6,6,6
6.52,2,6,6,6
6.54,2,6,6,6
6.56,2,6,6,6
6.58,1,3,6,6
6.6,1,3,6,6
6.62,1,3,6,6
6.64,1,3,6,6
6.66,1,3,6,6
6.68,1,3,6,6
6.7,1,3,6,6
6.72,1,3,6,6
6.74,1,3,6,6
6.76,1,3,6,6
6.78,1,3,6,6
6.8,1,3,6,6
6.82,1,3,6,6
6.84,1,3,6,6
6.86,1,3,6,6
6.88,1,3,6,6
6.9,1,3,6,6
6.92,1,3,6,6
6.94,1,3,6,6
6.96,1,3,6,6
6.98,1,3,6,6
7,1,3,7,4
7.02,1,3,7,4
7.04,1,3,7,4
7.06,1,3,7,4
7.08,1,3,7,4
7.1,1,3,7,4
7.12,1,3,7,4
7.14,1,3,7,4
7.16,1,3,7,4
7.18,1,3,7,4
7.2,1,3,7,4
7.22,1,3,7,4
7.24,1,3,7,4
7.26,1,3,7,4
7.28,1,3,7,4
7.3,1,3,7,4
7.32,1,3,7,4
7.34,1,3,7,4
7.36,1,3,7,4
7.38,1,3,7,4
7.4,1,3,7,4
7.42,1,3,7,4
7.44,1,3,7,4
7.46,1,3,7,4
7.48,1,3,7,4
7.5,1,3,7,6
7.52,1,3,7,6
7.54,1,3,7,6
7.56,1,3,7,6
7.58,1,3,7,6
7.6,1,3,7,2
7.62,1,3,7,2
7.64,1,3,7,2
7.66,1,3,7,2
7.68,1,3,7,2
7.7,1,3,7,2
7.72,1,3,7,2
7.74,1,3,7,2
7.76,1,3,7,2
7.78,1,3,7,2
7.8,1,3,7,2
7.82,1,3,7,2
7.84,1,3,7,2
7.86,1,3,7,2
7.88,1,3,7,2
7.9,1,3,7,2
7.92,1,3,7,2
7.94,1,3,7,2
7.96,1,3,7,2
7.98,1,3,7,2
8,1,3,8,4
8.02,1,3,8,4
8.04,1,3,8,4
8.06,1,3,8,4
8.08,1,3,8,4
8.1,1,3,8,4
8.12,1,3,8,4
8.14,1,3,8,4
8.16,1,3,8,4
8.18,1,3,8,4
8.2,1,3,8,4
8.22,1,3,8,4
8.24,1,3,8,4
8.26,1,3,8,4
8.28,1,3,8,4
8.3,1,3,8,4
8.32,1,3,8,4
8.34,1,3,8,4
8.36,1,3,8,4
8.38,1,3,8,4
8.4,1,3,8,4
8.42,1,3,8,4
8.44,2,6,8,4
8.46,2,6,8,4
8.48,2,6,8,4
8.5,2,6,8,6
8.52,2,6,8,6
8.54,2,6,8,6
8.56,2,6,8,6
8.58,2,6,8,6
8.6,2,6,8,6
8.62,2,6,8,6
8.64,2,6,8,6
8.66,2,6,8,6
8.68,2,6,8,6
8.7,2,6,8,6
8.72,2,6,8,6
8.74,2,6,8,6
8.76,2,6,8,6
8.78,2,6,8,6
8.8,2,6,8,6
8.82,2,6,8,6
8.84,2,6,8,6
8.86,2,6,8,6
8.88,2,6,8,6
8.9,2,6,8,6
8.92,2,6,8,6
8.94,2,6,8,6
8.96,2,6,8,6
8.98,2,6,8,6
9,2,6,9,4
9.02,2,6,9,4
9.04,2,6,9,4
9.06,2,6,9,4
9.08,2,6,9,4
9.1,2,6,9,4
9.12,2,6,9,4
9.14,2,6,9,4
9.16,2,6,9,4
9.18,3,9,9,4
9.2,3,9,9,4
9.22,3,9,9,4
9.24,3,9,9,4
9.26,3,9,9,4
9.28,3,9,9,4
9.3,3,9,9,4
9.32,3,9,9,4
9.34,3,9,9,4
9.36,3,9,9,4
9.38,3,9,9,4
9.4,3,9,9,4
9.42,3,9,9,4
9.44,3,9,9,4
9.46,3,9,9,4
9.48,3,9,9,4
9.5,3,9,9,6
9.52,3,9,9,6
9.54,3,9,9,6
9.56,3,9,9,6
9.58,3,9,9,6
9.6,3,9,9,2
9.62,3,9,9,2
9.64,3,9,9,2
9.66,3,9,9,2
9.68,3,9,9,2
9.7,3,9,9,2
9.72,3,9,9,2
9.74,4,12,9,2
9.76,4,12,9,2
9.78,4,12,9,2
9.8,4,12,9,2
9.82,4,12,9,2
9.84,4,12,9,2
9.86,4,12,9,2
9.88,4,12,9,2
9.9,4,12,9,2
9.92,4,12,9,2
9.94,4,12,9,2
9.96,4,12,9,2
9.98,4,12,9,2
10,4,12,10,4
