"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2"
0.74,0,0.674288,8,0,12,12,1,0,0,0,1,0,0.564642,0.674288,0
0.75,0,0.681639,8,0,12,12,1,0,0,0,1,0,0.564642,0.681639,0
0.76,0,0.688921,8,0,12,12,1,0,0,0,1,0,0.564642,0.688921,0
0.77,0,0.696135,8,0,12,12,1,0,0,0,1,0,0.564642,0.696135,0
0.78,0,0.703279,8,0,12,12,1,0,0,0,1,0,0.564642,0.703279,0
0.79,0,0.710353,8,0,12,12,1,0,0,0,1,0,0.564642,0.710353,0
0.8,0,0.717356,8,0,12,12,1,0,0,0,1,0,0.564642,0.717356,0
0.81,0,0.724287,8,0,12,12,1,0,0,0,1,0,0.564642,0.724287,0
0.82,0,0.731146,8,0,12,12,1,0,0,0,1,0,0.564642,0.731146,0
0.83,0,0.737931,8,0,12,12,1,0,0,0,1,0,0.564642,0.737931,0
0.84,0,0.744643,8,0,12,12,1,0,0,0,1,0,0.564642,0.744643,0
0.85,0,0.75128,9,0,12,12,1,0,0,0,1,0,0.564642,0.75128,0
0.86,0,0.757843,9,0,12,12,1,0,0,0,1,0,0.564642,0.757843,0
0.87,0,0.764329,9,0,12,12,1,0,0,0,1,0,0.564642,0.764329,0
0.88,0,0.770739,9,0,12,12,1,0,0,0,1,0,0.564642,0.770739,0
0.89,0,0.777072,9,0,12,12,1,0,0,0,1,0,0.564642,0.777072,0
0.9,0,0.783327,9,0,12,12,1,0,0,0,1,0,0.564642,0.783327,0
0.91,0,0.789504,9,0,12,12,1,0,0,0,1,0,0.783327,0.789504,0
0.92,0,0.795602,9,0,12,12,1,0,0,0,1,0,0.783327,0.795602,0
0.93,0,0.80162,9,0,12,12,1,0,0,0,1,0,0.783327,0.80162,0
0.94,0,0.807558,9,0,12,12,1,0,0,0,1,0,0.783327,0.807558,0
0.95,0,0.813416,9,0,12,12,1,0,0,0,1,0,0.783327,0.813416,0
0.96,0,0.819192,9,0,12,12,1,0,0,0,1,0,0.783327,0.819192,0
0.97,0,0.824886,9,0,12,12,1,0,0,0,1,0,0.783327,0.824886,0
0.98,0,0.830497,9,0,12,12,1,0,0,0,1,0,0.783327,0.830497,0
0.99,0,0.836026,10,0,12,12,1,0,0,0,1,0,0.783327,0.836026,0
1,1,0.841471,10,0,12,12,1,0,0,0,1,0,0.783327,0.841471,1
1.01,1,0.846832,10,0,12,12,1,0,0,0,1,0,0.783327,0.846832,1
1.02,1,0.852108,10,0,12,12,1,0,0,0,1,0,0.783327,0.852108,1
1.03,1,0.857299,10,0,12,12,1,0,0,0,1,0,0.783327,0.857299,1
1.04,1,0.862404,10,0,12,12,1,0,0,0,1,0,0.783327,0.862404,1
1.05,1,0.867423,10,0,12,12,1,0,0,0,1,0,0.783327,0.867423,1
1.06,1,0.872355,10,0,12,12,1,0,0,0,1,0,0.783327,0.872355,1
1.07,1,0.877201,10,0,12,12,1,0,0,0,1,0,0.783327,0.877201,1
1.08,1,0.881958,10,0,12,12,1,0,0,0,1,0,0.783327,0.881958,1
1.09,1,0.886627,10,0,12,12,1,0,0,0,1,0,0.783327,0.886627,1
1.1,1,0.891207,10,0,12,12,1,0,0,0,1,0,0.783327,0.891207,1
1.11,1,0.895699,10,0,12,12,1,0,0,0,1,0,0.783327,0.895699,1
1.12,1,0.9001,10,0,12,12,1,0,0,0,1,0,0.783327,0.9001,1
1.13,1,0.904412,10,0,12,12,1,0,0,0,1,0,0.783327,0.904412,1
1.14,1,0.908633,10,0,12,12,1,0,0,0,1,0,0.783327,0.908633,1
1.15,1,0.912764,10,0,12,12,1,0,0,0,1,0,0.783327,0.912764,1
1.16,1,0.916803,11,0,12,12,1,0,0,0,1,0,0.783327,0.916803,1
1.17,1,0.920751,11,0,12,12,1,0,0,0,1,0,0.783327,0.920751,1
1.18,1,0.924606,11,0,12,12,1,0,0,0,1,0,0.783327,0.924606,1
1.19,1,0.928369,11,0,12,12,1,0,0,0,1,0,0.783327,0.928369,1
1.2,1,0.932039,11,0,12,12,1,0,0,0,1,0,0.783327,0.932039,1
1.21,1,0.935616,11,0,12,12,1,0,0,0,1,0,0.932039,0.935616,1
1.22,1,0.939099,11,0,12,12,1,0,0,0,1,0,0.932039,0.939099,1
1.23,1,0.942489,11,0,12,12,1,0,0,0,1,0,0.932039,0.942489,1
1.24,1,0.945784,11,0,12,12,1,0,0,0,1,0,0.932039,0.945784,1
1.25,1,0.948985,11,0,12,12,1,0,0,0,1,0,0.932039,0.948985,1
1.26,1,0.95209,11,0,12,12,1,0,0,0,1,0,0.932039,0.95209,1
1.27,1,0.955101,11,0,12,12,1,0,0,0,1,0,0.932039,0.955101,1
1.28,1,0.958016,11,0,12,12,1,0,0,0,1,0,0.932039,0.958016,1
1.29,1,0.960835,11,0,12,12,1,0,0,0,1,0,0.932039,0.960835,1
1.3,1,0.963558,11,0,12,12,1,0,0,0,1,0,0.932039,0.963558,1
1.31,1,0.966185,11,0,12,12,1,0,0,0,1,0,0.932039,0.966185,1
1.32,1,0.968715,11,0,12,12,1,0,0,0,1,0,0.932039,0.968715,1
1.33,1,0.971148,11,0,12,12,1,0,0,0,1,0,0.932039,0.971148,1
1.34,1,0.973485,11,0,12,12,1,0,0,0,1,0,0.932039,0.973485,1
1.35,1,0.975723,11,0,12,12,1,0,0,0,1,0,0.932039,0.975723,1
1.36,1,0.977865,11,0,12,12,1,0,0,0,1,0,0.932039,0.977865,1
1.37,1,0.979908,11,0,12,12,1,0,0,0,1,0,0.932039,0.979908,1
1.38,1,0.981854,11,0,12,12,1,0,0,0,1,0,0.932039,0.981854,1
1.39,1,0.983701,11,0,12,12,1,0,0,0,1,0,0.932039,0.983701,1
1.4,1,0.98545,11,0,12,12,1,0,0,0,1,0,0.932039,0.98545,1
1.41,1,0.9871,11,0,12,12,1,0,0,0,1,0,0.932039,0.9871,1
1.42,1,0.988652,11,0,12,12,1,0,0,0,1,0,0.932039,0.988652,1
1.43,1,0.990105,11,0,12,12,1,0,0,0,1,0,0.932039,0.990105,1
1.44,1,0.991458,11,0,12,12,1,0,0,0,1,0,0.932039,0.991458,1
1.45,1,0.992713,11,0,12,12,1,0,0,0,1,0,0.932039,0.992713,1
1.46,1,0.993868,11,0,12,12,1,0,0,0,1,0,0.932039,0.993868,1
1.47,1,0.994924,11,0,12,12,1,0,0,0,1,0,0.932039,0.994924,1
1.48,1,0.995881,11,0,12,12,1,0,0,0,1,0,0.932039,0.995881,1
1.49,1,0.996738,11,0,12,12,1,0,0,0,1,0,0.932039,0.996738,1
1.5,1,0.997495,11,0,12,12,1,0,0,0,1,0,0.932039,0.997495,1
1.51,1,0.998152,11,0,12,12,1,0,0,0,1,0,0.997495,0.998152,1
1.52,1,0.99871,11,0,12,12,1,0,0,0,1,0,0.997495,0.99871,1
1.53,1,0.999168,11,0,12,12,1,0,0,0,1,0,0.997495,0.999168,1
1.54,1,0.999526,11,0,12,12,1,0,0,0,1,0,0.997495,0.999526,1
1.55,1,0.999784,11,0,12,12,1,0,0,0,1,0,0.997495,0.999784,1
1.56,1,0.999942,11,0,12,12,1,0,0,0,1,0,0.997495,0.999942,1
1.57,1,1,11,0,12,12,1,0,0,0,1,0,0.997495,1,1
1.58,1,0.999958,11,0,12,12,1,0,0,0,1,0,0.997495,0.999958,1
1.59,1,0.999816,11,0,12,12,1,0,0,0,1,0,0.997495,0.999816,1
1.6,1,0.999574,11,0,12,12,1,0,0,0,1,0,0.997495,0.999574,1
1.61,1,0.999232,11,0,12,12,1,0,0,0,1,0,0.997495,0.999232,1
1.62,1,0.99879,11,0,12,12,1,0,0,0,1,0,0.997495,0.99879,1
1.63,1,0.998248,11,0,12,12,1,0,0,0,1,0,0.997495,0.998248,1
1.64,1,0.997606,11,0,12,12,1,0,0,0,1,0,0.997495,0.997606,1
1.65,1,0.996865,11,0,12,12,1,0,0,0,1,0,0.997495,0.996865,1
1.66,1,0.996024,11,0,12,12,1,0,0,0,1,0,0.997495,0.996024,1
1.67,1,0.995083,11,0,12,12,1,0,0,0,1,0,0.997495,0.995083,1
1.68,1,0.994043,11,0,12,12,1,0,0,0,1,0,0.997495,0.994043,1
1.69,1,0.992904,11,0,12,12,1,0,0,0,1,0,0.997495,0.992904,1
1.7,1,0.991665,11,0,12,12,1,0,0,0,1,0,0.997495,0.991665,1
1.71,1,0.990327,11,0,12,12,1,0,0,0,1,0,0.997495,0.990327,1
1.72,1,0.98889,11,0,12,12,1,0,0,0,1,0,0.997495,0.98889,1
1.73,1,0.987354,11,0,12,12,1,0,0,0,1,0,0.997495,0.987354,1
1.74,1,0.985719,11,0,12,12,1,0,0,0,1,0,0.997495,0.985719,1
1.75,1,0.983986,11,0,12,12,1,0,0,0,1,0,0.997495,0.983986,1
1.76,1,0.982154,11,0,12,12,1,0,0,0,1,0,0.997495,0.982154,1
1.77,1,0.980224,11,0,12,12,1,0,0,0,1,0,0.997495,0.980224,1
1.78,1,0.978197,11,0,12,12,1,0,0,0,1,0,0.997495,0.978197,1
1.79,1,0.976071,11,0,12,12,1,0,0,0,1,0,0.997495,0.976071,1
1.8,1,0.973848,11,0,12,12,1,0,0,0,1,0,0.997495,0.973848,1
1.81,1,0.971527,11,0,12,12,1,0,0,0,1,0,0.973848,0.971527,1
1.82,1,0.969109,11,0,12,12,1,0,0,0,1,0,0.973848,0.969109,1
1.83,1,0.966594,11,0,12,12,1,0,0,0,1,0,0.973848,0.966594,1
1.84,1,0.963983,11,0,12,12,1,0,0,0,1,0,0.973848,0.963983,1
1.85,1,0.961275,11,0,12,12,1,0,0,0,1,0,0.973848,0.961275,1
1.86,1,0.958471,11,0,12,12,1,0,0,0,1,0,0.973848,0.958471,1
1.87,1,0.955572,11,0,12,12,1,0,0,0,1,0,0.973848,0.955572,1
1.88,1,0.952576,11,0,12,12,1,0,0,0,1,0,0.973848,0.952576,1
1.89,1,0.949486,11,0,12,12,1,0,0,0,1,0,0.973848,0.949486,1
1.9,1,0.9463,11,0,12,12,1,0,0,0,1,0,0.973848,0.9463,1
1.91,1,0.94302,11,0,12,12,1,0,0,0,1,0,0.973848,0.94302,1
1.92,1,0.939645,11,0,12,12,1,0,0,0,1,0,0.973848,0.939645,1
1.93,1,0.936177,11,0,12,12,1,0,0,0,1,0,0.973848,0.936177,1
1.94,1,0.932615,11,0,12,12,1,0,0,0,1,0,0.973848,0.932615,1
1.95,1,0.92896,11,0,12,12,1,0,0,0,1,0,0.973848,0.92896,1
1.96,1,0.925212,11,0,12,12,1,0,0,0,1,0,0.973848,0.925212,1
1.97,1,0.921371,11,0,12,12,1,0,0,0,1,0,0.973848,0.921371,1
1.98,1,0.917438,11,0,12,12,1,0,0,0,1,0,0.973848,0.917438,1
1.99,1,0.913413,10,0,12,12,1,0,0,0,1,0,0.973848,0.913413,1
2,1,0.909297,10,0,12,12,1,0,0,0,1,0,0.973848,0.909297,1
2.01,1,0.905091,10,0,12,12,1,0,0,0,1,0,0.973848,0.905091,1
2.02,1,0.900793,10,0,12,12,1,0,0,0,1,0,0.973848,0.900793,1
2.03,1,0.896406,10,0,12,12,1,0,0,0,1,0,0.973848,0.896406,1
2.04,1,0.891929,10,0,12,12,1,0,0,0,1,0,0.973848,0.891929,1
2.05,1,0.887362,10,0,12,12,1,0,0,0,1,0,0.973848,0.887362,1
2.06,1,0.882707,10,0,12,12,1,0,0,0,1,0,0.973848,0.882707,1
2.07,1,0.877964,10,0,12,12,1,0,0,0,1,0,0.973848,0.877964,1
2.08,1,0.873133,10,0,12,12,1,0,0,0,1,0,0.973848,0.873133,1
2.09,1,0.868215,10,0,12,12,1,0,0,0,1,0,0.973848,0.868215,1
2.1,1,0.863209,10,0,12,12,1,0,0,0,1,0,0.973848,0.863209,1
2.11,1,0.858118,10,0,12,12,1,0,0,0,1,0,0.863209,0.858118,1
2.12,1,0.85294,10,0,12,12,1,0,0,0,1,0,0.863209,0.85294,1
2.13,1,0.847678,10,0,12,12,1,0,0,0,1,0,0.863209,0.847678,1
2.14,1,0.84233,10,0,12,12,1,0,0,0,1,0,0.863209,0.84233,1
2.15,1,0.836899,10,0,12,12,1,0,0,0,1,0,0.863209,0.836899,1
2.16,1,0.831383,9,0,12,12,1,0,0,0,1,0,0.863209,0.831383,1
2.17,1,0.825785,9,0,12,12,1,0,0,0,1,0,0.863209,0.825785,1
2.18,1,0.820104,9,0,12,12,1,0,0,0,1,0,0.863209,0.820104,1
2.19,1,0.814341,9,0,12,12,1,0,0,0,1,0,0.863209,0.814341,1
2.2,1,0.808496,9,0,12,12,1,0,0,0,1,0,0.863209,0.808496,1
2.21,1,0.802571,9,0,12,12,1,0,0,0,1,0,0.863209,0.802571,1
2.22,1,0.796565,9,0,12,12,1,0,0,0,1,0,0.863209,0.796565,1
2.23,1,0.79048,9,0,12,12,1,0,0,0,1,0,0.863209,0.79048,1
2.24,1,0.784316,9,0,12,12,1,0,0,0,1,0,0.863209,0.784316,1
2.25,1,0.778073,9,0,12,12,1,0,0,0,1,0,0.863209,0.778073,1
2.26,1,0.771753,9,0,12,12,1,0,0,0,1,0,0.863209,0.771753,1
2.27,1,0.765355,9,0,12,12,1,0,0,0,1,0,0.863209,0.765355,1
2.28,1,0.758881,9,0,12,12,1,0,0,0,1,0,0.863209,0.758881,1
2.29,1,0.752331,9,0,12,12,1,0,0,0,1,0,0.863209,0.752331,1
2.3,1,0.745705,8,0,12,12,1,0,0,0,1,0,0.863209,0.745705,1
2.31,1,0.739005,8,0,12,12,1,0,0,0,1,0,0.863209,0.739005,1
2.32,1,0.732231,8,0,12,12,1,0,0,0,1,0,0.863209,0.732231,1
2.33,1,0.725384,8,0,12,12,1,0,0,0,1,0,0.863209,0.725384,1
2.34,1,0.718465,8,0,12,12,1,0,0,0,1,0,0.863209,0.718465,1
2.35,1,0.711473,8,0,12,12,1,0,0,0,1,0,0.863209,0.711473,1
2.36,1,0.704411,8,0,12,12,1,0,0,0,1,0,0.863209,0.704411,1
2.37,1,0.697278,8,0,12,12,1,0,0,0,1,0,0.863209,0.697278,1
2.38,1,0.690075,8,0,12,12,1,0,0,0,1,0,0.863209,0.690075,1
2.39,1,0.682803,8,0,12,12,1,0,0,0,1,0,0.863209,0.682803,1
2.4,1,0.675463,8,0,12,12,1,0,0,0,1,0,0.863209,0.675463,1
2.41,1,0.668056,8,0,12,12,1,0,0,0,1,0,0.675463,0.668056,1
2.42,1,0.660581,7,0,12,12,1,0,0,0,1,0,0.675463,0.660581,1
2.43,1,0.653041,7,0,12,12,1,0,0,0,1,0,0.675463,0.653041,1
2.44,1,0.645435,7,0,12,12,1,0,0,0,1,0,0.675463,0.645435,1
2.45,1,0.637765,7,0,12,12,1,0,0,0,1,0,0.675463,0.637765,1
2.46,1,0.630031,7,0,12,12,1,0,0,0,1,0,0.675463,0.630031,1
2.47,1,0.622234,7,0,12,12,1,0,0,0,1,0,0.675463,0.622234,1
2.48,1,0.614374,7,0,12,12,1,0,0,0,1,0,0.675463,0.614374,1
2.49,1,0.606454,7,0,12,12,1,0,0,0,1,0,0.675463,0.606454,1
2.5,1,0.598472,7,0,12,12,1,0,0,0,1,0,0.675463,0.598472,1
2.51,1,0.590431,7,0,12,12,1,0,0,0,1,0,0.675463,0.590431,1
2.52,1,0.582331,6,0,12,12,1,0,0,0,1,0,0.675463,0.582331,1
2.53,1,0.574172,6,0,12,12,1,0,0,0,1,0,0.675463,0.574172,1
2.54,1,0.565956,6,0,12,12,1,0,0,0,1,0,0.675463,0.565956,1
2.55,1,0.557684,6,0,12,12,1,0,0,0,1,0,0.675463,0.557684,1
2.56,1,0.549355,6,0,12,12,1,0,0,0,1,0,0.675463,0.549355,1
2.57,1,0.540972,6,0,12,12,1,0,0,0,1,0,0.675463,0.540972,1
2.58,1,0.532535,6,0,12,12,1,0,0,0,1,0,0.675463,0.532535,1
2.59,1,0.524044,6,0,12,12,1,0,0,0,1,0,0.675463,0.524044,1
2.6,1,0.515501,6,0,12,12,1,0,0,0,1,0,0.675463,0.515501,1
2.61,1,0.506907,6,0,12,12,1,0,0,0,1,0,0.675463,0.506907,1
2.62,1,0.498262,5,0,12,12,1,0,0,0,1,0,0.675463,0.498262,1
2.63,1,0.489567,5,0,12,12,1,0,0,0,1,0,0.675463,0.489567,1
2.64,1,0.480823,5,0,12,12,1,0,0,0,1,0,0.675463,0.480823,1
2.65,1,0.472031,5,0,12,12,1,0,0,0,1,0,0.675463,0.472031,1
2.66,1,0.463191,5,0,12,12,1,0,0,0,1,0,0.675463,0.463191,1
2.67,1,0.454306,5,0,12,12,1,0,0,0,1,0,0.675463,0.454306,1
2.68,1,0.445375,5,0,12,12,1,0,0,0,1,0,0.675463,0.445375,1
2.69,1,0.436399,5,0,12,12,1,0,0,0,1,0,0.675463,0.436399,1
2.7,1,0.42738,5,0,12,12,1,0,0,0,1,0,0.675463,0.42738,1
2.71,1,0.418318,5,0,12,12,1,0,0,0,1,0,0.42738,0.418318,1
2.72,1,0.409214,4,0,12,12,1,0,0,0,1,0,0.42738,0.409214,1
2.73,1,0.400069,4,0,12,12,1,0,0,0,1,0,0.42738,0.400069,1
2.74,1,0.390885,4,0,12,12,1,0,0,0,1,0,0.42738,0.390885,1
2.75,1,0.381661,4,0,12,12,1,0,0,0,1,0,0.42738,0.381661,1
2.76,1,0.372399,4,0,12,12,1,0,0,0,1,0,0.42738,0.372399,1
2.77,1,0.3631,4,0,12,12,1,0,0,0,1,0,0.42738,0.3631,1
2.78,1,0.353764,4,0,12,12,1,0,0,0,1,0,0.42738,0.353764,1
2.79,1,0.344393,4,0,12,12,1,0,0,0,1,0,0.42738,0.344393,1
2.8,1,0.334988,4,0,12,12,1,0,0,0,1,0,0.42738,0.334988,1
2.81,1,0.325549,3,0,12,12,1,0,0,0,1,0,0.42738,0.325549,1
2.82,1,0.316078,3,0,12,12,1,0,0,0,1,0,0.42738,0.316078,1
2.83,1,0.306575,3,0,12,12,1,0,0,0,1,0,0.42738,0.306575,1
2.84,1,0.297041,3,0,12,12,1,0,0,0,1,0,0.42738,0.297041,1
2.85,1,0.287478,3,0,12,12,1,0,0,0,1,0,0.42738,0.287478,1
2.86,1,0.277886,3,0,12,12,1,0,0,0,1,0,0.42738,0.277886,1
2.87,1,0.268266,3,0,12,12,1,0,0,0,1,0,0.42738,0.268266,1
2.88,1,0.258619,3,0,12,12,1,0,0,0,1,0,0.42738,0.258619,1
2.89,1,0.248947,2,0,12,12,1,0,0,0,1,0,0.42738,0.248947,1
2.9,1,0.239249,2,0,12,12,1,0,0,0,1,0,0.42738,0.239249,1
2.91,1,0.229528,2,0,12,12,1,0,0,0,1,0,0.42738,0.229528,1
2.92,1,0.219784,2,0,12,12,1,0,0,0,1,0,0.42738,0.219784,1
2.93,1,0.210017,2,0,12,12,1,0,0,0,1,0,0.42738,0.210017,1
2.94,1,0.20023,2,0,12,12,1,0,0,0,1,0,0.42738,0.20023,1
2.95,1,0.190423,2,0,12,12,1,0,0,0,1,0,0.42738,0.190423,1
2.96,1,0.180596,2,0,12,12,1,0,0,0,1,0,0.42738,0.180596,1
2.97,1,0.170752,2,0,12,12,1,0,0,0,1,0,0.42738,0.170752,1
2.98,1,0.16089,1,0,12,12,1,0,0,0,1,0,0.42738,0.16089,1
2.99,1,0.151013,1,0,12,12,1,0,0,0,1,0,0.42738,0.151013,1
3,1,0.14112,1,0,12,12,1,0,0,0,1,0,0.42738,0.14112,1
3.01,1,0.131213,1,0,12,12,1,0,0,0,1,0,0.14112,0.131213,1
3.02,1,0.121293,1,0,12,12,1,0,0,0,1,0,0.14112,0.121293,1
3.03,1,0.111361,1,0,12,12,1,0,0,0,1,0,0.14112,0.111361,1
3.04,1,0.101418,1,0,12,12,1,0,0,0,1,0,0.14112,0.101418,1
3.05,1,0.091465,1,0,12,12,1,0,0,0,1,0,0.14112,0.091465,1
3.06,1,0.081502,0,0,12,12,1,0,0,0,1,0,0.14112,0.081502,1
3.07,1,0.071532,0,0,12,12,1,0,0,0,1,0,0.14112,0.071532,1
3.08,1,0.061554,0,0,12,12,1,0,0,0,1,0,0.14112,0.061554,1
3.09,1,0.05157,0,0,12,12,1,0,0,0,1,0,0.14112,0.05157,1
3.1,1,0.041581,0,0,12,12,1,0,0,0,1,0,0.14112,0.041581,1
3.11,1,0.031587,0,0,12,12,1,0,0,0,1,0,0.14112,0.031587,1
3.12,1,0.021591,0,0,12,12,1,0,0,0,1,0,0.14112,0.021591,1
3.13,1,0.011592,0,0,12,12,1,0,0,0,1,0,0.14112,0.011592,1
3.14,1,0.001593,0,0,12,12,1,0,0,0,1,0,0.14112,0.001593,1
3.15,1,-0.008407,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.008407,1
3.16,1,-0.018406,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.018406,1
3.17,1,-0.028404,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.028404,1
3.18,1,-0.038398,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.038398,1
3.19,1,-0.048388,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.048388,1
3.2,1,-0.058374,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.058374,1
3.21,1,-0.068354,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.068354,1
3.22,1,-0.078327,-1,-1,12,12,1,0,0,0,1,0,0.14112,-0.078327,1
