"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0.0008,3.793200445e-005,1e-009,-9.839647897e-009,-1.311010565e-013,2.50928454,9.993626472,49.99999999
0.00081,3.883969559e-005,1e-009,-9.84020662e-009,-1.327410734e-013,2.509508941,9.993778048,49.99999999
0.00082,3.975825511e-005,1e-009,-9.840765343e-009,-1.343811843e-013,2.509737148,9.99392465,49.99999999
0.00083,4.068773653e-005,1e-009,-9.841331051e-009,-1.360213892e-013,2.509969198,9.994066836,49.99999999
0.00084,4.162818e-005,1e-009,-9.841889774e-009,-1.37661688e-013,2.510203706,9.99420514,49.99999999
0.00085,4.257947065e-005,1e-009,-9.842448497e-009,-1.393020798e-013,2.510437034,9.99434007,49.99999999
0.00086,4.354139354e-005,1e-009,-9.84300722e-009,-1.409425631e-013,2.510668244,9.994472104,49.99999999
0.00087,4.451373208e-005,1e-009,-9.843531023e-009,-1.425831354e-013,2.510897165,9.994601681,49.99999999
0.00088,4.549626967e-005,1e-009,-9.844040858e-009,-1.44223794e-013,2.511123643,9.994729198,49.99999999
0.00089,4.648878973e-005,1e-009,-9.844536725e-009,-1.458645351e-013,2.511347527,9.994854999,49.99999999
0.0009,4.749107566e-005,1e-009,-9.844997672e-009,-1.475053545e-013,2.511568675,9.994979379,49.99999999
0.00091,4.850291087e-005,1e-009,-9.845437667e-009,-1.491462471e-013,2.511786939,9.995102576,49.99999999
0.00092,4.952407875e-005,1e-009,-9.845835757e-009,-1.507872076e-013,2.512002179,9.995224781,49.99999999
0.00093,5.055436272e-005,1e-009,-9.846198927e-009,-1.524282295e-013,2.512214261,9.995346129,49.99999999
0.00094,5.159354619e-005,1e-009,-9.846513209e-009,-1.540693063e-013,2.512423048,9.99546671,49.99999999
0.00095,5.264141255e-005,1e-009,-9.84679257e-009,-1.557104308e-013,2.512628412,9.995586568,49.99999999
0.00096,5.369774522e-005,1e-009,-9.847030028e-009,-1.573515954e-013,2.512830223,9.995705708,49.99999999
0.00097,5.47623276e-005,1e-009,-9.847211613e-009,-1.589927922e-013,2.513028467,9.995824101,49.99999999
0.00098,5.583502382e-005,1e-009,-9.84734431e-009,-1.606340131e-013,2.513230711,9.995941705,49.99999999
0.00099,5.691633914e-005,1e-009,-9.847435102e-009,-1.622752495e-013,2.513451966,9.996058474,49.99999999
0.001,5.800708455e-005,1e-009,-9.847463038e-009,-1.639164931e-013,2.513695294,9.996174324,49.99999999
0.00101,5.910807291e-005,1e-009,-9.84744907e-009,-1.655577355e-013,2.513961282,9.996289153,49.99999999
0.00102,6.022011709e-005,1e-009,-9.84737923e-009,-1.671989681e-013,2.514250521,9.996402858,49.99999999
0.00103,6.134402996e-005,1e-009,-9.847260501e-009,-1.688401827e-013,2.514563638,9.996515338,49.99999999
0.00104,6.248062439e-005,1e-009,-9.847099868e-009,-1.704813715e-013,2.514901307,9.996626504,49.99999999
0.00105,6.363071325e-005,1e-009,-9.846890347e-009,-1.721225266e-013,2.515264254,9.996736277,49.99999999
0.00106,6.47951094e-005,1e-009,-9.846638922e-009,-1.737636409e-013,2.515653234,9.9968446,49.99999999
0.00107,6.597462572e-005,1e-009,-9.846345592e-009,-1.754047078e-013,2.51606906,9.996951435,49.99999999
0.00108,6.717007507e-005,1e-009,-9.846017342e-009,-1.77045721e-013,2.516512592,9.997056765,49.99999999
0.00109,6.838227032e-005,1e-009,-9.845654172e-009,-1.78686675e-013,2.516984721,9.997160597,49.99999999
0.0011,6.961202435e-005,1e-009,-9.845263066e-009,-1.80327565e-013,2.517486397,9.997262962,49.99999999
0.00111,7.086015001e-005,1e-009,-9.844851007e-009,-1.819683868e-013,2.518018043,9.997363909,49.99999999
0.00112,7.212727192e-005,1e-009,-9.844417997e-009,-1.836091371e-013,2.518563846,9.997463476,49.99999999
0.00113,7.341296128e-005,1e-009,-9.843978002e-009,-1.852498133e-013,2.519098013,9.997561683,49.99999999
0.00114,7.471642306e-005,1e-009,-9.843517055e-009,-1.868904136e-013,2.519616113,9.99765861,49.99999999
0.00115,7.603686186e-005,1e-009,-9.843056109e-009,-1.88530937e-013,2.520117115,9.997754356,49.99999999
0.00116,7.737348229e-005,1e-009,-9.842588178e-009,-1.901713834e-013,2.52060011,9.997849016,49.99999999
0.00117,7.872548897e-005,1e-009,-9.842134215e-009,-1.918117531e-013,2.521064212,9.997942674,49.99999999
0.00118,8.00920865e-005,1e-009,-9.841687237e-009,-1.934520476e-013,2.521508657,9.998035402,49.99999999
0.00119,8.147247948e-005,1e-009,-9.841254226e-009,-1.950922688e-013,2.521932611,9.998127246,49.99999999
0.0012,8.286587253e-005,1e-009,-9.8408282e-009,-1.967324191e-013,2.522335356,9.998218218,49.99999999
0.00121,8.427147025e-005,1e-009,-9.840423125e-009,-1.983725019e-013,2.522716199,9.998308294,49.99999999
0.00122,8.568847725e-005,1e-009,-9.840045987e-009,-2.000125206e-013,2.523074493,9.998397398,49.99999999
0.00123,8.711609813e-005,1e-009,-9.839682817e-009,-2.016524794e-013,2.523409631,9.998485398,49.99999999
0.00124,8.855353751e-005,1e-009,-9.839354567e-009,-2.032923827e-013,2.523721047,9.998572099,49.99999999
0.00125,9e-005,1e-009,-9.839054253e-009,-2.049322352e-013,2.524008958,9.998657235,49.99999999
0.00126,9.14548443e-005,1e-009,-9.838781876e-009,-2.065720416e-013,2.524285621,9.998740488,49.99999999
0.00127,9.291804552e-005,1e-009,-9.838551402e-009,-2.08211807e-013,2.524566427,9.998821466,49.99999999
