"time","J1.phi","J1.w","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0.96,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.97,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.98,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.99,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.01,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.02,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.03,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.04,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.05,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.06,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.07,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.08,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.09,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.1,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.11,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.12,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.13,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.14,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.15,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.16,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.17,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.18,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.19,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.2,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.21,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.22,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.23,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.24,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.25,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.26,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.27,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.28,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.29,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.3,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.31,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.32,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.33,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.34,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.35,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.36,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.37,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.38,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.39,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.4,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.41,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.42,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.43,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.44,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.45,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.46,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.47,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.48,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.49,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
1.5,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
