"time",	"der(h)",	"der(v)",	"e",	"g",	"h",	"v"
2.08,	-0.223629,	-9.81,	0.7,	9.81,	0.073844,	-0.223629
2.09,	-0.321729,	-9.81,	0.7,	9.81,	0.071607,	-0.321729
2.1,	-0.419829,	-9.81,	0.7,	9.81,	0.06839,	-0.419829
2.11,	-0.517929,	-9.81,	0.7,	9.81,	0.064192,	-0.517929
2.12,	-0.616029,	-9.81,	0.7,	9.81,	0.059013,	-0.616029
2.13,	-0.714129,	-9.81,	0.7,	9.81,	0.052852,	-0.714129
2.14,	-0.812229,	-9.81,	0.7,	9.81,	0.045711,	-0.812229
2.15,	-0.910329,	-9.81,	0.7,	9.81,	0.037589,	-0.910329
2.16,	-1.008429,	-9.81,	0.7,	9.81,	0.028485,	-1.008429
2.17,	-1.106529,	-9.81,	0.7,	9.81,	0.018401,	-1.106529
2.18,	-1.204629,	-9.81,	0.7,	9.81,	0.007336,	-1.204629
2.19,	-1.302729,	-9.81,	0.7,	9.81,	-0.00471,	-1.302729
2.2,	0.81381,	-9.81,	0.7,	9.81,	0.004409,	0.81381
2.21,	0.71571,	-9.81,	0.7,	9.81,	0.012547,	0.71571
2.22,	0.61761,	-9.81,	0.7,	9.81,	0.019704,	0.61761
2.23,	0.51951,	-9.81,	0.7,	9.81,	0.02588,	0.51951
2.24,	0.42141,	-9.81,	0.7,	9.81,	0.031075,	0.42141
2.25,	0.32331,	-9.81,	0.7,	9.81,	0.035289,	0.32331
2.26,	0.22521,	-9.81,	0.7,	9.81,	0.038522,	0.22521
2.27,	0.12711,	-9.81,	0.7,	9.81,	0.040774,	0.12711
2.28,	0.02901,	-9.81,	0.7,	9.81,	0.042046,	0.02901
2.29,	-0.06909,	-9.81,	0.7,	9.81,	0.042336,	-0.06909
2.3,	-0.16719,	-9.81,	0.7,	9.81,	0.041645,	-0.16719
2.31,	-0.26529,	-9.81,	0.7,	9.81,	0.039973,	-0.26529
2.32,	-0.36339,	-9.81,	0.7,	9.81,	0.03732,	-0.36339
2.33,	-0.46149,	-9.81,	0.7,	9.81,	0.033686,	-0.46149
2.34,	-0.55959,	-9.81,	0.7,	9.81,	0.029071,	-0.55959
2.35,	-0.65769,	-9.81,	0.7,	9.81,	0.023475,	-0.65769
2.36,	-0.75579,	-9.81,	0.7,	9.81,	0.016898,	-0.75579
2.37,	-0.85389,	-9.81,	0.7,	9.81,	0.00934,	-0.85389
2.38,	-0.95199,	-9.81,	0.7,	9.81,	0.000802,	-0.95199
2.39,	-1.05009,	-9.81,	0.7,	9.81,	-0.008718,	-1.05009
2.4,	0.636963,	-9.81,	0.7,	9.81,	-0.001368,	0.636963
2.41,	0.538863,	-9.81,	0.7,	9.81,	0.005002,	0.538863
2.42,	0.440763,	-9.81,	0.7,	9.81,	0.010391,	0.440763
2.43,	0.342663,	-9.81,	0.7,	9.81,	0.014798,	0.342663
2.44,	0.244563,	-9.81,	0.7,	9.81,	0.018225,	0.244563
2.45,	0.146463,	-9.81,	0.7,	9.81,	0.02067,	0.146463
2.46,	0.048363,	-9.81,	0.7,	9.81,	0.022135,	0.048363
2.47,	-0.049737,	-9.81,	0.7,	9.81,	0.022619,	-0.049737
2.48,	-0.147837,	-9.81,	0.7,	9.81,	0.022121,	-0.147837
2.49,	-0.245937,	-9.81,	0.7,	9.81,	0.020643,	-0.245937
2.5,	-0.344037,	-9.81,	0.7,	9.81,	0.018184,	-0.344037
2.51,	-0.442137,	-9.81,	0.7,	9.81,	0.014743,	-0.442137
2.52,	-0.540237,	-9.81,	0.7,	9.81,	0.010322,	-0.540237
2.53,	-0.638337,	-9.81,	0.7,	9.81,	0.004919,	-0.638337
2.54,	-0.736437,	-9.81,	0.7,	9.81,	-0.001464,	-0.736437
2.55,	0.417406,	-9.81,	0.7,	9.81,	0.003691,	0.417406
2.56,	0.319306,	-9.81,	0.7,	9.81,	0.007865,	0.319306
2.57,	0.221206,	-9.81,	0.7,	9.81,	0.011058,	0.221206
2.58,	0.123106,	-9.81,	0.7,	9.81,	0.01327,	0.123106
2.59,	0.025006,	-9.81,	0.7,	9.81,	0.014501,	0.025006
2.6,	-0.073094,	-9.81,	0.7,	9.81,	0.014751,	-0.073094
2.61,	-0.171194,	-9.81,	0.7,	9.81,	0.014021,	-0.171194
2.62,	-0.269294,	-9.81,	0.7,	9.81,	0.012309,	-0.269294
2.63,	-0.367394,	-9.81,	0.7,	9.81,	0.009616,	-0.367394
2.64,	-0.465494,	-9.81,	0.7,	9.81,	0.005942,	-0.465494
2.65,	-0.563594,	-9.81,	0.7,	9.81,	0.001287,	-0.563594
2.66,	-0.661694,	-9.81,	0.7,	9.81,	-0.004349,	-0.661694
2.67,	0.365086,	-9.81,	0.7,	9.81,	0.000283,	0.365086
2.68,	0.266986,	-9.81,	0.7,	9.81,	0.003934,	0.266986
2.69,	0.168886,	-9.81,	0.7,	9.81,	0.006603,	0.168886
2.7,	0.070786,	-9.81,	0.7,	9.81,	0.008292,	0.070786
2.71,	-0.027314,	-9.81,	0.7,	9.81,	0.009,	-0.027314
2.72,	-0.125414,	-9.81,	0.7,	9.81,	0.008727,	-0.125414
2.73,	-0.223514,	-9.81,	0.7,	9.81,	0.007473,	-0.223514
2.74,	-0.321614,	-9.81,	0.7,	9.81,	0.005238,	-0.321614
2.75,	-0.419714,	-9.81,	0.7,	9.81,	0.002022,	-0.419714
2.76,	-0.517814,	-9.81,	0.7,	9.81,	-0.002176,	-0.517814
2.77,	0.26437,	-9.81,	0.7,	9.81,	0.001449,	0.26437
2.78,	0.16627,	-9.81,	0.7,	9.81,	0.004093,	0.16627
2.79,	0.06817,	-9.81,	0.7,	9.81,	0.005755,	0.06817
2.8,	-0.02993,	-9.81,	0.7,	9.81,	0.006437,	-0.02993
2.81,	-0.12803,	-9.81,	0.7,	9.81,	0.006138,	-0.12803
2.82,	-0.22613,	-9.81,	0.7,	9.81,	0.004858,	-0.22613
2.83,	-0.32423,	-9.81,	0.7,	9.81,	0.002596,	-0.32423
2.84,	-0.42233,	-9.81,	0.7,	9.81,	-0.000646,	-0.42233
2.85,	0.197531,	-9.81,	0.7,	9.81,	0.00231,	0.197531
2.86,	0.099431,	-9.81,	0.7,	9.81,	0.004286,	0.099431
2.87,	0.001331,	-9.81,	0.7,	9.81,	0.00528,	0.001331
2.88,	-0.096769,	-9.81,	0.7,	9.81,	0.005293,	-0.096769
2.89,	-0.194869,	-9.81,	0.7,	9.81,	0.004326,	-0.194869
2.9,	-0.292969,	-9.81,	0.7,	9.81,	0.002377,	-0.292969
2.91,	-0.391069,	-9.81,	0.7,	9.81,	-0.000553,	-0.391069
2.92,	0.175648,	-9.81,	0.7,	9.81,	0.002185,	0.175648
2.93,	0.077548,	-9.81,	0.7,	9.81,	0.003941,	0.077548
2.94,	-0.020552,	-9.81,	0.7,	9.81,	0.004717,	-0.020552
2.95,	-0.118652,	-9.81,	0.7,	9.81,	0.004511,	-0.118652
2.96,	-0.216752,	-9.81,	0.7,	9.81,	0.003325,	-0.216752
2.97,	-0.314852,	-9.81,	0.7,	9.81,	0.001157,	-0.314852
2.98,	-0.412952,	-9.81,	0.7,	9.81,	-0.001991,	-0.412952
2.99,	0.190966,	-9.81,	0.7,	9.81,	0.000899,	0.190966
3,	0.092866,	-9.81,	0.7,	9.81,	0.002809,	0.092866
3.01,	-0.005234,	-9.81,	0.7,	9.81,	0.003738,	-0.005234
3.02,	-0.103334,	-9.81,	0.7,	9.81,	0.003685,	-0.103334
3.03,	-0.201434,	-9.81,	0.7,	9.81,	0.002652,	-0.201434
3.04,	-0.299534,	-9.81,	0.7,	9.81,	0.000638,	-0.299534
3.05,	-0.397634,	-9.81,	0.7,	9.81,	-0.002358,	-0.397634
3.06,	0.180244,	-9.81,	0.7,	9.81,	0.000426,	0.180244
3.07,	0.082144,	-9.81,	0.7,	9.81,	0.002228,	0.082144
3.08,	-0.015956,	-9.81,	0.7,	9.81,	0.003049,	-0.015956
3.09,	-0.114056,	-9.81,	0.7,	9.81,	0.00289,	-0.114056
3.1,	-0.212156,	-9.81,	0.7,	9.81,	0.001749,	-0.212156
3.11,	-0.310256,	-9.81,	0.7,	9.81,	-0.000372,	-0.310256
3.12,	0.119079,	-9.81,	0.7,	9.81,	0.0018,	0.119079
3.13,	0.020979,	-9.81,	0.7,	9.81,	0.00299,	0.020979
3.14,	-0.077121,	-9.81,	0.7,	9.81,	0.0032,	-0.077121
3.15,	-0.175221,	-9.81,	0.7,	9.81,	0.002429,	-0.175221
3.16,	-0.273321,	-9.81,	0.7,	9.81,	0.000677,	-0.273321
3.17,	-0.371421,	-9.81,	0.7,	9.81,	-0.002056,	-0.371421
3.18,	0.161894,	-9.81,	0.7,	9.81,	0.000543,	0.161894
3.19,	0.063794,	-9.81,	0.7,	9.81,	0.002162,	0.063794
3.2,	-0.034306,	-9.81,	0.7,	9.81,	0.0028,	-0.034306
3.21,	-0.132406,	-9.81,	0.7,	9.81,	0.002457,	-0.132406
3.22,	-0.230506,	-9.81,	0.7,	9.81,	0.001133,	-0.230506
3.23,	-0.328606,	-9.81,	0.7,	9.81,	-0.001172,	-0.328606
3.24,	0.131924,	-9.81,	0.7,	9.81,	0.001128,	0.131924
3.25,	0.033824,	-9.81,	0.7,	9.81,	0.002448,	0.033824
3.26,	-0.064276,	-9.81,	0.7,	9.81,	0.002786,	-0.064276
3.27,	-0.162376,	-9.81,	0.7,	9.81,	0.002143,	-0.162376
3.28,	-0.260476,	-9.81,	0.7,	9.81,	0.000519,	-0.260476
3.29,	-0.358576,	-9.81,	0.7,	9.81,	-0.002085,	-0.358576
3.3,	0.152903,	-9.81,	0.7,	9.81,	0.000425,	0.152903
3.31,	0.054803,	-9.81,	0.7,	9.81,	0.001954,	0.054803
3.32,	-0.043297,	-9.81,	0.7,	9.81,	0.002502,	-0.043297
3.33,	-0.141397,	-9.81,	0.7,	9.81,	0.002069,	-0.141397
3.34,	-0.239497,	-9.81,	0.7,	9.81,	0.000655,	-0.239497
3.35,	-0.337597,	-9.81,	0.7,	9.81,	-0.00174,	-0.337597
3.36,	0.138218,	-9.81,	0.7,	9.81,	0.000623,	0.138218
3.37,	0.040118,	-9.81,	0.7,	9.81,	0.002005,	0.040118
3.38,	-0.057982,	-9.81,	0.7,	9.81,	0.002406,	-0.057982
3.39,	-0.156082,	-9.81,	0.7,	9.81,	0.001827,	-0.156082
3.4,	-0.254182,	-9.81,	0.7,	9.81,	0.000266,	-0.254182
3.41,	-0.352282,	-9.81,	0.7,	9.81,	-0.002276,	-0.352282
3.42,	0.148498,	-9.81,	0.7,	9.81,	0.00019,	0.148498
3.43,	0.050398,	-9.81,	0.7,	9.81,	0.001675,	0.050398
3.44,	-0.047702,	-9.81,	0.7,	9.81,	0.002179,	-0.047702
3.45,	-0.145802,	-9.81,	0.7,	9.81,	0.001702,	-0.145802
3.46,	-0.243902,	-9.81,	0.7,	9.81,	0.000244,	-0.243902
3.47,	-0.342002,	-9.81,	0.7,	9.81,	-0.002195,	-0.342002
3.48,	0.141302,	-9.81,	0.7,	9.81,	0.000199,	0.141302
3.49,	0.043202,	-9.81,	0.7,	9.81,	0.001612,	0.043202
3.5,	-0.054898,	-9.81,	0.7,	9.81,	0.002044,	-0.054898
3.51,	-0.152998,	-9.81,	0.7,	9.81,	0.001495,	-0.152998
3.52,	-0.251098,	-9.81,	0.7,	9.81,	-3.5E-05,	-0.251098
3.53,	0.077669,	-9.81,	0.7,	9.81,	0.001723,	0.077669
