"time","accelPedal","k15","prnd","nAtIn","nAtOut"
1.29,100,1,3,2661.7659,150.98041
1.3,100,1,3,2498.6864,160.50766
1.31,100,1,3,2326.7535,172.24247
1.32,100,1,3,2152.1244,184.47715
1.33,100,1,3,1979.6647,196.165
1.34,100,1,3,1811.3996,207.29272
1.35,100,1,3,1648.3472,218.26974
1.36,100,1,3,1491.2181,229.33929
1.37,100,1,3,1339.6342,240.44552
1.38,100,1,3,1190.0584,252.0154
1.39,100,1,3,1046.1397,250.82282
1.4,100,1,3,982.6156,235.59226
1.41,100,1,3,1004.1587,240.75745
1.42,100,1,3,1075.4014,257.83862
1.43,100,1,3,1161.0428,278.37203
1.44,100,1,3,1237.0037,296.58444
1.45,100,1,3,1293.7951,310.20076
1.46,100,1,3,1332.4421,319.46677
1.47,100,1,3,1358.815,325.78996
1.48,100,1,3,1380.4242,330.97099
1.49,100,1,3,1402.754,336.32479
1.5,100,1,3,1428.063,342.39288
1.51,100,1,3,1456.3704,349.17987
1.52,100,1,3,1486.5419,356.41381
1.53,100,1,3,1517.392,363.81043
1.54,100,1,3,1547.9777,371.14366
1.55,100,1,3,1577.842,378.30394
1.56,100,1,3,1606.7988,385.24665
1.57,100,1,3,1635.0787,392.02705
1.58,100,1,3,1662.8863,398.69421
1.59,100,1,3,1690.4178,405.29516
1.6,100,1,3,1717.788,411.85745
1.61,100,1,3,1745.0507,418.39396
1.62,100,1,3,1772.2098,424.90564
1.63,100,1,3,1799.2385,431.38604
1.64,100,1,3,1826.1013,437.82668
1.65,100,1,3,1852.7703,444.22086
1.66,100,1,3,1879.2322,450.56536
1.67,100,1,3,1905.4857,456.85992
1.68,100,1,3,1931.5406,463.10685
1.69,100,1,3,1957.4101,469.30932
1.7,100,1,3,1983.1037,475.46964
1.71,100,1,3,2008.6264,481.58897
1.72,100,1,3,2033.9791,487.66755
1.73,100,1,3,2059.1615,493.70527
1.74,100,1,3,2084.1735,499.70218
1.75,100,1,3,2109.0168,505.65861
1.76,100,1,3,2133.6933,511.57506
1.77,100,1,3,2158.2052,517.45204
1.78,100,1,3,2182.5547,523.29007
1.79,100,1,3,2206.7436,529.08962
1.8,100,1,3,2230.7741,534.85117
1.81,100,1,3,2254.6478,540.57514
1.82,100,1,3,2278.3665,546.26195
1.83,100,1,3,2301.9319,551.91199
1.84,100,1,3,2324.5183,557.32732
1.85,100,1,3,2346.0449,562.48855
1.86,100,1,3,2368.1236,567.78215
1.87,100,1,3,2391.9127,573.48582
1.88,100,1,3,2417.0902,579.52238
1.89,100,1,3,2442.2843,585.56294
1.9,100,1,3,2466.8402,591.45048
1.91,100,1,3,2490.3037,597.07609
1.92,100,1,3,2512.6232,602.42742
1.93,100,1,3,2534.0909,607.57451
1.94,100,1,3,2555.2281,612.64238
1.95,100,1,3,2576.4517,617.73095
1.96,100,1,3,2597.9176,622.87762
1.97,100,1,3,2619.6838,628.09631
1.98,100,1,3,2641.7158,633.37871
1.99,100,1,3,2663.9182,638.70196
2,100,1,3,2686.193,644.04257
2.01,100,1,3,2708.4157,649.37069
2.02,100,1,3,2730.4851,654.66206
2.03,100,1,3,2752.3474,659.90376
2.04,100,1,3,2773.9961,665.09427
2.05,100,1,3,2795.456,670.2395
2.06,100,1,3,2816.7896,675.35445
2.07,100,1,3,2838.0224,680.44525
2.08,100,1,3,2859.1931,685.52113
2.09,100,1,3,2880.3141,690.58511
2.1,100,1,3,2901.3873,695.63762
2.11,100,1,3,2922.4065,700.67719
2.12,100,1,3,2943.3602,705.70107
2.13,100,1,3,2964.2395,710.70709
2.14,100,1,3,2985.0337,715.69271
2.15,100,1,3,3005.7379,720.65676
2.16,100,1,3,3026.351,725.59896
2.17,100,1,3,3046.874,730.51956
2.18,100,1,3,3067.3097,735.41925
2.19,100,1,3,3087.6617,740.29884
2.2,100,1,3,3107.9331,745.15911
2.21,100,1,3,3128.1258,750.00054
2.22,100,1,3,3148.241,754.82335
2.23,100,1,3,3168.2786,759.62759
2.24,100,1,3,3188.2384,764.41315
2.25,100,1,3,3208.1196,769.17987
2.26,100,1,3,3227.9216,773.9276
2.27,100,1,3,3247.644,778.65625
2.28,100,1,3,3267.2867,783.36579
2.29,100,1,3,3286.8499,788.05628
2.3,100,1,3,3306.334,792.72779
2.31,100,1,3,3325.7394,797.38043
2.32,100,1,3,3345.0665,802.01431
2.33,100,1,3,3364.3159,806.62955
2.34,100,1,3,3383.4877,811.2262
2.35,100,1,3,3402.5824,815.80434
2.36,100,1,3,3421.6251,820.37004
2.37,100,1,3,3440.6532,824.93222
2.38,100,1,3,3459.6029,829.47561
2.39,100,1,3,3478.4393,833.99182
2.4,100,1,3,3497.161,838.48054
2.41,100,1,3,3515.7822,842.94515
2.42,100,1,3,3534.3197,847.38972
2.43,100,1,3,3552.7872,851.81749
2.44,100,1,3,3571.1929,856.23045
2.45,100,1,3,3589.54,860.62936
2.46,100,1,3,3607.8281,865.01413
2.47,100,1,3,3601.7491,863.55661
2.48,100,1,3,3589.7745,860.68559
2.49,100,1,3,3578.9405,858.08803
2.5,100,1,3,3573.0748,856.68166
2.51,100,1,3,3572.942,856.64983
2.52,100,1,3,3578.3629,857.94954
2.53,100,1,3,3584.5457,859.43194
2.54,100,1,3,3589.7606,860.68226
2.55,100,1,3,3591.9319,861.20284
2.56,100,1,3,3589.6056,860.64509
2.57,100,1,3,3582.4699,858.93422
2.58,100,1,3,3571.5999,856.32804
2.59,100,1,3,3556.9751,852.82158
2.6,100,1,3,3540.0102,848.75409
2.61,100,1,3,3489.7449,861.02618
2.62,100,1,3,3361.8917,876.28394
2.63,100,1,3,3166.5763,881.19337
2.64,100,1,3,2923.7218,882.88756
2.65,100,1,3,2645.7416,882.35906
2.66,100,1,3,2311.9769,881.29346
2.67,100,1,3,1976.1295,844.59556
2.68,100,1,3,1925.8178,823.09239
2.69,100,1,3,1974.7302,843.99748
2.7,100,1,3,2012.6038,860.18463
2.71,100,1,3,2027.2318,866.43661
2.72,100,1,3,2029.8859,867.57096
2.73,100,1,3,2029.2392,867.29458
2.74,100,1,3,2029.3955,867.36137
2.75,100,1,3,2031.0512,868.06901
2.76,100,1,3,2032.0785,868.50806
2.77,100,1,3,2033.9946,869.32701
2.78,100,1,3,2036.1024,870.22789
2.79,100,1,3,2038.5728,871.28374
2.8,100,1,3,2041.1397,872.38081
2.81,100,1,3,2044.2202,873.69743
2.82,100,1,3,2047.2424,874.9891
2.83,100,1,3,2050.9951,876.59303
2.84,100,1,3,2054.7866,878.21349
2.85,100,1,3,2059.2615,880.12607
2.86,100,1,3,2063.919,882.11666
2.87,100,1,3,2068.6905,884.156
2.88,100,1,3,2074.4292,886.60873
2.89,100,1,3,2079.9019,888.94774
2.9,100,1,3,2085.7157,891.43257
2.91,100,1,3,2092.0473,894.13869
2.92,100,1,3,2099.0633,897.13732
2.93,100,1,3,2105.8538,900.03954
2.94,100,1,3,2113.281,903.21396
2.95,100,1,3,2120.931,906.48353
2.96,100,1,3,2128.7396,909.82094
2.97,100,1,3,2130.8934,910.74146
2.98,100,1,3,2135.5859,912.74704
2.99,100,1,3,2142.5366,915.71776
3,100,1,3,2150.4413,919.09621
3.01,100,1,3,2158.5796,922.5745
3.02,100,1,3,2166.6942,926.04266
3.03,100,1,3,2174.724,929.47461
3.04,100,1,3,2182.6885,932.87862
3.05,100,1,3,2190.6163,936.26697
3.06,100,1,3,2198.5163,939.64341
3.07,100,1,3,2206.3946,943.01057
3.08,100,1,3,2214.254,946.36968
3.09,100,1,3,2222.0947,949.72081
3.1,100,1,3,2229.9185,953.06466
3.11,100,1,3,2237.7245,956.40097
3.12,100,1,3,2245.5171,959.73151
3.13,100,1,3,2253.2926,963.05474
3.14,100,1,3,2261.0508,966.37058
3.15,100,1,3,2268.7918,969.67908
3.16,100,1,3,2276.5158,972.9803
3.17,100,1,3,2284.2228,976.27427
3.18,100,1,3,2291.913,979.56105
3.19,100,1,3,2299.5864,982.84065
3.2,100,1,3,2307.2431,986.11311
3.21,100,1,3,2314.8831,989.37846
3.22,100,1,3,2322.5066,992.63672
3.23,100,1,3,2329.8375,995.76996
3.24,100,1,3,2337.2735,998.94807
3.25,100,1,3,2345.0397,1002.2673
3.26,100,1,3,2352.7797,1005.5754
3.27,100,1,3,2360.6132,1008.9234
3.28,100,1,3,2368.4118,1012.2566
3.29,100,1,3,2375.9891,1015.4951
3.3,100,1,3,2383.5622,1018.7318
3.31,100,1,3,2391.0102,1021.9151
3.32,100,1,3,2398.4539,1025.0965
3.33,100,1,3,2405.959,1028.3042
3.34,100,1,3,2413.4988,1031.5267
3.35,100,1,3,2421.0489,1034.7536
3.36,100,1,3,2428.6004,1037.9811
3.37,100,1,3,2436.1471,1041.2065
3.38,100,1,3,2443.6642,1044.4193
3.39,100,1,3,2451.1262,1047.6086
3.4,100,1,3,2458.5467,1050.7801
3.41,100,1,3,2465.9585,1053.9479
3.42,100,1,3,2473.3985,1057.1278
3.43,100,1,3,2480.8842,1060.3271
3.44,100,1,3,2488.3962,1063.5377
3.45,100,1,3,2495.8974,1066.7438
3.46,100,1,3,2503.3677,1069.9366
3.47,100,1,3,2510.8128,1073.1186
3.48,100,1,3,2518.253,1076.2985
3.49,100,1,3,2525.6867,1079.4757
3.5,100,1,3,2533.1124,1082.6494
3.51,100,1,3,2540.5292,1085.8194
3.52,100,1,3,2547.9366,1088.9853
3.53,100,1,3,2555.3342,1092.147
3.54,100,1,3,2562.7219,1095.3045
3.55,100,1,3,2570.1,1098.4579
3.56,100,1,3,2577.4684,1101.6071
3.57,100,1,3,2584.8272,1104.7522
3.58,100,1,3,2592.1764,1107.8933
3.59,100,1,3,2599.5161,1111.0303
3.6,100,1,3,2606.8463,1114.1632
3.61,100,1,3,2614.1669,1117.292
3.62,100,1,3,2621.4779,1120.4167
3.63,100,1,3,2628.7794,1123.5374
3.64,100,1,3,2636.0714,1126.654
3.65,100,1,3,2643.3538,1129.7664
3.66,100,1,3,2650.6266,1132.8749
3.67,100,1,3,2657.89,1135.9792
3.68,100,1,3,2665.1438,1139.0795
3.69,100,1,3,2672.3881,1142.1757
3.7,100,1,3,2679.6228,1145.2678
3.71,100,1,3,2686.8481,1148.3559
3.72,100,1,3,2694.0639,1151.4399
3.73,100,1,3,2701.2701,1154.5198
3.74,100,1,3,2708.4669,1157.5957
3.75,100,1,3,2715.6541,1160.6675
3.76,100,1,3,2722.8319,1163.7353
3.77,100,1,3,2730.0002,1166.799
3.78,100,1,3,2737.1591,1169.8587
3.79,100,1,3,2744.3084,1172.9144
3.8,100,1,3,2751.4483,1175.9659
3.81,100,1,3,2758.5788,1179.0135
3.82,100,1,3,2765.6998,1182.057
3.83,100,1,3,2772.8114,1185.0965
3.84,100,1,3,2779.9135,1188.1319
3.85,100,1,3,2787.0062,1191.1633
3.86,100,1,3,2794.0894,1194.1907
3.87,100,1,3,2801.1633,1197.214
3.88,100,1,3,2808.2277,1200.2334
3.89,100,1,3,2815.2827,1203.2487
3.9,100,1,3,2822.3283,1206.26
3.91,100,1,3,2829.3645,1209.2672
3.92,100,1,3,2836.3913,1212.2705
3.93,100,1,3,2843.4088,1215.2697
3.94,100,1,3,2850.4168,1218.265
3.95,100,1,3,2857.4155,1221.2562
3.96,100,1,3,2864.4048,1224.2434
3.97,100,1,3,2871.3848,1227.2267
3.98,100,1,3,2878.3554,1230.2059
3.99,100,1,3,2885.3167,1233.1811
4,100,1,3,2892.2686,1236.1524
4.01,100,1,3,2899.2111,1239.1196
4.02,100,1,3,2906.1444,1242.0829
4.03,100,1,3,2913.0683,1245.0421
4.04,100,1,3,2919.9829,1247.9974
4.05,100,1,3,2926.8882,1250.9488
4.06,100,1,3,2933.7842,1253.8961
4.07,100,1,3,2940.6709,1256.8395
4.08,100,1,3,2947.5483,1259.7789
4.09,100,1,3,2954.4165,1262.7143
4.1,100,1,3,2961.2753,1265.6458
4.11,100,1,3,2968.1249,1268.5733
4.12,100,1,3,2974.9652,1271.4968
4.13,100,1,3,2981.7963,1274.4164
4.14,100,1,3,2988.6181,1277.332
4.15,100,1,3,2995.4307,1280.2437
4.16,100,1,3,3002.234,1283.1515
4.17,100,1,3,3009.0281,1286.0552
4.18,100,1,3,3015.813,1288.9551
4.19,100,1,3,3022.5886,1291.851
4.2,100,1,3,3029.3551,1294.743
4.21,100,1,3,3036.1124,1297.631
4.22,100,1,3,3042.8604,1300.5151
4.23,100,1,3,3049.5993,1303.3953
4.24,100,1,3,3056.329,1306.2716
4.25,100,1,3,3063.0495,1309.1439
4.26,100,1,3,3069.7609,1312.0124
4.27,100,1,3,3076.4631,1314.8769
4.28,100,1,3,3083.1561,1317.7375
4.29,100,1,3,3089.84,1320.5942
4.3,100,1,3,3096.5148,1323.4469
4.31,100,1,3,3103.1804,1326.2958
4.32,100,1,3,3109.8369,1329.1408
4.33,100,1,3,3116.4843,1331.9819
4.34,100,1,3,3123.1226,1334.8191
4.35,100,1,3,3129.7518,1337.6524
4.36,100,1,3,3136.3719,1340.4818
4.37,100,1,3,3142.9829,1343.3074
4.38,100,1,3,3149.5848,1346.129
4.39,100,1,3,3156.1776,1348.9468
4.4,100,1,3,3162.7614,1351.7607
4.41,100,1,3,3169.3362,1354.5707
4.42,100,1,3,3175.9019,1357.3769
4.43,100,1,3,3182.4585,1360.1792
4.44,100,1,3,3189.0061,1362.9776
4.45,100,1,3,3195.5447,1365.7722
4.46,100,1,3,3202.0743,1368.563
4.47,100,1,3,3208.5948,1371.3498
4.48,100,1,3,3215.1064,1374.1329
4.49,100,1,3,3221.6089,1376.9121
4.5,100,1,3,3228.1025,1379.6874
4.51,100,1,3,3234.5871,1382.4589
4.52,100,1,3,3241.0627,1385.2266
4.53,100,1,3,3247.5294,1387.9904
4.54,100,1,3,3253.9871,1390.7504
4.55,100,1,3,3260.4358,1393.5066
4.56,100,1,3,3266.8756,1396.259
4.57,100,1,3,3273.3065,1399.0075
4.58,100,1,3,3279.7284,1401.7523
4.59,100,1,3,3286.1415,1404.4932
4.6,100,1,3,3292.5456,1407.2303
4.61,100,1,3,3298.9408,1409.9636
4.62,100,1,3,3305.3271,1412.6931
4.63,100,1,3,3311.7046,1415.4188
4.64,100,1,3,3318.0731,1418.1407
4.65,100,1,3,3324.4328,1420.8589
4.66,100,1,3,3330.7837,1423.5732
4.67,100,1,3,3337.1256,1426.2838
4.68,100,1,3,3343.4588,1428.9905
4.69,100,1,3,3349.7831,1431.6935
4.7,100,1,3,3356.0985,1434.3928
4.71,100,1,3,3362.4052,1437.0882
4.72,100,1,3,3368.703,1439.7799
4.73,100,1,3,3374.992,1442.4678
4.74,100,1,3,3381.2722,1445.152
4.75,100,1,3,3387.5437,1447.8324
4.76,100,1,3,3393.8063,1450.509
4.77,100,1,3,3400.0602,1453.1819
4.78,100,1,3,3406.3053,1455.8511
4.79,100,1,3,3412.5417,1458.5165
4.8,100,1,3,3418.7693,1461.1782
4.81,100,1,3,3424.9882,1463.8361
4.82,100,1,3,3431.1983,1466.4903
4.83,100,1,3,3437.3997,1469.1408
4.84,100,1,3,3443.5924,1471.7876
4.85,100,1,3,3449.7785,1474.4315
4.86,100,1,3,3455.9708,1477.0781
4.87,100,1,3,3462.1528,1479.7203
4.88,100,1,3,3468.3103,1482.3519
4.89,100,1,3,3474.4488,1484.9755
4.9,100,1,3,3480.5807,1487.5963
4.91,100,1,3,3486.7114,1490.2166
4.92,100,1,3,3492.8391,1492.8355
4.93,100,1,3,3498.9604,1495.4518
4.94,100,1,3,3505.0725,1498.0641
4.95,100,1,3,3511.1744,1500.672
4.96,100,1,3,3517.2665,1503.2758
4.97,100,1,3,3523.3496,1505.8757
4.98,100,1,3,3529.4247,1508.4722
4.99,100,1,3,3535.4918,1511.0653
5,100,1,3,3541.551,1513.655
5.01,100,1,3,3547.602,1516.2411
5.02,100,1,3,3553.6444,1518.8237
5.03,100,1,3,3559.6784,1521.4026
5.04,100,1,3,3565.7038,1523.9778
5.05,100,1,3,3571.7208,1526.5495
5.06,100,1,3,3577.7295,1529.1176
5.07,100,1,3,3583.7299,1531.6822
5.08,100,1,3,3589.7221,1534.2432
5.09,100,1,3,3595.7059,1536.8007
5.1,100,1,3,3601.6813,1539.3546
5.11,100,1,3,3607.6485,1541.9049
5.12,100,1,3,3613.6073,1544.4517
5.13,100,1,3,3619.5578,1546.995
5.14,100,1,3,3625.5001,1549.5347
5.15,100,1,3,3631.4341,1552.0709
5.16,100,1,3,3637.3598,1554.6035
5.17,100,1,3,3643.2772,1557.1326
5.18,100,1,3,3649.1778,1559.6545
5.19,100,1,3,3655.0358,1562.1582
5.2,100,1,3,3660.8501,1564.6432
5.21,100,1,3,3666.6504,1567.1223
5.22,100,1,3,3672.4638,1569.6069
5.23,100,1,3,3678.2986,1572.1007
5.24,100,1,3,3684.1398,1574.5972
5.25,100,1,3,3689.9694,1577.0888
5.26,100,1,3,3695.7762,1579.5706
5.27,100,1,3,3701.5587,1582.0421
5.28,100,1,3,3707.3219,1584.5052
5.29,100,1,3,3713.0706,1586.9622
5.3,100,1,3,3718.8072,1589.414
5.31,100,1,3,3724.5315,1591.8606
5.32,100,1,3,3730.2423,1594.3014
5.33,100,1,3,3735.9383,1596.7359
5.34,100,1,3,3741.6191,1599.1638
5.35,100,1,3,3747.2846,1601.5852
5.36,100,1,3,3752.9353,1604.0004
5.37,100,1,3,3758.5716,1606.4093
5.38,100,1,3,3764.1937,1608.8122
5.39,100,1,3,3769.8016,1611.209
5.4,100,1,3,3775.3952,1613.5997
5.41,100,1,3,3780.9744,1615.9842
5.42,100,1,3,3786.5393,1618.3627
5.43,100,1,3,3792.0898,1620.7349
5.44,100,1,3,3797.626,1623.1011
5.45,100,1,3,3803.148,1625.4612
5.46,100,1,3,3808.6558,1627.8152
5.47,100,1,3,3814.1494,1630.1632
5.48,100,1,3,3819.6289,1632.5051
5.49,100,1,3,3825.0944,1634.8411
5.5,100,1,3,3830.5457,1637.1709
5.51,100,1,3,3835.983,1639.4948
5.52,100,1,3,3841.4062,1641.8127
5.53,100,1,3,3846.8155,1644.1246
5.54,100,1,3,3852.2108,1646.4306
5.55,100,1,3,3857.5922,1648.7306
5.56,100,1,3,3862.9597,1651.0247
5.57,100,1,3,3868.3134,1653.3128
5.58,100,1,3,3873.6532,1655.595
5.59,100,1,3,3878.9792,1657.8714
5.6,100,1,3,3884.2914,1660.1418
5.61,100,1,3,3889.5898,1662.4063
5.62,100,1,3,3894.8746,1664.665
5.63,100,1,3,3900.1457,1666.9179
5.64,100,1,3,3905.4031,1669.1649
5.65,100,1,3,3910.6469,1671.4061
5.66,100,1,3,3915.877,1673.6415
5.67,100,1,3,3921.0937,1675.8711
5.68,100,1,3,3926.2968,1678.0948
5.69,100,1,3,3931.4863,1680.3129
5.7,100,1,3,3936.6624,1682.5251
5.71,100,1,3,3941.8251,1684.7316
5.72,100,1,3,3946.9743,1686.9324
5.73,100,1,3,3952.1102,1689.1275
5.74,100,1,3,3957.2327,1691.3168
5.75,100,1,3,3962.3418,1693.5005
5.76,100,1,3,3967.4377,1695.6784
5.77,100,1,3,3972.5203,1697.8507
5.78,100,1,3,3977.5896,1700.0174
5.79,100,1,3,3982.6458,1702.1784
5.8,100,1,3,3987.6887,1704.3337
5.81,100,1,3,3992.7185,1706.4834
5.82,100,1,3,3997.7352,1708.6276
5.83,100,1,3,4002.7388,1710.7661
5.84,100,1,3,4007.7293,1712.899
5.85,100,1,3,2532.6802,1665.0027
5.86,100,1,3,2517.4682,1655.0023
5.87,100,1,3,2577.7947,1694.6613
5.88,100,1,3,2606.5014,1713.5333
5.89,100,1,3,2626.5429,1726.7087
5.9,100,1,3,2638.7886,1734.7592
5.91,100,1,3,2645.2021,1738.9755
5.92,100,1,3,2649.0359,1741.4959
5.93,100,1,3,2652.0501,1743.4774
5.94,100,1,3,2654.9375,1745.3756
5.95,100,1,3,2657.885,1747.3133
5.96,100,1,3,2660.8581,1749.2678
5.97,100,1,3,2663.8469,1751.2327
5.98,100,1,3,2666.8429,1753.2023
5.99,100,1,3,2669.8401,1755.1726
6,100,1,3,2672.8356,1757.1419
6.01,100,1,3,2675.8283,1759.1094
6.02,100,1,3,2678.8184,1761.075
6.03,100,1,3,2681.8061,1763.0392
6.04,100,1,3,2684.7918,1765.002
6.05,100,1,3,2687.7756,1766.9636
6.06,100,1,3,2690.7576,1768.924
6.07,100,1,3,2693.7379,1770.8832
6.08,100,1,3,2696.7163,1772.8413
6.09,100,1,3,2699.6929,1774.7981
6.1,100,1,3,2702.6676,1776.7537
6.11,100,1,3,2705.6405,1778.7081
6.12,100,1,3,2708.6116,1780.6613
6.13,100,1,3,2711.5808,1782.6133
6.14,100,1,3,2714.5481,1784.5641
6.15,100,1,3,2717.5137,1786.5136
6.16,100,1,3,2720.4774,1788.462
6.17,100,1,3,2723.4392,1790.4091
6.18,100,1,3,2726.3993,1792.3551
6.19,100,1,3,2729.3574,1794.2998
6.2,100,1,3,2732.3138,1796.2433
6.21,100,1,3,2735.2683,1798.1856
6.22,100,1,3,2738.221,1800.1268
6.23,100,1,3,2741.1718,1802.0667
6.24,100,1,3,2744.1208,1804.0054
6.25,100,1,3,2747.068,1805.9428
6.26,100,1,3,2750.0133,1807.8791
6.27,100,1,3,2752.9568,1809.8142
6.28,100,1,3,2755.8985,1811.7481
6.29,100,1,3,2758.8383,1813.6808
6.3,100,1,3,2761.7763,1815.6122
6.31,100,1,3,2764.7125,1817.5425
6.32,100,1,3,2767.6469,1819.4715
6.33,100,1,3,2770.5794,1821.3994
6.34,100,1,3,2773.51,1823.3261
6.35,100,1,3,2776.4389,1825.2515
6.36,100,1,3,2779.3659,1827.1757
6.37,100,1,3,2782.2911,1829.0988
6.38,100,1,3,2785.2145,1831.0206
6.39,100,1,3,2788.136,1832.9413
6.4,100,1,3,2791.0557,1834.8607
6.41,100,1,3,2793.9736,1836.7789
