time,Capacitor1.v,IdealDiode3.off
0.000259,278.521031982,0.0
0.00026,278.504388855,0.0
0.000261,278.487746506,0.0
0.000263,278.454464159,0.0
0.000265,278.421184983,0.0
0.000266,278.404546597,0.0
0.000267,278.387909018,0.0
0.000268,278.371272253,0.0
0.000269,278.354636306,0.0
0.00027,278.338001182,0.0
0.000271,278.321366887,0.0
0.000272,278.304733425,0.0
0.000274,278.271469021,0.0
0.000276,278.238208011,0.0
0.000277,278.221578791,0.0
0.000278,278.204950434,0.0
0.000279,278.188322945,0.0
0.00028,278.171696329,0.0
0.000281,278.155070592,0.0
0.000283,278.12182177,0.0
0.000285,278.088576518,0.0
0.000286,278.071955243,0.0
0.000287,278.055334875,0.0
0.000288,278.038715419,0.0
0.000289,278.02209688,0.0
0.00029,278.005479261,0.0
0.000292,277.972246808,0.0
0.000294,277.939018096,0.0
0.000296,277.905793163,0.0
0.000297,277.889182125,0.0
0.000298,277.872572046,0.0
0.000299,277.855962931,0.0
0.0003,277.839354783,0.0
0.000301,277.822747608,0.0
0.000303,277.789536194,0.0
0.000305,277.756328723,0.0
0.000306,277.739726479,0.0
0.000307,277.723125234,0.0
0.000308,277.706524993,0.0
0.000309,277.68992576,0.0
0.00031,277.67332754,0.0
0.000312,277.640134157,0.0
0.000314,277.606944879,0.0
0.000316,277.573759739,0.0
0.000317,277.557168732,0.0
0.000318,277.540578773,0.0
0.000319,277.523989867,0.0
0.000321,277.490815226,0.0
0.000323,277.457644844,0.0
0.000325,277.424478756,0.0
0.000326,277.407897332,0.0
0.000327,277.391316993,0.0
0.000328,277.374737745,0.0
0.000329,277.35815959,0.0
0.00033,277.341582534,0.0
0.000332,277.308431732,0.0
0.000334,277.275285371,0.0
0.000335,277.258713866,0.0
0.000336,277.242143483,0.0
0.000337,277.225574227,0.0
0.000338,277.209006101,0.0
0.000339,277.19243911,0.0
