"time","temperatureSensor.T"
0.894883,25.841072
0.900000,25.838084
0.904883,25.835234
0.910000,25.832249
0.914883,25.829402
0.920000,25.826420
0.924883,25.823575
0.930000,25.820596
0.934883,25.817755
0.940000,25.814778
0.944883,25.811940
0.950000,25.808966
0.954883,25.806131
0.960000,25.803160
0.964883,25.800328
0.970000,25.797360
0.974883,25.794530
0.980000,25.791566
0.984883,25.788738
0.990000,25.785777
0.994883,25.782953
1.000000,25.779994
1.004883,25.777173
1.010000,25.774217
1.014883,25.771398
1.020000,25.768446
1.024883,25.765630
1.030000,25.762680
1.034883,25.759867
1.040000,25.756920
1.044883,25.754110
1.050000,25.751166
1.054883,25.748359
1.060000,25.745418
1.064883,25.742613
1.070000,25.739675
1.074883,25.736874
1.080000,25.733939
1.084883,25.731140
1.090000,25.728208
1.094883,25.725411
1.100000,25.722482
1.104883,25.719689
1.110000,25.716763
1.114883,25.713972
1.120000,25.711049
1.124883,25.708261
1.130000,25.705340
1.134883,25.702555
1.140000,25.699638
1.144883,25.696856
1.150000,25.693941
1.154883,25.691162
1.160000,25.688250
1.164883,25.685473
1.170000,25.682565
1.174883,25.679791
1.180000,25.676885
1.184883,25.674114
1.190000,25.671211
1.194883,25.668442
1.200000,25.665543
1.204883,25.662777
1.210000,25.659880
1.214883,25.657117
1.220000,25.654223
1.224883,25.651463
1.230000,25.648571
1.234883,25.645814
1.240000,25.642926
1.244883,25.640171
1.250000,25.637286
1.254883,25.634534
1.260000,25.631651
1.264883,25.628902
1.270000,25.626022
1.274883,25.623276
1.280000,25.620399
1.284883,25.617655
1.290000,25.614781
1.294883,25.612041
1.300000,25.609169
1.304883,25.606431
1.310000,25.603563
1.314883,25.600828
1.320000,25.597962
1.324883,25.595230
1.330000,25.592367
1.334883,25.589637
1.340000,25.586778
1.344883,25.584050
1.350000,25.581194
1.354883,25.578469
1.360000,25.575615
1.364883,25.572893
1.370000,25.570042
1.374883,25.567323
1.380000,25.564475
1.384883,25.561759
1.390000,25.558913
1.394883,25.556200
1.400000,25.553357
1.404883,25.550646
1.410000,25.547807
1.414883,25.545099
1.420000,25.542262
1.424883,25.539556
1.430000,25.536722
1.434883,25.534019
1.440000,25.531188
1.444883,25.528488
1.450000,25.525660
1.454883,25.522962
1.460000,25.520137
1.464883,25.517442
1.470000,25.514620
1.474883,25.511928
1.480000,25.509108
1.484883,25.506418
1.490000,25.503601
1.494883,25.500915
1.500000,25.498100
1.504883,25.495417
1.510000,25.492605
1.514883,25.489924
1.520000,25.487115
1.524883,25.484437
1.530000,25.481631
1.534883,25.478955
1.540000,25.476152
1.544883,25.473479
1.550000,25.470679
1.554883,25.468008
1.560000,25.465211
1.564883,25.462543
1.570000,25.459748
1.574883,25.457083
1.580000,25.454291
1.584883,25.451629
1.590000,25.448840
1.594883,25.446180
1.600000,25.443393
1.604883,25.440736
1.610000,25.437953
1.614883,25.435298
1.620000,25.432518
1.624883,25.429866
1.630000,25.427088
1.634883,25.424438
1.640000,25.421663
1.644883,25.419017
1.650000,25.416244
1.654883,25.413600
1.660000,25.410831
1.664883,25.408190
1.670000,25.405423
1.674883,25.402784
1.680000,25.400020
1.684883,25.397384
1.690000,25.394623
1.694883,25.391989
1.700000,25.389231
1.704883,25.386600
1.710000,25.383844
1.714883,25.381216
1.720000,25.378463
1.724883,25.375838
1.730000,25.373087
1.734883,25.370464
1.740000,25.367717
1.744883,25.365097
1.750000,25.362352
1.754883,25.359734
1.760000,25.356992
1.764883,25.354377
1.770000,25.351638
1.774883,25.349025
1.780000,25.346289
1.784883,25.343679
1.790000,25.340945
1.794883,25.338338
1.800000,25.335607
1.804883,25.333002
1.810000,25.330274
1.814883,25.327672
1.820000,25.324947
1.824883,25.322347
1.830000,25.319624
1.834883,25.317027
1.840000,25.314307
1.844883,25.311713
1.850000,25.308996
1.854883,25.306404
1.860000,25.303689
1.864883,25.301100
1.870000,25.298388
1.874883,25.295802
1.880000,25.293093
1.884883,25.290509
1.890000,25.287802
1.894883,25.285221
1.900000,25.282517
1.904883,25.279938
1.910000,25.277237
1.914883,25.274661
1.920000,25.271962
1.924883,25.269389
1.930000,25.266693
1.934883,25.264122
1.940000,25.261429
1.944883,25.258861
1.950000,25.256170
1.954883,25.253604
1.960000,25.250917
1.964883,25.248353
1.970000,25.245668
1.974883,25.243108
1.980000,25.240425
1.984883,25.237867
1.990000,25.235188
1.994883,25.232632
2.000000,25.229955
2.004883,25.227402
2.010000,25.224728
2.014883,25.222177
2.020000,25.219506
