"time","FMU_Interface_OUT3_Load_Signal"
40.4,0.309272
40.6,0.309468
40.8,0.30972
41,0.30993
41.2,0.3101
41.4,0.310238
41.6,0.310349
41.8,0.310438
42,0.31051
42.2,0.310569
42.4,0.310616
42.6,0.310654
42.8,0.310684
43,0.310709
43.2,0.310729
43.4,0.310745
43.6,0.310758
43.8,0.310769
44,0.310777
44.2,0.310784
44.4,0.310789
44.6,0.310794
44.8,0.310797
45,0.3108
45.2,0.310803
45.4,0.310804
45.6,0.310806
45.8,0.310807
46,0.310808
46.2,0.310809
46.4,0.31081
46.6,0.31081
46.8,0.310811
47,0.310811
47.2,0.310811
47.4,0.310811
47.6,0.310812
47.8,0.310812
48,0.310812
48.2,0.310812
48.4,0.310812
48.6,0.310812
48.8,0.310812
49,0.310812
49.2,0.310812
49.4,0.310812
49.6,0.310812
49.8,0.310812
50,0.310812
50.2,0.310812
50.4,0.310812
50.6,0.310812
50.8,0.310812
51,0.310812
51.2,0.310812
51.4,0.310812
51.6,0.310812
51.8,0.310812
52,0.310812
52.2,0.310812
52.4,0.310812
52.6,0.310812
52.8,0.310812
53,0.310812
53.2,0.310812
53.4,0.310812
53.6,0.310812
53.8,0.310812
54,0.310812
54.2,0.310812
54.4,0.310812
54.6,0.310812
54.8,0.310812
55,0.310812
55.2,0.310812
55.4,0.310812
55.6,0.310812
55.8,0.310812
56,0.310812
56.2,0.310812
56.4,0.310812
56.6,0.310812
56.8,0.310812
57,0.310812
57.2,0.310812
57.4,0.310812
57.6,0.310812
57.8,0.310812
58,0.310812
58.2,0.310812
58.4,0.310812
58.6,0.310812
58.8,0.310812
59,0.310812
59.2,0.310812
59.4,0.310812
59.6,0.310812
59.8,0.310812
60,0.310812
60.2,0.310812
60.4,0.509493
60.6,0.509664
60.8,0.509909
61,0.510114
61.2,0.51028
61.4,0.510414
61.6,0.510523
61.8,0.51061
62,0.51068
62.2,0.510737
62.4,0.510783
62.6,0.51082
62.8,0.51085
63,0.510874
63.2,0.510894
63.4,0.510909
63.6,0.510922
63.8,0.510932
64,0.51094
64.2,0.510947
64.4,0.510952
64.6,0.510957
64.8,0.51096
65,0.510963
65.2,0.510965
65.4,0.510967
65.6,0.510969
65.8,0.51097
66,0.510971
66.2,0.510972
66.4,0.510972
66.6,0.510973
66.8,0.510973
67,0.510973
67.2,0.510974
67.4,0.510974
67.6,0.510974
67.8,0.510974
68,0.510974
68.2,0.510974
68.4,0.510975
68.6,0.510975
68.8,0.510975
69,0.510975
69.2,0.510975
69.4,0.510975
69.6,0.510975
69.8,0.510975
70,0.510975
70.2,0.510975
70.4,0.510975
70.6,0.510975
70.8,0.510975
71,0.510975
71.2,0.510975
71.4,0.510975
71.6,0.510975
71.8,0.510975
72,0.510975
72.2,0.510975
72.4,0.510975
72.6,0.510975
72.8,0.510975
73,0.510975
73.2,0.510975
73.4,0.510975
73.6,0.510975
73.8,0.510975
74,0.510975
74.2,0.510975
74.4,0.510975
74.6,0.510975
74.8,0.510975
75,0.510975
75.2,0.510975
75.4,0.510975
75.6,0.510975
75.8,0.510975
76,0.510975
76.2,0.510975
76.4,0.510975
76.6,0.510975
76.8,0.510975
77,0.510975
77.2,0.510975
77.4,0.510975
77.6,0.510975
77.8,0.510975
78,0.510975
78.2,0.510975
78.4,0.510975
78.6,0.510975
78.8,0.510975
79,0.510975
79.2,0.510975
79.4,0.510975
79.6,0.510975
79.8,0.510975
80,0.510975
80.2,0.510975
80.4,0.709101
80.6,0.709335
80.8,0.709673
81,0.709955
81.2,0.710183
81.4,0.710367
81.6,0.710516
81.8,0.710636
82,0.710733
82.2,0.710811
82.4,0.710874
82.6,0.710925
82.8,0.710966
83,0.710999
83.2,0.711026
83.4,0.711047
83.6,0.711065
83.8,0.711079
84,0.71109
84.2,0.711099
84.4,0.711107
84.6,0.711113
84.8,0.711117
85,0.711121
85.2,0.711124
85.4,0.711127
85.6,0.711129
85.8,0.711131
86,0.711132
86.2,0.711133
86.4,0.711134
86.6,0.711134
86.8,0.711135
87,0.711136
87.2,0.711136
87.4,0.711136
87.6,0.711136
87.8,0.711137
88,0.711137
88.2,0.711137
88.4,0.711137
88.6,0.711137
88.8,0.711137
89,0.711137
89.2,0.711137
89.4,0.711137
89.6,0.711137
89.8,0.711137
90,0.711137
90.2,0.711137
90.4,0.711137
90.6,0.711137
90.8,0.711137
91,0.711137
91.2,0.711137
91.4,0.711137
91.6,0.711137
91.8,0.711137
92,0.711137
92.2,0.711137
92.4,0.711137
92.6,0.711137
92.8,0.711137
93,0.711137
93.2,0.711137
93.4,0.711137
93.6,0.711137
93.8,0.711137
94,0.711137
94.2,0.711137
94.4,0.711137
94.6,0.711137
94.8,0.711137
95,0.711137
95.2,0.711137
95.4,0.711137
95.6,0.711137
95.8,0.711137
96,0.711137
96.2,0.711137
96.4,0.711137
96.6,0.711137
96.8,0.711137
97,0.711137
97.2,0.711137
97.4,0.711137
97.6,0.711137
97.8,0.711137
98,0.711137
98.2,0.711137
98.4,0.711137
98.6,0.711137
98.8,0.711137
99,0.711137
99.2,0.711137
99.4,0.711137
99.6,0.711137
99.8,0.711137
100,0.711137
100.2,0.711137
100.4,0.908709
100.6,0.909007
100.8,0.909436
101,0.909795
101.2,0.910085
101.4,0.91032
101.6,0.910509
101.8,0.910662
102,0.910785
102.2,0.910884
102.4,0.910965
102.6,0.911029
102.8,0.911082
103,0.911124
103.2,0.911158
103.4,0.911185
103.6,0.911207
103.8,0.911225
104,0.91124
104.2,0.911251
104.4,0.911261
104.6,0.911268
104.8,0.911274
105,0.911279
105.2,0.911283
105.4,0.911287
105.6,0.911289
105.8,0.911291
106,0.911293
106.2,0.911294
106.4,0.911295
106.6,0.911296
106.8,0.911297
107,0.911298
107.2,0.911298
107.4,0.911298
107.6,0.911299
107.8,0.911299
108,0.911299
108.2,0.911299
108.4,0.911299
108.6,0.9113
108.8,0.9113
109,0.9113
109.2,0.9113
109.4,0.9113
109.6,0.9113
109.8,0.9113
110,0.9113
110.2,0.9113
110.4,0.9113
110.6,0.9113
110.8,0.9113
111,0.9113
111.2,0.9113
111.4,0.9113
111.6,0.9113
111.8,0.9113
112,0.9113
112.2,0.9113
112.4,0.9113
112.6,0.9113
112.8,0.9113
113,0.9113
113.2,0.9113
113.4,0.9113
113.6,0.9113
113.8,0.9113
114,0.9113
114.2,0.9113
114.4,0.9113
114.6,0.9113
114.8,0.9113
115,0.9113
115.2,0.9113
115.4,0.9113
115.6,0.9113
115.8,0.9113
116,0.9113
116.2,0.9113
116.4,0.9113
116.6,0.9113
116.8,0.9113
117,0.9113
117.2,0.9113
117.4,0.9113
117.6,0.9113
117.8,0.9113
118,0.9113
118.2,0.9113
118.4,0.9113
118.6,0.9113
118.8,0.9113
119,0.9113
119.2,0.9113
119.4,0.9113
119.6,0.9113
119.8,0.9113
120,0.9113
120.2,0.882613
120.4,0.295434
120.6,0.295451
120.8,0.295482
121,0.295507
121.2,0.295528
121.4,0.295545
121.6,0.295559
121.8,0.29557
122,0.295579
122.2,0.295586
122.4,0.295592
122.6,0.295597
122.8,0.2956
123,0.295603
123.2,0.295606
123.4,0.295608
123.6,0.295609
123.8,0.295611
124,0.295612
124.2,0.295613
124.4,0.295613
124.6,0.295614
124.8,0.295614
125,0.295615
125.2,0.295615
125.4,0.295615
125.6,0.295615
125.8,0.295615
126,0.295616
126.2,0.295616
126.4,0.295616
126.6,0.295616
126.8,0.295616
127,0.295616
127.2,0.295616
127.4,0.295616
127.6,0.295616
127.8,0.295616
128,0.295616
128.2,0.295616
128.4,0.295616
128.6,0.295616
128.8,0.295616
129,0.295616
129.2,0.295616
129.4,0.295616
129.6,0.295616
129.8,0.295616
130,0.295616
130.2,0.295616
130.4,0.295616
130.6,0.295616
130.8,0.295616
131,0.295616
131.2,0.295616
131.4,0.295616
131.6,0.295616
131.8,0.295616
132,0.295616
132.2,0.295616
132.4,0.295616
132.6,0.295616
132.8,0.295616
133,0.295616
133.2,0.295616
133.4,0.295616
133.6,0.295616
133.8,0.295616
134,0.295616
134.2,0.295616
134.4,0.295616
134.6,0.295616
134.8,0.295616
135,0.295616
135.2,0.295616
135.4,0.295616
135.6,0.295616
135.8,0.295616
136,0.295616
136.2,0.295616
136.4,0.295616
136.6,0.295616
136.8,0.295616
137,0.295616
137.2,0.295616
137.4,0.295616
137.6,0.295616
137.8,0.295616
138,0.295616
138.2,0.295616
138.4,0.295616
138.6,0.295616
138.8,0.295616
139,0.295616
139.2,0.295616
139.4,0.295616
139.6,0.295616
139.8,0.295616
140,0.295616
140.2,0.295616
140.4,0.492559
140.6,0.492434
140.8,0.492254
141,0.492103
141.2,0.491982
141.4,0.491884
141.6,0.491805
141.8,0.491741
142,0.49169
142.2,0.491648
142.4,0.491615
142.6,0.491588
142.8,0.491566
143,0.491548
143.2,0.491534
143.4,0.491523
143.6,0.491513
143.8,0.491506
144,0.4915
144.2,0.491495
144.4,0.491491
144.6,0.491488
144.8,0.491486
145,0.491484
145.2,0.491482
145.4,0.491481
145.6,0.491479
145.8,0.491479
146,0.491478
146.2,0.491477
146.4,0.491477
146.6,0.491476
146.8,0.491476
147,0.491476
147.2,0.491476
147.4,0.491476
147.6,0.491475
147.8,0.491475
148,0.491475
148.2,0.491475
148.4,0.491475
148.6,0.491475
148.8,0.491475
149,0.491475
149.2,0.491475
149.4,0.491475
149.6,0.491475
149.8,0.491475
150,0.491475
150.2,0.491475
150.4,0.491475
150.6,0.491475
150.8,0.491475
151,0.491475
151.2,0.491475
151.4,0.491475
151.6,0.491475
151.8,0.491475
152,0.491475
152.2,0.491475
152.4,0.491475
152.6,0.491475
152.8,0.491475
153,0.491475
153.2,0.491475
153.4,0.491475
153.6,0.491475
153.8,0.491475
154,0.491475
154.2,0.491475
154.4,0.491475
154.6,0.491475
154.8,0.491475
155,0.491475
155.2,0.491475
155.4,0.491475
155.6,0.491475
155.8,0.491475
156,0.491475
156.2,0.491475
156.4,0.491475
156.6,0.491475
156.8,0.491475
157,0.491475
157.2,0.491475
157.4,0.491475
157.6,0.491475
157.8,0.491475
158,0.491475
158.2,0.491475
158.4,0.491475
158.6,0.491475
158.8,0.491475
159,0.491475
159.2,0.491475
159.4,0.491475
159.6,0.491475
159.8,0.491475
160,0.491475
160.2,0.491475
160.4,0.688958
160.6,0.688771
160.8,0.6885
161,0.688275
161.2,0.688093
161.4,0.687946
161.6,0.687828
161.8,0.687732
162,0.687655
162.2,0.687593
162.4,0.687543
162.6,0.687503
162.8,0.68747
163,0.687444
163.2,0.687422
163.4,0.687405
163.6,0.687392
163.8,0.68738
164,0.687371
164.2,0.687364
164.4,0.687358
164.6,0.687354
164.8,0.68735
165,0.687347
165.2,0.687344
165.4,0.687342
165.6,0.687341
165.8,0.687339
166,0.687338
166.2,0.687337
166.4,0.687337
166.6,0.687336
166.8,0.687336
167,0.687335
167.2,0.687335
167.4,0.687335
167.6,0.687335
167.8,0.687334
168,0.687334
168.2,0.687334
168.4,0.687334
168.6,0.687334
168.8,0.687334
169,0.687334
169.2,0.687334
169.4,0.687334
169.6,0.687334
169.8,0.687334
170,0.687334
170.2,0.687334
170.4,0.687334
170.6,0.687334
170.8,0.687334
171,0.687334
171.2,0.687334
171.4,0.687334
171.6,0.687334
171.8,0.687334
172,0.687334
172.2,0.687334
172.4,0.687334
172.6,0.687334
172.8,0.687334
173,0.687334
173.2,0.687334
173.4,0.687334
173.6,0.687334
173.8,0.687334
174,0.687334
174.2,0.687334
174.4,0.687334
174.6,0.687334
174.8,0.687334
175,0.687334
175.2,0.687334
175.4,0.687334
175.6,0.687334
175.8,0.687334
176,0.687334
176.2,0.687334
176.4,0.687334
176.6,0.687334
176.8,0.687334
177,0.687334
177.2,0.687334
177.4,0.687334
177.6,0.687334
177.8,0.687334
178,0.687334
178.2,0.687334
178.4,0.687334
178.6,0.687334
178.8,0.687334
179,0.687334
179.2,0.687334
179.4,0.687334
179.6,0.687334
179.8,0.687334
180,0.687334
180.2,0.687334
180.4,0.885357
180.6,0.885107
180.8,0.884747
181,0.884447
181.2,0.884204
181.4,0.884009
181.6,0.883851
181.8,0.883724
182,0.883621
182.2,0.883538
182.4,0.883471
182.6,0.883418
182.8,0.883374
183,0.883339
183.2,0.883311
183.4,0.883288
183.6,0.88327
183.8,0.883255
184,0.883243
184.2,0.883233
184.4,0.883225
184.6,0.883219
184.8,0.883214
185,0.88321
185.2,0.883206
185.4,0.883204
185.6,0.883202
185.8,0.8832
186,0.883198
186.2,0.883197
186.4,0.883196
186.6,0.883196
186.8,0.883195
187,0.883195
187.2,0.883194
187.4,0.883194
187.6,0.883194
187.8,0.883193
188,0.883193
188.2,0.883193
188.4,0.883193
188.6,0.883193
188.8,0.883193
189,0.883193
189.2,0.883193
189.4,0.883193
189.6,0.883193
189.8,0.883193
190,0.883193
190.2,0.883193
190.4,0.883193
190.6,0.883193
190.8,0.883193
191,0.883193
191.2,0.883193
191.4,0.883193
191.6,0.883193
191.8,0.883193
192,0.883193
192.2,0.883193
192.4,0.883193
192.6,0.883193
192.8,0.883193
193,0.883193
193.2,0.883193
193.4,0.883193
193.6,0.883193
193.8,0.883193
194,0.883193
194.2,0.883193
194.4,0.883193
194.6,0.883193
194.8,0.883193
195,0.883193
195.2,0.883193
195.4,0.883193
195.6,0.883193
195.8,0.883193
196,0.883193
196.2,0.883193
196.4,0.883193
196.6,0.883193
196.8,0.883193
197,0.883193
197.2,0.883193
197.4,0.883193
197.6,0.883193
197.8,0.883193
198,0.883193
198.2,0.883193
198.4,0.883193
198.6,0.883193
198.8,0.883193
199,0.883193
199.2,0.883193
199.4,0.883193
199.6,0.883193
199.8,0.883193
200,0.883193
