"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6","ContinuousState[0]","ContinuousState[1]","ContinuousState[2]","ContinuousState[3]","ContinuousState[4]","ContinuousState[5]","ContinuousState[6]","ContinuousState[7]","EventIndicator[0]","EventIndicator[1]","EventIndicator[2]"
1.7,0.92848825,1,0.4150254,0.92848825,2.480253,0.6087811,0.28907388,0.92848825,1,0.4150254,0.92848825,1.4806794,0.6087811,0.6087811,0.31970719,0,1,1.9991472
1.8,1.0283418,1,0.5029169,1.0283418,2.709473,0.6500172,0.27169263,1.0283418,1,0.5029169,1.0283418,1.7178082,0.6500172,0.6500172,0.37832454,0,1,1.9833297
1.9,1.1279036,1,0.6007584,1.1279036,2.951142,0.6866392,0.24537474,1.1279036,1,0.6007584,1.1279036,1.9772944,0.6866392,0.6866392,0.44126445,0,1,1.9476953
2,1.2261792,1,0.70857066,1.2261792,3.2066252,0.718082,0.20998472,1.2261792,1,0.70857066,1.2261792,2.2603252,0.718082,0.718082,0.5080973,0,1,1.8926002
2.1,1.3221866,1,0.8262748,1.3221866,3.4775112,0.74385333,0.16551998,1.3221866,1,0.8262748,1.3221866,2.5682137,0.74385333,0.74385333,0.5783333,0,1,1.8185948
2.2,1.4149665,1,0.9536931,1.4149665,3.7656298,0.76353645,0.11210633,1.4149665,1,0.9536931,1.4149665,2.9024205,0.76353645,0.76353645,0.6514301,0,1,1.7264187
2.3,1.5035919,1,1.0905508,1.5035919,4.073074,0.7767923,0.0499927,1.5035919,1,1.0905508,1.5035919,3.2645774,0.7767923,0.7767923,0.7267996,0,1,1.6169928
2.4,1.5871772,1,1.2364787,1.5871772,4.402218,0.78336114,-0.020454882,1.5871772,1,1.2364787,1.5871772,3.6565127,0.78336114,0.78336114,0.803816,0,1,1.4914104
2.5,1.6648872,1,1.3910171,1.6648872,4.7557406,0.78306353,-0.09876014,1.6648872,1,1.3910171,1.6648872,4.0802774,0.78306353,0.78306353,0.88182366,0,1,1.3509264
2.6,1.7359457,1,1.5536203,1.7359457,5.136647,0.7758007,-0.18434419,1.7359457,1,1.5536203,1.7359457,4.538175,0.7758007,0.7758007,0.96014494,0,1,1.1969442
2.7,1.7996424,1,1.723662,1.7996424,5.548296,0.7615543,-0.27653384,1.7996424,1,1.723662,1.7996424,5.0327945,0.7615543,0.7615543,1.0380881,0,1,1.0310028
2.8,1.8553411,1,1.9004414,1.8553411,5.9944215,0.74038523,-0.37457067,1.8553411,1,1.9004414,1.8553411,5.567042,0.74038523,0.74038523,1.1149559,0,1,0.85475975
2.9,1.9024851,1,2.0831904,1.9024851,6.4791656,0.71243227,-0.47762057,1.9024851,1,2.0831904,1.9024851,6.1441774,0.71243227,0.71243227,1.1900529,0,1,0.6699763
3,1.9406035,1,2.271082,1.9406035,7.0071063,0.6779098,-0.5847839,1.9406035,1,2.271082,1.9406035,6.767857,0.6779098,0.6779098,1.2626938,0,1,0.47849867
3.1,1.9693154,1,2.4632363,1.9693154,7.5832906,0.6371046,-0.69510627,1.9693154,1,2.4632363,1.9693154,7.4421706,0.6371046,0.6371046,1.3322108,0,1,0.28224
3.2,1.988334,1,2.6587322,1.988334,8.213271,0.5903723,-0.80758923,1.988334,1,2.6587322,1.988334,8.17169,0.5903723,0.5903723,1.3979616,0,1,0.083161324
3.3,1.997469,1,2.8566148,1.997469,8.903144,0.5381335,-0.9212019,1.997469,1,2.8566148,1.997469,8.961518,0.5381335,0.5381335,1.4593354,0,1,0
3.4,1.9966292,0.99416256,3.0559049,1.9966292,9.659594,0.48086855,-1.0348921,1.9966292,0.99416256,3.0559049,1.9966292,9.817339,0.48086855,0.48086855,1.5157607,-0.005837414,0.99416256,0
3.5,1.9858233,0.97255063,3.2556098,1.9858233,10.489935,0.41911247,-1.1475984,1.9858233,0.97255063,3.2556098,1.9858233,10.745476,0.41911247,0.41911247,1.5667108,-0.027449397,0.97255063,0
3.6,1.9651589,0.9312219,3.4547324,1.9651589,11.402169,0.35344908,-1.2582607,1.9651589,0.9312219,3.4547324,1.9651589,11.752953,0.35344908,0.35344908,1.6117098,-0.068778075,0.9312219,0
3.7,1.9348427,0.8705895,3.6522815,1.9348427,12.405037,0.28450477,-1.3658332,1.9348427,0.8705895,3.6522815,1.9348427,12.847558,0.28450477,0.28450477,1.6503379,-0.1294105,0.8705895,0
3.8,1.8951775,0.7912591,3.8472817,1.8951775,13.508082,0.2129419,-1.4692937,1.8951775,0.7912591,3.8472817,1.8951775,14.037918,0.2129419,0.2129419,1.6822356,-0.20874088,0.7912591,0
3.9,1.8465596,0.6940235,4.0387826,1.8465596,14.721716,0.13945174,-1.5676562,1.8465596,0.6940235,4.0387826,1.8465596,15.333574,0.13945174,0.13945174,1.7071079,-0.30597654,0.6940235,0
4,1.789475,0.5798541,4.2258697,1.789475,16.057299,0.064747356,-1.6599803,1.789475,0.5798541,4.2258697,1.789475,16.745064,0.064747356,0.064747356,1.7247276,-0.42014593,0.5798541,0
4.1,1.7244937,0.44989166,4.407671,1.7244937,17.527212,-0.010443803,-1.7453814,1.7244937,0.44989166,4.407671,1.7244937,18.284016,-0.010443803,-0.010443803,1.7349375,-0.5501084,0.44989166,0
4.2,1.6522653,0.3054348,4.5833697,1.6522653,19.144962,-0.085387416,-1.8230401,1.6522653,0.3054348,4.5833697,1.6522653,19.96324,-0.085387416,-0.085387416,1.7376528,-0.69456524,0.3054348,0
4.3,1.5735114,0.14792682,4.7522078,1.5735114,20.925274,-0.15934983,-1.8922111,1.5735114,0.14792682,4.7522078,1.5735114,21.796848,-0.15934983,-0.15934983,1.7328612,-0.8520732,0.14792682,0
4.4,1.4890187,0,4.9134965,1.4890187,22.884195,-0.23160562,-1.95223,1.4890187,0,4.9134965,1.4890187,23.800362,-0.23160562,-0.23160562,1.7206243,-1,0,-1.8323319
4.5,1.3996316,0,5.0666227,1.3996316,25.039232,-0.30144492,-2.0025215,1.3996316,0,5.0666227,1.3996316,25.990835,-0.30144492,-0.30144492,1.7010766,-1,0,-1.9032042
4.6,1.3062433,0,5.2110553,1.3062433,27.409475,-0.3681808,-2.042605,1.3062433,0,5.2110553,1.3062433,28.387005,-0.3681808,-0.3681808,1.674424,-1,0,-1.9550602
4.7,1.2097867,0,5.3463492,1.2097867,30.01575,-0.43115613,-2.072099,1.2097867,0,5.3463492,1.2097867,31.009441,-0.43115613,-0.43115613,1.6409428,-1,0,-1.987382
4.8,1.1112256,0,5.472151,1.1112256,32.88078,-0.48975033,-2.0907261,1.1112256,0,5.472151,1.1112256,33.880703,-0.48975033,-0.48975033,1.6009759,-1,0,-1.9998465
4.9,1.0115448,0,5.5882015,1.0115448,36.029366,-0.54338574,-2.0983164,1.0115448,0,5.5882015,1.0115448,37.025528,-0.54338574,-0.54338574,1.5549306,-1,0,-1.9923292
5,0.9117405,0,5.6943398,0.9117405,39.488583,-0.5915333,-2.0948071,0.9117405,0,5.6943398,0.9117405,40.471035,-0.5915333,-0.5915333,1.5032738,-1,0,-1.9649053
5.1,0.8128096,0,5.790504,0.8128096,43.28801,-0.63371825,-2.080246,0.8128096,0,5.790504,0.8128096,44.246933,-0.63371825,-0.63371825,1.4465278,-1,0,-1.9178486
5.2,0.71574074,0,5.8767314,0.71574074,47.45995,-0.6695245,-2.0547898,0.71574074,0,5.8767314,0.71574074,48.38576,-0.6695245,-0.6695245,1.3852652,-1,0,-1.8516294
5.3,0.62150383,0,5.9531593,0.62150383,52.039707,-0.6985993,-2.0187025,0.62150383,0,5.9531593,0.62150383,52.92316,-0.6985993,-0.6985993,1.3201032,-1,0,-1.7669094
5.4,0.5310404,0,6.0200214,0.5310404,57.065876,-0.7206566,-1.9723535,0.5310404,0,6.0200214,0.5310404,57.898144,-0.7206566,-0.7206566,1.251697,-1,0,-1.6645349
5.5,0.44525424,0,6.0776486,0.44525424,62.580658,-0.7354799,-1.916214,0.44525424,0,6.0776486,0.44525424,63.353424,-0.7354799,-0.7354799,1.1807342,-1,0,-1.545529
5.6,0.36500266,0,6.1264634,0.36500266,68.63021,-0.7429247,-1.850852,0.36500266,0,6.1264634,0.36500266,69.33575,-0.7429247,-0.7429247,1.1079273,-1,0,-1.4110806
5.7,0.29108742,0,6.166976,0.29108742,75.26502,-0.7429197,-1.7769268,0.29108742,0,6.166976,0.29108742,75.89629,-0.7429197,-0.7429197,1.0340071,-1,0,-1.2625333
5.8,0.22424707,0,6.1997805,0.22424707,82.54037,-0.7354678,-1.6951827,0.22424707,0,6.1997805,0.22424707,83.09106,-0.7354678,-0.7354678,0.9597149,-1,0,-1.101371
5.9,0.16514945,0,6.2255473,0.16514945,90.51672,-0.720646,-1.6064415,0.16514945,0,6.2255473,0.16514945,90.98132,-0.720646,-0.720646,0.8857955,-1,0,-0.92920434
6,0.11438507,0,6.245017,0.11438507,99.2603,-0.69860476,-1.5115945,0.11438507,0,6.245017,0.11438507,99.63418,-0.69860476,-0.69860476,0.81298983,-1,0,-0.7477533
6.1,0.07246113,0,6.258994,0.07246113,108.84361,-0.66956615,-1.4115934,0.07246113,0,6.258994,0.07246113,109.12303,-0.66956615,-0.66956615,0.7420273,-1,0,-0.558831
6.2,0.039796516,0,6.2683363,0.039796516,119.34606,-0.6338222,-1.3074409,0.039796516,0,6.2683363,0.039796516,119.52823,-0.6338222,-0.6338222,0.67361873,-1,0,-0.36432502
6.3,0.016717616,0,6.273949,0.016717616,130.85461,-0.59173167,-1.200181,0.016717616,0,6.273949,0.016717616,130.93771,-0.59173167,-0.59173167,0.6084493,-1,0,-0.16617881
6.4,0.003455021,0,6.276775,0.003455021,143.46455,-0.5437166,-1.0908881,0.003455021,0,6.276775,0.003455021,143.44774,-0.5437166,-0.5437166,0.5471716,-1,0,0
6.5,1.41E-04,0.00168139,6.2777834,1.41E-04,157.28026,-0.49025795,-0.98065716,1.41E-04,0.00168139,6.2777834,1.41E-04,157.1637,-0.49025795,-0.49025795,0.49039918,-0.9983186,0.00168139,0
6.6,0.006809401,0.0150177,6.277963,0.006809401,172.41606,-0.43189105,-0.8705915,0.006809401,0.0150177,6.277963,0.006809401,172.20094,-0.43189105,-0.43189105,0.43870047,-0.9849823,0.0150177,0
6.7,0.02339286,0.04818462,6.278311,0.02339286,188.9973,-0.36920017,-0.7617932,0.02339286,0.04818462,6.278311,0.02339286,188.68576,-0.36920017,-0.36920017,0.39259303,-0.95181537,0.04818462,0
6.8,0.049725927,0.10085075,6.279821,0.049725927,207.16127,-0.30281252,-0.655351,0.049725927,0.10085075,6.279821,0.049725927,206.75642,-0.30281252,-0.30281252,0.35253847,-0.89914924,0.10085075,0
6.9,0.085545495,0.17248988,6.283477,0.085545495,227.05847,-0.23339233,-0.55233014,0.085545495,0.17248988,6.283477,0.085545495,226.56436,-0.23339233,-0.23339233,0.3189378,-0.8275101,0.17248988,0
7,0.13049366,0.2623862,6.2902403,0.13049366,248.85379,-0.16163392,-0.4537615,0.13049366,0.2623862,6.2902403,0.13049366,248.27534,-0.16163392,-0.16163392,0.29212758,-0.7376138,0.2623862,0
7.1,0.18412131,0.3696415,6.3010426,0.18412131,272.72794,-0.08825495,-0.36063123,0.18412131,0.3696415,6.3010426,0.18412131,272.07095,-0.08825495,-0.08825495,0.27237627,-0.63035846,0.3696415,0
7.2,0.24589263,0.49318415,6.316773,0.24589263,298.879,-0.013989192,-0.273871,0.24589263,0.49318415,6.316773,0.24589263,298.15005,-0.013989192,-0.013989192,0.25988182,-0.50681585,0.49318415,0
7.3,0.3151904,0.63177973,6.338274,0.3151904,327.52405,0.060420796,-0.19434881,0.3151904,0.63177973,6.338274,0.3151904,326.73038,0.060420796,0.060420796,0.25476962,-0.36822027,0.63177973,0
7.4,0.39132226,0.78404343,6.366328,0.39132226,358.90097,0.13423106,-0.12286013,0.39132226,0.78404343,6.366328,0.39132226,358.05054,0.13423106,0.13423106,0.2570912,-0.21595658,0.78404343,0
7.5,0.4735275,0.94845384,6.401654,0.4735275,393.2705,0.2067037,-0.060120095,0.4735275,0.94845384,6.401654,0.4735275,392.3718,0.2067037,0.2067037,0.2668238,-0.051546138,0.94845384,0
7.6,0.56098473,1,6.444896,0.56098473,430.91837,0.27711418,-0.006756335,0.56098473,1,6.444896,0.56098473,429.98038,0.27711418,0.27711418,0.28387052,0,1,1.8759999
7.7,0.6528201,1,6.4966216,0.6528201,472.15775,0.3447587,0.03669728,0.6528201,1,6.4966216,0.6528201,471.18982,0.3447587,0.3447587,0.30806142,0,1,1.9358393
7.8,0.7481161,1,6.557312,0.7481161,517.3318,0.40896103,0.06980597,0.7481161,1,6.557312,0.7481161,516.3436,0.40896103,0.40896103,0.33915508,0,1,1.9763365
7.9,0.8459205,1,6.627359,0.8459205,566.81665,0.46907943,0.0922384,0.8459205,1,6.627359,0.8459205,565.8181,0.46907943,0.46907943,0.37684104,0,1,1.9970866
8,0.94525605,1,6.7070603,0.94525605,621.0245,0.524513,0.10376993,0.94525605,1,6.7070603,0.94525605,620.0255,0.524513,0.524513,0.42074308,0,1,1.9978827
8.1,1.0451303,1,6.7966194,1.0451303,680.4069,0.5747076,0.10428491,1.0451303,1,6.7966194,1.0451303,679.41754,0.5747076,0.5747076,0.4704227,0,1,1.9787165
8.2,1.1445453,1,6.8961387,1.1445453,745.45905,0.61916155,0.093777835,1.1445453,1,6.8961387,1.1445453,744.48914,0.61916155,0.61916155,0.5253837,0,1,1.9397796
8.3,1.2425077,1,7.0056224,1.2425077,816.72314,0.6574305,0.07235332,1.2425077,1,7.0056224,1.2425077,815.7824,0.6574305,0.6574305,0.58507717,0,1,1.8814611
8.4,1.3380387,1,7.124975,1.3380387,894.7937,0.6891319,0.04022513,1.3380387,1,7.124975,1.3380387,893.89154,0.6891319,0.6891319,0.64890677,0,1,1.8043437
8.5,1.4301839,1,7.2540026,1.4301839,980.32196,0.7139489,-0.002285993,1.4301839,1,7.2540026,1.4301839,979.4674,0.7139489,0.7139489,0.7162349,0,1,1.7091978
8.6,1.5180224,1,7.3924136,1.5180224,1074.0216,0.7316334,-0.05475554,1.5180224,1,7.3924136,1.5180224,1073.2231,0.7316334,0.7316334,0.78638893,0,1,1.5969743
8.7,1.6006767,1,7.539824,1.6006767,1176.6748,0.7420086,-0.11665947,1.6006767,1,7.539824,1.6006767,1175.9403,0.7420086,0.7420086,0.8586681,0,1,1.4687942
8.8,1.6773208,1,7.695759,1.6773208,1289.1382,0.7449707,-0.18737946,1.6773208,1,7.695759,1.6773208,1288.4752,0.7449707,0.7449707,0.93235016,0,1,1.3259385
8.9,1.7471892,1,7.8596587,1.7471892,1412.3507,0.7404901,-0.26620907,1.7471892,1,7.8596587,1.7471892,1411.7659,0.7404901,0.7404901,1.0066991,0,1,1.1698344
9,1.8095835,1,8.030884,1.8095835,1547.3413,0.72861135,-0.35236084,1.8095835,1,8.030884,1.8095835,1546.8402,0.72861135,0.72861135,1.0809722,0,1,1.0020417
9.1,1.8638804,1,8.208723,1.8638804,1695.2369,0.70945317,-0.44497406,1.8638804,1,8.208723,1.8638804,1694.8248,0.70945317,0.70945317,1.1544273,0,1,0.824237
9.2,1.9095374,1,8.392396,1.9095374,1857.2728,0.6832069,-0.54312354,1.9095374,1,8.392396,1.9095374,1856.9537,0.6832069,0.6832069,1.2263305,0,1,0.6381967
9.3,1.9460982,1,8.581067,1.9460982,2034.8021,0.65013474,-0.6458287,1.9460982,1,8.581067,1.9460982,2034.5792,0.65013474,0.65013474,1.2959635,0,1,0.44577983
9.4,1.9731977,1,8.773849,1.9731977,2229.3074,0.6105671,-0.75206345,1.9731977,1,8.773849,1.9731977,2229.183,0.6105671,0.6105671,1.3626306,0,1,0.24890885
9.5,1.9905648,1,8.969813,1.9905648,2442.4133,0.5648992,-0.8607665,1.9905648,1,8.969813,1.9905648,2442.3884,0.5648992,0.5648992,1.4256656,0,1,0.04955085
9.6,1.9980264,1,9.168002,1.9980264,2675.8994,0.5135874,-0.9708516,1.9980264,1,9.168002,1.9980264,2675.9746,0.5135874,0.5135874,1.484439,0,1,0
9.7,1.9955076,0.99248487,9.367432,1.9955076,2931.7158,0.45714426,-1.0812191,1.9955076,0.99248487,9.367432,1.9955076,2931.8901,0.45714426,0.45714426,1.5383633,-0.007515112,0.99248487,0
9.8,1.9830337,0.9675371,9.567108,1.9830337,3211.9993,0.39613378,-1.1907661,1.9830337,0.9675371,9.567108,1.9830337,3212.271,0.39613378,0.39613378,1.5868999,-0.032462902,0.9675371,0
9.9,1.9607294,0.92292833,9.766035,1.9607294,3519.0903,0.33116552,-1.2983983,1.9607294,0.92292833,9.766035,1.9607294,3519.4568,0.33116552,0.33116552,1.6295638,-0.077071644,0.92292833,0
10,1.9288173,0.8591044,9.963223,1.9288173,3855.5537,0.26288858,-1.4030402,1.9288173,0.8591044,9.963223,1.9288173,3856.0112,0.26288858,0.26288858,1.6659287,-0.14089562,0.8591044,0
