    "time",    "Out1", "Out2[1]", "Out2[2]",    "Out3",    "Out4",    "Out5"
      0.79,0.29615583,0.079647952,0.29615583, 1.1049555,0.23017676,0.16419769
       0.8,0.30329443,0.082645145,0.30329443, 1.1230985,0.23498955,0.16668467
      0.81,0.31050271,0.085714073,0.31050271, 1.1413517,0.23982378,0.16914485
      0.82,0.31777994,0.088855429,0.31777994, 1.1597156,0.24467851,0.17157708
      0.83,0.32512538,0.092069899,0.32512538, 1.1781906,0.24955282,0.17398025
      0.84,0.33253832,0.095358161,0.33253832, 1.1967771,0.25444577,0.17635323
      0.85,  0.340018,0.098720888,  0.340018, 1.2154755,0.25935646,0.17869492
      0.86,0.34756368,0.10215874,0.34756368, 1.2342864,0.26428395,0.18100422
      0.87, 0.3551746,0.10567238, 0.3551746, 1.2532102,0.26922732,0.18328005
      0.88,   0.36285,0.10926245,   0.36285, 1.2722473,0.27418567,0.18552135
      0.89,0.37058912,0.11292959,0.37058912, 1.2913983,0.27915808,0.18772705
       0.9,0.37839118,0.11667444,0.37839118, 1.3106637,0.28414364,0.18989611
      0.91,0.38625539,0.12049762,0.38625539,  1.330044,0.28914145, 0.1920275
      0.92,0.39418099,0.12439975,0.39418099, 1.3495397,0.29415059,0.19412019
      0.93,0.40216716,0.12838144,0.40216716, 1.3691513,0.29917017,0.19617317
      0.94,0.41021312, 0.1324433,0.41021312, 1.3888796,0.30419929,0.19818545
      0.95,0.41831805, 0.1365859,0.41831805, 1.4087249,0.30923705,0.20015604
      0.96,0.42648116,0.14080985,0.42648116, 1.4286879,0.31428256,0.20208396
      0.97,0.43470161,0.14511572,0.43470161, 1.4487692,0.31933493,0.20396825
      0.98, 0.4429786,0.14950407, 0.4429786, 1.4689695,0.32439328,0.20580796
      0.99,0.45131128,0.15397547,0.45131128, 1.4892893,0.32945672,0.20760215
         1,0.45969884,0.15853048,0.45969884, 1.5097293,0.33452437, 0.2093499
      1.01,0.46814042,0.16316963,0.46814042, 1.5302902,0.33959536, 0.2110503
      1.02,0.47663519,0.16789347,0.47663519, 1.5509725,0.34466881,0.21270243
      1.03, 0.4851823,0.17270251, 0.4851823, 1.5717772,0.34974385,0.21430541
      1.04,0.49378089,0.17759728,0.49378089, 1.5927047,0.35481962,0.21585836
      1.05, 0.5024301, 0.1825783, 0.5024301, 1.6137559,0.35989526,0.21736042
      1.06,0.51112906,0.18764605,0.51112906, 1.6349315, 0.3649699,0.21881073
      1.07,0.51987691,0.19280104,0.51987691, 1.6562322,0.37004269,0.22020846
      1.08,0.52867278,0.19804375,0.52867278, 1.6776589,0.37511277,0.22155276
      1.09,0.53751578,0.20337465,0.53751578, 1.6992122, 0.3801793,0.22284283
       1.1,0.54640502,0.20879422,0.54640502, 1.7208931,0.38524144,0.22407786
      1.11,0.55533963, 0.2143029,0.55533963, 1.7427023,0.39029834,0.22525706
      1.12, 0.5643187,0.21990116, 0.5643187, 1.7646407,0.39534917,0.22637964
      1.13,0.57334134,0.22558942,0.57334134,  1.786709,0.40039309,0.22744485
      1.14,0.58240664,0.23136813,0.58240664, 1.8089083,0.40542928,0.22845191
      1.15, 0.5915137, 0.2372377, 0.5915137, 1.8312394, 0.4104569, 0.2294001
      1.16,0.60066161,0.24319854,0.60066161, 1.8537032,0.41547514,0.23028868
      1.17,0.60984946,0.24925106,0.60984946, 1.8763006,0.42048319,0.23111692
      1.18,0.61907632,0.25539566,0.61907632, 1.8990325,0.42548022,0.23188413
      1.19,0.62834127,0.26163271,0.62834127,    1.9219,0.43046544, 0.2325896
       1.2,0.63764339,0.26796261,0.63764339, 1.9449041,0.43543803,0.23323266
