"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0.857,3.49149,3.44146,3.44988,0
0.86,3.50633,3.44856,3.45699,0
0.863,3.52044,3.45562,3.46404,0
0.866,3.53357,3.46262,3.47105,0
0.869,3.54547,3.46958,3.478,0
0.872,3.55593,3.47648,3.4849,0
0.875,3.56472,3.48334,3.49176,0
0.878,3.57164,3.49014,3.49856,0
0.881,3.57651,3.49689,3.50532,0
0.884,3.57918,3.5036,3.51202,0
0.887,3.57949,3.51025,3.51867,0
0.89,3.57732,3.51685,3.52527,0
0.893,3.57259,3.5234,3.53182,0
0.896,3.56521,3.5299,3.53832,0
0.899,3.55514,3.53635,3.54477,0
0.902,3.54234,3.54224,3.55067,0.001
0.905,3.53441,3.5403,3.54872,0.01
0.908,3.52653,3.53243,3.54085,0.028
0.911,3.51474,3.52064,3.52906,0.055
0.914,3.50106,3.50696,3.51538,0.085
0.917,3.48653,3.49242,3.50084,0.115
0.92,3.47117,3.47706,3.48549,0.145
0.923,3.45504,3.46094,3.46936,0.175
0.926,3.4382,3.44409,3.45252,0.205
0.929,3.4207,3.4266,3.43502,0.235
0.932,3.40261,3.40851,3.41693,0.265
0.935,3.38401,3.3899,3.39833,0.295
0.938,3.36496,3.37086,3.37928,0.325
0.941,3.34556,3.35145,3.35987,0.355
0.944,3.32587,3.33177,3.34019,0.385
0.947,3.306,3.3119,3.32032,0.415
0.95,3.28602,3.29192,3.30034,0.445
0.953,3.26603,3.27193,3.28035,0.475
0.956,3.24611,3.25201,3.26043,0.505
0.959,3.22636,3.23225,3.24068,0.535
0.962,3.20685,3.21275,3.22117,0.565
0.965,3.18768,3.19357,3.20199,0.595
0.968,3.16892,3.17481,3.18323,0.625
0.971,3.15065,3.15654,3.16497,0.655
0.974,3.13295,3.13884,3.14726,0.685
0.977,3.11588,3.12177,3.13019,0.715
0.98,3.0995,3.1054,3.11382,0.745
0.983,3.08389,3.08978,3.0982,0.775
0.986,3.06907,3.07496,3.08339,0.805
0.989,3.0551,3.06099,3.06942,0.835
0.992,3.04201,3.04791,3.05633,0.865
0.995,3.02983,3.03572,3.04415,0.895
0.998,3.01858,3.02447,3.03289,0.925
1.002,3.00549,3.0107,3.01912,0.965
1.006,2.99765,2.99681,3.00523,1.005
1.01,2.99495,2.98283,2.99125,1.045
1.014,2.99724,2.96875,2.97717,1.085
1.018,3.0043,2.95457,2.96299,1.125
1.022,3.01583,2.9403,2.94872,1.165
1.026,3.03147,2.92593,2.93435,1.205
1.03,3.0508,2.91147,2.91989,1.245
1.034,3.07334,2.8969,2.90533,1.285
1.038,3.09855,2.88225,2.89067,1.325
1.042,3.12589,2.86749,2.87591,1.365
1.046,3.15474,2.85264,2.86106,1.405
1.05,3.18449,2.83769,2.84611,1.445
1.054,3.21451,2.82264,2.83106,1.485
1.058,3.24418,2.80749,2.81592,1.525
1.062,3.27288,2.79225,2.80067,1.565
1.066,3.29999,2.77691,2.78533,1.605
