"Time","TRes - Resulting Temperature","heatCapacitor_T - Absolute temperature in degree Celsius as output signal","switch_Controll - Connector of Boolean output signal"
4.64,308.825,35.6749,1
4.66,308.794,35.6437,1
4.68,308.762,35.6124,1
4.7,308.731,35.5813,1
4.72,308.7,35.5501,1
4.74,308.669,35.5191,1
4.76,308.658,35.5077,0
4.78,308.815,35.6648,0
4.8,308.972,35.8215,0
4.82,309.128,35.9779,0
4.84,309.284,36.1339,0
4.86,309.439,36.2895,0
4.88,309.595,36.4446,0
4.9,309.749,36.5994,0
4.92,309.904,36.7537,0
4.94,310.058,36.9077,0
4.96,310.211,37.0612,0
4.98,310.364,37.2143,0
5,310.517,37.367,0
5.02,310.669,37.5193,0
5.04,310.821,37.6712,0
5.06,310.973,37.8227,0
5.08,311.124,37.9738,0
5.1,311.275,38.1246,0
5.12,311.425,38.2749,0
5.14,311.575,38.4248,0
5.16,311.724,38.5744,0
5.18,311.873,38.7235,0
5.2,312.022,38.8722,0
5.22,312.171,39.0206,0
5.24,312.318,39.1685,0
5.26,312.466,39.316,0
5.28,312.613,39.4632,0
5.3,312.76,39.6099,0
5.32,312.906,39.7562,0
5.34,313.052,39.9022,0
5.36,313.056,39.9055,1
5.38,313.016,39.866,1
5.4,312.977,39.8265,1
5.42,312.937,39.7872,1
5.44,312.898,39.7478,1
5.46,312.859,39.7086,1
5.48,312.819,39.6694,1
5.5,312.78,39.6302,1
5.52,312.741,39.5911,1
5.54,312.702,39.552,1
5.56,312.663,39.513,1
5.58,312.624,39.4741,1
5.6,312.585,39.4352,1
5.62,312.546,39.3964,1
5.64,312.508,39.3578,1
5.66,312.469,39.3192,1
5.68,312.511,39.3609,0
5.7,312.658,39.5075,0
5.72,312.804,39.6537,0
5.74,312.95,39.7997,0
5.76,313.095,39.9454,0
5.78,313.241,40.0907,0
5.8,313.386,40.2356,0
5.82,313.53,40.3801,0
5.84,313.674,40.5244,0
5.86,313.818,40.6682,0
5.88,313.962,40.8116,0
5.9,314.105,40.9547,0
5.92,314.247,41.0974,0
5.94,314.39,41.2397,0
5.96,314.532,41.3817,0
5.98,314.673,41.5233,0
6,314.814,41.6644,0
6.02,314.955,41.8053,0
6.04,315.096,41.9457,0
6.06,315.236,42.0858,0
6.08,315.376,42.2255,0
6.1,315.515,42.3649,0
6.12,315.654,42.5039,0
6.14,315.793,42.6426,0
6.16,315.931,42.7809,0
6.18,316.069,42.9188,0
6.2,316.206,43.0563,0
6.22,316.344,43.1935,0
6.24,316.48,43.3303,0
6.26,316.617,43.4668,0
6.28,316.753,43.6028,0
6.3,316.889,43.7386,0
6.32,317.024,43.8739,0
6.34,317.159,44.0089,0
6.36,317.293,44.1435,0
6.38,317.328,44.1782,1
6.4,317.28,44.1301,1
6.42,317.232,44.0821,1
6.44,317.184,44.0342,1
6.46,317.136,43.9864,1
6.48,317.089,43.9386,1
6.5,317.041,43.8909,1
6.52,316.993,43.8433,1
6.54,316.946,43.7957,1
6.56,316.898,43.7482,1
6.58,316.851,43.7008,1
6.6,316.804,43.6535,1
6.62,316.756,43.6063,1
6.64,316.709,43.5592,1
6.66,316.662,43.5122,1
6.68,316.664,43.514,0
6.7,316.799,43.6495,0
6.72,316.935,43.7845,0
6.74,317.069,43.9193,0
6.76,317.204,44.0539,0
6.78,317.338,44.1882,0
6.8,317.472,44.3223,0
6.82,317.606,44.4559,0
6.84,317.739,44.5891,0
6.86,317.872,44.7221,0
6.88,318.005,44.8547,0
6.9,318.137,44.9871,0
6.92,318.269,45.119,0
6.94,318.401,45.2506,0
6.96,318.532,45.3819,0
6.98,318.663,45.5128,0
7,318.793,45.6434,0
7.02,318.924,45.7737,0
7.04,319.054,45.9036,0
7.06,319.183,46.0332,0
7.08,319.312,46.1624,0
7.1,319.441,46.2913,0
7.12,319.57,46.4199,0
7.14,319.698,46.5481,0
7.16,319.826,46.676,0
7.18,319.954,46.8035,0
7.2,320.081,46.9308,0
7.22,320.208,47.0577,0
7.24,320.334,47.1844,0
7.26,320.461,47.3106,0
7.28,320.587,47.4366,0
7.3,320.712,47.5622,0
7.32,320.837,47.6875,0
7.34,320.962,47.8125,0
7.36,321.087,47.9371,0
7.38,321.211,48.0614,0
7.4,321.335,48.1853,0
7.42,321.459,48.309,0
7.44,321.582,48.4323,0
7.46,321.705,48.5552,0
7.48,321.828,48.6779,0
7.5,321.95,48.8002,0
7.52,322.072,48.9222,0
7.54,322.194,49.0438,0
7.56,322.315,49.1651,0
7.58,322.264,49.1143,1
7.6,322.206,49.0563,1
7.62,322.149,48.9985,1
7.64,322.091,48.9408,1
7.66,322.033,48.8831,1
7.68,321.976,48.8256,1
7.7,321.918,48.7681,1
7.72,321.861,48.7106,1
7.74,321.803,48.6533,1
7.76,321.746,48.5961,1
7.78,321.689,48.5391,1
7.8,321.632,48.4821,1
7.82,321.575,48.4252,1
7.84,321.518,48.3685,1
7.86,321.596,48.4463,0
7.88,321.719,48.5689,0
7.9,321.841,48.691,0
7.92,321.963,48.8129,0
7.94,322.085,48.9346,0
7.96,322.206,49.0561,0
7.98,322.327,49.1772,0
8,322.448,49.2981,0
8.02,322.568,49.4184,0
8.04,322.688,49.5384,0
8.06,322.808,49.658,0
8.08,322.927,49.7773,0
8.1,323.046,49.8965,0
8.12,323.165,50.0154,0
8.14,323.284,50.1341,0
8.16,323.402,50.2524,0
8.18,323.52,50.3704,0
8.2,323.638,50.4881,0
8.22,323.756,50.6056,0
8.24,323.873,50.7228,0
8.26,323.99,50.8396,0
8.28,324.106,50.9562,0
8.3,324.111,50.9614,1
8.32,324.05,50.8998,1
8.34,323.988,50.8385,1
8.36,323.927,50.7772,1
8.38,323.866,50.716,1
8.4,323.805,50.6549,1
8.42,323.744,50.5939,1
8.44,323.683,50.533,1
8.46,323.622,50.4721,1
8.48,323.561,50.4114,1
8.5,323.501,50.3507,1
8.52,323.44,50.2901,1
8.54,323.38,50.2297,1
8.56,323.319,50.1694,1
8.58,323.259,50.1092,1
8.6,323.199,50.0491,1
8.62,323.139,49.9892,1
8.64,323.079,49.9293,1
8.66,323.02,49.8696,1
8.68,322.96,49.81,1
8.7,322.9,49.7504,1
8.72,322.841,49.691,1
8.74,322.782,49.6317,1
8.76,322.723,49.5725,1
8.78,322.663,49.5135,1
8.8,322.605,49.4545,1
8.82,322.546,49.3957,1
8.84,322.487,49.337,1
8.86,322.428,49.2784,1
8.88,322.37,49.2199,1
8.9,322.312,49.1615,1
8.92,322.253,49.1033,1
8.94,322.195,49.0451,1
8.96,322.177,49.027,0
8.98,322.298,49.148,0
9,322.419,49.2686,0
9.02,322.539,49.389,0
9.04,322.659,49.5092,0
9.06,322.779,49.6292,0
9.08,322.899,49.7489,0
9.1,323.018,49.8682,0
9.12,323.137,49.9872,0
9.14,323.256,50.106,0
9.16,323.374,50.2245,0
9.18,323.493,50.3426,0
9.2,323.61,50.4605,0
9.22,323.728,50.578,0
9.24,323.845,50.6953,0
9.26,323.962,50.8123,0
9.28,324.079,50.9289,0
9.3,324.126,50.9759,1
9.32,324.064,50.9142,1
9.34,324.003,50.8527,1
9.36,323.941,50.7913,1
9.38,323.88,50.73,1
9.4,323.819,50.6687,1
9.42,323.758,50.6076,1
9.44,323.696,50.5465,1
9.46,323.635,50.4855,1
9.48,323.575,50.4246,1
9.5,323.514,50.3639,1
9.52,323.453,50.3033,1
9.54,323.393,50.2429,1
9.56,323.332,50.1825,1
9.58,323.272,50.1222,1
9.6,323.212,50.062,1
9.62,323.152,50.002,1
9.64,323.092,49.9421,1
9.66,323.032,49.8823,1
9.68,322.973,49.8226,1
9.7,322.913,49.763,1
9.72,322.854,49.7036,1
9.74,322.794,49.6442,1
9.76,322.735,49.585,1
9.78,322.676,49.5259,1
9.8,322.617,49.4669,1
9.82,322.558,49.408,1
9.84,322.499,49.3493,1
9.86,322.441,49.2906,1
9.88,322.382,49.2321,1
9.9,322.324,49.1737,1
9.92,322.265,49.1154,1
9.94,322.207,49.0572,1
9.96,322.152,49.0017,0
9.98,322.273,49.1231,0
10,322.394,49.2442,0
