"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
0.6,0,0.5646424734,6,0,12,12,1,0,0,0,1,0,0.2955202067,0.5646424734,0,0.4259394651,0.09588510772,6
0.61,0,0.5728674601,6,0,12,12,1,0,0,0,1,0,0.5646424734,0.5728674601,0,0.4259394651,0.1129284947,6
0.62,0,0.5810351605,6,0,12,12,1,0,0,0,1,0,0.5646424734,0.5810351605,0,0.4259394651,0.1129284947,6
0.63,0,0.5891447579,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.5891447579,0,0.4259394651,0.1129284947,6
0.64,0,0.5971954414,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.5971954414,0,0.4259394651,0.1129284947,6
0.65,0,0.6051864057,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.6051864057,0,0.4259394651,0.1129284947,6
0.66,0,0.613116852,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.613116852,0,0.4259394651,0.1129284947,6
0.67,0,0.620985987,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.620985987,0,0.613116852,0.1129284947,6
0.68,0,0.628793024,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.628793024,0,0.613116852,0.1129284947,6
0.69,0,0.6365371822,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.6365371822,0,0.613116852,0.1129284947,6
0.7,0,0.6442176872,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.6442176872,0,0.613116852,0.1129284947,6
0.71,0,0.651833771,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.651833771,0,0.613116852,0.1288435374,6
0.72,0,0.659384672,7,0,12,12,1,0,0,0,1,0,0.5646424734,0.659384672,0,0.613116852,0.1288435374,6
0.73,0,0.666869635,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.666869635,0,0.613116852,0.1288435374,6
0.74,0,0.6742879116,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.6742879116,0,0.613116852,0.1288435374,6
0.75,0,0.68163876,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.68163876,0,0.613116852,0.1288435374,6
0.76,0,0.6889214451,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.6889214451,0,0.613116852,0.1288435374,6
0.77,0,0.6961352386,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.6961352386,0,0.613116852,0.1288435374,6
0.78,0,0.7032794192,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.7032794192,0,0.613116852,0.1288435374,6
0.79,0,0.7103532724,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.7103532724,0,0.613116852,0.1288435374,6
0.8,0,0.7173560909,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.7173560909,0,0.613116852,0.1288435374,6
0.81,0,0.7242871744,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.7242871744,0,0.613116852,0.1434712182,6
0.82,0,0.7311458297,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.7311458297,0,0.613116852,0.1434712182,6
0.83,0,0.7379313711,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.7379313711,0,0.613116852,0.1434712182,6
0.84,0,0.74464312,8,0,12,12,1,0,0,0,1,0,0.5646424734,0.74464312,0,0.613116852,0.1434712182,6
0.85,0,0.7512804051,9,0,12,12,1,0,0,0,1,0,0.5646424734,0.7512804051,0,0.613116852,0.1434712182,6
0.86,0,0.7578425629,9,0,12,12,1,0,0,0,1,0,0.5646424734,0.7578425629,0,0.613116852,0.1434712182,6
0.87,0,0.764328937,9,0,12,12,1,0,0,0,1,0,0.5646424734,0.764328937,0,0.613116852,0.1434712182,6
0.88,0,0.7707388789,9,0,12,12,1,0,0,0,1,0,0.5646424734,0.7707388789,0,0.613116852,0.1434712182,6
0.89,0,0.7770717475,9,0,12,12,1,0,0,0,1,0,0.5646424734,0.7770717475,0,0.7707388789,0.1434712182,6
0.9,0,0.7833269096,9,0,12,12,1,0,0,0,1,0,0.5646424734,0.7833269096,0,0.7707388789,0.1434712182,6
0.91,0,0.7895037397,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.7895037397,0,0.7707388789,0.1566653819,6
0.92,0,0.79560162,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.79560162,0,0.7707388789,0.1566653819,6
0.93,0,0.8016199409,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.8016199409,0,0.7707388789,0.1566653819,6
0.94,0,0.8075581004,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.8075581004,0,0.7707388789,0.1566653819,6
0.95,0,0.8134155048,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.8134155048,0,0.7707388789,0.1566653819,6
0.96,0,0.8191915683,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.8191915683,0,0.7707388789,0.1566653819,6
0.97,0,0.8248857133,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.8248857133,0,0.7707388789,0.1566653819,6
0.98,0,0.8304973705,9,0,12,12,1,0,0,0,1,0,0.7833269096,0.8304973705,0,0.7707388789,0.1566653819,6
0.99,0,0.8360259786,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8360259786,0,0.7707388789,0.1566653819,6
1,1,0.8414709848,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8414709848,1,0.7707388789,0.1566653819,6
1.01,1,0.8468318446,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8468318446,1,0.7707388789,0.168294197,6
1.02,1,0.8521080219,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8521080219,1,0.7707388789,0.168294197,6
1.03,1,0.8572989892,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8572989892,1,0.7707388789,0.168294197,6
1.04,1,0.8624042272,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8624042272,1,0.7707388789,0.168294197,6
1.05,1,0.8674232256,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8674232256,1,0.7707388789,0.168294197,6
1.06,1,0.8723554823,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8723554823,1,0.7707388789,0.168294197,6
1.07,1,0.8772005043,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8772005043,1,0.7707388789,0.168294197,6
1.08,1,0.8819578069,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8819578069,1,0.7707388789,0.168294197,6
1.09,1,0.8866269144,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8866269144,1,0.7707388789,0.168294197,6
1.1,1,0.8912073601,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8912073601,1,0.7707388789,0.168294197,6
1.11,1,0.8956986857,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.8956986857,1,0.8912073601,0.178241472,6
1.12,1,0.9001004422,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.9001004422,1,0.8912073601,0.178241472,6
1.13,1,0.9044121894,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.9044121894,1,0.8912073601,0.178241472,6
1.14,1,0.9086334961,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.9086334961,1,0.8912073601,0.178241472,6
1.15,1,0.9127639403,10,0,12,12,1,0,0,0,1,0,0.7833269096,0.9127639403,1,0.8912073601,0.178241472,6
1.16,1,0.9168031088,11,0,12,12,1,0,0,0,1,0,0.7833269096,0.9168031088,1,0.8912073601,0.178241472,6
1.17,1,0.9207505977,11,0,12,12,1,0,0,0,1,0,0.7833269096,0.9207505977,1,0.8912073601,0.178241472,6
1.18,1,0.9246060124,11,0,12,12,1,0,0,0,1,0,0.7833269096,0.9246060124,1,0.8912073601,0.178241472,6
1.19,1,0.9283689672,11,0,12,12,1,0,0,0,1,0,0.7833269096,0.9283689672,1,0.8912073601,0.178241472,6
1.2,1,0.932039086,11,0,12,12,1,0,0,0,1,0,0.7833269096,0.932039086,1,0.8912073601,0.178241472,6
1.21,1,0.9356160016,11,0,12,12,1,0,0,0,1,0,0.932039086,0.9356160016,1,0.8912073601,0.1864078172,6
1.22,1,0.9390993563,11,0,12,12,1,0,0,0,1,0,0.932039086,0.9390993563,1,0.8912073601,0.1864078172,6
1.23,1,0.9424888019,11,0,12,12,1,0,0,0,1,0,0.932039086,0.9424888019,1,0.8912073601,0.1864078172,6
1.24,1,0.9457839994,11,0,12,12,1,0,0,0,1,0,0.932039086,0.9457839994,1,0.8912073601,0.1864078172,6
