"time","FMU_Interface_OUT0_Engine_Power","FMU_Interface_OUT1_Engine_Speed","FMU_Interface_OUT2_Engine_Torque","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Fuel_Consumption"
0.69,5.5847,1066.6,50.99,0.38867,2.3941
0.7,5.581,1065.9,50.981,0.38879,2.3933
0.71,5.5774,1065.2,50.972,0.3889,2.3925
0.72,5.5738,1064.5,50.963,0.38901,2.3917
0.73,5.5702,1063.8,50.954,0.38912,2.3909
0.74,5.5666,1063.2,50.945,0.38923,2.3901
0.75,5.5631,1062.5,50.935,0.38934,2.3894
0.76,5.5597,1061.8,50.926,0.38945,2.3886
0.77,5.5562,1061.2,50.917,0.38955,2.3878
0.78,5.5528,1060.5,50.908,0.38966,2.3871
0.79,5.5495,1059.9,50.898,0.38976,2.3863
0.8,5.5461,1059.2,50.889,0.38987,2.3856
0.81,5.5428,1058.6,50.88,0.38997,2.3849
0.82,5.5395,1058,50.871,0.39007,2.3841
0.83,5.5363,1057.4,50.862,0.39017,2.3834
0.84,5.5331,1056.7,50.853,0.39027,2.3827
0.85,5.5299,1056.1,50.844,0.39037,2.382
0.86,5.5268,1055.5,50.835,0.39047,2.3813
0.87,5.5237,1055,50.827,0.39057,2.3807
0.88,5.5206,1054.4,50.818,0.39067,2.38
0.89,5.5176,1053.8,50.809,0.39076,2.3793
0.9,5.5146,1053.2,50.801,0.39086,2.3787
0.91,5.5116,1052.6,50.792,0.39095,2.3781
0.92,5.5087,1052.1,50.784,0.39104,2.3775
0.93,5.5058,1051.5,50.776,0.39113,2.3769
0.94,5.5029,1051,50.767,0.39123,2.3763
0.95,5.5001,1050.4,50.759,0.39132,2.3758
0.96,5.4972,1049.9,50.751,0.39141,2.3752
0.97,5.4944,1049.4,50.743,0.39149,2.3746
0.98,5.4917,1048.8,50.735,0.39158,2.3741
0.99,5.489,1048.3,50.728,0.39167,2.3735
1,5.4863,1047.8,50.72,0.39175,2.373
1.01,5.4836,1047.3,50.712,0.39184,2.3725
1.02,5.4809,1046.8,50.705,0.39192,2.3719
1.03,5.4783,1046.3,50.697,0.39201,2.3714
1.04,5.4757,1045.8,50.69,0.39209,2.3709
1.05,5.4732,1045.3,50.682,0.39217,2.3704
1.06,5.4707,1044.8,50.675,0.39225,2.3699
1.07,5.4681,1044.3,50.668,0.39233,2.3694
1.08,5.4657,1043.9,50.661,0.39241,2.3689
1.09,5.4632,1043.4,50.654,0.39249,2.3684
1.1,5.4608,1042.9,50.647,0.39257,2.3679
1.11,5.4584,1042.5,50.64,0.39265,2.3674
1.12,5.456,1042,50.633,0.39272,2.367
1.13,5.4537,1041.6,50.626,0.3928,2.3665
1.14,5.4513,1041.1,50.619,0.39287,2.366
1.15,5.449,1040.7,50.613,0.39295,2.3656
1.16,5.4468,1040.3,50.606,0.39302,2.3651
1.17,5.4445,1039.8,50.6,0.3931,2.3647
1.18,5.4423,1039.4,50.593,0.39317,2.3642
1.19,5.4401,1039,50.587,0.39324,2.3638
1.2,5.4379,1038.6,50.581,0.39331,2.3634
1.21,5.4358,1038.2,50.575,0.39338,2.3629
1.22,5.4336,1037.7,50.569,0.39345,2.3625
1.23,5.4315,1037.3,50.562,0.39352,2.3621
1.24,5.4294,1036.9,50.556,0.39359,2.3617
1.25,5.4274,1036.5,50.551,0.39365,2.3613
1.26,5.4253,1036.2,50.545,0.39372,2.3608
1.27,5.4233,1035.8,50.539,0.39379,2.3604
1.28,5.4213,1035.4,50.533,0.39385,2.36
1.29,5.4193,1035,50.527,0.39392,2.3597
1.3,5.4174,1034.6,50.522,0.39398,2.3593
1.31,5.4154,1034.3,50.516,0.39404,2.3589
1.32,5.4135,1033.9,50.511,0.39411,2.3585
1.33,5.4116,1033.5,50.505,0.39417,2.3581
1.34,5.4097,1033.2,50.5,0.39423,2.3577
1.35,5.4079,1032.8,50.494,0.39429,2.3574
1.36,5.406,1032.5,50.489,0.39435,2.357
1.37,5.4042,1032.1,50.484,0.39441,2.3566
1.38,5.4024,1031.8,50.479,0.39447,2.3563
1.39,5.4007,1031.5,50.474,0.39453,2.3559
1.4,5.3989,1031.1,50.469,0.39459,2.3556
1.41,5.3972,1030.8,50.464,0.39464,2.3552
1.42,5.3954,1030.5,50.459,0.3947,2.3549
1.43,5.3937,1030.1,50.454,0.39476,2.3546
1.44,5.3921,1029.8,50.449,0.39481,2.3542
1.45,5.3904,1029.5,50.444,0.39487,2.3539
1.46,5.3887,1029.2,50.439,0.39492,2.3536
1.47,5.3871,1028.9,50.435,0.39498,2.3532
1.48,5.3855,1028.6,50.43,0.39503,2.3529
1.49,5.3839,1028.2,50.425,0.39508,2.3526
1.5,5.3823,1027.9,50.421,0.39513,2.3523
1.51,5.3808,1027.6,50.416,0.39519,2.352
1.52,5.3792,1027.4,50.412,0.39524,2.3517
1.53,5.3777,1027.1,50.408,0.39529,2.3513
1.54,5.3762,1026.8,50.403,0.39534,2.351
1.55,5.3747,1026.5,50.399,0.39539,2.3507
1.56,5.3732,1026.2,50.395,0.39544,2.3505
1.57,5.3717,1025.9,50.39,0.39549,2.3502
1.58,5.3703,1025.6,50.386,0.39553,2.3499
1.59,5.3688,1025.4,50.382,0.39558,2.3496
1.6,5.3674,1025.1,50.378,0.39563,2.3493
1.61,5.366,1024.8,50.374,0.39568,2.349
1.62,5.3646,1024.6,50.37,0.39572,2.3487
1.63,5.3633,1024.3,50.366,0.39577,2.3485
1.64,5.3619,1024,50.362,0.39581,2.3482
1.65,5.3606,1023.8,50.358,0.39586,2.3479
1.66,5.3592,1023.5,50.355,0.3959,2.3477
1.67,5.3579,1023.3,50.351,0.39595,2.3474
1.68,5.3566,1023,50.347,0.39599,2.3471
1.69,5.3553,1022.8,50.343,0.39603,2.3469
1.7,5.354,1022.5,50.34,0.39608,2.3466
1.71,5.3528,1022.3,50.336,0.39612,2.3464
1.72,5.3515,1022.1,50.332,0.39616,2.3461
1.73,5.3503,1021.8,50.329,0.3962,2.3459
1.74,5.3491,1021.6,50.325,0.39624,2.3456
1.75,5.3479,1021.4,50.322,0.39628,2.3454
1.76,5.3467,1021.1,50.318,0.39632,2.3452
1.77,5.3455,1020.9,50.315,0.39636,2.3449
1.78,5.3443,1020.7,50.312,0.3964,2.3447
1.79,5.3432,1020.5,50.308,0.39644,2.3445
1.8,5.342,1020.3,50.305,0.39648,2.3442
1.81,5.3409,1020,50.302,0.39652,2.344
1.82,5.3398,1019.8,50.299,0.39656,2.3438
1.83,5.3387,1019.6,50.295,0.39659,2.3436
1.84,5.3376,1019.4,50.292,0.39663,2.3433
1.85,5.3365,1019.2,50.289,0.39667,2.3431
1.86,5.3354,1019,50.286,0.3967,2.3429
1.87,5.3344,1018.8,50.283,0.39674,2.3427
1.88,5.3333,1018.6,50.28,0.39677,2.3425
1.89,5.3323,1018.4,50.277,0.39681,2.3423
1.9,5.3312,1018.2,50.274,0.39684,2.3421
1.91,5.3302,1018,50.271,0.39688,2.3419
1.92,5.3292,1017.8,50.268,0.39691,2.3417
1.93,5.3282,1017.6,50.265,0.39695,2.3415
1.94,5.3272,1017.4,50.262,0.39698,2.3413
1.95,5.3263,1017.2,50.26,0.39701,2.3411
1.96,5.3253,1017.1,50.257,0.39705,2.3409
1.97,5.3243,1016.9,50.254,0.39708,2.3407
1.98,5.3234,1016.7,50.251,0.39711,2.3405
1.99,5.3225,1016.5,50.249,0.39714,2.3403
2,5.3215,1016.3,50.246,0.39717,2.3402
2.01,5.3206,1016.2,50.243,0.3972,2.34
2.02,5.3197,1016,50.241,0.39723,2.3398
2.03,5.3188,1015.8,50.238,0.39726,2.3396
2.04,5.318,1015.7,50.236,0.3973,2.3394
2.05,5.3171,1015.5,50.233,0.39732,2.3393
2.06,5.3162,1015.3,50.231,0.39735,2.3391
2.07,5.3154,1015.2,50.228,0.39738,2.3389
2.08,5.3145,1015,50.226,0.39741,2.3387
2.09,5.3137,1014.8,50.223,0.39744,2.3386
2.1,5.3128,1014.7,50.221,0.39747,2.3384
2.11,5.312,1014.5,50.219,0.3975,2.3383
2.12,5.3112,1014.4,50.216,0.39752,2.3381
2.13,5.3104,1014.2,50.214,0.39755,2.3379
2.14,5.3096,1014.1,50.212,0.39758,2.3378
2.15,5.3088,1013.9,50.21,0.39761,2.3376
2.16,5.308,1013.8,50.207,0.39763,2.3375
2.17,5.3073,1013.6,50.205,0.39766,2.3373
2.18,5.3065,1013.5,50.203,0.39768,2.3372
2.19,5.3058,1013.3,50.201,0.39771,2.337
2.2,5.305,1013.2,50.199,0.39774,2.3369
2.21,5.3043,1013,50.196,0.39776,2.3367
2.22,5.3036,1012.9,50.194,0.39779,2.3366
2.23,5.3028,1012.8,50.192,0.39781,2.3364
2.24,5.3021,1012.6,50.19,0.39783,2.3363
2.25,5.3014,1012.5,50.188,0.39786,2.3361
2.26,5.3007,1012.4,50.186,0.39788,2.336
2.27,5.3,1012.2,50.184,0.39791,2.3359
2.28,5.2993,1012.1,50.182,0.39793,2.3357
2.29,5.2987,1012,50.18,0.39795,2.3356
2.3,5.298,1011.8,50.178,0.39798,2.3355
2.31,5.2973,1011.7,50.176,0.398,2.3353
2.32,5.2967,1011.6,50.175,0.39802,2.3352
2.33,5.296,1011.5,50.173,0.39804,2.3351
2.34,5.2954,1011.3,50.171,0.39807,2.3349
2.35,5.2948,1011.2,50.169,0.39809,2.3348
2.36,5.2941,1011.1,50.167,0.39811,2.3347
2.37,5.2935,1011,50.165,0.39813,2.3346
2.38,5.2929,1010.9,50.164,0.39815,2.3344
2.39,5.2923,1010.8,50.162,0.39817,2.3343
2.4,5.2917,1010.6,50.16,0.39819,2.3342
2.41,5.2911,1010.5,50.158,0.39821,2.3341
2.42,5.2905,1010.4,50.157,0.39823,2.334
2.43,5.2899,1010.3,50.155,0.39825,2.3338
2.44,5.2893,1010.2,50.153,0.39827,2.3337
2.45,5.2888,1010.1,50.152,0.39829,2.3336
2.46,5.2882,1010,50.15,0.39831,2.3335
2.47,5.2876,1009.9,50.149,0.39833,2.3334
2.48,5.2871,1009.8,50.147,0.39835,2.3333
2.49,5.2866,1009.7,50.145,0.39837,2.3332
2.5,5.286,1009.6,50.144,0.39839,2.3331
2.51,5.2855,1009.5,50.142,0.39841,2.333
2.52,5.2849,1009.4,50.141,0.39842,2.3329
2.53,5.2844,1009.3,50.139,0.39844,2.3327
2.54,5.2839,1009.2,50.138,0.39846,2.3326
2.55,5.2834,1009.1,50.136,0.39848,2.3325
2.56,5.2829,1009,50.135,0.39849,2.3324
2.57,5.2824,1008.9,50.133,0.39851,2.3323
2.58,5.2819,1008.8,50.132,0.39853,2.3322
2.59,5.2814,1008.7,50.131,0.39855,2.3321
2.6,5.2809,1008.6,50.129,0.39856,2.332
2.61,5.2804,1008.5,50.128,0.39858,2.332
2.62,5.28,1008.4,50.127,0.3986,2.3319
2.63,5.2795,1008.3,50.125,0.39861,2.3318
2.64,5.279,1008.2,50.124,0.39863,2.3317
2.65,5.2786,1008.1,50.123,0.39864,2.3316
2.66,5.2781,1008,50.121,0.39866,2.3315
2.67,5.2777,1008,50.12,0.39868,2.3314
2.68,5.2772,1007.9,50.119,0.39869,2.3313
2.69,5.2768,1007.8,50.117,0.39871,2.3312
2.7,5.2763,1007.7,50.116,0.39872,2.3311
2.71,5.2759,1007.6,50.115,0.39874,2.3311
2.72,5.2755,1007.5,50.114,0.39875,2.331
2.73,5.2751,1007.5,50.112,0.39876,2.3309
2.74,5.2747,1007.4,50.111,0.39878,2.3308
2.75,5.2742,1007.3,50.11,0.39879,2.3307
2.76,5.2738,1007.2,50.109,0.39881,2.3306
2.77,5.2734,1007.2,50.108,0.39882,2.3306
2.78,5.273,1007.1,50.107,0.39884,2.3305
2.79,5.2726,1007,50.105,0.39885,2.3304
2.8,5.2722,1006.9,50.104,0.39886,2.3303
2.81,5.2719,1006.8,50.103,0.39888,2.3302
2.82,5.2715,1006.8,50.102,0.39889,2.3302
2.83,5.2711,1006.7,50.101,0.3989,2.3301
2.84,5.2707,1006.6,50.1,0.39892,2.33
2.85,5.2703,1006.6,50.099,0.39893,2.3299
2.86,5.27,1006.5,50.098,0.39894,2.3299
2.87,5.2696,1006.4,50.097,0.39895,2.3298
2.88,5.2693,1006.4,50.096,0.39897,2.3297
2.89,5.2689,1006.3,50.095,0.39898,2.3297
2.9,5.2686,1006.2,50.094,0.39899,2.3296
2.91,5.2682,1006.2,50.093,0.399,2.3295
2.92,5.2679,1006.1,50.092,0.39901,2.3294
2.93,5.2675,1006,50.091,0.39903,2.3294
2.94,5.2672,1006,50.09,0.39904,2.3293
2.95,5.2668,1005.9,50.089,0.39905,2.3292
2.96,5.2665,1005.8,50.088,0.39906,2.3292
2.97,5.2662,1005.8,50.087,0.39907,2.3291
2.98,5.2659,1005.7,50.086,0.39908,2.329
2.99,5.2656,1005.6,50.085,0.39909,2.329
3,5.2652,1005.6,50.084,0.39911,2.3289
3.01,5.2649,1005.5,50.083,0.39912,2.3289
3.02,5.2646,1005.5,50.082,0.39913,2.3288
3.03,5.2643,1005.4,50.081,0.39914,2.3287
3.04,5.264,1005.4,50.081,0.39915,2.3287
3.05,5.2637,1005.3,50.08,0.39916,2.3286
3.06,5.2634,1005.2,50.079,0.39917,2.3286
3.07,5.2631,1005.2,50.078,0.39918,2.3285
3.08,5.2628,1005.1,50.077,0.39919,2.3284
3.09,5.2625,1005.1,50.076,0.3992,2.3284
3.1,5.2623,1005,50.076,0.39921,2.3283
3.11,5.262,1005,50.075,0.39922,2.3283
3.12,5.2617,1004.9,50.074,0.39923,2.3282
3.13,5.2614,1004.9,50.073,0.39924,2.3282
3.14,5.2612,1004.8,50.072,0.39925,2.3281
3.15,5.2609,1004.8,50.072,0.39926,2.3281
3.16,5.2606,1004.7,50.071,0.39927,2.328
3.17,5.2604,1004.7,50.07,0.39927,2.3279
3.18,5.2601,1004.6,50.069,0.39928,2.3279
3.19,5.2598,1004.6,50.069,0.39929,2.3278
3.2,5.2596,1004.5,50.068,0.3993,2.3278
3.21,5.2593,1004.5,50.067,0.39931,2.3277
3.22,5.2591,1004.4,50.066,0.39932,2.3277
3.23,5.2588,1004.4,50.066,0.39933,2.3276
3.24,5.2586,1004.3,50.065,0.39934,2.3276
3.25,5.2584,1004.3,50.064,0.39934,2.3275
3.26,5.2581,1004.2,50.064,0.39935,2.3275
3.27,5.2579,1004.2,50.063,0.39936,2.3275
3.28,5.2576,1004.1,50.062,0.39937,2.3274
3.29,5.2574,1004.1,50.062,0.39938,2.3274
3.3,5.2572,1004,50.061,0.39939,2.3273
3.31,5.257,1004,50.06,0.39939,2.3273
3.32,5.2567,1004,50.06,0.3994,2.3272
3.33,5.2565,1003.9,50.059,0.39941,2.3272
3.34,5.2563,1003.9,50.058,0.39942,2.3271
3.35,5.2561,1003.8,50.058,0.39942,2.3271
3.36,5.2559,1003.8,50.057,0.39943,2.3271
3.37,5.2556,1003.8,50.057,0.39944,2.327
3.38,5.2554,1003.7,50.056,0.39945,2.327
3.39,5.2552,1003.7,50.055,0.39945,2.3269
3.4,5.255,1003.6,50.055,0.39946,2.3269
3.41,5.2548,1003.6,50.054,0.39947,2.3268
3.42,5.2546,1003.6,50.054,0.39947,2.3268
3.43,5.2544,1003.5,50.053,0.39948,2.3268
3.44,5.2542,1003.5,50.052,0.39949,2.3267
3.45,5.254,1003.4,50.052,0.3995,2.3267
3.46,5.2538,1003.4,50.051,0.3995,2.3266
3.47,5.2536,1003.4,50.051,0.39951,2.3266
3.48,5.2535,1003.3,50.05,0.39951,2.3266
3.49,5.2533,1003.3,50.05,0.39952,2.3265
3.5,5.2531,1003.3,50.049,0.39953,2.3265
3.51,5.2529,1003.2,50.049,0.39953,2.3265
3.52,5.2527,1003.2,50.048,0.39954,2.3264
3.53,5.2525,1003.2,50.048,0.39955,2.3264
3.54,5.2524,1003.1,50.047,0.39955,2.3264
3.55,5.2522,1003.1,50.047,0.39956,2.3263
3.56,5.252,1003.1,50.046,0.39957,2.3263
3.57,5.2519,1003,50.046,0.39957,2.3263
3.58,5.2517,1003,50.045,0.39958,2.3262
3.59,5.2515,1003,50.045,0.39958,2.3262
3.6,5.2513,1002.9,50.044,0.39959,2.3262
3.61,5.2512,1002.9,50.044,0.39959,2.3261
3.62,5.251,1002.9,50.043,0.3996,2.3261
3.63,5.2509,1002.8,50.043,0.39961,2.3261
3.64,5.2507,1002.8,50.042,0.39961,2.326
3.65,5.2505,1002.8,50.042,0.39962,2.326
3.66,5.2504,1002.8,50.041,0.39962,2.326
3.67,5.2502,1002.7,50.041,0.39963,2.3259
3.68,5.2501,1002.7,50.041,0.39963,2.3259
3.69,5.2499,1002.7,50.04,0.39964,2.3259
3.7,5.2498,1002.6,50.04,0.39964,2.3258
3.71,5.2496,1002.6,50.039,0.39965,2.3258
3.72,5.2495,1002.6,50.039,0.39965,2.3258
3.73,5.2493,1002.6,50.038,0.39966,2.3258
3.74,5.2492,1002.5,50.038,0.39966,2.3257
3.75,5.2491,1002.5,50.038,0.39967,2.3257
3.76,5.2489,1002.5,50.037,0.39967,2.3257
3.77,5.2488,1002.4,50.037,0.39968,2.3256
3.78,5.2486,1002.4,50.036,0.39968,2.3256
3.79,5.2485,1002.4,50.036,0.39969,2.3256
3.8,5.2484,1002.4,50.036,0.39969,2.3256
3.81,5.2482,1002.3,50.035,0.3997,2.3255
3.82,5.2481,1002.3,50.035,0.3997,2.3255
3.83,5.248,1002.3,50.035,0.39971,2.3255
3.84,5.2479,1002.3,50.034,0.39971,2.3255
3.85,5.2477,1002.2,50.034,0.39971,2.3254
3.86,5.2476,1002.2,50.033,0.39972,2.3254
3.87,5.2475,1002.2,50.033,0.39972,2.3254
3.88,5.2474,1002.2,50.033,0.39973,2.3254
3.89,5.2472,1002.1,50.032,0.39973,2.3253
3.9,5.2471,1002.1,50.032,0.39974,2.3253
3.91,5.247,1002.1,50.032,0.39974,2.3253
3.92,5.2469,1002.1,50.031,0.39974,2.3253
3.93,5.2468,1002.1,50.031,0.39975,2.3252
3.94,5.2467,1002,50.031,0.39975,2.3252
3.95,5.2465,1002,50.03,0.39976,2.3252
3.96,5.2464,1002,50.03,0.39976,2.3252
3.97,5.2463,1002,50.03,0.39976,2.3251
3.98,5.2462,1002,50.029,0.39977,2.3251
3.99,5.2461,1001.9,50.029,0.39977,2.3251
4,5.246,1001.9,50.029,0.39978,2.3251
4.01,5.2459,1001.9,50.028,0.39978,2.3251
4.02,5.2458,1001.9,50.028,0.39978,2.325
4.03,5.2457,1001.8,50.028,0.39979,2.325
4.04,5.2456,1001.8,50.028,0.39979,2.325
4.05,5.2455,1001.8,50.027,0.39979,2.325
4.06,5.2454,1001.8,50.027,0.3998,2.325
4.07,5.2453,1001.8,50.027,0.3998,2.3249
4.08,5.2452,1001.8,50.026,0.3998,2.3249
4.09,5.2451,1001.7,50.026,0.39981,2.3249
4.1,5.245,1001.7,50.026,0.39981,2.3249
4.11,5.2449,1001.7,50.026,0.39981,2.3249
4.12,5.2448,1001.7,50.025,0.39982,2.3248
4.13,5.2447,1001.7,50.025,0.39982,2.3248
4.14,5.2446,1001.6,50.025,0.39982,2.3248
4.15,5.2445,1001.6,50.024,0.39983,2.3248
4.16,5.2444,1001.6,50.024,0.39983,2.3248
4.17,5.2443,1001.6,50.024,0.39983,2.3248
4.18,5.2442,1001.6,50.024,0.39984,2.3247
4.19,5.2441,1001.6,50.023,0.39984,2.3247
4.2,5.2441,1001.5,50.023,0.39984,2.3247
4.21,5.244,1001.5,50.023,0.39985,2.3247
4.22,5.2439,1001.5,50.023,0.39985,2.3247
4.23,5.2438,1001.5,50.022,0.39985,2.3246
4.24,5.2437,1001.5,50.022,0.39986,2.3246
4.25,5.2436,1001.5,50.022,0.39986,2.3246
4.26,5.2436,1001.4,50.022,0.39986,2.3246
4.27,5.2435,1001.4,50.022,0.39986,2.3246
4.28,5.2434,1001.4,50.021,0.39987,2.3246
4.29,5.2433,1001.4,50.021,0.39987,2.3245
4.3,5.2432,1001.4,50.021,0.39987,2.3245
4.31,5.2432,1001.4,50.021,0.39987,2.3245
4.32,5.2431,1001.4,50.02,0.39988,2.3245
4.33,5.243,1001.3,50.02,0.39988,2.3245
4.34,5.2429,1001.3,50.02,0.39988,2.3245
4.35,5.2429,1001.3,50.02,0.39989,2.3245
4.36,5.2428,1001.3,50.02,0.39989,2.3244
4.37,5.2427,1001.3,50.019,0.39989,2.3244
4.38,5.2426,1001.3,50.019,0.39989,2.3244
4.39,5.2426,1001.3,50.019,0.3999,2.3244
4.4,5.2425,1001.2,50.019,0.3999,2.3244
4.41,5.2424,1001.2,50.019,0.3999,2.3244
4.42,5.2424,1001.2,50.018,0.3999,2.3244
4.43,5.2423,1001.2,50.018,0.39991,2.3243
4.44,5.2422,1001.2,50.018,0.39991,2.3243
4.45,5.2422,1001.2,50.018,0.39991,2.3243
4.46,5.2421,1001.2,50.018,0.39991,2.3243
4.47,5.242,1001.2,50.017,0.39991,2.3243
4.48,5.242,1001.1,50.017,0.39992,2.3243
4.49,5.2419,1001.1,50.017,0.39992,2.3243
4.5,5.2418,1001.1,50.017,0.39992,2.3243
4.51,5.2418,1001.1,50.017,0.39992,2.3242
4.52,5.2417,1001.1,50.016,0.39993,2.3242
4.53,5.2416,1001.1,50.016,0.39993,2.3242
4.54,5.2416,1001.1,50.016,0.39993,2.3242
4.55,5.2415,1001.1,50.016,0.39993,2.3242
4.56,5.2415,1001,50.016,0.39993,2.3242
4.57,5.2414,1001,50.016,0.39994,2.3242
4.58,5.2414,1001,50.015,0.39994,2.3242
4.59,5.2413,1001,50.015,0.39994,2.3241
4.6,5.2412,1001,50.015,0.39994,2.3241
4.61,5.2412,1001,50.015,0.39994,2.3241
4.62,5.2411,1001,50.015,0.39995,2.3241
4.63,5.2411,1001,50.015,0.39995,2.3241
4.64,5.241,1001,50.014,0.39995,2.3241
4.65,5.241,1001,50.014,0.39995,2.3241
4.66,5.2409,1000.9,50.014,0.39995,2.3241
4.67,5.2409,1000.9,50.014,0.39996,2.3241
4.68,5.2408,1000.9,50.014,0.39996,2.324
4.69,5.2408,1000.9,50.014,0.39996,2.324
4.7,5.2407,1000.9,50.014,0.39996,2.324
4.71,5.2407,1000.9,50.013,0.39996,2.324
4.72,5.2406,1000.9,50.013,0.39996,2.324
4.73,5.2406,1000.9,50.013,0.39997,2.324
4.74,5.2405,1000.9,50.013,0.39997,2.324
4.75,5.2405,1000.9,50.013,0.39997,2.324
4.76,5.2404,1000.8,50.013,0.39997,2.324
4.77,5.2404,1000.8,50.013,0.39997,2.324
4.78,5.2403,1000.8,50.012,0.39997,2.324
4.79,5.2403,1000.8,50.012,0.39998,2.3239
4.8,5.2402,1000.8,50.012,0.39998,2.3239
4.81,5.2402,1000.8,50.012,0.39998,2.3239
4.82,5.2401,1000.8,50.012,0.39998,2.3239
4.83,5.2401,1000.8,50.012,0.39998,2.3239
4.84,5.24,1000.8,50.012,0.39998,2.3239
4.85,5.24,1000.8,50.012,0.39999,2.3239
4.86,5.24,1000.8,50.011,0.39999,2.3239
4.87,5.2399,1000.8,50.011,0.39999,2.3239
4.88,5.2399,1000.7,50.011,0.39999,2.3239
4.89,5.2398,1000.7,50.011,0.39999,2.3239
4.9,5.2398,1000.7,50.011,0.39999,2.3238
4.91,5.2398,1000.7,50.011,0.39999,2.3238
4.92,5.2397,1000.7,50.011,0.4,2.3238
4.93,5.2397,1000.7,50.011,0.4,2.3238
4.94,5.2396,1000.7,50.01,0.4,2.3238
4.95,5.2396,1000.7,50.01,0.4,2.3238
4.96,5.2396,1000.7,50.01,0.4,2.3238
4.97,5.2395,1000.7,50.01,0.4,2.3238
4.98,5.2395,1000.7,50.01,0.4,2.3238
4.99,5.2394,1000.7,50.01,0.4,2.3238
5,5.2394,1000.7,50.01,0.40001,2.3238
