"time","h","der_h","v","der_v"
0.41,0.177481,-4.0221,-4.0221,-9.81
0.42,0.136818,-4.1202,-4.1202,-9.81
0.43,0.0951747,-4.2183,-4.2183,-9.81
0.44,0.0525502,-4.3164,-4.3164,-9.81
0.45,0.00894475,-4.4145,-4.4145,-9.81
0.46,0.0172411,3.04208,3.04208,-9.81
0.47,0.0472204,2.94398,2.94398,-9.81
0.48,0.0762188,2.84588,2.84588,-9.81
0.49,0.104236,2.74778,2.74778,-9.81
0.5,0.131273,2.64968,2.64968,-9.81
0.51,0.157328,2.55158,2.55158,-9.81
0.52,0.182402,2.45348,2.45348,-9.81
0.53,0.206496,2.35538,2.35538,-9.81
0.54,0.229608,2.25728,2.25728,-9.81
0.55,0.251739,2.15918,2.15918,-9.81
0.56,0.27289,2.06108,2.06108,-9.81
0.57,0.293059,1.96298,1.96298,-9.81
0.58,0.312247,1.86488,1.86488,-9.81
0.59,0.330455,1.76678,1.76678,-9.81
0.6,0.347681,1.66868,1.66868,-9.81
0.61,0.363926,1.57058,1.57058,-9.81
0.62,0.379191,1.47248,1.47248,-9.81
0.63,0.393474,1.37438,1.37438,-9.81
0.64,0.406777,1.27628,1.27628,-9.81
0.65,0.419098,1.17818,1.17818,-9.81
0.66,0.430438,1.08008,1.08008,-9.81
0.67,0.440798,0.981981,0.981981,-9.81
0.68,0.450176,0.883881,0.883881,-9.81
0.69,0.458573,0.785781,0.785781,-9.81
0.7,0.46599,0.687681,0.687681,-9.81
0.71,0.472425,0.589581,0.589581,-9.81
0.72,0.477879,0.491481,0.491481,-9.81
0.73,0.482353,0.393381,0.393381,-9.81
0.74,0.485845,0.295281,0.295281,-9.81
0.75,0.488357,0.197181,0.197181,-9.81
0.76,0.489887,0.099081,0.099081,-9.81
0.77,0.490436,0.000981,0.000981,-9.81
0.78,0.490005,-0.097119,-0.097119,-9.81
0.79,0.488592,-0.195219,-0.195219,-9.81
0.8,0.486198,-0.293319,-0.293319,-9.81
0.81,0.482824,-0.391419,-0.391419,-9.81
0.82,0.478468,-0.489519,-0.489519,-9.81
0.83,0.473131,-0.587619,-0.587619,-9.81
0.84,0.466814,-0.685719,-0.685719,-9.81
0.85,0.459515,-0.783819,-0.783819,-9.81
0.86,0.451235,-0.881919,-0.881919,-9.81
0.87,0.441975,-0.980019,-0.980019,-9.81
0.88,0.431733,-1.07812,-1.07812,-9.81
0.89,0.420511,-1.17622,-1.17622,-9.81
0.9,0.408307,-1.27432,-1.27432,-9.81
0.91,0.395122,-1.37242,-1.37242,-9.81
0.92,0.380957,-1.47052,-1.47052,-9.81
0.93,0.36581,-1.56862,-1.56862,-9.81
0.94,0.349682,-1.66672,-1.66672,-9.81
0.95,0.332574,-1.76482,-1.76482,-9.81
0.96,0.314484,-1.86292,-1.86292,-9.81
0.97,0.295413,-1.96102,-1.96102,-9.81
0.98,0.275362,-2.05912,-2.05912,-9.81
0.99,0.254329,-2.15722,-2.15722,-9.81
1,0.232316,-2.25532,-2.25532,-9.81
1.01,0.209321,-2.35342,-2.35342,-9.81
1.02,0.185345,-2.45152,-2.45152,-9.81
1.03,0.160389,-2.54962,-2.54962,-9.81
1.04,0.134451,-2.64772,-2.64772,-9.81
1.05,0.107532,-2.74582,-2.74582,-9.81
1.06,0.0796327,-2.84392,-2.84392,-9.81
1.07,0.050752,-2.94202,-2.94202,-9.81
1.08,0.0208904,-3.04012,-3.04012,-9.81
1.09,0.00590257,2.14672,2.14672,-9.81
1.1,0.0269283,2.04862,2.04862,-9.81
1.11,0.0469731,1.95052,1.95052,-9.81
1.12,0.0660369,1.85242,1.85242,-9.81
1.13,0.0841197,1.75432,1.75432,-9.81
1.14,0.101221,1.65622,1.65622,-9.81
1.15,0.117342,1.55812,1.55812,-9.81
1.16,0.132482,1.46002,1.46002,-9.81
1.17,0.146641,1.36192,1.36192,-9.81
1.18,0.159819,1.26382,1.26382,-9.81
1.19,0.172015,1.16572,1.16572,-9.81
1.2,0.183231,1.06762,1.06762,-9.81
1.21,0.193466,0.969522,0.969522,-9.81
1.22,0.20272,0.871422,0.871422,-9.81
1.23,0.210992,0.773322,0.773322,-9.81
1.24,0.218284,0.675222,0.675222,-9.81
1.25,0.224595,0.577122,0.577122,-9.81
1.26,0.229925,0.479022,0.479022,-9.81
1.27,0.234273,0.380922,0.380922,-9.81
1.28,0.237641,0.282822,0.282822,-9.81
1.29,0.240028,0.184722,0.184722,-9.81
1.3,0.241434,0.0866223,0.0866223,-9.81
1.31,0.241859,-0.0114777,-0.0114777,-9.81
1.32,0.241302,-0.109578,-0.109578,-9.81
1.33,0.239765,-0.207678,-0.207678,-9.81
1.34,0.237247,-0.305778,-0.305778,-9.81
1.35,0.233748,-0.403878,-0.403878,-9.81
1.36,0.229267,-0.501978,-0.501978,-9.81
1.37,0.223806,-0.600078,-0.600078,-9.81
1.38,0.217364,-0.698178,-0.698178,-9.81
1.39,0.209941,-0.796278,-0.796278,-9.81
1.4,0.201537,-0.894378,-0.894378,-9.81
1.41,0.192151,-0.992478,-0.992478,-9.81
1.42,0.181785,-1.09058,-1.09058,-9.81
1.43,0.170438,-1.18868,-1.18868,-9.81
1.44,0.15811,-1.28678,-1.28678,-9.81
1.45,0.1448,-1.38488,-1.38488,-9.81
1.46,0.13051,-1.48298,-1.48298,-9.81
1.47,0.115239,-1.58108,-1.58108,-9.81
1.48,0.0989867,-1.67918,-1.67918,-9.81
1.49,0.0817535,-1.77728,-1.77728,-9.81
1.5,0.0635393,-1.87538,-1.87538,-9.81
1.51,0.044344,-1.97348,-1.97348,-9.81
1.52,0.0241678,-2.07158,-2.07158,-9.81
1.53,0.00301058,-2.16968,-2.16968,-9.81
1.54,0.0106468,1.45403,1.45403,-9.81
1.55,0.0247456,1.35593,1.35593,-9.81
1.56,0.0378635,1.25783,1.25783,-9.81
1.57,0.0500003,1.15973,1.15973,-9.81
1.58,0.0611561,1.06163,1.06163,-9.81
1.59,0.071331,0.963528,0.963528,-9.81
1.6,0.0805248,0.865428,0.865428,-9.81
1.61,0.0887376,0.767328,0.767328,-9.81
1.62,0.0959695,0.669228,0.669228,-9.81
1.63,0.10222,0.571128,0.571128,-9.81
1.64,0.10749,0.473028,0.473028,-9.81
1.65,0.111779,0.374928,0.374928,-9.81
1.66,0.115087,0.276828,0.276828,-9.81
1.67,0.117414,0.178728,0.178728,-9.81
1.68,0.118759,0.0806284,0.0806284,-9.81
1.69,0.119124,-0.0174716,-0.0174716,-9.81
1.7,0.118508,-0.115572,-0.115572,-9.81
1.71,0.116911,-0.213672,-0.213672,-9.81
1.72,0.114333,-0.311772,-0.311772,-9.81
1.73,0.110774,-0.409872,-0.409872,-9.81
1.74,0.106233,-0.507972,-0.507972,-9.81
1.75,0.100712,-0.606072,-0.606072,-9.81
1.76,0.0942102,-0.704172,-0.704172,-9.81
1.77,0.086727,-0.802272,-0.802272,-9.81
1.78,0.0782628,-0.900372,-0.900372,-9.81
1.79,0.0688177,-0.998472,-0.998472,-9.81
1.8,0.0583915,-1.09657,-1.09657,-9.81
1.81,0.0469843,-1.19467,-1.19467,-9.81
1.82,0.0345962,-1.29277,-1.29277,-9.81
1.83,0.021227,-1.39087,-1.39087,-9.81
1.84,0.00687682,-1.48897,-1.48897,-9.81
1.85,0.00461884,1.02757,1.02757,-9.81
1.86,0.014453,0.929465,0.929465,-9.81
1.87,0.0233062,0.831365,0.831365,-9.81
1.88,0.0311784,0.733265,0.733265,-9.81
1.89,0.0380696,0.635165,0.635165,-9.81
1.9,0.0439798,0.537065,0.537065,-9.81
1.91,0.048909,0.438965,0.438965,-9.81
1.92,0.0528572,0.340865,0.340865,-9.81
1.93,0.0558244,0.242765,0.242765,-9.81
1.94,0.0578107,0.144665,0.144665,-9.81
1.95,0.0588159,0.0465651,0.0465651,-9.81
1.96,0.0588401,-0.0515349,-0.0515349,-9.81
1.97,0.0578833,-0.149635,-0.149635,-9.81
1.98,0.0559455,-0.247735,-0.247735,-9.81
1.99,0.0530267,-0.345835,-0.345835,-9.81
2,0.0491269,-0.443935,-0.443935,-9.81
2.01,0.0442461,-0.542035,-0.542035,-9.81
2.02,0.0383843,-0.640135,-0.640135,-9.81
2.03,0.0315415,-0.738235,-0.738235,-9.81
2.04,0.0237177,-0.836335,-0.836335,-9.81
2.05,0.0149129,-0.934435,-0.934435,-9.81
2.06,0.00512707,-1.03253,-1.03253,-9.81
2.07,0.00355374,0.708059,0.708059,-9.81
2.08,0.0101929,0.609959,0.609959,-9.81
2.09,0.015851,0.511859,0.511859,-9.81
2.1,0.0205282,0.413759,0.413759,-9.81
2.11,0.0242243,0.315659,0.315659,-9.81
2.12,0.0269395,0.217559,0.217559,-9.81
2.13,0.0286736,0.119459,0.119459,-9.81
2.14,0.0294267,0.0213594,0.0213594,-9.81
2.15,0.0291989,-0.0767406,-0.0767406,-9.81
2.16,0.02799,-0.174841,-0.174841,-9.81
2.17,0.0258002,-0.272941,-0.272941,-9.81
2.18,0.0226293,-0.371041,-0.371041,-9.81
2.19,0.0184775,-0.469141,-0.469141,-9.81
2.2,0.0133446,-0.567241,-0.567241,-9.81
2.21,0.00723076,-0.665341,-0.665341,-9.81
2.22,0.0001359,-0.763441,-0.763441,-9.81
2.23,0.00389078,0.452985,0.452985,-9.81
2.24,0.00797918,0.354885,0.354885,-9.81
2.25,0.0110866,0.256785,0.256785,-9.81
2.26,0.013213,0.158685,0.158685,-9.81
2.27,0.0143584,0.0605854,0.0605854,-9.81
2.28,0.0145228,-0.0375146,-0.0375146,-9.81
2.29,0.0137062,-0.135615,-0.135615,-9.81
2.3,0.0119086,-0.233715,-0.233715,-9.81
2.31,0.00913001,-0.331815,-0.331815,-9.81
2.32,0.00537042,-0.429915,-0.429915,-9.81
2.33,0.00062982,-0.528015,-0.528015,-9.81
2.34,0.00235605,0.304864,0.304864,-9.81
2.35,0.00496325,0.206764,0.206764,-9.81
2.36,0.00658944,0.108664,0.108664,-9.81
2.37,0.00723463,0.0105642,0.0105642,-9.81
2.38,0.00689882,-0.0875358,-0.0875358,-9.81
2.39,0.00558201,-0.185636,-0.185636,-9.81
2.4,0.00328421,-0.283736,-0.283736,-9.81
2.41,5.39889e-006,-0.381836,-0.381836,-9.81
2.42,0.00173777,0.185862,0.185862,-9.81
2.43,0.00315494,0.0877621,0.0877621,-9.81
2.44,0.00359111,-0.0103379,-0.0103379,-9.81
2.45,0.00304628,-0.108438,-0.108438,-9.81
2.46,0.00152045,-0.206538,-0.206538,-9.81
2.47,0.000417185,0.163216,0.163216,-9.81
2.48,0.00160789,0.0651156,0.0651156,-9.81
2.49,0.0018176,-0.0329844,-0.0329844,-9.81
2.5,0.0010463,-0.131084,-0.131084,-9.81
2.51,0.000312755,0.110398,0.110398,-9.81
2.52,0.000975286,0.0122981,0.0122981,-9.81
2.53,0.000656817,-0.0858019,-0.0858019,-9.81
2.54,0.000341049,0.0620233,0.0620233,-9.81
2.55,0.000519832,-0.0360767,-0.0360767,-9.81
2.56,0.000107108,0.0605697,0.0605697,-9.81
2.57,0.000271355,-0.0375303,-0.0375303,-9.81
2.58,0.000190534,0.0115562,0.0115562,-9.81
2.59,-4.90593e-006,0.0439036,0.0439036,-9.81
2.6,-7.31954e-006,0.0379375,0.0379375,-9.81
2.61,1.62043e-005,0.0254368,0.0254368,-9.81
2.62,4.96116e-005,0.000833252,0.000833252,-9.81
2.63,8.2429e-006,-0.0319753,-0.0319753,-9.81
2.64,2.03839e-005,0.00797421,0.00797421,-9.81
2.65,-2.24129e-005,0.0258818,0.0258818,-9.81
2.66,1.92067e-005,-0.0161552,-0.0161552,-9.81
2.67,1.77265e-005,0.00405213,0.00405213,-9.81
2.68,-2.42859e-005,0.0239599,0.0239599,-9.81
2.69,-1.2871e-005,0.0220409,0.0220409,-9.81
2.7,-4.33469e-006,0.0211005,0.0211005,-9.81
2.71,2.1985e-005,-0.0128084,-0.0128084,-9.81
2.72,1.64216e-005,0.0056921,0.0056921,-9.81
2.73,1.75442e-005,0.00808653,0.00808653,-9.81
2.74,-2.52751e-005,0.0259368,0.0259368,-9.81
2.75,1.65206e-005,-0.0161938,-0.0161938,-9.81
2.76,1.50874e-005,0.00403326,0.00403326,-9.81
2.77,2.2517e-005,0.0022706,0.0022706,-9.81
2.78,2.91005e-005,0.00140689,0.00140689,-9.81
2.79,-1.23829e-005,0.0226638,0.0226638,-9.81
2.8,1.89392e-005,-0.0139026,-0.0139026,-9.81
2.81,1.47108e-005,0.0051559,0.0051559,-9.81
2.82,1.53026e-005,0.00782379,0.00782379,-9.81
2.83,1.85355e-005,0.00913106,0.00913106,-9.81
2.84,-2.44927e-005,0.0264486,0.0264486,-9.81
2.85,1.89409e-005,-0.016552,-0.016552,-9.81
2.86,1.79448e-005,0.0038577,0.0038577,-9.81
2.87,-2.40288e-005,0.0238647,0.0238647,-9.81
2.88,-1.27568e-005,0.0219942,0.0219942,-9.81
2.89,-4.29049e-006,0.0210777,0.0210777,-9.81
2.9,2.1956e-005,-0.0127924,-0.0127924,-9.81
2.91,1.63731e-005,0.00569994,0.00569994,-9.81
2.92,1.75034e-005,0.00809037,0.00809037,-9.81
2.93,-2.53166e-005,0.0259387,0.0259387,-9.81
2.94,1.64851e-005,-0.0161951,-0.0161951,-9.81
2.95,1.50535e-005,0.00403261,0.00403261,-9.81
2.96,2.24828e-005,0.00227028,0.00227028,-9.81
2.97,2.90661e-005,0.00140674,0.00140674,-9.81
2.98,-1.24172e-005,0.0226637,0.0226637,-9.81
2.99,1.89046e-005,-0.0139026,-0.0139026,-9.81
3,1.46762e-005,0.00515593,0.00515593,-9.81
3.01,1.52679e-005,0.00782381,0.00782381,-9.81
3.02,1.85009e-005,0.00913106,0.00913106,-9.81
3.03,-2.45273e-005,0.0264486,0.0264486,-9.81
3.04,1.89063e-005,-0.016552,-0.016552,-9.81
3.05,1.79102e-005,0.0038577,0.0038577,-9.81
3.06,-2.40634e-005,0.0238647,0.0238647,-9.81
3.07,-1.27914e-005,0.0219942,0.0219942,-9.81
3.08,-4.32507e-006,0.0210777,0.0210777,-9.81
3.09,2.19214e-005,-0.0127924,-0.0127924,-9.81
3.1,1.63385e-005,0.00569994,0.00569994,-9.81
3.11,1.74688e-005,0.00809037,0.00809037,-9.81
3.12,-2.53512e-005,0.0259387,0.0259387,-9.81
3.13,1.64506e-005,-0.0161951,-0.0161951,-9.81
3.14,1.50189e-005,0.00403261,0.00403261,-9.81
3.15,2.24482e-005,0.00227028,0.00227028,-9.81
3.16,2.90315e-005,0.00140674,0.00140674,-9.81
3.17,-1.24518e-005,0.0226637,0.0226637,-9.81
3.18,1.887e-005,-0.0139026,-0.0139026,-9.81
3.19,1.46416e-005,0.00515593,0.00515593,-9.81
3.2,1.52334e-005,0.00782381,0.00782381,-9.81
3.21,1.84663e-005,0.00913106,0.00913106,-9.81
3.22,-2.45619e-005,0.0264486,0.0264486,-9.81
3.23,1.88717e-005,-0.016552,-0.016552,-9.81
3.24,1.78756e-005,0.0038577,0.0038577,-9.81
3.25,-2.40979e-005,0.0238647,0.0238647,-9.81
3.26,-1.28259e-005,0.0219942,0.0219942,-9.81
3.27,-4.35965e-006,0.0210777,0.0210777,-9.81
3.28,2.18868e-005,-0.0127924,-0.0127924,-9.81
3.29,1.63039e-005,0.00569994,0.00569994,-9.81
3.3,1.74343e-005,0.00809037,0.00809037,-9.81
3.31,-2.53858e-005,0.0259387,0.0259387,-9.81
3.32,1.6416e-005,-0.0161951,-0.0161951,-9.81
3.33,1.49844e-005,0.00403261,0.00403261,-9.81
3.34,2.24136e-005,0.00227028,0.00227028,-9.81
3.35,2.8997e-005,0.00140674,0.00140674,-9.81
3.36,-1.24864e-005,0.0226637,0.0226637,-9.81
3.37,1.88355e-005,-0.0139026,-0.0139026,-9.81
3.38,1.4607e-005,0.00515593,0.00515593,-9.81
3.39,1.51988e-005,0.00782381,0.00782381,-9.81
3.4,1.84318e-005,0.00913106,0.00913106,-9.81
3.41,-2.45965e-005,0.0264486,0.0264486,-9.81
3.42,1.88371e-005,-0.016552,-0.016552,-9.81
3.43,1.7841e-005,0.0038577,0.0038577,-9.81
3.44,2.51863e-005,0.00218457,0.00218457,-9.81
3.45,-1.64526e-005,0.0230448,0.0230448,-9.81
3.46,1.60889e-005,-0.0141694,-0.0141694,-9.81
3.47,2.20076e-005,-0.0116518,-0.0116518,-9.81
3.48,1.50332e-005,0.00625882,0.00625882,-9.81
3.49,1.67168e-005,0.00836422,0.00836422,-9.81
3.5,-2.61581e-005,0.0260729,0.0260729,-9.81
3.51,1.60731e-005,-0.016289,-0.016289,-9.81
3.52,2.03566e-005,-0.0176935,-0.0176935,-9.81
3.53,2.07531e-005,0.00329838,0.00329838,-9.81
3.54,-2.11086e-005,0.0235906,0.0235906,-9.81
3.55,-1.02477e-005,0.0218599,0.0218599,-9.81
3.56,1.8502e-005,-0.0133399,-0.0133399,-9.81
3.57,2.43958e-005,-0.0112454,-0.0112454,-9.81
3.58,1.69255e-005,0.00645797,0.00645797,-9.81
3.59,-2.55681e-005,0.0251388,0.0251388,-9.81
3.6,1.36741e-005,-0.0156352,-0.0156352,-9.81
3.61,1.76045e-005,-0.0173731,-0.0173731,-9.81
3.62,1.76101e-005,0.00345537,0.00345537,-9.81
3.63,2.47623e-005,0.00198743,0.00198743,-9.81
3.64,-1.68372e-005,0.0229482,0.0229482,-9.81
3.65,-6.93984e-006,0.0215451,0.0215451,-9.81
3.66,2.08026e-005,-0.0131196,-0.0131196,-9.81
3.67,1.56189e-005,0.0055396,0.0055396,-9.81
3.68,1.65905e-005,0.0080118,0.0080118,-9.81
3.69,-2.62138e-005,0.0259002,0.0259002,-9.81
3.7,1.54647e-005,-0.0161681,-0.0161681,-9.81
3.71,1.96829e-005,-0.0176343,-0.0176343,-9.81
3.72,2.00072e-005,0.0033274,0.0033274,-9.81
3.73,-2.18603e-005,0.0236048,0.0236048,-9.81
3.74,-1.09781e-005,0.0218669,0.0218669,-9.81
3.75,1.77939e-005,-0.0133448,-0.0133448,-9.81
3.76,2.36878e-005,-0.0112478,-0.0112478,-9.81
3.77,1.62205e-005,0.0064568,0.0064568,-9.81
3.78,1.81001e-005,0.00846123,0.00846123,-9.81
3.79,-2.47941e-005,0.0261204,0.0261204,-9.81
3.8,1.75892e-005,-0.0163223,-0.0163223,-9.81
3.81,1.63128e-005,0.00397028,0.00397028,-9.81
3.82,2.37121e-005,0.00223974,0.00223974,-9.81
3.83,-1.79379e-005,0.0230719,0.0230719,-9.81
3.84,-7.85505e-006,0.0216057,0.0216057,-9.81
3.85,2.00812e-005,-0.013162,-0.013162,-9.81
3.86,1.49493e-005,0.00551882,0.00551882,-9.81
3.87,1.59003e-005,0.00800162,0.00800162,-9.81
3.88,-2.6902e-005,0.0258952,0.0258952,-9.81
3.89,1.47606e-005,-0.0161646,-0.0161646,-9.81
3.9,1.89769e-005,-0.0176326,-0.0176326,-9.81
3.91,1.92991e-005,0.00332824,0.00332824,-9.81
3.92,2.63902e-005,0.00192514,0.00192514,-9.81
3.93,-1.51968e-005,0.0229177,0.0229177,-9.81
3.94,1.69379e-005,-0.0140804,-0.0140804,-9.81
3.95,2.28539e-005,-0.0116082,-0.0116082,-9.81
3.96,1.58263e-005,0.00628018,0.00628018,-9.81
3.97,1.75311e-005,0.00837469,0.00837469,-9.81
3.98,-2.53459e-005,0.026078,0.026078,-9.81
3.99,1.69017e-005,-0.0162926,-0.0162926,-9.81
4,1.55891e-005,0.00398483,0.00398483,-9.81
