"time","J1.der(w)","clutch1.der(phi_rel)","clutch1.der(w_rel)","J2.der(phi)","clutch2.der(phi_rel)","clutch2.der(w_rel)","J1.w","J1.der(phi)","clutch1.phi_rel","clutch1.w_rel","clutch1.w_relfric","J2.phi","clutch2.phi_rel","clutch2.w_rel","clutch2.w_relfric","J1.phi","J1.flange_b.phi","clutch1.flange_a.phi","J1.flange_a.phi","torque.flange.phi","J1.a","clutch1.a_rel","clutch1.a_relfric","clutch1.fn","clutch1.f_normalized","sin2.y","clutch1.flange_b.tau","clutch1.tau0","clutch1.tau0_max","clutch1.sa","clutch1.lossPower","J2.w","J2.a","J2.der(w)","J2.der(phi,2)","clutch2.a_rel","clutch2.a_relfric","clutch2.fn","step1.y","clutch2.flange_b.tau","J3.flange_a.tau","clutch2.tau0","clutch2.tau0_max","clutch2.sa","clutch2.lossPower","J3.phi","J3.w","J3.a","J3.der(w)","clutch3.a_rel","clutch3.a_relfric","clutch3.fn","clutch3.flange_b.tau","clutch3.tau","clutch3.flange_a.tau","J4.flange_a.tau","J3.flange_b.tau","clutch3.tau0","clutch3.tau0_max","clutch3.sa","clutch3.lossPower","J4.phi","J4.w","J4.der(phi)","fixed.flange.tau","torque.tau","J1.der(phi,2)","clutch1.der(phi_rel,2)","clutch2.der(phi_rel,2)","clutch3.der(phi_rel,2)","clutch2.mode","clutch2.free"
0.03,-1.903021751,-9.531323553,11.89621345,0.2999332994,-0.2999332994,-9.993191695,9.831256852,9.831256852,-0.2923537655,-9.531323553,-9.531323553,0.00449951073,-0.00449951073,-0.2999332994,-0.2999332994,0.2968532762,0.2968532762,0.2968532762,0.2968532762,0.2968532762,-1.903021751,11.89621345,11.89621345,19.98638339,0.9993191695,0.9993191695,-9.993191695,9.993191695,10.99251086,0.9037025817,95.24834337,0.2999332994,9.993191695,9.993191695,9.993191695,-9.993191695,-9.993191695,0,0,0,-0,0,0,-9.993191695,-0,1.778091563e-016,3.053113318e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.778091563e-016,3.053113318e-015,3.053113318e-015,-8.090169944,8.090169944,-1.903021751,11.89621345,-9.993191695,0,2,1
0.033,-1.384309529,-9.496433214,11.37603933,0.329910717,-0.329910717,-9.991729799,9.826343931,9.826343931,-0.3208949939,-9.496433214,-9.496433214,0.005444277814,-0.005444277814,-0.329910717,-0.329910717,0.3263392717,0.3263392717,0.3263392717,0.3263392717,0.3263392717,-1.384309529,11.37603933,11.37603933,19.9834596,0.9991729799,0.9991729799,-9.991729799,9.991729799,10.99090278,0.3851365491,94.88579473,0.329910717,9.991729799,9.991729799,9.991729799,-9.991729799,-9.991729799,0,0,0,-0,0,0,-9.991729799,-0,1.873501354e-016,1.942890293e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.873501354e-016,1.942890293e-015,1.942890293e-015,-8.60742027,8.60742027,-1.384309529,11.37603933,-9.991729799,0,2,1
0.036,-0.941855374,-9.462989807,10.93198127,0.359883536,-0.359883536,-9.990125899,9.822873343,9.822873343,-0.3493337487,-9.462989807,-9.462989807,0.006478970307,-0.006478970307,-0.359883536,-0.359883536,0.355812719,0.355812719,0.355812719,0.355812719,0.355812719,-0.941855374,10.93198127,10.93198127,19.9802518,0.9990125899,0.9990125899,-9.990125899,9.990125899,10.98913849,-0.0571572159,94.53645955,0.359883536,9.990125899,9.990125899,9.990125899,-9.990125899,-9.990125899,0,0,0,-0,0,0,-9.990125899,-0,1.960237528e-016,3.330669074e-016,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.960237528e-016,3.330669074e-016,3.330669074e-016,-9.048270525,9.048270525,-0.941855374,10.93198127,-9.990125899,0,2,1
0.039,-0.5795723268,-9.430760157,10.56795234,0.3898513304,-0.3898513304,-9.988380016,9.820611487,9.820611487,-0.3776740849,-9.430760157,-9.430760157,0.00760357389,-0.00760357389,-0.3898513304,-0.3898513304,0.3852776588,0.3852776588,0.3852776588,0.3852776588,0.3852776588,-0.5795723268,10.56795234,10.56795234,19.97676003,0.9988380016,0.9988380016,-9.988380016,9.988380016,10.98721802,-0.4192656748,94.19801629,0.3898513304,9.988380016,9.988380016,9.988380016,-9.988380016,-9.988380016,0,0,0,-0,0,0,-9.988380016,-0,2.02095285e-016,8.326672685e-016,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.02095285e-016,8.326672685e-016,8.326672685e-016,-9.40880769,9.40880769,-0.5795723268,10.56795234,-9.988380016,0,2,1
0.042,-0.3006605658,-9.399497555,10.28715274,0.4198136742,-0.4198136742,-9.986492177,9.81931123,9.81931123,-0.4059191655,-9.399497555,-9.399497555,0.00881807265,-0.00881807265,-0.4198136742,-0.4198136742,0.4147372381,0.4147372381,0.4147372381,0.4147372381,0.4147372381,-0.3006605658,10.28715274,10.28715274,19.97298435,0.9986492177,0.9986492177,-9.986492177,9.986492177,10.98514139,-0.6979886519,93.86800881,0.4198136742,9.986492177,9.986492177,9.986492177,-9.986492177,-9.986492177,0,0,0,-0,0,0,-9.986492177,-0,2.081668171e-016,3.774758284e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.081668171e-016,3.774758284e-015,3.774758284e-015,-9.685831611,9.685831611,-0.3006605658,10.28715274,-9.986492177,0,2,1
0.045,-0.1075790017,-9.368948716,10.09204141,0.4497701416,-0.4497701416,-9.984462408,9.818718857,9.818718857,-0.4340715139,-9.368948716,-9.368948716,0.0101224496,-0.0101224496,-0.4497701416,-0.4497701416,0.4441939635,0.4441939635,0.4441939635,0.4441939635,0.4441939635,-0.1075790017,10.09204141,10.09204141,19.96892482,0.9984462408,0.9984462408,-9.984462408,9.984462408,10.98290865,-0.8908672391,93.54391625,0.4497701416,9.984462408,9.984462408,9.984462408,-9.984462408,-9.984462408,0,0,0,-0,0,0,-9.984462408,-0,2.203098814e-016,6.161737787e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.203098814e-016,6.161737787e-015,6.161737787e-015,-9.876883406,9.876883406,-0.1075790017,10.09204141,-9.984462408,0,2,1
0.048,-0.002023452646,-9.338854686,9.98431419,0.4797203068,-0.4797203068,-9.982290737,9.818574992,9.818574992,-0.4621329378,-9.338854686,-9.338854686,0.01151668657,-0.01151668657,-0.4797203068,-0.4797203068,0.4736496243,0.4736496243,0.4736496243,0.4736496243,0.4736496243,-0.002023452646,9.98431419,9.98431419,19.96458147,0.9982290737,0.9982290737,-9.982290737,9.982290737,10.98051981,-0.996205621,93.22316262,0.4797203068,9.982290737,9.982290737,9.982290737,-9.982290737,-9.982290737,0,0,0,-0,0,0,-9.982290737,-0,2.359223927e-016,5.828670879e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.359223927e-016,5.828670879e-015,5.828670879e-015,-9.980267284,9.980267284,-0.002023452646,9.98431419,-9.982290737,0,2,1
0.051,0.01508840791,-9.308952092,9.964888788,0.5096637442,-0.5096637442,-9.979977196,9.818615836,9.818615836,-0.4901044294,-9.308952092,-9.308952092,0.01300076405,-0.01300076405,-0.5096637442,-0.5096637442,0.5031051934,0.5031051934,0.5031051934,0.5031051934,0.5031051934,0.01508840791,9.964888788,9.964888788,19.95995439,0.9979977196,0.9979977196,-9.979977196,9.979977196,10.97797492,-1.013086127,92.90312959,0.5096637442,9.979977196,9.979977196,9.979977196,-9.979977196,-9.979977196,0,0,0,-0,0,0,-9.979977196,-0,2.51534904e-016,6.77236045e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.51534904e-016,6.77236045e-015,6.77236045e-015,-9.995065604,9.995065604,0.01508840791,9.964888788,-9.979977196,0,2,1
0.054,-0.05637480386,-9.278975826,10.03389662,0.5396000282,-0.5396000282,-9.977521817,9.818575854,9.818575854,-0.5179862226,-9.278975826,-9.278975826,0.01457466131,-0.01457466131,-0.5396000282,-0.5396000282,0.5325608839,0.5325608839,0.5325608839,0.5325608839,0.5325608839,-0.05637480386,10.03389662,10.03389662,19.95504363,0.9977521817,0.9977521817,-9.977521817,9.977521817,10.975274,-0.9413773778,92.58118374,0.5396000282,9.977521817,9.977521817,9.977521817,-9.977521817,-9.977521817,0,0,0,-0,0,0,-9.977521817,-0,2.723515857e-016,6.439293543e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.723515857e-016,6.439293543e-015,6.439293543e-015,-9.921147013,9.921147013,-0.05637480386,10.03389662,-9.977521817,0,2,1
0.057,-0.2157570162,-9.248661278,10.19068165,0.5695287333,-0.5695287333,-9.974924636,9.818190011,9.818190011,-0.5457777366,-9.248661278,-9.248661278,0.01623835631,-0.01623835631,-0.5695287333,-0.5695287333,0.5620160929,0.5620160929,0.5620160929,0.5620160929,0.5620160929,-0.2157570162,10.19068165,10.19068165,19.94984927,0.9974924636,0.9974924636,-9.974924636,9.974924636,10.9724171,-0.7817354474,92.25469923,0.5695287333,9.974924636,9.974924636,9.974924636,-9.974924636,-9.974924636,0,0,0,-0,0,0,-9.974924636,-0,2.91433544e-016,8.10462808e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.91433544e-016,8.10462808e-015,8.10462808e-015,-9.759167619,9.759167619,-0.2157570162,10.19068165,-9.974924636,0,2,1
0.06,-0.4616205255,-9.217746702,10.43380621,0.5994494342,-0.5994494342,-9.972185688,9.817196137,9.817196137,-0.5734775287,-9.217746702,-9.217746702,0.01799182561,-0.01799182561,-0.5994494342,-0.5994494342,0.5914693543,0.5914693543,0.5914693543,0.5914693543,0.5914693543,-0.4616205255,10.43380621,10.43380621,19.94437138,0.9972185688,0.9972185688,-9.972185688,9.972185688,10.96940426,-0.5355980434,91.92108174,0.5994494342,9.972185688,9.972185688,9.972185688,-9.972185688,-9.972185688,0,0,0,-0,0,0,-9.972185688,-0,3.087807787e-016,8.215650382e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,3.087807787e-016,8.215650382e-015,8.215650382e-015,-9.510565163,9.510565163,-0.4616205255,10.43380621,-9.972185688,0,2,1
0.063,-0.7917587576,-9.185975937,10.76106377,0.6293617057,-0.6293617057,-9.969305014,9.815337643,9.815337643,-0.6010833759,-9.185975937,-9.185975937,0.0198350445,-0.0198350445,-0.6293617057,-0.6293617057,0.6209184204,0.6209184204,0.6209184204,0.6209184204,0.6209184204,-0.7917587576,10.76106377,10.76106377,19.93861003,0.9969305014,0.9969305014,-9.969305014,9.969305014,10.96623552,-0.2051717439,91.57779597,0.6293617057,9.969305014,9.969305014,9.969305014,-9.969305014,-9.969305014,0,0,0,-0,0,0,-9.969305014,-0,3.295974604e-016,7.882583475e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,3.295974604e-016,7.882583475e-015,7.882583475e-015,-9.177546257,9.177546257,-0.7917587576,10.76106377,-9.969305014,0,2,1
0.066,-1.203215854,-9.153100728,11.16949851,0.6592651226,-0.6592651226,-9.966282654,9.812365851,9.812365851,-0.6285923126,-9.153100728,-9.153100728,0.02176798702,-0.02176798702,-0.6592651226,-0.6592651226,0.6503602996,0.6503602996,0.6503602996,0.6503602996,0.6503602996,-1.203215854,11.16949851,11.16949851,19.93256531,0.9966282654,0.9966282654,-9.966282654,9.966282654,10.96291092,0.2065875886,91.22238902,0.6592651226,9.966282654,9.966282654,9.966282654,-9.966282654,-9.966282654,0,0,0,-0,0,0,-9.966282654,-0,3.504141421e-016,6.883382753e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,3.504141421e-016,6.883382753e-015,6.883382753e-015,-8.7630668,8.7630668,-1.203215854,11.16949851,-9.966282654,0,2,1
0.069,-1.692312909,-9.118882788,11.65543156,0.68915926,-0.68915926,-9.963118652,9.808042048,9.808042048,-0.6560006608,-9.118882788,-9.118882788,0.02379062597,-0.02379062597,-0.68915926,-0.68915926,0.6797912868,0.6797912868,0.6797912868,0.6797912868,0.6797912868,-1.692312909,11.65543156,11.65543156,19.9262373,0.9963118652,0.9963118652,-9.963118652,9.963118652,10.95943052,0.6960010437,90.85251119,0.68915926,9.963118652,9.963118652,9.963118652,-9.963118652,-9.963118652,0,0,0,-0,0,0,-9.963118652,-0,3.712308239e-016,5.884182031e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,3.712308239e-016,5.884182031e-015,5.884182031e-015,-8.270805743,8.270805743,-1.692312909,11.65543156,-9.963118652,0,2,1
0.072,-2.254680623,-9.083095831,12.21449367,0.719043693,-0.719043693,-9.959813051,9.802139524,9.802139524,-0.6833040508,-9.083095831,-9.083095831,0.02590293287,-0.02590293287,-0.719043693,-0.719043693,0.7092069836,0.7092069836,0.7092069836,0.7092069836,0.7092069836,-2.254680623,12.21449367,12.21449367,19.9196261,0.9959813051,0.9959813051,-9.959813051,9.959813051,10.95579436,1.258699318,90.4659364,0.719043693,9.959813051,9.959813051,9.959813051,-9.959813051,-9.959813051,0,0,0,-0,0,0,-9.959813051,-0,3.851086117e-016,6.550315845e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,3.851086117e-016,6.550315845e-015,6.550315845e-015,-7.705132428,7.705132428,-2.254680623,12.21449367,-9.959813051,0,2,1
0.075,-2.885298087,-9.045527947,12.84166399,0.7489179968,-0.7489179968,-9.956365899,9.794445944,9.794445944,-0.7104974594,-9.045527947,-9.045527947,0.02810487799,-0.02810487799,-0.7489179968,-0.7489179968,0.7386023374,0.7386023374,0.7386023374,0.7386023374,0.7386023374,-2.885298087,12.84166399,12.84166399,19.9127318,0.9956365899,0.9956365899,-9.956365899,9.956365899,10.95200249,1.889661497,90.06058599,0.7489179968,9.956365899,9.956365899,9.956365899,-9.956365899,-9.956365899,0,0,0,-0,0,0,-9.956365899,-0,4.024558464e-016,6.883382753e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,4.024558464e-016,6.883382753e-015,6.883382753e-015,-7.071067812,7.071067812,-2.885298087,12.84166399,-9.956365899,0,2,1
0.078,-3.578537348,-9.005983229,13.53131459,0.7787817469,-0.7787817469,-9.952777245,9.784764975,9.784764975,-0.7375752463,-9.005983229,-9.005983229,0.0303964303,-0.0303964303,-0.7787817469,-0.7787817469,0.7679716766,0.7679716766,0.7679716766,0.7679716766,0.7679716766,-3.578537348,13.53131459,13.53131459,19.90555449,0.9952777245,0.9952777245,-9.952777245,9.952777245,10.94805497,2.583259623,89.63454495,0.7787817469,9.952777245,9.952777245,9.952777245,-9.952777245,-9.952777245,0,0,0,-0,0,0,-9.952777245,-0,4.232725281e-016,8.992806499e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,4.232725281e-016,8.992806499e-015,8.992806499e-015,-6.374239897,6.374239897,-3.578537348,13.53131459,-9.952777245,0,2,1
0.081,-4.328213362,-8.964283543,14.2772605,0.8086345188,-0.8086345188,-9.94904714,9.772918062,9.772918062,-0.7645312097,-8.964283543,-8.964283543,0.0327775575,-0.0327775575,-0.8086345188,-0.8086345188,0.7973087672,0.7973087672,0.7973087672,0.7973087672,0.7973087672,-4.328213362,14.2772605,14.2772605,19.89809428,0.994904714,0.994904714,-9.94904714,9.94904714,10.94395185,3.333308648,89.18607955,0.8086345188,9.94904714,9.94904714,9.94904714,-9.94904714,-9.94904714,0,0,0,-0,0,0,-9.94904714,-0,4.510281038e-016,1.021405183e-014,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,4.510281038e-016,1.021405183e-014,1.021405183e-014,-5.620833779,5.620833779,-4.328213362,14.2772605,-9.94904714,0,2,1
0.084,-5.127638897,-8.920269912,15.07281453,0.8384758883,-0.8384758883,-9.945175638,9.7587458,9.7587458,-0.7913586391,-8.920269912,-8.920269912,0.03524822602,-0.03524822602,-0.8384758883,-0.8384758883,0.8266068651,0.8266068651,0.8266068651,0.8266068651,0.8266068651,-5.127638897,15.07281453,15.07281453,19.89035128,0.9945175638,0.9945175638,-9.945175638,9.945175638,10.9396932,4.133121333,88.71365101,0.8384758883,9.945175638,9.945175638,9.945175638,-9.945175638,-9.945175638,0,0,0,-0,0,0,-9.945175638,-0,4.787836794e-016,8.770761895e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,4.787836794e-016,8.770761895e-015,8.770761895e-015,-4.817536741,4.817536741,-5.127638897,15.07281453,-9.945175638,0,2,1
0.087,-5.969683886,-8.873804092,15.91084668,0.8683054313,-0.8683054313,-9.941162792,9.742109524,9.742109524,-0.8180503805,-8.873804092,-8.873804092,0.037808401,-0.037808401,-0.8683054313,-0.8683054313,0.8558587816,0.8558587816,0.8558587816,0.8558587816,0.8558587816,-5.969683886,15.91084668,15.91084668,19.88232558,0.9941162792,0.9941162792,-9.941162792,9.941162792,10.93527907,4.975567606,88.21593107,0.8683054313,9.941162792,9.941162792,9.941162792,-9.941162792,-9.941162792,0,0,0,-0,0,0,-9.941162792,-0,5.134781489e-016,7.438494265e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,5.134781489e-016,7.438494265e-015,7.438494265e-015,-3.971478906,3.971478906,-5.969683886,15.91084668,-9.941162792,0,2,1
0.09,-6.846838717,-8.824769768,16.78384738,0.8981227238,-0.8981227238,-9.93700866,9.722892491,9.722892491,-0.8445988971,-8.824769768,-8.824769768,0.04045804635,-0.04045804635,-0.8981227238,-0.8981227238,0.8850569435,0.8850569435,0.8850569435,0.8850569435,0.8850569435,-6.846838717,16.78384738,16.78384738,19.87401732,0.993700866,0.993700866,-9.93700866,9.93700866,10.93070953,5.853137851,87.69181361,0.8981227238,9.93700866,9.93700866,9.93700866,-9.93700866,-9.93700866,0,0,0,-0,0,0,-9.93700866,-0,5.412337245e-016,7.882583475e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,5.412337245e-016,7.882583475e-015,7.882583475e-015,-3.090169944,3.090169944,-6.846838717,16.78384738,-9.93700866,0,2,1
0.093,-7.751280888,-8.773073713,17.68399419,0.927927342,-0.927927342,-9.932713302,9.701001055,9.701001055,-0.8709963388,-8.773073713,-8.773073713,0.04319712467,-0.04319712467,-0.927927342,-0.927927342,0.9141934635,0.9141934635,0.9141934635,0.9141934635,0.9141934635,-7.751280888,17.68399419,17.68399419,19.8654266,0.9932713302,0.9932713302,-9.932713302,9.932713302,10.92598463,6.758009558,87.14042597,0.927927342,9.932713302,9.932713302,9.932713302,-9.932713302,-9.932713302,0,0,0,-0,0,0,-9.932713302,-0,5.620504062e-016,7.438494265e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,5.620504062e-016,7.438494265e-015,7.438494265e-015,-2.181432414,2.181432414,-7.751280888,17.68399419,-9.932713302,0,2,1
