"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
1.177,2.73572,2.44191,2.45033,2.45489
1.181,2.7071,2.44311,2.45154,2.4561
1.185,2.68279,2.44425,2.45268,2.45724
1.189,2.66312,2.44533,2.45375,2.45831
1.193,2.64835,2.44633,2.45476,2.45932
1.197,2.63866,2.44727,2.4557,2.46026
1.201,2.63416,2.44815,2.45657,2.46113
1.205,2.63487,2.44895,2.45737,2.46194
1.209,2.64076,2.44969,2.45811,2.46268
1.213,2.6517,2.45036,2.45879,2.46335
1.217,2.66747,2.45097,2.45939,2.46395
1.221,2.6878,2.45151,2.45993,2.46449
1.225,2.71235,2.45198,2.4604,2.46496
1.229,2.7407,2.45238,2.4608,2.46537
1.233,2.7724,2.45272,2.46114,2.4657
1.237,2.80691,2.45299,2.46141,2.46597
1.241,2.8437,2.45319,2.46162,2.46618
1.245,2.88216,2.45333,2.46175,2.46631
1.249,2.92169,2.4534,2.46182,2.46638
1.253,2.96163,2.45341,2.46183,2.46639
1.257,3.0012,2.45341,2.46183,2.46639
1.261,3.03976,2.45341,2.46183,2.46639
1.265,3.0767,2.45341,2.46183,2.46639
1.269,3.11142,2.45341,2.46183,2.46639
1.273,3.14339,2.45341,2.46183,2.46639
1.277,3.17209,2.45341,2.46183,2.46639
1.281,3.19709,2.45341,2.46183,2.46639
1.285,3.21798,2.45341,2.46183,2.46639
1.289,3.23443,2.45341,2.46183,2.46639
1.293,3.24618,2.45341,2.46183,2.46639
1.297,3.25305,2.45341,2.46183,2.46639
1.301,3.25494,2.45341,2.46183,2.46639
1.305,3.2518,2.45341,2.46183,2.46639
1.309,3.24369,2.45341,2.46183,2.46639
1.313,3.23075,2.45341,2.46183,2.46639
1.317,3.21316,2.45341,2.46183,2.46639
1.321,3.19121,2.45341,2.46183,2.46639
1.325,3.16525,2.45341,2.46183,2.46639
1.329,3.13568,2.45341,2.46183,2.46639
1.333,3.10298,2.45341,2.46183,2.46639
1.337,3.06765,2.45341,2.46183,2.46639
1.341,3.03025,2.45341,2.46183,2.46639
1.345,2.99138,2.45341,2.46183,2.46639
1.349,2.95165,2.45341,2.46183,2.46639
1.353,2.91168,2.45341,2.46183,2.46639
1.357,2.8721,2.45341,2.46183,2.46639
1.361,2.83354,2.45341,2.46183,2.46639
1.365,2.79661,2.45341,2.46183,2.46639
1.369,2.76189,2.45341,2.46183,2.46639
1.373,2.72992,2.45341,2.46183,2.46639
1.377,2.70121,2.45341,2.46183,2.46639
1.381,2.67622,2.45341,2.46183,2.46639
