"time","heatCapacitor.T","TRes"
2.72,301.91,301.914
2.73,301.901,301.905
2.74,301.892,301.897
2.75,301.884,301.888
2.76,301.875,301.879
2.77,301.866,301.87
2.78,301.858,301.862
2.79,301.849,301.853
2.8,301.84,301.844
2.81,301.831,301.836
2.82,301.823,301.827
2.83,301.814,301.818
2.84,301.805,301.81
2.85,301.797,301.801
2.86,301.788,301.792
2.87,301.78,301.784
2.88,301.771,301.775
2.89,301.762,301.766
2.9,301.754,301.758
2.91,301.745,301.749
2.92,301.737,301.741
2.93,301.728,301.732
2.94,301.719,301.723
2.95,301.711,301.715
2.96,301.702,301.706
2.97,301.694,301.698
2.98,301.685,301.689
2.99,301.677,301.681
3,301.668,301.672
3.01,301.66,301.664
3.02,301.651,301.655
3.03,301.643,301.647
3.04,301.634,301.638
3.05,301.626,301.63
3.06,301.617,301.621
3.07,301.609,301.613
3.08,301.714,301.693
3.09,301.802,301.781
3.1,301.89,301.869
3.11,301.978,301.957
3.12,302.066,302.044
3.13,302.153,302.132
3.14,302.241,302.22
3.15,302.328,302.307
3.16,302.416,302.394
3.17,302.503,302.482
3.18,302.59,302.569
3.19,302.677,302.656
3.2,302.764,302.742
3.21,302.85,302.829
3.22,302.937,302.916
3.23,303.023,303.002
3.24,303.11,303.089
3.25,303.196,303.175
3.26,303.282,303.261
3.27,303.368,303.347
3.28,303.454,303.433
3.29,303.54,303.519
3.3,303.625,303.604
3.31,303.711,303.69
3.32,303.796,303.775
3.33,303.881,303.861
3.34,303.967,303.946
3.35,304.052,304.031
3.36,304.137,304.116
3.37,304.221,304.201
3.38,304.306,304.286
3.39,304.391,304.37
3.4,304.475,304.455
3.41,304.56,304.539
3.42,304.644,304.623
3.43,304.728,304.707
3.44,304.812,304.792
3.45,304.896,304.875
3.46,304.98,304.959
3.47,305.063,305.043
3.48,305.147,305.127
3.49,305.23,305.21
3.5,305.314,305.293
3.51,305.397,305.377
3.52,305.48,305.46
3.53,305.499,305.502
3.54,305.487,305.489
3.55,305.474,305.477
3.56,305.462,305.465
3.57,305.45,305.452
3.58,305.437,305.44
3.59,305.425,305.428
3.6,305.413,305.415
3.61,305.4,305.403
3.62,305.388,305.391
3.63,305.376,305.379
3.64,305.364,305.367
3.65,305.352,305.354
3.66,305.339,305.342
3.67,305.327,305.33
3.68,305.315,305.318
3.69,305.303,305.306
3.7,305.291,305.293
3.71,305.279,305.281
3.72,305.266,305.269
3.73,305.254,305.257
3.74,305.242,305.245
3.75,305.23,305.233
3.76,305.218,305.221
3.77,305.206,305.209
3.78,305.194,305.197
3.79,305.182,305.185
3.8,305.17,305.173
3.81,305.158,305.161
3.82,305.146,305.149
3.83,305.134,305.137
3.84,305.122,305.125
3.85,305.11,305.113
3.86,305.098,305.101
3.87,305.086,305.089
3.88,305.074,305.077
3.89,305.062,305.065
3.9,305.083,305.077
3.91,305.194,305.161
3.92,305.278,305.244
3.93,305.361,305.328
3.94,305.444,305.411
3.95,305.527,305.494
3.96,305.61,305.577
3.97,305.693,305.66
3.98,305.776,305.743
3.99,305.858,305.825
4,305.941,305.908
4.01,306.023,305.99
4.02,306.105,306.073
4.03,306.188,306.155
4.04,306.27,306.237
4.05,306.352,306.319
4.06,306.433,306.401
4.07,306.515,306.482
4.08,306.597,306.564
4.09,306.678,306.646
4.1,306.76,306.727
4.11,306.841,306.808
4.12,306.922,306.889
4.13,307.003,306.971
4.14,307.084,307.052
4.15,307.165,307.132
4.16,307.245,307.213
4.17,307.326,307.294
4.18,307.407,307.374
4.19,307.487,307.455
4.2,307.567,307.535
4.21,307.647,307.615
4.22,307.728,307.696
4.23,307.807,307.776
4.24,307.887,307.855
4.25,307.967,307.935
4.26,308.047,308.015
4.27,308.126,308.094
4.28,308.206,308.174
4.29,308.285,308.253
4.3,308.364,308.333
4.31,308.443,308.412
4.32,308.522,308.491
4.33,308.601,308.57
4.34,308.68,308.648
4.35,308.759,308.727
4.36,308.837,308.806
4.37,308.916,308.884
4.38,308.994,308.963
4.39,309.072,309.041
4.4,309.15,309.119
4.41,309.183,309.183
4.42,309.167,309.167
4.43,309.151,309.151
4.44,309.135,309.135
4.45,309.119,309.119
4.46,309.103,309.103
4.47,309.087,309.087
4.48,309.071,309.071
4.49,309.055,309.055
4.5,309.039,309.039
4.51,309.023,309.023
4.52,309.007,309.007
4.53,308.991,308.992
4.54,308.976,308.976
4.55,308.96,308.96
4.56,308.944,308.944
4.57,308.928,308.928
4.58,308.912,308.913
4.59,308.897,308.897
4.6,308.881,308.881
4.61,308.865,308.865
4.62,308.85,308.85
4.63,308.834,308.834
4.64,308.818,308.818
4.65,308.803,308.803
4.66,308.787,308.787
4.67,308.771,308.771
4.68,308.756,308.756
4.69,308.74,308.74
4.7,308.724,308.724
4.71,308.709,308.709
4.72,308.693,308.693
4.73,308.678,308.678
4.74,308.662,308.662
4.75,308.647,308.647
4.76,308.662,308.662
4.77,308.767,308.741
4.78,308.845,308.819
4.79,308.924,308.898
4.8,309.002,308.976
4.81,309.08,309.055
4.82,309.158,309.133
4.83,309.236,309.211
4.84,309.314,309.289
4.85,309.392,309.367
4.86,309.47,309.444
4.87,309.548,309.522
4.88,309.625,309.6
4.89,309.702,309.677
4.9,309.78,309.754
4.91,309.857,309.832
4.92,309.934,309.909
4.93,310.011,309.986
4.94,310.088,310.063
4.95,310.165,310.139
4.96,310.241,310.216
4.97,310.318,310.293
4.98,310.394,310.369
4.99,310.471,310.446
5,310.547,310.522
5.01,310.623,310.598
5.02,310.699,310.674
5.03,310.775,310.75
5.04,310.851,310.826
5.05,310.927,310.902
5.06,311.002,310.978
5.07,311.078,311.053
5.08,311.154,311.129
5.09,311.229,311.204
5.1,311.304,311.279
5.11,311.379,311.355
5.12,311.454,311.43
5.13,311.529,311.505
5.14,311.604,311.579
5.15,311.679,311.654
5.16,311.753,311.729
5.17,311.828,311.804
5.18,311.902,311.878
5.19,311.977,311.952
5.2,312.051,312.027
5.21,312.125,312.101
5.22,312.199,312.175
5.23,312.273,312.249
5.24,312.347,312.323
5.25,312.421,312.397
5.26,312.494,312.47
5.27,312.568,312.544
5.28,312.641,312.617
5.29,312.715,312.691
5.3,312.788,312.764
5.31,312.861,312.837
5.32,312.934,312.91
5.33,313.007,312.983
5.34,313.08,313.056
5.35,313.058,313.067
5.36,313.038,313.047
5.37,313.018,313.028
5.38,312.998,313.008
5.39,312.978,312.988
5.4,312.958,312.968
5.41,312.939,312.948
5.42,312.919,312.928
5.43,312.899,312.909
5.44,312.879,312.889
5.45,312.859,312.869
5.46,312.84,312.849
5.47,312.82,312.83
5.48,312.8,312.81
5.49,312.781,312.79
5.5,312.761,312.771
5.51,312.742,312.751
5.52,312.722,312.732
5.53,312.702,312.712
5.54,312.683,312.692
5.55,312.663,312.673
5.56,312.644,312.653
5.57,312.624,312.634
5.58,312.605,312.614
5.59,312.585,312.595
5.6,312.566,312.576
5.61,312.547,312.556
5.62,312.527,312.537
5.63,312.508,312.517
5.64,312.489,312.498
5.65,312.469,312.479
5.66,312.45,312.459
5.67,312.444,312.443
5.68,312.526,312.516
5.69,312.599,312.59
5.7,312.673,312.663
5.71,312.746,312.736
5.72,312.819,312.81
5.73,312.892,312.883
5.74,312.965,312.956
5.75,313.038,313.029
5.76,313.111,313.102
5.77,313.184,313.174
5.78,313.256,313.247
5.79,313.329,313.32
5.8,313.401,313.392
5.81,313.474,313.464
5.82,313.546,313.537
5.83,313.618,313.609
5.84,313.69,313.681
5.85,313.762,313.753
5.86,313.834,313.825
5.87,313.906,313.896
5.88,313.977,313.968
5.89,314.049,314.04
5.9,314.12,314.111
5.91,314.192,314.183
5.92,314.263,314.254
5.93,314.334,314.325
5.94,314.405,314.396
5.95,314.476,314.467
5.96,314.547,314.538
5.97,314.618,314.609
5.98,314.689,314.68
5.99,314.759,314.75
6,314.83,314.821
6.01,314.9,314.891
6.02,314.971,314.962
6.03,315.041,315.032
6.04,315.111,315.102
6.05,315.181,315.172
6.06,315.251,315.242
6.07,315.321,315.312
6.08,315.391,315.382
6.09,315.461,315.452
6.1,315.53,315.521
6.11,315.6,315.591
6.12,315.669,315.66
6.13,315.738,315.729
6.14,315.808,315.799
6.15,315.877,315.868
6.16,315.946,315.937
6.17,316.015,316.006
6.18,316.084,316.075
6.19,316.152,316.143
6.2,316.221,316.212
6.21,316.29,316.281
6.22,316.358,316.349
6.23,316.427,316.418
6.24,316.495,316.486
6.25,316.563,316.554
6.26,316.631,316.622
6.27,316.699,316.69
6.28,316.767,316.758
6.29,316.835,316.826
6.3,316.903,316.894
6.31,316.971,316.962
6.32,317.038,317.029
6.33,317.106,317.097
6.34,317.173,317.164
6.35,317.24,317.232
6.36,317.308,317.299
6.37,317.338,317.338
6.38,317.306,317.314
6.39,317.282,317.29
6.4,317.257,317.266
6.41,317.233,317.242
6.42,317.209,317.218
6.43,317.185,317.194
6.44,317.161,317.17
6.45,317.137,317.146
6.46,317.113,317.122
6.47,317.089,317.098
6.48,317.065,317.074
6.49,317.041,317.05
6.5,317.018,317.026
6.51,316.994,317.002
6.52,316.97,316.978
6.53,316.946,316.954
6.54,316.922,316.931
6.55,316.898,316.907
6.56,316.875,316.883
6.57,316.851,316.859
6.58,316.827,316.836
6.59,316.804,316.812
6.6,316.78,316.788
6.61,316.756,316.765
6.62,316.733,316.741
6.63,316.709,316.718
6.64,316.686,316.694
6.65,316.662,316.67
6.66,316.639,316.647
6.67,316.615,316.623
6.68,316.697,316.67
6.69,316.765,316.738
6.7,316.832,316.806
6.71,316.9,316.874
6.72,316.968,316.942
6.73,317.036,317.009
6.74,317.103,317.077
6.75,317.17,317.144
6.76,317.238,317.212
6.77,317.305,317.279
6.78,317.372,317.346
6.79,317.439,317.413
6.8,317.506,317.48
6.81,317.573,317.547
6.82,317.64,317.614
6.83,317.707,317.681
6.84,317.773,317.747
6.85,317.84,317.814
6.86,317.906,317.88
6.87,317.972,317.947
6.88,318.039,318.013
6.89,318.105,318.079
6.9,318.171,318.145
6.91,318.237,318.211
6.92,318.303,318.277
6.93,318.369,318.343
6.94,318.434,318.409
6.95,318.5,318.475
6.96,318.566,318.54
6.97,318.631,318.606
6.98,318.697,318.671
6.99,318.762,318.737
7,318.827,318.802
7.01,318.892,318.867
7.02,318.957,318.932
7.03,319.022,318.997
7.04,319.087,319.062
7.05,319.152,319.127
7.06,319.217,319.191
7.07,319.281,319.256
7.08,319.346,319.321
7.09,319.41,319.385
7.1,319.475,319.45
7.11,319.539,319.514
7.12,319.603,319.578
7.13,319.667,319.642
7.14,319.731,319.706
7.15,319.795,319.77
7.16,319.859,319.834
7.17,319.923,319.898
7.18,319.986,319.962
7.19,320.05,320.025
7.2,320.113,320.089
7.21,320.177,320.152
7.22,320.24,320.216
7.23,320.304,320.279
7.24,320.367,320.342
7.25,320.43,320.405
7.26,320.493,320.468
7.27,320.556,320.531
7.28,320.619,320.594
7.29,320.681,320.657
7.3,320.744,320.72
7.31,320.807,320.782
7.32,320.869,320.845
7.33,320.932,320.907
7.34,320.994,320.97
7.35,321.056,321.032
7.36,321.118,321.094
7.37,321.181,321.156
7.38,321.243,321.219
7.39,321.305,321.28
7.4,321.366,321.342
7.41,321.428,321.404
7.42,321.49,321.466
7.43,321.551,321.528
7.44,321.613,321.589
7.45,321.674,321.651
7.46,321.736,321.712
7.47,321.797,321.773
7.48,321.858,321.835
7.49,321.919,321.896
7.5,321.98,321.957
7.51,322.041,322.018
7.52,322.102,322.079
7.53,322.163,322.14
7.54,322.224,322.2
7.55,322.285,322.261
7.56,322.296,322.298
7.57,322.257,322.269
7.58,322.228,322.24
7.59,322.199,322.211
7.6,322.17,322.182
7.61,322.141,322.153
7.62,322.112,322.124
7.63,322.083,322.095
7.64,322.054,322.066
7.65,322.026,322.037
7.66,321.997,322.008
7.67,321.968,321.979
7.68,321.939,321.95
7.69,321.91,321.922
7.7,321.882,321.893
7.71,321.853,321.864
7.72,321.824,321.835
7.73,321.795,321.807
7.74,321.767,321.778
7.75,321.738,321.749
7.76,321.71,321.721
7.77,321.681,321.692
7.78,321.653,321.664
7.79,321.624,321.635
7.8,321.596,321.607
7.81,321.567,321.578
7.82,321.539,321.55
7.83,321.51,321.522
7.84,321.482,321.493
7.85,321.56,321.542
7.86,321.622,321.604
7.87,321.683,321.665
7.88,321.745,321.727
7.89,321.806,321.788
7.9,321.867,321.849
7.91,321.928,321.91
7.92,321.989,321.971
7.93,322.05,322.032
7.94,322.111,322.093
7.95,322.172,322.154
7.96,322.233,322.215
7.97,322.293,322.275
7.98,322.354,322.336
7.99,322.414,322.396
8,322.457,322.457
8.01,322.542,322.517
8.02,322.602,322.578
8.03,322.662,322.638
8.04,322.722,322.698
8.05,322.782,322.758
8.06,322.842,322.818
8.07,322.902,322.878
8.08,322.962,322.937
8.09,323.021,322.997
8.1,323.081,323.057
8.11,323.141,323.116
8.12,323.2,323.176
8.13,323.259,323.235
8.14,323.319,323.295
8.15,323.378,323.354
8.16,323.437,323.413
8.17,323.496,323.472
8.18,323.555,323.531
8.19,323.614,323.59
8.2,323.673,323.649
8.21,323.732,323.708
8.22,323.79,323.766
8.23,323.849,323.825
8.24,323.907,323.884
8.25,323.966,323.942
8.26,324.024,324
8.27,324.082,324.059
8.28,324.141,324.117
8.29,324.13,324.137
8.3,324.099,324.106
8.31,324.068,324.075
8.32,324.037,324.044
8.33,324.006,324.013
8.34,323.975,323.982
8.35,323.944,323.951
8.36,323.914,323.92
8.37,323.883,323.89
8.38,323.852,323.859
8.39,323.821,323.828
8.4,323.791,323.798
8.41,323.76,323.767
8.42,323.73,323.736
8.43,323.699,323.706
8.44,323.668,323.675
8.45,323.638,323.645
8.46,323.607,323.614
8.47,323.577,323.584
8.48,323.547,323.553
8.49,323.516,323.523
8.5,323.486,323.493
8.51,323.456,323.462
8.52,323.425,323.432
8.53,323.395,323.402
8.54,323.365,323.372
8.55,323.335,323.341
8.56,323.304,323.311
8.57,323.274,323.281
8.58,323.244,323.251
8.59,323.214,323.221
8.6,323.184,323.191
8.61,323.154,323.161
8.62,323.124,323.131
8.63,323.094,323.101
8.64,323.064,323.071
8.65,323.034,323.041
8.66,323.004,323.011
8.67,322.975,322.981
8.68,322.945,322.951
8.69,322.915,322.922
8.7,322.885,322.892
8.71,322.855,322.862
8.72,322.826,322.832
8.73,322.796,322.803
8.74,322.767,322.773
8.75,322.737,322.743
8.76,322.707,322.714
8.77,322.678,322.684
8.78,322.648,322.655
8.79,322.619,322.625
8.8,322.589,322.596
8.81,322.56,322.566
8.82,322.531,322.537
8.83,322.501,322.508
8.84,322.472,322.478
8.85,322.443,322.449
8.86,322.413,322.42
8.87,322.384,322.391
8.88,322.355,322.361
8.89,322.326,322.332
8.9,322.296,322.303
8.91,322.267,322.274
8.92,322.238,322.245
8.93,322.209,322.216
8.94,322.18,322.187
8.95,322.151,322.158
8.96,322.22,322.195
8.97,322.281,322.256
8.98,322.341,322.316
8.99,322.402,322.377
9,322.462,322.437
9.01,322.523,322.498
9.02,322.583,322.558
9.03,322.643,322.618
9.04,322.703,322.678
9.05,322.763,322.738
9.06,322.823,322.798
9.07,322.883,322.858
9.08,322.943,322.918
9.09,323.003,322.978
9.1,323.062,323.037
9.11,323.122,323.097
9.12,323.181,323.157
9.13,323.241,323.216
9.14,323.3,323.275
9.15,323.359,323.335
9.16,323.418,323.394
9.17,323.477,323.453
9.18,323.536,323.512
9.19,323.595,323.571
9.2,323.654,323.63
9.21,323.713,323.689
9.22,323.772,323.747
9.23,323.83,323.806
9.24,323.889,323.865
9.25,323.947,323.923
9.26,324.006,323.981
9.27,324.064,324.04
9.28,324.122,324.098
9.29,324.145,324.147
9.3,324.114,324.116
9.31,324.083,324.085
9.32,324.052,324.054
9.33,324.021,324.023
9.34,323.991,323.992
9.35,323.96,323.961
9.36,323.929,323.93
9.37,323.898,323.9
9.38,323.867,323.869
9.39,323.837,323.838
9.4,323.806,323.808
9.41,323.775,323.777
9.42,323.745,323.746
9.43,323.714,323.716
9.44,323.684,323.685
9.45,323.653,323.655
9.46,323.623,323.624
9.47,323.592,323.594
9.48,323.562,323.563
9.49,323.531,323.533
9.5,323.501,323.503
9.51,323.471,323.472
9.52,323.44,323.442
9.53,323.41,323.412
9.54,323.38,323.381
9.55,323.35,323.351
9.56,323.32,323.321
9.57,323.289,323.291
9.58,323.259,323.261
9.59,323.229,323.231
9.6,323.199,323.201
9.61,323.169,323.171
9.62,323.139,323.14
9.63,323.109,323.111
9.64,323.079,323.081
9.65,323.049,323.051
9.66,323.019,323.021
9.67,322.989,322.991
9.68,322.96,322.961
9.69,322.93,322.931
9.7,322.9,322.902
9.71,322.87,322.872
9.72,322.841,322.842
9.73,322.811,322.812
9.74,322.781,322.783
9.75,322.752,322.753
9.76,322.722,322.724
9.77,322.693,322.694
9.78,322.663,322.664
9.79,322.634,322.635
9.8,322.604,322.605
9.81,322.575,322.576
9.82,322.545,322.547
9.83,322.516,322.517
9.84,322.486,322.488
9.85,322.457,322.459
9.86,322.428,322.429
9.87,322.399,322.4
9.88,322.369,322.371
9.89,322.34,322.342
9.9,322.311,322.312
9.91,322.282,322.283
9.92,322.253,322.254
9.93,322.224,322.225
9.94,322.195,322.196
9.95,322.166,322.167
9.96,322.19,322.175
9.97,322.251,322.236
9.98,322.311,322.297
9.99,322.372,322.357
10,322.418,322.418
