"time","FMU_Interface_OUT0_Engine_Power","FMU_Interface_OUT1_Engine_Speed","FMU_Interface_OUT2_Engine_Torque","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Fuel_Consumption"
29,10.472,1000,100,0.743168,3.26023
29.4,10.472,1000,100,0.743168,3.26023
29.8,10.472,1000,100,0.743169,3.26023
30.2,10.472,1000,100,0.743169,3.26022
30.6,10.472,1000,100,0.74317,3.26022
31,10.472,1000,100,0.74317,3.26022
31.4,10.472,1000,100,0.74317,3.26022
31.8,10.472,1000,100,0.74317,3.26022
32.2,10.472,1000,100,0.74317,3.26022
32.6,10.472,1000,100,0.74317,3.26022
33,10.472,1000,100,0.74317,3.26022
33.4,10.472,1000,100,0.74317,3.26022
33.8,10.472,1000,100,0.74317,3.26022
34.2,10.472,1000,100,0.74317,3.26022
34.6,10.472,1000,100,0.74317,3.26022
35,10.472,1000,100,0.74317,3.26022
35.4,10.472,1000,100,0.74317,3.26022
35.8,10.472,1000,100,0.74317,3.26022
36.2,10.472,1000,100,0.74317,3.26022
36.6,10.472,1000,100,0.74317,3.26022
37,10.472,1000,100,0.74317,3.26022
37.4,10.472,1000,100,0.74317,3.26022
37.8,10.472,1000,100,0.74317,3.26022
38.2,10.472,1000,100,0.74317,3.26022
38.6,10.472,1000,100,0.74317,3.26022
39,10.472,1000,100,0.74317,3.26022
39.4,10.472,1000,100,0.74317,3.26022
39.8,10.472,1000,100,0.74317,3.26022
40.2,15.4709,2954.72,23.9072,0.311852,5.24186
40.6,16.0401,3063.43,50.8542,0.309389,5.47004
41,15.9261,3041.66,50.627,0.309876,5.42346
41.4,15.8499,3027.12,50.4084,0.310202,5.39236
41.8,15.8004,3017.65,50.2659,0.310415,5.37211
42.2,15.7681,3011.49,50.1731,0.310554,5.35893
42.6,15.7471,3007.48,50.1126,0.310644,5.35036
43,15.7335,3004.87,50.0733,0.310703,5.34477
43.4,15.7246,3003.17,50.0477,0.310741,5.34114
43.8,15.7188,3002.06,50.0311,0.310766,5.33877
44.2,15.715,3001.34,50.0202,0.310782,5.33723
44.6,15.7125,3000.87,50.0132,0.310793,5.33623
45,15.7109,3000.57,50.0086,0.310799,5.33557
45.4,15.7099,3000.37,50.0056,0.310804,5.33515
45.8,15.7092,3000.24,50.0036,0.310807,5.33487
46.2,15.7088,3000.16,50.0024,0.310809,5.33469
46.6,15.7085,3000.1,50.0015,0.31081,5.33458
47,15.7083,3000.07,50.001,0.310811,5.3345
47.4,15.7082,3000.04,50.0007,0.310811,5.33445
47.8,15.7081,3000.03,50.0004,0.310812,5.33442
48.2,15.7081,3000.02,50.0003,0.310812,5.3344
48.6,15.708,3000.01,50.0002,0.310812,5.33438
49,15.708,3000.01,50.0001,0.310812,5.33437
49.4,15.708,3000.01,50.0001,0.310812,5.33437
49.8,15.708,3000,50,0.310812,5.33436
50.2,15.708,3000,50,0.310812,5.33436
50.6,15.708,3000,50,0.310812,5.33436
51,15.708,3000,50,0.310812,5.33436
51.4,15.708,3000,50,0.310812,5.33436
51.8,15.708,3000,50,0.310812,5.33436
52.2,15.708,3000,50,0.310812,5.33436
52.6,15.708,3000,50,0.310812,5.33436
53,15.708,3000,50,0.310812,5.33436
53.4,15.708,3000,50,0.310812,5.33436
53.8,15.708,3000,50,0.310812,5.33436
54.2,15.708,3000,50,0.310812,5.33436
54.6,15.708,3000,50,0.310812,5.33436
55,15.708,3000,50,0.310812,5.33436
55.4,15.708,3000,50,0.310812,5.33436
55.8,15.708,3000,50,0.310812,5.33436
56.2,15.708,3000,50,0.310812,5.33436
56.6,15.708,3000,50,0.310812,5.33436
57,15.708,3000,50,0.310812,5.33436
57.4,15.708,3000,50,0.310812,5.33436
57.8,15.708,3000,50,0.310812,5.33436
58.2,15.708,3000,50,0.310812,5.33436
58.6,15.708,3000,50,0.310812,5.33436
59,15.708,3000,50,0.310812,5.33436
59.4,15.708,3000,50,0.310812,5.33436
59.8,15.708,3000,50,0.310812,5.33436
60.2,31.7665,3033.47,97.4379,0.509772,8.07772
60.6,31.761,3032.95,100.484,0.50979,8.07626
61,31.641,3021.5,100.324,0.510202,8.04394
61.4,31.5625,3013.99,100.211,0.510471,8.02278
61.8,31.5113,3009.11,100.137,0.510647,8.009
62.2,31.478,3005.93,100.089,0.510761,8.00004
62.6,31.4563,3003.86,100.058,0.510836,7.9942
63,31.4422,3002.51,100.038,0.510884,7.9904
63.4,31.433,3001.64,100.025,0.510916,7.98793
63.8,31.4271,3001.06,100.016,0.510937,7.98632
64.3,31.4224,3000.62,100.009,0.510952,7.98507
64.8,31.4197,3000.36,100.005,0.510962,7.98434
65.3,31.4182,3000.21,100.003,0.510967,7.98392
65.8,31.4172,3000.12,100.002,0.51097,7.98367
66.3,31.4167,3000.07,100.001,0.510972,7.98352
66.8,31.4164,3000.04,100.001,0.510973,7.98344
67.3,31.4162,3000.02,100,0.510974,7.98339
67.8,31.4161,3000.01,100,0.510974,7.98336
68.3,31.416,3000.01,100,0.510975,7.98334
68.8,31.416,3000,100,0.510975,7.98333
69.3,31.416,3000,100,0.510975,7.98333
69.8,31.4159,3000,100,0.510975,7.98332
70.3,31.4159,3000,100,0.510975,7.98332
70.8,31.4159,3000,100,0.510975,7.98332
71.3,31.4159,3000,100,0.510975,7.98332
71.8,31.4159,3000,100,0.510975,7.98332
72.3,31.4159,3000,100,0.510975,7.98332
72.8,31.4159,3000,100,0.510975,7.98332
73.3,31.4159,3000,100,0.510975,7.98332
73.8,31.4159,3000,100,0.510975,7.98332
74.3,31.4159,3000,100,0.510975,7.98332
74.8,31.4159,3000,100,0.510975,7.98332
75.3,31.4159,3000,100,0.510975,7.98332
75.8,31.4159,3000,100,0.510975,7.98332
76.3,31.4159,3000,100,0.510975,7.98332
76.8,31.4159,3000,100,0.510975,7.98332
77.3,31.4159,3000,100,0.510975,7.98332
77.8,31.4159,3000,100,0.510975,7.98332
78.3,31.4159,3000,100,0.510975,7.98332
78.8,31.4159,3000,100,0.510975,7.98332
79.3,31.4159,3000,100,0.510975,7.98332
79.8,31.4159,3000,100,0.510975,7.98332
80.3,47.7718,3041.24,149.848,0.709101,10.8178
80.8,47.5423,3026.64,150.4,0.709821,10.7662
81.3,47.3686,3015.58,150.235,0.710367,10.7272
81.8,47.267,3009.11,150.137,0.710687,10.7043
82.3,47.2075,3005.33,150.08,0.710874,10.691
82.8,47.1728,3003.11,150.047,0.710983,10.6832
83.3,47.1525,3001.82,150.027,0.711047,10.6786
83.8,47.1406,3001.06,150.016,0.711085,10.6759
84.3,47.1337,3000.62,150.009,0.711107,10.6744
84.8,47.1296,3000.36,150.005,0.711119,10.6734
85.3,47.1272,3000.21,150.003,0.711127,10.6729
85.8,47.1258,3000.12,150.002,0.711131,10.6726
86.3,47.125,3000.07,150.001,0.711134,10.6724
86.8,47.1246,3000.04,150.001,0.711135,10.6723
87.3,47.1243,3000.02,150,0.711136,10.6722
87.8,47.1241,3000.01,150,0.711137,10.6722
88.3,47.124,3000.01,150,0.711137,10.6722
88.8,47.124,3000,150,0.711137,10.6722
89.3,47.1239,3000,150,0.711137,10.6722
89.8,47.1239,3000,150,0.711137,10.6722
90.3,47.1239,3000,150,0.711137,10.6722
90.8,47.1239,3000,150,0.711137,10.6722
91.3,47.1239,3000,150,0.711137,10.6722
91.8,47.1239,3000,150,0.711137,10.6722
92.3,47.1239,3000,150,0.711137,10.6722
92.8,47.1239,3000,150,0.711137,10.6722
93.3,47.1239,3000,150,0.711137,10.6722
93.8,47.1239,3000,150,0.711137,10.6722
94.3,47.1239,3000,150,0.711137,10.6722
94.8,47.1239,3000,150,0.711137,10.6722
95.3,47.1239,3000,150,0.711137,10.6722
95.8,47.1239,3000,150,0.711137,10.6722
96.3,47.1239,3000,150,0.711137,10.6722
96.8,47.1239,3000,150,0.711137,10.6722
97.3,47.1239,3000,150,0.711137,10.6722
97.8,47.1239,3000,150,0.711137,10.6722
98.3,47.1239,3000,150,0.711137,10.6722
98.8,47.1239,3000,150,0.711137,10.6722
99.3,47.1239,3000,150,0.711137,10.6722
99.8,47.1239,3000,150,0.711137,10.6722
100.3,63.6957,3041.24,199.848,0.908709,13.7206
100.8,63.3898,3026.64,200.4,0.909625,13.6513
101.3,63.1581,3015.58,200.235,0.91032,13.5987
101.8,63.0226,3009.11,200.137,0.910727,13.568
102.3,62.9434,3005.33,200.08,0.910965,13.5501
102.8,62.8971,3003.11,200.047,0.911104,13.5396
103.3,62.87,3001.82,200.027,0.911185,13.5334
103.8,62.8541,3001.06,200.016,0.911233,13.5298
104.3,62.8449,3000.62,200.009,0.911261,13.5277
104.8,62.8395,3000.36,200.005,0.911277,13.5265
105.3,62.8363,3000.21,200.003,0.911287,13.5258
105.8,62.8345,3000.12,200.002,0.911292,13.5254
106.3,62.8334,3000.07,200.001,0.911295,13.5251
106.8,62.8327,3000.04,200.001,0.911297,13.525
107.3,62.8324,3000.02,200,0.911298,13.5249
107.8,62.8322,3000.01,200,0.911299,13.5249
108.3,62.832,3000.01,200,0.911299,13.5248
108.8,62.832,3000,200,0.9113,13.5248
109.3,62.8319,3000,200,0.9113,13.5248
109.8,62.8319,3000,200,0.9113,13.5248
110.3,62.8319,3000,200,0.9113,13.5248
110.8,62.8319,3000,200,0.9113,13.5248
111.3,62.8319,3000,200,0.9113,13.5248
111.8,62.8319,3000,200,0.9113,13.5248
112.3,62.8319,3000,200,0.9113,13.5248
112.8,62.8319,3000,200,0.9113,13.5248
113.3,62.8319,3000,200,0.9113,13.5248
113.8,62.8319,3000,200,0.9113,13.5248
114.3,62.8319,3000,200,0.9113,13.5248
114.8,62.8319,3000,200,0.9113,13.5248
115.3,62.8319,3000,200,0.9113,13.5248
115.8,62.8319,3000,200,0.9113,13.5248
116.3,62.8319,3000,200,0.9113,13.5248
116.8,62.8319,3000,200,0.9113,13.5248
117.3,62.8319,3000,200,0.9113,13.5248
117.8,62.8319,3000,200,0.9113,13.5248
118.3,62.8319,3000,200,0.9113,13.5248
118.8,62.8319,3000,200,0.9113,13.5248
119.3,62.8319,3000,200,0.9113,13.5248
119.8,62.8319,3000,200,0.9113,13.5248
120.3,26.0215,4969.73,44.5127,0.295219,10.1905
120.8,26.1733,4998.74,49.976,0.295599,10.2728
121.3,26.1762,4999.28,49.9891,0.295607,10.2744
121.8,26.1777,4999.58,49.9936,0.295611,10.2752
122.3,26.1786,4999.75,49.9963,0.295613,10.2757
122.8,26.1792,4999.86,49.9978,0.295614,10.276
123.3,26.1795,4999.92,49.9987,0.295615,10.2762
123.8,26.1797,4999.95,49.9993,0.295615,10.2763
124.3,26.1798,4999.97,49.9996,0.295616,10.2763
124.8,26.1799,4999.98,49.9997,0.295616,10.2764
125.3,26.1799,4999.99,49.9999,0.295616,10.2764
125.8,26.1799,4999.99,49.9999,0.295616,10.2764
126.3,26.1799,5000,49.9999,0.295616,10.2764
126.8,26.1799,5000,50,0.295616,10.2764
127.3,26.1799,5000,50,0.295616,10.2764
127.8,26.1799,5000,50,0.295616,10.2764
128.3,26.1799,5000,50,0.295616,10.2764
128.8,26.1799,5000,50,0.295616,10.2764
129.3,26.1799,5000,50,0.295616,10.2764
129.8,26.1799,5000,50,0.295616,10.2764
130.3,26.1799,5000,50,0.295616,10.2764
130.8,26.1799,5000,50,0.295616,10.2764
131.3,26.1799,5000,50,0.295616,10.2764
131.8,26.1799,5000,50,0.295616,10.2764
132.3,26.1799,5000,50,0.295616,10.2764
132.8,26.1799,5000,50,0.295616,10.2764
133.3,26.1799,5000,50,0.295616,10.2764
133.8,26.1799,5000,50,0.295616,10.2764
134.3,26.1799,5000,50,0.295616,10.2764
134.8,26.1799,5000,50,0.295616,10.2764
135.3,26.1799,5000,50,0.295616,10.2764
135.8,26.1799,5000,50,0.295616,10.2764
136.3,26.1799,5000,50,0.295616,10.2764
136.8,26.1799,5000,50,0.295616,10.2764
137.3,26.1799,5000,50,0.295616,10.2764
137.8,26.1799,5000,50,0.295616,10.2764
138.3,26.1799,5000,50,0.295616,10.2764
138.8,26.1799,5000,50,0.295616,10.2764
139.3,26.1799,5000,50,0.295616,10.2764
139.8,26.1799,5000,50,0.295616,10.2764
140.3,52.7918,5041.24,99.8483,0.492559,14.8428
140.8,52.6388,5026.64,100.4,0.492175,14.7916
141.3,52.523,5015.58,100.235,0.491884,14.7528
141.8,52.4553,5009.11,100.137,0.491714,14.7301
142.3,52.4156,5005.33,100.08,0.491615,14.7168
142.8,52.3925,5003.11,100.047,0.491557,14.709
143.3,52.3789,5001.82,100.027,0.491523,14.7045
143.8,52.371,5001.06,100.016,0.491503,14.7018
144.3,52.3664,5000.62,100.009,0.491491,14.7003
144.8,52.3637,5000.36,100.005,0.491484,14.6994
145.3,52.3621,5000.21,100.003,0.491481,14.6989
145.8,52.3612,5000.12,100.002,0.491478,14.6985
146.3,52.3606,5000.07,100.001,0.491477,14.6984
146.8,52.3603,5000.04,100.001,0.491476,14.6983
147.3,52.3601,5000.02,100,0.491476,14.6982
147.8,52.36,5000.01,100,0.491475,14.6982
148.3,52.36,5000.01,100,0.491475,14.6981
148.8,52.3599,5000,100,0.491475,14.6981
149.3,52.3599,5000,100,0.491475,14.6981
149.8,52.3599,5000,100,0.491475,14.6981
150.3,52.3599,5000,100,0.491475,14.6981
150.8,52.3599,5000,100,0.491475,14.6981
151.3,52.3599,5000,100,0.491475,14.6981
151.8,52.3599,5000,100,0.491475,14.6981
152.3,52.3599,5000,100,0.491475,14.6981
152.8,52.3599,5000,100,0.491475,14.6981
153.3,52.3599,5000,100,0.491475,14.6981
153.8,52.3599,5000,100,0.491475,14.6981
154.3,52.3599,5000,100,0.491475,14.6981
154.8,52.3599,5000,100,0.491475,14.6981
155.3,52.3599,5000,100,0.491475,14.6981
155.8,52.3599,5000,100,0.491475,14.6981
156.3,52.3599,5000,100,0.491475,14.6981
156.8,52.3599,5000,100,0.491475,14.6981
157.3,52.3599,5000,100,0.491475,14.6981
157.8,52.3599,5000,100,0.491475,14.6981
158.3,52.3599,5000,100,0.491475,14.6981
158.8,52.3599,5000,100,0.491475,14.6981
159.3,52.3599,5000,100,0.491475,14.6981
159.8,52.3599,5000,100,0.491475,14.6981
160.3,79.1877,5041.24,149.848,0.688958,19.7626
160.8,78.9583,5026.64,150.4,0.688382,19.6894
161.3,78.7845,5015.58,150.235,0.687946,19.6339
161.8,78.6829,5009.11,150.137,0.687692,19.6014
162.3,78.6235,5005.33,150.08,0.687543,19.5825
162.8,78.5887,5003.11,150.047,0.687456,19.5714
163.3,78.5684,5001.82,150.027,0.687405,19.5649
163.8,78.5565,5001.06,150.016,0.687376,19.5611
164.3,78.5496,5000.62,150.009,0.687358,19.5589
164.8,78.5455,5000.36,150.005,0.687348,19.5576
165.3,78.5432,5000.21,150.003,0.687342,19.5568
165.8,78.5418,5000.12,150.002,0.687339,19.5564
166.3,78.541,5000.07,150.001,0.687337,19.5561
166.8,78.5405,5000.04,150.001,0.687335,19.556
167.3,78.5402,5000.02,150,0.687335,19.5559
167.8,78.54,5000.01,150,0.687334,19.5558
168.3,78.5399,5000.01,150,0.687334,19.5558
168.8,78.5399,5000,150,0.687334,19.5558
169.3,78.5399,5000,150,0.687334,19.5558
169.8,78.5398,5000,150,0.687334,19.5558
170.3,78.5398,5000,150,0.687334,19.5558
170.8,78.5398,5000,150,0.687334,19.5557
171.3,78.5398,5000,150,0.687334,19.5557
171.8,78.5398,5000,150,0.687334,19.5557
172.3,78.5398,5000,150,0.687334,19.5557
172.8,78.5398,5000,150,0.687334,19.5557
173.3,78.5398,5000,150,0.687334,19.5557
173.8,78.5398,5000,150,0.687334,19.5557
174.3,78.5398,5000,150,0.687334,19.5557
174.8,78.5398,5000,150,0.687334,19.5557
175.3,78.5398,5000,150,0.687334,19.5557
175.8,78.5398,5000,150,0.687334,19.5557
176.3,78.5398,5000,150,0.687334,19.5557
176.8,78.5398,5000,150,0.687334,19.5557
177.3,78.5398,5000,150,0.687334,19.5557
177.8,78.5398,5000,150,0.687334,19.5557
178.3,78.5398,5000,150,0.687334,19.5557
178.8,78.5398,5000,150,0.687334,19.5557
179.3,78.5398,5000,150,0.687334,19.5557
179.8,78.5398,5000,150,0.687334,19.5557
180.3,105.584,5041.24,199.848,0.885357,25.8477
180.8,105.278,5026.64,200.4,0.884589,25.7226
181.3,105.046,5015.58,200.235,0.884009,25.6279
181.8,104.911,5009.11,200.137,0.88367,25.5725
182.3,104.831,5005.33,200.08,0.883471,25.5401
182.8,104.785,5003.11,200.047,0.883356,25.5211
183.3,104.758,5001.82,200.027,0.883288,25.51
183.8,104.742,5001.06,200.016,0.883248,25.5036
184.3,104.733,5000.62,200.009,0.883225,25.4998
184.8,104.727,5000.36,200.005,0.883212,25.4976
185.3,104.724,5000.21,200.003,0.883204,25.4963
185.8,104.722,5000.12,200.002,0.883199,25.4955
186.3,104.721,5000.07,200.001,0.883196,25.4951
186.8,104.721,5000.04,200.001,0.883195,25.4948
187.3,104.72,5000.02,200,0.883194,25.4947
187.8,104.72,5000.01,200,0.883193,25.4946
188.3,104.72,5000.01,200,0.883193,25.4945
188.8,104.72,5000,200,0.883193,25.4945
189.3,104.72,5000,200,0.883193,25.4945
189.8,104.72,5000,200,0.883193,25.4945
190.3,104.72,5000,200,0.883193,25.4945
190.8,104.72,5000,200,0.883193,25.4945
191.3,104.72,5000,200,0.883193,25.4945
191.8,104.72,5000,200,0.883193,25.4945
192.3,104.72,5000,200,0.883193,25.4945
192.8,104.72,5000,200,0.883193,25.4945
193.3,104.72,5000,200,0.883193,25.4945
193.8,104.72,5000,200,0.883193,25.4945
194.3,104.72,5000,200,0.883193,25.4945
194.8,104.72,5000,200,0.883193,25.4945
195.3,104.72,5000,200,0.883193,25.4945
195.8,104.72,5000,200,0.883193,25.4945
196.3,104.72,5000,200,0.883193,25.4945
196.8,104.72,5000,200,0.883193,25.4945
197.3,104.72,5000,200,0.883193,25.4945
197.8,104.72,5000,200,0.883193,25.4945
198.3,104.72,5000,200,0.883193,25.4945
198.8,104.72,5000,200,0.883193,25.4945
199.3,104.72,5000,200,0.883193,25.4945
199.8,104.72,5000,200,0.883193,25.4945
200.1,-2.17425e+07,-1.02772e+09,-1.86887e+10,-54400,-8.8107e+06
