Time,controlledTemperature_fmu.temperatureSensor_port_T
1.377,293.15
1.38,293.15
1.38,293.15
1.383,293.15
1.386,293.15
1.389,293.15
1.392,293.15
1.395,293.15
1.398,293.15
1.4,293.15
1.4,293.15
1.401,293.15
1.404,293.15
1.407,293.15
1.41,293.15
1.413,293.15
1.416,293.15
1.419,293.15
1.42,293.15
1.42,293.15
1.422,293.15
1.425,293.15
1.428,293.15
1.431,293.15
1.434,293.15
1.437,293.15
1.44,293.15
1.44,293.15
1.443,293.15
1.446,293.15
1.449,293.15
1.452,293.15
1.455,293.15
1.458,293.15
1.46,293.15
1.46,293.15
1.461,293.15
1.464,293.15
1.467,293.15
1.47,293.15
1.473,293.15
1.476,293.15
1.479,293.15
1.48,293.15
1.48,293.15
1.482,293.15
1.485,293.15
1.488,293.15
1.491,293.15
1.494,293.15
1.497,293.15
1.5,293.15
1.5,293.15
