"time","'U@resistance'","'I@variable_0resistance'"
2.6e-006,1.22704,-1.39439e-006
2.7e-006,1.22704,-1.39439e-006
2.7e-006,1.31204,-1.44224e-006
2.8e-006,1.31204,-1.44224e-006
2.8e-006,1.39442,-1.48521e-006
2.9e-006,1.39442,-1.48521e-006
2.9e-006,1.47333,-1.52307e-006
3e-006,1.47333,-1.52307e-006
3e-006,1.5479,-1.55564e-006
3.1e-006,1.5479,-1.55564e-006
3.1e-006,1.61732,-1.58279e-006
3.2e-006,1.61732,-1.58279e-006
3.2e-006,1.68078,-1.60445e-006
3.3e-006,1.68078,-1.60445e-006
3.3e-006,1.73751,-1.6206e-006
3.4e-006,1.73751,-1.6206e-006
3.4e-006,1.78681,-1.63129e-006
3.5e-006,1.78681,-1.63129e-006
3.5e-006,1.82802,-1.6366e-006
3.6e-006,1.82802,-1.6366e-006
3.6e-006,1.86055,-1.63667e-006
3.7e-006,1.86055,-1.63667e-006
3.7e-006,1.88387,-1.6317e-006
3.8e-006,1.88387,-1.6317e-006
3.8e-006,1.89753,-1.62192e-006
3.9e-006,1.89753,-1.62192e-006
3.9e-006,1.90117,-1.60761e-006
4e-006,1.90117,-1.60761e-006
4e-006,1.8945,-1.58908e-006
4.1e-006,1.8945,-1.58908e-006
4.1e-006,1.87735,-1.5667e-006
4.2e-006,1.87735,-1.5667e-006
4.2e-006,1.84959,-1.54083e-006
4.3e-006,1.84959,-1.54083e-006
4.3e-006,1.81124,-1.51188e-006
4.4e-006,1.81124,-1.51188e-006
4.4e-006,1.76237,-1.48029e-006
4.5e-006,1.76237,-1.48029e-006
4.5e-006,1.70317,-1.4465e-006
4.6e-006,1.70317,-1.4465e-006
4.6e-006,1.6339,-1.41095e-006
4.7e-006,1.6339,-1.41095e-006
4.7e-006,1.55493,-1.37411e-006
4.8e-006,1.55493,-1.37411e-006
4.8e-006,1.4667,-1.33644e-006
4.9e-006,1.4667,-1.33644e-006
4.9e-006,1.36974,-1.2984e-006
5e-006,1.36974,-1.2984e-006
5e-006,1.26466,-1.26042e-006
5.1e-006,1.26466,-1.26042e-006
5.1e-006,1.01481,0.0229695
5.2e-006,1.01481,0.0229695
5.2e-006,0.764836,0.0119397
5.3e-006,0.764836,0.0119397
5.3e-006,0.517079,0.000952832
5.4e-006,0.517079,0.000952832
5.4e-006,0.272587,-0.00997123
5.5e-006,0.272587,-0.00997123
5.5e-006,0.0323679,-0.0208132
5.6e-006,0.0323679,-0.0208132
5.6e-006,-0.202618,-0.0315549
5.7e-006,-0.202618,-0.0315549
5.7e-006,-0.431451,-0.0421786
5.8e-006,-0.431451,-0.0421786
5.8e-006,-0.653259,-0.0526677
5.9e-006,-0.653259,-0.0526677
5.9e-006,-0.867221,-0.0630065
6e-006,-0.867221,-0.0630065
6e-006,-1.07257,-0.0731805
6.1e-006,-1.07257,-0.0731805
6.1e-006,-1.26859,-0.0831759
6.2e-006,-1.26859,-0.0831759
6.2e-006,-1.45462,-0.0929803
6.3e-006,-1.45462,-0.0929803
6.3e-006,-1.63008,-0.102582
6.4e-006,-1.63008,-0.102582
6.4e-006,-1.79442,-0.111971
6.5e-006,-1.79442,-0.111971
6.5e-006,-1.94716,-0.121139
6.6e-006,-1.94716,-0.121139
6.6e-006,-2.08789,-0.130077
6.7e-006,-2.08789,-0.130077
6.7e-006,-2.21626,-0.138778
6.8e-006,-2.21626,-0.138778
6.8e-006,-2.33199,-0.147238
6.9e-006,-2.33199,-0.147238
6.9e-006,-2.43483,-0.155451
7e-006,-2.43483,-0.155451
7e-006,-2.52463,-0.163415
7.1e-006,-2.52463,-0.163415
7.1e-006,-2.60128,-0.171127
7.2e-006,-2.60128,-0.171127
7.2e-006,-2.66473,-0.178587
7.3e-006,-2.66473,-0.178587
7.3e-006,-2.71501,-0.185795
7.4e-006,-2.71501,-0.185795
7.4e-006,-2.75218,-0.192753
7.5e-006,-2.75218,-0.192753
7.5e-006,-2.77638,-0.199463
7.6e-006,-2.77638,-0.199463
7.6e-006,-2.78779,-0.205927
7.7e-006,-2.78779,-0.205927
7.7e-006,-2.78663,-0.212152
7.8e-006,-2.78663,-0.212152
7.8e-006,-2.77321,-0.218143
7.9e-006,-2.77321,-0.218143
7.9e-006,-2.74785,-0.223905
8e-006,-2.74785,-0.223905
8e-006,-2.71093,-0.229446
8.1e-006,-2.71093,-0.229446
8.1e-006,-2.66287,-0.234774
8.2e-006,-2.66287,-0.234774
8.2e-006,-2.60414,-0.239897
8.3e-006,-2.60414,-0.239897
8.3e-006,-2.53522,-0.244827
8.4e-006,-2.53522,-0.244827
8.4e-006,-2.45666,-0.249571
8.5e-006,-2.45666,-0.249571
8.5e-006,-2.36901,-0.254142
8.6e-006,-2.36901,-0.254142
8.6e-006,-2.27287,-0.258551
8.7e-006,-2.27287,-0.258551
8.7e-006,-2.16884,-0.262808
8.8e-006,-2.16884,-0.262808
8.8e-006,-2.05757,-0.266927
8.9e-006,-2.05757,-0.266927
8.9e-006,-1.93971,-0.27092
9e-006,-1.93971,-0.27092
9e-006,-1.81591,-0.274799
9.1e-006,-1.81591,-0.274799
9.1e-006,-1.68687,-0.278578
9.2e-006,-1.68687,-0.278578
9.2e-006,-1.55327,-0.282269
9.3e-006,-1.55327,-0.282269
9.3e-006,-1.41579,-0.285886
9.4e-006,-1.41579,-0.285886
9.4e-006,-1.27514,-0.289442
9.5e-006,-1.27514,-0.289442
9.5e-006,-1.132,-0.292951
9.6e-006,-1.132,-0.292951
9.6e-006,-0.987065,-0.296424
9.7e-006,-0.987065,-0.296424
9.7e-006,-0.84101,-0.299876
9.8e-006,-0.84101,-0.299876
9.8e-006,-0.694506,-0.303319
9.9e-006,-0.694506,-0.303319
9.9e-006,-0.548204,-0.306766
1e-005,-0.548204,-0.306766
1e-005,-0.402746,-0.310228
1.01e-005,-0.402746,-0.310228
1.01e-005,-0.239278,-3.51164e-007
1.02e-005,-0.239278,-3.51164e-007
1.02e-005,-0.0394878,-6.99886e-007
1.03e-005,-0.0394878,-6.99886e-007
1.03e-005,0.194829,-1.04608e-006
1.04e-005,0.194829,-1.04608e-006
1.04e-005,0.461407,-1.3866e-006
1.05e-005,0.461407,-1.3866e-006
1.05e-005,0.757548,-1.71842e-006
1.06e-005,0.757548,-1.71842e-006
1.06e-005,1.08015,-2.03863e-006
1.07e-005,1.08015,-2.03863e-006
1.07e-005,1.42574,-2.34445e-006
1.08e-005,1.42574,-2.34445e-006
1.08e-005,1.79054,-2.63329e-006
1.09e-005,1.79054,-2.63329e-006
1.09e-005,2.17047,-2.90279e-006
1.1e-005,2.17047,-2.90279e-006
1.1e-005,2.56124,-3.15076e-006
1.11e-005,2.56124,-3.15076e-006
1.11e-005,2.95837,-3.3753e-006
1.12e-005,2.95837,-3.3753e-006
1.12e-005,3.35726,-3.57476e-006
1.13e-005,3.35726,-3.57476e-006
1.13e-005,3.75322,-3.74774e-006
1.14e-005,3.75322,-3.74774e-006
1.14e-005,4.14156,-3.89316e-006
1.15e-005,4.14156,-3.89316e-006
1.15e-005,4.51761,-4.0102e-006
1.16e-005,4.51761,-4.0102e-006
1.16e-005,4.87679,-4.09837e-006
1.17e-005,4.87679,-4.09837e-006
1.17e-005,5.21465,-4.15745e-006
1.18e-005,5.21465,-4.15745e-006
1.18e-005,5.52693,-4.18754e-006
1.19e-005,5.52693,-4.18754e-006
1.19e-005,5.80962,-4.189e-006
1.2e-005,5.80962,-4.189e-006
1.2e-005,6.05896,-4.16251e-006
1.21e-005,6.05896,-4.16251e-006
1.21e-005,6.27152,-4.10898e-006
1.22e-005,6.27152,-4.10898e-006
1.22e-005,6.44425,-4.02963e-006
1.23e-005,6.44425,-4.02963e-006
1.23e-005,6.57445,-3.92586e-006
1.24e-005,6.57445,-3.92586e-006
1.24e-005,6.65988,-3.79936e-006
1.25e-005,6.65988,-3.79936e-006
1.25e-005,6.69872,-3.65196e-006
1.26e-005,6.69872,-3.65196e-006
1.26e-005,6.68962,-3.48571e-006
1.27e-005,6.68962,-3.48571e-006
1.27e-005,6.63171,-3.30281e-006
1.28e-005,6.63171,-3.30281e-006
1.28e-005,6.5246,-3.10557e-006
1.29e-005,6.5246,-3.10557e-006
1.29e-005,6.3684,-2.89643e-006
1.3e-005,6.3684,-2.89643e-006
1.3e-005,6.1637,-2.67788e-006
1.31e-005,6.1637,-2.67788e-006
1.31e-005,5.91159,-2.45248e-006
1.32e-005,5.91159,-2.45248e-006
1.32e-005,5.61361,-2.22279e-006
1.33e-005,5.61361,-2.22279e-006
1.33e-005,5.27177,-1.99138e-006
1.34e-005,5.27177,-1.99138e-006
1.34e-005,4.88851,-1.76077e-006
1.35e-005,4.88851,-1.76077e-006
1.35e-005,4.46666,-1.53343e-006
1.36e-005,4.46666,-1.53343e-006
1.36e-005,4.00945,-1.31173e-006
1.37e-005,4.00945,-1.31173e-006
1.37e-005,3.52045,-1.09795e-006
1.38e-005,3.52045,-1.09795e-006
1.38e-005,3.00352,-8.94203e-007
1.39e-005,3.00352,-8.94203e-007
1.39e-005,2.4628,-7.02477e-007
1.4e-005,2.4628,-7.02477e-007
1.4e-005,1.90265,-5.24567e-007
1.41e-005,1.90265,-5.24567e-007
1.41e-005,1.32761,-3.62084e-007
1.42e-005,1.32761,-3.62084e-007
1.42e-005,0.742356,-2.16431e-007
1.43e-005,0.742356,-2.16431e-007
1.43e-005,0.151636,-8.87914e-008
1.44e-005,0.151636,-8.87914e-008
1.44e-005,-0.439753,1.9876e-008
1.45e-005,-0.439753,1.9876e-008
1.45e-005,-1.02703,1.08849e-007
1.46e-005,-1.02703,1.08849e-007
1.46e-005,-1.60546,1.77645e-007
1.47e-005,-1.60546,1.77645e-007
1.47e-005,-2.17043,2.26019e-007
1.48e-005,-2.17043,2.26019e-007
1.48e-005,-2.71747,2.5397e-007
1.49e-005,-2.71747,2.5397e-007
1.49e-005,-3.24228,2.6173e-007
1.5e-005,-3.24228,2.6173e-007
1.5e-005,-3.74084,2.49762e-007
1.51e-005,-3.74084,2.49762e-007
1.51e-005,-4.18326,-0.0339356
1.52e-005,-4.18326,-0.0339356
1.52e-005,-4.59709,-0.0480933
1.53e-005,-4.59709,-0.0480933
1.53e-005,-4.98138,-0.0616867
1.54e-005,-4.98138,-0.0616867
1.54e-005,-5.33511,-0.0746961
1.55e-005,-5.33511,-0.0746961
1.55e-005,-5.6574,-0.0871048
1.56e-005,-5.6574,-0.0871048
1.56e-005,-5.94752,-0.098899
1.57e-005,-5.94752,-0.098899
1.57e-005,-6.20492,-0.110068
1.58e-005,-6.20492,-0.110068
1.58e-005,-6.42919,-0.120604
1.59e-005,-6.42919,-0.120604
1.59e-005,-6.62009,-0.130503
1.6e-005,-6.62009,-0.130503
1.6e-005,-6.77752,-0.139763
1.61e-005,-6.77752,-0.139763
1.61e-005,-6.90153,-0.148384
1.62e-005,-6.90153,-0.148384
1.62e-005,-6.99232,-0.15637
1.63e-005,-6.99232,-0.15637
1.63e-005,-7.05024,-0.163729
1.64e-005,-7.05024,-0.163729
1.64e-005,-7.07576,-0.170469
1.65e-005,-7.07576,-0.170469
1.65e-005,-7.0695,-0.176602
1.66e-005,-7.0695,-0.176602
1.66e-005,-7.03219,-0.182142
1.67e-005,-7.03219,-0.182142
1.67e-005,-6.96469,-0.187105
1.68e-005,-6.96469,-0.187105
1.68e-005,-6.86798,-0.19151
1.69e-005,-6.86798,-0.19151
1.69e-005,-6.74313,-0.195378
1.7e-005,-6.74313,-0.195378
1.7e-005,-6.59133,-0.198731
1.71e-005,-6.59133,-0.198731
1.71e-005,-6.41384,-0.201593
1.72e-005,-6.41384,-0.201593
1.72e-005,-6.21203,-0.203991
1.73e-005,-6.21203,-0.203991
1.73e-005,-5.98733,-0.205952
1.74e-005,-5.98733,-0.205952
1.74e-005,-5.74123,-0.207504
1.75e-005,-5.74123,-0.207504
1.75e-005,-5.47531,-0.208677
1.76e-005,-5.47531,-0.208677
1.76e-005,-5.19118,-0.209502
1.77e-005,-5.19118,-0.209502
1.77e-005,-4.89049,-0.210011
1.78e-005,-4.89049,-0.210011
1.78e-005,-4.57496,-0.210237
1.79e-005,-4.57496,-0.210237
1.79e-005,-4.24629,-0.210211
1.8e-005,-4.24629,-0.210211
1.8e-005,-3.90624,-0.209968
1.81e-005,-3.90624,-0.209968
1.81e-005,-3.55655,-0.209541
1.82e-005,-3.55655,-0.209541
1.82e-005,-3.19899,-0.208963
1.83e-005,-3.19899,-0.208963
1.83e-005,-2.83531,-0.208268
1.84e-005,-2.83531,-0.208268
1.84e-005,-2.46724,-0.20749
1.85e-005,-2.46724,-0.20749
1.85e-005,-2.09652,-0.20666
1.86e-005,-2.09652,-0.20666
1.86e-005,-1.72482,-0.205811
1.87e-005,-1.72482,-0.205811
1.87e-005,-1.35383,-0.204976
1.88e-005,-1.35383,-0.204976
1.88e-005,-0.985151,-0.204185
1.89e-005,-0.985151,-0.204185
1.89e-005,-0.620355,-0.203467
1.9e-005,-0.620355,-0.203467
1.9e-005,-0.260971,-0.202853
1.91e-005,-0.260971,-0.202853
1.91e-005,0.0915371,-0.202369
1.92e-005,0.0915371,-0.202369
1.92e-005,0.435766,-0.202044
1.93e-005,0.435766,-0.202044
1.93e-005,0.770387,-0.201901
1.94e-005,0.770387,-0.201901
1.94e-005,1.09414,-0.201966
1.95e-005,1.09414,-0.201966
1.95e-005,1.40583,-0.202261
1.96e-005,1.40583,-0.202261
1.96e-005,1.70436,-0.202806
1.97e-005,1.70436,-0.202806
1.97e-005,1.98871,-0.203622
1.98e-005,1.98871,-0.203622
1.98e-005,2.25794,-0.204727
1.99e-005,2.25794,-0.204727
1.99e-005,2.51121,-0.206136
2e-005,2.51121,-0.206136
2e-005,2.74774,-0.207864
2.01e-005,2.74774,-0.207864
2.01e-005,2.97991,-2.35104e-007
2.02e-005,2.97991,-2.35104e-007
2.02e-005,3.2198,-4.68443e-007
2.03e-005,3.2198,-4.68443e-007
2.03e-005,3.46612,-7.00313e-007
2.04e-005,3.46612,-7.00313e-007
2.04e-005,3.71736,-9.28972e-007
2.05e-005,3.71736,-9.28972e-007
2.05e-005,3.97187,-1.15273e-006
2.06e-005,3.97187,-1.15273e-006
2.06e-005,4.2278,-1.36999e-006
2.07e-005,4.2278,-1.36999e-006
2.07e-005,4.48318,-1.5792e-006
2.08e-005,4.48318,-1.5792e-006
2.08e-005,4.73592,-1.77895e-006
2.09e-005,4.73592,-1.77895e-006
2.09e-005,4.98383,-1.96792e-006
2.1e-005,4.98383,-1.96792e-006
2.1e-005,5.22466,-2.14492e-006
2.11e-005,5.22466,-2.14492e-006
2.11e-005,5.45611,-2.30887e-006
2.12e-005,5.45611,-2.30887e-006
2.12e-005,5.67585,-2.45887e-006
2.13e-005,5.67585,-2.45887e-006
2.13e-005,5.88157,-2.59413e-006
2.14e-005,5.88157,-2.59413e-006
2.14e-005,6.071,-2.71405e-006
2.15e-005,6.071,-2.71405e-006
2.15e-005,6.24193,-2.81814e-006
2.16e-005,6.24193,-2.81814e-006
2.16e-005,6.39223,-2.90609e-006
2.17e-005,6.39223,-2.90609e-006
2.17e-005,6.51988,-2.97777e-006
2.18e-005,6.51988,-2.97777e-006
2.18e-005,6.62302,-3.03316e-006
2.19e-005,6.62302,-3.03316e-006
2.19e-005,6.69992,-3.07242e-006
2.2e-005,6.69992,-3.07242e-006
2.2e-005,6.74905,-3.09586e-006
2.21e-005,6.74905,-3.09586e-006
2.21e-005,6.76906,-3.10391e-006
2.22e-005,6.76906,-3.10391e-006
2.22e-005,6.75884,-3.09715e-006
2.23e-005,6.75884,-3.09715e-006
2.23e-005,6.71748,-3.07628e-006
2.24e-005,6.71748,-3.07628e-006
2.24e-005,6.64434,-3.04213e-006
2.25e-005,6.64434,-3.04213e-006
2.25e-005,6.53901,-2.99561e-006
2.26e-005,6.53901,-2.99561e-006
2.26e-005,6.40136,-2.93773e-006
2.27e-005,6.40136,-2.93773e-006
2.27e-005,6.2315,-2.86958e-006
2.28e-005,6.2315,-2.86958e-006
2.28e-005,6.02982,-2.79234e-006
2.29e-005,6.02982,-2.79234e-006
2.29e-005,5.79698,-2.7072e-006
2.3e-005,5.79698,-2.7072e-006
2.3e-005,5.53389,-2.61541e-006
2.31e-005,5.53389,-2.61541e-006
2.31e-005,5.2417,-2.51826e-006
2.32e-005,5.2417,-2.51826e-006
2.32e-005,4.92184,-2.41702e-006
2.33e-005,4.92184,-2.41702e-006
2.33e-005,4.57594,-2.31298e-006
2.34e-005,4.57594,-2.31298e-006
2.34e-005,4.20587,-2.20739e-006
2.35e-005,4.20587,-2.20739e-006
2.35e-005,3.81371,-2.10149e-006
2.36e-005,3.81371,-2.10149e-006
2.36e-005,3.4017,-1.99647e-006
2.37e-005,3.4017,-1.99647e-006
2.37e-005,2.97227,-1.89346e-006
2.38e-005,2.97227,-1.89346e-006
2.38e-005,2.52798,-1.79351e-006
2.39e-005,2.52798,-1.79351e-006
2.39e-005,2.07153,-1.69763e-006
2.4e-005,2.07153,-1.69763e-006
2.4e-005,1.60571,-1.6067e-006
2.41e-005,1.60571,-1.6067e-006
2.41e-005,1.13337,-1.52153e-006
2.42e-005,1.13337,-1.52153e-006
2.42e-005,0.657427,-1.44283e-006
2.43e-005,0.657427,-1.44283e-006
2.43e-005,0.180823,-1.37119e-006
2.44e-005,0.180823,-1.37119e-006
2.44e-005,-0.293513,-1.30709e-006
2.45e-005,-0.293513,-1.30709e-006
2.45e-005,-0.762675,-1.2509e-006
2.46e-005,-0.762675,-1.2509e-006
2.46e-005,-1.22381,-1.20288e-006
2.47e-005,-1.22381,-1.20288e-006
2.47e-005,-1.67415,-1.16316e-006
2.48e-005,-1.67415,-1.16316e-006
2.48e-005,-2.11101,-1.13176e-006
2.49e-005,-2.11101,-1.13176e-006
2.49e-005,-2.53185,-1.10858e-006
2.5e-005,-2.53185,-1.10858e-006
2.5e-005,-2.93426,-1.09341e-006
2.51e-005,-2.93426,-1.09341e-006
2.51e-005,-3.43644,-0.00557278
2.52e-005,-3.43644,-0.00557278
2.52e-005,-3.91332,-0.0209351
2.53e-005,-3.91332,-0.0209351
2.53e-005,-4.36226,-0.0357637
2.54e-005,-4.36226,-0.0357637
2.54e-005,-4.78193,-0.0500328
2.55e-005,-4.78193,-0.0500328
2.55e-005,-5.17112,-0.0637196
2.56e-005,-5.17112,-0.0637196
2.56e-005,-5.52879,-0.0768044
2.57e-005,-5.52879,-0.0768044
2.57e-005,-5.85408,-0.0892704
2.58e-005,-5.85408,-0.0892704
2.58e-005,-6.14627,-0.101104
2.59e-005,-6.14627,-0.101104
2.59e-005,-6.40481,-0.112295
2.6e-005,-6.40481,-0.112295
2.6e-005,-6.62933,-0.122836
2.61e-005,-6.62933,-0.122836
2.61e-005,-6.81957,-0.132722
2.62e-005,-6.81957,-0.132722
2.62e-005,-6.97549,-0.141953
2.63e-005,-6.97549,-0.141953
2.63e-005,-7.09714,-0.150529
2.64e-005,-7.09714,-0.150529
2.64e-005,-7.18477,-0.158455
2.65e-005,-7.18477,-0.158455
2.65e-005,-7.23874,-0.165739
2.66e-005,-7.23874,-0.165739
2.66e-005,-7.25958,-0.172389
2.67e-005,-7.25958,-0.172389
2.67e-005,-7.24792,-0.178419
2.68e-005,-7.24792,-0.178419
2.68e-005,-7.20456,-0.183843
2.69e-005,-7.20456,-0.183843
2.69e-005,-7.13038,-0.188679
2.7e-005,-7.13038,-0.188679
2.7e-005,-7.0264,-0.192946
2.71e-005,-7.0264,-0.192946
2.71e-005,-6.89375,-0.196665
2.72e-005,-6.89375,-0.196665
2.72e-005,-6.73366,-0.199859
2.73e-005,-6.73366,-0.199859
2.73e-005,-6.54744,-0.202555
2.74e-005,-6.54744,-0.202555
2.74e-005,-6.3365,-0.204779
2.75e-005,-6.3365,-0.204779
2.75e-005,-6.10233,-0.206559
2.76e-005,-6.10233,-0.206559
2.76e-005,-5.84646,-0.207924
2.77e-005,-5.84646,-0.207924
2.77e-005,-5.57053,-0.208906
2.78e-005,-5.57053,-0.208906
2.78e-005,-5.27619,-0.209537
2.79e-005,-5.27619,-0.209537
2.79e-005,-4.96515,-0.209848
2.8e-005,-4.96515,-0.209848
2.8e-005,-4.63916,-0.209874
2.81e-005,-4.63916,-0.209874
2.81e-005,-4.29999,-0.209648
2.82e-005,-4.29999,-0.209648
2.82e-005,-3.94943,-0.209205
2.83e-005,-3.94943,-0.209205
2.83e-005,-3.58928,-0.208578
2.84e-005,-3.58928,-0.208578
2.84e-005,-3.22134,-0.207802
2.85e-005,-3.22134,-0.207802
2.85e-005,-2.84742,-0.206912
2.86e-005,-2.84742,-0.206912
2.86e-005,-2.46929,-0.205941
2.87e-005,-2.46929,-0.205941
2.87e-005,-2.08872,-0.204924
2.88e-005,-2.08872,-0.204924
2.88e-005,-1.70743,-0.203892
2.89e-005,-1.70743,-0.203892
2.89e-005,-1.32713,-0.202879
2.9e-005,-1.32713,-0.202879
2.9e-005,-0.949476,-0.201917
2.91e-005,-0.949476,-0.201917
2.91e-005,-0.576068,-0.201035
2.92e-005,-0.576068,-0.201035
2.92e-005,-0.208454,-0.200264
2.93e-005,-0.208454,-0.200264
2.93e-005,0.151865,-0.199631
2.94e-005,0.151865,-0.199631
2.94e-005,0.503468,-0.199165
2.95e-005,0.503468,-0.199165
2.95e-005,0.844997,-0.198891
2.96e-005,0.844997,-0.198891
2.96e-005,1.17517,-0.198833
2.97e-005,1.17517,-0.198833
2.97e-005,1.49279,-0.199015
2.98e-005,1.49279,-0.199015
2.98e-005,1.79674,-0.199457
2.99e-005,1.79674,-0.199457
2.99e-005,2.08597,-0.20018
3e-005,2.08597,-0.20018
3e-005,2.35954,-0.201202
3.01e-005,2.35954,-0.201202
3.01e-005,2.62921,-2.27197e-007
3.02e-005,2.62921,-2.27197e-007
3.02e-005,2.90639,-4.51952e-007
3.03e-005,2.90639,-4.51952e-007
3.03e-005,3.18954,-6.74563e-007
3.04e-005,3.18954,-6.74563e-007
3.04e-005,3.47696,-8.93365e-007
3.05e-005,3.47696,-8.93365e-007
3.05e-005,3.76675,-1.10676e-006
3.06e-005,3.76675,-1.10676e-006
3.06e-005,4.05691,-1.31322e-006
3.07e-005,4.05691,-1.31322e-006
3.07e-005,4.34528,-1.51133e-006
3.08e-005,4.34528,-1.51133e-006
3.08e-005,4.62963,-1.69976e-006
3.09e-005,4.62963,-1.69976e-006
3.09e-005,4.90765,-1.8773e-006
3.1e-005,4.90765,-1.8773e-006
3.1e-005,5.17697,-2.04287e-006
3.11e-005,5.17697,-2.04287e-006
3.11e-005,5.43521,-2.19553e-006
3.12e-005,5.43521,-2.19553e-006
3.12e-005,5.67999,-2.33447e-006
3.13e-005,5.67999,-2.33447e-006
3.13e-005,5.90896,-2.45904e-006
3.14e-005,5.90896,-2.45904e-006
3.14e-005,6.11983,-2.56872e-006
3.15e-005,6.11983,-2.56872e-006
3.15e-005,6.31039,-2.66315e-006
3.16e-005,6.31039,-2.66315e-006
3.16e-005,6.47854,-2.74214e-006
3.17e-005,6.47854,-2.74214e-006
3.17e-005,6.62231,-2.80563e-006
3.18e-005,6.62231,-2.80563e-006
3.18e-005,6.73989,-2.85371e-006
3.19e-005,6.73989,-2.85371e-006
3.19e-005,6.82963,-2.88662e-006
3.2e-005,6.82963,-2.88662e-006
3.2e-005,6.89008,-2.90475e-006
3.21e-005,6.89008,-2.90475e-006
3.21e-005,6.92002,-2.90861e-006
3.22e-005,6.92002,-2.90861e-006
3.22e-005,6.91843,-2.89882e-006
3.23e-005,6.91843,-2.89882e-006
3.23e-005,6.88453,-2.87614e-006
3.24e-005,6.88453,-2.87614e-006
3.24e-005,6.81782,-2.84142e-006
3.25e-005,6.81782,-2.84142e-006
3.25e-005,6.71802,-2.79561e-006
3.26e-005,6.71802,-2.79561e-006
3.26e-005,6.58513,-2.73973e-006
3.27e-005,6.58513,-2.73973e-006
3.27e-005,6.41942,-2.67488e-006
3.28e-005,6.41942,-2.67488e-006
3.28e-005,6.2214,-2.6022e-006
3.29e-005,6.2214,-2.6022e-006
3.29e-005,5.99188,-2.52288e-006
3.3e-005,5.99188,-2.52288e-006
3.3e-005,5.73188,-2.43813e-006
3.31e-005,5.73188,-2.43813e-006
3.31e-005,5.44271,-2.3492e-006
3.32e-005,5.44271,-2.3492e-006
3.32e-005,5.12588,-2.25729e-006
3.33e-005,5.12588,-2.25729e-006
3.33e-005,4.78315,-2.16363e-006
3.34e-005,4.78315,-2.16363e-006
3.34e-005,4.41649,-2.0694e-006
3.35e-005,4.41649,-2.0694e-006
3.35e-005,4.02804,-1.97574e-006
3.36e-005,4.02804,-1.97574e-006
3.36e-005,3.62012,-1.88376e-006
3.37e-005,3.62012,-1.88376e-006
3.37e-005,3.19523,-1.79448e-006
3.38e-005,3.19523,-1.79448e-006
3.38e-005,2.75596,-1.70887e-006
3.39e-005,2.75596,-1.70887e-006
3.39e-005,2.30504,-1.62778e-006
3.4e-005,2.30504,-1.62778e-006
3.4e-005,1.84527,-1.55203e-006
3.41e-005,1.84527,-1.55203e-006
3.41e-005,1.3795,-1.48228e-006
3.42e-005,1.3795,-1.48228e-006
3.42e-005,0.910621,-1.41912e-006
3.43e-005,0.910621,-1.41912e-006
3.43e-005,0.441543,-1.36303e-006
3.44e-005,0.441543,-1.36303e-006
3.44e-005,-0.0248526,-1.31439e-006
3.45e-005,-0.0248526,-1.31439e-006
3.45e-005,-0.485724,-1.27342e-006
3.46e-005,-0.485724,-1.27342e-006
3.46e-005,-0.938295,-1.24029e-006
3.47e-005,-0.938295,-1.24029e-006
3.47e-005,-1.37988,-1.21501e-006
3.48e-005,-1.37988,-1.21501e-006
