time,Capacitor1.i,IdealDiode3.v
0.03040,75.15631,-522.32221
0.03050,104.16125,-522.95039
0.03060,130.22590,-523.75954
0.03070,152.75292,-524.72744
0.03080,171.16834,-525.82802
0.03090,184.92513,-527.03147
0.03100,193.50669,-528.30450
0.03110,196.43004,-529.61047
0.03120,193.24894,-530.90971
0.03130,183.55671,-532.15975
0.03140,166.98885,-533.31557
0.03150,143.22542,-534.32992
0.03160,111.99314,-535.15362
0.03170,73.06728,-535.73588
0.03180,26.27319,-536.02461
0.03190,-27.56583,-535.96691
0.03200,-83.20061,-535.52818
0.03210,-139.91106,-534.69984
0.03220,-197.80838,-533.47438
0.03230,-256.99256,-531.84358
0.03240,-302.15031,-405.54296
0.03250,-291.50403,-389.75104
0.03260,-275.43066,-373.87865
0.03270,-254.47912,-357.95769
0.03280,-229.22779,-342.01832
0.03290,-200.28081,-326.08879
0.03300,-168.26425,-310.19540
0.03310,-133.82215,-294.36240
0.03320,-97.61243,-278.61189
0.03330,-60.30279,-262.96384
0.03340,-22.56652,-247.43595
0.03350,14.92170,-232.04373
0.03360,51.49002,-216.80039
0.03370,86.47356,-201.71692
0.03380,119.21861,-186.80206
0.03390,149.08663,-172.06232
0.03400,175.45825,-157.50207
0.03410,197.73713,-143.12356
0.03420,215.35369,-128.92699
0.03430,227.76863,-114.91061
0.03440,234.47637,-101.07079
0.03450,235.00819,-87.40213
0.03460,228.93522,-73.89758
0.03470,215.87122,-60.54856
0.03480,195.47501,-47.34510
0.03490,167.45275,-34.27596
0.03500,131.55990,-21.32880
0.03510,87.60290,-8.49031
0.03520,35.55382,2.00023
0.03530,-20.12327,2.00979
0.03540,-77.16458,2.03334
0.03550,-135.67905,2.07074
0.03560,-195.76243,2.12187
0.03570,-257.49605,2.18656
0.03580,-278.40895,2.22225
0.03590,-265.58211,2.23509
0.03600,-247.77569,2.25291
0.03610,-225.54972,2.27515
0.03620,-199.49086,2.30122
0.03630,-170.20863,2.33052
0.03640,-138.33153,2.36241
0.03650,-104.50309,2.39625
0.03660,-69.37779,2.43139
0.03670,-33.61698,2.46717
0.03680,2.11526,2.50291
0.03690,37.15630,2.53797
0.03700,70.84906,2.57168
0.03710,102.54612,2.60339
0.03720,131.61374,2.63248
0.03730,157.43582,2.65831
0.03740,179.41773,2.68031
0.03750,196.99004,2.69790
0.03760,209.61209,2.71054
0.03770,216.77534,2.71772
0.03780,218.00664,2.71897
0.03790,212.87118,2.71385
0.03800,200.97532,2.70197
0.03810,181.96907,2.68298
0.03820,155.54846,2.65657
0.03830,121.45748,2.62250
0.03840,79.48989,2.58055
0.03850,29.49067,2.53056
0.03860,-26.25547,2.47482
0.03870,-83.25647,2.41781
0.03880,-141.50814,2.35956
0.03890,-201.10930,2.29996
0.03900,-262.14616,2.23892
0.03910,-294.28068,2.20665
0.03920,-282.91716,2.21799
0.03930,-266.32520,2.23457
0.03940,-245.05743,2.25582
0.03950,-219.69464,2.28116
0.03960,-190.84212,2.31000
0.03970,-159.12578,2.34170
0.03980,-125.18820,2.37562
0.03990,-89.68456,2.41111
0.04000,-53.27857,2.44750
0.04010,-16.63827,2.48412
0.04020,19.56812,2.52031
0.04030,54.67637,2.55541
0.04040,88.03036,2.58875
0.04050,118.98621,2.61969
0.04060,146.91624,2.64760
0.04070,171.21290,2.67189
0.04080,191.29256,2.69195
0.04090,206.59914,2.70725
0.04100,216.60761,2.71724
0.04110,220.82732,2.72145
0.04120,218.80503,2.71942
0.04130,210.12787,2.71073
0.04140,194.42594,2.69501
0.04150,171.37476,2.67195
0.04160,140.69735,2.64126
0.04170,102.16616,2.60272
0.04180,55.60464,2.55614
0.04190,1.84868,2.50046
0.04200,-53.89490,2.43030
0.04210,-110.93072,2.34485
0.04220,-169.36724,2.24414
0.04230,-229.30006,2.12821
0.04240,-289.37361,-122.74645
0.04250,-279.52833,-136.59644
0.04260,-264.32105,-150.61468
0.04270,-244.29578,-164.80222
0.04280,-220.02566,-179.15934
0.04290,-192.10929,-193.68426
0.04300,-161.16696,-208.37309
0.04310,-127.83665,-223.21979
0.04320,-92.77006,-238.21610
0.04330,-56.62850,-253.35155
0.04340,-20.07873,-268.61343
0.04350,16.21119,-283.98679
0.04360,51.57606,-299.45449
0.04370,85.35771,-314.99719
0.04380,116.90907,-330.59341
0.04390,145.59822,-346.21960
0.04400,170.81232,-361.85021
0.04410,191.96140,-377.45776
0.04420,208.48210,-393.01295
0.04430,219.84116,-408.48476
0.04440,225.53877,-423.84059
0.04450,225.11174,-439.04635
0.04460,218.13646,-454.06664
0.04470,204.23157,-468.86492
0.04480,183.06047,-483.40358
0.04490,154.33350,-497.64421
0.04500,117.80992,-511.54771
0.04510,73.29954,-525.07449
0.04520,20.75139,-536.20542
0.04530,-35.45401,-536.16636
0.04540,-92.90935,-535.76254
0.04550,-151.72070,-534.98513
0.04560,-211.98180,-533.82464
0.04570,-273.77287,-532.27098
0.04580,-286.94029,-530.37904
0.04590,-274.03119,-528.51911
0.04600,-256.09578,-526.76733
0.04610,-233.69487,-525.15479
0.04620,-207.41618,-523.70872
0.04630,-177.87051,-522.45235
0.04640,-145.68790,-521.40473
0.04650,-111.51365,-520.58066
0.04660,-76.00423,-519.99056
0.04670,-39.82318,-519.64048
0.04680,-3.63696,-519.53200
0.04690,31.88920,-519.66226
0.04700,66.09549,-520.02401
0.04710,98.33159,-520.60563
0.04720,127.96072,-521.39121
0.04730,154.36364,-522.36067
0.04740,176.94246,-523.48990
0.04750,195.12442,-524.75092
0.04760,208.36543,-526.11204
0.04770,216.15352,-527.53807
0.04780,218.01206,-528.99058
0.04790,213.50275,-530.42813
0.04800,202.22849,-531.80650
0.04810,183.83584,-533.07905
0.04820,158.01743,-534.19696
0.04830,124.51395,-535.10957
0.04840,83.11592,-535.76473
0.04850,33.66517,-536.10907
0.04860,-21.40965,-536.09572
0.04870,-77.74624,-535.70955
0.04880,-135.37538,-534.94226
0.04890,-194.40042,-533.78478
0.04900,-254.91174,-532.22741
0.04910,-289.55546,-530.32260
0.04920,-277.86504,-528.43984
0.04930,-260.97475,-526.65784
0.04940,-239.43883,-525.00889
0.04950,-213.83952,-523.52145
0.04960,-184.78336,-522.22000
0.04970,-152.89734,-521.12487
0.04980,-118.82492,-520.25215
0.04990,-83.22198,-519.61359
0.05000,-46.75271,-519.21649
0.05010,-10.08544,-519.06376
0.05020,26.11152,-519.15381
0.05030,61.17404,-519.48062
0.05040,94.44633,-520.03379
0.05050,125.28503,-520.79858
0.05060,153.06315,-521.75604
0.05070,177.17405,-522.88313
0.05080,197.03518,-524.15286
0.05090,212.09174,-525.53448
0.05100,221.82015,-526.99367
0.05110,225.73134,-528.49277
0.05120,223.37384,-529.99102
0.05130,214.33668,-531.44482
0.05140,198.25201,-532.80803
0.05150,174.79750,-534.03224
0.05160,143.69845,-535.06709
0.05170,104.72969,-535.86063
0.05180,57.71710,-536.35960
0.05190,3.42073,-536.50988
0.05200,-52.94838,-536.27501
0.05210,-110.61568,-535.64478
0.05220,-169.68494,-534.61022
0.05230,-230.24709,-533.16172
0.05240,-291.01761,-406.26842
0.05250,-281.62791,-390.51155
0.05260,-266.86382,-374.66990
0.05270,-247.26688,-358.77526
0.05280,-223.40788,-342.85761
0.05290,-195.88319,-326.94512
0.05300,-165.31093,-311.06399
0.05310,-132.32708,-295.23840
0.05320,-97.58145,-279.49044
0.05330,-61.73361,-263.84005
0.05340,-25.44875,-248.30498
0.05350,10.60650,-232.90075
0.05360,45.76819,-217.64068
0.05370,79.37923,-202.53584
0.05380,110.79344,-187.59509
0.05390,139.37960,-172.82512
0.05400,164.52538,-158.23045
0.05410,185.64115,-143.81354
0.05420,202.16366,-129.57481
0.05430,213.55957,-115.51274
0.05440,219.32883,-101.62397
0.05450,219.00779,-87.90337
0.05460,212.17218,-74.34419
0.05470,198.43982,-60.93816
0.05480,177.47309,-47.67562
0.05490,148.98115,-34.54566
0.05500,112.72190,-21.53628
0.05510,68.50363,-8.63454
0.05520,16.29132,2.00021
0.05530,-39.46009,2.00972
0.05540,-96.43258,2.03329
0.05550,-154.73583,2.07078
0.05560,-214.46738,2.12206
0.05570,-275.71142,2.18699
0.05580,-286.85444,2.21381
0.05590,-273.52986,2.22714
0.05600,-255.18243,2.24550
0.05610,-232.37527,2.26832
0.05620,-205.69833,2.29501
0.05630,-175.76462,2.32496
0.05640,-143.20630,2.35753
0.05650,-108.67074,2.39208
0.05660,-72.81639,2.42795
0.05670,-36.30868,2.46447
0.05680,0.18414,2.50098
0.05690,35.99520,2.53681
0.05700,70.46312,2.57129
0.05710,102.93618,2.60378
0.05720,132.77633,2.63364
0.05730,159.36319,2.66024
0.05740,182.09790,2.68299
0.05750,200.40688,2.70132
0.05760,213.74540,2.71467
0.05770,221.60098,2.72255
0.05780,223.49667,2.72446
