"time","J1.phi","J1.w","T2","clutch1.phi_nominal","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0.73,5.076739042,4.201348876,0.4,0.0001,-1.091927104,-1.400560747,0.1215025053,-0.528,-3.230924278,0.2
0.74,5.118752531,4.059590939,0.4,0.0001,-0.919741047,-1.399345722,0.1215025053,-0.5603092428,-3.261352397,0.2
0.75,5.159348441,3.904630977,0.4,0.0001,-0.73485393,-1.398130697,0.1215025053,-0.5929227668,-3.291279552,0.2
0.76,5.19839475,3.745788046,0.4,0.0001,-0.5465895338,-1.396915672,0.1215025053,-0.6258355623,-3.320701018,0.2
0.77,5.235852631,3.592860135,0.4,0.0001,-0.3647504932,-1.395700646,0.1215025053,-0.6590425724,-3.349612147,0.2
0.78,5.271781232,3.455165979,0.4,0.0001,-0.1986601082,-1.394485621,0.1215025053,-0.6925386939,-3.378008376,0.2
0.79,5.306332892,3.340633767,0.4,0.0001,-0.05625105317,-1.393270596,0.1215025053,-0.7263187777,-3.405885219,0.2
0.8,5.33973923,3.255025955,0.4,0.0001,0.05670981418,-1.392055571,0.1215025053,-0.7603776299,-3.433238275,0.2
0.81,5.372289489,3.255025955,0.4,0.0001,0.05670981418,-1.390840546,0.1215025053,-0.7947100126,-3.433238275,0.2
0.82,5.404839749,3.265326522,0.4,0.0001,0.05670981418,-1.389625521,0.1215025053,-0.8290423954,-3.443538841,0.2
0.83,5.437493014,3.284919364,0.4,0.0001,0.05670981418,-1.388410496,0.1215025053,-0.8634777838,-3.463131683,0.2
0.84,5.470342208,3.311886597,0.4,0.0001,0.05670981418,-1.387195471,0.1215025053,-0.8981091006,-3.490098916,0.2
0.85,5.503461073,3.357650235,0.4,0.0001,0.03561718294,-1.385980446,0.1215025053,-0.9330100898,-3.514769923,0.2
0.86,5.537037576,3.4094051,0.4,0.0001,0.007984885101,-1.384765421,0.1215025053,-0.968157789,-3.538892491,0.2
0.87,5.571131627,3.457370114,0.4,0.0001,-0.01640981028,-1.383550396,0.1215025053,-1.003546714,-3.562462809,0.2
0.88,5.605705328,3.492243117,0.4,0.0001,-0.02826846547,-1.382335371,0.1215025053,-1.039171342,-3.585477157,0.2
0.89,5.640627759,3.506112156,0.4,0.0001,-0.01968276114,-1.381120346,0.1215025053,-1.075026114,-3.607931901,0.2
0.9,5.675688881,3.493230671,0.4,0.0001,0.0150903167,-1.379905321,0.1215025053,-1.111105433,-3.629823493,0.2
0.91,5.710621187,3.493230671,0.4,0.0001,0.0150903167,-1.378690296,0.1215025053,-1.147403668,-3.629823493,0.2
0.92,5.745553494,3.482930104,0.4,0.0001,0.0150903167,-1.377475271,0.1215025053,-1.183701902,-3.619522926,0.2
0.93,5.780382795,3.463337263,0.4,0.0001,0.0150903167,-1.376260246,0.1215025053,-1.219897132,-3.599930085,0.2
0.94,5.815016168,3.421646198,0.4,0.0001,0.03717606394,-1.375045221,0.1215025053,-1.255896433,-3.580324767,0.2
0.95,5.84923263,3.36459211,0.4,0.0001,0.07520436975,-1.373830196,0.1215025053,-1.29169968,-3.561298985,0.2
0.96,5.882878551,3.301478594,0.4,0.0001,0.1198746435,-1.37261517,0.1215025053,-1.32731267,-3.542855743,0.2
0.97,5.915893337,3.242088523,0.4,0.0001,0.1614069256,-1.371400145,0.1215025053,-1.362741228,-3.524997953,0.2
0.98,5.948314222,3.195725858,0.4,0.0001,0.1905000721,-1.37018512,0.1215025053,-1.397991207,-3.507728436,0.2
0.99,5.980271481,3.17030437,0.4,0.0001,0.1992430422,-1.368970095,0.1215025053,-1.433068491,-3.491049917,0.2
1,6.011974524,3.171572441,0.4,0.0001,0.1818900855,-1.36775507,0.1215025053,-1.467978991,-3.474965032,0.2
1.01,6.043690249,3.202549866,0.4,0.0001,0.1354239483,-1.366540045,0.1215025053,-1.502728641,-3.45947632,0.2
1.02,6.075715747,3.263231753,0.4,0.0001,0.05985196811,-1.36532502,0.1215025053,-1.537323404,-3.444586226,0.2
1.03,6.108348065,3.350588525,0.4,0.0001,-0.04179392741,-1.364109995,0.1215025053,-1.571769266,-3.430297103,0.2
1.04,6.14185395,3.40411843,0.4,0.0001,-0.08163793625,-1.36289497,0.1215025053,-1.606072237,-3.443983,0.2
1.05,6.175895134,3.473063064,0.4,0.0001,-0.1375020605,-1.361679945,0.1215025053,-1.640512067,-3.457063509,0.2
1.06,6.210625765,3.548116952,0.4,0.0001,-0.2000828929,-1.36046492,0.1215025053,-1.675082702,-3.469536565,0.2
1.07,6.246106935,3.619495338,0.4,0.0001,-0.2595976458,-1.359249895,0.1215025053,-1.709778068,-3.481400197,0.2
1.08,6.282301888,3.677892364,0.4,0.0001,-0.3067423355,-1.35803487,0.1215025053,-1.74459207,-3.492652534,0.2
1.09,6.319080812,3.715392363,0.4,0.0001,-0.3336030706,-1.356819845,0.1215025053,-1.779518595,-3.503291797,0.2
1.1,6.356234735,3.726245042,0.4,0.0001,-0.3344312398,-1.35560482,0.1215025053,-1.814551513,-3.513316307,0.2
1.11,6.393497186,3.707428694,0.4,0.0001,-0.3062067182,-1.354389795,0.1215025053,-1.849684676,-3.522724481,0.2
1.12,6.430571473,3.658946291,0.4,0.0001,-0.2489339631,-1.35317477,0.1215025053,-1.884911921,-3.531514833,0.2
1.13,6.467160936,3.583825482,0.4,0.0001,-0.1656420121,-1.351959745,0.1215025053,-1.92022707,-3.539685975,0.2
1.14,6.50299919,3.487822499,0.4,0.0001,-0.062088388,-1.350744719,0.1215025053,-1.955623929,-3.547236617,0.2
1.15,6.537877415,3.37885895,0.4,0.0001,0.05380411032,-1.349529694,0.1215025053,-1.991096296,-3.554165566,0.2
1.16,6.571666005,3.291471274,0.4,0.0001,0.1348856241,-1.348314669,0.1215025053,-2.026637951,-3.547859404,0.2
1.17,6.604580718,3.207730381,0.4,0.0001,0.2129441375,-1.347099644,0.1215025053,-2.062116545,-3.542177024,0.2
1.18,6.636658021,3.136944081,0.4,0.0001,0.2786727386,-1.345884619,0.1215025053,-2.097538315,-3.537119325,0.2
1.19,6.668027462,3.087029997,0.4,0.0001,0.3241546013,-1.344669594,0.1215025053,-2.132909509,-3.532687104,0.2
1.2,6.698897762,3.063740382,0.4,0.0001,0.3436381739,-1.343454569,0.1215025053,-2.16823638,-3.528881062,0.2
1.21,6.729535166,3.070098908,0.4,0.0001,0.3341003856,-1.342239544,0.1215025053,-2.20352519,-3.525701799,0.2
1.22,6.760236155,3.10610457,0.4,0.0001,0.2955427427,-1.341024519,0.1215025053,-2.238782208,-3.523149818,0.2
1.23,6.791297201,3.168731688,0.4,0.0001,0.2309913278,-1.339809494,0.1215025053,-2.274013707,-3.521225521,0.2
1.24,6.822984518,3.252226004,0.4,0.0001,0.1462007039,-1.338594469,0.1215025053,-2.309225962,-3.519929213,0.2
1.25,6.855506778,3.348667885,0.4,0.0001,0.04909070733,-1.337379444,0.1215025053,-2.344425254,-3.519261098,0.2
1.26,6.888993457,3.448747518,0.4,0.0001,-0.05102874168,-1.336164419,0.1215025053,-2.379617865,-3.519221282,0.2
1.27,6.923480932,3.54385317,0.4,0.0001,-0.1461343933,-1.334949394,0.1215025053,-2.414810078,-3.519221282,0.2
1.28,6.958919463,3.624754869,0.4,0.0001,-0.2270360927,-1.333734369,0.1215025053,-2.45000229,-3.519221282,0.2
1.29,6.995167012,3.683533394,0.4,0.0001,-0.285814618,-1.332519344,0.1215025053,-2.485194503,-3.519221282,0.2
1.3,7.032002346,3.714435094,0.4,0.0001,-0.3167163174,-1.331304319,0.1215025053,-2.520386716,-3.519221282,0.2
1.31,7.069146697,3.714435094,0.4,0.0001,-0.3167163174,-1.330089294,0.1215025053,-2.555578929,-3.519221282,0.2
1.32,7.106291048,3.683533394,0.4,0.0001,-0.285814618,-1.328874269,0.1215025053,-2.590771142,-3.519221282,0.2
1.33,7.143126382,3.624754869,0.4,0.0001,-0.2270360927,-1.327659243,0.1215025053,-2.625963355,-3.519221282,0.2
1.34,7.179373931,3.54385317,0.4,0.0001,-0.1461343933,-1.326444218,0.1215025053,-2.661155567,-3.519221282,0.2
1.35,7.214812462,3.448747518,0.4,0.0001,-0.05102874168,-1.325229193,0.1215025053,-2.69634778,-3.519221282,0.2
1.36,7.249299937,3.348747518,0.4,0.0001,0.04897125832,-1.324014168,0.1215025053,-2.731539993,-3.519221282,0.2
1.37,7.282787413,3.253641866,0.4,0.0001,0.1440769099,-1.322799143,0.1215025053,-2.766732206,-3.519221282,0.2
1.38,7.315323831,3.172740167,0.4,0.0001,0.2249786094,-1.321584118,0.1215025053,-2.801924419,-3.519221282,0.2
1.39,7.347051233,3.113961642,0.4,0.0001,0.2837571346,-1.320369093,0.1215025053,-2.837116631,-3.519221282,0.2
1.4,7.378190849,3.083059942,0.4,0.0001,0.3146588341,-1.319154068,0.1215025053,-2.872308844,-3.519221282,0.2
1.41,7.409021449,3.083059942,0.4,0.0001,0.3146588341,-1.317939043,0.1215025053,-2.907501057,-3.519221282,0.2
1.42,7.439852048,3.113961642,0.4,0.0001,0.2837571346,-1.316724018,0.1215025053,-2.94269327,-3.519221282,0.2
1.43,7.470991665,3.172740167,0.4,0.0001,0.2249786094,-1.315508993,0.1215025053,-2.977885483,-3.519221282,0.2
1.44,7.502719066,3.253641866,0.4,0.0001,0.1440769099,-1.314293968,0.1215025053,-3.013077696,-3.519221282,0.2
1.45,7.535255485,3.348747518,0.4,0.0001,0.04897125832,-1.313078943,0.1215025053,-3.048269908,-3.519221282,0.2
1.46,7.56874296,3.448747518,0.4,0.0001,-0.05102874168,-1.311863918,0.1215025053,-3.083462121,-3.519221282,0.2
1.47,7.603230435,3.54385317,0.4,0.0001,-0.1461343933,-1.310648893,0.1215025053,-3.118654334,-3.519221282,0.2
1.48,7.638668967,3.624754869,0.4,0.0001,-0.2270360927,-1.309433868,0.1215025053,-3.153846547,-3.519221282,0.2
1.49,7.674916516,3.683533394,0.4,0.0001,-0.285814618,-1.308218843,0.1215025053,-3.18903876,-3.519221282,0.2
1.5,7.71175185,3.714435094,0.4,0.0001,-0.3167163174,-1.307003818,0.1215025053,-3.224230972,-3.519221282,0.2
