"time","v_0_out","v_1_out"
0.362,2028246453,194431989
0.363,2028246453,-99948768
0.364,2028246453,-99948768
0.365,-1032677257,-99948768
0.366,-1032677257,-99948768
0.367,-1032677257,-411655164
0.368,-1032677257,-411655164
0.369,-1805080147,-411655164
0.37,-1805080147,-411655164
0.371,-1805080147,-631558331
0.372,-1805080147,-631558331
0.373,1705935003,-631558331
0.374,1705935003,-631558331
0.375,1705935003,-828298822
0.376,1705935003,-828298822
0.377,-548124672,-828298822
0.378,-548124672,-828298822
0.379,-548124672,-2103981833
0.38,-548124672,-2103981833
0.381,635883483,-2103981833
0.382,635883483,-2103981833
0.383,635883483,-2061093636
0.384,635883483,-2061093636
0.385,1246997554,-2061093636
0.386,1246997554,-2061093636
0.387,1246997554,-233433190
0.388,1246997554,-233433190
0.389,-827870069,-233433190
0.39,-827870069,-233433190
0.391,-827870069,1891359259
0.392,-827870069,1891359259
0.393,-1953536272,1891359259
0.394,-1953536272,1891359259
0.395,-1953536272,45580643
0.396,-1953536272,45580643
0.397,-2089328913,45580643
0.398,-2089328913,45580643
0.399,-2089328913,-1189155381
0.4,-2089328913,-1189155381
0.401,-784390616,-1189155381
0.402,-784390616,-1189155381
0.403,-784390616,-1448477737
0.404,-784390616,-1448477737
0.405,814499712,-1448477737
0.406,814499712,-1448477737
0.407,814499712,-1360547945
0.408,814499712,-1360547945
0.409,1579712937,-1360547945
0.41,1579712937,-1360547945
0.411,1579712937,451465882
0.412,1579712937,451465882
0.413,1888652316,451465882
0.414,1888652316,451465882
0.415,1888652316,491190116
0.416,1888652316,491190116
0.417,1906741695,491190116
0.418,1906741695,491190116
0.419,1906741695,567045871
0.42,1906741695,567045871
0.421,-1716300520,567045871
0.422,-1716300520,567045871
0.423,-1716300520,-1372584041
0.424,-1716300520,-1372584041
0.425,-1155461859,-1372584041
0.426,-1155461859,-1372584041
0.427,-1155461859,1740919957
0.428,-1155461859,1740919957
0.429,-412977217,1740919957
0.43,-412977217,1740919957
0.431,-412977217,302293227
0.432,-412977217,302293227
0.433,-1472014149,302293227
0.434,-1472014149,302293227
0.435,-1472014149,1080331414
0.436,-1472014149,1080331414
0.437,-341787460,1080331414
0.438,-341787460,1080331414
0.439,-341787460,-960585279
0.44,-341787460,-960585279
0.441,97767889,-960585279
0.442,97767889,-960585279
0.443,97767889,-310745563
0.444,97767889,-310745563
0.445,2021711828,-310745563
0.446,2021711828,-310745563
0.447,2021711828,1557180117
0.448,2021711828,1557180117
0.449,1185545235,1557180117
0.45,1185545235,1557180117
0.451,1185545235,-1938834061
0.452,1185545235,-1938834061
0.453,-1928961844,-1938834061
0.454,-1928961844,-1938834061
0.455,-1928961844,1393484721
0.456,-1928961844,1393484721
0.457,663630422,1393484721
0.458,663630422,1393484721
0.459,663630422,1869010026
0.46,663630422,1869010026
0.461,1229747804,1869010026
0.462,1229747804,1869010026
0.463,1229747804,-1417028774
0.464,1229747804,-1417028774
0.465,-738319534,-1417028774
0.466,-738319534,-1417028774
0.467,-738319534,-1604556727
0.468,-738319534,-1604556727
0.469,747101900,-1604556727
0.47,747101900,-1604556727
0.471,747101900,1982153947
0.472,747101900,1982153947
0.473,619421871,1982153947
0.474,619421871,1982153947
0.475,619421871,-1196037300
0.476,619421871,-1196037300
0.477,-1774913310,-1196037300
0.478,-1774913310,-1196037300
0.479,-1774913310,1537290009
0.48,-1774913310,1537290009
0.481,1450436975,1537290009
0.482,1450436975,1537290009
0.483,1450436975,707317894
0.484,1450436975,707317894
0.485,-1954631868,707317894
0.486,-1954631868,707317894
0.487,-1954631868,-795757424
0.488,-1954631868,-795757424
0.489,2081317392,-795757424
0.49,2081317392,-795757424
0.491,2081317392,1651811881
0.492,2081317392,1651811881
0.493,767493643,1651811881
0.494,767493643,1651811881
0.495,767493643,1080000396
0.496,767493643,1080000396
0.497,859325381,1080000396
0.498,859325381,1080000396
0.499,859325381,-829228346
0.5,859325381,-829228346
0.501,-1983687908,-829228346
0.502,-1983687908,-829228346
0.503,-1983687908,-22134794
0.504,-1983687908,-22134794
0.505,-2086319893,-22134794
0.506,-2086319893,-22134794
0.507,-2086319893,-454491787
0.508,-2086319893,-454491787
0.509,-1927703240,-454491787
0.51,-1927703240,-454491787
0.511,-1927703240,310909986
0.512,-1927703240,310909986
0.513,19088743,310909986
0.514,19088743,310909986
0.515,19088743,-1985229329
0.516,19088743,-1985229329
0.517,252359685,-2048388268
0.518,252359685,-2048388268
0.519,-1976235292,-2048388268
0.52,-1976235292,-2048388268
0.521,-1976235292,105239837
0.522,-1976235292,105239837
0.523,1712558219,105239837
0.524,1712558219,105239837
0.525,1712558219,377277689
0.526,1712558219,377277689
0.527,199472670,377277689
0.528,199472670,377277689
0.529,199472670,1041220547
0.53,199472670,1041220547
0.531,-22382733,1041220547
0.532,-22382733,1041220547
0.533,-22382733,1031151854
0.534,-22382733,1031151854
0.535,101686643,1031151854
0.536,101686643,1031151854
0.537,101686643,293677742
0.538,101686643,293677742
0.539,107353064,293677742
0.54,107353064,293677742
0.541,107353064,-1246085514
0.542,107353064,-1246085514
0.543,1227350838,-1246085514
0.544,1227350838,-1246085514
0.545,1227350838,-338027995
0.546,1227350838,-338027995
0.547,159976036,-338027995
0.548,159976036,-338027995
0.549,159976036,-1838155941
0.55,159976036,-1838155941
0.551,1127069504,-1838155941
0.552,1127069504,-1838155941
0.553,1127069504,-355471645
0.554,1127069504,-355471645
0.555,2022495760,-355471645
0.556,2022495760,-355471645
0.557,2022495760,-1253938226
0.558,2022495760,-1253938226
0.559,1203081399,-1253938226
0.56,1203081399,-1253938226
0.561,1203081399,-741402994
0.562,1203081399,-741402994
0.563,425608517,-741402994
0.564,425608517,-741402994
0.565,425608517,2091488688
0.566,425608517,2091488688
0.567,1506901765,2091488688
0.568,1506901765,2091488688
