"time","tempc@tpf_st_chamber","press@tpf_st_chamber","out2@division","tau@tpf_st_chamber","dm2@tpf_pump","torque@expseu_"
22.2,146.271,4.29476,0.273682,28.3682,0,-31.3437
22.3,146.663,4.34095,0.273753,28.3753,0,-31.8916
22.4,147.048,4.38681,0.273821,28.3821,0,-32.4383
22.5,147.427,4.43232,0.273888,28.3888,0,-32.9835
22.6,147.8,4.47748,0.273952,28.3952,0,-33.5271
22.7,148.167,4.52227,0.274015,28.4015,0,-34.0687
22.8,148.529,4.56667,0.274075,28.4075,0,-34.6081
22.9,148.883,4.61066,0.274133,28.4133,0,-35.145
23,149.232,4.65423,0.274189,28.4189,0,-35.6791
23.1,149.575,4.69732,0.274242,28.4242,0,-36.2093
23.2,149.911,4.73986,0.274293,28.4293,0,-36.7354
23.3,150.24,4.78185,0.274342,28.4342,0,-37.2572
23.4,150.562,4.82326,0.274388,28.4388,0,-37.7742
23.5,150.877,4.86408,0.274432,28.4432,0,-38.2864
23.6,151.186,4.9043,0.274473,28.4473,0,-38.7933
23.7,151.488,4.94388,0.274512,28.4512,0,-39.2947
23.8,151.783,4.98283,0.274548,28.4548,0,-39.7904
23.9,152.071,5.02112,0.274581,28.4582,0,-40.2801
24,152.353,5.05874,0.274613,28.4613,0,-40.7635
24.1,152.627,5.09564,0.274641,28.4641,0,-41.2395
24.2,152.895,5.13179,0.274667,28.4667,0,-41.7082
24.3,153.155,5.16717,0.27469,28.469,0,-42.1694
24.4,153.408,5.20176,0.27471,28.471,0,-42.6227
24.5,153.654,5.23555,0.274727,28.4727,0,-43.068
24.6,153.893,5.26852,0.274742,28.4742,0,-43.505
24.7,154.124,5.30067,0.274754,28.4754,0,-43.9334
24.8,154.349,5.33197,0.274763,28.4763,0,-44.3531
24.9,154.566,5.36242,0.27477,28.4769,0,-44.7637
25,154.776,5.392,0.274773,28.4773,0,-45.1652
25.1,154.979,5.42069,0.274774,28.4774,0,-45.5566
25.2,155.175,5.44848,0.274772,28.4772,0,-45.9383
25.3,155.364,5.47536,0.274767,28.4767,0,-46.31
25.4,155.545,5.50132,0.274759,28.4759,0,-46.6716
25.5,155.72,5.52634,0.274748,28.4748,0,-47.0228
25.6,155.887,5.55041,0.274735,28.4735,0,-47.3636
25.7,156.047,5.57353,0.274719,28.4719,0,-47.6937
25.8,156.199,5.59569,0.274699,28.4699,0,-48.0129
25.9,156.345,5.61687,0.274677,28.4677,0,-48.3212
26,156.483,5.63707,0.274652,28.4652,0,-48.6184
26.1,156.615,5.65631,0.274625,28.4625,0,-48.9041
26.2,156.739,5.67458,0.274594,28.4594,0,-49.1786
26.3,156.857,5.69189,0.274561,28.4561,0,-49.442
26.4,156.968,5.70822,0.274525,28.4525,0,-49.6942
26.5,157.072,5.72358,0.274486,28.4486,0,-49.9349
26.6,157.169,5.73796,0.274444,28.4444,0,-50.1642
26.7,157.259,5.75135,0.2744,28.44,0,-50.3818
26.8,157.343,5.76375,0.274352,28.4352,0,-50.5879
26.9,157.419,5.77515,0.274302,28.4302,0,-50.7822
27,157.489,5.78556,0.27425,28.425,0,-50.9647
27.1,157.552,5.79501,0.274194,28.4194,0,-51.1356
27.2,157.609,5.80353,0.274136,28.4136,0,-51.2954
27.3,157.66,5.81112,0.274076,28.4076,0,-51.444
27.4,157.705,5.81778,0.274012,28.4012,0,-51.5815
27.5,157.743,5.82351,0.273947,28.3947,0,-51.7077
27.6,157.775,5.82831,0.273878,28.3878,0,-51.8227
27.7,157.801,5.83218,0.273808,28.3808,0,-51.9264
27.8,157.82,5.83512,0.273734,28.3734,0,-52.0189
27.9,157.834,5.83713,0.273659,28.3659,0,-52.1001
28,157.841,5.83822,0.27358,28.358,0,-52.17
28.1,157.842,5.83843,0.2735,28.35,0,-52.2296
28.2,157.838,5.83782,0.273417,28.3417,0,-52.279
28.3,157.829,5.83639,0.273332,28.3332,0,-52.3184
28.4,157.814,5.83414,0.273244,28.3244,0,-52.3477
28.5,157.793,5.83108,0.273155,28.3155,0,-52.3669
28.6,157.767,5.82721,0.273063,28.3063,0,-52.3762
28.7,157.736,5.82254,0.272969,28.2969,0,-52.3755
28.8,157.7,5.81706,0.272873,28.2873,0,-52.3649
28.9,157.658,5.81079,0.272775,28.2775,0,-52.3444
29,157.611,5.80372,0.272674,28.2674,0,-52.3142
29.1,157.558,5.79592,0.272572,28.2572,0,-52.2756
29.2,157.502,5.78745,0.272468,28.2468,0,-52.2286
29.3,157.44,5.77831,0.272362,28.2362,0,-52.1733
29.4,157.375,5.76851,0.272254,28.2254,0,-52.1097
29.5,157.304,5.75806,0.272145,28.2145,0,-52.038
29.6,157.23,5.74696,0.272033,28.2033,0,-51.9573
29.7,157.15,5.73522,0.27192,28.192,0,-51.8686
29.8,157.067,5.72284,0.271805,28.1805,0,-51.7719
29.9,156.979,5.70982,0.271689,28.1689,0,-51.6673
30,156.886,5.69618,0.271571,28.1571,0,-51.5549
30.1,156.79,5.68197,0.271451,28.1451,0,-51.4367
30.2,156.69,5.66726,0.27133,28.133,0,-51.3123
30.3,156.586,5.65206,0.271208,28.1208,0,-51.1817
30.4,156.479,5.63636,0.271084,28.1084,0,-51.0449
30.5,156.368,5.62019,0.270959,28.0959,0,-50.902
30.6,156.253,5.60353,0.270832,28.0832,0,-50.7531
30.7,156.135,5.5864,0.270705,28.0705,0,-50.5982
30.8,156.014,5.56881,0.270576,28.0576,0,-50.4375
30.9,155.889,5.55075,0.270445,28.0445,0,-50.2709
31,155.761,5.53224,0.270314,28.0314,0,-50.0986
31.1,155.629,5.51333,0.270181,28.0181,0,-49.9229
31.2,155.495,5.49408,0.270047,28.0047,0,-49.743
31.3,155.358,5.4745,0.269913,27.9913,0,-49.5588
31.4,155.218,5.45459,0.269777,27.9777,0,-49.3704
31.5,155.076,5.43435,0.269641,27.9641,0,-49.1778
31.6,154.931,5.4138,0.269504,27.9504,0,-48.9812
31.7,154.783,5.39293,0.269366,27.9366,0,-48.7805
31.8,154.633,5.37176,0.269226,27.9226,0,-48.5759
31.9,154.48,5.35028,0.269087,27.9087,0,-48.3675
32,154.324,5.3285,0.268946,27.8946,0,-48.1552
32.1,154.167,5.3066,0.268805,27.8805,0,-47.9441
32.2,154.01,5.28474,0.268663,27.8663,0,-47.7333
32.3,153.852,5.26292,0.268522,27.8522,0,-47.5228
32.4,153.695,5.24116,0.26838,27.838,0,-47.3126
32.5,153.537,5.21944,0.268238,27.8238,0,-47.1025
32.6,153.379,5.19778,0.268097,27.8097,0,-46.8927
32.7,153.221,5.17617,0.267955,27.7955,0,-46.6832
32.8,153.063,5.1546,0.267813,27.7813,0,-46.474
32.9,152.904,5.13309,0.267671,27.7671,0,-46.265
33,152.746,5.11164,0.267528,27.7528,0,-46.0564
33.1,152.593,5.09099,0.267388,27.7388,0,-45.8684
33.2,152.451,5.07198,0.26725,27.725,0,-45.698
33.3,152.322,5.05457,0.267115,27.7115,0,-45.5452
33.4,152.203,5.03876,0.266984,27.6984,0,-45.4103
33.5,152.097,5.02452,0.266855,27.6855,0,-45.293
33.6,152.001,5.01184,0.266729,27.6729,0,-45.1934
33.7,151.918,5.00071,0.266607,27.6607,0,-45.1112
33.8,151.845,4.99112,0.266487,27.6487,0,-45.0463
33.9,151.784,4.98304,0.266369,27.6369,0,-44.9987
34,151.735,4.97648,0.266255,27.6255,0,-44.9681
34.1,151.7,4.97182,0.266144,27.6144,0,-44.9703
34.2,151.682,4.96949,0.266037,27.6038,0,-45
34.3,151.682,4.96948,0.265936,27.5936,0,-45.0563
34.4,151.699,4.97178,0.265838,27.5838,0,-45.1391
34.5,151.734,4.97638,0.265745,27.5745,0,-45.2483
34.6,151.786,4.98329,0.265656,27.5656,0,-45.3841
34.7,151.856,4.9925,0.265572,27.5572,0,-45.5465
34.8,151.943,5.00401,0.265491,27.5491,0,-45.7356
34.9,152.046,5.01783,0.265415,27.5415,0,-45.9516
35,152.167,5.03397,0.265343,27.5343,0,-46.1946
35.1,152.306,5.05252,0.265275,27.5275,0,-46.4745
35.2,152.463,5.07357,0.265212,27.5212,0,-46.7851
35.3,152.638,5.09715,0.265153,27.5153,0,-47.1258
35.4,152.832,5.12328,0.265099,27.5099,0,-47.4968
35.5,153.043,5.15197,0.265049,27.5049,0,-47.8987
35.6,153.273,5.18326,0.265004,27.5004,0,-48.3317
35.7,153.52,5.21716,0.264963,27.4963,0,-48.7964
35.8,153.786,5.25372,0.264926,27.4926,0,-49.2933
35.9,154.069,5.29295,0.264894,27.4893,0,-49.8231
36,154.37,5.3349,0.264865,27.4865,0,-50.3862
36.1,154.683,5.3788,0.26484,27.484,0,-50.9728
36.2,155.002,5.42384,0.264816,27.4816,0,-51.5753
36.3,155.327,5.47003,0.264793,27.4793,0,-52.1937
36.4,155.657,5.51738,0.264771,27.4771,0,-52.828
36.5,155.994,5.56591,0.264751,27.4751,0,-53.4784
36.6,156.337,5.61564,0.264732,27.4732,0,-54.1452
36.7,156.685,5.66659,0.264714,27.4714,0,-54.8285
36.8,157.039,5.71877,0.264698,27.4698,0,-55.5286
36.9,157.399,5.7722,0.264683,27.4683,0,-56.2459
37,157.765,5.82691,0.264669,27.4669,0,-56.9806
37.1,158.133,5.8823,0.264655,27.4655,0,-57.72
37.2,158.498,5.93773,0.26464,27.464,0,-58.4622
37.3,158.861,5.9932,0.264625,27.4625,0,-59.2073
37.4,159.222,6.0487,0.264608,27.4608,0,-59.9552
37.5,159.58,6.10424,0.26459,27.459,0,-60.7056
37.6,159.935,6.1598,0.264572,27.4572,0,-61.4584
37.7,160.288,6.21539,0.264552,27.4552,0,-62.2135
37.8,160.639,6.271,0.264532,27.4532,0,-62.9709
37.9,160.987,6.32662,0.264511,27.4511,0,-63.7305
38,161.333,6.38227,0.264489,27.4489,0,-64.4922
