"time","outChar","outDateAndTime2"
33.6,160,2.25456e+07
33.8,164,2.2815e+07
34,168,2.3086e+07
34.2,172,2.33586e+07
34.4,176,2.36328e+07
34.6,180,2.39086e+07
34.8,184,2.4186e+07
35,188,2.4465e+07
35.2,192,2.47456e+07
35.4,196,2.50278e+07
35.6,200,2.53116e+07
35.8,204,2.5597e+07
36,208,2.5884e+07
36.2,212,2.61726e+07
36.4,216,2.64628e+07
36.6,220,2.67546e+07
36.8,224,2.7048e+07
37,228,2.7343e+07
37.2,232,2.76396e+07
37.4,236,2.79378e+07
37.6,240,2.82376e+07
37.8,244,2.8539e+07
38,248,2.8842e+07
38.2,252,2.91466e+07
38.4,0,2.94528e+07
38.6,4,2.97606e+07
38.8,8,3.007e+07
39,12,3.0381e+07
39.2,16,3.06936e+07
39.4,20,3.10078e+07
39.6,24,3.13236e+07
39.8,28,3.1641e+07
40,32,3.196e+07
40.2,36,3.22806e+07
40.4,40,3.26028e+07
40.6,44,3.29266e+07
40.8,48,3.3252e+07
41,52,3.3579e+07
41.2,56,3.39076e+07
41.4,60,3.42378e+07
41.6,64,3.45696e+07
41.8,68,3.4903e+07
42,72,3.5238e+07
42.2,76,3.55746e+07
42.4,80,3.59128e+07
42.6,84,3.62526e+07
42.8,88,3.6594e+07
43,92,3.6937e+07
43.2,96,3.72816e+07
43.4,100,3.76278e+07
43.6,104,3.79756e+07
43.8,108,3.8325e+07
44,112,3.8676e+07
44.2,116,3.90286e+07
44.4,120,3.93828e+07
44.6,124,3.97386e+07
44.8,128,4.0096e+07
45,132,4.0455e+07
45.2,136,4.08156e+07
45.4,140,4.11778e+07
45.6,144,4.15416e+07
45.8,148,4.1907e+07
46,152,4.2274e+07
46.2,156,4.26426e+07
46.4,160,4.30128e+07
46.6,164,4.33846e+07
46.8,168,4.3758e+07
47,172,4.4133e+07
47.2,176,4.45096e+07
47.4,180,4.48878e+07
47.6,184,4.52676e+07
47.8,188,4.5649e+07
48,192,4.6032e+07
48.2,196,4.64166e+07
48.4,200,4.68028e+07
48.6,204,4.71906e+07
48.8,208,4.758e+07
49,212,4.7971e+07
49.2,216,4.83636e+07
49.4,220,4.87578e+07
49.6,224,4.91536e+07
49.8,228,4.9551e+07
50,232,4.995e+07
50.2,236,5.03506e+07
50.4,240,5.07528e+07
50.6,244,5.11566e+07
50.8,248,5.1562e+07
51,252,5.1969e+07
51.2,0,5.23776e+07
51.4,4,5.27878e+07
51.6,8,5.31996e+07
51.8,12,5.3613e+07
52,16,5.4028e+07
52.2,20,5.44446e+07
52.4,24,5.48628e+07
52.6,28,5.52826e+07
52.8,32,5.5704e+07
53,36,5.6127e+07
53.2,40,5.65516e+07
53.4,44,5.69778e+07
53.6,48,5.74056e+07
53.8,52,5.7835e+07
54,56,5.8266e+07
54.2,60,5.86986e+07
54.4,64,5.91328e+07
54.6,68,5.95686e+07
54.8,72,6.0006e+07
55,76,6.0445e+07
55.2,80,6.08856e+07
55.4,84,6.13278e+07
55.6,88,6.17716e+07
55.8,92,6.2217e+07
56,96,6.2664e+07
56.2,100,6.31126e+07
56.4,104,6.35628e+07
56.6,108,6.40146e+07
56.8,112,6.4468e+07
57,116,6.4923e+07
57.2,120,6.53796e+07
57.4,124,6.58378e+07
57.6,128,6.62976e+07
57.8,132,6.6759e+07
58,136,6.7222e+07
58.2,140,6.76866e+07
58.4,144,6.81528e+07
58.6,148,6.86206e+07
58.8,152,6.909e+07
59,156,6.9561e+07
59.2,160,7.00336e+07
59.4,164,7.05078e+07
59.6,168,7.09836e+07
59.8,172,7.1461e+07
60,176,7.194e+07
