"time","I@variable_resistance","U@resistance"
9.19e-05,-3.04686e-06,7.07816
9.21e-05,-3.05787e-06,7.18403
9.23e-05,-3.00977e-06,7.15579
9.25e-05,-2.90976e-06,6.98758
9.27e-05,-2.76663e-06,6.67803
9.29e-05,-2.59034e-06,6.23034
9.31e-05,-2.39152e-06,5.6523
9.33e-05,-2.18105e-06,4.95595
9.35e-05,-1.96948e-06,4.15728
9.37e-05,-1.76668e-06,3.27559
9.39e-05,-1.58138e-06,2.33285
9.41e-05,-1.42086e-06,1.35287
9.43e-05,-1.29063e-06,0.360479
9.45e-05,-1.19434e-06,-0.619355
9.47e-05,-1.13362e-06,-1.56241
9.49e-05,-1.1081e-06,-2.44605
9.51e-05,-0.0192595,-3.37282
9.53e-05,-0.0498889,-4.32171
9.55e-05,-0.0782773,-5.15331
9.57e-05,-0.104247,-5.85834
9.59e-05,-0.127671,-6.43008
9.61e-05,-0.148471,-6.86448
9.63e-05,-0.16662,-7.16004
9.65e-05,-0.182135,-7.31774
9.67e-05,-0.19508,-7.34093
9.69e-05,-0.205563,-7.23516
9.71e-05,-0.213727,-7.00796
9.73e-05,-0.219749,-6.66867
9.75e-05,-0.223838,-6.22815
9.77e-05,-0.226226,-5.69855
9.79e-05,-0.227164,-5.09304
9.81e-05,-0.226917,-4.42553
9.83e-05,-0.22576,-3.71039
9.85e-05,-0.223971,-2.96218
9.87e-05,-0.221827,-2.19541
9.89e-05,-0.219598,-1.42426
9.91e-05,-0.217545,-0.662362
9.93e-05,-0.215913,0.0774365
9.95e-05,-0.214929,0.783205
9.97e-05,-0.2148,1.44415
9.99e-05,-0.215707,2.05075
0.0001,-1.35442e-06,2.33106
