"time",	"der(h)",	"der(v)",	"e",	"g",	"h",	"v"
0.32,	-3.1392,	-9.81,	0.7,	9.81,	0.499298,	-3.1392
0.33,	-3.2373,	-9.81,	0.7,	9.81,	0.467464,	-3.2373
0.34,	-3.3354,	-9.81,	0.7,	9.81,	0.43465,	-3.3354
0.35,	-3.4335,	-9.81,	0.7,	9.81,	0.400854,	-3.4335
0.36,	-3.5316,	-9.81,	0.7,	9.81,	0.366078,	-3.5316
0.37,	-3.6297,	-9.81,	0.7,	9.81,	0.33032,	-3.6297
0.38,	-3.7278,	-9.81,	0.7,	9.81,	0.293582,	-3.7278
0.39,	-3.8259,	-9.81,	0.7,	9.81,	0.255862,	-3.8259
0.4,	-3.924,	-9.81,	0.7,	9.81,	0.217162,	-3.924
0.41,	-4.0221,	-9.81,	0.7,	9.81,	0.177481,	-4.0221
0.42,	-4.1202,	-9.81,	0.7,	9.81,	0.136818,	-4.1202
0.43,	-4.2183,	-9.81,	0.7,	9.81,	0.095175,	-4.2183
0.44,	-4.3164,	-9.81,	0.7,	9.81,	0.05255,	-4.3164
0.45,	-4.4145,	-9.81,	0.7,	9.81,	0.008945,	-4.4145
0.46,	3.042081,	-9.81,	0.7,	9.81,	0.017241,	3.042081
0.47,	2.943981,	-9.81,	0.7,	9.81,	0.04722,	2.943981
0.48,	2.845881,	-9.81,	0.7,	9.81,	0.076219,	2.845881
0.49,	2.747781,	-9.81,	0.7,	9.81,	0.104236,	2.747781
0.5,	2.649681,	-9.81,	0.7,	9.81,	0.131273,	2.649681
0.51,	2.551581,	-9.81,	0.7,	9.81,	0.157328,	2.551581
0.52,	2.453481,	-9.81,	0.7,	9.81,	0.182402,	2.453481
0.53,	2.355381,	-9.81,	0.7,	9.81,	0.206496,	2.355381
0.54,	2.257281,	-9.81,	0.7,	9.81,	0.229608,	2.257281
0.55,	2.159181,	-9.81,	0.7,	9.81,	0.251739,	2.159181
0.56,	2.061081,	-9.81,	0.7,	9.81,	0.27289,	2.061081
0.57,	1.962981,	-9.81,	0.7,	9.81,	0.293059,	1.962981
0.58,	1.864881,	-9.81,	0.7,	9.81,	0.312247,	1.864881
0.59,	1.766781,	-9.81,	0.7,	9.81,	0.330455,	1.766781
0.6,	1.668681,	-9.81,	0.7,	9.81,	0.347681,	1.668681
0.61,	1.570581,	-9.81,	0.7,	9.81,	0.363926,	1.570581
0.62,	1.472481,	-9.81,	0.7,	9.81,	0.379191,	1.472481
0.63,	1.374381,	-9.81,	0.7,	9.81,	0.393474,	1.374381
0.64,	1.276281,	-9.81,	0.7,	9.81,	0.406777,	1.276281
0.65,	1.178181,	-9.81,	0.7,	9.81,	0.419098,	1.178181
0.66,	1.080081,	-9.81,	0.7,	9.81,	0.430438,	1.080081
0.67,	0.981981,	-9.81,	0.7,	9.81,	0.440798,	0.981981
0.68,	0.883881,	-9.81,	0.7,	9.81,	0.450176,	0.883881
0.69,	0.785781,	-9.81,	0.7,	9.81,	0.458573,	0.785781
0.7,	0.687681,	-9.81,	0.7,	9.81,	0.46599,	0.687681
0.71,	0.589581,	-9.81,	0.7,	9.81,	0.472425,	0.589581
0.72,	0.491481,	-9.81,	0.7,	9.81,	0.477879,	0.491481
0.73,	0.393381,	-9.81,	0.7,	9.81,	0.482353,	0.393381
0.74,	0.295281,	-9.81,	0.7,	9.81,	0.485845,	0.295281
0.75,	0.197181,	-9.81,	0.7,	9.81,	0.488357,	0.197181
0.76,	0.099081,	-9.81,	0.7,	9.81,	0.489887,	0.099081
0.77,	0.000981,	-9.81,	0.7,	9.81,	0.490436,	0.000981
0.78,	-0.097119,	-9.81,	0.7,	9.81,	0.490005,	-0.097119
0.79,	-0.195219,	-9.81,	0.7,	9.81,	0.488592,	-0.195219
0.8,	-0.293319,	-9.81,	0.7,	9.81,	0.486198,	-0.293319
0.81,	-0.391419,	-9.81,	0.7,	9.81,	0.482824,	-0.391419
0.82,	-0.489519,	-9.81,	0.7,	9.81,	0.478468,	-0.489519
0.83,	-0.587619,	-9.81,	0.7,	9.81,	0.473131,	-0.587619
0.84,	-0.685719,	-9.81,	0.7,	9.81,	0.466814,	-0.685719
0.85,	-0.783819,	-9.81,	0.7,	9.81,	0.459515,	-0.783819
0.86,	-0.881919,	-9.81,	0.7,	9.81,	0.451235,	-0.881919
0.87,	-0.980019,	-9.81,	0.7,	9.81,	0.441975,	-0.980019
0.88,	-1.078119,	-9.81,	0.7,	9.81,	0.431733,	-1.078119
0.89,	-1.176219,	-9.81,	0.7,	9.81,	0.420511,	-1.176219
0.9,	-1.274319,	-9.81,	0.7,	9.81,	0.408307,	-1.274319
0.91,	-1.372419,	-9.81,	0.7,	9.81,	0.395122,	-1.372419
0.92,	-1.470519,	-9.81,	0.7,	9.81,	0.380957,	-1.470519
0.93,	-1.568619,	-9.81,	0.7,	9.81,	0.36581,	-1.568619
0.94,	-1.666719,	-9.81,	0.7,	9.81,	0.349682,	-1.666719
0.95,	-1.764819,	-9.81,	0.7,	9.81,	0.332574,	-1.764819
0.96,	-1.862919,	-9.81,	0.7,	9.81,	0.314484,	-1.862919
0.97,	-1.961019,	-9.81,	0.7,	9.81,	0.295413,	-1.961019
0.98,	-2.059119,	-9.81,	0.7,	9.81,	0.275362,	-2.059119
0.99,	-2.157219,	-9.81,	0.7,	9.81,	0.254329,	-2.157219
1,	-2.255319,	-9.81,	0.7,	9.81,	0.232316,	-2.255319
1.01,	-2.353419,	-9.81,	0.7,	9.81,	0.209321,	-2.353419
1.02,	-2.451519,	-9.81,	0.7,	9.81,	0.185345,	-2.451519
1.03,	-2.549619,	-9.81,	0.7,	9.81,	0.160389,	-2.549619
1.04,	-2.647719,	-9.81,	0.7,	9.81,	0.134451,	-2.647719
1.05,	-2.745819,	-9.81,	0.7,	9.81,	0.107532,	-2.745819
1.06,	-2.843919,	-9.81,	0.7,	9.81,	0.079633,	-2.843919
1.07,	-2.942019,	-9.81,	0.7,	9.81,	0.050752,	-2.942019
1.08,	-3.040119,	-9.81,	0.7,	9.81,	0.02089,	-3.040119
1.09,	2.146722,	-9.81,	0.7,	9.81,	0.005903,	2.146722
1.1,	2.048622,	-9.81,	0.7,	9.81,	0.026928,	2.048622
1.11,	1.950522,	-9.81,	0.7,	9.81,	0.046973,	1.950522
1.12,	1.852422,	-9.81,	0.7,	9.81,	0.066037,	1.852422
1.13,	1.754322,	-9.81,	0.7,	9.81,	0.08412,	1.754322
1.14,	1.656222,	-9.81,	0.7,	9.81,	0.101221,	1.656222
1.15,	1.558122,	-9.81,	0.7,	9.81,	0.117342,	1.558122
1.16,	1.460022,	-9.81,	0.7,	9.81,	0.132482,	1.460022
1.17,	1.361922,	-9.81,	0.7,	9.81,	0.146641,	1.361922
1.18,	1.263822,	-9.81,	0.7,	9.81,	0.159819,	1.263822
1.19,	1.165722,	-9.81,	0.7,	9.81,	0.172015,	1.165722
1.2,	1.067622,	-9.81,	0.7,	9.81,	0.183231,	1.067622
1.21,	0.969522,	-9.81,	0.7,	9.81,	0.193466,	0.969522
1.22,	0.871422,	-9.81,	0.7,	9.81,	0.20272,	0.871422
1.23,	0.773322,	-9.81,	0.7,	9.81,	0.210992,	0.773322
1.24,	0.675222,	-9.81,	0.7,	9.81,	0.218284,	0.675222
1.25,	0.577122,	-9.81,	0.7,	9.81,	0.224595,	0.577122
1.26,	0.479022,	-9.81,	0.7,	9.81,	0.229925,	0.479022
1.27,	0.380922,	-9.81,	0.7,	9.81,	0.234273,	0.380922
1.28,	0.282822,	-9.81,	0.7,	9.81,	0.237641,	0.282822
1.29,	0.184722,	-9.81,	0.7,	9.81,	0.240028,	0.184722
1.3,	0.086622,	-9.81,	0.7,	9.81,	0.241434,	0.086622
1.31,	-0.011478,	-9.81,	0.7,	9.81,	0.241859,	-0.011478
1.32,	-0.109578,	-9.81,	0.7,	9.81,	0.241302,	-0.109578
1.33,	-0.207678,	-9.81,	0.7,	9.81,	0.239765,	-0.207678
1.34,	-0.305778,	-9.81,	0.7,	9.81,	0.237247,	-0.305778
1.35,	-0.403878,	-9.81,	0.7,	9.81,	0.233748,	-0.403878
1.36,	-0.501978,	-9.81,	0.7,	9.81,	0.229267,	-0.501978
1.37,	-0.600078,	-9.81,	0.7,	9.81,	0.223806,	-0.600078
1.38,	-0.698178,	-9.81,	0.7,	9.81,	0.217364,	-0.698178
1.39,	-0.796278,	-9.81,	0.7,	9.81,	0.209941,	-0.796278
1.4,	-0.894378,	-9.81,	0.7,	9.81,	0.201537,	-0.894378
1.41,	-0.992478,	-9.81,	0.7,	9.81,	0.192151,	-0.992478
1.42,	-1.090578,	-9.81,	0.7,	9.81,	0.181785,	-1.090578
1.43,	-1.188678,	-9.81,	0.7,	9.81,	0.170438,	-1.188678
1.44,	-1.286778,	-9.81,	0.7,	9.81,	0.15811,	-1.286778
1.45,	-1.384878,	-9.81,	0.7,	9.81,	0.1448,	-1.384878
1.46,	-1.482978,	-9.81,	0.7,	9.81,	0.13051,	-1.482978
1.47,	-1.581078,	-9.81,	0.7,	9.81,	0.115239,	-1.581078
1.48,	-1.679178,	-9.81,	0.7,	9.81,	0.098987,	-1.679178
1.49,	-1.777278,	-9.81,	0.7,	9.81,	0.081753,	-1.777278
1.5,	-1.875378,	-9.81,	0.7,	9.81,	0.063539,	-1.875378
1.51,	-1.973478,	-9.81,	0.7,	9.81,	0.044344,	-1.973478
1.52,	-2.071578,	-9.81,	0.7,	9.81,	0.024168,	-2.071578
1.53,	-2.169678,	-9.81,	0.7,	9.81,	0.003011,	-2.169678
1.54,	1.454028,	-9.81,	0.7,	9.81,	0.010647,	1.454028
1.55,	1.355928,	-9.81,	0.7,	9.81,	0.024746,	1.355928
1.56,	1.257828,	-9.81,	0.7,	9.81,	0.037863,	1.257828
1.57,	1.159728,	-9.81,	0.7,	9.81,	0.05,	1.159728
1.58,	1.061628,	-9.81,	0.7,	9.81,	0.061156,	1.061628
1.59,	0.963528,	-9.81,	0.7,	9.81,	0.071331,	0.963528
1.6,	0.865428,	-9.81,	0.7,	9.81,	0.080525,	0.865428
1.61,	0.767328,	-9.81,	0.7,	9.81,	0.088738,	0.767328
1.62,	0.669228,	-9.81,	0.7,	9.81,	0.095969,	0.669228
1.63,	0.571128,	-9.81,	0.7,	9.81,	0.10222,	0.571128
1.64,	0.473028,	-9.81,	0.7,	9.81,	0.10749,	0.473028
1.65,	0.374928,	-9.81,	0.7,	9.81,	0.111779,	0.374928
1.66,	0.276828,	-9.81,	0.7,	9.81,	0.115087,	0.276828
1.67,	0.178728,	-9.81,	0.7,	9.81,	0.117414,	0.178728
1.68,	0.080628,	-9.81,	0.7,	9.81,	0.118759,	0.080628
1.69,	-0.017472,	-9.81,	0.7,	9.81,	0.119124,	-0.017472
1.7,	-0.115572,	-9.81,	0.7,	9.81,	0.118508,	-0.115572
1.71,	-0.213672,	-9.81,	0.7,	9.81,	0.116911,	-0.213672
1.72,	-0.311772,	-9.81,	0.7,	9.81,	0.114333,	-0.311772
1.73,	-0.409872,	-9.81,	0.7,	9.81,	0.110774,	-0.409872
1.74,	-0.507972,	-9.81,	0.7,	9.81,	0.106233,	-0.507972
1.75,	-0.606072,	-9.81,	0.7,	9.81,	0.100712,	-0.606072
1.76,	-0.704172,	-9.81,	0.7,	9.81,	0.09421,	-0.704172
1.77,	-0.802272,	-9.81,	0.7,	9.81,	0.086727,	-0.802272
1.78,	-0.900372,	-9.81,	0.7,	9.81,	0.078263,	-0.900372
1.79,	-0.998472,	-9.81,	0.7,	9.81,	0.068818,	-0.998472
1.8,	-1.096572,	-9.81,	0.7,	9.81,	0.058391,	-1.096572
1.81,	-1.194672,	-9.81,	0.7,	9.81,	0.046984,	-1.194672
1.82,	-1.292772,	-9.81,	0.7,	9.81,	0.034596,	-1.292772
1.83,	-1.390872,	-9.81,	0.7,	9.81,	0.021227,	-1.390872
1.84,	-1.488972,	-9.81,	0.7,	9.81,	0.006877,	-1.488972
1.85,	1.027565,	-9.81,	0.7,	9.81,	0.004619,	1.027565
1.86,	0.929465,	-9.81,	0.7,	9.81,	0.014453,	0.929465
1.87,	0.831365,	-9.81,	0.7,	9.81,	0.023306,	0.831365
1.88,	0.733265,	-9.81,	0.7,	9.81,	0.031178,	0.733265
1.89,	0.635165,	-9.81,	0.7,	9.81,	0.03807,	0.635165
1.9,	0.537065,	-9.81,	0.7,	9.81,	0.04398,	0.537065
1.91,	0.438965,	-9.81,	0.7,	9.81,	0.048909,	0.438965
1.92,	0.340865,	-9.81,	0.7,	9.81,	0.052857,	0.340865
1.93,	0.242765,	-9.81,	0.7,	9.81,	0.055824,	0.242765
1.94,	0.144665,	-9.81,	0.7,	9.81,	0.057811,	0.144665
1.95,	0.046565,	-9.81,	0.7,	9.81,	0.058816,	0.046565
1.96,	-0.051535,	-9.81,	0.7,	9.81,	0.05884,	-0.051535
1.97,	-0.149635,	-9.81,	0.7,	9.81,	0.057883,	-0.149635
1.98,	-0.247735,	-9.81,	0.7,	9.81,	0.055945,	-0.247735
1.99,	-0.345835,	-9.81,	0.7,	9.81,	0.053027,	-0.345835
2,	-0.443935,	-9.81,	0.7,	9.81,	0.049127,	-0.443935
2.01,	-0.542035,	-9.81,	0.7,	9.81,	0.044246,	-0.542035
2.02,	-0.640135,	-9.81,	0.7,	9.81,	0.038384,	-0.640135
2.03,	-0.738235,	-9.81,	0.7,	9.81,	0.031541,	-0.738235
2.04,	-0.836335,	-9.81,	0.7,	9.81,	0.023718,	-0.836335
2.05,	-0.934435,	-9.81,	0.7,	9.81,	0.014913,	-0.934435
2.06,	-1.032535,	-9.81,	0.7,	9.81,	0.005127,	-1.032535
2.07,	0.708059,	-9.81,	0.7,	9.81,	0.003554,	0.708059
2.08,	0.609959,	-9.81,	0.7,	9.81,	0.010193,	0.609959
2.09,	0.511859,	-9.81,	0.7,	9.81,	0.015851,	0.511859
2.1,	0.413759,	-9.81,	0.7,	9.81,	0.020528,	0.413759
2.11,	0.315659,	-9.81,	0.7,	9.81,	0.024224,	0.315659
2.12,	0.217559,	-9.81,	0.7,	9.81,	0.026939,	0.217559
2.13,	0.119459,	-9.81,	0.7,	9.81,	0.028674,	0.119459
2.14,	0.021359,	-9.81,	0.7,	9.81,	0.029427,	0.021359
2.15,	-0.076741,	-9.81,	0.7,	9.81,	0.029199,	-0.076741
2.16,	-0.174841,	-9.81,	0.7,	9.81,	0.02799,	-0.174841
2.17,	-0.272941,	-9.81,	0.7,	9.81,	0.0258,	-0.272941
2.18,	-0.371041,	-9.81,	0.7,	9.81,	0.022629,	-0.371041
2.19,	-0.469141,	-9.81,	0.7,	9.81,	0.018477,	-0.469141
2.2,	-0.567241,	-9.81,	0.7,	9.81,	0.013345,	-0.567241
2.21,	-0.665341,	-9.81,	0.7,	9.81,	0.007231,	-0.665341
2.22,	-0.763441,	-9.81,	0.7,	9.81,	0.000136,	-0.763441
2.23,	0.452985,	-9.81,	0.7,	9.81,	0.003891,	0.452985
2.24,	0.354885,	-9.81,	0.7,	9.81,	0.007979,	0.354885
2.25,	0.256785,	-9.81,	0.7,	9.81,	0.011087,	0.256785
2.26,	0.158685,	-9.81,	0.7,	9.81,	0.013213,	0.158685
2.27,	0.060585,	-9.81,	0.7,	9.81,	0.014358,	0.060585
2.28,	-0.037515,	-9.81,	0.7,	9.81,	0.014523,	-0.037515
2.29,	-0.135615,	-9.81,	0.7,	9.81,	0.013706,	-0.135615
2.3,	-0.233715,	-9.81,	0.7,	9.81,	0.011909,	-0.233715
2.31,	-0.331815,	-9.81,	0.7,	9.81,	0.00913,	-0.331815
2.32,	-0.429915,	-9.81,	0.7,	9.81,	0.00537,	-0.429915
2.33,	-0.528015,	-9.81,	0.7,	9.81,	0.00063,	-0.528015
2.34,	0.304864,	-9.81,	0.7,	9.81,	0.002356,	0.304864
2.35,	0.206764,	-9.81,	0.7,	9.81,	0.004963,	0.206764
2.36,	0.108664,	-9.81,	0.7,	9.81,	0.006589,	0.108664
2.37,	0.010564,	-9.81,	0.7,	9.81,	0.007235,	0.010564
2.38,	-0.087536,	-9.81,	0.7,	9.81,	0.006899,	-0.087536
2.39,	-0.185636,	-9.81,	0.7,	9.81,	0.005582,	-0.185636
2.4,	-0.283736,	-9.81,	0.7,	9.81,	0.003284,	-0.283736
2.41,	-0.381836,	-9.81,	0.7,	9.81,	5E-06,	-0.381836
2.42,	0.185862,	-9.81,	0.7,	9.81,	0.001738,	0.185862
2.43,	0.087762,	-9.81,	0.7,	9.81,	0.003155,	0.087762
2.44,	-0.010338,	-9.81,	0.7,	9.81,	0.003591,	-0.010338
2.45,	-0.108438,	-9.81,	0.7,	9.81,	0.003046,	-0.108438
2.46,	-0.206538,	-9.81,	0.7,	9.81,	0.00152,	-0.206538
2.47,	0.163216,	-9.81,	0.7,	9.81,	0.000417,	0.163216
2.48,	0.065116,	-9.81,	0.7,	9.81,	0.001608,	0.065116
2.49,	-0.032984,	-9.81,	0.7,	9.81,	0.001818,	-0.032984
2.5,	-0.131084,	-9.81,	0.7,	9.81,	0.001046,	-0.131084
2.51,	0.110398,	-9.81,	0.7,	9.81,	0.000313,	0.110398
2.52,	0.012298,	-9.81,	0.7,	9.81,	0.000975,	0.012298
2.53,	-0.085802,	-9.81,	0.7,	9.81,	0.000657,	-0.085802
2.54,	0.062023,	-9.81,	0.7,	9.81,	0.000341,	0.062023
2.55,	-0.036077,	-9.81,	0.7,	9.81,	0.00052,	-0.036077
2.56,	0.06057,	-9.81,	0.7,	9.81,	0.000107,	0.06057
2.57,	-0.03753,	-9.81,	0.7,	9.81,	0.000271,	-0.03753
2.58,	0.011556,	-9.81,	0.7,	9.81,	0.000191,	0.011556
2.59,	0.043904,	-9.81,	0.7,	9.81,	-5E-06,	0.043904
2.6,	0.037937,	-9.81,	0.7,	9.81,	-7E-06,	0.037937
2.61,	0.025437,	-9.81,	0.7,	9.81,	1.6E-05,	0.025437
2.62,	0.000833,	-9.81,	0.7,	9.81,	5E-05,	0.000833
2.63,	-0.031975,	-9.81,	0.7,	9.81,	8E-06,	-0.031975
2.64,	0.007974,	-9.81,	0.7,	9.81,	2E-05,	0.007974
2.65,	0.025882,	-9.81,	0.7,	9.81,	-2.2E-05,	0.025882
2.66,	-0.016155,	-9.81,	0.7,	9.81,	1.9E-05,	-0.016155
2.67,	0.004052,	-9.81,	0.7,	9.81,	1.8E-05,	0.004052
2.68,	0.02396,	-9.81,	0.7,	9.81,	-2.4E-05,	0.02396
2.69,	0.022041,	-9.81,	0.7,	9.81,	-1.3E-05,	0.022041
2.7,	0.021101,	-9.81,	0.7,	9.81,	-4E-06,	0.021101
2.71,	-0.012808,	-9.81,	0.7,	9.81,	2.2E-05,	-0.012808
2.72,	0.005692,	-9.81,	0.7,	9.81,	1.6E-05,	0.005692
2.73,	0.008087,	-9.81,	0.7,	9.81,	1.8E-05,	0.008087
2.74,	0.025937,	-9.81,	0.7,	9.81,	-2.5E-05,	0.025937
2.75,	-0.016194,	-9.81,	0.7,	9.81,	1.7E-05,	-0.016194
2.76,	0.004033,	-9.81,	0.7,	9.81,	1.5E-05,	0.004033
2.77,	0.002271,	-9.81,	0.7,	9.81,	2.3E-05,	0.002271
2.78,	0.001407,	-9.81,	0.7,	9.81,	2.9E-05,	0.001407
2.79,	0.022664,	-9.81,	0.7,	9.81,	-1.2E-05,	0.022664
2.8,	-0.013903,	-9.81,	0.7,	9.81,	1.9E-05,	-0.013903
2.81,	0.005156,	-9.81,	0.7,	9.81,	1.5E-05,	0.005156
2.82,	0.007824,	-9.81,	0.7,	9.81,	1.5E-05,	0.007824
2.83,	0.009131,	-9.81,	0.7,	9.81,	1.9E-05,	0.009131
2.84,	0.026449,	-9.81,	0.7,	9.81,	-2.4E-05,	0.026449
2.85,	-0.016552,	-9.81,	0.7,	9.81,	1.9E-05,	-0.016552
2.86,	0.003858,	-9.81,	0.7,	9.81,	1.8E-05,	0.003858
2.87,	0.023865,	-9.81,	0.7,	9.81,	-2.4E-05,	0.023865
2.88,	0.021994,	-9.81,	0.7,	9.81,	-1.3E-05,	0.021994
2.89,	0.021078,	-9.81,	0.7,	9.81,	-4E-06,	0.021078
2.9,	-0.012792,	-9.81,	0.7,	9.81,	2.2E-05,	-0.012792
2.91,	0.0057,	-9.81,	0.7,	9.81,	1.6E-05,	0.0057
2.92,	0.00809,	-9.81,	0.7,	9.81,	1.8E-05,	0.00809
2.93,	0.025939,	-9.81,	0.7,	9.81,	-2.5E-05,	0.025939
2.94,	-0.016195,	-9.81,	0.7,	9.81,	1.6E-05,	-0.016195
2.95,	0.004033,	-9.81,	0.7,	9.81,	1.5E-05,	0.004033
2.96,	0.00227,	-9.81,	0.7,	9.81,	2.2E-05,	0.00227
2.97,	0.001407,	-9.81,	0.7,	9.81,	2.9E-05,	0.001407
2.98,	0.022664,	-9.81,	0.7,	9.81,	-1.2E-05,	0.022664
2.99,	-0.013903,	-9.81,	0.7,	9.81,	1.9E-05,	-0.013903
3,	0.005156,	-9.81,	0.7,	9.81,	1.5E-05,	0.005156
3.01,	0.007824,	-9.81,	0.7,	9.81,	1.5E-05,	0.007824
3.02,	0.009131,	-9.81,	0.7,	9.81,	1.9E-05,	0.009131
3.03,	0.026449,	-9.81,	0.7,	9.81,	-2.5E-05,	0.026449
3.04,	-0.016552,	-9.81,	0.7,	9.81,	1.9E-05,	-0.016552
3.05,	0.003858,	-9.81,	0.7,	9.81,	1.8E-05,	0.003858
3.06,	0.023865,	-9.81,	0.7,	9.81,	-2.4E-05,	0.023865
3.07,	0.021994,	-9.81,	0.7,	9.81,	-1.3E-05,	0.021994
3.08,	0.021078,	-9.81,	0.7,	9.81,	-4E-06,	0.021078
3.09,	-0.012792,	-9.81,	0.7,	9.81,	2.2E-05,	-0.012792
3.1,	0.0057,	-9.81,	0.7,	9.81,	1.6E-05,	0.0057
3.11,	0.00809,	-9.81,	0.7,	9.81,	1.7E-05,	0.00809
3.12,	0.025939,	-9.81,	0.7,	9.81,	-2.5E-05,	0.025939
3.13,	-0.016195,	-9.81,	0.7,	9.81,	1.6E-05,	-0.016195
3.14,	0.004033,	-9.81,	0.7,	9.81,	1.5E-05,	0.004033
3.15,	0.00227,	-9.81,	0.7,	9.81,	2.2E-05,	0.00227
3.16,	0.001407,	-9.81,	0.7,	9.81,	2.9E-05,	0.001407
3.17,	0.022664,	-9.81,	0.7,	9.81,	-1.2E-05,	0.022664
3.18,	-0.013903,	-9.81,	0.7,	9.81,	1.9E-05,	-0.013903
3.19,	0.005156,	-9.81,	0.7,	9.81,	1.5E-05,	0.005156
3.2,	0.007824,	-9.81,	0.7,	9.81,	1.5E-05,	0.007824
3.21,	0.009131,	-9.81,	0.7,	9.81,	1.8E-05,	0.009131
3.22,	0.026449,	-9.81,	0.7,	9.81,	-2.5E-05,	0.026449
3.23,	-0.016552,	-9.81,	0.7,	9.81,	1.9E-05,	-0.016552
3.24,	0.003858,	-9.81,	0.7,	9.81,	1.8E-05,	0.003858
3.25,	0.023865,	-9.81,	0.7,	9.81,	-2.4E-05,	0.023865
3.26,	0.021994,	-9.81,	0.7,	9.81,	-1.3E-05,	0.021994
3.27,	0.021078,	-9.81,	0.7,	9.81,	-4E-06,	0.021078
3.28,	-0.012792,	-9.81,	0.7,	9.81,	2.2E-05,	-0.012792
3.29,	0.0057,	-9.81,	0.7,	9.81,	1.6E-05,	0.0057
3.3,	0.00809,	-9.81,	0.7,	9.81,	1.7E-05,	0.00809
3.31,	0.025939,	-9.81,	0.7,	9.81,	-2.5E-05,	0.025939
3.32,	-0.016195,	-9.81,	0.7,	9.81,	1.6E-05,	-0.016195
3.33,	0.004033,	-9.81,	0.7,	9.81,	1.5E-05,	0.004033
3.34,	0.00227,	-9.81,	0.7,	9.81,	2.2E-05,	0.00227
3.35,	0.001407,	-9.81,	0.7,	9.81,	2.9E-05,	0.001407
3.36,	0.022664,	-9.81,	0.7,	9.81,	-1.2E-05,	0.022664
3.37,	-0.013903,	-9.81,	0.7,	9.81,	1.9E-05,	-0.013903
3.38,	0.005156,	-9.81,	0.7,	9.81,	1.5E-05,	0.005156
3.39,	0.007824,	-9.81,	0.7,	9.81,	1.5E-05,	0.007824
3.4,	0.009131,	-9.81,	0.7,	9.81,	1.8E-05,	0.009131
3.41,	0.026449,	-9.81,	0.7,	9.81,	-2.5E-05,	0.026449
3.42,	-0.016552,	-9.81,	0.7,	9.81,	1.9E-05,	-0.016552
3.43,	0.003858,	-9.81,	0.7,	9.81,	1.8E-05,	0.003858
3.44,	0.002185,	-9.81,	0.7,	9.81,	2.5E-05,	0.002185
3.45,	0.023045,	-9.81,	0.7,	9.81,	-1.6E-05,	0.023045
3.46,	-0.014169,	-9.81,	0.7,	9.81,	1.6E-05,	-0.014169
3.47,	-0.011652,	-9.81,	0.7,	9.81,	2.2E-05,	-0.011652
3.48,	0.006259,	-9.81,	0.7,	9.81,	1.5E-05,	0.006259
3.49,	0.008364,	-9.81,	0.7,	9.81,	1.7E-05,	0.008364
3.5,	0.026073,	-9.81,	0.7,	9.81,	-2.6E-05,	0.026073
3.51,	-0.016289,	-9.81,	0.7,	9.81,	1.6E-05,	-0.016289
3.52,	-0.017694,	-9.81,	0.7,	9.81,	2E-05,	-0.017694
