    "time","driveAngle","spring.w_rel",  "PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
      1.22,      1.57,-3.243205e-008,-0.069999923,0.25620001,0.00080000157,      0.72,0.72000027
     1.224,      1.57,-3.0219125e-008,-0.069999934,0.25908801,0.00080000144,     0.724,0.72400024
     1.228,      1.57,-2.8130535e-008,-0.069999943,0.26199201,0.00080000132,     0.728,0.72800022
     1.232,      1.57,-2.6161564e-008,-0.069999951,0.26491201,0.00080000122,     0.732, 0.7320002
     1.236,      1.57,-2.4307437e-008,-0.069999959,0.26784801,0.00080000111,     0.736,0.73600018
      1.24,      1.57,-2.2563359e-008,-0.069999965,0.27080001,0.00080000102,      0.74,0.74000016
     1.244,      1.57,-2.0924541e-008,-0.069999971,0.27376801,0.00080000093,     0.744,0.74400014
     1.248,      1.57,-1.9386238e-008,-0.069999977,0.27675201,0.00080000085,     0.748,0.74800013
     1.252,      1.57,-1.7943759e-008,-0.069999981,0.27975201,0.00080000078,     0.752,0.75200011
     1.256,      1.57,-1.6592497e-008,-0.069999986,0.28276801,0.00080000071,     0.756, 0.7560001
      1.26,      1.57,-1.5327938e-008,-0.069999989,0.28580001,0.00080000065,      0.76,0.76000009
     1.264,      1.57,-1.4145677e-008,-0.069999993,0.28884801,0.00080000059,     0.764,0.76400008
     1.268,      1.57,-1.3041426e-008,-0.069999996,0.29191201,0.00080000053,     0.768,0.76800007
     1.272,      1.57,-1.201103e-008,-0.069999998,0.29499201,0.00080000048,     0.772,0.77200006
     1.276,      1.57,-1.1050463e-008,     -0.07,0.29808801,0.00080000044,     0.776,0.77600005
      1.28,      1.57,-1.0155844e-008,-0.070000002,0.30120001,0.00080000039,      0.78,0.78000004
     1.284,      1.57,-9.3234317e-009,-0.070000004,0.30432801,0.00080000036,     0.784,0.78400004
     1.288,      1.57,-8.549632e-009,-0.070000005,0.30747202,0.00080000032,     0.788,0.78800003
     1.292,      1.57,-7.8309972e-009,-0.070000006,0.31063202,0.00080000029,     0.792,0.79200003
     1.296,      1.57,-7.1642268e-009,-0.070000007,0.31380802,0.00080000026,     0.796,0.79600002
       1.3,      1.57,-6.5461662e-009,-0.070000008,0.31700002,0.00080000023,       0.8,0.80000002
     1.304,      1.57,-5.9738054e-009,-0.070000009,0.32020802,0.0008000002,     0.804,0.80400001
     1.308,      1.57,-5.4442771e-009,-0.070000009,0.32343202,0.00080000018,     0.808,0.80800001
     1.312,      1.57,-4.9548536e-009,-0.07000001,0.32667202,0.00080000016,     0.812,0.81200001
     1.316,      1.57,-4.5029442e-009,-0.07000001,0.32992802,0.00080000014,     0.816,0.81600001
      1.32,      1.57,-4.0860911e-009,-0.07000001,0.33320002,0.00080000012,      0.82,      0.82
     1.324,      1.57,-3.7019661e-009,-0.07000001,0.33648802,0.00080000011,     0.824,     0.824
     1.328,      1.57,-3.3483664e-009,-0.07000001,0.33979202,0.00080000009,     0.828,     0.828
     1.332,      1.57,-3.0232104e-009,-0.07000001,0.34311202,0.00080000008,     0.832,     0.832
     1.336,      1.57,-2.7245335e-009,-0.07000001,0.34644802,0.00080000007,     0.836,     0.836
      1.34,      1.57,-2.4504832e-009,-0.07000001,0.34980002,0.00080000006,      0.84,      0.84
     1.344,      1.57,-2.1993152e-009,-0.07000001,0.35316802,0.00080000005,     0.844,     0.844
     1.348,      1.57,-1.9693886e-009,-0.07000001,0.35655202,0.00080000004,     0.848,0.84799999
     1.352,      1.57,-1.7591615e-009,-0.070000009,0.35995202,0.00080000004,     0.852,0.85199999
     1.356,      1.57,-1.5671866e-009,-0.070000009,0.36336802,0.00080000003,     0.856,0.85599999
      1.36,      1.57,-1.3921063e-009,-0.070000009,0.36680002,0.00080000002,      0.86,0.85999999
     1.364,      1.57,-1.2326491e-009,-0.070000008,0.37024802,0.00080000002,     0.864,0.86399999
     1.368,      1.57,-1.0876251e-009,-0.070000008,0.37371202,0.00080000001,     0.868,0.86799999
     1.372,      1.57,-9.559216e-010,-0.070000008,0.37719202,0.00080000001,     0.872,0.87199999
     1.376,      1.57,-8.3649931e-010,-0.070000008,0.38068802,0.00080000001,     0.876,0.87599999
      1.38,      1.57,-7.2838845e-010,-0.070000007,0.38420002,    0.0008,      0.88,0.87999999
     1.384,      1.57,-6.306849e-010,-0.070000007,0.38772802,    0.0008,     0.884,0.88399999
     1.388,      1.57,-5.4254658e-010,-0.070000007,0.39127202,    0.0008,     0.888,0.88799999
     1.392,      1.57,-4.6318995e-010,-0.070000006,0.39483202,0.00079999999,     0.892,0.89199999
     1.396,      1.57,-3.9188659e-010,-0.070000006,0.39840802,0.00079999999,     0.896,0.89599999
       1.4,      1.57,-3.2796e-010,-0.070000006,0.40200002,0.00079999999,       0.9,0.89999999
     1.404,      1.57,-2.7078243e-010,-0.070000005,0.40560802,0.00079999999,     0.904,0.90399999
     1.408,      1.57,-2.19772e-010,-0.070000005,0.40923202,0.00079999999,     0.908,0.90799999
     1.412,      1.57,-1.7430182e-010,-0.070000005,0.41287201,0.00079999999,     0.912,0.91199999
     1.416,      1.57,-1.3396341e-010,-0.070000005,0.41652801,0.00079999999,     0.916,0.91599999
      1.42,      1.57,-9.8309748e-011,-0.070000004,0.42020001,0.00079999999,      0.92,0.91999999
     1.424,      1.57,-6.6912768e-011,-0.070000004,0.42388801,0.00079999999,     0.924,0.92399999
     1.428,      1.57,-3.9377068e-011,-0.070000004,0.42759201,0.00079999999,     0.928,0.92799999
     1.432,      1.57,-1.5339412e-011,-0.070000004,0.43131201,0.00079999999,     0.932,0.93199999
     1.436,      1.57,5.5340637e-012,-0.070000003,0.43504801,0.00079999999,     0.936,0.93599999
      1.44,      1.57,2.3550358e-011,-0.070000003,0.43880001,0.00079999999,      0.94,0.93999999
     1.444,      1.57,3.8991572e-011,-0.070000003,0.44256801,0.00079999999,     0.944,     0.944
     1.448,      1.57,5.2116609e-011,-0.070000003,0.44635201,0.00079999999,     0.948,     0.948
     1.452,      1.57,6.3162815e-011,-0.070000003,0.45015201,0.00079999999,     0.952,     0.952
     1.456,      1.57,7.2347487e-011,-0.070000002,0.45396801,0.00079999999,     0.956,     0.956
      1.46,      1.57,7.9869292e-011,-0.070000002,0.45780001,0.00079999999,      0.96,      0.96
     1.464,      1.57,8.5930145e-011,-0.070000002,0.46164801,0.00079999999,     0.964,     0.964
     1.468,      1.57,9.0676872e-011,-0.070000002,0.46551201,0.00079999999,     0.968,     0.968
     1.472,      1.57,9.425539e-011,-0.070000002,0.46939201,0.00079999999,     0.972,     0.972
     1.476,      1.57,9.6801837e-011,-0.070000002,0.47328801,0.00079999999,     0.976,     0.976
      1.48,      1.57,9.8440953e-011,-0.070000002,0.47720001,0.00079999999,      0.98,      0.98
     1.484,      1.57,9.928613e-011,-0.070000002,0.48112801,0.00079999999,     0.984,     0.984
     1.488,      1.57,9.9440063e-011,-0.070000001,0.48507201,0.00079999999,     0.988,     0.988
     1.492,      1.57,9.8995504e-011,-0.070000001,0.48903201,0.00079999999,     0.992,     0.992
     1.496,      1.57,9.8036085e-011,-0.070000001,0.49300801,0.00079999999,     0.996,     0.996
       1.5,      1.57,9.6637086e-011,-0.070000001,0.49700001,0.00079999999,         1,         1
     1.504,      1.57,0.00057706314,-0.070071154,0.50100713,0.00080086098,         1, 1.0033747
     1.508,      1.57,0.0016895028,-0.070259861,  0.505026,0.00080533781,         1, 1.0059831
     1.512,      1.57,0.0027858667,-0.070545393,0.50905455,0.00081432895,         1, 1.0082478
     1.516,      1.57,0.0036285227,-0.0709176,0.51309177,0.00082721626,         1, 1.0103484
      1.52,      1.57,0.004174839,-0.071371162,0.51713713,0.0008428671,         1, 1.0123201
     1.524,      1.57,0.004445631,-0.071900959,0.52119011,0.0008601524,         1, 1.0141559
     1.528,      1.57,0.0044913473,-0.072501217,0.52525014,0.0008780841,         1, 1.0158317
     1.532,      1.57,0.0043732997,-0.073164929,0.52931651,0.00089586294,         1,  1.017321
     1.536,      1.57,0.0041450149,-0.073884166,0.53338843,0.0009129304,         1, 1.0186064
      1.54,      1.57,0.0038507355,-0.074650581,0.53746507,0.00092894417,         1, 1.0196794
     1.544,      1.57,0.0035233983,-0.075455678,0.54154558,0.00094369767,         1, 1.0205406
