"time","FMU_Interface_OUT0_Primary Ang","FMU_Interface_OUT1_Secondary A","FMU_Interface_OUT2_Primary Spe","FMU_Interface_OUT3_Secondary S","FMU_Interface_OUT4_Primary Acc","FMU_Interface_OUT5_Secondary A","FMU_Interface_OUT6_Primary Tor","FMU_Interface_OUT7_Secondary T","FMU_Interface_OUT8_Torque Fric","FMU_Interface_OUT9_Spring Actu"
0.276,227.106,227.132,430.198,430.198,255.982,255.982,10,-10.5506,-4.42238,154.918
0.288,259.134,259.162,459.531,459.531,255.982,255.982,10,-10.5707,-4.55179,154.917
0.3,293.275,293.304,488.864,488.864,255.982,255.982,10,-10.5907,-7.09186,154.917
0.312,329.527,329.558,518.198,518.198,255.982,255.982,10,-10.6128,4.47876,154.917
0.324,367.892,367.924,547.531,547.531,255.982,255.982,10,-10.6363,-6.40503,154.918
0.336,408.368,408.403,576.864,576.864,255.982,255.982,10,-10.649,-6.64569,154.92
0.348,450.957,450.993,606.198,606.198,255.982,255.982,10,-10.6712,-6.88524,154.921
0.36,495.657,495.695,635.531,635.531,255.982,255.982,10,-10.6938,-7.06688,154.921
0.372,542.47,542.509,664.864,664.864,255.982,255.982,10,-10.7166,-7.25751,154.92
0.384,591.394,591.436,694.198,694.198,255.982,255.982,10,-10.7403,2.46682,154.921
0.396,642.43,642.474,723.531,723.531,255.982,255.982,10,-10.7649,-6.04376,154.922
0.408,695.579,695.624,752.864,752.864,255.982,255.982,10,-10.7938,-10.2524,154.923
0.42,750.839,750.886,782.198,782.198,255.982,255.982,10,-10.8259,2.92532,154.923
0.432,808.212,808.261,811.531,811.531,255.982,255.982,10,-10.8598,-2.34581,154.923
0.444,867.696,867.747,840.864,840.864,255.982,255.982,10,-10.8943,-3.64368,154.924
0.456,929.293,929.345,870.198,870.198,255.982,255.982,10,-10.9279,-6.22208,154.924
0.468,993.001,993.055,899.531,899.531,255.982,255.982,10,-10.958,3.73259,154.924
0.48,1058.82,1058.88,928.864,928.864,255.982,255.982,10,-10.9886,-6.29859,154.924
0.492,1126.75,1126.81,958.198,958.198,255.982,255.982,10,-11.0198,-8.19789,154.924
0.504,1196.8,1196.86,987.531,987.531,255.982,255.982,10,-11.0516,-10.4485,154.925
0.516,1268.96,1269.02,1016.86,1016.86,255.982,255.982,10,-11.0746,-1.3371,154.925
0.528,1343.22,1343.29,1046.2,1046.2,255.982,255.982,10,-11.1079,10.2853,154.925
0.54,1419.6,1419.67,1075.53,1075.53,255.982,255.982,10,-11.1066,-6.50518,154.926
0.552,1498.1,1498.16,1104.86,1104.86,255.982,255.982,10,-11.0857,4.068,154.927
0.564,1578.7,1578.77,1134.2,1134.2,255.982,255.982,10,-11.0699,-0.733379,154.928
0.576,1661.42,1661.49,1163.53,1163.53,255.982,255.982,10,-11.0796,8.56486,154.927
0.588,1746.25,1746.32,1192.86,1192.86,255.982,255.982,10,-11.1026,1.9989,154.926
0.6,1833.19,1833.26,1222.2,1222.2,255.982,255.982,10,-11.1251,2.12041,154.926
0.612,1922.24,1922.31,1251.53,1251.53,255.982,255.982,10,-11.1471,2.23634,154.925
0.624,2013.4,2013.48,1280.86,1280.86,255.982,255.982,10,-11.1686,6.12877,154.924
0.636,2106.68,2106.76,1310.2,1310.2,255.982,255.982,10,-11.1811,-3.56495,154.924
0.648,2202.07,2202.15,1339.53,1339.53,255.982,255.982,10,-11.1951,-3.58551,154.923
0.66,2299.57,2299.65,1368.86,1368.86,255.982,255.982,10,-11.2158,-3.49366,154.922
0.672,2399.18,2399.27,1398.2,1398.2,255.982,255.982,10,-11.2463,1.00983,154.921
0.684,2500.91,2500.99,1427.53,1427.53,255.982,255.982,10,-11.2788,1.19967,154.92
0.696,2604.74,2604.83,1456.86,1456.86,255.982,255.982,10,-11.3106,-3.49922,154.919
0.708,2710.69,2710.78,1486.2,1486.2,255.982,255.982,10,-11.3167,8.74986,154.918
0.72,2818.75,2818.84,1515.53,1515.53,255.982,255.982,10,-11.2897,-3.49926,154.918
0.732,2928.92,2929.02,1544.86,1544.86,255.982,255.982,10,-11.2725,1.99176,154.918
0.744,3041.21,3041.3,1574.2,1574.2,255.982,255.982,10,-11.2629,2.19596,154.918
0.756,3155.6,3155.7,1603.53,1603.53,255.982,255.982,10,-11.202,-12.3587,154.922
0.768,3272.11,3272.21,1632.86,1632.86,255.982,255.982,10,-11.1275,0.52939,154.926
0.78,3390.73,3390.83,1662.2,1662.2,255.982,255.982,10,-11.1102,-1.10723,154.929
0.792,3511.47,3511.57,1691.53,1691.53,255.982,255.982,10,-11.118,-3.3481,154.93
0.804,3634.31,3634.41,1720.86,1720.86,255.982,255.982,10,-11.1448,-13.2969,154.932
0.816,3759.27,3759.37,1750.2,1750.2,255.982,255.982,10,-11.1719,-6.57092,154.932
0.828,3886.34,3886.44,1779.53,1779.53,255.982,255.982,10,-11.1991,14.9206,154.93
0.84,4015.52,4015.62,1808.86,1808.86,255.982,255.982,10,-11.2266,-6.58865,154.928
0.852,4146.81,4146.92,1838.2,1838.2,255.982,255.982,10,-11.1965,-6.59712,154.928
0.864,4280.21,4280.33,1867.53,1867.53,255.982,255.982,10,-11.1195,16.5777,154.928
0.876,4415.73,4415.84,1896.86,1896.86,255.982,255.982,10,-11.085,4.18414,154.929
0.888,4553.36,4553.47,1926.2,1926.2,255.982,255.982,10,-11.1216,4.43745,154.927
0.9,4693.1,4693.22,1955.53,1955.53,255.982,255.982,10,-11.1571,30.3163,154.927
0.912,4834.95,4835.07,1984.86,1984.86,255.982,255.982,10,-11.1906,-4.24096,154.927
0.924,4978.92,4979.04,2014.2,2014.2,255.982,255.982,10,-11.228,21.6408,154.927
0.936,5124.99,5125.11,2043.53,2043.53,255.982,255.982,10,-11.2652,1.70037,154.928
0.948,5273.18,5273.31,2072.86,2072.86,255.982,255.982,10,-11.3018,-10.6171,154.928
0.96,5423.48,5423.61,2102.2,2102.2,255.982,255.982,10,-11.3384,23.2992,154.926
0.972,5575.89,5576.02,2131.53,2131.53,255.982,255.982,10,-11.3791,34.7521,154.925
0.984,5730.42,5730.55,2160.86,2160.86,255.982,255.982,10,-11.4137,24.4496,154.924
0.996,5887.05,5887.19,2190.2,2190.2,255.982,255.982,10,-11.4568,25.0318,154.922
1.008,6045.34,6045.47,2200,2200,-1.98952E-13,-1.98952E-13,-10,8.53278,-1.46722,154.922
1.02,6203.74,6203.87,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.032,6362.14,6362.27,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.044,6520.54,6520.67,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.056,6678.94,6679.07,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.068,6837.34,6837.47,2200,2200,7.85264E-16,7.85264E-16,-10,8.53278,-1.46722,154.922
1.08,6995.74,6995.87,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.092,7154.14,7154.27,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.104,7312.54,7312.67,2200,2200,-8.52285E-16,-8.52285E-16,-10,8.53278,-1.46722,154.922
1.116,7470.94,7471.07,2200,2200,7.88861E-31,7.88861E-31,-10,8.53278,-1.46722,154.922
1.128,7629.34,7629.47,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.14,7787.74,7787.87,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.152,7946.14,7946.27,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.164,8104.54,8104.67,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.176,8262.94,8263.07,2200,2200,9.86392E-16,9.86392E-16,-10,8.53278,-1.46722,154.922
1.188,8421.34,8421.47,2200,2200,1.00873E-15,1.00873E-15,-9.99999,8.53278,-1.46722,154.922
1.2,8579.74,8579.87,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.212,8738.14,8738.27,2200,2200,-1.05341E-15,-1.05341E-15,-10,8.53278,-1.46722,154.922
1.224,8896.54,8896.67,2200,2200,-1.07575E-15,-1.07575E-15,-9.99999,8.53278,-1.46722,154.922
1.236,9054.94,9055.07,2200,2200,9.86076E-31,9.86076E-31,-10,8.53278,-1.46722,154.922
1.248,9213.34,9213.47,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.26,9371.74,9371.87,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.272,9530.14,9530.27,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.284,9688.54,9688.67,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.296,9846.94,9847.07,2200,2200,1.2098E-15,1.2098E-15,-10,8.53278,-1.46722,154.922
1.308,10005.3,10005.5,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.32,10163.7,10163.9,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.332,10322.1,10322.3,2200,2200,-1.27682E-15,-1.27682E-15,-10,8.53278,-1.46722,154.922
1.344,10480.5,10480.7,2200,2200,9.86076E-31,9.86076E-31,9.99999,-11.4672,-1.46722,154.922
1.356,10638.9,10639.1,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.368,10797.3,10797.5,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.38,10955.7,10955.9,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.392,11114.1,11114.3,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.404,11272.5,11272.7,2200,2200,1.41086E-15,1.41086E-15,-9.99999,8.53277,-1.46722,154.922
1.416,11430.9,11431.1,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.428,11589.3,11589.5,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.44,11747.7,11747.9,2200,2200,-1.47795E-15,-1.47795E-15,9.99999,-11.4672,-1.46722,154.922
1.452,11906.1,11906.3,2200,2200,1.38051E-30,1.38051E-30,-10,8.53278,-1.46722,154.922
1.464,12064.5,12064.7,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.476,12222.9,12223.1,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.488,12381.3,12381.5,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.5,12539.7,12539.9,2200,2200,2.84217E-09,2.84217E-09,-9.99999,8.53277,-1.46722,154.922
1.512,12698.1,12698.3,2200,2200,1.61199E-15,1.61199E-15,-10,8.53278,-1.46722,154.922
1.524,12856.5,12856.7,2200,2200,1.63433E-15,1.63433E-15,-10,8.53278,-1.46722,154.922
1.536,13014.9,13015.1,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.548,13173.3,13173.5,2200,2200,-1.67901E-15,-1.67901E-15,-10,8.53278,-1.46722,154.922
1.56,13331.7,13331.9,2200,2200,-1.70135E-15,-1.70135E-15,-10,8.53278,-1.46722,154.922
1.572,13490.1,13490.3,2200,2200,1.57772E-30,1.57772E-30,-10,8.53278,-1.46722,154.922
1.584,13648.5,13648.7,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.596,13806.9,13807.1,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.608,13965.3,13965.5,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.62,14123.7,14123.9,2200,2200,1.81305E-15,1.81305E-15,9.99999,-11.4672,-1.46722,154.922
1.632,14282.1,14282.3,2200,2200,-1.57772E-30,-1.57772E-30,-10,8.53278,-1.46722,154.922
1.644,14440.5,14440.7,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.656,14598.9,14599.1,2200,2200,-2.84217E-09,-2.84217E-09,9.99999,-11.4672,-1.46722,154.922
1.668,14757.3,14757.5,2200,2200,-1.90242E-15,-1.90242E-15,-10,8.53278,-1.46722,154.922
1.68,14915.7,14915.9,2200,2200,1.97215E-30,1.97215E-30,-10,8.53278,-1.46722,154.922
1.692,15074.1,15074.3,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.704,15232.5,15232.7,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.716,15390.9,15391.1,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.728,15549.3,15549.5,2200,2200,2.01418E-15,2.01418E-15,-10,8.53278,-1.46722,154.922
1.74,15707.7,15707.9,2200,2200,2.03652E-15,2.03652E-15,-10,8.53278,-1.46722,154.922
1.752,15866.1,15866.3,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.764,16024.5,16024.7,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.776,16182.9,16183.1,2200,2200,-2.10354E-15,-2.10354E-15,-10,8.53278,-1.46722,154.922
1.788,16341.3,16341.5,2200,2200,1.97215E-30,1.97215E-30,-10,8.53278,-1.46722,154.922
1.8,16499.7,16499.9,2200,2200,0,0,-9.99998,8.53277,-1.46722,154.922
1.812,16658.1,16658.3,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.824,16816.5,16816.7,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.836,16974.9,16975.1,2200,2200,2.21525E-15,2.21525E-15,-9.99998,8.53277,-1.46722,154.922
1.848,17133.3,17133.5,2200,2200,2.23759E-15,2.23759E-15,-10,8.53278,-1.46722,154.922
1.86,17291.7,17291.9,2200,2200,-1.97215E-30,-1.97215E-30,-10,8.53278,-1.46722,154.922
1.872,17450.1,17450.3,2200,2200,-2.84217E-09,-2.84217E-09,-9.99998,8.53277,-1.46722,154.922
1.884,17608.5,17608.7,2200,2200,-2.30461E-15,-2.30461E-15,-10,8.53278,-1.46722,154.922
1.896,17766.9,17767.1,2200,2200,-2.32695E-15,-2.32695E-15,-10,8.53278,-1.46722,154.922
1.908,17925.3,17925.5,2200,2200,1.97215E-30,1.97215E-30,9.99998,-11.4672,-1.46722,154.922
1.92,18083.7,18083.9,2200,2200,0,0,-10,8.53278,-1.46722,154.922
1.932,18242.1,18242.3,2200,2200,2.84217E-09,2.84217E-09,-10,8.53278,-1.46722,154.922
1.944,18400.5,18400.7,2200,2200,2.84217E-09,2.84217E-09,9.99998,-11.4672,-1.46722,154.922
1.956,18558.9,18559.1,2200,2200,2.43872E-15,2.43872E-15,-10,8.53278,-1.46722,154.922
1.968,18717.3,18717.5,2200,2200,-1.97215E-30,-1.97215E-30,-10,8.53278,-1.46722,154.922
1.98,18875.7,18875.9,2200,2200,-2.84217E-09,-2.84217E-09,-10,8.53278,-1.46722,154.922
1.992,19034.1,19034.3,2200,2200,-2.50574E-15,-2.50574E-15,-10,8.53278,-1.46722,154.922
2.004,19192.6,19192.7,2200,2200,-2.84217E-09,-2.84217E-09,-10,10,1.33227E-15,154.961
2.016,19351.3,19351.1,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.028,19510,19509.5,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.04,19668.7,19667.9,2200,2200,3.13088E-22,3.13088E-22,-10,10,0,154.961
2.052,19827.4,19826.3,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.064,19986.1,19984.7,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.076,20144.8,20143.1,2200,2200,6.28657E-22,6.28657E-22,-10,10,0,154.961
2.088,20303.5,20301.5,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.1,20462.2,20459.9,2200,2200,8.39175E-22,8.39175E-22,-10,10,0,154.961
2.112,20620.9,20618.3,2200,2200,-2.84217E-09,-2.84217E-09,-10,10,0,154.961
2.124,20779.6,20776.7,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.136,20938.3,20935.1,2200,2200,1.15474E-21,1.15474E-21,-10,10,0,154.961
2.148,21097,21093.5,2200,2200,9.28079E-16,9.28079E-16,-10,10,0,154.961
2.16,21255.7,21251.9,2200,2200,-2.84217E-09,-2.84217E-09,-10,10,0,154.961
2.172,21414.4,21410.3,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.184,21573.1,21568.7,2200,2200,-5.68434E-09,-5.68434E-09,-10,10,0,154.961
2.196,21731.8,21727.1,2200,2200,2.84217E-09,2.84217E-09,-10,10,0,154.961
2.208,21890.5,21885.5,2200,2200,1.78588E-21,1.78588E-21,-10,13.2317,3.2317,154.875
2.22,22049.2,22043.9,2200,2200,1.53355E-16,1.53355E-16,-10,24.2834,14.2834,154.582
2.232,22207.9,22202.3,2200,2200,1.07704E-28,1.07704E-28,-10,30.9307,20.9611,154.289
2.244,22366.6,22360.7,2200,2200,2.84217E-09,2.84217E-09,-10,36.6425,26.7136,153.998
2.256,22525.3,22519.1,2200,2200,-2.84217E-09,-2.84217E-09,-10,41.5847,31.5951,153.707
2.268,22684,22677.5,2200,2200,2.84217E-09,2.84217E-09,-10,45.5803,35.3976,153.417
2.28,22842.6,22835.9,2200,2200,2.84217E-09,2.84217E-09,-10,49.5457,39.3782,153.129
2.292,23001.3,22994.3,2200,2200,2.52207E-21,2.52207E-21,-10,53.3882,43.3291,152.841
2.304,23160,23152.7,2200,2200,2.84217E-09,2.84217E-09,-10,56.5074,46.4617,152.554
2.316,23318.7,23311.1,2200,2200,2.84217E-09,2.84217E-09,-10,59.4728,49.4026,152.268
2.328,23477.4,23469.5,2200,2200,2.73218E-21,2.73218E-21,-10,62.347,52.4332,151.984
2.34,23636.1,23627.9,2200,2200,2.84217E-09,2.84217E-09,-10,65.3548,55.3189,151.7
2.352,23794.8,23786.3,2200,2200,2.84217E-09,2.84217E-09,-10,68.2663,58.0633,151.419
2.364,23953.4,23944.7,2200,2200,-2.84217E-09,-2.84217E-09,-10,70.6694,60.6516,151.139
2.376,24112.1,24103.1,2200,2200,2.84217E-09,2.84217E-09,-10,72.9374,63.0322,150.859
2.388,24270.8,24261.5,2200,2200,3.25826E-21,3.25826E-21,-10,75.4314,65.402,150.581
2.4,24429.5,24419.9,2200,2200,1.78333E-15,1.78333E-15,-10,77.7846,67.7368,150.304
2.412,24588.1,24578.3,2200,2200,-2.84217E-09,-2.84217E-09,-10,80.099,70.1623,150.028
2.424,24746.8,24736.7,2200,2200,2.84217E-09,2.84217E-09,-10,82.4734,72.4422,149.754
2.436,24905.5,24895.1,2200,2200,-5.68434E-09,-5.68434E-09,-10,84.7924,74.7948,149.481
2.448,25064.2,25053.5,2200,2200,2.84217E-09,2.84217E-09,-10,87.0966,77.1031,149.21
2.46,25222.8,25211.9,2200,2200,-2.84217E-09,-2.84217E-09,-11.1943,88.0133,77.9277,149.034
2.472,25381.5,25370.3,2200,2200,2.55805E-15,2.55805E-15,-12.2261,90.2754,78.3897,148.766
2.484,25540.2,25528.7,2200,2200,3.6895E-27,3.6895E-27,-13.5483,92.2651,78.9266,148.499
2.496,25698.8,25687.1,2200,2200,2.84217E-09,2.84217E-09,-14.8522,94.2694,79.4631,148.234
2.508,25857.5,25845.5,2200,2200,-2.84217E-09,-2.84217E-09,-16.189,96.2481,80,147.971
2.52,26016.2,26003.9,2200,2200,2.84216E-09,2.84216E-09,-17.584,98.2033,80.5345,147.71
2.532,26174.8,26162.3,2200,2200,2.84216E-09,2.84216E-09,-18.9836,100.11,81.0614,147.451
2.544,26333.5,26320.7,2200,2200,-2.84216E-09,-2.84216E-09,-20.3542,101.967,81.579,147.193
2.556,26492.1,26479.1,2200,2200,2.84216E-09,2.84216E-09,-21.7118,103.808,82.0882,146.937
2.568,26650.8,26637.5,2200,2200,2.84217E-09,2.84217E-09,-23.0691,105.652,82.5906,146.684
2.58,26809.4,26795.9,2200,2200,4.94075E-21,4.94075E-21,-24.4144,107.488,83.0873,146.432
2.592,26968.1,26954.3,2200,2200,2.84217E-09,2.84217E-09,-25.7414,109.308,83.5788,146.182
2.604,27126.7,27112.7,2200,2200,2.84217E-09,2.84217E-09,-27.0569,111.117,84.0652,145.934
2.616,27285.4,27271.1,2200,2200,-2.84216E-09,-2.84216E-09,-28.3643,112.913,84.5463,145.688
2.628,27444,27429.5,2200,2200,2.84217E-09,2.84217E-09,-29.6609,114.688,85.0216,145.444
2.64,27602.7,27587.9,2200,2200,-4.36574E-15,-4.36574E-15,-30.948,116.442,85.4911,145.202
2.652,27761.3,27746.3,2200,2200,4.49487E-15,4.49487E-15,-32.2274,118.18,85.9544,144.963
2.664,27919.9,27904.7,2200,2200,-2.84217E-09,-2.84217E-09,-33.4963,119.903,86.4117,144.725
2.676,28078.6,28063.1,2200,2200,2.84217E-09,2.84217E-09,-34.7511,121.61,86.863,144.49
2.688,28237.2,28221.5,2200,2200,-5.68433E-09,-5.68433E-09,-35.9929,123.3,87.3085,144.257
2.7,28395.8,28379.9,2200,2200,2.84216E-09,2.84216E-09,-37.2242,124.973,87.7482,144.027
2.712,28554.5,28538.3,2200,2200,-2.84217E-09,-2.84217E-09,-38.445,126.627,88.1819,143.798
2.724,28713.1,28696.7,2200,2200,5.26958E-15,5.26958E-15,-39.6542,128.263,88.6097,143.573
2.736,28871.7,28855.1,2200,2200,1.16964E-26,1.16964E-26,-40.8509,129.88,89.0314,143.349
2.748,29030.3,29013.5,2200,2200,2.84217E-09,2.84217E-09,-42.0351,131.48,89.4471,143.128
2.76,29189,29171.9,2200,2200,-2.84217E-09,-2.84217E-09,-43.2063,133.062,89.8568,142.909
2.772,29347.6,29330.3,2200,2200,2.84216E-09,2.84216E-09,-44.3647,134.625,90.2605,142.693
2.784,29506.2,29488.7,2200,2200,2.84215E-09,2.84215E-09,-45.5107,136.168,90.6581,142.479
2.796,29664.8,29647.1,2200,2200,-2.84216E-09,-2.84216E-09,-46.6441,137.693,91.0497,142.268
2.808,29823.4,29805.5,2200,2200,2.84215E-09,2.84215E-09,-47.7641,139.198,91.4352,142.06
2.82,29982,29963.9,2200,2200,2.84216E-09,2.84216E-09,-48.8703,140.683,91.8147,141.854
2.832,30140.6,30122.3,2200,2200,7.04468E-21,7.04468E-21,-49.9627,142.15,92.1881,141.65
2.844,30299.2,30280.7,2200,2200,2.84216E-09,2.84216E-09,-51.0414,143.596,92.5554,141.449
2.856,30457.8,30439.1,2200,2200,2.84216E-09,2.84216E-09,-52.1063,145.022,92.9167,141.251
2.868,30616.4,30597.5,2200,2200,-2.84216E-09,-2.84216E-09,-53.1572,146.428,93.2718,141.056
2.88,30775,30755.9,2200,2200,2.84216E-09,2.84216E-09,-54.1939,147.813,93.6208,140.864
2.892,30933.6,30914.3,2200,2200,-7.07715E-15,-7.07715E-15,-55.2158,149.178,93.9638,140.674
2.904,31092.2,31072.7,2200,2200,7.20628E-15,7.20628E-15,-56.2231,150.522,94.3006,140.487
2.916,31250.8,31231.1,2200,2200,-2.84216E-09,-2.84216E-09,-57.2155,151.846,94.6313,140.303
2.928,31409.3,31389.5,2200,2200,2.84216E-09,2.84216E-09,-58.1931,153.148,94.9559,140.122
2.94,31567.9,31547.9,2200,2200,-5.68432E-09,-5.68432E-09,-59.1556,154.429,95.2744,139.943
2.952,31726.5,31706.3,2200,2200,2.84216E-09,2.84216E-09,-60.1029,155.688,95.5868,139.768
2.964,31885.1,31864.7,2200,2200,-2.84216E-09,-2.84216E-09,-61.0346,156.926,95.8931,139.595
2.976,32043.6,32023.1,2200,2200,7.98099E-15,7.98099E-15,-61.9506,158.142,96.1933,139.426
2.988,32202.2,32181.5,2200,2200,2.84215E-09,2.84215E-09,-62.851,159.337,96.4873,139.259
3,32360.8,32339.9,2200,2200,2.84216E-09,2.84216E-09,-63.7355,160.509,96.7752,139.095
3.012,32519.3,32498.3,2200,2200,-2.84216E-09,-2.84216E-09,-64.6039,161.66,97.0571,138.935
3.024,32677.9,32656.7,2200,2200,-8.72758E-21,-8.72758E-21,-65.4562,162.787,97.3328,138.777
3.036,32836.4,32815.1,2200,2200,-8.6266E-15,-8.6266E-15,-66.2922,163.893,97.6024,138.623
3.048,32995,32973.5,2200,2200,-2.84215E-09,-2.84215E-09,-67.1116,164.976,97.8659,138.471
3.06,33153.5,33131.9,2200,2200,2.84216E-09,2.84216E-09,-67.9144,166.036,98.1233,138.323
3.072,33312.1,33290.3,2200,2200,2.84216E-09,2.84216E-09,-68.7006,167.074,98.3746,138.178
3.084,33470.6,33448.7,2200,2200,9.1431E-15,9.1431E-15,-69.4699,168.088,98.6198,138.036
3.096,33629.2,33607.1,2200,2200,2.84216E-09,2.84216E-09,-70.2222,169.08,98.859,137.897
3.108,33787.7,33765.5,2200,2200,2.84216E-09,2.84216E-09,-70.9574,170.048,99.092,137.762
3.12,33946.2,33923.9,2200,2200,-5.68431E-09,-5.68431E-09,-71.6753,170.993,99.3189,137.63
3.132,34104.8,34082.3,2200,2200,2.84215E-09,2.84215E-09,-72.3759,171.914,99.5398,137.501
3.144,34263.3,34240.7,2200,2200,-9.78868E-15,-9.78868E-15,-73.059,172.812,99.7546,137.375
3.156,34421.8,34399.1,2200,2200,9.91781E-15,9.91781E-15,-73.7245,173.686,99.9634,137.252
3.168,34580.3,34557.5,2200,2200,3.48598E-26,3.48598E-26,-74.3724,174.537,100.166,137.133
3.18,34738.9,34715.9,2200,2200,2.84216E-09,2.84216E-09,-75.0024,175.363,100.363,137.017
