"Time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]"
0.0004602,550.388,0.141107,-9.32034,9.17923,347.756,-554.405,206.649
0.0004702,550.06,0.144152,-9.77295,9.62879,349.115,-554.078,204.963
0.0004802,549.732,0.147196,-10.231,10.0838,350.474,-553.752,203.278
0.0004902,549.405,0.150239,-10.694,10.5438,351.832,-553.425,201.593
0.0005002,549.078,0.15328,-11.1615,11.0082,353.19,-553.099,199.91
0.0005102,548.751,0.156319,-11.6329,11.4766,354.546,-552.773,198.227
0.0005202,548.425,0.159357,-12.1079,11.9485,355.903,-552.448,196.545
0.0005302,548.099,0.162393,-12.5859,12.4235,357.258,-552.123,194.865
0.0005402,547.773,0.165428,-13.0663,12.9009,358.613,-551.798,193.185
0.0005502,547.448,0.168461,-13.5489,13.3804,359.967,-551.473,191.506
0.0005602,547.123,0.171493,-14.0329,13.8615,361.321,-551.149,189.828
0.0005702,546.798,0.174523,-14.5181,14.3436,362.674,-550.826,188.151
0.0005802,546.473,0.177551,-15.0038,14.8263,364.026,-550.502,186.476
0.0005902,546.149,0.180577,-15.4896,15.3091,365.378,-550.179,184.801
0.0006002,545.825,0.183601,-15.9751,15.7915,366.729,-549.856,183.127
0.0006102,545.502,0.186624,-16.4597,16.273,368.079,-549.533,181.455
0.0006202,545.179,0.189645,-16.9429,16.7532,369.428,-549.211,179.783
0.0006302,544.856,0.192664,-17.4243,17.2316,370.777,-548.889,178.113
0.0006402,544.533,0.195681,-17.9033,17.7076,372.124,-548.568,176.443
0.0006502,544.211,0.198696,-18.3796,18.1809,373.471,-548.247,174.775
0.0006602,543.889,0.201709,-18.8525,18.6508,374.817,-547.926,173.108
0.0006702,543.568,0.20472,-19.3218,19.117,376.163,-547.605,171.442
0.0006802,543.246,0.20773,-19.7867,19.579,377.507,-547.285,169.777
0.0006902,542.925,0.210737,-20.2469,20.0362,378.851,-546.965,168.114
0.0007002,542.605,0.213742,-20.702,20.4882,380.193,-546.645,166.451
0.0007102,542.284,0.216745,-21.1513,20.9346,381.535,-546.325,164.79
0.0007202,541.964,0.219745,-21.5945,21.3748,382.876,-546.006,163.13
0.0007302,541.644,0.222744,-22.0311,21.8083,384.216,-545.687,161.472
0.0007402,541.325,0.22574,-22.4605,22.2348,385.555,-545.369,159.814
0.0007502,541.006,0.228735,-22.8823,22.6536,386.893,-545.05,158.158
0.0007602,540.687,0.231726,-23.2961,23.0644,388.229,-544.732,156.503
0.0007702,540.368,0.234716,-23.7014,23.4667,389.565,-544.414,154.849
0.0007802,540.05,0.237703,-24.0976,23.8599,390.9,-544.097,153.197
0.0007902,539.732,0.240688,-24.4843,24.2436,392.234,-543.779,151.545
0.0008002,539.414,0.243671,-24.8611,24.6174,393.567,-543.462,149.895
0.0008102,539.096,0.246651,-25.2274,24.9808,394.898,-543.145,148.247
0.0008202,538.779,0.249629,-25.5829,25.3333,396.229,-542.829,146.6
0.0008302,538.462,0.252604,-25.927,25.6744,397.558,-542.512,144.954
0.0008402,538.145,0.255577,-26.2592,26.0037,398.887,-542.196,143.309
0.0008502,537.828,0.258547,-26.5792,26.3207,400.214,-541.88,141.666
0.0008602,537.512,0.261515,-26.8864,26.6249,401.54,-541.564,140.024
0.0008702,537.195,0.26448,-27.1805,26.916,402.864,-541.248,138.384
0.0008802,536.879,0.267443,-27.4608,27.1934,404.188,-540.933,136.745
0.0008902,536.563,0.270403,-27.727,27.4566,405.51,-540.617,135.107
0.0009002,536.248,0.27336,-27.9785,27.7052,406.831,-540.302,133.471
0.0009102,535.932,0.276315,-28.215,27.9387,408.151,-539.987,131.836
0.0009202,535.617,0.279266,-28.436,28.1567,409.469,-539.672,130.203
0.0009302,535.301,0.282215,-28.641,28.3588,410.786,-539.357,128.571
0.0009402,534.986,0.285162,-28.8296,28.5444,412.102,-539.042,126.94
0.0009502,534.671,0.288105,-29.0012,28.7131,413.417,-538.728,125.311
0.0009602,534.356,0.291046,-29.1556,28.8645,414.73,-538.413,123.684
0.0009702,534.041,0.293983,-29.2921,28.9982,416.041,-538.098,122.057
0.0009802,533.727,0.296918,-29.4105,29.1136,417.351,-537.784,120.433
0.0009902,533.412,0.29985,-29.5101,29.2103,418.66,-537.469,118.809
0.0010002,533.097,0.302779,-29.5907,29.2879,419.967,-537.155,117.188
0.0010102,532.783,0.305705,-29.6517,29.346,421.273,-536.841,115.568
0.0010202,532.468,0.308628,-29.6927,29.384,422.577,-536.526,113.949
0.0010302,532.154,0.311548,-29.7132,29.4016,423.88,-536.212,112.332
0.0010402,531.839,0.314465,-29.7128,29.3983,425.181,-535.897,110.716
0.0010502,531.525,0.317378,-29.6911,29.3737,426.481,-535.583,109.102
0.0010602,531.21,0.320289,-29.6476,29.3273,427.779,-535.268,107.489
0.0010702,530.895,0.323196,-29.5819,29.2587,429.075,-534.953,105.878
0.0010802,530.581,0.326101,-29.4936,29.1675,430.37,-534.638,104.269
0.0010902,530.266,0.329002,-29.3822,29.0532,431.663,-534.323,102.661
0.0011002,529.951,0.331899,-29.2474,28.9155,432.954,-534.008,101.054
0.0011102,529.636,0.334794,-29.0886,28.7538,434.244,-533.693,99.4494
0.0011202,529.321,0.337685,-28.9055,28.5678,435.532,-533.378,97.8462
0.0011302,529.006,0.340573,-28.6977,28.3571,436.818,-533.062,96.2445
0.0011402,528.691,0.343458,-28.4646,28.1212,438.102,-532.747,94.6443
0.0011502,528.376,0.346339,-28.206,27.8596,439.385,-532.431,93.0458
0.0011602,528.06,0.349216,-27.9213,27.5721,440.666,-532.114,91.4489
0.0011702,527.744,0.352091,-27.6102,27.2581,441.944,-531.798,89.8535
0.0011802,527.428,0.354961,-27.2723,26.9173,443.221,-531.481,88.2598
0.0011902,527.112,0.357829,-26.9071,26.5493,444.497,-531.164,86.6676
0.0012002,526.795,0.360692,-26.5142,26.1536,445.77,-530.847,85.0771
0.0012102,526.478,0.363552,-26.0933,25.7298,447.041,-530.529,83.4882
0.0012202,526.161,0.366409,-25.6439,25.2775,448.31,-530.211,81.9009
0.0012302,525.844,0.369262,-25.1656,24.7964,449.578,-529.893,80.3153
0.0012402,525.526,0.372111,-24.6581,24.286,450.843,-529.574,78.7312
0.0012502,525.208,0.374957,-24.1209,23.7459,452.106,-529.255,77.1488
0.0012602,524.89,0.377799,-23.5536,23.1758,453.367,-528.935,75.5681
0.0012702,524.571,0.380637,-22.9558,22.5752,454.626,-528.615,73.989
0.0012802,524.252,0.383472,-22.3272,21.9437,455.883,-528.295,72.4115
0.0012902,523.932,0.386302,-21.6673,21.281,457.138,-527.974,70.8356
0.0013002,523.612,0.389129,-20.9758,20.5867,458.391,-527.652,69.2614
0.0013102,523.291,0.391952,-20.2523,19.8604,459.641,-527.33,67.6889
0.0013202,522.97,0.394771,-19.4964,19.1017,460.89,-527.008,66.118
0.0013302,522.649,0.397587,-18.7078,18.3102,462.136,-526.685,64.5488
0.0013402,522.326,0.400398,-17.8859,17.4856,463.38,-526.361,62.9813
0.0013502,522.004,0.403205,-17.0306,16.6274,464.621,-526.036,61.4154
0.0013602,521.681,0.406009,-16.1414,15.7354,465.86,-525.711,59.8511
0.0013702,521.357,0.408808,-15.2179,14.8091,467.097,-525.386,58.2886
0.0013802,521.032,0.411603,-14.2598,13.8482,468.332,-525.059,56.7277
0.0013902,520.707,0.414395,-13.2667,12.8523,469.564,-524.732,55.1684
0.0014002,520.381,0.417182,-12.2382,11.821,470.793,-524.404,53.6109
0.0014102,520.055,0.419965,-11.174,10.7541,472.02,-524.075,52.055
0.0014202,519.727,0.422744,-10.0738,9.65105,473.245,-523.746,50.5008
0.0014302,519.399,0.425519,-8.93713,8.51161,474.467,-523.416,48.9483
0.0014402,519.071,0.428289,-7.7637,7.33541,475.687,-523.085,47.3974
0.0014502,518.741,0.431056,-6.55314,6.12209,476.904,-522.753,45.8482
0.0014602,518.411,0.433818,-5.30513,4.87131,478.119,-522.42,44.3008
0.0014702,518.079,0.436576,-4.01931,3.58274,479.331,-522.086,42.7549
0.0014802,517.747,0.439329,-2.69535,2.25602,480.54,-521.751,41.2108
0.0014902,517.414,0.442078,-1.33291,0.890833,481.747,-521.415,39.6684
0.0015002,517.081,0.427764,-0.914712,0.486948,474.423,-504.014,29.5915
0.0015102,516.747,0.430031,-0.915695,0.485664,475.389,-503.206,27.8166
0.0015202,516.413,0.432286,-0.916656,0.484369,476.35,-502.392,26.0415
0.0015302,516.079,0.434532,-0.917597,0.483065,477.306,-501.572,24.2661
0.0015402,515.746,0.436769,-0.918519,0.48175,478.258,-500.748,22.4905
0.0015502,515.412,0.438997,-0.919422,0.480426,479.205,-499.919,20.7146
0.0015602,515.078,0.441214,-0.920306,0.479092,480.147,-499.085,18.9387
0.0015702,514.745,0.443423,-0.92117,0.477748,481.084,-498.247,17.1625
0.0015802,514.411,0.445621,-0.922015,0.476394,482.017,-497.403,15.3862
0.0015902,514.077,0.447811,-0.922841,0.47503,482.944,-496.554,13.6096
0.0016002,513.743,0.449991,-0.923647,0.473657,483.867,-495.7,11.8329
0.0016102,513.41,0.452161,-0.924434,0.472273,484.786,-494.842,10.0559
0.0016202,513.076,0.454322,-0.925202,0.47088,485.699,-493.978,8.27909
0.0016302,512.742,0.456473,-0.92595,0.469478,486.608,-493.11,6.50256
0.0016402,512.409,0.458614,-0.926679,0.468066,487.512,-492.237,4.72593
0.0016502,512.075,0.460745,-0.927389,0.466644,488.41,-491.36,2.94922
0.0016602,511.741,0.462867,-0.928079,0.465212,489.305,-490.477,1.17242
0.0016702,511.407,0.464979,-0.92875,0.46377,490.194,-489.589,-0.604478
0.0016802,511.074,0.467082,-0.929402,0.462319,491.078,-488.697,-2.38146
0.0016902,510.74,0.469175,-0.930034,0.460858,491.958,-487.8,-4.15853
0.0017002,510.406,0.471259,-0.930647,0.459388,492.833,-486.897,-5.9357
0.0017102,510.073,0.473333,-0.93124,0.457907,493.703,-485.99,-7.71295
0.0017202,509.739,0.475398,-0.931815,0.456417,494.569,-485.078,-9.49029
0.0017302,509.405,0.477453,-0.93237,0.454917,495.429,-484.162,-11.2677
0.0017402,509.072,0.479498,-0.932905,0.453407,496.285,-483.24,-13.0452
0.0017502,508.738,0.481533,-0.933422,0.451889,497.136,-482.314,-14.8218
0.0017602,508.404,0.483557,-0.933918,0.450361,497.981,-481.383,-16.5978
0.0017702,508.07,0.485572,-0.934396,0.448824,498.821,-480.448,-18.3737
0.0017802,507.737,0.487577,-0.934854,0.447278,499.657,-479.508,-20.1494
0.0017902,507.403,0.489572,-0.935293,0.445722,500.488,-478.563,-21.925
0.0018002,507.069,0.491557,-0.935713,0.444156,501.314,-477.613,-23.7005
0.0018102,506.736,0.493532,-0.936113,0.442581,502.134,-476.659,-25.4758
0.0018202,506.402,0.495498,-0.936494,0.440996,502.95,-475.699,-27.251
0.0018302,506.068,0.497454,-0.936856,0.439402,503.761,-474.735,-29.0261
0.0018402,505.735,0.4994,-0.937198,0.437798,504.568,-473.767,-30.801
0.0018502,505.401,0.501336,-0.937521,0.436185,505.369,-472.793,-32.5758
0.0018602,505.067,0.503263,-0.937824,0.434562,506.165,-471.815,-34.3505
0.0018702,504.733,0.505179,-0.938109,0.432929,506.957,-470.832,-36.125
0.0018802,504.4,0.507085,-0.938374,0.431289,507.743,-469.845,-37.8979
0.0018902,504.066,0.517047,-0.946248,0.429201,508.066,-468.634,-39.4326
0.0019002,503.732,0.603859,-1.03029,0.426432,507.733,-467.083,-40.6505
0.0019102,503.399,0.78289,-1.20655,0.423658,507.4,-465.529,-41.8705
0.0019202,503.065,1.05371,-1.47459,0.420881,507.067,-463.974,-43.0929
0.0019302,502.732,1.41589,-1.83399,0.418099,506.734,-462.417,-44.3175
0.0019402,502.399,1.86895,-2.28426,0.415313,506.402,-460.858,-45.5444
0.0019502,502.067,2.41243,-2.82496,0.412523,506.071,-459.297,-46.7736
0.0019602,501.734,3.04586,-3.45559,0.409729,505.74,-457.735,-48.0052
0.0019702,501.403,3.76875,-4.17568,0.406931,505.41,-456.171,-49.239
0.0019802,501.071,4.58063,-4.98476,0.404129,505.08,-454.605,-50.4753
0.0019902,500.741,5.48104,-5.88237,0.401323,504.751,-453.037,-51.7139
0.0020002,500.411,6.46946,-6.86797,0.398513,504.423,-451.468,-52.9548
0.0020102,500.081,7.54537,-7.94107,0.395699,504.096,-449.897,-54.1982
0.0020202,499.753,8.70832,-9.1012,0.392881,503.769,-448.325,-55.444
0.0020302,499.425,9.95782,-10.3479,0.390059,503.444,-446.752,-56.6922
0.0020402,499.098,11.2933,-11.6806,0.387234,503.12,-445.177,-57.9428
0.0020502,498.772,12.7143,-13.0987,0.384404,502.797,-443.601,-59.196
0.0020602,498.447,14.2203,-14.6018,0.381571,502.474,-442.023,-60.4515
0.0020702,498.123,15.8107,-16.1895,0.378734,502.154,-440.444,-61.7096
0.0020802,497.8,17.4851,-17.861,0.375893,501.834,-438.864,-62.9702
0.0020902,497.478,19.2428,-19.6159,0.373049,501.516,-437.282,-64.2332
0.0021002,497.157,21.0834,-21.4536,0.370201,501.199,-435.7,-65.4988
0.0021102,496.838,23.0063,-23.3737,0.367349,500.883,-434.116,-66.7669
0.0021202,496.52,25.011,-25.3755,0.364494,500.569,-432.532,-68.0376
0.0021302,496.203,27.0968,-27.4585,0.361635,500.257,-430.946,-69.3109
0.0021402,495.888,29.2633,-29.6221,0.358772,499.946,-429.359,-70.5867
0.0021502,495.574,31.5099,-31.8658,0.355906,499.636,-427.771,-71.8651
0.0021602,495.262,33.836,-34.189,0.353036,499.329,-426.183,-73.1461
0.0021702,494.951,36.2409,-36.5911,0.350163,499.023,-424.593,-74.4297
0.0021802,494.642,38.7242,-39.0715,0.347287,498.719,-423.003,-75.7159
0.0021902,494.335,41.2852,-41.6296,0.344407,498.417,-421.412,-77.0048
0.0022002,494.029,43.9234,-44.265,0.341523,498.116,-419.82,-78.2963
0.0022102,493.725,46.6383,-46.9769,0.338637,497.818,-418.227,-79.5904
0.0022202,493.423,49.429,-49.7648,0.335747,497.521,-416.634,-80.8872
0.0022302,493.123,52.2952,-52.628,0.332853,497.227,-415.04,-82.1867
0.0022402,492.825,55.2361,-55.566,0.329956,496.935,-413.446,-83.4889
0.0022502,492.529,58.2511,-58.5782,0.327056,496.644,-411.851,-84.7938
0.0022602,492.234,61.3397,-61.6638,0.324153,496.356,-410.255,-86.1014
0.0022702,491.942,64.5012,-64.8224,0.321247,496.071,-408.659,-87.4117
0.0022802,491.652,67.7349,-68.0533,0.318337,495.787,-407.062,-88.7247
0.0022902,491.364,71.0403,-71.3558,0.315425,495.506,-405.465,-90.0404
0.0023002,491.079,74.4168,-74.7293,0.312509,495.227,-403.868,-91.3589
0.0023102,490.796,77.8635,-78.1731,0.30959,494.951,-402.27,-92.6802
0.0023202,490.515,81.3801,-81.6867,0.306668,494.677,-400.673,-94.0042
0.0023302,490.236,84.9656,-85.2694,0.303743,494.405,-399.074,-95.3309
0.0023402,489.96,88.6197,-88.9205,0.300815,494.136,-397.476,-96.6605
0.0023502,489.686,92.3414,-92.6393,0.297884,493.87,-395.877,-97.9928
0.0023602,489.415,96.1303,-96.4252,0.29495,493.606,-394.279,-99.3279
0.0023702,489.146,99.9856,-100.278,0.292014,493.345,-392.68,-100.666
0.0023802,488.88,103.907,-104.196,0.289074,493.087,-391.081,-102.007
0.0023902,488.617,107.893,-108.179,0.286131,492.832,-389.482,-103.35
0.0024002,488.356,111.944,-112.227,0.283186,492.579,-387.883,-104.696
0.0024102,488.098,116.058,-116.338,0.280238,492.329,-386.284,-106.046
0.0024202,487.842,120.235,-120.513,0.277287,492.082,-384.685,-107.398
0.0024302,487.59,124.475,-124.749,0.274333,491.838,-383.086,-108.752
0.0024402,487.34,128.777,-129.048,0.271377,491.597,-381.487,-110.11
0.0024502,487.094,133.139,-133.407,0.268418,491.359,-379.889,-111.47
0.0024602,486.85,137.562,-137.827,0.265456,491.124,-378.29,-112.834
0.0024702,486.609,142.044,-142.306,0.262492,490.892,-376.692,-114.2
0.0024802,486.371,146.585,-146.845,0.259525,490.663,-375.094,-115.569
0.0024902,486.136,151.184,-151.441,0.256556,490.438,-373.497,-116.941
0.0025002,485.904,155.841,-156.095,0.253584,490.215,-371.9,-118.316
0.0025102,485.676,160.555,-160.805,0.250609,489.996,-370.303,-119.693
0.0025202,485.45,165.324,-165.572,0.247632,489.78,-368.706,-121.074
0.0025302,485.228,170.149,-170.394,0.244653,489.568,-367.11,-122.457
0.0025402,485.009,175.028,-175.27,0.241671,489.359,-365.515,-123.844
0.0025502,484.793,179.961,-180.2,0.238687,489.153,-363.92,-125.233
0.0025602,484.581,184.948,-185.183,0.2357,488.95,-362.325,-126.625
0.0025702,484.372,189.986,-190.219,0.232711,488.751,-360.731,-128.02
0.0025802,484.166,195.076,-195.306,0.22972,488.556,-359.138,-129.418
0.0025902,483.964,200.217,-200.444,0.226727,488.364,-357.545,-130.818
0.0026002,483.765,205.408,-205.632,0.223731,488.175,-355.953,-132.222
0.0026102,483.57,210.649,-210.87,0.220733,487.99,-354.362,-133.628
0.0026202,483.378,215.938,-216.156,0.217733,487.809,-352.771,-135.038
0.0026302,483.189,221.275,-221.49,0.214731,487.631,-351.181,-136.45
0.0026402,483.005,226.659,-226.871,0.211727,487.457,-349.592,-137.865
0.0026502,482.823,232.09,-232.298,0.20872,487.287,-348.004,-139.283
0.0026602,482.646,237.566,-237.771,0.205712,487.12,-346.416,-140.704
0.0026702,482.472,243.087,-243.289,0.202701,486.957,-344.829,-142.128
0.0026802,482.302,248.652,-248.851,0.199689,486.798,-343.244,-143.555
0.0026902,482.135,254.26,-254.457,0.196674,486.643,-341.659,-144.984
0.0027002,481.973,259.911,-260.104,0.193658,486.492,-340.075,-146.417
0.0027102,481.814,265.603,-265.794,0.190639,486.344,-338.492,-147.852
0.0027202,481.659,271.337,-271.525,0.187619,486.201,-336.91,-149.291
0.0027302,481.507,277.111,-277.295,0.184597,486.061,-335.329,-150.732
0.0027402,481.36,282.924,-283.106,0.181573,485.925,-333.749,-152.176
0.0027502,481.216,288.776,-288.954,0.178547,485.793,-332.17,-153.623
0.0027602,481.077,294.666,-294.841,0.17552,485.665,-330.593,-155.073
0.0027702,480.941,300.592,-300.765,0.172491,485.542,-329.016,-156.525
0.0027802,480.809,306.555,-306.725,0.16946,485.422,-327.441,-157.981
0.0027902,480.682,312.553,-312.72,0.166427,485.306,-325.867,-159.439
0.0028002,480.558,318.586,-318.75,0.163393,485.194,-324.294,-160.901
0.0028102,480.438,324.653,-324.813,0.160357,485.087,-322.722,-162.365
0.0028202,480.323,330.752,-330.91,0.15732,484.983,-321.152,-163.832
0.0028302,480.211,336.884,-337.038,0.154281,484.884,-319.583,-165.301
0.0028402,480.104,343.047,-343.198,0.15124,484.789,-318.015,-166.774
0.0028502,480,349.241,-349.389,0.148198,484.698,-316.448,-168.25
0.0028602,479.901,355.465,-355.61,0.145155,484.611,-314.883,-169.728
0.0028702,479.806,361.719,-361.861,0.14211,484.529,-313.319,-171.209
0.0028802,479.715,368,-368.139,0.139064,484.45,-311.757,-172.693
0.0028902,479.628,374.309,-374.445,0.136016,484.376,-310.196,-174.18
0.0029002,479.546,380.645,-380.778,0.132967,484.306,-308.637,-175.669
0.0029102,479.468,387.006,-387.136,0.129917,484.241,-307.079,-177.162
0.0029202,479.394,393.392,-393.519,0.126865,484.18,-305.523,-178.657
0.0029302,479.324,399.803,-399.926,0.123813,484.123,-303.968,-180.155
0.0029402,479.258,406.236,-406.357,0.120759,484.07,-302.414,-181.656
0.0029502,479.197,412.692,-412.81,0.117703,484.022,-300.863,-183.159
0.0029602,479.14,419.17,-419.284,0.114647,483.978,-299.312,-184.665
0.0029702,479.088,425.668,-425.78,0.111589,483.938,-297.764,-186.174
0.0029802,479.04,432.186,-432.295,0.108531,483.903,-296.217,-187.686
0.0029902,478.996,438.723,-438.829,0.105471,483.872,-294.672,-189.201
0.0030002,478.956,445.279,-445.381,0.10241,483.846,-293.128,-190.718
0.0030102,478.921,451.852,-451.951,0.0993486,483.824,-291.586,-192.238
0.0030202,478.891,458.441,-458.537,0.0962858,483.807,-290.046,-193.76
0.0030302,478.864,465.046,-465.139,0.0932222,483.794,-288.508,-195.286
0.0030402,478.842,471.667,-471.757,0.0901575,483.785,-286.971,-196.814
0.0030502,478.825,478.302,-478.389,0.087092,483.781,-285.436,-198.344
0.0030602,478.812,484.95,-485.034,0.0840257,483.781,-283.903,-199.878
0.0030702,478.803,491.611,-491.692,0.0809585,483.786,-282.372,-201.413
0.0030802,478.799,498.284,-498.362,0.0778905,483.795,-280.843,-202.952
0.0030902,478.799,504.967,-505.042,0.0748218,483.808,-279.315,-204.493
0.0031002,478.804,511.661,-511.732,0.0717523,483.826,-277.789,-206.037
0.0031102,478.813,518.363,-518.432,0.0686821,483.849,-276.266,-207.583
0.0031202,478.827,525.074,-525.139,0.0656112,483.876,-274.744,-209.132
0.0031302,478.845,531.792,-531.855,0.0625397,483.908,-273.224,-210.684
0.0031402,478.868,538.517,-538.576,0.0594675,483.944,-271.706,-212.238
0.0031502,478.895,545.247,-545.303,0.0563948,483.984,-270.19,-213.795
0.0031602,478.926,551.982,-552.036,0.0533215,484.029,-268.675,-215.354
0.0031702,478.962,558.722,-558.772,0.0502477,484.079,-267.163,-216.916
0.0031802,479.003,565.464,-565.511,0.0471734,484.133,-265.653,-218.48
0.0031902,479.048,572.209,-572.253,0.0440986,484.192,-264.145,-220.046
0.0032002,479.098,578.955,-578.996,0.0410234,484.255,-262.639,-221.616
0.0032102,479.152,585.701,-585.739,0.0379478,484.322,-261.135,-223.187
0.0032202,479.21,592.448,-592.483,0.0348718,484.394,-259.633,-224.761
0.0032302,479.273,599.195,-599.226,0.0317955,484.471,-258.133,-226.338
0.0032402,479.341,605.939,-605.968,0.0287188,484.552,-256.635,-227.916
0.0032502,479.413,612.681,-612.706,0.0256419,484.637,-255.14,-229.498
0.0032602,479.49,619.419,-619.442,0.0225647,484.727,-253.646,-231.081
0.0032702,479.571,626.153,-626.173,0.0194873,484.822,-252.155,-232.667
0.0032802,479.656,632.882,-632.898,0.0164097,484.921,-250.665,-234.256
0.0032902,479.746,639.605,-639.618,0.0133319,485.024,-249.178,-235.846
0.0033002,479.841,646.321,-646.331,0.010254,485.132,-247.693,-237.439
0.0033102,479.94,653.029,-653.036,0.00717605,485.245,-246.21,-239.034
0.0033202,480.043,659.729,-659.733,0.00409799,485.362,-244.73,-240.632
0.0033302,480.151,666.419,-666.42,0.00101988,485.483,-243.251,-242.231
0.0033402,480.263,673.099,-673.097,-0.00205823,485.609,-241.775,-243.833
0.0033502,480.38,679.768,-679.763,-0.00513633,485.739,-240.301,-245.438
0.0033602,480.501,686.426,-686.417,-0.00821437,485.873,-238.829,-247.044
0.0033702,480.627,693.07,-693.059,-0.0112923,486.012,-237.36,-248.652
0.0033802,480.757,699.701,-699.687,-0.0143702,486.156,-235.893,-250.263
0.0033902,480.892,706.318,-706.301,-0.0174479,486.303,-234.428,-251.876
0.0034002,481.031,712.92,-712.899,-0.0205254,486.456,-232.965,-253.491
0.0034102,481.174,719.505,-719.481,-0.0236028,486.612,-231.505,-255.107
0.0034202,481.322,726.074,-726.047,-0.0266799,486.773,-230.047,-256.726
0.0034302,481.474,732.625,-732.595,-0.0297567,486.938,-228.591,-258.347
0.0034402,481.63,739.157,-739.125,-0.0328333,487.108,-227.137,-259.97
0.0034502,481.791,745.671,-745.635,-0.0359095,487.282,-225.686,-261.596
0.0034602,481.956,752.164,-752.125,-0.0389853,487.46,-224.237,-263.223
0.0034702,482.126,758.636,-758.594,-0.0420608,487.642,-222.791,-264.851
0.0034802,482.3,765.087,-765.041,-0.0451359,487.829,-221.346,-266.482
0.0034902,482.478,771.515,-771.466,-0.0482105,488.02,-219.905,-268.115
0.0035002,482.66,777.919,-777.868,-0.0512847,488.215,-218.465,-269.75
0.0035102,482.847,784.299,-784.245,-0.0543583,488.414,-217.028,-271.386
