"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
2.1,1,8,1,0,1,0,0,1,0
2.1,1,8,1,0,1,0,0,1,0
2.1,1,8,1,0,1,0,0,1,0
2.10019531,1,8,1,0,1,0,0,1,0
2.10097656,1,8,1,0,1,0,0,1,0
2.10488281,1,8,1,0,1,0,0,1,0
2.11,1,8,1,0,1,0,0,1,0
2.11,1,8,1,0,1,0,0,1,0
2.11,1,8,1,0,1,0,0,1,0
2.11019531,1,8,1,0,1,0,0,1,0
2.11097656,1,8,1,0,1,0,0,1,0
2.11488281,1,8,1,0,1,0,0,1,0
2.12,1,8,1,0,1,0,0,1,0
2.12,1,8,1,0,1,0,0,1,0
2.12,1,8,1,0,1,0,0,1,0
2.12019531,1,8,1,0,1,0,0,1,0
2.12097656,1,8,1,0,1,0,0,1,0
2.12488281,1,8,1,0,1,0,0,1,0
2.13,1,8,1,0,1,0,0,1,0
2.13,1,8,1,0,1,0,0,1,0
2.13,1,8,1,0,1,0,0,1,0
2.13019531,1,8,1,0,1,0,0,1,0
2.13097656,1,8,1,0,1,0,0,1,0
2.13488281,1,8,1,0,1,0,0,1,0
2.14,1,8,1,0,1,0,0,1,0
2.14,1,8,1,0,1,0,0,1,0
2.14,1,8,1,0,1,0,0,1,0
2.14019531,1,8,1,0,1,0,0,1,0
2.14097656,1,8,1,0,1,0,0,1,0
2.14488281,1,8,1,0,1,0,0,1,0
2.15,1,8,1,0,1,0,0,1,0
2.15,1,8,1,0,1,0,0,1,0
2.15,1,8,1,0,1,0,0,1,0
2.15019531,1,8,1,0,1,0,0,1,0
2.15097656,1,8,1,0,1,0,0,1,0
2.15488281,1,8,1,0,1,0,0,1,0
2.16,1,8,1,0,1,0,0,1,0
2.16,1,8,1,0,1,0,0,1,0
2.16,1,8,1,0,1,0,0,1,0
2.16019531,1,8,1,0,1,0,0,1,0
2.16097656,1,8,1,0,1,0,0,1,0
2.16488281,1,8,1,0,1,0,0,1,0
2.17,1,8,1,0,1,0,0,1,0
2.17,1,8,1,0,1,0,0,1,0
2.17,1,8,1,0,1,0,0,1,0
2.17019531,1,8,1,0,1,0,0,1,0
2.17097656,1,8,1,0,1,0,0,1,0
2.17488281,1,8,1,0,1,0,0,1,0
2.18,1,8,1,0,1,0,0,1,0
2.18,1,8,1,0,1,0,0,1,0
2.18,1,8,1,0,1,0,0,1,0
2.18019531,1,8,1,0,1,0,0,1,0
2.18097656,1,8,1,0,1,0,0,1,0
2.18488281,1,8,1,0,1,0,0,1,0
2.19,1,8,1,0,1,0,0,1,0
2.19,1,8,1,0,1,0,0,1,0
2.19,1,8,1,0,1,0,0,1,0
2.19019531,1,8,1,0,1,0,0,1,0
2.19097656,1,8,1,0,1,0,0,1,0
2.19488281,1,8,1,0,1,0,0,1,0
2.2,1,8,1,0,1,0,0,1,0
2.2,1,8,1,0,1,0,0,1,0
2.2,1,8,1,0,1,0,0,1,0
2.20019531,1,8,1,0,1,0,0,1,0
2.20097656,1,8,1,0,1,0,0,1,0
2.20488281,1,8,1,0,1,0,0,1,0
2.21,1,8,1,0,1,0,0,1,0
2.21,1,8,1,0,1,0,0,1,0
2.21,0,8,1,0,1,0,0,1,0
2.21019531,0,8,1,0,1,0,0,1,0
2.21097656,0,8,1,0,1,0,0,1,0
2.21488281,0,8,1,0,1,0,0,1,0
2.22,0,8,1,0,1,0,0,1,0
2.22,0,8,1,0,1,0,0,1,0
2.22,0,8,1,0,1,0,0,1,0
2.22019531,0,8,1,0,1,0,0,1,0
