time,volume@INJ01,q@INJ01
0.01258,0.000156983518633,-1.04937591899e-08
0.01258,0.000156983518633,-1.04937591899e-08
0.01259,0.00015698351863100001,-1.01988860037e-08
0.01259,0.00015698351863100001,-1.01988860037e-08
0.0126,0.00015698351862900001,-9.92421764694e-09
0.0126,0.00015698351862900001,-9.92421764694e-09
0.01261,0.00015698351862799997,-9.70603621172e-09
0.01261,0.00015698351862799997,-9.70603621172e-09
0.012620000000000001,0.00015698351862600003,-9.56715157577e-09
0.012620000000000001,0.00015698351862600003,-9.56715157577e-09
0.012629999999999999,0.000156983518624,-9.51936676837e-09
0.012629999999999999,0.000156983518624,-9.51936676837e-09
0.01264,0.000156983518623,-9.56951218157e-09
0.01264,0.000156983518623,-9.56951218157e-09
0.01265,0.00015698351862099998,-9.71364183218e-09
0.01265,0.00015698351862099998,-9.71364183218e-09
0.01266,0.00015698351862000002,-9.94428978023e-09
0.01266,0.00015698351862000002,-9.94428978023e-09
0.01267,0.000156983518618,-1.02475158798e-08
0.01267,0.000156983518618,-1.02475158798e-08
0.01268,0.000156983518616,-1.06030664121e-08
0.01268,0.000156983518616,-1.06030664121e-08
0.01269,0.000156983518614,-1.0983452192200001e-08
0.01269,0.000156983518614,-1.0983452192200001e-08
0.0127,0.000156983518613,-1.13542349152e-08
0.0127,0.000156983518613,-1.13542349152e-08
0.012709999999999999,0.000156983518611,-1.16788251917e-08
0.012709999999999999,0.000156983518611,-1.16788251917e-08
0.01272,0.000156983518609,-1.19317801619e-08
0.01272,0.000156983518609,-1.19317801619e-08
0.01273,0.00015698351860699998,-1.2110760172700002e-08
0.01273,0.00015698351860699998,-1.2110760172700002e-08
0.012740000000000001,0.00015698351860499998,-1.22312977309e-08
0.012740000000000001,0.00015698351860499998,-1.22312977309e-08
0.01275,0.000156983518603,-1.2312193874e-08
0.01275,0.000156983518603,-1.2312193874e-08
0.012759999999999999,0.000156983518601,-1.23677030293e-08
0.012759999999999999,0.000156983518601,-1.23677030293e-08
0.01277,0.000156983518598,-1.24070231783e-08
0.01277,0.000156983518598,-1.24070231783e-08
0.01278,0.00015698351859600002,-1.24357485375e-08
0.01278,0.00015698351859600002,-1.24357485375e-08
0.012790000000000001,0.000156983518594,-1.24525870596e-08
0.012790000000000001,0.000156983518594,-1.24525870596e-08
0.0128,0.000156983518592,-1.24531387988e-08
0.0128,0.000156983518592,-1.24531387988e-08
0.01281,0.00015698351859000001,-1.2453390224299998e-08
0.01281,0.00015698351859000001,-1.2453390224299998e-08
0.012819999999999998,0.00015698351858800001,-1.24535718093e-08
0.012819999999999998,0.00015698351858800001,-1.24535718093e-08
0.012830000000000001,0.00015698351858599999,-1.24537254582e-08
0.012830000000000001,0.00015698351858599999,-1.24537254582e-08
0.01284,0.00015698351858399999,-1.24538372029e-08
0.01284,0.00015698351858399999,-1.24538372029e-08
0.01285,0.000156983518582,-1.24539349794e-08
0.01285,0.000156983518582,-1.24539349794e-08
0.01286,0.00015698351858,-1.24513508844e-08
0.01286,0.00015698351858,-1.24513508844e-08
0.01287,0.00015698351857799998,-1.2454109580399999e-08
0.01287,0.00015698351857799998,-1.2454109580399999e-08
0.01288,0.000156983518576,-1.24541794209e-08
0.01288,0.000156983518576,-1.24541794209e-08
0.01289,0.000156983518574,-1.24542492613e-08
0.01289,0.000156983518574,-1.24542492613e-08
0.0129,0.000156983518571,-1.24543051336e-08
0.0129,0.000156983518571,-1.24543051336e-08
0.01291,0.000156983518569,-1.2454361005900001e-08
0.01291,0.000156983518569,-1.2454361005900001e-08
0.01292,0.00015698351856700002,-1.24544168782e-08
0.01292,0.00015698351856700002,-1.24544168782e-08
0.01293,0.000156983518565,-1.24544727506e-08
0.01293,0.000156983518565,-1.24544727506e-08
0.01294,0.000156983518563,-1.2454598463299999e-08
0.01294,0.000156983518563,-1.2454598463299999e-08
0.01295,0.000156983518561,-1.24545635431e-08
0.01295,0.000156983518561,-1.24545635431e-08
0.01296,0.000156983518559,-1.2454605447299999e-08
0.01296,0.000156983518559,-1.2454605447299999e-08
0.012969999999999999,0.00015698351855700002,-1.2454633383499999e-08
0.012969999999999999,0.00015698351855700002,-1.2454633383499999e-08
0.012980000000000002,0.00015698351855500002,-1.24546683037e-08
