"time","der_p","der_T"
0.714,1252.318046031755,1.5538577265295417
0.716,1252.3147682882275,1.5538028731435944
0.718,1252.311490734878,1.5537480227117986
0.72,1252.3082133716935,1.5536931752339467
0.722,1252.3049361986587,1.5536383307098174
0.724,1252.301659215766,1.5535834891392202
0.726,1252.2983824229927,1.5535286505219141
0.728,1252.2951058203275,1.5534738148576948
0.73,1252.2918294077583,1.5534189821463553
0.732,1252.2885531852712,1.5533641523876827
0.734,1252.2852771528494,1.5533093255814554
0.736,1252.2820013104838,1.5532545017274724
0.738,1252.2787256581555,1.5531996808255117
0.74,1252.275450195855,1.553144862875368
0.742,1252.2721749235643,1.5530900478768193
0.744,1252.2688998412739,1.5530352358296666
0.746,1252.2656249489646,1.5529804267336798
0.748,1252.2623502466254,1.5529256205886568
0.75,1252.2590757342443,1.552870817394388
0.752,1252.2558014118,1.5528160171506404
0.754,1252.2525272792905,1.552761219857237
0.756,1252.2492533366915,1.5527064255139336
0.758,1252.2459795839923,1.5526516341205283
0.76,1252.2427060211792,1.5525968456768071
0.762,1252.2394326482436,1.5525420601825755
0.764,1252.2361594651593,1.552487277637583
0.766,1252.2328864719223,1.5524324980416462
0.768,1252.2296136685186,1.5523777213945535
0.77,1252.226341054929,1.5523229476960756
0.772,1252.223068631143,1.5522681769460118
0.774,1252.2197963971462,1.5522134091441468
0.776,1252.2165243529248,1.5521586442902682
0.778,1252.2132524984627,1.5521038823841575
0.78,1252.20998083375,1.5520491234256155
0.782,1252.2067093587698,1.5519943674144194
0.784,1252.2034380735108,1.5519396143503643
0.786,1252.2001669779554,1.5518848642332284
0.788,1252.1968960720915,1.5518301170628022
0.79,1252.1936253559052,1.5517753728388766
0.792,1252.1903548293853,1.551720631561244
0.794,1252.1870844925124,1.5516658932296785
0.796,1252.1838143452771,1.5516111578439806
0.798,1252.180544387662,1.551556425403926
0.8,1252.1772746196561,1.5515016959093135
0.802,1252.1740050412448,1.551446969359926
0.804,1252.1707356524144,1.5513922457555551
0.806,1252.1674664531502,1.5513375250959833
0.808,1252.1641974434378,1.5512828073809988
0.81,1252.1609286232658,1.5512280926103965
0.812,1252.157659992619,1.5511733807839607
0.814,1252.1543915514794,1.5511186719014656
0.816,1252.151123299842,1.551063965962727
0.818,1252.1478552376868,1.5510092629675136
0.82,1252.144587364999,1.5509545629156118
0.822,1252.1413196817666,1.5508998658068136
0.824,1252.1380521879778,1.5508451716409153
0.826,1252.134784883615,1.5507904804176933
0.828,1252.1315177686677,1.5507357921369436
0.83,1252.128250843121,1.5506811067984532
0.832,1252.1249841069587,1.5506264244020034
0.834,1252.1217175601678,1.5505717449473841
