"Time","SignalOutput1"
1.31,0.0193175
1.32,0.0191414
1.33,0.018488
1.34,0.018299
1.35,0.0174648
1.36,0.017047
1.37,0.016286
1.38,0.015555
1.39,0.0148298
1.4,0.0139205
1.41,0.0131021
1.42,0.0121189
1.43,0.0111691
1.44,0.0101271
1.45,0.00906396
1.46,0.00795576
1.47,0.00680948
1.48,0.00563924
1.49,0.00443744
1.5,0.00322137
1.51,0.00198731
1.52,0.000746535
1.53,-0.00049905
1.54,-0.00174283
1.55,-0.00298004
1.56,-0.00420596
1.57,-0.00541517
1.58,-0.00660335
1.59,-0.00776538
1.6,-0.0088969
1.61,-0.00999327
1.62,-0.0110502
1.63,-0.0120635
1.64,-0.0130292
1.65,-0.0139434
1.66,-0.0148025
1.67,-0.0156029
1.68,-0.0163416
1.69,-0.0170153
1.7,-0.0176212
1.71,-0.0181569
1.72,-0.0186198
1.73,-0.0190078
1.74,-0.0193192
1.75,-0.0195524
1.76,-0.019706
1.77,-0.0197793
1.78,-0.0198164
1.79,-0.0198217
1.8,-0.0196055
1.81,-0.0191149
1.82,-0.0190281
1.83,-0.0182417
1.84,-0.0180369
1.85,-0.0172163
1.86,-0.0166198
1.87,-0.0160105
1.88,-0.0150159
1.89,-0.0144178
1.9,-0.0133335
1.91,-0.0124968
1.92,-0.0114777
1.93,-0.0104083
1.94,-0.00939036
1.95,-0.00821565
1.96,-0.007113
1.97,-0.00591743
1.98,-0.00471881
1.99,-0.0035145
2,-0.00226364
2.01,-0.00103752
2.02,0.000219597
2.03,0.00146396
2.04,0.0027035
2.05,0.0039414
2.06,0.00515305
2.07,0.00635497
2.08,0.00752627
2.09,0.00866989
2.1,0.00978159
2.11,0.0108513
2.12,0.0118822
2.13,0.0128637
2.14,0.0137957
2.15,0.0146737
2.16,0.0154925
2.17,0.0162515
2.18,0.0169449
2.19,0.0175717
2.2,0.0181285
2.21,0.0186126
2.22,0.0190229
2.23,0.0193558
2.24,0.0196123
2.25,0.0197877
2.26,0.0198849
2.27,0.0199274
2.28,0.019946
2.29,0.0199331
2.3,0.0196355
2.31,0.0193267
2.32,0.019133
2.33,0.0184953
2.34,0.0182867
2.35,0.0174735
2.36,0.0170429
2.37,0.0162866
2.38,0.0155599
2.39,0.0148249
2.4,0.0139258
2.41,0.0130986
2.42,0.0121213
2.43,0.0111679
2.44,0.0101275
2.45,0.00906399
2.46,0.00795556
2.47,0.00680975
2.48,0.00563901
2.49,0.00443762
2.5,0.00322126
2.51,0.00198737
2.52,0.000746512
2.53,-0.000499046
2.54,-0.00174282
2.55,-0.00298005
2.56,-0.00420595
2.57,-0.00541518
2.58,-0.00660335
2.59,-0.00776538
2.6,-0.0088969
2.61,-0.00999327
2.62,-0.0110502
2.63,-0.0120635
2.64,-0.0130292
2.65,-0.0139434
2.66,-0.0148025
2.67,-0.0156029
2.68,-0.0163416
2.69,-0.0170153
2.7,-0.0176212
2.71,-0.0181569
2.72,-0.0186198
2.73,-0.0190078
2.74,-0.0193192
2.75,-0.0195524
2.76,-0.019706
2.77,-0.0197793
2.78,-0.0198164
2.79,-0.0198217
2.8,-0.0196055
2.81,-0.0191149
2.82,-0.0190281
2.83,-0.0182416
2.84,-0.018037
2.85,-0.0172163
2.86,-0.0166198
2.87,-0.0160105
2.88,-0.0150158
2.89,-0.014418
2.9,-0.0133334
2.91,-0.0124968
2.92,-0.0114777
2.93,-0.0104082
2.94,-0.00939039
2.95,-0.00821562
2.96,-0.00711302
2.97,-0.00591742
2.98,-0.00471881
2.99,-0.00351451
3,-0.00226363
3.01,-0.00103753
3.02,0.000219602
3.03,0.00146396
3.04,0.0027035
3.05,0.0039414
3.06,0.00515304
3.07,0.00635497
3.08,0.00752627
3.09,0.00866989
3.1,0.0097816
3.11,0.0108513
3.12,0.0118822
3.13,0.0128637
3.14,0.0137957
3.15,0.0146737
3.16,0.0154925
3.17,0.0162515
3.18,0.0169449
3.19,0.0175717
3.2,0.0181285
3.21,0.0186126
3.22,0.0190229
3.23,0.0193558
3.24,0.0196123
3.25,0.0197877
3.26,0.0198849
3.27,0.0199274
3.28,0.019946
3.29,0.0199333
3.3,0.0196353
3.31,0.0193271
3.32,0.0191327
3.33,0.0184951
3.34,0.0182874
3.35,0.0174725
3.36,0.0170439
3.37,0.0162858
3.38,0.0155602
3.39,0.0148247
3.4,0.0139257
3.41,0.0130987
3.42,0.0121212
3.43,0.011168
3.44,0.0101275
3.45,0.00906403
3.46,0.00795554
3.47,0.00680976
3.48,0.00563901
3.49,0.00443761
3.5,0.00322127
3.51,0.00198737
3.52,0.000746515
3.53,-0.000499048
3.54,-0.00174282
3.55,-0.00298005
3.56,-0.00420595
3.57,-0.00541518
3.58,-0.00660335
3.59,-0.00776538
3.6,-0.0088969
3.61,-0.00999327
3.62,-0.0110502
3.63,-0.0120635
3.64,-0.0130292
3.65,-0.0139434
3.66,-0.0148025
3.67,-0.0156029
3.68,-0.0163416
3.69,-0.0170153
3.7,-0.0176212
3.71,-0.0181569
3.72,-0.0186198
3.73,-0.0190078
3.74,-0.0193192
3.75,-0.0195524
3.76,-0.019706
3.77,-0.0197793
3.78,-0.0198164
3.79,-0.0198217
3.8,-0.0196055
3.81,-0.0191149
3.82,-0.0190281
3.83,-0.0182416
3.84,-0.018037
3.85,-0.0172163
3.86,-0.0166198
3.87,-0.0160105
3.88,-0.0150158
3.89,-0.014418
3.9,-0.0133334
3.91,-0.0124968
3.92,-0.0114777
3.93,-0.0104082
3.94,-0.00939039
3.95,-0.00821562
3.96,-0.00711302
3.97,-0.00591742
3.98,-0.00471881
3.99,-0.00351451
4,-0.00226363
4.01,-0.00103753
4.02,0.000219602
4.03,0.00146396
4.04,0.0027035
4.05,0.0039414
4.06,0.00515304
4.07,0.00635497
4.08,0.00752627
4.09,0.00866989
4.1,0.0097816
4.11,0.0108513
4.12,0.0118822
4.13,0.0128637
4.14,0.0137957
4.15,0.0146737
4.16,0.0154925
4.17,0.0162515
4.18,0.0169449
4.19,0.0175717
4.2,0.0181285
4.21,0.0186126
4.22,0.0190229
4.23,0.0193558
4.24,0.0196123
4.25,0.0197877
4.26,0.0198849
4.27,0.0199274
4.28,0.019946
4.29,0.0199333
4.3,0.0196353
4.31,0.0193271
4.32,0.0191328
4.33,0.0184951
4.34,0.0182875
4.35,0.0174725
4.36,0.0170439
4.37,0.0162857
4.38,0.0155602
4.39,0.0148248
4.4,0.0139257
4.41,0.0130987
4.42,0.0121212
4.43,0.011168
4.44,0.0101275
4.45,0.00906404
4.46,0.00795554
4.47,0.00680976
4.48,0.00563901
4.49,0.00443761
4.5,0.00322127
4.51,0.00198737
4.52,0.000746515
4.53,-0.000499049
4.54,-0.00174282
4.55,-0.00298005
4.56,-0.00420595
4.57,-0.00541518
4.58,-0.00660335
4.59,-0.00776538
4.6,-0.0088969
4.61,-0.00999327
4.62,-0.0110502
4.63,-0.0120635
4.64,-0.0130292
4.65,-0.0139434
4.66,-0.0148025
4.67,-0.0156029
4.68,-0.0163416
4.69,-0.0170153
4.7,-0.0176212
4.71,-0.0181569
4.72,-0.0186198
4.73,-0.0190078
4.74,-0.0193192
4.75,-0.0195524
4.76,-0.019706
4.77,-0.0197793
4.78,-0.0198164
4.79,-0.0198217
4.8,-0.0196055
4.81,-0.0191149
4.82,-0.0190281
4.83,-0.0182416
4.84,-0.018037
4.85,-0.0172163
4.86,-0.0166198
4.87,-0.0160105
4.88,-0.0150158
4.89,-0.014418
4.9,-0.0133334
4.91,-0.0124968
4.92,-0.0114777
4.93,-0.0104082
4.94,-0.00939039
4.95,-0.00821562
4.96,-0.00711302
4.97,-0.00591742
4.98,-0.00471881
4.99,-0.00351451
5,-0.00226363
5.01,-0.00103753
5.02,0.000219602
5.03,0.00146396
5.04,0.0027035
5.05,0.0039414
5.06,0.00515304
5.07,0.00635497
5.08,0.00752627
5.09,0.00866989
5.1,0.0097816
5.11,0.0108513
5.12,0.0118822
5.13,0.0128637
5.14,0.0137957
5.15,0.0146737
5.16,0.0154925
5.17,0.0162515
5.18,0.0169449
5.19,0.0175717
5.2,0.0181285
5.21,0.0186126
5.22,0.0190229
5.23,0.0193558
5.24,0.0196123
5.25,0.0197877
5.26,0.0198849
5.27,0.0199274
5.28,0.019946
5.29,0.0199333
5.3,0.0196353
5.31,0.0193271
5.32,0.0191328
5.33,0.0184951
5.34,0.0182875
5.35,0.0174725
5.36,0.0170439
5.37,0.0162857
5.38,0.0155602
5.39,0.0148248
5.4,0.0139257
5.41,0.0130987
5.42,0.0121212
5.43,0.011168
5.44,0.0101275
5.45,0.00906404
5.46,0.00795554
5.47,0.00680976
5.48,0.00563901
5.49,0.00443761
5.5,0.00322127
5.51,0.00198737
5.52,0.000746515
5.53,-0.000499049
5.54,-0.00174282
5.55,-0.00298005
5.56,-0.00420595
5.57,-0.00541518
5.58,-0.00660335
5.59,-0.00776538
5.6,-0.0088969
5.61,-0.00999327
5.62,-0.0110502
5.63,-0.0120635
5.64,-0.0130292
5.65,-0.0139434
5.66,-0.0148025
5.67,-0.0156029
5.68,-0.0163416
5.69,-0.0170153
5.7,-0.0176212
5.71,-0.0181569
5.72,-0.0186198
5.73,-0.0190078
5.74,-0.0193192
5.75,-0.0195524
5.76,-0.019706
5.77,-0.0197793
5.78,-0.0198164
5.79,-0.0198217
5.8,-0.0196055
5.81,-0.0191149
5.82,-0.0190281
5.83,-0.0182416
5.84,-0.018037
5.85,-0.0172163
5.86,-0.0166198
5.87,-0.0160105
5.88,-0.0150158
5.89,-0.014418
5.9,-0.0133334
5.91,-0.0124968
5.92,-0.0114777
5.93,-0.0104082
5.94,-0.00939039
5.95,-0.00821562
5.96,-0.00711302
5.97,-0.00591742
5.98,-0.00471881
5.99,-0.00351451
6,-0.00226363
6.01,-0.00103753
6.02,0.000219602
6.03,0.00146396
6.04,0.0027035
6.05,0.0039414
6.06,0.00515304
6.07,0.00635497
6.08,0.00752627
6.09,0.00866989
6.1,0.0097816
6.11,0.0108513
6.12,0.0118822
6.13,0.0128637
6.14,0.0137957
6.15,0.0146737
6.16,0.0154925
6.17,0.0162515
6.18,0.0169449
6.19,0.0175717
6.2,0.0181285
6.21,0.0186126
6.22,0.0190229
6.23,0.0193558
6.24,0.0196123
6.25,0.0197877
6.26,0.0198849
6.27,0.0199274
6.28,0.019946
6.29,0.0199333
6.3,0.0196353
6.31,0.0193271
6.32,0.0191328
6.33,0.0184951
6.34,0.0182875
6.35,0.0174725
6.36,0.0170439
6.37,0.0162857
6.38,0.0155602
6.39,0.0148248
6.4,0.0139257
6.41,0.0130987
6.42,0.0121212
6.43,0.011168
6.44,0.0101275
6.45,0.00906404
6.46,0.00795554
6.47,0.00680976
6.48,0.00563901
6.49,0.00443761
6.5,0.00322127
6.51,0.00198737
6.52,0.000746515
6.53,-0.000499049
6.54,-0.00174282
6.55,-0.00298005
6.56,-0.00420595
6.57,-0.00541518
6.58,-0.00660335
6.59,-0.00776538
6.6,-0.0088969
6.61,-0.00999327
6.62,-0.0110502
6.63,-0.0120635
6.64,-0.0130292
6.65,-0.0139434
6.66,-0.0148025
6.67,-0.0156029
6.68,-0.0163416
6.69,-0.0170153
6.7,-0.0176212
6.71,-0.0181569
6.72,-0.0186198
6.73,-0.0190078
6.74,-0.0193192
6.75,-0.0195524
6.76,-0.019706
6.77,-0.0197793
6.78,-0.0198164
6.79,-0.0198217
6.8,-0.0196055
6.81,-0.0191149
6.82,-0.0190281
6.83,-0.0182416
6.84,-0.018037
6.85,-0.0172163
6.86,-0.0166198
6.87,-0.0160105
6.88,-0.0150158
6.89,-0.014418
6.9,-0.0133334
6.91,-0.0124968
6.92,-0.0114777
6.93,-0.0104082
6.94,-0.00939039
6.95,-0.00821562
6.96,-0.00711302
6.97,-0.00591742
6.98,-0.00471881
6.99,-0.00351451
7,-0.00226363
7.01,-0.00103753
7.02,0.000219602
7.03,0.00146396
7.04,0.0027035
7.05,0.0039414
7.06,0.00515304
7.07,0.00635497
7.08,0.00752627
7.09,0.00866989
7.1,0.0097816
7.11,0.0108513
7.12,0.0118822
7.13,0.0128637
7.14,0.0137957
7.15,0.0146737
7.16,0.0154925
7.17,0.0162515
7.18,0.0169449
7.19,0.0175717
7.2,0.0181285
7.21,0.0186126
7.22,0.0190229
7.23,0.0193558
7.24,0.0196123
7.25,0.0197877
7.26,0.0198849
7.27,0.0199274
7.28,0.019946
7.29,0.0199333
7.3,0.0196353
7.31,0.0193271
7.32,0.0191328
7.33,0.0184951
7.34,0.0182875
7.35,0.0174725
7.36,0.0170439
7.37,0.0162857
7.38,0.0155602
7.39,0.0148248
7.4,0.0139257
7.41,0.0130987
7.42,0.0121212
7.43,0.011168
7.44,0.0101275
7.45,0.00906404
7.46,0.00795554
7.47,0.00680976
7.48,0.00563901
7.49,0.00443761
7.5,0.00322127
7.51,0.00198737
7.52,0.000746515
7.53,-0.000499049
7.54,-0.00174282
7.55,-0.00298005
7.56,-0.00420595
7.57,-0.00541518
7.58,-0.00660335
7.59,-0.00776538
7.6,-0.0088969
7.61,-0.00999327
7.62,-0.0110502
7.63,-0.0120635
7.64,-0.0130292
7.65,-0.0139434
7.66,-0.0148025
7.67,-0.0156029
7.68,-0.0163416
7.69,-0.0170153
7.7,-0.0176212
7.71,-0.0181569
7.72,-0.0186198
7.73,-0.0190078
7.74,-0.0193192
7.75,-0.0195524
7.76,-0.019706
7.77,-0.0197793
7.78,-0.0198164
7.79,-0.0198217
7.8,-0.0196055
7.81,-0.0191149
7.82,-0.0190281
7.83,-0.0182416
7.84,-0.018037
7.85,-0.0172163
7.86,-0.0166198
7.87,-0.0160105
7.88,-0.0150158
7.89,-0.014418
7.9,-0.0133334
7.91,-0.0124968
7.92,-0.0114777
7.93,-0.0104082
7.94,-0.00939039
7.95,-0.00821562
7.96,-0.00711302
7.97,-0.00591742
7.98,-0.00471881
7.99,-0.00351451
8,-0.00226363
8.01,-0.00103753
8.02,0.000219602
8.03,0.00146396
8.04,0.0027035
8.05,0.0039414
8.06,0.00515304
8.07,0.00635497
8.08,0.00752627
8.09,0.00866989
8.1,0.0097816
8.11,0.0108513
8.12,0.0118822
8.13,0.0128637
8.14,0.0137957
8.15,0.0146737
8.16,0.0154925
8.17,0.0162515
8.18,0.0169449
8.19,0.0175717
8.2,0.0181285
8.21,0.0186126
8.22,0.0190229
8.23,0.0193558
8.24,0.0196123
8.25,0.0197877
8.26,0.0198849
8.27,0.0199274
8.28,0.019946
8.29,0.0199333
8.3,0.0196353
8.31,0.0193271
8.32,0.0191328
8.33,0.0184951
8.34,0.0182875
8.35,0.0174725
8.36,0.0170439
8.37,0.0162857
8.38,0.0155602
8.39,0.0148248
8.4,0.0139257
8.41,0.0130987
8.42,0.0121212
8.43,0.011168
8.44,0.0101275
8.45,0.00906404
8.46,0.00795554
8.47,0.00680976
8.48,0.00563901
8.49,0.00443761
8.5,0.00322127
8.51,0.00198737
8.52,0.000746515
8.53,-0.000499049
8.54,-0.00174282
8.55,-0.00298005
8.56,-0.00420595
8.57,-0.00541518
8.58,-0.00660335
8.59,-0.00776538
8.6,-0.0088969
8.61,-0.00999327
8.62,-0.0110502
8.63,-0.0120635
8.64,-0.0130292
8.65,-0.0139434
8.66,-0.0148025
8.67,-0.0156029
8.68,-0.0163416
8.69,-0.0170153
8.7,-0.0176212
8.71,-0.0181569
8.72,-0.0186198
8.73,-0.0190078
8.74,-0.0193192
8.75,-0.0195524
8.76,-0.019706
8.77,-0.0197793
8.78,-0.0198164
8.79,-0.0198217
8.8,-0.0196055
8.81,-0.0191149
8.82,-0.0190281
8.83,-0.0182416
8.84,-0.018037
8.85,-0.0172163
8.86,-0.0166198
8.87,-0.0160105
8.88,-0.0150158
8.89,-0.014418
8.9,-0.0133334
8.91,-0.0124968
8.92,-0.0114777
8.93,-0.0104082
8.94,-0.00939039
8.95,-0.00821562
8.96,-0.00711302
8.97,-0.00591742
8.98,-0.00471881
8.99,-0.00351451
9,-0.00226363
9.01,-0.00103753
9.02,0.000219602
9.03,0.00146396
9.04,0.0027035
9.05,0.0039414
9.06,0.00515304
9.07,0.00635497
9.08,0.00752627
9.09,0.00866989
9.1,0.0097816
9.11,0.0108513
9.12,0.0118822
9.13,0.0128637
9.14,0.0137957
9.15,0.0146737
9.16,0.0154925
9.17,0.0162515
9.18,0.0169449
9.19,0.0175717
9.2,0.0181285
9.21,0.0186126
9.22,0.0190229
9.23,0.0193558
9.24,0.0196123
9.25,0.0197877
9.26,0.0198849
9.27,0.0199274
9.28,0.019946
9.29,0.0199333
9.3,0.0196353
9.31,0.0193271
9.32,0.0191328
9.33,0.0184951
9.34,0.0182875
9.35,0.0174725
9.36,0.0170439
9.37,0.0162857
9.38,0.0155602
9.39,0.0148248
9.4,0.0139257
9.41,0.0130987
9.42,0.0121212
9.43,0.011168
9.44,0.0101275
9.45,0.00906404
9.46,0.00795554
9.47,0.00680976
9.48,0.00563901
9.49,0.00443761
9.5,0.00322127
9.51,0.00198737
9.52,0.000746515
9.53,-0.000499049
9.54,-0.00174282
9.55,-0.00298005
9.56,-0.00420595
9.57,-0.00541518
9.58,-0.00660335
9.59,-0.00776538
9.6,-0.0088969
9.61,-0.00999327
9.62,-0.0110502
9.63,-0.0120635
9.64,-0.0130292
9.65,-0.0139434
9.66,-0.0148025
9.67,-0.0156029
9.68,-0.0163416
9.69,-0.0170153
9.7,-0.0176212
9.71,-0.0181569
9.72,-0.0186198
9.73,-0.0190078
9.74,-0.0193192
9.75,-0.0195524
9.76,-0.019706
9.77,-0.0197793
9.78,-0.0198164
9.79,-0.0198217
9.8,-0.0196055
9.81,-0.0191149
9.82,-0.0190281
9.83,-0.0182416
9.84,-0.018037
9.85,-0.0172163
9.86,-0.0166198
9.87,-0.0160105
9.88,-0.0150158
9.89,-0.014418
9.9,-0.0133334
9.91,-0.0124968
9.92,-0.0114777
9.93,-0.0104082
9.94,-0.00939039
9.95,-0.00821562
9.96,-0.00711302
9.97,-0.00591742
9.98,-0.00471881
9.99,-0.00351451
10,-0.00226363
