"time","Counter_SWC_input_data","Counter_SWC_output_data","Counter_output_data"
19.5,19,20,20
19.6,19,20,20
19.7,19,20,20
19.8,19,20,20
19.9,19,20,20
20,19,20,20
20.1,19,20,20
20.2,19,20,20
20.3,19,20,20
20.4,19,20,20
20.5,20,21,21
20.6,20,21,21
20.7,20,21,21
20.8,20,21,21
20.9,20,21,21
21,20,21,21
21.1,20,21,21
21.2,20,21,21
21.3,20,21,21
21.4,20,21,21
21.5,21,22,22
21.6,21,22,22
21.7,21,22,22
21.8,21,22,22
21.9,21,22,22
22,21,22,22
22.1,21,22,22
22.2,21,22,22
22.3,21,22,22
22.4,21,22,22
22.5,22,23,23
22.6,22,23,23
22.7,22,23,23
22.8,22,23,23
22.9,22,23,23
23,22,23,23
23.1,22,23,23
23.2,22,23,23
23.3,22,23,23
23.4,22,23,23
23.5,23,24,24
23.6,23,24,24
23.7,23,24,24
23.8,23,24,24
23.9,23,24,24
24,23,24,24
24.1,23,24,24
24.2,23,24,24
24.3,23,24,24
24.4,23,24,24
24.5,24,25,25
24.6,24,25,25
24.7,24,25,25
24.8,24,25,25
24.9,24,25,25
25,24,25,25
25.1,24,25,25
25.2,24,25,25
25.3,24,25,25
25.4,24,25,25
25.5,25,26,26
25.6,25,26,26
25.7,25,26,26
25.8,25,26,26
25.9,25,26,26
26,25,26,26
26.1,25,26,26
26.2,25,26,26
26.3,25,26,26
26.4,25,26,26
26.5,26,27,27
26.6,26,27,27
26.7,26,27,27
26.8,26,27,27
26.9,26,27,27
27,26,27,27
27.1,26,27,27
27.2,26,27,27
27.3,26,27,27
27.4,26,27,27
27.5,27,28,28
27.6,27,28,28
27.7,27,28,28
27.8,27,28,28
27.9,27,28,28
28,27,28,28
28.1,27,28,28
28.2,27,28,28
28.3,27,28,28
28.4,27,28,28
28.5,28,29,29
28.6,28,29,29
28.7,28,29,29
28.8,28,29,29
28.9,28,29,29
29,28,29,29
29.1,28,29,29
29.2,28,29,29
29.3,28,29,29
29.4,28,29,29
29.5,29,30,30
29.6,29,30,30
29.7,29,30,30
29.8,29,30,30
29.9,29,30,30
30,29,30,30
30.1,29,30,30
30.2,29,30,30
30.3,29,30,30
30.4,29,30,30
30.5,30,31,31
30.6,30,31,31
30.7,30,31,31
30.8,30,31,31
30.9,30,31,31
31,30,31,31
31.1,30,31,31
31.2,30,31,31
31.3,30,31,31
31.4,30,31,31
31.5,31,32,32
31.6,31,32,32
31.7,31,32,32
31.8,31,32,32
31.9,31,32,32
32,31,32,32
32.1,31,32,32
32.2,31,32,32
32.3,31,32,32
32.4,31,32,32
32.5,32,33,33
32.6,32,33,33
32.7,32,33,33
32.8,32,33,33
32.9,32,33,33
33,32,33,33
33.1,32,33,33
33.2,32,33,33
33.3,32,33,33
33.4,32,33,33
33.5,33,34,34
33.6,33,34,34
33.7,33,34,34
33.8,33,34,34
33.9,33,34,34
34,33,34,34
34.1,33,34,34
34.2,33,34,34
34.3,33,34,34
34.4,33,34,34
34.5,34,35,35
34.6,34,35,35
34.7,34,35,35
34.8,34,35,35
34.9,34,35,35
35,34,35,35
35.1,34,35,35
35.2,34,35,35
35.3,34,35,35
35.4,34,35,35
35.5,35,36,36
35.6,35,36,36
35.7,35,36,36
35.8,35,36,36
35.9,35,36,36
36,35,36,36
36.1,35,36,36
36.2,35,36,36
36.3,35,36,36
36.4,35,36,36
36.5,36,37,37
36.6,36,37,37
36.7,36,37,37
36.8,36,37,37
36.9,36,37,37
37,36,37,37
37.1,36,37,37
37.2,36,37,37
37.3,36,37,37
37.4,36,37,37
37.5,37,38,38
37.6,37,38,38
37.7,37,38,38
37.8,37,38,38
37.9,37,38,38
38,37,38,38
38.1,37,38,38
38.2,37,38,38
38.3,37,38,38
38.4,37,38,38
38.5,38,39,39
38.6,38,39,39
38.7,38,39,39
38.8,38,39,39
38.9,38,39,39
39,38,39,39
39.1,38,39,39
39.2,38,39,39
39.3,38,39,39
39.4,38,39,39
39.5,39,40,40
39.6,39,40,40
39.7,39,40,40
39.8,39,40,40
39.9,39,40,40
40,39,40,40
40.1,39,40,40
40.2,39,40,40
40.3,39,40,40
40.4,39,40,40
40.5,40,41,41
40.6,40,41,41
40.7,40,41,41
40.8,40,41,41
40.9,40,41,41
41,40,41,41
41.1,40,41,41
41.2,40,41,41
41.3,40,41,41
41.4,40,41,41
41.5,41,42,42
41.6,41,42,42
41.7,41,42,42
41.8,41,42,42
41.9,41,42,42
42,41,42,42
42.1,41,42,42
42.2,41,42,42
42.3,41,42,42
42.4,41,42,42
42.5,42,43,43
42.6,42,43,43
42.7,42,43,43
42.8,42,43,43
42.9,42,43,43
43,42,43,43
43.1,42,43,43
43.2,42,43,43
43.3,42,43,43
43.4,42,43,43
43.5,43,44,44
43.6,43,44,44
43.7,43,44,44
43.8,43,44,44
43.9,43,44,44
44,43,44,44
44.1,43,44,44
44.2,43,44,44
44.3,43,44,44
44.4,43,44,44
44.5,44,45,45
44.6,44,45,45
44.7,44,45,45
44.8,44,45,45
44.9,44,45,45
45,44,45,45
45.1,44,45,45
45.2,44,45,45
45.3,44,45,45
45.4,44,45,45
45.5,45,46,46
45.6,45,46,46
45.7,45,46,46
45.8,45,46,46
45.9,45,46,46
46,45,46,46
46.1,45,46,46
46.2,45,46,46
46.3,45,46,46
46.4,45,46,46
46.5,46,47,47
46.6,46,47,47
46.7,46,47,47
46.8,46,47,47
46.9,46,47,47
47,46,47,47
47.1,46,47,47
47.2,46,47,47
47.3,46,47,47
47.4,46,47,47
47.5,47,48,48
47.6,47,48,48
47.7,47,48,48
47.8,47,48,48
47.9,47,48,48
48,47,48,48
48.1,47,48,48
48.2,47,48,48
48.3,47,48,48
48.4,47,48,48
48.5,48,49,49
48.6,48,49,49
48.7,48,49,49
48.8,48,49,49
48.9,48,49,49
49,48,49,49
49.1,48,49,49
49.2,48,49,49
49.3,48,49,49
49.4,48,49,49
49.5,49,50,50
49.6,49,50,50
49.7,49,50,50
49.8,49,50,50
49.9,49,50,50
50,49,50,50
