"time",	"Noise",	"Noise_Filt",	"Noise_Filt_Sat",	"Sine",	"Sine_Filt",	"Sine_Filt_Quantized"
0.048,	0.504193,	0.063024,	0.063024,	0.095963,	0.000316,	0
0.049,	0.504193,	0.063024,	0.063024,	0.097961,	0.000336,	0
0.05,	0.504193,	0.063024,	0.063024,	0.099958,	0.000356,	0
0.051,	3.375249,	0.481779,	0.481779,	0.101956,	0.000378,	0
0.052,	3.375249,	0.481779,	0.481779,	0.103953,	0.0004,	0
0.053,	3.375249,	0.481779,	0.481779,	0.10595,	0.000423,	0
0.054,	3.375249,	0.481779,	0.481779,	0.107948,	0.000447,	0
0.055,	3.375249,	0.481779,	0.481779,	0.109945,	0.000471,	0
0.056,	3.375249,	0.481779,	0.481779,	0.111941,	0.000497,	0
0.057,	3.375249,	0.481779,	0.481779,	0.113938,	0.000524,	0
0.058,	3.375249,	0.481779,	0.481779,	0.115935,	0.000551,	0
0.059,	3.375249,	0.481779,	0.481779,	0.117932,	0.000579,	0
0.06,	3.375249,	0.481779,	0.481779,	0.119928,	0.000609,	0
0.061,	3.375249,	0.481779,	0.481779,	0.121924,	0.000639,	0
0.062,	3.375249,	0.481779,	0.481779,	0.123921,	0.00067,	0
0.063,	3.375249,	0.481779,	0.481779,	0.125917,	0.000702,	0
0.064,	3.375249,	0.481779,	0.481779,	0.127913,	0.000735,	0
0.065,	3.375249,	0.481779,	0.481779,	0.129908,	0.00077,	0
0.066,	3.375249,	0.481779,	0.481779,	0.131904,	0.000805,	0
0.067,	3.375249,	0.481779,	0.481779,	0.1339,	0.000841,	0
0.068,	3.375249,	0.481779,	0.481779,	0.135895,	0.000878,	0
0.069,	3.375249,	0.481779,	0.481779,	0.137891,	0.000917,	0
0.07,	3.375249,	0.481779,	0.481779,	0.139886,	0.000956,	0
0.071,	3.375249,	0.481779,	0.481779,	0.141881,	0.000996,	0
0.072,	3.375249,	0.481779,	0.481779,	0.143876,	0.001038,	0
0.073,	3.375249,	0.481779,	0.481779,	0.14587,	0.001081,	0
0.074,	3.375249,	0.481779,	0.481779,	0.147865,	0.001124,	0
0.075,	3.375249,	0.481779,	0.481779,	0.149859,	0.001169,	0
0.076,	3.375249,	0.481779,	0.481779,	0.151854,	0.001215,	0
0.077,	3.375249,	0.481779,	0.481779,	0.153848,	0.001263,	0
0.078,	3.375249,	0.481779,	0.481779,	0.155842,	0.001311,	0
0.079,	3.375249,	0.481779,	0.481779,	0.157836,	0.001361,	0
0.08,	3.375249,	0.481779,	0.481779,	0.159829,	0.001411,	0
0.081,	3.375249,	0.481779,	0.481779,	0.161823,	0.001463,	0
0.082,	3.375249,	0.481779,	0.481779,	0.163816,	0.001517,	0
0.083,	3.375249,	0.481779,	0.481779,	0.165809,	0.001571,	0
0.084,	3.375249,	0.481779,	0.481779,	0.167803,	0.001627,	0
0.085,	3.375249,	0.481779,	0.481779,	0.169795,	0.001684,	0
0.086,	3.375249,	0.481779,	0.481779,	0.171788,	0.001742,	0
0.087,	3.375249,	0.481779,	0.481779,	0.173781,	0.001802,	0
0.088,	3.375249,	0.481779,	0.481779,	0.175773,	0.001862,	0
0.089,	3.375249,	0.481779,	0.481779,	0.177765,	0.001924,	0
0.09,	3.375249,	0.481779,	0.481779,	0.179757,	0.001988,	0
0.091,	3.375249,	0.481779,	0.481779,	0.181749,	0.002053,	0
0.092,	3.375249,	0.481779,	0.481779,	0.183741,	0.002119,	0
0.093,	3.375249,	0.481779,	0.481779,	0.185732,	0.002186,	0
0.094,	3.375249,	0.481779,	0.481779,	0.187723,	0.002255,	0
0.095,	3.375249,	0.481779,	0.481779,	0.189714,	0.002325,	0
0.096,	3.375249,	0.481779,	0.481779,	0.191705,	0.002397,	0
0.097,	3.375249,	0.481779,	0.481779,	0.193696,	0.00247,	0
0.098,	3.375249,	0.481779,	0.481779,	0.195686,	0.002544,	0
0.099,	3.375249,	0.481779,	0.481779,	0.197677,	0.00262,	0
0.1,	3.375249,	0.481779,	0.481779,	0.199667,	0.002697,	0
0.101,	-1.212588,	0.306117,	0.306117,	0.201657,	0.002776,	0
0.102,	-1.212588,	0.306117,	0.306117,	0.203646,	0.002856,	0
0.103,	-1.212588,	0.306117,	0.306117,	0.205636,	0.002938,	0
0.104,	-1.212588,	0.306117,	0.306117,	0.207625,	0.003021,	0
0.105,	-1.212588,	0.306117,	0.306117,	0.209614,	0.003106,	0
0.106,	-1.212588,	0.306117,	0.306117,	0.211603,	0.003192,	0
0.107,	-1.212588,	0.306117,	0.306117,	0.213592,	0.003279,	0
0.108,	-1.212588,	0.306117,	0.306117,	0.21558,	0.003368,	0
0.109,	-1.212588,	0.306117,	0.306117,	0.217569,	0.003459,	0
0.11,	-1.212588,	0.306117,	0.306117,	0.219557,	0.003551,	0
0.111,	-1.212588,	0.306117,	0.306117,	0.221544,	0.003645,	0
0.112,	-1.212588,	0.306117,	0.306117,	0.223532,	0.00374,	0
0.113,	-1.212588,	0.306117,	0.306117,	0.225519,	0.003837,	0
0.114,	-1.212588,	0.306117,	0.306117,	0.227506,	0.003936,	0
0.115,	-1.212588,	0.306117,	0.306117,	0.229493,	0.004036,	0
0.116,	-1.212588,	0.306117,	0.306117,	0.23148,	0.004138,	0
0.117,	-1.212588,	0.306117,	0.306117,	0.233466,	0.004241,	0
0.118,	-1.212588,	0.306117,	0.306117,	0.235453,	0.004346,	0
0.119,	-1.212588,	0.306117,	0.306117,	0.237439,	0.004452,	0
0.12,	-1.212588,	0.306117,	0.306117,	0.239424,	0.004561,	0
0.121,	-1.212588,	0.306117,	0.306117,	0.24141,	0.00467,	0
0.122,	-1.212588,	0.306117,	0.306117,	0.243395,	0.004782,	0
0.123,	-1.212588,	0.306117,	0.306117,	0.24538,	0.004895,	0
0.124,	-1.212588,	0.306117,	0.306117,	0.247365,	0.00501,	0
0.125,	-1.212588,	0.306117,	0.306117,	0.249349,	0.005127,	0
0.126,	-1.212588,	0.306117,	0.306117,	0.251334,	0.005245,	0
0.127,	-1.212588,	0.306117,	0.306117,	0.253318,	0.005365,	0
0.128,	-1.212588,	0.306117,	0.306117,	0.255302,	0.005487,	0
0.129,	-1.212588,	0.306117,	0.306117,	0.257285,	0.00561,	0
0.13,	-1.212588,	0.306117,	0.306117,	0.259268,	0.005735,	0
0.131,	-1.212588,	0.306117,	0.306117,	0.261251,	0.005862,	0
0.132,	-1.212588,	0.306117,	0.306117,	0.263234,	0.005991,	0
0.133,	-1.212588,	0.306117,	0.306117,	0.265216,	0.006121,	0
0.134,	-1.212588,	0.306117,	0.306117,	0.267199,	0.006254,	0
0.135,	-1.212588,	0.306117,	0.306117,	0.269181,	0.006388,	0
0.136,	-1.212588,	0.306117,	0.306117,	0.271162,	0.006524,	0
0.137,	-1.212588,	0.306117,	0.306117,	0.273144,	0.006661,	0
0.138,	-1.212588,	0.306117,	0.306117,	0.275125,	0.006801,	0
0.139,	-1.212588,	0.306117,	0.306117,	0.277106,	0.006942,	0
0.14,	-1.212588,	0.306117,	0.306117,	0.279086,	0.007085,	0
0.141,	-1.212588,	0.306117,	0.306117,	0.281067,	0.00723,	0
0.142,	-1.212588,	0.306117,	0.306117,	0.283047,	0.007377,	0
0.143,	-1.212588,	0.306117,	0.306117,	0.285026,	0.007526,	0
0.144,	-1.212588,	0.306117,	0.306117,	0.287006,	0.007676,	0
0.145,	-1.212588,	0.306117,	0.306117,	0.288985,	0.007829,	0
0.146,	-1.212588,	0.306117,	0.306117,	0.290964,	0.007983,	0
0.147,	-1.212588,	0.306117,	0.306117,	0.292942,	0.008139,	0
0.148,	-1.212588,	0.306117,	0.306117,	0.294921,	0.008297,	0
0.149,	-1.212588,	0.306117,	0.306117,	0.296899,	0.008457,	0
0.15,	-1.212588,	0.306117,	0.306117,	0.298876,	0.008619,	0
0.151,	1.817724,	0.518026,	0.5,	0.300854,	0.008783,	0
0.152,	1.817724,	0.518026,	0.5,	0.302831,	0.008949,	0
0.153,	1.817724,	0.518026,	0.5,	0.304808,	0.009117,	0
0.154,	1.817724,	0.518026,	0.5,	0.306784,	0.009287,	0
0.155,	1.817724,	0.518026,	0.5,	0.30876,	0.009458,	0
0.156,	1.817724,	0.518026,	0.5,	0.310736,	0.009632,	0
0.157,	1.817724,	0.518026,	0.5,	0.312712,	0.009808,	0
0.158,	1.817724,	0.518026,	0.5,	0.314687,	0.009985,	0
0.159,	1.817724,	0.518026,	0.5,	0.316662,	0.010165,	0
0.16,	1.817724,	0.518026,	0.5,	0.318636,	0.010346,	0
0.161,	1.817724,	0.518026,	0.5,	0.320611,	0.01053,	0
0.162,	1.817724,	0.518026,	0.5,	0.322585,	0.010716,	0
0.163,	1.817724,	0.518026,	0.5,	0.324558,	0.010903,	0
0.164,	1.817724,	0.518026,	0.5,	0.326532,	0.011093,	0
0.165,	1.817724,	0.518026,	0.5,	0.328505,	0.011285,	0
0.166,	1.817724,	0.518026,	0.5,	0.330477,	0.011478,	0
0.167,	1.817724,	0.518026,	0.5,	0.33245,	0.011674,	0
0.168,	1.817724,	0.518026,	0.5,	0.334422,	0.011872,	0
0.169,	1.817724,	0.518026,	0.5,	0.336393,	0.012072,	0
0.17,	1.817724,	0.518026,	0.5,	0.338365,	0.012274,	0
0.171,	1.817724,	0.518026,	0.5,	0.340336,	0.012478,	0
0.172,	1.817724,	0.518026,	0.5,	0.342306,	0.012684,	0
0.173,	1.817724,	0.518026,	0.5,	0.344277,	0.012893,	0
0.174,	1.817724,	0.518026,	0.5,	0.346247,	0.013103,	0
0.175,	1.817724,	0.518026,	0.5,	0.348216,	0.013316,	0
0.176,	1.817724,	0.518026,	0.5,	0.350186,	0.01353,	0
0.177,	1.817724,	0.518026,	0.5,	0.352154,	0.013747,	0
0.178,	1.817724,	0.518026,	0.5,	0.354123,	0.013966,	0
0.179,	1.817724,	0.518026,	0.5,	0.356091,	0.014187,	0
0.18,	1.817724,	0.518026,	0.5,	0.358059,	0.01441,	0
0.181,	1.817724,	0.518026,	0.5,	0.360027,	0.014635,	0
0.182,	1.817724,	0.518026,	0.5,	0.361994,	0.014863,	0
0.183,	1.817724,	0.518026,	0.5,	0.363961,	0.015092,	0
0.184,	1.817724,	0.518026,	0.5,	0.365927,	0.015324,	0
0.185,	1.817724,	0.518026,	0.5,	0.367893,	0.015558,	0
0.186,	1.817724,	0.518026,	0.5,	0.369859,	0.015794,	0
0.187,	1.817724,	0.518026,	0.5,	0.371824,	0.016033,	0
0.188,	1.817724,	0.518026,	0.5,	0.373789,	0.016273,	0
0.189,	1.817724,	0.518026,	0.5,	0.375754,	0.016516,	0
0.19,	1.817724,	0.518026,	0.5,	0.377718,	0.016761,	0
0.191,	1.817724,	0.518026,	0.5,	0.379682,	0.017008,	0
0.192,	1.817724,	0.518026,	0.5,	0.381645,	0.017257,	0
0.193,	1.817724,	0.518026,	0.5,	0.383608,	0.017509,	0
0.194,	1.817724,	0.518026,	0.5,	0.385571,	0.017763,	0
0.195,	1.817724,	0.518026,	0.5,	0.387533,	0.018019,	0
0.196,	1.817724,	0.518026,	0.5,	0.389495,	0.018277,	0
0.197,	1.817724,	0.518026,	0.5,	0.391456,	0.018538,	0
0.198,	1.817724,	0.518026,	0.5,	0.393418,	0.018801,	0
0.199,	1.817724,	0.518026,	0.5,	0.395378,	0.019066,	0
0.2,	1.817724,	0.518026,	0.5,	0.397339,	0.019333,	0
0.201,	0.277462,	0.526808,	0.5,	0.399299,	0.019603,	0
0.202,	0.277462,	0.526808,	0.5,	0.401258,	0.019875,	0
0.203,	0.277462,	0.526808,	0.5,	0.403217,	0.020149,	0
0.204,	0.277462,	0.526808,	0.5,	0.405176,	0.020425,	0
0.205,	0.277462,	0.526808,	0.5,	0.407134,	0.020704,	0
0.206,	0.277462,	0.526808,	0.5,	0.409092,	0.020985,	0
0.207,	0.277462,	0.526808,	0.5,	0.41105,	0.021269,	0
0.208,	0.277462,	0.526808,	0.5,	0.413007,	0.021554,	0
0.209,	0.277462,	0.526808,	0.5,	0.414964,	0.021843,	0
0.21,	0.277462,	0.526808,	0.5,	0.41692,	0.022133,	0
0.211,	0.277462,	0.526808,	0.5,	0.418876,	0.022426,	0
0.212,	0.277462,	0.526808,	0.5,	0.420831,	0.022721,	0
0.213,	0.277462,	0.526808,	0.5,	0.422786,	0.023018,	0
0.214,	0.277462,	0.526808,	0.5,	0.424741,	0.023318,	0
0.215,	0.277462,	0.526808,	0.5,	0.426695,	0.02362,	0
0.216,	0.277462,	0.526808,	0.5,	0.428649,	0.023924,	0
0.217,	0.277462,	0.526808,	0.5,	0.430602,	0.024231,	0
0.218,	0.277462,	0.526808,	0.5,	0.432555,	0.02454,	0
0.219,	0.277462,	0.526808,	0.5,	0.434507,	0.024852,	0
0.22,	0.277462,	0.526808,	0.5,	0.436459,	0.025165,	0
0.221,	0.277462,	0.526808,	0.5,	0.438411,	0.025482,	0
0.222,	0.277462,	0.526808,	0.5,	0.440362,	0.0258,	0
0.223,	0.277462,	0.526808,	0.5,	0.442313,	0.026121,	0
0.224,	0.277462,	0.526808,	0.5,	0.444263,	0.026445,	0
0.225,	0.277462,	0.526808,	0.5,	0.446213,	0.026771,	0
0.226,	0.277462,	0.526808,	0.5,	0.448162,	0.027099,	0
0.227,	0.277462,	0.526808,	0.5,	0.450111,	0.027429,	0
0.228,	0.277462,	0.526808,	0.5,	0.452059,	0.027762,	0
0.229,	0.277462,	0.526808,	0.5,	0.454007,	0.028098,	0
0.23,	0.277462,	0.526808,	0.5,	0.455955,	0.028436,	0
0.231,	0.277462,	0.526808,	0.5,	0.457902,	0.028776,	0
0.232,	0.277462,	0.526808,	0.5,	0.459849,	0.029119,	0
0.233,	0.277462,	0.526808,	0.5,	0.461795,	0.029464,	0
0.234,	0.277462,	0.526808,	0.5,	0.463741,	0.029812,	0
0.235,	0.277462,	0.526808,	0.5,	0.465686,	0.030162,	0
0.236,	0.277462,	0.526808,	0.5,	0.467631,	0.030514,	0
0.237,	0.277462,	0.526808,	0.5,	0.469575,	0.030869,	0
0.238,	0.277462,	0.526808,	0.5,	0.471519,	0.031226,	0
0.239,	0.277462,	0.526808,	0.5,	0.473462,	0.031586,	0
0.24,	0.277462,	0.526808,	0.5,	0.475405,	0.031948,	0
0.241,	0.277462,	0.526808,	0.5,	0.477348,	0.032313,	0
0.242,	0.277462,	0.526808,	0.5,	0.47929,	0.03268,	0
0.243,	0.277462,	0.526808,	0.5,	0.481231,	0.03305,	0
0.244,	0.277462,	0.526808,	0.5,	0.483172,	0.033422,	0
0.245,	0.277462,	0.526808,	0.5,	0.485113,	0.033797,	0
0.246,	0.277462,	0.526808,	0.5,	0.487053,	0.034174,	0
0.247,	0.277462,	0.526808,	0.5,	0.488992,	0.034554,	0
0.248,	0.277462,	0.526808,	0.5,	0.490931,	0.034936,	0
0.249,	0.277462,	0.526808,	0.5,	0.49287,	0.03532,	0
0.25,	0.277462,	0.526808,	0.5,	0.494808,	0.035708,	0
0.251,	-0.54856,	0.431897,	0.431897,	0.496745,	0.036097,	0
0.252,	-0.54856,	0.431897,	0.431897,	0.498683,	0.036489,	0
0.253,	-0.54856,	0.431897,	0.431897,	0.500619,	0.036884,	0
0.254,	-0.54856,	0.431897,	0.431897,	0.502555,	0.037281,	0
0.255,	-0.54856,	0.431897,	0.431897,	0.504491,	0.037681,	0
0.256,	-0.54856,	0.431897,	0.431897,	0.506426,	0.038083,	0
0.257,	-0.54856,	0.431897,	0.431897,	0.50836,	0.038487,	0
0.258,	-0.54856,	0.431897,	0.431897,	0.510295,	0.038895,	0
0.259,	-0.54856,	0.431897,	0.431897,	0.512228,	0.039304,	0
0.26,	-0.54856,	0.431897,	0.431897,	0.514161,	0.039717,	0
0.261,	-0.54856,	0.431897,	0.431897,	0.516094,	0.040131,	0
0.262,	-0.54856,	0.431897,	0.431897,	0.518026,	0.040549,	0
0.263,	-0.54856,	0.431897,	0.431897,	0.519957,	0.040969,	0
0.264,	-0.54856,	0.431897,	0.431897,	0.521888,	0.041391,	0
0.265,	-0.54856,	0.431897,	0.431897,	0.523819,	0.041816,	0
0.266,	-0.54856,	0.431897,	0.431897,	0.525748,	0.042244,	0
0.267,	-0.54856,	0.431897,	0.431897,	0.527678,	0.042674,	0
0.268,	-0.54856,	0.431897,	0.431897,	0.529607,	0.043106,	0
0.269,	-0.54856,	0.431897,	0.431897,	0.531535,	0.043541,	0
0.27,	-0.54856,	0.431897,	0.431897,	0.533463,	0.043979,	0
0.271,	-0.54856,	0.431897,	0.431897,	0.53539,	0.044419,	0
0.272,	-0.54856,	0.431897,	0.431897,	0.537317,	0.044862,	0
0.273,	-0.54856,	0.431897,	0.431897,	0.539243,	0.045308,	0
0.274,	-0.54856,	0.431897,	0.431897,	0.541169,	0.045756,	0
0.275,	-0.54856,	0.431897,	0.431897,	0.543094,	0.046206,	0
0.276,	-0.54856,	0.431897,	0.431897,	0.545018,	0.046659,	0
0.277,	-0.54856,	0.431897,	0.431897,	0.546942,	0.047115,	0
0.278,	-0.54856,	0.431897,	0.431897,	0.548866,	0.047573,	0
0.279,	-0.54856,	0.431897,	0.431897,	0.550789,	0.048034,	0
0.28,	-0.54856,	0.431897,	0.431897,	0.552711,	0.048498,	0
0.281,	-0.54856,	0.431897,	0.431897,	0.554633,	0.048964,	0
0.282,	-0.54856,	0.431897,	0.431897,	0.556554,	0.049432,	0
0.283,	-0.54856,	0.431897,	0.431897,	0.558475,	0.049903,	0
0.284,	-0.54856,	0.431897,	0.431897,	0.560395,	0.050377,	0
0.285,	-0.54856,	0.431897,	0.431897,	0.562315,	0.050854,	0
0.286,	-0.54856,	0.431897,	0.431897,	0.564234,	0.051333,	0
0.287,	-0.54856,	0.431897,	0.431897,	0.566152,	0.051814,	0
0.288,	-0.54856,	0.431897,	0.431897,	0.56807,	0.052298,	0
0.289,	-0.54856,	0.431897,	0.431897,	0.569988,	0.052785,	0
0.29,	-0.54856,	0.431897,	0.431897,	0.571904,	0.053275,	0
0.291,	-0.54856,	0.431897,	0.431897,	0.573821,	0.053767,	0
0.292,	-0.54856,	0.431897,	0.431897,	0.575736,	0.054261,	0
0.293,	-0.54856,	0.431897,	0.431897,	0.577651,	0.054759,	0
0.294,	-0.54856,	0.431897,	0.431897,	0.579566,	0.055258,	0
0.295,	-0.54856,	0.431897,	0.431897,	0.58148,	0.055761,	0
0.296,	-0.54856,	0.431897,	0.431897,	0.583393,	0.056266,	0
0.297,	-0.54856,	0.431897,	0.431897,	0.585306,	0.056774,	0
0.298,	-0.54856,	0.431897,	0.431897,	0.587218,	0.057284,	0
0.299,	-0.54856,	0.431897,	0.431897,	0.589129,	0.057797,	0
0.3,	-0.54856,	0.431897,	0.431897,	0.59104,	0.058312,	0
0.301,	-1.300799,	0.247703,	0.247703,	0.592951,	0.058831,	0.1
0.302,	-1.300799,	0.247703,	0.247703,	0.594861,	0.059351,	0.1
0.303,	-1.300799,	0.247703,	0.247703,	0.59677,	0.059875,	0.1
0.304,	-1.300799,	0.247703,	0.247703,	0.598678,	0.060401,	0.1
0.305,	-1.300799,	0.247703,	0.247703,	0.600586,	0.06093,	0.1
0.306,	-1.300799,	0.247703,	0.247703,	0.602494,	0.061461,	0.1
0.307,	-1.300799,	0.247703,	0.247703,	0.604401,	0.061995,	0.1
0.308,	-1.300799,	0.247703,	0.247703,	0.606307,	0.062531,	0.1
0.309,	-1.300799,	0.247703,	0.247703,	0.608212,	0.063071,	0.1
0.31,	-1.300799,	0.247703,	0.247703,	0.610117,	0.063612,	0.1
0.311,	-1.300799,	0.247703,	0.247703,	0.612022,	0.064157,	0.1
0.312,	-1.300799,	0.247703,	0.247703,	0.613925,	0.064704,	0.1
0.313,	-1.300799,	0.247703,	0.247703,	0.615829,	0.065254,	0.1
0.314,	-1.300799,	0.247703,	0.247703,	0.617731,	0.065806,	0.1
0.315,	-1.300799,	0.247703,	0.247703,	0.619633,	0.066361,	0.1
0.316,	-1.300799,	0.247703,	0.247703,	0.621534,	0.066919,	0.1
0.317,	-1.300799,	0.247703,	0.247703,	0.623435,	0.067479,	0.1
0.318,	-1.300799,	0.247703,	0.247703,	0.625335,	0.068042,	0.1
0.319,	-1.300799,	0.247703,	0.247703,	0.627234,	0.068608,	0.1
0.32,	-1.300799,	0.247703,	0.247703,	0.629133,	0.069176,	0.1
0.321,	-1.300799,	0.247703,	0.247703,	0.631031,	0.069747,	0.1
0.322,	-1.300799,	0.247703,	0.247703,	0.632929,	0.070321,	0.1
0.323,	-1.300799,	0.247703,	0.247703,	0.634826,	0.070897,	0.1
0.324,	-1.300799,	0.247703,	0.247703,	0.636722,	0.071476,	0.1
0.325,	-1.300799,	0.247703,	0.247703,	0.638618,	0.072057,	0.1
0.326,	-1.300799,	0.247703,	0.247703,	0.640513,	0.072642,	0.1
0.327,	-1.300799,	0.247703,	0.247703,	0.642407,	0.073228,	0.1
0.328,	-1.300799,	0.247703,	0.247703,	0.644301,	0.073818,	0.1
0.329,	-1.300799,	0.247703,	0.247703,	0.646194,	0.07441,	0.1
0.33,	-1.300799,	0.247703,	0.247703,	0.648086,	0.075005,	0.1
0.331,	-1.300799,	0.247703,	0.247703,	0.649978,	0.075602,	0.1
0.332,	-1.300799,	0.247703,	0.247703,	0.651869,	0.076202,	0.1
0.333,	-1.300799,	0.247703,	0.247703,	0.653759,	0.076805,	0.1
0.334,	-1.300799,	0.247703,	0.247703,	0.655649,	0.07741,	0.1
0.335,	-1.300799,	0.247703,	0.247703,	0.657538,	0.078018,	0.1
0.336,	-1.300799,	0.247703,	0.247703,	0.659427,	0.078629,	0.1
0.337,	-1.300799,	0.247703,	0.247703,	0.661315,	0.079243,	0.1
0.338,	-1.300799,	0.247703,	0.247703,	0.663202,	0.079859,	0.1
0.339,	-1.300799,	0.247703,	0.247703,	0.665088,	0.080477,	0.1
0.34,	-1.300799,	0.247703,	0.247703,	0.666974,	0.081099,	0.1
0.341,	-1.300799,	0.247703,	0.247703,	0.668859,	0.081723,	0.1
0.342,	-1.300799,	0.247703,	0.247703,	0.670744,	0.082349,	0.1
0.343,	-1.300799,	0.247703,	0.247703,	0.672628,	0.082979,	0.1
0.344,	-1.300799,	0.247703,	0.247703,	0.674511,	0.08361,	0.1
0.345,	-1.300799,	0.247703,	0.247703,	0.676393,	0.084245,	0.1
0.346,	-1.300799,	0.247703,	0.247703,	0.678275,	0.084882,	0.1
0.347,	-1.300799,	0.247703,	0.247703,	0.680156,	0.085522,	0.1
0.348,	-1.300799,	0.247703,	0.247703,	0.682037,	0.086165,	0.1
0.349,	-1.300799,	0.247703,	0.247703,	0.683917,	0.08681,	0.1
0.35,	-1.300799,	0.247703,	0.247703,	0.685796,	0.087458,	0.1
0.351,	0.1949,	0.25968,	0.25968,	0.687674,	0.088109,	0.1
0.352,	0.1949,	0.25968,	0.25968,	0.689552,	0.088762,	0.1
0.353,	0.1949,	0.25968,	0.25968,	0.691429,	0.089418,	0.1
0.354,	0.1949,	0.25968,	0.25968,	0.693305,	0.090076,	0.1
0.355,	0.1949,	0.25968,	0.25968,	0.695181,	0.090738,	0.1
0.356,	0.1949,	0.25968,	0.25968,	0.697056,	0.091401,	0.1
0.357,	0.1949,	0.25968,	0.25968,	0.69893,	0.092068,	0.1
0.358,	0.1949,	0.25968,	0.25968,	0.700803,	0.092737,	0.1
0.359,	0.1949,	0.25968,	0.25968,	0.702676,	0.093409,	0.1
0.36,	0.1949,	0.25968,	0.25968,	0.704548,	0.094084,	0.1
0.361,	0.1949,	0.25968,	0.25968,	0.70642,	0.094761,	0.1
0.362,	0.1949,	0.25968,	0.25968,	0.708291,	0.09544,	0.1
0.363,	0.1949,	0.25968,	0.25968,	0.710161,	0.096123,	0.1
0.364,	0.1949,	0.25968,	0.25968,	0.71203,	0.096808,	0.1
0.365,	0.1949,	0.25968,	0.25968,	0.713899,	0.097496,	0.1
0.366,	0.1949,	0.25968,	0.25968,	0.715766,	0.098186,	0.1
0.367,	0.1949,	0.25968,	0.25968,	0.717634,	0.098879,	0.1
0.368,	0.1949,	0.25968,	0.25968,	0.7195,	0.099575,	0.1
