"time","Capacitor1.i","IdealDiode3.v"
2.8730099999883640E-002,-5.7467726331472470E+001,-5.3752047438283478E+002
2.8740099999883580E-002,-6.3436082190613376E+001,-5.3747422545671600E+002
2.8750099999883521E-002,-6.9420526104825484E+001,-5.3742397622645126E+002
2.8760099999883462E-002,-7.5421144816045356E+001,-5.3736971585120341E+002
2.8770099999883402E-002,-8.1438023633585800E+001,-5.3731143343421093E+002
2.8780099999883343E-002,-8.7471246422313385E+001,-5.3724911802376118E+002
2.8790099999883283E-002,-9.3520895591735496E+001,-5.3718275861416441E+002
2.8800099999883224E-002,-9.9587052084803190E+001,-5.3711234414674254E+002
2.8810099999883165E-002,-1.0566979536677081E+002,-5.3703786351081999E+002
2.8820099999883105E-002,-1.1176920341468106E+002,-5.3695930554472352E+002
2.8830099999883046E-002,-1.1788535270628142E+002,-5.3687665903678658E+002
2.8840099999882986E-002,-1.2401831820928182E+002,-5.3678991272636733E+002
2.8850099999882927E-002,-1.3016817337123754E+002,-5.3669905530486460E+002
2.8860099999882868E-002,-1.3633499010869318E+002,-5.3660407541674999E+002
2.8870099999882808E-002,-1.4251883879712224E+002,-5.3650496166059793E+002
2.8880099999882749E-002,-1.4871978826086712E+002,-5.3640170259012871E+002
2.8890099999882689E-002,-1.5493790576256708E+002,-5.3629428671525625E+002
2.8900099999882630E-002,-1.6117325699372344E+002,-5.3618270250314254E+002
2.8910099999882571E-002,-1.6742590606475292E+002,-5.3606693837925570E+002
2.8920099999882511E-002,-1.7369591549504116E+002,-5.3594698272843948E+002
2.8930099999882452E-002,-1.7998334620373524E+002,-5.3582282389598720E+002
2.8940099999882393E-002,-1.8628825749991069E+002,-5.3569445018871852E+002
2.8950099999882333E-002,-1.9261070707359144E+002,-5.3556184987606684E+002
2.8960099999882274E-002,-1.9895075098625799E+002,-5.3542501119117139E+002
2.8970099999882214E-002,-2.0530844366198102E+002,-5.3528392233197394E+002
2.8980099999882155E-002,-2.1168383787821369E+002,-5.3513857146232385E+002
2.8990099999882096E-002,-2.1807698475726653E+002,-5.3498894671308517E+002
2.9000099999882036E-002,-2.2448793375738376E+002,-5.3483503618325358E+002
2.9010099999881977E-002,-2.3091673266421819E+002,-5.3467682794107668E+002
2.9020099999881917E-002,-2.3736342758247631E+002,-5.3451431002517916E+002
2.9030099999881858E-002,-2.4382806292739281E+002,-5.3434747044569667E+002
2.9040099999881799E-002,-2.5031068141677366E+002,-5.3417629718541230E+002
2.9050099999881739E-002,-2.5681132406281193E+002,-5.3400077820089723E+002
2.9060099999881680E-002,-2.6333003016430126E+002,-5.3382090142366030E+002
2.9070099999881620E-002,-2.6986683729850841E+002,-5.3363665476129995E+002
2.9080099999881561E-002,-2.7642178131395531E+002,-5.3344802609866167E+002
2.9090099999881502E-002,-2.7990070592450803E+002,-5.3325840259214908E+002
2.9100099999881442E-002,-2.7926771129616174E+002,-5.3307263908375830E+002
2.9110099999881383E-002,-2.7857799781807711E+002,-5.3288737303461392E+002
2.9120099999881324E-002,-2.7783206026845005E+002,-5.3270264159948977E+002
2.9130099999881264E-002,-2.7703039686893561E+002,-5.3251848159872679E+002
2.9140099999881205E-002,-2.7617350925230096E+002,-5.3233492951597839E+002
2.9150099999881145E-002,-2.7526190242928209E+002,-5.3215202149598008E+002
2.9160099999881086E-002,-2.7429608475561184E+002,-5.3196979334234265E+002
2.9170099999881027E-002,-2.7327656789893354E+002,-5.3178828051536698E+002
2.9180099999880967E-002,-2.7220386680514690E+002,-5.3160751812987951E+002
