"time","Capacitor1_i","IdealDiode3_v"
0.0132,-71.834,-298.406
0.0132,-42.6277,-282.85
0.0133,-42.6277,-282.85
0.0133,-12.6147,-267.374
0.0134,-12.6147,-267.374
0.0134,17.5725,-251.992
0.0135,17.5725,-251.992
0.0135,47.3017,-236.721
0.0136,47.3017,-236.721
0.0136,75.9444,-221.572
0.0137,75.9444,-221.572
0.0137,102.88,-206.557
0.0138,102.88,-206.557
0.0138,127.5,-191.683
0.0139,127.5,-191.683
0.0139,149.21,-176.957
0.014,149.21,-176.957
0.014,167.437,-162.384
0.0141,167.437,-162.384
0.0141,181.629,-147.965
0.0142,181.629,-147.965
0.0142,191.262,-133.702
0.0143,191.262,-133.702
0.0143,195.841,-119.592
0.0144,195.841,-119.592
0.0144,194.902,-105.633
0.0145,194.902,-105.633
0.0145,188.021,-91.8198
0.0146,188.021,-91.8198
0.0146,174.807,-78.1467
0.0147,174.807,-78.1467
0.0147,154.915,-64.6058
0.0148,154.915,-64.6058
0.0148,128.04,-51.1882
0.0149,128.04,-51.1882
0.0149,93.9245,-37.884
0.015,93.9245,-37.884
0.015,52.3565,-24.6822
0.0151,52.3565,-24.6822
0.0151,3.17326,-11.5708
0.0152,3.17326,-11.5708
0.0152,-53.7381,1.46255
0.0153,-53.7381,1.46255
0.0153,-115.118,2.00665
0.0154,-115.118,2.00665
0.0154,-177.156,2.02762
0.0155,-177.156,2.02762
0.0155,-239.919,2.06283
0.0156,-239.919,2.06283
0.0156,-303.473,2.11214
0.0157,-303.473,2.11214
0.0157,-346.489,2.15416
0.0158,-346.489,2.15416
0.0158,-340.719,2.15994
0.0159,-340.719,2.15994
0.0159,-329.091,2.17158
0.016,-329.091,2.17158
0.016,-312.129,2.18856
0.0161,-312.129,2.18856
0.0161,-290.389,2.21031
0.0162,-290.389,2.21031
0.0162,-264.456,2.23626
0.0163,-264.456,2.23626
0.0163,-234.938,2.26579
0.0164,-234.938,2.26579
0.0164,-202.467,2.29827
0.0165,-202.467,2.29827
0.0165,-167.69,2.33306
0.0166,-167.69,2.33306
0.0166,-131.267,2.3695
0.0167,-131.267,2.3695
0.0167,-93.8672,2.40691
0.0168,-93.8672,2.40691
0.0168,-56.1644,2.44463
0.0169,-56.1644,2.44463
0.0169,-18.8327,2.48198
0.017,-18.8327,2.48198
0.017,17.4574,2.51828
0.0171,17.4574,2.51828
0.0171,52.0437,2.55288
0.0172,52.0437,2.55288
0.0172,84.2759,2.58513
0.0173,84.2759,2.58513
0.0173,113.52,2.61439
0.0174,113.52,2.61439
0.0174,139.162,2.64005
0.0175,139.162,2.64005
0.0175,160.611,2.66152
0.0176,160.611,2.66152
0.0176,177.305,2.67823
0.0177,177.305,2.67823
0.0177,188.713,2.68965
0.0178,188.713,2.68965
0.0178,194.338,2.69529
0.0179,194.338,2.69529
0.0179,193.72,2.69469
0.018,193.72,2.69469
0.018,186.44,2.68743
0.0181,186.44,2.68743
0.0181,172.122,2.67312
