"time","step-size","source.i.der_T","source.i.der_p"
0.5700000000000004,0.001,-2.4732955226980398,1646.5868127226427
0.5710000000000004,0.001,-2.4484545204786983,1651.9723345552625
0.5720000000000004,0.001,-2.4234686350158388,1657.267414029813
0.5730000000000004,0.001,-2.3983390324435794,1662.471111863543
0.5740000000000004,0.001,-2.373066878844494,1667.5824887767876
0.5750000000000004,0.001,-2.34765334024946,1672.6006054930053
0.5760000000000004,0.001,-2.322099582638196,1677.524522738687
0.5770000000000004,0.001,-2.296406771938726,1682.353301243449
0.5780000000000004,0.001,-2.27057607402737,1687.0860017398938
0.5790000000000004,0.001,-2.244608654729305,1691.7216849637955
0.5800000000000004,0.001,-2.2185056798178495,1696.2594116539562
0.5810000000000004,0.001,-2.192268315014966,1700.6982425523113
0.5820000000000004,0.001,-2.165897725991328,1705.0372384038164
0.5830000000000004,0.001,-2.1393950783657294,1709.2754599565133
0.5840000000000004,0.001,-2.112761537705648,1713.4119679615203
0.5850000000000004,0.001,-2.0859982695270753,1717.4458231730753
0.5860000000000004,0.001,-2.059106439294504,1721.37608634845
0.5870000000000004,0.001,-2.032087212420943,1725.201818247993
0.5880000000000004,0.001,-2.004941754267904,1728.9220796351326
0.5890000000000004,0.001,-1.9776712301454333,1732.5359312764117
0.5900000000000004,0.001,-1.95027680531207,1736.0424339414142
0.5910000000000004,0.001,-1.9227596449749078,1739.4406484027904
0.5920000000000004,0.001,-1.8951209142895364,1742.7296354363193
0.5930000000000004,0.001,-1.8673617783599221,1745.9084558208062
0.5940000000000004,0.001,-1.8394834022388884,1748.9761703381364
0.5950000000000004,0.001,-1.8114869509276303,1751.931839773311
0.5960000000000004,0.001,-1.7833735893757061,1754.7745249143227
0.5970000000000004,0.001,-1.7551444824815599,1757.5032865523215
0.5980000000000004,0.001,-1.7268007950918216,1760.1171854815384
0.5990000000000004,0.001,-1.6983436920020134,1762.61528249919
0.6000000000000004,0.001,-1.669774337955877,1764.9966384056515
0.6010000000000004,0.001,-1.6410938976458551,1767.2603140043361
0.6020000000000004,0.001,-1.612303535713116,1769.4053701017638
0.6030000000000004,0.001,-1.5834044167470513,1771.430867507457
0.6040000000000004,0.001,-1.554397705285783,1773.3358670340858
0.6050000000000004,0.001,-1.5252845658159906,1775.1194294973945
0.6060000000000004,0.001,-1.4960661627729053,1776.7806157161285
0.6070000000000004,0.001,-1.466743660540344,1778.3184865121757
0.6080000000000004,0.001,-1.437318223450674,1779.7321027104667
0.6090000000000004,0.001,-1.4077910157848483,1781.0205251390385
0.6100000000000004,0.001,-1.3781632017723893,1782.182814628925
0.6110000000000004,0.001,-1.3484359455913872,1783.2180320143143
0.6120000000000004,0.001,-1.3186104113685435,1784.1252381324553
0.6130000000000004,0.001,-1.2886877631789515,1784.9034938236096
0.6140000000000004,0.001,-1.258669165046625,1785.5518599311713
0.6150000000000004,0.001,-1.228555780943988,1786.069397301581
0.6160000000000004,0.001,-1.198348774792081,1786.4551667843414
0.6170000000000004,0.001,-1.1680493104603724,1786.7082292320729
0.6180000000000004,0.001,-1.1376585517672364,1786.8276455004225
0.6190000000000004,0.001,-1.1071776624793443,1786.812476448115
0.6200000000000004,0.001,-1.0766078063122602,1786.6617829369775
0.6210000000000004,0.001,-1.045950146929876,1786.3746258318401
0.6220000000000004,0.001,-1.0152058479449635,1785.950066000672
0.6230000000000004,0.001,-0.9843760729186284,1785.3871643145158
0.6240000000000004,0.001,-0.9534619853607422,1784.6849816474105
0.6250000000000004,0.001,-0.9224647487299047,1783.8425788765398
