"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0.078,1.155841864,3.155841864,0,0.132465585,0,0.5,-12,0.311683728,0.1,0.970396923
0.079,1.157835705,3.157835705,0,0.134160349,0,0.5,-12,0.31567141,0.1,0.982583085
0.08,1.159829388,3.159829388,0,0.13585498,0,0.5,-12,0.319658776,0.1,0.994759549
0.081,1.161822911,3.161822911,0,0.137549474,0,0.5,-12,0.323645822,0.1,1.006926195
0.082,1.163816272,3.163816272,0,0.139243832,0,0.5,-12,0.327632545,0.1,1.019082903
0.083,1.16580947,3.16580947,0,0.140938049,0,0.5,-12,0.33161894,0.1,1.031229553
0.084,1.167802502,3.167802502,0,0.142632126,0,0.5,-12,0.335605003,0.1,1.043366025
0.085,1.169795366,3.169795366,0,0.144326061,0,0.5,-12,0.339590731,0.1,1.0554922
0.086,1.17178806,3.17178806,0,0.146019851,0,0.5,-12,0.343576119,0.1,1.067607957
0.087,1.173780582,3.173780582,0,0.147713495,0,0.5,-12,0.347561164,0.1,1.079713178
0.088,1.175772931,3.175772931,0,0.149406991,0,0.5,-12,0.351545861,0.1,1.091807742
0.089,1.177765103,3.177765103,0,0.151100338,0,0.5,-12,0.355530207,0.1,1.103891531
0.09,1.179757098,3.179757098,0,0.152793534,0,0.5,-12,0.359514197,0.1,1.115964424
0.091,1.181748914,3.181748914,0,0.154486577,0,0.5,-12,0.363497827,0.1,1.128026304
0.092,1.183740547,3.183740547,0,0.156179465,0,0.5,-12,0.367481094,0.1,1.14007705
0.093,1.185731997,3.185731997,0,0.157872197,0,0.5,-12,0.371463994,0.1,1.152116544
0.094,1.187723261,3.187723261,0,0.159564772,0,0.5,-12,0.375446522,0.1,1.164144667
0.095,1.189714337,3.189714337,0,0.161257187,0,0.5,-12,0.379428675,0.1,1.176161301
0.096,1.191705224,3.191705224,0,0.16294944,0,0.5,-12,0.383410448,0.1,1.188166326
0.097,1.193695919,3.193695919,0,0.164641531,0,0.5,-12,0.387391838,0.1,1.200159625
0.098,1.19568642,3.19568642,0,0.166333457,0,0.5,-12,0.39137284,0.1,1.212141079
0.099,1.197676726,3.197676726,0,0.168025217,0,0.5,-12,0.395353451,0.1,1.224110569
0.1,1.199666833,3.199666833,0,0.169716808,0,0.5,-12,0.399333667,0.1,1.236067978
0.101,1.201656742,3.201656742,0,0.17140823,0,0.5,-12,0.403313483,0.1,1.248013187
0.102,1.203646448,3.203646448,0,0.173099481,0,0.5,-12,0.407292896,0.1,1.259946079
0.103,1.205635951,3.205635951,0,0.174790558,0,0.5,-12,0.411271902,0.1,1.271866535
0.104,1.207625248,3.207625248,0,0.176481461,0,0.5,-12,0.415250496,0.1,1.283774439
0.105,1.209614338,3.209614338,0,0.178172187,0,0.5,-12,0.419228675,0.1,1.295669673
0.106,1.211603218,3.211603218,0,0.179862735,0,0.5,-12,0.423206435,0.1,1.307552119
0.107,1.213591886,3.213591886,0,0.181553103,0,0.5,-12,0.427183772,0.1,1.319421659
0.108,1.215580341,3.215580341,0,0.18324329,0,0.5,-12,0.431160682,0.1,1.331278178
0.109,1.21756858,3.21756858,0,0.184933293,0,0.5,-12,0.43513716,0.1,1.343121558
0.11,1.219556602,3.219556602,0,0.186623111,0,0.5,-12,0.439113203,0.1,1.354951681
0.111,1.221544404,3.221544404,0,0.188312743,0,0.5,-12,0.443088808,0.1,1.366768432
0.112,1.223531984,3.223531984,0,0.190002187,0,0.5,-12,0.447063969,0.1,1.378571693
0.113,1.225519341,3.225519341,0,0.19169144,0,0.5,-12,0.451038683,0.1,1.390361348
0.114,1.227506473,3.227506473,0,0.193380502,0,0.5,-12,0.455012946,0.1,1.402137281
0.115,1.229493377,3.229493377,0,0.19506937,0,0.5,-12,0.458986754,0.1,1.413899375
0.116,1.231480051,3.231480051,0,0.196758044,0,0.5,-12,0.462960103,0.1,1.425647515
0.117,1.233466494,3.233466494,0,0.19844652,0,0.5,-12,0.466932989,0.1,1.437381584
0.118,1.235452704,3.235452704,0,0.200134798,0,0.5,-12,0.470905408,0.1,1.449101467
0.119,1.237438678,3.237438678,0,0.201822876,0,0.5,-12,0.474877356,0.1,1.460807048
0.12,1.239424415,3.239424415,0,0.203510752,0,0.5,-12,0.478848829,0.1,1.472498211
0.121,1.241409912,3.241409912,0,0.205198425,0,0.5,-12,0.482819824,0.1,1.484174841
0.122,1.243395168,3.243395168,0,0.206885892,0,0.5,-12,0.486790335,0.1,1.495836823
0.123,1.24538018,3.24538018,0,0.208573153,0,0.5,-12,0.49076036,0.1,1.507484042
0.124,1.247364947,3.247364947,0,0.210260205,0,0.5,-12,0.494729894,0.1,1.519116382
0.125,1.249349467,3.249349467,0,0.211947047,0,0.5,-12,0.498698934,0.1,1.53073373
0.126,1.251333737,3.251333737,0,0.213633677,0,0.5,12,0.5,0.1,1.542335969
0.127,1.253317756,3.253317756,0,0.215320093,0,0.5,12,0.5,0.1,1.553922987
0.128,1.255301522,3.255301522,0,0.217006294,0,0.5,12,0.5,0.1,1.565494667
0.129,1.257285032,3.257285032,0,0.218692277,0,0.5,12,0.5,0.1,1.577050897
0.13,1.259268285,3.259268285,0,0.220378042,0,0.5,12,0.5,0.1,1.588591563
0.131,1.261251279,3.261251279,0,0.222063587,0,0.5,12,0.5,0.1,1.600116549
0.132,1.263234012,3.263234012,0,0.22374891,0,0.5,12,0.5,0.1,1.611625743
0.133,1.265216481,3.265216481,0,0.225434009,0,0.5,12,0.5,0.1,1.623119031
0.134,1.267198685,3.267198685,0,0.227118882,0,0.5,12,0.5,0.1,1.634596299
0.135,1.269180622,3.269180622,0,0.228803529,0,0.5,12,0.5,0.1,1.646057434
0.136,1.27116229,3.27116229,0,0.230487946,0,0.5,12,0.5,0.1,1.657502324
0.137,1.273143686,3.273143686,0,0.232172133,0,0.5,12,0.5,0.1,1.668930855
0.138,1.27512481,3.27512481,0,0.233856088,0,0.5,12,0.5,0.1,1.680342914
0.139,1.277105658,3.277105658,0,0.235539809,0,0.5,12,0.5,0.1,1.691738388
0.14,1.279086229,3.279086229,0,0.237223295,0,0.5,12,0.5,0.1,1.703117166
0.141,1.281066521,3.281066521,0,0.238906543,0,0.5,12,0.5,0.1,1.714479135
0.142,1.283046533,3.283046533,0,0.240589553,0,0.5,12,0.5,0.1,1.725824183
0.143,1.285026261,3.285026261,0,0.242272321,0,0.5,12,0.5,0.1,1.737152197
0.144,1.287005703,3.287005703,0,0.243954848,0,0.5,12,0.5,0.1,1.748463067
0.145,1.288984859,3.288984859,0,0.245637131,0,0.5,12,0.5,0.1,1.759756679
0.146,1.290963726,3.290963726,0,0.247319167,0,0.5,12,0.5,0.1,1.771032924
0.147,1.292942302,3.292942302,0,0.249000957,0,0.5,12,0.5,0.1,1.78229169
0.148,1.294920586,3.294920586,0,0.250682498,0,0.5,12,0.5,0.1,1.793532864
0.149,1.296898574,3.296898574,0,0.252363788,0,0.5,12,0.5,0.1,1.804756338
0.15,1.298876265,3.298876265,0,0.254044825,0,0.5,12,0.5,0.1,1.815961999
0.151,1.300853657,3.300853657,0,0.255725609,0,0.5,12,0.5,0.1,1.827149737
0.152,1.302830749,3.302830749,0,0.257406137,0,0.5,12,0.5,0.1,1.838319443
0.153,1.304807538,3.304807538,0,0.259086407,0,0.5,12,0.5,0.1,1.849471004
0.154,1.306784022,3.306784022,0,0.260766418,0,0.5,12,0.5,0.1,1.860604312
0.155,1.308760199,3.308760199,0,0.262446169,0,0.5,12,0.5,0.1,1.871719257
0.156,1.310736067,3.310736067,0,0.264125657,0,0.5,12,0.5,0.1,1.882815729
0.157,1.312711625,3.312711625,0,0.265804881,0,0.5,12,0.5,0.1,1.893893618
0.158,1.31468687,3.31468687,0,0.267483839,0,0.5,12,0.5,0.1,1.904952815
0.159,1.3166618,3.3166618,0,0.26916253,0,0.5,12,0.5,0.1,1.915993211
0.16,1.318636413,3.318636413,0,0.270840951,0,0.5,12,0.5,0.1,1.927014696
0.161,1.320610708,3.320610708,0,0.272519102,0,0.5,12,0.5,0.1,1.938017163
0.162,1.322584683,3.322584683,0,0.27419698,0,0.5,12,0.5,0.1,1.949000503
0.163,1.324558334,3.324558334,0,0.275874584,0,0.5,12,0.5,0.1,1.959964607
0.164,1.326531661,3.326531661,0,0.277551912,0,0.5,12,0.5,0.1,1.970909366
0.165,1.328504662,3.328504662,0,0.279228963,0,0.5,12,0.5,0.1,1.981834674
0.166,1.330477334,3.330477334,0,0.280905734,0,0.5,12,0.5,0.1,1.992740421
0.167,1.332449676,3.332449676,0,0.282582224,0,0.5,12,0.5,0.1,2.003626501
0.168,1.334421685,3.334421685,0,0.284258432,0,0.5,12,0.5,0.1,2.014492807
0.169,1.33639336,3.33639336,0,0.285934356,0,0.5,12,0.5,0.1,2.025339229
0.17,1.338364698,3.338364698,0,0.287609993,0,0.5,12,0.5,0.1,2.036165663
0.171,1.340335698,3.340335698,0,0.289285343,0,0.5,12,0.5,0.1,2.046972001
0.172,1.342306358,3.342306358,0,0.290960404,0,0.5,12,0.5,0.1,2.057758135
0.173,1.344276675,3.344276675,0,0.292635174,0,0.5,12,0.5,0.1,2.068523961
0.174,1.346246648,3.346246648,0,0.294309651,0,0.5,12,0.5,0.1,2.079269371
0.175,1.348216275,3.348216275,0,0.295983834,0,0.5,12,0.5,0.1,2.089994259
0.176,1.350185554,3.350185554,0,0.297657721,0,0.5,12,0.5,0.1,2.10069852
0.177,1.352154482,3.352154482,0,0.29933131,0,0.5,12,0.5,0.1,2.111382048
0.178,1.354123059,3.354123059,0,0.3010046,0,0.5,12,0.5,0.1,2.122044737
0.179,1.356091281,3.356091281,0,0.302677589,0,0.5,12,0.5,0.1,2.132686483
0.18,1.358059147,3.358059147,0,0.304350275,0,0.5,12,0.5,0.1,2.14330718
0.181,1.360026655,3.360026655,0,0.306022657,0,0.5,12,0.5,0.1,2.153906723
0.182,1.361993803,3.361993803,0,0.307694732,0,0.5,12,0.5,0.1,2.164485009
0.183,1.363960589,3.363960589,0,0.309366501,0,0.5,12,0.5,0.1,2.175041931
0.184,1.365927011,3.365927011,0,0.311037959,0,0.5,12,0.5,0.1,2.185577387
0.185,1.367893067,3.367893067,0,0.312709107,0,0.5,12,0.5,0.1,2.196091272
0.186,1.369858755,3.369858755,0,0.314379942,0,0.5,12,0.5,0.1,2.206583483
0.187,1.371824074,3.371824074,0,0.316050463,0,0.5,12,0.5,0.1,2.217053915
0.188,1.37378902,3.37378902,0,0.317720667,0,0.5,12,0.5,0.1,2.227502466
0.189,1.375753593,3.375753593,0,0.319390554,0,1,12,0.5,0.1,2.237929032
0.19,1.37771779,3.37771779,0,0.321060121,0,1,12,0.5,0.1,2.248333511
0.191,1.379681609,3.379681609,0,0.322729368,0,1,12,0.5,0.1,2.2587158
0.192,1.381645049,3.381645049,0,0.324398292,0,1,12,0.5,0.1,2.269075797
0.193,1.383608107,3.383608107,0,0.326066891,0,1,12,0.5,0.1,2.279413398
0.194,1.385570781,3.385570781,0,0.327735164,0,1,12,0.5,0.1,2.289728502
0.195,1.38753307,3.38753307,0,0.329403109,0,1,12,0.5,0.1,2.300021008
0.196,1.389494971,3.389494971,0,0.331070725,0,1,12,0.5,0.1,2.310290814
0.197,1.391456483,3.391456483,0,0.33273801,0,1,12,0.5,0.1,2.320537818
0.198,1.393417603,3.393417603,0,0.334404963,0,1,12,0.5,0.1,2.330761919
0.199,1.39537833,3.39537833,0,0.336071581,0,1,12,0.5,0.1,2.340963016
0.2,1.397338662,3.397338662,0,0.337737862,0,1,12,0.5,0.1,2.351141009
0.201,1.399298596,3.399298596,0,0.339403806,0,1,12,0.5,0.1,2.361295797
0.202,1.401258131,3.401258131,0,0.341069411,0,1,12,0.5,0.1,2.371427281
0.203,1.403217264,3.403217264,0,0.342734675,0,1,12,0.5,0.1,2.381535359
0.204,1.405175995,3.405175995,0,0.344399595,0,1,12,0.5,0.1,2.391619932
0.205,1.40713432,3.40713432,0,0.346064172,0,1,12,0.5,0.1,2.401680901
0.206,1.409092238,3.409092238,0,0.347728402,0,1,12,0.5,0.1,2.411718167
0.207,1.411049747,3.411049747,0,0.349392285,0,1,12,0.5,0.1,2.42173163
0.208,1.413006845,3.413006845,0,0.351055818,0,1,12,0.5,0.1,2.431721191
0.209,1.41496353,3.41496353,0,0.352719,0,1,12,0.5,0.1,2.441686752
0.21,1.4169198,3.4169198,0,0.35438183,0,1,12,0.5,0.1,2.451628215
0.211,1.418875653,3.418875653,0,0.356044305,0,1,12,0.5,0.1,2.461545481
0.212,1.420831087,3.420831087,0,0.357706424,0,1,12,0.5,0.1,2.471438452
0.213,1.4227861,3.4227861,0,0.359368185,0,1,12,0.5,0.1,2.481307032
0.214,1.424740691,3.424740691,0,0.361029587,0,1,12,0.5,0.1,2.491151122
0.215,1.426694857,3.426694857,0,0.362690628,0,1,12,0.5,0.1,2.500970625
0.216,1.428648596,3.428648596,0,0.364351306,0,1,12,0.5,0.1,2.510765445
0.217,1.430601906,3.430601906,0,0.36601162,0,1,12,0.5,0.1,2.520535485
0.218,1.432554786,3.432554786,0,0.367671568,0,1,12,0.5,0.1,2.530280648
0.219,1.434507233,3.434507233,0,0.369331148,0,1,12,0.5,0.1,2.540000838
0.22,1.436459246,3.436459246,0,0.370990359,0,1,12,0.5,0.1,2.549695959
0.221,1.438410823,3.438410823,0,0.372649199,0,1,12,0.5,0.1,2.559365916
0.222,1.44036196,3.44036196,0,0.374307666,0,1,12,0.5,0.1,2.569010613
0.223,1.442312658,3.442312658,0,0.375965759,0,1,12,0.5,0.1,2.578629955
0.224,1.444262913,3.444262913,0,0.377623476,0,1,12,0.5,0.1,2.588223846
0.225,1.446212724,3.446212724,0,0.379280816,0,1,12,0.5,0.1,2.597792193
0.226,1.448162089,3.448162089,0,0.380937776,0,1,12,0.5,0.1,2.607334901
0.227,1.450111006,3.450111006,0,0.382594355,0,1,12,0.5,0.1,2.616851876
0.228,1.452059472,3.452059472,0,0.384250551,0,1,12,0.5,0.1,2.626343023
0.229,1.454007487,3.454007487,0,0.385906364,0,1,12,0.5,0.1,2.635808249
0.23,1.455955047,3.455955047,0,0.38756179,0,1,12,0.5,0.1,2.645247461
0.231,1.457902152,3.457902152,0,0.389216829,0,1,12,0.5,0.1,2.654660566
0.232,1.459848798,3.459848798,0,0.390871478,0,1,12,0.5,0.1,2.66404747
0.233,1.461794985,3.461794985,0,0.392525737,0,1,12,0.5,0.1,2.673408081
0.234,1.46374071,3.46374071,0,0.394179603,0,1,12,0.5,0.1,2.682742306
0.235,1.465685971,3.465685971,0,0.395833075,0,1,12,0.5,0.1,2.692050054
0.236,1.467630767,3.467630767,0,0.397486152,0,1,12,0.5,0.1,2.701331233
0.237,1.469575094,3.469575094,0,0.39913883,0,1,12,0.5,0.1,2.71058575
0.238,1.471518953,3.471518953,0,0.40079111,0,1,12,0.5,0.1,2.719813515
0.239,1.47346234,3.47346234,0,0.402442989,0,1,12,0.5,0.1,2.729014436
0.24,1.475405253,3.475405253,0,0.404094465,0,1,12,0.5,0.1,2.738188424
0.241,1.477347691,3.477347691,0,0.405745537,0,1,12,0.5,0.1,2.747335386
0.242,1.479289651,3.479289651,0,0.407396204,0,1,12,0.5,0.1,2.756455234
0.243,1.481231133,3.481231133,0,0.409046463,0,1,12,0.5,0.1,2.765547876
0.244,1.483172133,3.483172133,0,0.410696313,0,1,12,0.5,0.1,2.774613223
0.245,1.48511265,3.48511265,0,0.412345752,0,1,12,0.5,0.1,2.783651186
0.246,1.487052681,3.487052681,0,0.413994779,0,1,12,0.5,0.1,2.792661676
0.247,1.488992226,3.488992226,0,0.415643392,0,1,12,0.5,0.1,2.801644603
0.248,1.490931282,3.490931282,0,0.41729159,0,1,12,0.5,0.1,2.810599879
0.249,1.492869847,3.492869847,0,0.41893937,0,1,12,0.5,0.1,2.819527416
0.25,1.494807919,3.494807919,0,0.420586731,0,1,12,0.5,0.1,2.828427125
0.251,1.496745496,3.496745496,0,0.422233671,0,1,12,0.5,0.1,2.837298918
0.252,1.498682576,3.498682576,0,0.42388019,0,1,12,0.5,0.1,2.846142709
0.253,1.500619158,3.500619158,0.000619158,0.425526284,0,1,12,0.5,0.1,2.854958409
0.254,1.502555239,3.502555239,0.002555239,0.427171953,0,1,12,0.5,0.1,2.863745932
0.255,1.504490817,3.504490817,0.004490817,0.428817195,0,1,12,0.5,0.1,2.872505191
0.256,1.506425891,3.506425891,0.006425891,0.430462008,0,1,12,0.5,0.1,2.8812361
0.257,1.508360459,3.508360459,0.008360459,0.43210639,0,1,12,0.5,0.1,2.889938571
0.258,1.510294518,3.510294518,0.010294518,0.43375034,0,1,12,0.5,0.1,2.898612521
0.259,1.512228067,3.512228067,0.012228067,0.435393857,0,1,12,0.5,0.1,2.907257862
0.26,1.514161104,3.514161104,0.014161104,0.437036938,0,1,12,0.5,0.1,2.91587451
0.261,1.516093626,3.516093626,0.016093626,0.438679582,0,1,12,0.5,0.1,2.924462379
0.262,1.518025633,3.518025633,0.018025633,0.440321788,0,1,12,0.5,0.1,2.933021385
0.263,1.519957121,3.519957121,0.019957121,0.441963553,0,1,12,0.5,0.1,2.941551443
0.264,1.52188809,3.52188809,0.02188809,0.443604876,0,1,12,0.5,0.1,2.950052469
0.265,1.523818536,3.523818536,0.023818536,0.445245756,0,1,12,0.5,0.1,2.95852438
0.266,1.525748459,3.525748459,0.025748459,0.44688619,0,1,12,0.5,0.1,2.966967091
0.267,1.527677856,3.527677856,0.027677856,0.448526178,0,1,12,0.5,0.1,2.975380519
0.268,1.529606725,3.529606725,0.029606725,0.450165717,0,1,12,0.5,0.1,2.983764582
0.269,1.531535065,3.531535065,0.031535065,0.451804805,0,1,12,0.5,0.1,2.992119196
0.27,1.533462873,3.533462873,0.033462873,0.453443442,0,1,12,0.5,0.1,0
0.271,1.535390148,3.535390148,0.035390148,0.455081626,0,1,12,0.5,0.1,0
0.272,1.537316888,3.537316888,0.037316887,0.456719354,0,1,12,0.5,0.1,0
0.273,1.53924309,3.53924309,0.03924309,0.458356626,0,1,12,0.5,0.1,0
0.274,1.541168752,3.541168752,0.041168752,0.459993439,0,1,12,0.5,0.1,0
0.275,1.543093874,3.543093874,0.043093874,0.461629793,0,1,12,0.5,0.1,0
0.276,1.545018452,3.545018452,0.045018452,0.463265685,0,1,12,0.5,0.1,0
0.277,1.546942486,3.546942486,0.046942486,0.464901113,0,1,12,0.5,0.1,0
0.278,1.548865973,3.548865973,0.048865973,0.466536077,0,1,12,0.5,0.1,0
0.279,1.55078891,3.55078891,0.05078891,0.468170574,0,1,12,0.5,0.1,0
0.28,1.552711297,3.552711297,0.052711297,0.469804603,0,1,12,0.5,0.1,0
0.281,1.554633131,3.554633131,0.054633131,0.471438162,0,1,12,0.5,0.1,0
0.282,1.556554411,3.556554411,0.056554411,0.473071249,0,1,12,0.5,0.1,0
0.283,1.558475134,3.558475134,0.058475134,0.474703864,0,1,12,0.5,0.1,0
0.284,1.560395298,3.560395298,0.060395298,0.476336004,0,1,12,0.5,0.1,0
0.285,1.562314903,3.562314903,0.062314903,0.477967667,0,1,12,0.5,0.1,0
0.286,1.564233944,3.564233944,0.064233944,0.479598853,0,1,12,0.5,0.1,0
0.287,1.566152422,3.566152422,0.066152422,0.481229559,0,1,12,0.5,0.1,0
0.288,1.568070334,3.568070334,0.068070333,0.482859783,0,1,12,0.5,0.1,0
