"Time","J1_w - Absolute angular velocity of flange as output signal","J2_w - Absolute angular velocity of flange as output signal","J3_w - Absolute angular velocity of flange as output signal","J4_w - Absolute angular velocity of flange as output signal"
0.258,7.86315,2.53523,4.4853e-14,4.48531e-14
0.261,7.86324,2.56365,4.4853e-14,4.48531e-14
0.264,7.86238,2.59204,4.44089e-14,4.4409e-14
0.267,7.86044,2.62039,4.4853e-14,4.48531e-14
0.27,7.8571,2.6487,4.4853e-14,4.48531e-14
0.273,7.85212,2.67698,4.21885e-14,4.21886e-14
0.276,7.84532,2.70522,4.26326e-14,4.26326e-14
0.279,7.83648,2.73342,4.13003e-14,4.13004e-14
0.282,7.82546,2.76158,4.26326e-14,4.26326e-14
0.285,7.81208,2.7897,4.26326e-14,4.26326e-14
0.288,7.79622,2.81778,4.17444e-14,4.17444e-14
0.291,7.77776,2.84583,4.13003e-14,4.13003e-14
0.294,7.75663,2.87383,3.95239e-14,3.95239e-14
0.297,7.73277,2.90179,3.90799e-14,3.90798e-14
0.3,7.70614,2.92971,4.04121e-14,4.04121e-14
0.303,7.67672,2.95759,4.08562e-14,4.08561e-14
0.306,7.64453,2.98543,4.13003e-14,4.13002e-14
0.309,7.60961,3.01323,4.13003e-14,4.13002e-14
0.312,7.57203,3.04098,4.08562e-14,4.08561e-14
0.315,7.53187,3.06869,4.04121e-14,4.04119e-14
0.318,7.48924,3.09635,3.86358e-14,3.86356e-14
0.321,7.44427,3.12397,3.77476e-14,3.77474e-14
0.324,7.39713,3.15155,3.59712e-14,3.59711e-14
0.327,7.34797,3.17908,3.64153e-14,3.64151e-14
0.33,7.297,3.20657,3.55271e-14,3.5527e-14
0.333,7.24441,3.23401,3.4639e-14,3.46388e-14
0.336,7.19044,3.26141,3.64153e-14,3.64151e-14
0.339,7.13533,3.28876,3.64153e-14,3.64151e-14
0.342,7.07927,3.31606,3.68594e-14,3.68592e-14
0.345,7.02258,3.34331,3.77476e-14,3.77474e-14
0.348,6.96554,3.37051,3.64153e-14,3.64151e-14
0.351,6.90841,3.39767,3.55271e-14,3.55269e-14
0.354,6.85145,3.42478,3.5083e-14,3.50828e-14
0.357,6.79492,3.45184,3.41949e-14,3.41947e-14
0.36,6.73909,3.47885,3.41949e-14,3.41947e-14
0.363,6.68413,3.50581,3.41949e-14,3.41947e-14
0.366,6.63035,3.53273,3.55271e-14,3.5527e-14
0.369,6.57798,3.55959,3.59712e-14,3.59711e-14
0.372,6.52726,3.58641,3.64153e-14,3.64152e-14
0.375,6.47838,3.61317,3.5083e-14,3.5083e-14
0.378,6.43156,3.63989,3.73035e-14,3.73034e-14
0.381,6.38697,3.66655,3.77476e-14,3.77475e-14
0.384,6.34477,3.69316,3.73035e-14,3.73035e-14
0.387,6.3051,3.71972,3.77476e-14,3.77476e-14
0.39,6.26808,3.74622,3.68594e-14,3.68594e-14
0.393,6.23379,3.77267,3.77476e-14,3.77476e-14
0.396,6.20232,3.79907,3.68594e-14,3.68595e-14
0.399,6.1737,3.82542,3.68594e-14,3.68595e-14
0.402,6.14796,3.83171,0.02,3.70259e-14
0.405,6.12509,3.82794,0.05,3.78239e-14
0.408,6.10507,3.82412,0.08,3.83582e-14
0.411,6.08784,3.82025,0.11,3.67067e-14
0.414,6.07332,3.81632,0.14,3.67206e-14
0.417,6.06141,3.81233,0.17,3.68594e-14
0.42,6.05199,3.80828,0.2,3.65263e-14
0.423,6.0449,3.80418,0.23,3.60545e-14
0.426,6.03999,3.80003,0.26,3.59157e-14
0.429,6.03706,3.79581,0.29,3.64153e-14
0.432,6.03592,3.79154,0.32,3.59157e-14
0.435,6.03636,3.78721,0.35,3.54716e-14
0.438,6.03812,3.78281,0.38,3.53051e-14
0.441,6.04098,3.77836,0.41,3.44169e-14
0.444,6.04472,3.77385,0.44,3.23075e-14
0.447,6.04902,3.76928,0.47,3.17524e-14
0.45,6.05361,3.76464,0.5,3.20854e-14
0.453,6.05824,3.75995,0.53,3.17524e-14
0.456,6.06262,3.75519,0.56,3.24185e-14
0.459,6.06651,3.75037,0.59,3.27516e-14
0.462,6.06965,3.74549,0.62,3.35287e-14
0.465,6.07186,3.74056,0.65,3.29736e-14
0.468,6.07284,3.73556,0.68,3.31957e-14
0.471,6.07237,3.7305,0.71,3.34177e-14
0.474,6.07023,3.72537,0.74,3.4861e-14
0.477,6.06621,3.72019,0.77,3.45279e-14
0.48,6.06014,3.71494,0.8,3.38618e-14
0.483,6.05184,3.70962,0.83,3.51941e-14
0.486,6.04118,3.70424,0.86,3.55271e-14
0.489,6.02802,3.6988,0.89,3.4639e-14
0.492,6.01226,3.69329,0.92,3.51941e-14
0.495,5.99383,3.68772,0.95,3.54161e-14
0.498,5.97268,3.68208,0.98,3.55271e-14
0.501,5.94877,3.67637,1.01,3.61933e-14
0.504,5.92211,3.6706,1.04,3.68594e-14
0.507,5.89271,3.66476,1.07,3.88578e-14
0.51,5.86063,3.65885,1.1,3.93019e-14
0.513,5.82592,3.65288,1.13,3.9746e-14
0.516,5.7887,3.64683,1.16,4.08562e-14
0.519,5.74907,3.64072,1.19,4.10783e-14
0.522,5.70717,3.63454,1.22,4.01901e-14
0.525,5.66318,3.62829,1.25,3.93019e-14
0.528,5.61725,3.62198,1.28,3.9746e-14
0.531,5.5696,3.61559,1.31,3.93019e-14
0.534,5.52044,3.60913,1.34,3.90799e-14
0.537,5.46999,3.6026,1.37,4.01901e-14
0.54,5.41849,3.59601,1.4,3.9968e-14
0.543,5.36617,3.58933,1.43,3.95239e-14
0.546,5.31334,3.58259,1.46,3.93019e-14
0.549,5.26024,3.57577,1.49,3.86358e-14
0.552,5.20716,3.56888,1.52,3.93019e-14
0.555,5.15436,3.56192,1.55,3.90799e-14
0.558,5.10209,3.55488,1.58,3.9968e-14
0.561,5.05057,3.54778,1.61,3.93019e-14
0.564,5.00008,3.5406,1.64,3.90799e-14
0.567,4.95087,3.53336,1.67,4.08562e-14
0.57,4.90317,3.52603,1.7,3.9968e-14
0.573,4.85721,3.51864,1.73,4.04121e-14
0.576,4.8132,3.51117,1.76,3.9746e-14
0.579,4.77131,3.50362,1.79,3.90799e-14
0.582,4.73174,3.496,1.82,4.15223e-14
0.585,4.69463,3.48831,1.85,3.9746e-14
0.588,4.66011,3.48054,1.88,4.17444e-14
0.591,4.6283,3.47269,1.91,4.06342e-14
0.594,4.59928,3.46477,1.94,4.08562e-14
0.597,4.5731,3.45677,1.97,3.95239e-14
0.6,4.54982,3.44869,2,4.08562e-14
0.603,4.52944,3.44053,2.03,4.21885e-14
0.606,4.51195,3.4323,2.06,4.21885e-14
0.609,4.49731,3.42399,2.09,4.35207e-14
0.612,4.48546,3.4156,2.12,4.26326e-14
0.615,4.47632,3.40713,2.15,4.44089e-14
0.618,4.46977,3.39859,2.18,4.26326e-14
0.621,4.46568,3.38996,2.21,4.35207e-14
0.624,4.46391,3.38126,2.24,4.39648e-14
0.627,4.46427,3.37247,2.27,4.4853e-14
0.63,4.46657,3.36361,2.3,4.39648e-14
0.633,4.47062,3.35466,2.33,4.35207e-14
0.636,4.47618,3.34564,2.36,4.30767e-14
0.639,4.48303,3.33653,2.39,4.44089e-14
0.642,4.49091,3.32734,2.42,4.44089e-14
0.645,4.49959,3.31806,2.45,4.44089e-14
0.648,4.50877,3.3087,2.48,4.44089e-14
0.651,4.51819,3.29926,2.51,4.4853e-14
0.654,4.52758,3.28974,2.54,4.44089e-14
0.657,4.53667,3.28013,2.57,4.61853e-14
0.66,4.5452,3.27044,2.6,4.52971e-14
0.663,4.55297,3.26067,2.63,4.52971e-14
0.666,4.55971,3.25082,2.66,4.39648e-14
0.669,4.56516,3.24089,2.69,4.4853e-14
0.672,4.56911,3.23087,2.72,4.61853e-14
0.675,4.57134,3.22077,2.75,4.75175e-14
0.678,4.57166,3.21058,2.78,4.84057e-14
0.681,4.56988,3.20031,2.81,4.88498e-14
0.684,4.56585,3.18995,2.84,4.61853e-14
0.687,4.55942,3.17951,2.87,4.66294e-14
0.69,4.55049,3.16898,2.9,4.70735e-14
0.693,4.53895,3.15836,2.93,4.79616e-14
0.696,4.52475,3.14766,2.96,4.79616e-14
0.699,4.50783,3.13687,2.99,4.70735e-14
0.702,4.48817,3.126,3.02,4.75175e-14
0.705,4.46578,3.11504,3.05,4.66294e-14
0.708,4.44069,3.10399,3.08,4.79616e-14
0.711,4.4129,3.10142,3.10142,4.75175e-14
0.714,4.38259,3.11081,3.11081,4.79616e-14
0.717,4.34982,3.12015,3.12015,4.84057e-14
0.72,4.31471,3.12945,3.12945,4.70735e-14
0.723,4.2774,3.13871,3.13871,4.70735e-14
0.726,4.23806,3.14791,3.14791,4.66294e-14
0.729,4.19689,3.15708,3.15708,4.66294e-14
0.732,4.15407,3.1662,3.1662,4.70735e-14
0.735,4.10984,3.17527,3.17527,4.75175e-14
0.738,4.06441,3.1843,3.1843,4.92939e-14
0.741,4.01804,3.19329,3.19329,4.88498e-14
0.744,3.97096,3.20222,3.20222,4.92939e-14
0.747,3.92346,3.21111,3.21111,4.88498e-14
0.75,3.87581,3.21996,3.21996,4.79616e-14
0.753,3.82827,3.22876,3.22876,4.75175e-14
0.756,3.78112,3.23751,3.23751,4.75175e-14
0.759,3.73456,3.24622,3.24622,4.70735e-14
0.762,3.68889,3.25489,3.25489,4.61853e-14
0.765,3.64435,3.26351,3.26351,4.4853e-14
0.768,3.60118,3.27208,3.27208,4.52971e-14
0.771,3.55962,3.2806,3.2806,4.52971e-14
0.774,3.51989,3.28908,3.28908,4.52971e-14
0.777,3.48218,3.29752,3.29752,4.61853e-14
0.78,3.44669,3.3059,3.3059,4.39648e-14
0.783,3.41358,3.31424,3.31424,4.4853e-14
0.786,3.38299,3.32253,3.32253,4.4853e-14
0.789,3.35505,3.33078,3.33078,4.52971e-14
0.792,3.33597,3.33597,3.33597,4.57412e-14
0.795,3.33401,3.33401,3.33401,4.57412e-14
0.798,3.33299,3.33299,3.33299,4.57412e-14
0.801,3.33291,3.33291,3.33291,4.57412e-14
0.804,3.33376,3.33376,3.33376,4.57412e-14
0.807,3.33555,3.33555,3.33555,4.57412e-14
0.81,3.33826,3.33826,3.33826,4.57412e-14
0.813,3.34186,3.34186,3.34186,4.57412e-14
0.816,3.34632,3.34632,3.34632,4.57412e-14
0.819,3.35161,3.35161,3.35161,4.57412e-14
0.822,3.35767,3.35767,3.35767,4.57412e-14
0.825,3.36445,3.36445,3.36445,4.57412e-14
0.828,3.37189,3.37189,3.37189,4.57412e-14
0.831,3.37994,3.37994,3.37994,4.57412e-14
0.834,3.3904,3.38751,3.38751,4.52971e-14
0.837,3.4024,3.39498,3.39498,4.39648e-14
0.84,3.41561,3.40241,3.40241,4.44089e-14
0.843,3.4298,3.40978,3.40978,4.44089e-14
0.846,3.44471,3.41711,3.41711,4.4853e-14
0.849,3.46007,3.42438,3.42438,4.44089e-14
0.852,3.47559,3.43161,3.43161,4.4853e-14
0.855,3.49101,3.43878,3.43878,4.4853e-14
0.858,3.50607,3.4459,3.4459,4.61853e-14
0.861,3.52052,3.45298,3.45298,4.66294e-14
0.864,3.53414,3.46001,3.46001,4.79616e-14
0.867,3.54666,3.46698,3.46698,4.66294e-14
0.87,3.55784,3.47391,3.47391,4.61853e-14
0.873,3.56746,3.48079,3.48079,4.61853e-14
0.876,3.57531,3.48762,3.48762,4.70735e-14
0.879,3.5812,3.4944,3.4944,4.66294e-14
0.882,3.58496,3.50113,3.50113,4.57412e-14
0.885,3.58643,3.5078,3.5078,4.61853e-14
0.888,3.58549,3.51443,3.51443,4.4853e-14
0.891,3.58202,3.521,3.521,4.4853e-14
0.894,3.57594,3.52753,3.52753,4.4853e-14
0.897,3.56719,3.534,3.534,4.57412e-14
0.9,3.55573,3.54042,3.54042,4.57412e-14
0.903,3.54154,3.5318,3.5318,0.03
0.906,3.52465,3.52312,3.52312,0.06
0.909,3.51122,3.51122,3.51122,0.09
0.912,3.49791,3.49791,3.49791,0.12
0.915,3.48374,3.48374,3.48374,0.15
0.918,3.46872,3.46872,3.46872,0.18
0.921,3.45292,3.45292,3.45292,0.21
0.924,3.43637,3.43637,3.43637,0.24
0.927,3.41914,3.41914,3.41914,0.27
0.93,3.40129,3.40129,3.40129,0.3
0.933,3.38289,3.38289,3.38289,0.33
0.936,3.36402,3.36402,3.36402,0.36
0.939,3.34472,3.34472,3.34472,0.39
0.942,3.32512,3.32512,3.32512,0.42
0.945,3.3053,3.3053,3.3053,0.45
0.948,3.28535,3.28535,3.28535,0.48
0.951,3.26536,3.26536,3.26536,0.51
0.954,3.24542,3.24542,3.24542,0.54
0.957,3.22562,3.22562,3.22562,0.57
0.96,3.20604,3.20604,3.20604,0.6
0.963,3.18676,3.18676,3.18676,0.63
0.966,3.16782,3.16782,3.16782,0.66
0.969,3.14934,3.14934,3.14934,0.69
0.972,3.1314,3.1314,3.1314,0.72
0.975,3.11405,3.11405,3.11405,0.75
0.978,3.09737,3.09737,3.09737,0.78
0.981,3.08142,3.08142,3.08142,0.81
0.984,3.06625,3.06625,3.06625,0.84
0.987,3.05191,3.05191,3.05191,0.87
0.99,3.03843,3.03843,3.03843,0.9
0.993,3.02585,3.02585,3.02585,0.93
0.996,3.01419,3.01419,3.01419,0.96
0.999,3.00347,3.00347,3.00347,0.99
1.002,2.99452,2.99326,2.99326,1.02
1.005,2.98867,2.98284,2.98284,1.05
1.008,2.98571,2.97237,2.97237,1.08
1.011,2.9856,2.96184,2.96184,1.11
1.014,2.98826,2.95126,2.95126,1.14
1.017,2.99359,2.94063,2.94063,1.17
1.02,3.00145,2.92995,2.92995,1.2
1.023,3.0117,2.9192,2.9192,1.23
1.026,3.02419,2.90841,2.90841,1.26
1.029,3.03871,2.89756,2.89756,1.29
1.032,3.05508,2.88666,2.88666,1.32
1.035,3.07306,2.8757,2.8757,1.35
1.038,3.09244,2.86468,2.86468,1.38
1.041,3.11296,2.85362,2.85362,1.41
1.044,3.13438,2.84249,2.84249,1.44
1.047,3.15645,2.83131,2.83131,1.47
1.05,3.17887,2.82008,2.82008,1.5
1.053,3.20139,2.80879,2.80879,1.53
1.056,3.22373,2.79744,2.79744,1.56
1.059,3.24563,2.78604,2.78604,1.59
1.062,3.26683,2.77459,2.77459,1.62
1.065,3.28714,2.76308,2.76308,1.65
1.068,3.30628,2.75152,2.75152,1.68
1.071,3.32401,2.7399,2.7399,1.71
1.074,3.34012,2.72823,2.72823,1.74
1.077,3.3544,2.71651,2.71651,1.77
1.08,3.36667,2.70473,2.70473,1.8
1.083,3.37677,2.69289,2.69289,1.83
1.086,3.38454,2.681,2.681,1.86
1.089,3.38986,2.66905,2.66905,1.89
1.092,3.39264,2.65705,2.65705,1.92
1.095,3.39279,2.64499,2.64499,1.95
1.098,3.39026,2.63287,2.63287,1.98
1.101,3.38502,2.6207,2.6207,2.01
1.104,3.37707,2.60848,2.60848,2.04
1.107,3.36643,2.5962,2.5962,2.07
1.11,3.35314,2.58386,2.58386,2.1
1.113,3.33728,2.57147,2.57147,2.13
1.116,3.31893,2.55902,2.55902,2.16
1.119,3.29823,2.54652,2.54652,2.19
1.122,3.2753,2.53396,2.53396,2.22
1.125,3.25031,2.52135,2.52135,2.25
1.128,3.22343,2.50868,2.50868,2.28
1.131,3.19487,2.49595,2.49595,2.31
1.134,3.16483,2.48317,2.48317,2.34
1.137,3.13355,2.47033,2.47033,2.37
1.14,3.10126,2.45743,2.45743,2.4
1.143,3.06819,2.44448,2.44448,2.43
1.146,3.03462,2.44098,2.44098,2.44098
1.149,3.00084,2.44227,2.44227,2.44227
1.152,2.96714,2.44351,2.44351,2.44351
1.155,2.93372,2.44473,2.44473,2.44473
1.158,2.90088,2.4459,2.4459,2.4459
1.161,2.86881,2.44705,2.44705,2.44705
1.164,2.83782,2.44815,2.44815,2.44815
1.167,2.80814,2.44922,2.44922,2.44922
1.17,2.78002,2.45025,2.45025,2.45025
1.173,2.75367,2.45124,2.45124,2.45124
1.176,2.7293,2.45219,2.45219,2.45219
1.179,2.7071,2.45311,2.45311,2.45311
1.182,2.68725,2.45399,2.45399,2.45399
1.185,2.6699,2.45483,2.45483,2.45483
1.188,2.65517,2.45564,2.45564,2.45564
1.191,2.64319,2.45641,2.45641,2.45641
1.194,2.63403,2.45713,2.45713,2.45713
1.197,2.62776,2.45783,2.45783,2.45783
1.2,2.62441,2.45848,2.45848,2.45848
1.203,2.62401,2.4591,2.4591,2.4591
1.206,2.62652,2.45968,2.45968,2.45968
1.209,2.63193,2.46022,2.46022,2.46022
1.212,2.64016,2.46072,2.46072,2.46072
1.215,2.65113,2.46119,2.46119,2.46119
1.218,2.66473,2.46162,2.46162,2.46162
1.221,2.68083,2.46201,2.46201,2.46201
1.224,2.69928,2.46236,2.46236,2.46236
1.227,2.71989,2.46267,2.46267,2.46267
1.23,2.74249,2.46295,2.46295,2.46295
1.233,2.76686,2.46319,2.46319,2.46319
1.236,2.79277,2.46339,2.46339,2.46339
1.239,2.82,2.46356,2.46356,2.46356
1.242,2.8483,2.46368,2.46368,2.46368
1.245,2.87742,2.46377,2.46377,2.46377
1.248,2.90709,2.46382,2.46382,2.46382
1.251,2.93704,2.46383,2.46383,2.46383
1.254,2.9669,2.46383,2.46383,2.46383
1.257,2.9964,2.46383,2.46383,2.46383
1.26,3.02525,2.46383,2.46383,2.46383
1.263,3.05328,2.46383,2.46383,2.46383
1.266,3.08017,2.46383,2.46383,2.46383
1.269,3.10571,2.46383,2.46383,2.46383
1.272,3.12966,2.46383,2.46383,2.46383
1.275,3.1518,2.46383,2.46383,2.46383
1.278,3.17194,2.46383,2.46383,2.46383
1.281,3.18991,2.46383,2.46383,2.46383
1.284,3.20553,2.46383,2.46383,2.46383
1.287,3.21868,2.46383,2.46383,2.46383
1.29,3.22924,2.46383,2.46383,2.46383
1.293,3.2371,2.46383,2.46383,2.46383
1.296,3.24221,2.46383,2.46383,2.46383
1.299,3.24452,2.46383,2.46383,2.46383
1.302,3.24401,2.46383,2.46383,2.46383
1.305,3.24067,2.46383,2.46383,2.46383
1.308,3.23455,2.46383,2.46383,2.46383
1.311,3.22568,2.46383,2.46383,2.46383
1.314,3.21416,2.46383,2.46383,2.46383
1.317,3.20009,2.46383,2.46383,2.46383
1.32,3.18358,2.46383,2.46383,2.46383
1.323,3.16479,2.46383,2.46383,2.46383
1.326,3.14389,2.46383,2.46383,2.46383
1.329,3.12105,2.46383,2.46383,2.46383
1.332,3.09649,2.46383,2.46383,2.46383
1.335,3.07041,2.46383,2.46383,2.46383
1.338,3.04305,2.46383,2.46383,2.46383
1.341,3.01466,2.46383,2.46383,2.46383
1.344,2.98546,2.46383,2.46383,2.46383
1.347,2.95574,2.46383,2.46383,2.46383
1.35,2.92578,2.46383,2.46383,2.46383
1.353,2.89586,2.46383,2.46383,2.46383
1.356,2.86621,2.46383,2.46383,2.46383
1.359,2.83711,2.46383,2.46383,2.46383
1.362,2.80877,2.46383,2.46383,2.46383
1.365,2.78147,2.46383,2.46383,2.46383
1.368,2.75544,2.46383,2.46383,2.46383
1.371,2.73094,2.46383,2.46383,2.46383
1.374,2.70816,2.46383,2.46383,2.46383
1.377,2.68733,2.46383,2.46383,2.46383
1.38,2.66861,2.46383,2.46383,2.46383
1.383,2.65217,2.46383,2.46383,2.46383
1.386,2.63817,2.46383,2.46383,2.46383
1.389,2.62673,2.46383,2.46383,2.46383
1.392,2.61794,2.46383,2.46383,2.46383
1.395,2.6119,2.46383,2.46383,2.46383
1.398,2.60864,2.46383,2.46383,2.46383
1.401,2.60819,2.46383,2.46383,2.46383
1.404,2.61058,2.46383,2.46383,2.46383
1.407,2.61576,2.46383,2.46383,2.46383
1.41,2.62371,2.46383,2.46383,2.46383
1.413,2.63434,2.46383,2.46383,2.46383
1.416,2.64756,2.46383,2.46383,2.46383
1.419,2.66326,2.46383,2.46383,2.46383
1.422,2.68129,2.46383,2.46383,2.46383
1.425,2.7015,2.46383,2.46383,2.46383
1.428,2.72371,2.46383,2.46383,2.46383
1.431,2.74772,2.46383,2.46383,2.46383
1.434,2.77331,2.46383,2.46383,2.46383
1.437,2.80026,2.46383,2.46383,2.46383
1.44,2.82833,2.46383,2.46383,2.46383
1.443,2.85728,2.46383,2.46383,2.46383
1.446,2.88685,2.46383,2.46383,2.46383
1.449,2.91675,2.46383,2.46383,2.46383
1.452,2.94673,2.46383,2.46383,2.46383
1.455,2.9765,2.46383,2.46383,2.46383
1.458,3.00581,2.46383,2.46383,2.46383
1.461,3.03444,2.46383,2.46383,2.46383
1.464,3.06212,2.46383,2.46383,2.46383
1.467,3.08859,2.46383,2.46383,2.46383
1.47,3.11362,2.46383,2.46383,2.46383
1.473,3.13699,2.46383,2.46383,2.46383
1.476,3.15848,2.46383,2.46383,2.46383
1.479,3.17792,2.46383,2.46383,2.46383
1.482,3.19512,2.46383,2.46383,2.46383
1.485,3.20994,2.46383,2.46383,2.46383
1.488,3.22223,2.46383,2.46383,2.46383
1.491,3.2319,2.46383,2.46383,2.46383
1.494,3.23886,2.46383,2.46383,2.46383
1.497,3.24304,2.46383,2.46383,2.46383
1.5,3.2444,2.46383,2.46383,2.46383
