"time","Piston.frame_a.r_0[1]"
0.217,0.15
0.2175,0.15
0.218,0.15
0.2185,0.15
0.219,0.15
0.2195,0.15
0.22,0.15
0.2205,0.15
0.221,0.15
0.2215,0.15
0.222,0.15
0.2225,0.15
0.223,0.15
0.2235,0.15
0.224,0.15
0.2245,0.15
0.225,0.15
0.2255,0.15
0.226,0.15
0.2265,0.15
0.227,0.15
0.2275,0.15
0.228,0.15
0.2285,0.15
0.229,0.15
0.2295,0.15
0.23,0.15
0.2305,0.15
0.231,0.15
0.2315,0.15
0.232,0.15
0.2325,0.15
0.233,0.15
0.2335,0.15
0.234,0.15
0.2345,0.15
0.235,0.15
0.2355,0.15
0.236,0.15
0.2365,0.15
0.237,0.15
0.2375,0.15
0.238,0.15
0.2385,0.15
0.239,0.15
0.2395,0.15
0.24,0.15
0.2405,0.15
0.241,0.15
0.2415,0.15
0.242,0.15
0.2425,0.15
0.243,0.15
0.2435,0.15
0.244,0.15
0.2445,0.15
0.245,0.15
0.2455,0.15
0.246,0.15
0.2465,0.15
0.247,0.15
0.2475,0.15
0.248,0.15
0.2485,0.15
0.249,0.15
0.2495,0.15
0.25,0.15
0.2505,0.15
0.251,0.15
0.2515,0.15
0.252,0.15
0.2525,0.15
0.253,0.15
0.2535,0.15
0.254,0.15
0.2545,0.15
0.255,0.15
0.2555,0.15
0.256,0.15
0.2565,0.15
0.257,0.15
0.2575,0.15
0.258,0.15
0.2585,0.15
0.259,0.15
0.2595,0.15
0.26,0.15
0.2605,0.15
0.261,0.15
0.2615,0.15
0.262,0.15
0.2625,0.15
0.263,0.15
0.2635,0.15
0.264,0.15
0.2645,0.15
0.265,0.15
0.2655,0.15
0.266,0.15
0.2665,0.15
0.267,0.15
0.2675,0.15
0.268,0.15
0.2685,0.15
0.269,0.15
0.2695,0.15
0.27,0.15
0.2705,0.15
0.271,0.15
0.2715,0.15
0.272,0.15
0.2725,0.15
0.273,0.15
0.2735,0.15
0.274,0.15
0.2745,0.15
0.275,0.15
0.2755,0.15
0.276,0.15
0.2765,0.15
0.277,0.15
0.2775,0.15
0.278,0.15
0.2785,0.15
0.279,0.15
0.2795,0.15
0.28,0.15
0.2805,0.15
0.281,0.15
0.2815,0.15
0.282,0.15
0.2825,0.15
0.283,0.15
0.2835,0.15
0.284,0.15
0.2845,0.15
0.285,0.15
0.2855,0.15
0.286,0.15
0.2865,0.15
0.287,0.15
0.2875,0.15
0.288,0.15
0.2885,0.15
0.289,0.15
0.2895,0.15
0.29,0.15
0.2905,0.15
0.291,0.15
0.2915,0.15
0.292,0.15
0.2925,0.15
0.293,0.15
0.2935,0.15
0.294,0.15
0.2945,0.15
0.295,0.15
0.2955,0.15
0.296,0.15
0.2965,0.15
0.297,0.15
0.2975,0.15
0.298,0.15
0.2985,0.15
0.299,0.15
0.2995,0.15
0.3,0.15
0.3005,0.15
0.301,0.15
0.3015,0.15
0.302,0.15
0.3025,0.15
0.303,0.15
0.3035,0.15
0.304,0.15
0.3045,0.15
0.305,0.15
0.3055,0.15
0.306,0.15
0.3065,0.15
0.307,0.15
0.3075,0.15
0.308,0.15
0.3085,0.15
0.309,0.15
0.3095,0.15
0.31,0.15
0.3105,0.15
0.311,0.15
0.3115,0.15
0.312,0.15
0.3125,0.15
0.313,0.15
0.3135,0.15
0.314,0.15
0.3145,0.15
0.315,0.15
0.3155,0.15
0.316,0.15
0.3165,0.15
0.317,0.15
0.3175,0.15
0.318,0.15
0.3185,0.15
0.319,0.15
0.3195,0.15
0.32,0.15
0.3205,0.15
0.321,0.15
0.3215,0.15
0.322,0.15
0.3225,0.15
0.323,0.15
0.3235,0.15
0.324,0.15
0.3245,0.15
0.325,0.15
0.3255,0.15
0.326,0.15
0.3265,0.15
0.327,0.15
0.3275,0.15
0.328,0.15
0.3285,0.15
0.329,0.15
0.3295,0.15
0.33,0.15
0.3305,0.15
0.331,0.15
0.3315,0.15
0.332,0.15
0.3325,0.15
0.333,0.15
0.3335,0.15
0.334,0.15
0.3345,0.15
0.335,0.15
0.3355,0.15
0.336,0.15
0.3365,0.15
0.337,0.15
0.3375,0.15
0.338,0.15
0.3385,0.15
0.339,0.15
0.3395,0.15
0.34,0.15
0.3405,0.15
0.341,0.15
0.3415,0.15
0.342,0.15
0.3425,0.15
0.343,0.15
0.3435,0.15
0.344,0.15
0.3445,0.15
0.345,0.15
0.3455,0.15
0.346,0.15
0.3465,0.15
0.347,0.15
0.3475,0.15
0.348,0.15
0.3485,0.15
0.349,0.15
0.3495,0.15
0.35,0.15
0.3505,0.15
0.351,0.15
0.3515,0.15
0.352,0.15
0.3525,0.15
0.353,0.15
0.3535,0.15
0.354,0.15
0.3545,0.15
0.355,0.15
0.3555,0.15
0.356,0.15
0.3565,0.15
0.357,0.15
0.3575,0.15
0.358,0.15
0.3585,0.15
0.359,0.15
0.3595,0.15
0.36,0.15
0.3605,0.15
0.361,0.15
0.3615,0.15
0.362,0.15
0.3625,0.15
0.363,0.15
0.3635,0.15
0.364,0.15
0.3645,0.15
0.365,0.15
0.3655,0.15
0.366,0.15
0.3665,0.15
0.367,0.15
0.3675,0.15
0.368,0.15
0.3685,0.15
0.369,0.15
0.3695,0.15
0.37,0.15
0.3705,0.15
0.371,0.15
0.3715,0.15
0.372,0.15
0.3725,0.15
0.373,0.15
0.3735,0.15
0.374,0.15
0.3745,0.15
0.375,0.15
0.3755,0.15
0.376,0.15
0.3765,0.15
0.377,0.15
0.3775,0.15
0.378,0.15
0.3785,0.15
0.379,0.15
0.3795,0.15
0.38,0.15
0.3805,0.15
0.381,0.15
0.3815,0.15
0.382,0.15
0.3825,0.15
0.383,0.15
0.3835,0.15
0.384,0.15
0.3845,0.15
0.385,0.15
0.3855,0.15
0.386,0.15
0.3865,0.15
0.387,0.15
0.3875,0.15
0.388,0.15
0.3885,0.15
0.389,0.15
0.3895,0.15
0.39,0.15
0.3905,0.15
0.391,0.15
0.3915,0.15
0.392,0.15
0.3925,0.15
0.393,0.15
0.3935,0.15
0.394,0.15
0.3945,0.15
0.395,0.15
0.3955,0.15
0.396,0.15
0.3965,0.15
0.397,0.15
0.3975,0.15
0.398,0.15
0.3985,0.15
0.399,0.15
0.3995,0.15
0.4,0.15
0.4005,0.15
0.401,0.15
0.4015,0.15
0.402,0.15
0.4025,0.15
0.403,0.15
0.4035,0.15
0.404,0.15
0.4045,0.15
0.405,0.15
0.4055,0.15
0.406,0.15
0.4065,0.15
0.407,0.15
0.4075,0.15
0.408,0.15
0.4085,0.15
0.409,0.15
0.4095,0.15
0.41,0.15
0.4105,0.15
0.411,0.15
0.4115,0.15
0.412,0.15
0.4125,0.15
0.413,0.15
0.4135,0.15
0.414,0.15
0.4145,0.15
0.415,0.15
0.4155,0.15
0.416,0.15
0.4165,0.15
0.417,0.15
0.4175,0.15
0.418,0.15
0.4185,0.15
0.419,0.15
0.4195,0.15
0.42,0.15
0.4205,0.15
0.421,0.15
0.4215,0.15
0.422,0.15
0.4225,0.15
0.423,0.15
0.4235,0.15
0.424,0.15
0.4245,0.15
0.425,0.15
0.4255,0.15
0.426,0.15
0.4265,0.15
0.427,0.15
0.4275,0.15
0.428,0.15
0.4285,0.15
0.429,0.15
0.4295,0.15
0.43,0.15
0.4305,0.15
0.431,0.15
0.4315,0.15
0.432,0.15
0.4325,0.15
0.433,0.15
0.4335,0.15
0.434,0.15
0.4345,0.15
0.435,0.15
0.4355,0.15
0.436,0.15
0.4365,0.15
0.437,0.15
0.4375,0.15
0.438,0.15
0.4385,0.15
0.439,0.15
0.4395,0.15
0.44,0.15
0.4405,0.15
0.441,0.15
0.4415,0.15
0.442,0.15
0.4425,0.15
0.443,0.15
0.4435,0.15
0.444,0.15
0.4445,0.15
0.445,0.15
0.4455,0.15
0.446,0.15
0.4465,0.15
0.447,0.15
0.4475,0.15
0.448,0.15
0.4485,0.15
0.449,0.15
0.4495,0.15
0.45,0.15
0.4505,0.15
0.451,0.15
0.4515,0.15
0.452,0.15
0.4525,0.15
0.453,0.15
0.4535,0.15
0.454,0.15
0.4545,0.15
0.455,0.15
0.4555,0.15
0.456,0.15
0.4565,0.15
0.457,0.15
0.4575,0.15
0.458,0.15
0.4585,0.15
0.459,0.15
0.4595,0.15
0.46,0.15
0.4605,0.15
0.461,0.15
0.4615,0.15
0.462,0.15
0.4625,0.15
0.463,0.15
0.4635,0.15
0.464,0.15
0.4645,0.15
0.465,0.15
0.4655,0.15
0.466,0.15
0.4665,0.15
0.467,0.15
0.4675,0.15
0.468,0.15
0.4685,0.15
0.469,0.15
0.4695,0.15
0.47,0.15
0.4705,0.15
0.471,0.15
0.4715,0.15
0.472,0.15
0.4725,0.15
0.473,0.15
0.4735,0.15
0.474,0.15
0.4745,0.15
0.475,0.15
0.4755,0.15
0.476,0.15
0.4765,0.15
0.477,0.15
0.4775,0.15
0.478,0.15
0.4785,0.15
0.479,0.15
0.4795,0.15
0.48,0.15
0.4805,0.15
0.481,0.15
0.4815,0.15
0.482,0.15
0.4825,0.15
0.483,0.15
0.4835,0.15
0.484,0.15
0.4845,0.15
0.485,0.15
0.4855,0.15
0.486,0.15
0.4865,0.15
0.487,0.15
0.4875,0.15
0.488,0.15
0.4885,0.15
0.489,0.15
0.4895,0.15
0.49,0.15
0.4905,0.15
0.491,0.15
0.4915,0.15
0.492,0.15
0.4925,0.15
0.493,0.15
0.4935,0.15
0.494,0.15
0.4945,0.15
0.495,0.15
0.4955,0.15
0.496,0.15
0.4965,0.15
0.497,0.15
0.4975,0.15
0.498,0.15
0.4985,0.15
0.499,0.15
0.4995,0.15
0.5,0.15
