"Time","iAC[3]","iAC[2]","iAC[1]"
0.0010802,29.1714,-29.4975,0.326101
0.0011002,28.9199,-29.2518,0.331899
0.0011202,28.5729,-28.9106,0.337685
0.0011402,28.1268,-28.4703,0.343458
0.0011602,27.5784,-27.9276,0.349216
0.0011802,26.9242,-27.2792,0.354961
0.0012002,26.1611,-26.5218,0.360692
0.0012202,25.2857,-25.6521,0.366409
0.0012402,24.2948,-24.6669,0.372111
0.0012602,23.1852,-23.563,0.377799
0.0012802,21.9538,-22.3373,0.383472
0.0013002,20.5975,-20.9866,0.389129
0.0013202,19.1131,-19.5079,0.394771
0.0013402,17.4977,-17.8981,0.400398
0.0013602,15.7482,-16.1542,0.406009
0.0013802,13.8618,-14.2734,0.411603
0.0014002,11.8353,-12.2525,0.417182
0.0014202,9.6661,-10.0888,0.422744
0.0014402,7.35122,-7.77951,0.428289
0.0014602,4.8879,-5.32172,0.433818
0.0014802,2.2734,-2.71273,0.439329
0.0015002,0.486949,-0.914714,0.427766
0.0015202,0.484369,-0.916655,0.432286
0.0015402,0.48175,-0.918519,0.436769
0.0015602,0.479092,-0.920306,0.441215
0.0015802,0.476394,-0.922015,0.445622
0.0016002,0.473656,-0.923647,0.449991
0.0016202,0.47088,-0.925202,0.454322
0.0016402,0.468064,-0.926679,0.458615
0.0016602,0.46521,-0.928079,0.462869
0.0016802,0.462317,-0.929402,0.467085
0.0017002,0.459386,-0.930647,0.471261
0.0017202,0.456415,-0.931815,0.475399
0.0017402,0.453407,-0.932905,0.479498
0.0017602,0.450361,-0.933918,0.483558
0.0017802,0.447276,-0.934854,0.487578
0.0018002,0.444154,-0.935713,0.491559
0.0018202,0.440994,-0.936494,0.4955
0.0018402,0.437796,-0.937198,0.499402
0.0018602,0.434561,-0.937824,0.503264
0.0018802,0.431288,-0.938374,0.507085
0.0019002,0.426432,-1.02898,0.602549
0.0019202,0.420881,-1.47151,1.05063
0.0019402,0.415313,-2.27937,1.86406
0.0019602,0.409729,-3.44891,3.03918
0.0019802,0.404129,-4.97637,4.57224
0.0020002,0.398513,-6.85789,6.45938
0.0020202,0.392881,-9.08956,8.69668
0.0020402,0.387234,-11.6673,11.2801
0.0020602,0.381571,-14.5872,14.2056
0.0020802,0.375893,-17.8448,17.4689
0.0021002,0.370201,-21.436,21.0658
0.0021202,0.364494,-25.3565,24.992
0.0021402,0.358772,-29.6017,29.2429
0.0021602,0.353036,-34.1672,33.8141
0.0021802,0.347287,-39.0484,38.7011
0.0022002,0.341523,-44.2406,43.899
0.0022202,0.335747,-49.739,49.4033
0.0022402,0.329956,-55.539,55.209
0.0022602,0.324153,-61.6355,61.3114
0.0022802,0.318337,-68.0237,67.7053
0.0023002,0.312509,-74.6984,74.3859
0.0023202,0.306668,-81.6546,81.3479
0.0023402,0.300815,-88.8871,88.5863
0.0023602,0.29495,-96.3907,96.0957
0.0023802,0.289074,-104.16,103.871
0.0024002,0.283186,-112.19,111.907
0.0024202,0.277287,-120.474,120.197
0.0024402,0.271377,-129.009,128.737
0.0024602,0.265456,-137.787,137.521
0.0024802,0.259525,-146.803,146.544
0.0025002,0.253584,-156.052,155.799
0.0025202,0.247632,-165.528,165.281
0.0025402,0.241671,-175.226,174.984
0.0025602,0.2357,-185.138,184.902
0.0025802,0.22972,-195.26,195.03
0.0026002,0.223731,-205.585,205.362
0.0026202,0.217733,-216.108,215.89
0.0026402,0.211727,-226.823,226.611
0.0026602,0.205712,-237.722,237.517
0.0026802,0.199689,-248.801,248.602
0.0027002,0.193658,-260.054,259.86
0.0027202,0.187619,-271.473,271.285
0.0027402,0.181573,-283.053,282.871
0.0027602,0.17552,-294.787,294.611
0.0027802,0.16946,-306.669,306.5
0.0028002,0.163393,-318.693,318.53
0.0028202,0.15732,-330.852,330.695
0.0028402,0.15124,-343.141,342.99
0.0028602,0.145155,-355.552,355.406
0.0028802,0.139064,-368.078,367.939
0.0029002,0.132967,-380.714,380.581
0.0029202,0.126865,-393.454,393.327
0.0029402,0.120759,-406.289,406.168
0.0029602,0.114647,-419.215,419.1
0.0029802,0.108531,-432.223,432.115
0.0030002,0.10241,-445.309,445.206
0.0030202,0.0962858,-458.464,458.368
0.0030402,0.0901575,-471.682,471.592
0.0030602,0.0840257,-484.958,484.874
0.0030802,0.0778905,-498.283,498.205
0.0031002,0.0717523,-511.652,511.58
0.0031202,0.0656112,-525.057,524.991
0.0031402,0.0594675,-538.492,538.432
0.0031602,0.0533215,-551.95,551.897
0.0031802,0.0471734,-565.425,565.378
0.0032002,0.0410234,-578.91,578.869
0.0032202,0.0348718,-592.397,592.362
0.0032402,0.0287188,-605.881,605.853
0.0032602,0.0225647,-619.355,619.332
0.0032802,0.0164097,-632.811,632.795
0.0033002,0.010254,-646.244,646.234
0.0033202,0.00409799,-659.646,659.642
0.0033402,-0.00205823,-673.011,673.013
0.0033602,-0.00821437,-686.333,686.341
0.0033802,-0.0143702,-699.603,699.618
0.0034002,-0.0205254,-712.817,712.837
0.0034202,-0.0266799,-725.966,725.993
0.0034402,-0.0328333,-739.046,739.079
0.0034602,-0.0389853,-752.048,752.087
0.0034802,-0.0451359,-764.967,765.012
0.0035002,-0.0512847,-777.795,777.846
0.0035202,-0.0574314,-790.527,790.584
0.0035402,-0.0635759,-803.155,803.219
0.0035602,-0.0697178,-815.674,815.744
0.0035802,-0.075857,-828.076,828.152
0.0036002,-0.0819933,-840.356,840.438
0.0036202,-0.0881262,-852.507,852.595
0.0036402,-0.0942557,-864.523,864.617
0.0036602,-0.100382,-876.397,876.497
0.0036802,-0.106503,-888.123,888.229
0.0037002,-0.112621,-899.694,899.807
0.0037202,-0.118734,-911.105,911.224
0.0037402,-0.124843,-922.35,922.475
0.0037602,-0.130946,-933.422,933.553
0.0037802,-0.137045,-944.315,944.452
0.0038002,-0.143137,-955.023,955.166
0.0038202,-0.149225,-965.54,965.689
0.0038402,-0.155306,-975.86,976.015
0.0038602,-0.161382,-985.977,986.139
0.0038802,-0.16745,-995.886,996.053
0.0039002,-0.173513,-1005.58,1005.75
0.0039202,-0.179568,-1015.05,1015.23
0.0039402,-0.185617,-1024.3,1024.49
0.0039602,-0.191658,-1033.32,1033.51
0.0039802,-0.197691,-1042.1,1042.3
0.0040002,-0.203717,-1050.64,1050.84
0.0040202,-0.209734,-1058.92,1059.13
0.0040402,-0.215744,-1066.96,1067.18
0.0040602,-0.221745,-1074.74,1074.96
0.0040802,-0.227737,-1082.25,1082.48
0.0041002,-0.23372,-1089.49,1089.73
0.0041202,-0.239694,-1096.46,1096.7
0.0041402,-0.245658,-1103.15,1103.4
0.0041602,-0.251613,-1109.56,1109.81
0.0041802,-0.257558,-1115.67,1115.93
0.0042002,-0.263492,-1121.49,1121.76
0.0042202,-0.269416,-1127.02,1127.29
0.0042402,-0.27533,-1132.23,1132.51
0.0042602,-0.281233,-1137.14,1137.43
0.0042802,-0.287124,-1141.74,1142.03
0.0043002,-0.293005,-1146.02,1146.31
0.0043202,-0.298873,-1149.98,1150.28
0.0043402,-0.30473,-1153.61,1153.92
0.0043602,-0.310575,-1156.91,1157.22
0.0043802,-0.316408,-1159.88,1160.2
0.0044002,-0.322228,-1162.51,1162.83
0.0044202,-0.328035,-1164.79,1165.12
0.0044402,-0.33383,-1166.73,1167.07
0.0044602,-0.339611,-1168.32,1168.66
0.0044802,-0.345379,-1169.56,1169.9
0.0045002,-0.351133,-1170.43,1170.78
0.0045202,-0.356873,-1170.95,1171.31
0.0045402,-0.362599,-1171.1,1171.46
0.0045602,-0.368311,-1170.88,1171.25
0.0045802,-0.374009,-1170.29,1170.67
0.0046002,-0.379691,-1169.33,1169.71
0.0046202,-0.385359,-1167.99,1168.38
0.0046402,-0.391012,-1166.27,1166.66
0.0046602,-0.396649,-1164.16,1164.56
0.0046802,-0.40227,-1161.67,1162.07
0.0047002,-0.407875,-1158.79,1159.2
0.0047202,-0.413465,-1155.52,1155.93
0.0047402,-0.419038,-1151.85,1152.27
0.0047602,-0.424594,-1147.79,1148.21
0.0047802,-0.430134,-1143.33,1143.76
0.0048002,-0.435657,-1138.46,1138.9
0.0048202,-0.441162,-1133.2,1133.64
0.0048402,-0.446651,-1127.53,1127.97
0.0048602,-0.452121,-1121.45,1121.9
0.0048802,-0.457574,-1114.96,1115.42
0.0049002,-0.463008,-1108.06,1108.52
0.0049202,-0.468425,-1100.75,1101.22
0.0049402,-0.473822,-1093.02,1093.49
0.0049602,-0.479202,-1084.88,1085.36
0.0049802,-0.484562,-1076.32,1076.81
0.0050002,-0.489903,-1067.35,1067.84
0.0050202,-0.495225,-1057.95,1058.45
0.0050402,-0.500527,-1048.14,1048.64
0.0050602,-0.505809,-1037.9,1038.41
0.0050802,-0.511072,-1027.24,1027.76
0.0051002,-0.516314,-1016.16,1016.68
0.0051202,-0.521536,-1004.66,1005.18
0.0051402,-0.526737,-992.737,993.264
0.0051602,-0.531918,-980.387,980.919
0.0051802,-0.537077,-967.614,968.151
0.0052002,-0.542215,-954.417,954.959
0.0052202,-0.547332,-940.795,941.342
0.0052402,-0.581374,-926.735,927.316
0.0052602,-1.00779,-912.055,913.063
0.0052802,-1.93551,-896.701,898.636
0.0053002,-3.36403,-880.672,884.037
0.0053202,-5.29289,-863.971,869.264
0.0053402,-7.72159,-846.597,854.319
0.0053602,-10.6497,-828.552,839.201
0.0053802,-14.0766,-809.835,823.912
0.0054002,-18.002,-790.448,808.45
0.0054202,-22.4254,-770.391,792.817
0.0054402,-27.3463,-749.666,777.012
0.0054602,-32.7643,-728.273,761.037
0.0054802,-38.6788,-706.214,744.892
0.0055002,-45.0895,-683.488,728.578
0.0055202,-51.996,-660.099,712.095
0.0055402,-59.3977,-636.046,695.443
0.0055602,-67.2942,-611.33,678.624
0.0055802,-75.6852,-585.954,661.639
0.0056002,-84.5701,-559.918,644.488
0.0056202,-93.9486,-533.223,627.172
0.0056402,-103.82,-505.872,609.692
0.0056602,-114.185,-477.865,592.05
0.0056802,-125.041,-449.204,574.245
0.0057002,-136.39,-419.89,556.28
0.0057202,-148.23,-389.926,538.156
0.0057402,-160.561,-359.312,519.873
0.0057602,-173.383,-328.05,501.433
0.0057802,-186.696,-296.143,482.838
0.0058002,-200.498,-263.591,464.089
0.0058202,-214.79,-230.397,445.187
0.0058402,-229.571,-196.562,426.133
0.0058602,-244.841,-162.089,406.93
0.0058802,-260.599,-126.98,387.579
0.0059002,-276.845,-91.2356,368.081
0.0059202,-293.579,-54.8589,348.438
0.0059402,-310.8,-17.8519,328.652
0.0059602,-318.509,-0.215732,318.725
0.0059802,-317.574,-0.209722,317.784
0.0060002,-316.807,-0.203705,317.01
0.0060202,-316.204,-0.197679,316.401
0.0060402,-315.762,-0.191646,315.953
0.0060602,-315.477,-0.185605,315.662
0.0060802,-315.345,-0.179556,315.525
0.0061002,-315.364,-0.173501,315.538
0.0061202,-315.529,-0.167438,315.696
0.0061402,-315.836,-0.161369,315.997
0.0061602,-316.282,-0.155294,316.437
0.0061802,-316.862,-0.149213,317.012
0.0062002,-317.574,-0.143125,317.717
0.0062202,-318.413,-0.137032,318.55
0.0062402,-319.375,-0.130934,319.506
0.0062602,-320.456,-0.12483,320.581
0.0062802,-321.652,-0.118722,321.771
0.0063002,-322.96,-0.112609,323.072
0.0063202,-324.375,-0.106491,324.481
0.0063402,-325.893,-0.100369,325.993
0.0063602,-327.51,-0.0942435,327.604
0.0063802,-329.222,-0.088114,329.311
0.0064002,-331.026,-0.081981,331.108
0.0064202,-332.916,-0.0758448,332.992
0.0064402,-334.888,-0.0697055,334.958
0.0064602,-336.939,-0.0635636,337.003
0.0064802,-339.065,-0.0574191,339.122
0.0065002,-341.26,-0.0512724,341.311
0.0065202,-343.521,-0.0451236,343.567
0.0065402,-345.844,-0.038973,345.883
0.0065602,-348.224,-0.0328209,348.257
0.0065802,-350.658,-0.0266676,350.684
0.0066002,-353.14,-0.0205131,353.16
0.0066202,-355.666,-0.0143579,355.68
0.0066402,-358.233,-0.00820206,358.241
0.0066602,-360.835,-0.00204592,360.837
0.0066802,-363.469,0.0041103,363.465
0.0067002,-366.131,0.0102664,366.121
0.0067202,-368.815,0.016422,368.799
0.0067402,-371.518,0.022577,371.496
0.0067602,-374.236,0.0287311,374.207
0.0067802,-376.963,0.0348841,376.928
0.0068002,-379.696,0.0410357,379.655
0.0068202,-382.43,0.0471857,382.383
0.0068402,-385.161,0.0533338,385.108
0.0068602,-387.885,0.0594798,387.826
0.0068802,-390.597,0.0656235,390.532
0.0069002,-393.293,0.0717646,393.222
0.0069202,-395.969,0.0779028,395.892
0.0069402,-398.621,0.084038,398.537
0.0069602,-401.243,0.0901698,401.153
0.0069802,-403.833,0.0962981,403.737
0.0070002,-406.385,0.102423,406.282
0.0070202,-408.895,0.108543,408.787
0.0070402,-411.36,0.114659,411.245
0.0070602,-413.774,0.120771,413.653
0.0070802,-416.134,0.126878,416.007
0.0071002,-418.435,0.13298,418.302
0.0071202,-420.674,0.139076,420.535
0.0071402,-422.846,0.145167,422.701
0.0071602,-424.947,0.151253,424.795
0.0071802,-426.972,0.157332,426.815
0.0072002,-428.919,0.163405,428.755
0.0072202,-430.782,0.169472,430.612
0.0072402,-432.557,0.175532,432.382
0.0072602,-434.242,0.181585,434.06
0.0072802,-435.831,0.187631,435.643
0.0073002,-437.32,0.19367,437.126
0.0073202,-438.706,0.199701,438.507
0.0073402,-439.985,0.205724,439.779
0.0073602,-441.153,0.211739,440.941
0.0073802,-442.206,0.217745,441.988
0.0074002,-443.14,0.223743,442.916
0.0074202,-443.951,0.229732,443.721
0.0074402,-444.636,0.235712,444.4
0.0074602,-445.191,0.241683,444.949
0.0074802,-445.612,0.247644,445.364
0.0075002,-445.895,0.253596,445.642
0.0075202,-446.038,0.259537,445.778
0.0075402,-446.036,0.265468,445.77
0.0075602,-445.886,0.271389,445.614
0.0075802,-445.584,0.277299,445.306
0.0076002,-445.127,0.283198,444.844
0.0076202,-444.511,0.289086,444.222
0.0076402,-443.734,0.294962,443.439
0.0076602,-442.791,0.300827,442.49
0.0076802,-441.68,0.30668,441.373
0.0077002,-440.397,0.312521,440.084
0.0077202,-438.939,0.318349,438.621
0.0077402,-437.303,0.324165,436.979
0.0077602,-435.486,0.329968,435.156
0.0077802,-433.485,0.335758,433.149
0.0078002,-431.296,0.341535,430.954
0.0078202,-428.917,0.347298,428.57
0.0078402,-426.346,0.353048,425.993
0.0078602,-423.578,0.358784,423.219
0.0078802,-420.612,0.364505,420.247
0.0079002,-417.444,0.370212,417.074
0.0079202,-414.072,0.375905,413.696
0.0079402,-410.494,0.381582,410.112
0.0079602,-406.706,0.387245,406.319
0.0079802,-402.707,0.392892,402.314
0.0080002,-398.493,0.398524,398.095
0.0080202,-394.063,0.40414,393.659
0.0080402,-389.413,0.40974,389.004
0.0080602,-384.543,0.415324,384.128
0.0080802,-379.449,0.420892,379.028
0.0081002,-374.129,0.426443,373.703
0.0081202,-368.582,0.431977,368.15
0.0081402,-362.805,0.437494,362.367
0.0081602,-356.796,0.442994,356.353
0.0081802,-350.553,0.448476,350.105
0.0082002,-344.075,0.453941,343.621
0.0082202,-337.36,0.459387,336.9
0.0082402,-330.405,0.464816,329.941
0.0082602,-323.21,0.470226,322.74
0.0082802,-315.773,0.475618,315.298
0.0083002,-308.092,0.48099,307.611
0.0083202,-300.166,0.486344,299.68
0.0083402,-291.993,0.491679,291.501
0.0083602,-283.572,0.496994,283.075
0.0083802,-274.902,0.50229,274.4
0.0084002,-265.982,0.507565,265.474
0.0084202,-256.809,0.512821,256.297
0.0084402,-247.385,0.518057,246.867
0.0084602,-237.707,0.523272,237.183
0.0084802,-227.774,0.528466,227.245
0.0085002,-217.586,0.53364,217.052
0.0085202,-207.195,0.64542,206.55
0.0085402,-196.829,1.31998,195.509
0.0085602,-186.512,2.60827,183.903
0.0085802,-176.243,4.50924,171.733
0.0086002,-166.021,7.02177,158.999
0.0086202,-155.844,10.1447,145.699
0.0086402,-145.712,13.877,131.835
0.0086602,-135.622,18.2173,117.405
0.0086802,-125.575,23.1645,102.41
0.0087002,-115.567,28.7173,86.8498
0.0087202,-105.599,34.8745,70.7243
0.0087402,-95.6682,41.6348,54.0335
0.0087602,-85.774,48.9967,36.7773
0.0087802,-75.9148,56.9591,18.9557
0.0088002,-66.0892,65.5204,0.568794
0.0088202,-65.6649,65.3099,0.35495
0.0088402,-65.656,65.3068,0.349205
0.0088602,-65.9551,65.6116,0.343446
0.0088802,-66.5584,66.2207,0.337674
0.0089002,-67.4622,67.1304,0.331888
0.0089202,-68.6628,68.3367,0.326089
0.0089402,-70.1563,69.836,0.320277
0.0089602,-71.9386,71.6242,0.314453
0.0089802,-74.0059,73.6973,0.308616
0.0090002,-76.354,76.0512,0.302767
0.0090202,-78.9787,78.6818,0.296907
0.0090402,-81.8759,81.5849,0.291034
0.0090602,-85.0413,84.7561,0.28515
0.0090802,-88.4704,88.1912,0.279255
0.0091002,-92.159,91.8857,0.273348
0.0091202,-96.1025,95.8351,0.267431
0.0091402,-100.296,100.035,0.261503
0.0091602,-104.736,104.481,0.255565
0.0091802,-109.417,109.167,0.249617
0.0092002,-114.334,114.091,0.243659
0.0092202,-119.483,119.245,0.237692
0.0092402,-124.859,124.627,0.231715
0.0092602,-130.456,130.231,0.225728
0.0092802,-136.271,136.051,0.219733
0.0093002,-142.298,142.084,0.21373
0.0093202,-148.531,148.323,0.207717
0.0093402,-154.967,154.765,0.201697
0.0093602,-161.599,161.403,0.195669
0.0093802,-168.423,168.233,0.189633
0.0094002,-175.433,175.249,0.183589
0.0094202,-182.624,182.446,0.177538
0.0094402,-189.991,189.819,0.171481
0.0094602,-197.528,197.363,0.165416
0.0094802,-205.23,205.071,0.159345
0.0095002,-213.092,212.939,0.153268
0.0095202,-221.108,220.961,0.147184
0.0095402,-229.272,229.131,0.141095
0.0095602,-237.58,237.445,0.135
0.0095802,-246.025,245.896,0.1289
0.0096002,-254.601,254.478,0.122795
0.0096202,-263.304,263.187,0.116685
0.0096402,-272.128,272.017,0.11057
0.0096602,-281.066,280.961,0.104451
0.0096802,-290.113,290.015,0.0983278
0.0097002,-299.264,299.172,0.0922007
0.0097202,-308.512,308.426,0.08607
0.0097402,-317.852,317.772,0.0799359
0.0097602,-327.278,327.204,0.0737987
0.0097802,-336.784,336.717,0.0676585
0.0098002,-346.365,346.303,0.0615157
0.0098202,-356.014,355.958,0.0553704
0.0098402,-365.725,365.676,0.049223
0.0098602,-375.493,375.45,0.0430736
0.0098802,-385.312,385.275,0.0369225
0.0099002,-395.175,395.145,0.0307699
0.0099202,-405.078,405.053,0.0246162
0.0099402,-415.013,414.995,0.0184615
0.0099602,-424.976,424.963,0.012306
0.0099802,-434.959,434.953,0.00615004
0.0100002,-444.958,444.958,-6.15629e-06
0.0100202,-454.966,454.972,-0.00616235
0.0100402,-464.977,464.989,-0.0123183
0.0100602,-474.985,475.004,-0.0184738
0.0100802,-484.985,485.009,-0.0246285
0.0101002,-494.97,495.001,-0.0307823
0.0101202,-504.934,504.971,-0.0369348
0.0101402,-514.872,514.916,-0.0430859
0.0101602,-524.778,524.827,-0.0492353
0.0101802,-534.646,534.701,-0.0553827
0.0102002,-544.469,544.53,-0.061528
0.0102202,-554.242,554.31,-0.0676708
0.0102402,-563.959,564.033,-0.073811
0.0102602,-573.615,573.695,-0.0799482
0.0102802,-583.202,583.289,-0.0860823
0.0103002,-592.717,592.809,-0.092213
0.0103202,-602.152,602.25,-0.09834
0.0103402,-611.502,611.607,-0.104463
0.0103602,-620.761,620.872,-0.110582
0.0103802,-629.924,630.041,-0.116697
0.0104002,-638.985,639.108,-0.122807
0.0104202,-647.938,648.067,-0.128912
0.0104402,-656.777,656.912,-0.135012
0.0104602,-665.497,665.638,-0.141107
0.0104802,-674.093,674.24,-0.147196
0.0105002,-682.558,682.711,-0.15328
0.0105202,-690.888,691.047,-0.159357
0.0105402,-699.076,699.241,-0.165428
0.0105602,-707.117,707.289,-0.171493
0.0105802,-715.007,715.184,-0.177551
0.0106002,-722.739,722.922,-0.183601
0.0106202,-730.308,730.498,-0.189645
0.0106402,-737.709,737.905,-0.195681
0.0106602,-744.937,745.139,-0.201709
0.0106802,-751.986,752.194,-0.20773
0.0107002,-758.852,759.066,-0.213742
0.0107202,-765.529,765.749,-0.219745
0.0107402,-772.012,772.238,-0.22574
0.0107602,-778.296,778.528,-0.231726
0.0107802,-784.377,784.615,-0.237703
0.0108002,-790.249,790.493,-0.243671
0.0108202,-795.907,796.157,-0.249629
0.0108402,-801.348,801.603,-0.255577
0.0108602,-806.565,806.826,-0.261515
0.0108802,-811.554,811.822,-0.267443
0.0109002,-816.312,816.585,-0.27336
0.0109202,-820.832,821.111,-0.279266
0.0109402,-825.111,825.396,-0.285162
0.0109602,-829.144,829.435,-0.291046
0.0109802,-832.927,833.224,-0.296918
0.0110002,-836.456,836.759,-0.302779
0.0110202,-839.726,840.035,-0.308628
0.0110402,-842.733,843.048,-0.314465
0.0110602,-845.473,845.793,-0.320289
0.0110802,-847.942,848.268,-0.326101
0.0111002,-850.136,850.468,-0.331899
0.0111202,-852.051,852.389,-0.337685
0.0111402,-853.684,854.027,-0.343458
0.0111602,-855.03,855.379,-0.349216
0.0111802,-856.085,856.44,-0.354961
0.0112002,-856.847,857.208,-0.360692
0.0112202,-857.312,857.678,-0.366409
0.0112402,-857.475,857.848,-0.372111
0.0112602,-857.335,857.713,-0.377799
0.0112802,-856.887,857.271,-0.383472
0.0113002,-856.129,856.518,-0.389129
0.0113202,-855.056,855.451,-0.394771
0.0113402,-853.667,854.067,-0.400398
0.0113602,-851.958,852.364,-0.406009
0.0113802,-849.925,850.337,-0.411603
0.0114002,-847.568,847.985,-0.417182
0.0114202,-844.882,845.304,-0.422744
0.0114402,-841.864,842.293,-0.428289
0.0114602,-838.514,838.947,-0.433818
0.0114802,-834.827,835.266,-0.439329
0.0115002,-830.801,831.246,-0.444823
0.0115202,-826.435,826.885,-0.450299
0.0115402,-821.726,822.181,-0.455758
0.0115602,-816.671,817.132,-0.461199
0.0115802,-811.27,811.736,-0.466621
0.0116002,-805.519,805.991,-0.472025
0.0116202,-799.417,799.894,-0.477411
0.0116402,-792.962,793.445,-0.482777
0.0116602,-786.152,786.641,-0.488125
0.0116802,-778.987,779.48,-0.493453
0.0117002,-771.464,771.963,-0.498761
0.0117202,-763.581,764.086,-0.504051
0.0117402,-755.339,755.848,-0.50932
0.0117602,-746.734,747.249,-0.514569
0.0117802,-737.767,738.287,-0.519797
0.0118002,-728.436,728.961,-0.525006
0.0118202,-718.741,719.271,-0.530193
0.0118402,-708.666,709.228,-0.56201
0.0118602,-698.018,699.026,-1.00818
0.0118802,-686.732,688.727,-1.99536
0.0119002,-674.808,678.33,-3.52253
0.0119202,-662.246,667.835,-5.58863
0.0119402,-649.046,657.239,-8.19262
0.0119602,-635.208,646.541,-11.3334
0.0119802,-620.732,635.742,-15.01
0.0120002,-605.618,624.839,-19.2213
0.0120202,-589.866,613.832,-23.9661
0.0120402,-573.475,602.719,-29.2435
0.0120602,-556.448,591.5,-35.0524
0.0120802,-538.782,580.174,-41.3916
0.0121002,-520.479,568.739,-48.26
0.0121202,-501.539,557.196,-55.6565
0.0121402,-481.963,545.543,-63.5801
0.0121602,-461.749,533.779,-72.0296
0.0121802,-440.9,521.904,-81.0038
0.0122002,-419.416,509.917,-90.5018
0.0122202,-397.296,497.818,-100.522
0.0122402,-374.541,485.605,-111.064
0.0122602,-351.153,473.279,-122.126
0.0122802,-327.131,460.839,-133.708
0.0123002,-302.476,448.283,-145.807
0.0123202,-277.19,435.612,-158.423
0.0123402,-251.271,422.826,-171.555
0.0123602,-224.723,409.924,-185.201
0.0123802,-197.544,396.905,-199.361
0.0124002,-169.737,383.769,-214.033
0.0124202,-141.301,370.517,-229.216
0.0124402,-112.239,357.147,-244.909
0.0124602,-82.55,343.661,-261.111
0.0124802,-52.2363,330.056,-277.82
0.0125002,-21.2986,316.334,-295.036
0.0125202,-0.247632,307.75,-307.502
0.0125402,-0.241671,309.879,-309.637
0.0125602,-0.2357,312.197,-311.961
0.0125802,-0.22972,314.698,-314.468
0.0126002,-0.223731,317.379,-317.155
0.0126202,-0.217733,320.235,-320.017
0.0126402,-0.211727,323.262,-323.05
0.0126602,-0.205712,326.455,-326.25
0.0126802,-0.199689,329.811,-329.611
0.0127002,-0.193658,333.324,-333.131
0.0127202,-0.187619,336.991,-336.803
0.0127402,-0.181573,340.806,-340.625
0.0127602,-0.17552,344.766,-344.59
0.0127802,-0.16946,348.865,-348.695
0.0128002,-0.163393,353.099,-352.935
0.0128202,-0.15732,357.463,-357.306
0.0128402,-0.15124,361.953,-361.802
0.0128602,-0.145155,366.564,-366.419
0.0128802,-0.139064,371.291,-371.152
0.0129002,-0.132967,376.129,-375.996
0.0129202,-0.126865,381.074,-380.947
0.0129402,-0.120759,386.121,-386
0.0129602,-0.114647,391.264,-391.15
0.0129802,-0.108531,396.5,-396.391
0.0130002,-0.10241,401.823,-401.72
0.0130202,-0.0962858,407.228,-407.132
0.0130402,-0.0901575,412.71,-412.62
0.0130602,-0.0840257,418.265,-418.181
0.0130802,-0.0778905,423.887,-423.809
0.0131002,-0.0717523,429.572,-429.5
0.0131202,-0.0656112,435.314,-435.248
0.0131402,-0.0594675,441.108,-441.048
