"time", "Q", "QI", "y", "y1", "y2", "y3", "y4"
8.8600000098, 0, 1, 0, 34, 0, 1, 1
9, 0, 1, 0, 34, 0, 1, 1
9.01000001000001, 1, 0, 1, 36, 1, 0, 0
9.06000001000002, 1, 0, 1, 36, 1, 0, 0
9.20000001020001, 1, 0, 1, 36, 1, 0, 0
9.21000001020001, 1, 0, 0, 36, 1, 0, 0
9.26000001020001, 1, 0, 0, 36, 1, 0, 0
9.30000000000001, 1, 0, 0, 36, 1, 0, 0
9.31000000000001, 0, 1, 0, 36, 1, 0, 0
9.36000000000001, 0, 1, 0, 36, 1, 0, 0
9.5, 0, 1, 0, 36, 1, 0, 0
9.51, 1, 0, 0, 36, 1, 0, 0
9.56, 1, 0, 0, 36, 1, 0, 0
9.8, 1, 0, 0, 36, 1, 0, 0
9.81000001080002, 0, 1, 0, 38, 0, 1, 0
9.86000001080002, 0, 1, 0, 38, 0, 1, 0
10, 0, 1, 0, 38, 0, 1, 0
