"time","J1_w","J3_w"
0.414,6.070909661,0.14
0.417,6.058500895,0.17
0.42,6.048602861,0.2
0.423,6.041073292,0.23
0.426,6.035749406,0.26
0.429,6.032449346,0.29
0.432,6.030973804,0.32
0.435,6.031107789,0.35
0.438,6.032622543,0.38
0.441,6.035277569,0.41
0.444,6.038822772,0.44
0.447,6.043000685,0.47
0.45,6.047548751,0.5
0.453,6.052201661,0.53
0.456,6.056693713,0.56
0.459,6.06076117,0.59
0.462,6.064144607,0.62
0.465,6.066591214,0.65
0.468,6.067857047,0.68
0.471,6.067709193,0.71
0.474,6.065927843,0.74
0.477,6.062308244,0.77
0.48,6.05666252,0.8
0.483,6.048821346,0.83
0.486,6.038635448,0.86
0.489,6.025976936,0.89
0.492,6.010740441,0.92
0.495,5.992844053,0.95
0.498,5.97223005,0.98
0.501,5.948865416,1.01
0.504,5.922742135,1.04
0.507,5.893877265,1.07
0.51,5.862312793,1.1
0.513,5.828115261,1.13
0.516,5.79137518,1.16
0.519,5.752206232,1.19
0.522,5.71074426,1.22
0.525,5.667146068,1.25
0.528,5.621588031,1.28
0.531,5.574264535,1.31
0.534,5.525386249,1.34
0.537,5.475178263,1.37
0.54,5.423878094,1.4
0.543,5.371733574,1.43
0.546,5.31900066,1.46
0.549,5.265941164,1.49
0.552,5.212820427,1.52
0.555,5.159904973,1.55
0.558,5.107460143,1.58
0.561,5.055747742,1.61
0.564,5.005023723,1.64
0.567,4.95553591,1.67
0.57,4.907521808,1.7
0.573,4.861206495,1.73
0.576,4.816800628,1.76
0.579,4.774498575,1.79
0.582,4.734476692,1.82
0.585,4.696891762,1.85
0.588,4.661879608,1.88
0.591,4.629553885,1.91
0.594,4.600005079,1.94
0.597,4.573299703,1.97
0.6,4.549479712,2
0.603,4.528562133,2.03
0.606,4.510538915,2.06
0.609,4.495377004,2.09
0.612,4.483018641,2.12
0.615,4.473381873,2.15
0.618,4.466361289,2.18
0.621,4.461828954,2.21
0.624,4.459635548,2.24
0.627,4.459611695,2.27
0.63,4.461569469,2.3
0.633,4.465304064,2.33
0.636,4.470595615,2.36
0.639,4.477211153,2.39
0.642,4.484906673,2.42
0.645,4.493429305,2.45
0.648,4.502519561,2.48
0.651,4.511913638,2.51
0.654,4.521345767,2.54
0.657,4.530550568,2.57
0.66,4.539265416,2.6
0.663,4.547232766,2.63
0.666,4.554202451,2.66
0.669,4.559933896,2.69
0.672,4.564198263,2.72
0.675,4.566780478,2.75
0.678,4.567481151,2.78
0.681,4.56611834,2.81
0.684,4.562529172,2.84
0.687,4.556571295,2.87
0.69,4.548124135,2.9
0.693,4.537089977,2.93
0.696,4.523394831,2.96
0.699,4.506989091,2.99
0.702,4.48784798,3.02
0.705,4.46597177,3.05
0.708,4.441385782,3.08
0.711,4.414140167,3.103141555
0.714,4.384309457,3.112536858
0.717,4.351991914,3.121888013
0.72,4.317308652,3.131194886
0.723,4.28040257,3.140457345
0.726,4.241437085,3.149675259
0.729,4.20059468,3.158848497
0.732,4.158075293,3.167976927
0.735,4.114094537,3.177060422
0.738,4.068881797,3.186098851
0.741,4.02267819,3.195092086
0.744,3.975734428,3.204039999
0.747,3.928308596,3.212942463
0.75,3.880663867,3.221799352
0.753,3.833066159,3.230610539
0.756,3.785781788,3.239375899
0.759,3.739075097,3.248095309
0.762,3.693206119,3.256768643
0.765,3.648428265,3.265395779
0.768,3.604986083,3.273976594
0.771,3.563113084,3.282510966
0.774,3.523029675,3.290998774
0.777,3.484941204,3.299439897
0.78,3.449036139,3.307834215
0.783,3.415484397,3.316181609
0.786,3.384435838,3.32448196
0.789,3.35601894,3.332735151
0.792,3.330339655,3.340941063
0.795,3.32815894,3.338760348
0.798,3.32690602,3.337507428
0.801,3.326592016,3.337193424
0.804,3.327219714,3.337821123
0.807,3.328783544,3.339384953
0.81,3.331269625,3.341871034
0.813,3.33465589,3.345257298
0.816,3.338912282,3.349513691
0.819,3.344001022,3.35460243
0.822,3.349876941,3.360478349
0.825,3.356487884,3.367089292
0.828,3.363775172,3.374376581
0.831,3.371674123,3.382275532
0.834,3.381449846,3.390048423
0.837,3.393204994,3.39753155
0.84,3.406220983,3.404965615
0.843,3.420250522,3.412350512
0.846,3.435038197,3.419686137
0.849,3.450322737,3.426972384
0.852,3.465839335,3.43420915
0.855,3.481322004,3.441396333
0.858,3.496505933,3.44853383
0.861,3.511129846,3.45562154
0.864,3.524938321,3.462659362
0.867,3.537684055,3.469647197
0.87,3.549130066,3.476584944
0.873,3.559051796,3.483472505
0.876,3.567239105,3.490309782
0.879,3.573498142,3.497096679
0.882,3.57765306,3.503833099
0.885,3.579547586,3.510518945
0.888,3.579046406,3.517154123
0.891,3.576036369,3.523738539
0.894,3.570427491,3.530272099
0.897,3.562153759,3.53675471
0.9,3.551173715,3.54318628
0.903,3.537470826,3.534566718
0.906,3.522971282,3.52493711
0.909,3.510790567,3.512756395
0.912,3.497701414,3.499667242
0.915,3.483731242,3.48569707
0.918,3.46891529,3.470881118
0.921,3.453296305,3.455262133
0.924,3.436924162,3.43888999
0.927,3.41985542,3.421821248
0.93,3.402152822,3.40411865
0.933,3.383884737,3.385850565
0.936,3.365124553,3.367090381
0.939,3.345950026,3.347915854
0.942,3.32644259,3.328408417
0.945,3.306686632,3.30865246
0.948,3.286768749,3.288734577
0.951,3.266776971,3.268742799
0.954,3.246799987,3.248765815
0.957,3.226926353,3.228892181
0.96,3.207243707,3.209209535
0.963,3.187837995,3.189803823
0.966,3.168792701,3.170758529
0.969,3.150188112,3.15215394
0.972,3.132100604,3.134066431
0.975,3.11460196,3.116567788
0.978,3.097758741,3.099724569
0.981,3.081631687,3.083597515
0.984,3.066275182,3.068241009
0.987,3.05173677,3.053702598
0.99,3.038056736,3.040022563
0.993,3.025267742,3.02723357
0.996,3.013394545,3.015360373
0.999,3.002453772,3.0044196
1.002,2.992910719,2.994191127
1.005,2.986547416,2.983783938
1.008,2.983089114,2.973322884
1.011,2.982486061,2.962807901
1.014,2.984664119,2.952238924
1.017,2.98952542,2.94161589
1.02,2.99694924,2.930938738
1.023,3.006793067,2.920207406
1.026,3.01889387,2.909421834
1.029,3.033069546,2.89858196
1.032,3.049120538,2.887687727
1.035,3.066831607,2.876739076
1.038,3.085973743,2.865735949
1.041,3.106306199,2.85467829
1.044,3.127578631,2.843566042
1.047,3.149533317,2.83239915
1.05,3.171907449,2.82117756
1.053,3.194435466,2.809901219
1.056,3.216851409,2.798570072
1.059,3.238891288,2.787184068
1.062,3.260295422,2.775743156
1.065,3.280810745,2.764247285
1.068,3.300193057,2.752696406
1.071,3.318209187,2.741090468
1.074,3.334639067,2.729429425
1.077,3.349277686,2.717713228
1.08,3.361936909,2.705941831
1.083,3.372447149,2.694115188
1.086,3.380658874,2.682233254
1.089,3.38644393,2.670295984
1.092,3.389696687,2.658303335
1.095,3.390334972,2.646255265
1.098,3.3883008,2.634151731
1.101,3.383560891,2.621992693
1.104,3.376106962,2.609778109
1.107,3.36595581,2.59750794
1.11,3.353149152,2.585182148
1.113,3.337753265,2.572800694
1.116,3.319858393,2.560363541
1.119,3.29957795,2.547870653
1.122,3.277047511,2.535321995
1.125,3.25242361,2.52271753
1.128,3.225882354,2.510057226
1.131,3.197617855,2.497341049
1.134,3.167840515,2.484568966
1.137,3.136775152,2.471740947
1.14,3.104659009,2.458856959
1.143,3.071739646,2.445916973
1.146,3.038272749,2.437700371
1.149,3.004519853,2.438998991
1.152,2.970746026,2.440260223
1.155,2.937217518,2.441484048
1.158,2.904199393,2.442670448
1.161,2.871953181,2.443819408
1.164,2.840734557,2.44493091
1.167,2.810791069,2.446004938
1.17,2.782359944,2.447041478
1.173,2.755665981,2.448040515
1.176,2.730919559,2.449002034
1.179,2.708314765,2.449926022
1.182,2.688027678,2.450812466
1.185,2.670214798,2.451661352
1.188,2.655011668,2.45247267
1.191,2.642531661,2.453246408
1.194,2.632864981,2.453982553
1.197,2.626077859,2.454681097
1.2,2.622211967,2.455342029
1.203,2.621284048,2.45596534
1.206,2.623285766,2.456551021
1.209,2.628183784,2.457099063
1.212,2.635920056,2.457609459
1.215,2.646412346,2.458082201
1.218,2.659554955,2.458517284
1.221,2.675219662,2.4589147
1.224,2.693256859,2.459274443
1.227,2.713496885,2.45959651
1.23,2.735751523,2.459880895
1.233,2.75981568,2.460127594
1.236,2.785469203,2.460336604
1.239,2.812478832,2.460507922
1.242,2.840600273,2.460641545
1.245,2.869580366,2.460737471
1.248,2.899159331,2.460795699
1.251,2.929073075,2.460816229
1.254,2.959004027,2.460816229
1.257,2.98862493,2.460816229
1.26,3.017672866,2.460816229
1.263,3.045890004,2.460816229
1.266,3.073025886,2.460816229
1.269,3.098839652,2.460816229
1.272,3.123102178,2.460816229
1.275,3.145598107,2.460816229
1.278,3.166127765,2.460816229
1.281,3.184508928,2.460816229
1.284,3.200578444,2.460816229
1.287,3.214193678,2.460816229
1.29,3.225233782,2.460816229
1.293,3.233600762,2.460816229
1.296,3.239220352,2.460816229
1.299,3.242042673,2.460816229
1.302,3.242042673,2.460816229
1.305,3.239220352,2.460816229
1.308,3.233600762,2.460816229
1.311,3.225233782,2.460816229
1.314,3.214193678,2.460816229
1.317,3.200578444,2.460816229
1.32,3.184508928,2.460816229
1.323,3.166127765,2.460816229
1.326,3.145598107,2.460816229
1.329,3.123102178,2.460816229
1.332,3.098839652,2.460816229
1.335,3.073025886,2.460816229
1.338,3.045890004,2.460816229
1.341,3.017672866,2.460816229
1.344,2.98862493,2.460816229
1.347,2.959004027,2.460816229
1.35,2.929073075,2.460816229
1.353,2.899097742,2.460816229
1.356,2.869344092,2.460816229
1.359,2.84007622,2.460816229
1.362,2.81155391,2.460816229
1.365,2.784030329,2.460816229
1.368,2.757749776,2.460816229
1.371,2.732945521,2.460816229
1.374,2.709837728,2.460816229
1.377,2.688631503,2.460816229
1.38,2.669515074,2.460816229
1.383,2.65265812,2.460816229
1.386,2.638210264,2.460816229
1.389,2.626299746,2.460816229
1.392,2.617032286,2.460816229
1.395,2.610490142,2.460816229
1.398,2.606731382,2.460816229
1.401,2.605789369,2.460816229
1.404,2.607672465,2.460816229
1.407,2.612363955,2.460816229
1.41,2.619822197,2.460816229
1.413,2.629980992,2.460816229
1.416,2.642750169,2.460816229
1.419,2.658016388,2.460816229
1.422,2.675644144,2.460816229
1.425,2.695476974,2.460816229
1.428,2.717338839,2.460816229
1.431,2.741035691,2.460816229
1.434,2.766357197,2.460816229
1.437,2.793078599,2.460816229
1.44,2.820962718,2.460816229
1.443,2.849762052,2.460816229
1.446,2.879220975,2.460816229
1.449,2.909078009,2.460816229
1.452,2.93906814,2.460816229
1.455,2.968925174,2.460816229
1.458,2.998384098,2.460816229
1.461,3.027183431,2.460816229
1.464,3.05506755,2.460816229
1.467,3.081788953,2.460816229
1.47,3.107110458,2.460816229
1.473,3.13080731,2.460816229
1.476,3.152669175,2.460816229
1.479,3.172502005,2.460816229
1.482,3.190129762,2.460816229
1.485,3.205395981,2.460816229
1.488,3.218165157,2.460816229
1.491,3.228323952,2.460816229
1.494,3.235782194,2.460816229
1.497,3.240473684,2.460816229
1.5,3.24235678,2.460816229
