"time","FMU_Interface_OUT1_Current","FMU_Interface_OUT3_Power"
27.2,-113.919,-2.23632
27.4,-113.908,-2.23616
27.6,-113.898,-2.236
27.8,-113.887,-2.23584
28,-113.877,-2.23568
28.2,-113.867,-2.23552
28.4,-113.856,-2.23536
28.6,-113.846,-2.2352
28.8,-113.835,-2.23504
29,-113.825,-2.23488
29.2,-113.814,-2.23472
29.4,-113.804,-2.23456
29.6,-113.793,-2.2344
29.8,-113.783,-2.23424
30,-113.772,-2.23408
30.2,-113.762,-2.23392
30.4,-113.752,-2.23376
30.6,-113.741,-2.2336
30.8,-113.731,-2.23344
31,-113.72,-2.23328
31.2,-113.71,-2.23312
31.4,-113.699,-2.23296
31.6,-113.689,-2.2328
31.8,-113.678,-2.23264
32,-113.668,-2.23248
32.2,-113.658,-2.23232
32.4,-113.647,-2.23215
32.6,-113.637,-2.23199
32.8,-113.626,-2.23183
33,-113.616,-2.23167
33.2,-113.605,-2.23151
33.4,-113.595,-2.23135
33.6,-113.584,-2.23119
33.8,-113.574,-2.23103
34,-113.563,-2.23087
34.2,-113.553,-2.23071
34.4,-113.543,-2.23055
34.6,-113.532,-2.23039
34.8,-113.522,-2.23023
35,-113.511,-2.23007
35.2,-113.501,-2.22991
35.4,-113.49,-2.22975
35.6,-113.48,-2.22959
35.8,-113.47,-2.22943
36,-113.459,-2.22927
36.2,-113.449,-2.22911
36.4,-113.438,-2.22895
36.6,-113.428,-2.22879
36.8,-113.417,-2.22863
37,-113.407,-2.22847
37.2,-113.396,-2.22831
37.4,-113.386,-2.22815
37.6,-113.376,-2.22799
37.8,-113.365,-2.22783
38,-113.355,-2.22767
38.2,-113.344,-2.22751
38.4,-113.334,-2.22735
38.6,-113.323,-2.22719
38.8,-113.313,-2.22703
39,-113.303,-2.22687
39.2,-113.292,-2.22671
39.4,-113.282,-2.22655
39.6,-113.271,-2.22639
39.8,-113.261,-2.22623
40,-113.25,-2.22607
40.2,-113.24,-2.22591
40.4,-113.229,-2.22575
40.6,-113.219,-2.22559
40.8,-113.209,-2.22543
41,-113.198,-2.22527
41.2,-113.188,-2.22511
41.4,-113.177,-2.22495
41.6,-113.167,-2.22479
41.8,-113.156,-2.22462
42,-113.146,-2.22446
42.2,-113.136,-2.2243
42.4,-113.125,-2.22414
42.6,-113.115,-2.22398
42.8,-113.104,-2.22382
43,-113.094,-2.22366
43.2,-113.083,-2.2235
43.4,-113.073,-2.22334
43.6,-113.063,-2.22318
43.8,-113.052,-2.22302
44,-113.042,-2.22286
44.2,-113.031,-2.2227
44.4,-113.021,-2.22254
44.6,-113.011,-2.22238
44.8,-113,-2.22222
45,-112.99,-2.22206
45.2,-112.979,-2.2219
45.4,-112.969,-2.22174
45.6,-112.958,-2.22158
45.8,-112.948,-2.22142
46,-112.938,-2.22126
46.2,-112.927,-2.2211
46.4,-112.917,-2.22094
46.6,-112.906,-2.22078
46.8,-112.896,-2.22062
47,-112.886,-2.22046
47.2,-112.875,-2.2203
47.4,-112.865,-2.22014
47.6,-112.854,-2.21998
47.8,-112.844,-2.21982
48,-112.833,-2.21966
48.2,-112.823,-2.2195
48.4,-112.813,-2.21934
48.6,-112.802,-2.21918
48.8,-112.792,-2.21902
49,-112.781,-2.21886
49.2,-112.771,-2.2187
49.4,-112.761,-2.21854
49.6,-112.75,-2.21837
49.8,-112.74,-2.21821
50,-112.729,-2.21805
50.2,-112.719,-2.21789
50.4,-112.708,-2.21773
50.6,-112.698,-2.21757
50.8,-112.688,-2.21741
51,-112.677,-2.21725
51.2,-112.667,-2.21709
51.4,-112.656,-2.21693
51.6,-112.646,-2.21677
51.8,-112.636,-2.21661
52,-112.625,-2.21645
52.2,-112.615,-2.21629
52.4,-112.604,-2.21613
52.6,-112.594,-2.21597
52.8,-112.584,-2.21581
53,-112.573,-2.21565
53.2,-112.563,-2.21549
53.4,-112.552,-2.21533
53.6,-112.542,-2.21517
53.8,-112.532,-2.21501
54,-112.521,-2.21485
54.2,-112.511,-2.21469
54.4,-112.5,-2.21453
54.6,-112.49,-2.21437
54.8,-112.48,-2.21421
55,-112.469,-2.21405
55.2,-112.459,-2.21389
55.4,-112.448,-2.21373
55.6,-112.438,-2.21357
55.8,-112.428,-2.21341
56,-112.417,-2.21325
56.2,-112.407,-2.21309
56.4,-112.396,-2.21293
56.6,-112.386,-2.21276
56.8,-112.376,-2.2126
57,-112.365,-2.21244
57.2,-112.355,-2.21228
57.4,-112.344,-2.21212
57.6,-112.334,-2.21196
57.8,-112.324,-2.2118
58,-112.313,-2.21164
58.2,-112.303,-2.21148
58.4,-112.292,-2.21132
58.6,-112.282,-2.21116
58.8,-112.272,-2.211
59,-112.261,-2.21084
59.2,-112.251,-2.21068
59.4,-112.24,-2.21052
59.6,-112.23,-2.21036
59.8,-112.22,-2.2102
60,-112.209,-2.21004
60.2,-112.199,-2.20988
60.4,-112.189,-2.20972
60.6,-112.178,-2.20956
60.8,-112.168,-2.2094
61,-112.157,-2.20924
61.2,-112.147,-2.20908
61.4,-112.137,-2.20892
61.6,-112.126,-2.20876
61.8,-112.116,-2.2086
62,-112.105,-2.20844
62.2,-112.095,-2.20828
62.4,-112.085,-2.20812
62.6,-112.074,-2.20796
62.8,-112.064,-2.20779
63,-112.054,-2.20763
63.2,-112.043,-2.20747
63.4,-112.033,-2.20731
63.6,-112.022,-2.20715
63.8,-112.012,-2.20699
64,-112.002,-2.20683
64.2,-111.991,-2.20667
64.4,-111.981,-2.20651
64.6,-111.97,-2.20635
64.8,-111.96,-2.20619
65,-111.95,-2.20603
65.2,-111.939,-2.20587
65.4,-111.929,-2.20571
65.6,-111.919,-2.20555
65.8,-111.908,-2.20539
66,-111.898,-2.20523
66.2,-111.887,-2.20507
66.4,-111.877,-2.20491
66.6,-111.867,-2.20475
66.8,-111.856,-2.20459
67,-111.846,-2.20443
67.2,-111.836,-2.20427
67.4,-111.825,-2.20411
67.6,-111.815,-2.20395
67.8,-111.804,-2.20379
68,-111.794,-2.20363
68.2,-111.784,-2.20347
68.4,-111.773,-2.20331
68.6,-111.763,-2.20314
68.8,-111.753,-2.20298
69,-111.742,-2.20282
69.2,-111.732,-2.20266
69.4,-111.721,-2.2025
69.6,-111.711,-2.20234
69.8,-111.701,-2.20218
70,-111.69,-2.20202
70.2,-111.68,-2.20186
70.4,-111.67,-2.2017
70.6,-111.659,-2.20154
70.8,-111.649,-2.20138
71,-111.639,-2.20122
71.2,-111.628,-2.20106
71.4,-111.618,-2.2009
71.6,-111.607,-2.20074
71.8,-111.597,-2.20058
72,-111.587,-2.20042
72.2,-111.576,-2.20026
72.4,-111.566,-2.2001
72.6,-111.556,-2.19994
72.8,-111.545,-2.19978
73,-111.535,-2.19962
73.2,-111.525,-2.19946
73.4,-111.514,-2.1993
73.6,-111.504,-2.19914
73.8,-111.493,-2.19898
74,-111.483,-2.19881
74.2,-111.473,-2.19865
74.4,-111.462,-2.19849
74.6,-111.452,-2.19833
74.8,-111.442,-2.19817
75,-111.431,-2.19801
75.2,-111.421,-2.19785
75.4,-111.411,-2.19769
75.6,-111.4,-2.19753
75.8,-111.39,-2.19737
76,-111.38,-2.19721
76.2,-111.369,-2.19705
76.4,-111.359,-2.19689
76.6,-111.348,-2.19673
76.8,-111.338,-2.19657
77,-111.328,-2.19641
77.2,-111.317,-2.19625
77.4,-111.307,-2.19609
77.6,-111.297,-2.19593
77.8,-111.286,-2.19577
78,-111.276,-2.19561
78.2,-111.266,-2.19545
78.4,-111.255,-2.19529
78.6,-111.245,-2.19513
78.8,-111.235,-2.19497
79,-111.224,-2.1948
79.2,-111.214,-2.19464
79.4,-111.204,-2.19448
79.6,-111.193,-2.19432
79.8,-111.183,-2.19416
80,-111.173,-2.194
80.2,-111.162,-2.19384
80.4,-111.152,-2.19368
80.6,-111.141,-2.19352
80.8,-111.131,-2.19336
81,-111.121,-2.1932
81.2,-111.11,-2.19304
81.4,-111.1,-2.19288
81.6,-111.09,-2.19272
81.8,-111.079,-2.19256
82,-111.069,-2.1924
82.2,-111.059,-2.19224
82.4,-111.048,-2.19208
82.6,-111.038,-2.19192
82.8,-111.028,-2.19176
83,-111.017,-2.1916
83.2,-111.007,-2.19144
83.4,-110.997,-2.19128
83.6,-110.986,-2.19111
83.8,-110.976,-2.19095
84,-110.966,-2.19079
84.2,-110.955,-2.19063
84.4,-110.945,-2.19047
84.6,-110.935,-2.19031
84.8,-110.924,-2.19015
85,-110.914,-2.18999
85.2,-110.904,-2.18983
85.4,-110.893,-2.18967
85.6,-110.883,-2.18951
85.8,-110.873,-2.18935
86,-110.862,-2.18919
86.2,-110.852,-2.18903
86.4,-110.842,-2.18887
86.6,-110.831,-2.18871
86.8,-110.821,-2.18855
87,-110.811,-2.18839
87.2,-110.8,-2.18823
87.4,-110.79,-2.18807
87.6,-110.78,-2.18791
87.8,-110.769,-2.18775
88,-110.759,-2.18759
88.2,-110.749,-2.18742
88.4,-110.738,-2.18726
88.6,-110.728,-2.1871
88.8,-110.718,-2.18694
89,-110.707,-2.18678
89.2,-110.697,-2.18662
89.4,-110.687,-2.18646
89.6,-110.676,-2.1863
89.8,-110.666,-2.18614
90,-110.656,-2.18598
90.2,-110.645,-2.18582
90.4,-110.635,-2.18566
90.6,-110.625,-2.1855
90.8,-110.614,-2.18534
91,-110.604,-2.18518
91.2,-110.594,-2.18502
91.4,-110.583,-2.18486
91.6,-110.573,-2.1847
91.8,-110.563,-2.18454
92,-110.552,-2.18438
92.2,-110.542,-2.18422
92.4,-110.532,-2.18406
92.6,-110.521,-2.18389
92.8,-110.511,-2.18373
93,-110.501,-2.18357
93.2,-110.491,-2.18341
93.4,-110.48,-2.18325
93.6,-110.47,-2.18309
93.8,-110.46,-2.18293
94,-110.449,-2.18277
94.2,-110.439,-2.18261
94.4,-110.429,-2.18245
94.6,-110.418,-2.18229
94.8,-110.408,-2.18213
95,-110.398,-2.18197
95.2,-110.387,-2.18181
95.4,-110.377,-2.18165
95.6,-110.367,-2.18149
95.8,-110.356,-2.18133
96,-110.346,-2.18117
96.2,-110.336,-2.18101
96.4,-110.325,-2.18085
96.6,-110.315,-2.18068
96.8,-110.305,-2.18052
97,-110.295,-2.18036
97.2,-110.284,-2.1802
97.4,-110.274,-2.18004
97.6,-110.264,-2.17988
97.8,-110.253,-2.17972
98,-110.243,-2.17956
98.2,-110.233,-2.1794
98.4,-110.222,-2.17924
98.6,-110.212,-2.17908
98.8,-110.202,-2.17892
99,-110.191,-2.17876
99.2,-110.181,-2.1786
99.4,-110.171,-2.17844
99.6,-110.16,-2.17828
99.8,-110.15,-2.17812
100,-110.14,-2.17796
100.2,-110.174,-2.1784
100.4,-110.211,-2.17891
100.6,-110.248,-2.17943
100.8,-110.285,-2.17994
101,-110.322,-2.18045
101.2,-110.359,-2.18096
101.4,-110.396,-2.18147
101.6,-110.432,-2.18198
101.8,-110.469,-2.1825
102,-110.506,-2.18301
102.2,-110.543,-2.18352
102.4,-110.58,-2.18403
102.6,-110.617,-2.18454
102.8,-110.654,-2.18505
103,-110.691,-2.18557
103.2,-110.728,-2.18608
103.4,-110.765,-2.18659
103.6,-110.802,-2.1871
103.8,-110.839,-2.18761
104,-110.876,-2.18812
104.2,-110.913,-2.18863
104.4,-110.95,-2.18915
104.6,-110.987,-2.18966
104.8,-111.024,-2.19017
105,-111.061,-2.19068
105.2,-111.098,-2.19119
105.4,-111.135,-2.1917
105.6,-111.172,-2.19221
105.8,-111.209,-2.19272
106,-111.246,-2.19323
106.2,-111.283,-2.19374
106.4,-111.32,-2.19425
106.6,-111.357,-2.19477
106.8,-111.394,-2.19528
107,-111.431,-2.19579
107.2,-111.469,-2.1963
107.4,-111.506,-2.19681
107.6,-111.543,-2.19732
107.8,-111.58,-2.19783
108,-111.617,-2.19834
108.2,-111.654,-2.19885
108.4,-111.691,-2.19936
108.6,-111.729,-2.19987
108.8,-111.766,-2.20038
109,-111.803,-2.20089
109.2,-111.84,-2.2014
109.4,-111.877,-2.20191
109.6,-111.914,-2.20242
109.8,-111.952,-2.20293
110,-111.989,-2.20344
110.2,-112.026,-2.20395
110.4,-112.063,-2.20446
110.6,-112.101,-2.20497
110.8,-112.138,-2.20548
111,-112.175,-2.20599
111.2,-112.212,-2.2065
111.4,-112.25,-2.20701
111.6,-112.287,-2.20752
111.8,-112.324,-2.20803
112,-112.361,-2.20854
112.2,-112.399,-2.20905
112.4,-112.436,-2.20956
112.6,-112.473,-2.21007
112.8,-112.511,-2.21058
113,-112.548,-2.21109
113.2,-112.585,-2.2116
113.4,-112.623,-2.2121
113.6,-112.66,-2.21261
113.8,-112.697,-2.21312
114,-112.735,-2.21363
114.2,-112.772,-2.21414
114.4,-112.81,-2.21465
114.6,-112.847,-2.21516
114.8,-112.884,-2.21567
115,-112.922,-2.21618
115.2,-112.959,-2.21669
115.4,-112.997,-2.2172
115.6,-113.034,-2.2177
115.8,-113.072,-2.21821
116,-113.109,-2.21872
116.2,-113.146,-2.21923
116.4,-113.184,-2.21974
116.6,-113.221,-2.22025
116.8,-113.259,-2.22076
117,-113.296,-2.22126
117.2,-113.334,-2.22177
117.4,-113.371,-2.22228
117.6,-113.409,-2.22279
117.8,-113.446,-2.2233
118,-113.484,-2.22381
118.2,-113.521,-2.22431
118.4,-113.559,-2.22482
118.6,-113.597,-2.22533
118.8,-113.634,-2.22584
119,-113.672,-2.22635
119.2,-113.709,-2.22685
119.4,-113.747,-2.22736
119.6,-113.784,-2.22787
119.8,-113.822,-2.22838
120,-113.86,-2.22889
120.2,-113.897,-2.22939
120.4,-113.935,-2.2299
120.6,-113.973,-2.23041
120.8,-114.01,-2.23092
121,-114.048,-2.23142
121.2,-114.086,-2.23193
121.4,-114.123,-2.23244
121.6,-114.161,-2.23295
121.8,-114.199,-2.23345
122,-114.236,-2.23396
122.2,-114.274,-2.23447
122.4,-114.312,-2.23498
122.6,-114.349,-2.23548
122.8,-114.387,-2.23599
123,-114.425,-2.2365
123.2,-114.463,-2.237
123.4,-114.5,-2.23751
123.6,-114.538,-2.23802
123.8,-114.576,-2.23853
124,-114.614,-2.23903
124.2,-114.651,-2.23954
124.4,-114.689,-2.24005
124.6,-114.727,-2.24055
124.8,-114.765,-2.24106
125,-114.803,-2.24157
125.2,-114.84,-2.24207
125.4,-114.878,-2.24258
125.6,-114.916,-2.24309
125.8,-114.954,-2.24359
126,-114.992,-2.2441
126.2,-115.03,-2.24461
126.4,-115.067,-2.24511
126.6,-115.105,-2.24562
126.8,-115.143,-2.24613
127,-115.181,-2.24663
127.2,-115.219,-2.24714
127.4,-115.257,-2.24764
127.6,-115.295,-2.24815
127.8,-115.333,-2.24866
128,-115.371,-2.24916
128.2,-115.409,-2.24967
128.4,-115.447,-2.25017
128.6,-115.485,-2.25068
128.8,-115.523,-2.25119
129,-115.561,-2.25169
129.2,-115.599,-2.2522
129.4,-115.637,-2.2527
129.6,-115.675,-2.25321
129.8,-115.713,-2.25371
130,-115.751,-2.25422
130.2,-115.789,-2.25473
130.4,-115.827,-2.25523
130.6,-115.865,-2.25574
130.8,-115.903,-2.25624
131,-115.941,-2.25675
131.2,-115.979,-2.25725
131.4,-116.017,-2.25776
131.6,-116.055,-2.25826
131.8,-116.093,-2.25877
132,-116.131,-2.25927
132.2,-116.169,-2.25978
132.4,-116.207,-2.26028
132.6,-116.246,-2.26079
132.8,-116.284,-2.26129
133,-116.322,-2.2618
133.2,-116.36,-2.2623
133.4,-116.389,-2.26271
133.6,-116.395,-2.26277
133.8,-116.401,-2.26284
134,-116.407,-2.26291
134.2,-116.413,-2.26298
134.4,-116.419,-2.26305
134.6,-116.426,-2.26311
134.8,-116.432,-2.26318
135,-116.438,-2.26325
135.2,-116.444,-2.26332
135.4,-116.45,-2.26338
135.6,-116.456,-2.26345
135.8,-116.462,-2.26352
136,-116.468,-2.26359
136.2,-116.474,-2.26366
136.4,-116.48,-2.26372
136.6,-116.487,-2.26379
136.8,-116.493,-2.26386
137,-116.499,-2.26393
137.2,-116.505,-2.264
137.4,-116.511,-2.26406
137.6,-116.517,-2.26413
137.8,-116.523,-2.2642
138,-116.529,-2.26427
138.2,-116.535,-2.26433
138.4,-116.541,-2.2644
138.6,-116.547,-2.26447
138.8,-116.554,-2.26454
139,-116.56,-2.26461
139.2,-116.566,-2.26467
139.4,-116.572,-2.26474
139.6,-116.578,-2.26481
139.8,-116.584,-2.26488
140,-116.59,-2.26494
140.2,-116.596,-2.26501
140.4,-116.602,-2.26508
140.6,-116.608,-2.26515
140.8,-116.615,-2.26522
141,-116.621,-2.26528
141.2,-116.627,-2.26535
141.4,-116.633,-2.26542
141.6,-116.639,-2.26549
141.8,-116.645,-2.26555
142,-116.651,-2.26562
142.2,-116.657,-2.26569
142.4,-116.663,-2.26576
142.6,-116.669,-2.26583
142.8,-116.676,-2.26589
143,-116.682,-2.26596
143.2,-116.688,-2.26603
143.4,-116.694,-2.2661
143.6,-116.7,-2.26617
143.8,-116.706,-2.26623
144,-116.712,-2.2663
144.2,-116.718,-2.26637
144.4,-116.724,-2.26644
144.6,-116.73,-2.2665
144.8,-116.737,-2.26657
145,-116.743,-2.26664
145.2,-116.749,-2.26671
145.4,-116.755,-2.26677
145.6,-116.761,-2.26684
145.8,-116.767,-2.26691
146,-116.773,-2.26698
146.2,-116.779,-2.26705
146.4,-116.785,-2.26711
146.6,-116.792,-2.26718
146.8,-116.798,-2.26725
147,-116.804,-2.26732
147.2,-116.81,-2.26738
147.4,-116.816,-2.26745
147.6,-116.822,-2.26752
147.8,-116.828,-2.26759
148,-116.834,-2.26766
148.2,-116.84,-2.26772
148.4,-116.847,-2.26779
148.6,-116.853,-2.26786
148.8,-116.859,-2.26793
149,-116.865,-2.26799
149.2,-116.871,-2.26806
149.4,-116.877,-2.26813
149.6,-116.883,-2.2682
149.8,-116.889,-2.26826
150,-116.895,-2.26833
150.2,-116.902,-2.2684
150.4,-116.908,-2.26847
150.6,-116.914,-2.26854
150.8,-116.92,-2.2686
151,-116.926,-2.26867
151.2,-116.932,-2.26874
151.4,-116.938,-2.26881
151.6,-116.944,-2.26887
151.8,-116.95,-2.26894
152,-116.957,-2.26901
152.2,-116.963,-2.26908
152.4,-116.969,-2.26915
152.6,-116.975,-2.26921
152.8,-116.981,-2.26928
153,-116.987,-2.26935
153.2,-116.993,-2.26942
153.4,-116.999,-2.26948
153.6,-117.005,-2.26955
153.8,-117.012,-2.26962
154,-117.018,-2.26969
154.2,-117.024,-2.26975
154.4,-117.03,-2.26982
154.6,-117.036,-2.26989
154.8,-117.042,-2.26996
155,-117.048,-2.27002
155.2,-117.054,-2.27009
155.4,-117.061,-2.27016
155.6,-117.067,-2.27023
155.8,-117.073,-2.2703
156,-117.079,-2.27036
156.2,-117.085,-2.27043
156.4,-117.091,-2.2705
156.6,-117.097,-2.27057
156.8,-117.103,-2.27063
157,-117.11,-2.2707
157.2,-117.116,-2.27077
157.4,-117.122,-2.27084
157.6,-117.128,-2.2709
157.8,-117.134,-2.27097
158,-117.14,-2.27104
158.2,-117.146,-2.27111
158.4,-117.152,-2.27117
158.6,-117.159,-2.27124
158.8,-117.165,-2.27131
159,-117.171,-2.27138
159.2,-117.177,-2.27144
159.4,-117.183,-2.27151
159.6,-117.189,-2.27158
159.8,-117.195,-2.27165
160,-117.201,-2.27172
160.2,-117.208,-2.27178
160.4,-117.214,-2.27185
160.6,-117.22,-2.27192
160.8,-117.226,-2.27199
161,-117.232,-2.27205
161.2,-117.238,-2.27212
161.4,-117.244,-2.27219
161.6,-117.25,-2.27226
161.8,-117.257,-2.27232
162,-117.263,-2.27239
162.2,-117.269,-2.27246
162.4,-117.275,-2.27253
162.6,-117.281,-2.27259
162.8,-117.287,-2.27266
163,-117.293,-2.27273
163.2,-117.299,-2.2728
163.4,-117.306,-2.27286
163.6,-117.312,-2.27293
163.8,-117.318,-2.273
164,-117.324,-2.27307
164.2,-117.33,-2.27313
164.4,-117.336,-2.2732
164.6,-117.342,-2.27327
164.8,-117.349,-2.27334
165,-117.355,-2.2734
165.2,-117.361,-2.27347
165.4,-117.367,-2.27354
165.6,-117.373,-2.27361
165.8,-117.379,-2.27367
166,-117.385,-2.27374
166.2,-117.391,-2.27381
166.4,-117.398,-2.27388
166.6,-117.404,-2.27394
166.8,-117.41,-2.27401
167,-117.416,-2.27408
167.2,-117.422,-2.27415
167.4,-117.428,-2.27421
167.6,-117.434,-2.27428
167.8,-117.441,-2.27435
168,-117.447,-2.27442
168.2,-117.453,-2.27448
168.4,-117.459,-2.27455
168.6,-117.465,-2.27462
168.8,-117.471,-2.27469
169,-117.477,-2.27476
169.2,-117.484,-2.27482
169.4,-117.49,-2.27489
169.6,-117.496,-2.27496
169.8,-117.502,-2.27502
170,-117.508,-2.27509
170.2,-117.514,-2.27516
170.4,-117.52,-2.27523
170.6,-117.527,-2.27529
170.8,-117.533,-2.27536
171,-117.539,-2.27543
171.2,-117.545,-2.2755
171.4,-117.551,-2.27556
171.6,-117.557,-2.27563
171.8,-117.563,-2.2757
172,-117.57,-2.27577
172.2,-117.576,-2.27583
172.4,-117.582,-2.2759
172.6,-117.588,-2.27597
172.8,-117.594,-2.27604
173,-117.6,-2.2761
173.2,-117.606,-2.27617
173.4,-117.613,-2.27624
173.6,-117.619,-2.27631
173.8,-117.625,-2.27637
174,-117.631,-2.27644
174.2,-117.637,-2.27651
174.4,-117.643,-2.27658
174.6,-117.649,-2.27664
174.8,-117.656,-2.27671
175,-117.662,-2.27678
175.2,-117.668,-2.27685
175.4,-117.674,-2.27691
175.6,-117.68,-2.27698
175.8,-117.686,-2.27705
176,-117.693,-2.27712
176.2,-117.699,-2.27718
176.4,-117.705,-2.27725
176.6,-117.711,-2.27732
176.8,-117.717,-2.27739
177,-117.723,-2.27745
177.2,-117.729,-2.27752
177.4,-117.736,-2.27759
177.6,-117.742,-2.27766
177.8,-117.748,-2.27772
178,-117.754,-2.27779
178.2,-117.76,-2.27786
178.4,-117.766,-2.27793
178.6,-117.773,-2.27799
178.8,-117.779,-2.27806
179,-117.785,-2.27813
179.2,-117.791,-2.27819
179.4,-117.797,-2.27826
179.6,-117.803,-2.27833
179.8,-117.809,-2.2784
180,-117.816,-2.27846
180.2,-117.822,-2.27853
180.4,-117.828,-2.2786
180.6,-117.834,-2.27867
180.8,-117.84,-2.27873
181,-117.846,-2.2788
181.2,-117.853,-2.27887
181.4,-117.859,-2.27894
181.6,-117.865,-2.279
181.8,-117.871,-2.27907
182,-117.877,-2.27914
182.2,-117.883,-2.27921
182.4,-117.89,-2.27927
182.6,-117.896,-2.27934
182.8,-117.902,-2.27941
183,-117.908,-2.27947
183.2,-117.914,-2.27954
183.4,-117.92,-2.27961
183.6,-117.926,-2.27968
183.8,-117.933,-2.27974
184,-117.939,-2.27981
184.2,-117.945,-2.27988
184.4,-117.951,-2.27995
184.6,-117.957,-2.28001
184.8,-117.963,-2.28008
185,-117.97,-2.28015
185.2,-117.976,-2.28022
185.4,-117.982,-2.28028
185.6,-117.988,-2.28035
185.8,-117.994,-2.28042
186,-118,-2.28048
186.2,-118.007,-2.28055
186.4,-118.013,-2.28062
186.6,-118.019,-2.28069
186.8,-118.025,-2.28075
187,-118.031,-2.28082
187.2,-118.037,-2.28089
187.4,-118.044,-2.28096
187.6,-118.05,-2.28102
187.8,-118.056,-2.28109
188,-118.062,-2.28116
188.2,-118.068,-2.28122
188.4,-118.074,-2.28129
188.6,-118.081,-2.28136
188.8,-118.087,-2.28143
189,-118.093,-2.28149
189.2,-118.099,-2.28156
189.4,-118.105,-2.28163
189.6,-118.112,-2.2817
189.8,-118.118,-2.28176
190,-118.124,-2.28183
190.2,-118.13,-2.2819
190.4,-118.136,-2.28197
190.6,-118.142,-2.28203
190.8,-118.149,-2.2821
