"time","FMU_Interface_OUT0_Primary Ang"
0.529,1349.51
0.53,1355.81
0.531,1362.12
0.532,1368.45
0.533,1374.79
0.534,1381.15
0.535,1387.52
0.536,1393.91
0.537,1400.31
0.538,1406.73
0.539,1413.16
0.54,1419.6
0.541,1426.06
0.542,1432.54
0.543,1439.03
0.544,1445.53
0.545,1452.05
0.546,1458.59
0.547,1465.13
0.548,1471.7
0.549,1478.28
0.55,1484.87
0.551,1491.48
0.552,1498.1
0.553,1504.73
0.554,1511.38
0.555,1518.05
0.556,1524.73
0.557,1531.43
0.558,1538.14
0.559,1544.86
0.56,1551.6
0.561,1558.35
0.562,1565.12
0.563,1571.9
0.564,1578.7
0.565,1585.51
0.566,1592.34
0.567,1599.18
0.568,1606.04
0.569,1612.91
0.57,1619.8
0.571,1626.7
0.572,1633.61
0.573,1640.54
0.574,1647.48
0.575,1654.44
0.576,1661.42
0.577,1668.41
0.578,1675.41
0.579,1682.43
0.58,1689.46
0.581,1696.51
0.582,1703.57
0.583,1710.64
0.584,1717.74
0.585,1724.84
0.586,1731.96
0.587,1739.1
0.588,1746.25
0.589,1753.41
0.59,1760.59
0.591,1767.78
0.592,1774.99
0.593,1782.21
0.594,1789.45
0.595,1796.7
0.596,1803.97
0.597,1811.25
0.598,1818.55
0.599,1825.86
0.6,1833.19
0.601,1840.53
0.602,1847.88
0.603,1855.25
0.604,1862.64
0.605,1870.04
0.606,1877.45
0.607,1884.88
0.608,1892.32
0.609,1899.78
0.61,1907.25
0.611,1914.74
0.612,1922.24
0.613,1929.76
0.614,1937.29
0.615,1944.83
0.616,1952.39
0.617,1959.97
0.618,1967.56
0.619,1975.16
0.62,1982.78
0.621,1990.41
0.622,1998.06
0.623,2005.73
0.624,2013.4
0.625,2021.1
0.626,2028.8
0.627,2036.52
0.628,2044.26
0.629,2052.01
0.63,2059.78
0.631,2067.56
0.632,2075.35
0.633,2083.16
0.634,2090.99
0.635,2098.83
0.636,2106.68
0.637,2114.55
0.638,2122.43
0.639,2130.33
0.64,2138.24
0.641,2146.17
0.642,2154.11
0.643,2162.07
0.644,2170.04
0.645,2178.02
0.646,2186.02
0.647,2194.04
0.648,2202.07
0.649,2210.11
0.65,2218.17
0.651,2226.25
0.652,2234.33
0.653,2242.44
0.654,2250.55
0.655,2258.69
0.656,2266.83
0.657,2275
0.658,2283.17
0.659,2291.36
0.66,2299.57
0.661,2307.79
0.662,2316.02
0.663,2324.27
0.664,2332.54
0.665,2340.82
0.666,2349.11
0.667,2357.42
0.668,2365.74
0.669,2374.08
0.67,2382.43
0.671,2390.8
0.672,2399.18
0.673,2407.58
0.674,2415.99
0.675,2424.41
0.676,2432.85
0.677,2441.31
0.678,2449.78
0.679,2458.26
0.68,2466.76
0.681,2475.28
0.682,2483.81
0.683,2492.35
0.684,2500.91
0.685,2509.48
0.686,2518.07
0.687,2526.67
0.688,2535.28
0.689,2543.91
0.69,2552.56
0.691,2561.22
0.692,2569.9
0.693,2578.59
0.694,2587.29
0.695,2596.01
0.696,2604.74
0.697,2613.49
0.698,2622.25
0.699,2631.03
0.7,2639.82
0.701,2648.63
0.702,2657.45
0.703,2666.29
0.704,2675.14
0.705,2684.01
0.706,2692.89
0.707,2701.78
0.708,2710.69
0.709,2719.62
0.71,2728.55
0.711,2737.51
0.712,2746.48
0.713,2755.46
0.714,2764.46
0.715,2773.47
0.716,2782.5
0.717,2791.54
0.718,2800.59
0.719,2809.67
0.72,2818.75
0.721,2827.85
0.722,2836.97
0.723,2846.1
0.724,2855.24
0.725,2864.4
0.726,2873.57
0.727,2882.76
0.728,2891.97
0.729,2901.18
0.73,2910.42
0.731,2919.66
0.732,2928.92
0.733,2938.2
0.734,2947.49
0.735,2956.8
0.736,2966.12
0.737,2975.45
0.738,2984.8
0.739,2994.17
0.74,3003.55
0.741,3012.94
0.742,3022.35
0.743,3031.77
0.744,3041.21
0.745,3050.66
0.746,3060.13
0.747,3069.61
0.748,3079.11
0.749,3088.62
0.75,3098.14
0.751,3107.68
0.752,3117.24
0.753,3126.81
0.754,3136.39
0.755,3145.99
0.756,3155.6
0.757,3165.23
0.758,3174.88
0.759,3184.53
0.76,3194.21
0.761,3203.89
0.762,3213.6
0.763,3223.31
0.764,3233.04
0.765,3242.79
0.766,3252.55
0.767,3262.32
0.768,3272.11
0.769,3281.92
0.77,3291.74
0.771,3301.57
0.772,3311.42
0.773,3321.28
0.774,3331.16
0.775,3341.05
0.776,3350.96
0.777,3360.88
0.778,3370.82
0.779,3380.77
0.78,3390.73
0.781,3400.71
0.782,3410.71
0.783,3420.72
0.784,3430.74
0.785,3440.78
0.786,3450.84
0.787,3460.9
0.788,3470.99
0.789,3481.09
0.79,3491.2
0.791,3501.32
0.792,3511.47
0.793,3521.62
0.794,3531.79
0.795,3541.98
0.796,3552.18
0.797,3562.39
0.798,3572.62
0.799,3582.87
0.8,3593.13
0.801,3603.4
0.802,3613.69
0.803,3623.99
0.804,3634.31
0.805,3644.64
0.806,3654.99
0.807,3665.35
0.808,3675.73
0.809,3686.12
0.81,3696.53
0.811,3706.95
0.812,3717.38
0.813,3727.83
0.814,3738.29
0.815,3748.77
0.816,3759.27
0.817,3769.78
0.818,3780.3
0.819,3790.84
0.82,3801.39
0.821,3811.96
0.822,3822.54
0.823,3833.13
0.824,3843.74
0.825,3854.37
0.826,3865.01
0.827,3875.67
0.828,3886.34
0.829,3897.02
0.83,3907.72
0.831,3918.43
0.832,3929.16
0.833,3939.9
0.834,3950.66
0.835,3961.43
0.836,3972.22
0.837,3983.02
0.838,3993.84
0.839,4004.67
0.84,4015.52
0.841,4026.38
0.842,4037.25
0.843,4048.14
0.844,4059.05
0.845,4069.96
0.846,4080.9
0.847,4091.85
0.848,4102.81
0.849,4113.79
0.85,4124.78
0.851,4135.79
0.852,4146.81
0.853,4157.85
0.854,4168.9
0.855,4179.96
0.856,4191.04
0.857,4202.14
0.858,4213.25
0.859,4224.37
0.86,4235.51
0.861,4246.66
0.862,4257.83
0.863,4269.02
0.864,4280.21
0.865,4291.43
0.866,4302.65
0.867,4313.89
0.868,4325.15
0.869,4336.42
0.87,4347.71
0.871,4359.01
0.872,4370.32
0.873,4381.65
0.874,4393
0.875,4404.36
0.876,4415.73
0.877,4427.12
0.878,4438.52
0.879,4449.94
0.88,4461.37
0.881,4472.82
0.882,4484.28
0.883,4495.76
0.884,4507.25
0.885,4518.75
0.886,4530.27
0.887,4541.81
0.888,4553.36
0.889,4564.92
0.89,4576.5
0.891,4588.1
0.892,4599.7
0.893,4611.33
0.894,4622.96
0.895,4634.62
0.896,4646.28
0.897,4657.97
0.898,4669.66
0.899,4681.37
0.9,4693.1
0.901,4704.84
0.902,4716.59
0.903,4728.36
0.904,4740.15
0.905,4751.95
0.906,4763.76
0.907,4775.59
0.908,4787.43
0.909,4799.29
0.91,4811.16
0.911,4823.05
0.912,4834.95
0.913,4846.87
0.914,4858.8
0.915,4870.74
0.916,4882.7
0.917,4894.68
0.918,4906.67
0.919,4918.67
0.92,4930.69
0.921,4942.73
0.922,4954.77
0.923,4966.84
0.924,4978.92
0.925,4991.01
0.926,5003.12
0.927,5015.24
0.928,5027.37
0.929,5039.52
0.93,5051.69
0.931,5063.87
0.932,5076.07
0.933,5088.27
0.934,5100.5
0.935,5112.74
0.936,5124.99
0.937,5137.26
0.938,5149.54
0.939,5161.84
0.94,5174.15
0.941,5186.48
0.942,5198.82
0.943,5211.18
0.944,5223.55
0.945,5235.94
0.946,5248.34
0.947,5260.75
0.948,5273.18
0.949,5285.62
0.95,5298.08
0.951,5310.56
0.952,5323.05
0.953,5335.55
0.954,5348.07
0.955,5360.6
0.956,5373.15
0.957,5385.71
0.958,5398.28
0.959,5410.88
0.96,5423.48
0.961,5436.1
0.962,5448.74
0.963,5461.39
0.964,5474.05
0.965,5486.73
0.966,5499.42
0.967,5512.13
0.968,5524.85
0.969,5537.59
0.97,5550.34
0.971,5563.11
0.972,5575.89
0.973,5588.69
0.974,5601.5
0.975,5614.33
0.976,5627.17
0.977,5640.02
0.978,5652.89
0.979,5665.78
0.98,5678.68
0.981,5691.59
0.982,5704.52
0.983,5717.46
0.984,5730.42
0.985,5743.39
0.986,5756.38
0.987,5769.38
0.988,5782.4
0.989,5795.43
0.99,5808.47
0.991,5821.53
0.992,5834.61
0.993,5847.7
0.994,5860.8
0.995,5873.92
0.996,5887.05
0.997,5900.2
0.998,5913.37
0.999,5926.54
1,5939.74
