    "time", "axis1_w", "axis2_w", "axis3_w", "axis4_w", "axis5_w", "axis6_w"
      0.68, 1.6841753,-1.2744505,-1.7702486,0.63867153, 3.0980833,0.63553142
     0.684, 1.6843158,-1.2744427,-1.7701731,0.63867339, 3.0980338,0.63555673
     0.688, 1.6844577,-1.2744333,-1.7700938,0.63867462, 3.0979841,0.63558196
     0.692, 1.6846019, -1.274422,-1.7700108,0.63867505, 3.0979346,  0.635607
     0.696, 1.6847493,-1.2744089,-1.7699237,0.63867485, 3.0978849,0.63563196
       0.7, 1.6848996,-1.2743941,-1.7698317,0.63867417, 3.0978348,0.63565694
     0.704,  1.685052,-1.2743781,-1.7697343,0.63867314, 3.0977842,0.63568195
     0.708, 1.6852051,-1.2743608,-1.7696313, 0.6386717, 3.0977333,0.63570682
     0.712, 1.6853577,-1.2743422,-1.7695233,0.63866964, 3.0976831,0.63573118
     0.716, 1.6855108,-1.2743219,-1.7694113, 0.6386664,  3.097634,0.63575482
      0.72, 1.6856663,-1.2742996,-1.7692955,0.63866179, 3.0975858, 0.6357778
     0.724, 1.6858254,-1.2742755,-1.7691752,0.63865605, 3.0975379,0.63580041
     0.728, 1.6859875,-1.2742501,-1.7690496,0.63864961,   3.09749, 0.6358228
     0.732, 1.6861507,-1.2742237,-1.7689181,0.63864258, 3.0974423,0.63584489
     0.736, 1.6863134,-1.2741963,-1.7687815, 0.6386347, 3.0973952,0.63586635
      0.74, 1.6864756,-1.2741675,-1.7686409,0.63862551, 3.0973494,0.63588695
     0.744,  1.686639, -1.274137,-1.7684969,0.63861476, 3.0973049,0.63590669
     0.748, 1.6868053,-1.2741047,-1.7683493,0.63860252, 3.0972614,0.63592581
     0.752, 1.6869747,-1.2740712,-1.7681971,0.63858908, 3.0972182,0.63594456
     0.756,  1.687146,-1.2740368,-1.7680397,0.63857468, 3.0971752,0.63596297
      0.76, 1.6873171,-1.2740017,-1.7678775,0.63855931, 3.0971328,0.63598082
     0.764, 1.6874874,-1.2739655,-1.7677114,0.63854265, 3.0970917,0.63599785
     0.768, 1.6876574, -1.273928,-1.7675425,0.63852439,  3.097052,0.63601394
     0.772,  1.687829,-1.2738889,-1.7673708,0.63850438, 3.0970136,0.63602924
     0.776, 1.6880032,-1.2738486,-1.7671956,0.63848279,  3.096976,  0.636044
      0.78, 1.6881798,-1.2738074,-1.7670162,0.63845986, 3.0969388,0.63605836
     0.784, 1.6883573,-1.2737655,-1.7668325,0.63843574, 3.0969021,0.63607223
     0.788,  1.688534,-1.2737229,-1.7666451,0.63841034, 3.0968664,0.63608538
     0.792, 1.6887096,-1.2736793,-1.7664549,0.63838338, 3.0968321,0.63609762
     0.796, 1.6888851,-1.2736343,-1.7662626,0.63835461, 3.0967993,0.63610897
       0.8, 1.6890621, -1.273588,-1.7660679,0.63832395, 3.0967677,0.63611958
     0.804, 1.6892408,-1.2735408,-1.7658698,0.63829185, 3.0967371,0.63612953
     0.808, 1.6894202,-1.2734929,-1.7656681,0.63825831, 3.0967074,0.63613884
     0.812, 1.6895996,-1.2734442,-1.7654632,0.63822313, 3.0966788,0.63614736
     0.816, 1.6897786,-1.2733946,-1.7652556,0.63818623, 3.0966516,0.63615498
      0.82, 1.6899574,-1.2733438,-1.7650458,0.63814757, 3.0966258,0.63616169
     0.824, 1.6901363,-1.2732919,-1.7648338,0.63810712, 3.0966013,0.63616754
     0.828, 1.6903152, -1.273239,-1.7646192,0.63806499, 3.0965782, 0.6361725
