"Time","J1.w - Absolute angular velocity of component (= der(phi))","J2.w - Absolute angular velocity of component (= der(phi))","J3.w - Absolute angular velocity of component (= der(phi))","J4.w - Absolute angular velocity of component (= der(phi))"
0.264,7.86166,2.59218,7.50511e-14,7.50133e-14
0.265,7.86118,2.60164,7.28306e-14,7.27929e-14
0.266,7.86057,2.61109,7.37188e-14,7.36811e-14
0.267,7.85981,2.62054,7.41629e-14,7.41252e-14
0.268,7.85889,2.62998,7.72715e-14,7.72338e-14
0.269,7.85781,2.63942,8.08242e-14,8.07866e-14
0.27,7.85656,2.64885,8.26006e-14,8.2563e-14
0.271,7.85512,2.65828,8.12683e-14,8.12307e-14
0.272,7.8535,2.66771,7.68274e-14,7.67899e-14
0.273,7.85168,2.67713,7.59393e-14,7.59017e-14
0.274,7.84966,2.68655,7.9492e-14,7.94545e-14
0.275,7.84743,2.69596,7.68274e-14,7.679e-14
0.276,7.84498,2.70537,7.59393e-14,7.59019e-14
0.277,7.8423,2.71478,8.12683e-14,8.1231e-14
0.278,7.8394,2.72418,7.63833e-14,7.63461e-14
0.279,7.83625,2.73358,7.68274e-14,7.67903e-14
0.28,7.83286,2.74297,7.9492e-14,7.94549e-14
0.281,7.82923,2.75236,8.21565e-14,8.21196e-14
0.282,7.82533,2.76174,7.99361e-14,7.98992e-14
0.283,7.82118,2.77112,7.99361e-14,7.98993e-14
0.284,7.81676,2.78049,7.77156e-14,7.7679e-14
0.285,7.81207,2.78986,7.23865e-14,7.23501e-14
0.286,7.8071,2.79923,6.88338e-14,6.87976e-14
0.287,7.80185,2.80859,6.79456e-14,6.79095e-14
0.288,7.79632,2.81795,6.79456e-14,6.79097e-14
0.289,7.7905,2.8273,6.70575e-14,6.70217e-14
0.29,7.78439,2.83665,7.01661e-14,7.01305e-14
0.291,7.77799,2.84599,6.75016e-14,6.74662e-14
0.292,7.77129,2.85533,6.61693e-14,6.61341e-14
0.293,7.76429,2.86467,6.66134e-14,6.65784e-14
0.294,7.75699,2.874,6.9722e-14,6.96873e-14
0.295,7.74938,2.88333,6.92779e-14,6.92434e-14
0.296,7.74147,2.89265,6.66134e-14,6.65791e-14
0.297,7.73325,2.90196,6.61693e-14,6.61353e-14
0.298,7.72472,2.91128,6.9722e-14,6.96883e-14
0.299,7.71588,2.92058,7.14984e-14,7.1465e-14
0.3,7.70674,2.92989,7.14984e-14,7.14652e-14
0.301,7.69728,2.93918,6.52811e-14,6.52483e-14
0.302,7.68752,2.94848,6.75016e-14,6.74691e-14
0.303,7.67744,2.95777,7.19425e-14,7.19103e-14
0.304,7.66706,2.96705,6.61693e-14,6.61375e-14
0.305,7.65637,2.97633,6.70575e-14,6.70261e-14
0.306,7.64538,2.98561,6.66134e-14,6.65824e-14
0.307,7.63408,2.99488,6.79456e-14,6.79151e-14
0.308,7.62248,3.00414,6.26166e-14,6.25866e-14
0.309,7.61058,3.0134,6.17284e-14,6.16989e-14
0.31,7.59838,3.02266,6.52811e-14,6.52522e-14
0.311,7.58589,3.03191,6.12843e-14,6.12559e-14
0.312,7.57311,3.04116,5.81757e-14,5.81478e-14
0.313,7.56004,3.0504,5.68434e-14,5.68162e-14
0.314,7.54669,3.05964,5.81757e-14,5.8149e-14
0.315,7.53306,3.06887,5.72875e-14,5.72614e-14
0.316,7.51915,3.0781,5.77316e-14,5.77061e-14
0.317,7.50498,3.08732,5.68434e-14,5.68186e-14
0.318,7.49054,3.09654,5.59552e-14,5.593e-14
0.319,7.47583,3.10575,5.63993e-14,5.63746e-14
0.32,7.46088,3.11496,5.63993e-14,5.63735e-14
0.321,7.44567,3.12416,5.06262e-14,5.06139e-14
0.322,7.43022,3.13336,4.92939e-14,4.92679e-14
0.323,7.41453,3.14255,4.9738e-14,4.97252e-14
0.324,7.39861,3.15174,4.70735e-14,4.70605e-14
0.325,7.38247,3.16092,5.01821e-14,5.01552e-14
0.326,7.36611,3.1701,5.15143e-14,5.14875e-14
0.327,7.34954,3.17927,5.28466e-14,5.28733e-14
0.328,7.33277,3.18844,5.37348e-14,5.37887e-14
0.329,7.3158,3.19761,5.06262e-14,5.06951e-14
0.33,7.29865,3.20676,5.19584e-14,5.20258e-14
0.331,7.28131,3.21592,5.24025e-14,5.24694e-14
0.332,7.26381,3.22506,4.61853e-14,4.61436e-14
0.333,7.24614,3.23421,4.75175e-14,4.74829e-14
0.334,7.22832,3.24335,4.88498e-14,4.87891e-14
0.335,7.21035,3.25248,4.88498e-14,4.87064e-14
0.336,7.19224,3.26161,4.79616e-14,4.78994e-14
0.337,7.174,3.27073,4.61853e-14,4.60423e-14
0.338,7.15565,3.27985,4.44089e-14,4.42653e-14
0.339,7.13718,3.28896,4.4853e-14,4.47139e-14
0.34,7.11861,3.29806,3.95239e-14,3.93815e-14
0.341,7.09995,3.30717,3.5083e-14,3.49415e-14
0.342,7.08121,3.31626,3.24185e-14,3.22739e-14
0.343,7.0624,3.32535,3.10862e-14,3.09432e-14
0.344,7.04352,3.33444,3.19744e-14,3.18376e-14
0.345,7.02459,3.34352,2.88658e-14,2.87289e-14
0.346,7.00561,3.3526,3.01981e-14,3.0096e-14
0.347,6.9866,3.36167,2.79776e-14,2.78715e-14
0.348,6.96757,3.37073,2.9754e-14,2.96446e-14
0.349,6.94852,3.37979,3.06422e-14,3.05405e-14
0.35,6.92947,3.38885,3.33067e-14,3.32133e-14
0.351,6.91042,3.39789,3.41949e-14,3.40975e-14
0.352,6.89139,3.40694,3.10862e-14,3.09907e-14
0.353,6.87238,3.41598,2.88658e-14,2.87748e-14
0.354,6.85341,3.42501,2.84217e-14,2.83327e-14
0.355,6.83448,3.43404,3.06422e-14,3.05537e-14
0.356,6.81561,3.44306,3.06422e-14,3.05455e-14
0.357,6.7968,3.45208,3.5083e-14,3.49862e-14
0.358,6.77807,3.46109,3.64153e-14,3.6316e-14
0.359,6.75942,3.47009,3.68594e-14,3.67607e-14
0.36,6.74086,3.47909,3.55271e-14,3.54304e-14
0.361,6.7224,3.48809,3.86358e-14,3.8544e-14
0.362,6.70406,3.49708,3.81917e-14,3.80927e-14
0.363,6.68584,3.50606,3.77476e-14,3.7649e-14
0.364,6.66775,3.51504,3.59712e-14,3.57751e-14
0.365,6.64979,3.52401,3.24185e-14,3.21935e-14
0.366,6.63199,3.53298,3.15303e-14,3.12074e-14
0.367,6.61434,3.54194,2.9754e-14,2.94312e-14
0.368,6.59686,3.5509,3.41949e-14,3.38732e-14
0.369,6.57955,3.55985,3.4639e-14,3.4317e-14
0.37,6.56242,3.56879,3.81917e-14,3.77716e-14
0.371,6.54549,3.57773,3.19744e-14,3.14561e-14
0.372,6.52875,3.58666,3.55271e-14,3.5024e-14
0.373,6.51222,3.59559,3.5083e-14,3.45793e-14
0.374,6.4959,3.60451,3.68594e-14,3.63717e-14
0.375,6.4798,3.61343,3.73035e-14,3.68159e-14
0.376,6.46393,3.62234,3.5083e-14,3.46443e-14
0.377,6.4483,3.63125,3.4639e-14,3.42329e-14
0.378,6.43291,3.64015,3.19744e-14,3.1552e-14
0.379,6.41776,3.64904,3.15303e-14,3.1157e-14
0.38,6.40287,3.65793,2.79776e-14,2.76045e-14
0.381,6.38824,3.66681,2.44249e-14,2.40352e-14
0.382,6.37387,3.67569,2.93099e-14,3.07863e-14
0.383,6.35977,3.68456,2.79776e-14,2.94377e-14
0.384,6.34596,3.69342,3.28626e-14,3.43218e-14
0.385,6.33242,3.70228,3.10862e-14,3.2546e-14
0.386,6.31917,3.71113,2.53131e-14,2.67733e-14
0.387,6.3062,3.71998,2.26485e-14,2.41092e-14
0.388,6.29353,3.72882,2.35367e-14,2.49979e-14
0.389,6.28116,3.73766,2.30926e-14,2.45543e-14
0.39,6.2691,3.74649,2.30926e-14,2.45548e-14
0.391,6.25733,3.75531,2.66454e-14,2.81079e-14
0.392,6.24588,3.76413,2.62013e-14,2.76643e-14
0.393,6.23473,3.77294,2.66454e-14,2.81088e-14
0.394,6.2239,3.78175,2.35367e-14,2.50006e-14
0.395,6.21338,3.79055,2.39808e-14,2.54451e-14
0.396,6.20317,3.79934,2.57572e-14,2.72218e-14
0.397,6.19329,3.80813,2.88658e-14,3.03309e-14
0.398,6.18372,3.81691,2.9754e-14,3.12194e-14
0.399,6.17447,3.82569,2.93099e-14,3.07757e-14
0.4,6.16555,3.83446,3.33067e-14,3.14422e-14
0.401,6.15694,3.83322,0.01,3.04097e-14
0.402,6.14865,3.83198,0.02,3.10758e-14
0.403,6.14069,3.83073,0.03,2.99656e-14
0.404,6.13304,3.82948,0.04,3.19675e-14
0.405,6.12571,3.82822,0.05,2.9525e-14
0.406,6.11869,3.82695,0.06,3.10793e-14
0.407,6.11199,3.82568,0.07,2.91017e-14
0.408,6.10561,3.8244,0.08,2.79915e-14
0.409,6.09953,3.82311,0.09,2.81997e-14
0.41,6.09376,3.82182,0.1,2.84495e-14
0.411,6.0883,3.82052,0.11,3.0892e-14
0.412,6.08314,3.81922,0.12,3.33622e-14
0.413,6.07827,3.81791,0.13,3.2252e-14
0.414,6.0737,3.81659,0.14,3.2474e-14
0.415,6.06943,3.81527,0.15,3.31402e-14
0.416,6.06543,3.81394,0.16,3.19744e-14
0.417,6.06172,3.81261,0.17,2.99205e-14
0.418,6.05829,3.81127,0.18,3.05589e-14
0.419,6.05513,3.80992,0.19,3.34455e-14
0.42,6.05223,3.80857,0.2,3.31957e-14
0.421,6.04959,3.80721,0.21,3.15858e-14
0.422,6.04721,3.80584,0.22,3.2252e-14
0.423,6.04508,3.80447,0.23,3.25295e-14
0.424,6.04319,3.80309,0.24,3.27516e-14
0.425,6.04153,3.8017,0.25,2.84217e-14
0.426,6.0401,3.80031,0.26,2.86438e-14
0.427,6.0389,3.79891,0.27,3.01981e-14
0.428,6.03791,3.79751,0.28,3.08642e-14
0.429,6.03712,3.7961,0.29,3.41949e-14
0.43,6.03654,3.79468,0.3,3.4861e-14
0.431,6.03614,3.79326,0.31,3.65263e-14
0.432,6.03593,3.79183,0.32,3.76366e-14
0.433,6.03589,3.79039,0.33,3.51941e-14
0.434,6.03602,3.78895,0.34,4.02456e-14
0.435,6.03631,3.7875,0.35,4.04676e-14
0.436,6.03674,3.78604,0.36,4.29101e-14
0.437,6.03732,3.78458,0.37,4.27991e-14
0.438,6.03803,3.78311,0.38,4.08562e-14
0.439,6.03886,3.78163,0.39,4.28546e-14
0.44,6.0398,3.78015,0.4,3.7359e-14
0.441,6.04085,3.77866,0.41,3.49165e-14
0.442,6.04199,3.77716,0.42,3.15858e-14
0.443,6.04321,3.77566,0.43,3.40283e-14
0.444,6.04452,3.77415,0.44,4.09117e-14
0.445,6.04588,3.77264,0.45,4.60187e-14
0.446,6.0473,3.77112,0.46,4.66849e-14
0.447,6.04877,3.76959,0.47,5.04596e-14
0.448,6.05028,3.76805,0.48,5.11258e-14
0.449,6.05181,3.76651,0.49,5.40124e-14
0.45,6.05335,3.76496,0.5,6.00631e-14
0.451,6.05491,3.7634,0.51,5.71765e-14
0.452,6.05646,3.76184,0.52,6.05072e-14
0.453,6.058,3.76027,0.53,6.20615e-14
0.454,6.05951,3.7587,0.54,6.13953e-14
0.455,6.061,3.75711,0.55,6.29496e-14
0.456,6.06244,3.75552,0.56,6.18394e-14
0.457,6.06382,3.75393,0.57,6.33937e-14
0.458,6.06515,3.75232,0.58,6.00631e-14
0.459,6.06641,3.75071,0.59,6.20615e-14
0.46,6.06758,3.7491,0.6,6.36158e-14
0.461,6.06867,3.74747,0.61,6.65024e-14
0.462,6.06965,3.74584,0.62,6.53921e-14
0.463,6.07053,3.7442,0.63,6.90559e-14
0.464,6.07128,3.74256,0.64,7.10543e-14
0.465,6.07192,3.74091,0.65,7.26086e-14
0.466,6.07241,3.73925,0.66,7.41629e-14
0.467,6.07276,3.73758,0.67,7.43849e-14
