"time",	"outputs"
0.0236,	252.995
0.0238,	252.4433
0.024,	252.442
0.0242,	252.9196
0.0244,	253.7701
0.0246,	254.8557
0.0248,	256.0108
0.025,	257.0457
0.0252,	257.7548
0.0254,	258.0022
0.0256,	257.7341
0.0258,	256.8893
0.026,	255.8938
0.0262,	255.3043
0.0264,	255.2019
0.0266,	255.6326
0.0268,	256.6055
0.027,	258.0932
0.0272,	260.0322
0.0274,	262.3247
0.0276,	264.8409
0.0278,	267.4226
0.028,	269.8869
0.0282,	272.031
0.0284,	273.6374
0.0286,	274.4791
0.0288,	274.3259
0.029,	272.9499
0.0292,	270.1549
0.0294,	266.8709
0.0296,	263.7833
0.0298,	261.0213
0.03,	258.682
0.0302,	256.8282
0.0304,	255.4868
0.0306,	254.6489
0.0308,	254.2697
0.031,	254.2704
0.0312,	254.5398
0.0314,	254.938
0.0316,	255.2993
0.0318,	255.4376
0.032,	255.204
0.0322,	254.5566
0.0324,	253.4542
0.0326,	252.2594
0.0328,	251.5221
0.033,	251.3358
0.0332,	251.756
0.0334,	252.8003
0.0336,	254.4476
0.0338,	256.6386
0.034,	259.278
0.0342,	262.2359
0.0344,	265.3522
0.0346,	268.4395
0.0348,	271.2887
0.035,	273.6737
0.0352,	275.3574
0.0354,	276.0976
0.0356,	275.6532
0.0358,	273.7905
0.036,	270.6015
0.0362,	267.3608
0.0364,	264.3492
0.0366,	261.6778
0.0368,	259.4253
0.037,	257.6359
0.0372,	256.319
0.0374,	255.4487
0.0376,	254.9651
0.0378,	254.7757
0.038,	254.7583
0.0382,	254.764
0.0384,	254.6215
0.0386,	254.1413
0.0388,	253.121
0.039,	251.3505
0.0392,	248.6175
0.0394,	245.5472
0.0396,	243.1432
0.0398,	241.5195
0.04,	240.7466
0.0402,	240.851
0.0404,	241.8152
0.0406,	243.5777
0.0408,	246.0355
0.041,	249.0458
0.0412,	252.4305
0.0414,	255.9802
0.0416,	259.4593
0.0418,	262.6126
0.042,	265.1923
0.0422,	267.054
0.0424,	268.0834
0.0426,	268.1634
0.0428,	267.6293
0.043,	267.2746
0.0432,	267.1741
0.0434,	267.358
0.0436,	267.8253
0.0438,	268.5442
0.044,	269.4527
0.0442,	270.4603
0.0444,	271.4507
0.0446,	272.2842
0.0448,	272.802
0.045,	272.83
0.0452,	272.1833
0.0454,	270.6712
0.0456,	268.1022
0.0458,	264.7771
0.046,	261.4395
0.0462,	258.1019
0.0464,	254.7642
0.0466,	251.4265
0.0468,	248.0888
0.047,	244.751
0.0472,	241.413
0.0474,	238.0886
0.0476,	235.2834
0.0478,	233.2161
0.048,	231.8044
0.0482,	230.9289
0.0484,	230.4359
0.0486,	230.142
0.0488,	229.8388
0.049,	229.2984
0.0492,	228.2798
0.0494,	226.5349
0.0496,	223.8153
0.0498,	221.0633
0.05,	219.6171
0.0502,	219.5183
0.0504,	220.7523
0.0506,	223.2503
0.0508,	226.8912
0.051,	231.5045
0.0512,	236.8754
0.0514,	242.7488
0.0516,	248.837
0.0518,	254.8264
0.052,	260.4347
0.0522,	265.455
0.0524,	269.6798
0.0526,	272.8972
0.0528,	274.8982
0.053,	275.943
0.0532,	277.0058
0.0534,	278.1313
0.0536,	279.2986
0.0538,	280.4611
0.054,	281.5477
0.0542,	282.4651
0.0544,	283.0996
0.0546,	283.3206
0.0548,	282.9836
0.055,	281.9341
0.0552,	280.0119
0.0554,	277.0748
0.0556,	273.7369
0.0558,	270.399
0.056,	267.0612
0.0562,	263.7233
0.0564,	260.3854
0.0566,	257.0475
0.0568,	253.7096
0.057,	250.3715
0.0572,	247.0334
0.0574,	243.8736
0.0576,	241.3409
0.0578,	239.4111
0.058,	237.9993
0.0582,	236.9865
0.0584,	236.2225
0.0586,	235.5304
0.0588,	234.711
0.059,	233.5483
0.0592,	231.8154
0.0594,	229.2802
0.0596,	226.2647
0.0598,	224.3086
0.06,	223.5856
0.0602,	224.1197
0.0604,	225.8825
0.0606,	228.794
0.0608,	232.7241
0.061,	237.4966
0.0612,	242.8934
0.0614,	248.6594
0.0616,	254.5097
0.0618,	260.1357
0.062,	265.2401
0.0622,	269.6164
0.0624,	273.0765
0.0626,	275.4315
0.0628,	276.4984
0.063,	276.1049
0.0632,	274.0964
0.0634,	275.9317
0.0636,	277.9722
0.0638,	278.7122
0.064,	279.3537
0.0642,	279.876
0.0644,	280.1742
0.0646,	280.1247
0.0648,	279.5888
0.065,	278.4164
0.0652,	276.4496
0.0654,	273.5472
0.0656,	270.2106
0.0658,	266.8728
0.066,	263.5351
0.0662,	260.1974
0.0664,	256.8597
0.0666,	253.5219
0.0668,	250.1841
0.067,	246.8462
0.0672,	243.5082
0.0674,	240.2255
0.0676,	237.5357
0.0678,	235.5335
0.068,	234.1355
0.0682,	233.2219
0.0684,	232.6402
0.0686,	232.2091
0.0688,	231.7233
0.069,	230.9593
0.0692,	229.681
0.0694,	227.6463
0.0696,	224.6756
0.0698,	222.2279
0.07,	221.0609
0.0702,	221.2085
0.0704,	222.6506
0.0706,	225.3139
0.0708,	229.0737
0.071,	233.7575
0.0712,	239.1485
0.0714,	244.9917
0.0716,	251.0002
0.0718,	256.8617
0.072,	262.2872
0.0722,	267.0707
0.0724,	271.0117
0.0726,	273.9071
0.0728,	275.5573
0.073,	275.7731
0.0732,	274.3815
0.0734,	274.6165
0.0736,	278.2358
0.0738,	280.1012
0.074,	281.1256
0.0742,	281.9903
0.0744,	282.5829
0.0746,	282.7735
0.0748,	282.4183
0.075,	281.3632
0.0752,	279.4481
0.0754,	276.528
0.0756,	273.19
0.0758,	269.8522
0.076,	266.5143
0.0762,	263.1765
0.0764,	259.8387
0.0766,	256.5008
0.0768,	253.1629
0.077,	249.8248
0.0772,	246.4867
0.0774,	243.3042
0.0776,	240.7503
0.0778,	238.8123
0.078,	237.4058
0.0782,	236.4113
0.0784,	235.6783
0.0786,	235.0291
0.0788,	234.2636
0.079,	233.1645
0.0792,	231.5035
0.0794,	229.0469
0.0796,	226.0067
0.0798,	223.9765
0.08,	223.1868
0.0802,	223.6634
0.0804,	225.379
0.0806,	228.2545
0.0808,	232.1608
0.081,	236.922
0.0812,	242.3202
0.0814,	248.1004
0.0816,	253.9771
0.0818,	259.6414
0.082,	264.7966
0.0822,	269.2367
0.0824,	272.7715
0.0826,	275.2101
0.0828,	276.3667
0.083,	276.7965
0.0832,	277.2666
0.0834,	277.7957
0.0836,	278.3759
0.0838,	278.9737
0.084,	279.5305
0.0842,	279.9646
0.0844,	280.1727
0.0846,	280.0336
0.0848,	279.4104
0.085,	278.1549
0.0852,	276.1111
0.0854,	273.1458
0.0856,	269.808
0.0858,	266.4703
0.086,	263.1326
0.0862,	259.795
0.0864,	256.4572
0.0866,	253.1195
0.0868,	249.7817
0.087,	246.4438
0.0872,	243.1058
0.0874,	239.8131
0.0876,	237.1024
0.0878,	235.0889
0.088,	233.6895
0.0882,	232.7845
0.0884,	232.2209
0.0886,	231.8172
0.0888,	231.3674
0.089,	230.6471
0.0892,	229.4193
0.0894,	227.4408
0.0896,	224.5057
0.0898,	222
0.09,	220.7802
0.0902,	220.8814
0.0904,	222.2845
0.0906,	224.917
0.0908,	228.655
0.091,	233.3263
0.0912,	238.7144
0.0914,	244.5643
0.0916,	250.5889
0.0918,	256.4757
0.092,	261.9368
0.0922,	266.7661
0.0924,	270.7618
0.0926,	273.7189
0.0928,	275.4363
0.093,	276.2645
0.0932,	277.1242
0.0934,	278.0447
0.0936,	279.0096
0.0938,	279.9767
0.094,	280.8794
0.0942,	281.6282
0.0944,	282.1133
0.0946,	282.2072
0.0948,	281.7681
0.095,	280.6438
0.0952,	278.6757
0.0954,	275.7186
0.0956,	272.3807
0.0958,	269.0429
0.096,	265.7051
0.0962,	262.3673
0.0964,	259.0295
0.0966,	255.6917
0.0968,	252.3537
0.097,	249.0157
0.0972,	245.6776
0.0974,	242.4638
0.0976,	239.8763
0.0978,	237.9243
0.098,	236.5233
0.0982,	235.5539
0.0984,	234.865
0.0986,	234.2777
0.0988,	233.5905
0.099,	232.5844
0.0992,	231.0288
0.0994,	228.6879
0.0996,	225.6325
0.0998,	223.4911
0.1,	222.6013
